"ID";"Case Number";"How Received";"Date Opened";"Violations[Regulation]";"Resolution Action";;;;
1143020;"2019-841";"Complaints";"08/23/2019";"05-Terms of the Registration- Capacity - [19a-87b-5(d)] 38-Responsibilities of Provider & Substitute- Registered capacity & compliance - [19a-87b-10(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017835;"2020-123";"Complaints";"02/13/2020";"57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017533;"2021-881";"Self-Reported";"12/09/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1011220;"2020-100";"Complaints";"02/05/2020";"20-Staffing- Staff records - [19a-79-4a(b)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1011220;"2020-84";"Complaints";"01/31/2020";"19-Staffing- Staff file on premise - [19a-79-4a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1605022;"2021-157";"Complaints";"03/24/2021";"023-Freedom of Hazards - [19a-87b-9(b)] 024-Harmful Substances and Materials Inaccessible - [19a-87b-9(c)] 052-Smoking - [19a-87b-9(p)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1497620;"2020-158";"Self-Reported";"02/28/2020";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1014346;"2020-471";"Complaints";"11/10/2020";"13-Qualifications of the Provider- Personal qualities - [19a-87b-6(e)] [Reference regulation link above.]";"Corrective Action Plan";;;;
2150281;"2021-527";"Complaints";"08/19/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017145;"2020-110";"Complaints";"02/06/2020";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1625213;"2020-305";"Complaints";"07/30/2020";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 24-Staffing- Supervision - [19a-79-4a(c)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] 45-Educational Requirements- Plan - [19a-79-8a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1469736;"2021-315";"Self-Reported";"05/21/2021";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 22-Staffing- Ratios - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1469736;"2021-329";"Self-Reported";"06/02/2021";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1469736;"2021-332";"Self-Reported";"06/03/2021";"08-Administration- Child protection - [19a-79-3a(b)(8)(C)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1469736;"2022-100";"Complaints";"02/22/2022";"51-Administration of Medications-Order from an authorized prescriber/parent's permission - [19a-79-9a(b)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017936;"2020-476";"Self-Reported";"11/12/2020";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017936;"2021-100";"Self-Reported";"02/25/2021";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017936;"2021-487";"Self-Reported";"08/03/2021";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 08-Administration- Child protection - [19a-79-3a(b)(8)(C)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017936;"2022-63";"Complaints";"02/04/2022";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1007135;"2020-425";"Self-Reported";"10/08/2020";"24-Physical Environment- Freedom from hazards - [19a-87b-9(b)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1498377;"2022-233";"Complaints";"04/12/2022";"39-Physical Plant- Plans for new construction, expansion, renovation or conversion - [19a-79-7a(b)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017617;"2020-25";"Self-Reported";"01/09/2020";"01-Abuse- DCF: On Registry - [DCF Finding] 09-Administration- Child protection - [19a-79-3a(b)(8)(D)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017617;"2020-461";"Complaints";"10/30/2020";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017254;"2019-1051";"Complaints";"10/30/2019";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017715;"2019-978";"Self-Reported";"10/08/2019";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017715;"2020-194";"Self-Reported";"03/12/2020";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017715;"2021-135";"Self-Reported";"03/15/2021";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017715;"2021-97";"Self-Reported";"02/24/2021";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 08-Administration- Child protection - [19a-79-3a(b)(8)(C)] 21-Staffing- Adequate staff - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1148713;"2021-393";"Self-Reported";"07/01/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017592;"2019-597";"Self-Reported";"07/22/2019";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1393272;"2020-273";"Self-Reported";"07/08/2020";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1393272;"2021-118";"Self-Reported";"03/08/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1393272;"2021-658";"Complaints";"09/22/2021";"22-Staffing- Ratios - [19a-79-4a(c)] 23-Staffing- Group size - [19a-79-4a(c)] 57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1393272;"2021-880";"Self-Reported";"12/09/2021";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 22-Staffing- Ratios - [19a-79-4a(c)] 23-Staffing- Group size - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1528380;"2020-167";"Self-Reported";"03/04/2020";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 08-Administration- Child protection - [19a-79-3a(b)(8)(C)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1528380;"2020-324";"Complaints";"08/11/2020";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1010806;"2020-52";"Self-Reported";"01/17/2020";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1010806;"2021-333";"Self-Reported";"06/04/2021";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1010806;"2022-213";"Self-Reported";"04/04/2022";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1010806;"2022-280";"Complaints";"04/28/2022";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 36-Physical Plant- General requirements - [19a-79-7a(c)] 58-Under Three Endorsement- Special equipment - [19a-79-10(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017927;"2020-510";"Self-Reported";"12/08/2020";"51-Administration of Medications-Order from an authorized prescriber/parent's permission - [19a-79-9a(b)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017927;"2021-77";"Self-Reported";"02/10/2021";"62-Under Three Endorsement- Toys & other objects - [19a-79-10(h)] [Reference regulation link above.]";"Corrective Action Plan";;;;
2068801;"2022-227";"Self-Reported";"04/08/2022";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017099;"2019-1010";"Complaints";"10/18/2019";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016862;"2022-153";"Complaints";"03/14/2022";"71-School Age Endorsement- Designated head teacher - [19a-79-11(f)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016650;"2020-203";"Complaints";"03/16/2020";"06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 19-Staffing- Staff file on premise - [19a-79-4a(a)] 28-Staffing- Professional development - [19a-79-4a(g)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016894;"2021-905";"Complaints";"12/21/2021";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1015639;"2021-386";"Self-Reported";"06/29/2021";"06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1269018;"2021-126";"Self-Reported";"03/10/2021";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1269018;"2021-447";"Self-Reported";"07/20/2021";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 58-Under Three Endorsement- Special equipment - [19a-79-10(d)] 61-Under Three Endorsement- Sleep arrangements - [19a-79-10(g)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1269018;"2022-105";"Self-Reported";"02/23/2022";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 36-Physical Plant- General requirements - [19a-79-7a(c)] 41-Physical Plant- Equipment - [19a-79-7a(g)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1303760;"2020-349";"Complaints";"08/28/2020";"06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017364;"2022-379";"Self-Reported";"06/02/2022";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017364;"2022-8";"Self-Reported";"01/05/2022";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017610;"2019-1156";"Complaints";"12/11/2019";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017610;"2019-982";"Complaints";"10/08/2019";"30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017610;"2020-29";"Complaints";"01/10/2020";"23-Staffing- Group size - [19a-79-4a(c)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017610;"2021-572";"Self-Reported";"09/02/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016800;"2019-675";"Self-Reported";"07/30/2019";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1617206;"2019-643";"Complaints";"07/26/2019";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1617206;"2020-171";"Self-Reported";"03/05/2020";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1617206;"2020-196";"Complaints";"03/12/2020";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1617206;"2020-198";"Self-Reported";"03/13/2020";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1617206;"2021-777";"Complaints";"11/01/2021";"22-Staffing- Ratios - [19a-79-4a(c)] 57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1011120;"2019-990";"Self-Reported";"10/11/2019";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 23-Staffing- Group size - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1012880;"2021-174";"Complaints";"04/01/2021";"004-Capacity - [19a-87b-10(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017354;"2021-152";"Complaints";"03/23/2021";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 22-Staffing- Ratios - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017195;"2019-1012";"Self-Reported";"10/18/2019";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017195;"2019-1165";"Self-Reported";"12/16/2019";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017195;"2020-35";"Complaints";"01/10/2020";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1017195;"2020-475";"Complaints";"11/12/2020";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017195;"2020-62";"Self-Reported";"01/23/2020";"06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 38-Physical Plant- Environmental requirements - [19a-79-7a(e)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1017195;"2021-54";"Self-Reported";"01/29/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017195;"2021-591";"Complaints";"09/10/2021";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017195;"2021-668";"Self-Reported";"09/23/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017195;"2021-700";"Self-Reported";"10/01/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017195;"2021-892";"Self-Reported";"12/16/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017195;"2022-119";"Complaints";"03/02/2022";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017195;"2022-123";"Complaints";"03/02/2022";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1379997;"2021-869";"Complaints";"12/07/2021";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 21-Staffing- Adequate staff - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017584;"2019-842";"Self-Reported";"08/23/2019";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1613696;"2019-1065";"Self-Reported";"11/01/2019";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 19-Staffing- Staff file on premise - [19a-79-4a(a)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1613696;"2019-910";"Self-Reported";"09/18/2019";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1613696;"2021-556";"Self-Reported";"08/30/2021";"04-Administration- Failure to Report - [19a-79-3a(b)(8)(E)] 24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1613696;"2022-275";"Self-Reported";"04/28/2022";"24-Staffing- Supervision - [19a-79-4a(c)] 31-Health & Safety- Food service - [19a-79-6a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1011209;"2021-501";"Self-Reported";"08/06/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1011209;"2022-287";"Complaints";"04/29/2022";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1011209;"2022-328";"Complaints";"05/13/2022";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
2003085;"2021-463";"Self-Reported";"07/26/2021";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 37-Physical Plant- Basic requirements - [19a-79-7a(d)] 38-Physical Plant- Environmental requirements - [19a-79-7a(e)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1302163;"2021-907";"Complaints";"12/22/2021";"062-Meeting the Child's Needs - [19a-87b-10(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1375592;"2019-697";"Complaints";"08/05/2019";"11b-Administration-Daily Attendance Records - [19a-79-3a(d)(1)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1375592;"2021-466";"Complaints";"07/27/2021";"22-Staffing- Ratios - [19a-79-4a(c)] 57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1375592;"2021-524";"Complaints";"08/18/2021";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 57-Under Three Endorsement- Infant/toddler (ratio, group size, barrier) - [19a-79-10(c)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1375592;"2021-563";"Complaints";"09/01/2021";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 06-Administration- Responsibility of overall management & operation - [19a-79-3a(b)] 20-Staffing- Staff records - [19a-79-4a(b)] 31-Health & Safety- Food service - [19a-79-6a(a)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1375592;"2021-606";"Complaints";"09/14/2021";"22-Staffing- Ratios - [19a-79-4a(c)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] 69-School Age Endorsement- Ratio - [19a-79-11(d)] 70-School Age Endorsement- Group size - [19a-79-11(e)] [Reference regulation link above.]";"Referred to Legal Division";;;;
1375592;"2021-7";"Complaints";"01/07/2021";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1375592;"2021-82";"Self-Reported";"02/16/2021";"24-Staffing- Supervision - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017587;"2019-1058";"Complaints";"10/31/2019";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017587;"2019-866";"Complaints";"09/04/2019";"21-Staffing- Adequate staff - [19a-79-4a(c)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017587;"2019-870";"Self-Reported";"09/04/2019";"30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017587;"2020-520";"Complaints";"12/15/2020";"30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016941;"2021-817";"Complaints";"11/12/2021";"11-Administration-Policies, plans and procedures - [19a-79-3a(d)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1016940;"2019-1083";"Complaints";"11/12/2019";"24-Staffing- Supervision - [19a-79-4a(c)] 68-School Age Endorsement- Activities - [19a-79-11(c)] 69-School Age Endorsement- Ratio - [19a-79-11(d)] 70-School Age Endorsement- Group size - [19a-79-11(e)] 71-School Age Endorsement- Designated head teacher - [19a-79-11(f)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017187;"2021-245";"Complaints";"04/28/2021";"07-Administration- Managing Child Behavior - [19a-79-3a(b)(8)(A)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017874;"2021-626";"Self-Reported";"09/16/2021";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1017874;"2022-361";"Complaints";"05/27/2022";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1499071;"2020-272";"Complaints";"07/08/2020";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1499071;"2021-503";"Self-Reported";"08/09/2021";"05-Administration- Ensuring the safety, health & development of children - [19a-79-3a(a)] 08-Administration- Child protection - [19a-79-3a(b)(8)(C)] 11-Administration-Policies, plans and procedures - [19a-79-3a(d)] 24-Staffing- Supervision - [19a-79-4a(c)] 30-Record Keeping- Responsibility for maintain children's records - [19a-79-5a(a)] [Reference regulation link above.]";"Corrective Action Plan";;;;
1383023;"2020-152";"Complaints";"02/26/2020";"11b-Administration-Daily Attendance Records - [19a-79-3a(d)(1)] [Reference regulation link above.]";"Corrective Action Plan";;;;
