"CCUS ID";"MT ID";"Name";"Address";"City";"State";"zip";;;;
1009391;215621;"Bonney Lake KinderCare";"9010 Main St. East";"Bonney Lake";"WA";98391;"(877) 959-6679";;;
1009394;215271;"Issaquah II KinderCare";"4341 W. Lake Sammamish Pkwy SE";"Issaquah";"WA";98027;"(877) 959-6679";;;
1009398;215791;"Mullan KinderCare";"North 422 Mullan Rd.";"Spokane";"WA";99206;"(877) 959-6679";;;
1065395;61751;"S Arlington Heights KinderCare";"1003 South Arlington Heights Rd.";"Arlington Heights";"IL";60005;"(877) 959-6679";;;
1065425;68661;"Belleville KinderCare";"2511 Eastview Dr.";"Belleville";"IL";62221;"(877) 959-6679";;;
1065449;70101;"Bensenville KinderCare";"324 East Green St.";"Bensenville";"IL";60106;"(877) 959-6679";;;
1065460;68341;"Washington Street KinderCare";"2410 East Washington St.";"Bloomington";"IL";61704;"(877) 959-6679";;;
1065468;73081;"Seneca Lane KinderCare";"530 Seneca Lane";"Bolingbrook";"IL";60440;"(877) 959-6679";;;
1065478;64931;"Bourbonnais KinderCare";"150 W. John Casey Rd.";"Bourbonnais";"IL";60914;"(877) 959-6679";;;
1065530;71581;"Devonshire KinderCare";"410 Devonshire Dr.";"Champaign";"IL";61820;"(877) 959-6679";;;
1065822;64411;"Berkshire Drive KinderCare";"14 Berkshire Dr.";"Crystal Lake";"IL";60014;"(877) 959-6679";;;
1065840;67201;"Hillcrest Drive KinderCare";"207 E Hillcrest Dr.";"Dekalb";"IL";60115;"(877) 959-6679";;;
1065886;72621;"Edwardsville KinderCare";"500 Goshen Rd.";"Edwardsville";"IL";62025;"(877) 959-6679";;;
1065930;64461;"East Geneva KinderCare";"1400 Hill Rd.";"Geneva";"IL";60134;"(877) 959-6679";;;
1065938;66721;"Glen Ellyn KinderCare";"2 South 726 Route 53";"Glen Ellyn";"IL";60137;"(877) 959-6679";;;
1065942;64821;"Glendale Heights KinderCare";"1470 Bloomingdale Rd.";"Glendale Heights";"IL";60139;"(877) 959-6679";;;
1065955;76141;"Grayslake KinderCare";"790 N Lake St.";"Grayslake";"IL";60030;"(877) 959-6679";;;
1066017;68891;"Joliet KinderCare";"2605 Black Rd.";"Joliet";"IL";60435;"(877) 959-6679";;;
1066044;73361;"Lake Zurich KinderCare";"550 W. Cuba Rd.";"Lake Zurich";"IL";60047;"(877) 959-6679";;;
1066063;74521;"Lisle College Rd KinderCare";"6420 College Rd.";"Lisle";"IL";60532;"(877) 959-6679";;;
1066103;66101;"Matteson KinderCare";"18 Central Ave.";"Matteson";"IL";60443;"(877) 959-6679";;;
1066203;65341;"Oak Forest KinderCare";"15700 Central Ave.";"Oak Forest";"IL";60452;"(877) 959-6679";;;
1066232;68841;"Merchants Drive KinderCare";"260 North Merchants Dr.";"Oswego";"IL";60543;"(877) 959-6679";;;
1066255;63021;"Florence KinderCare";"1125 West Florence Ave.";"Peoria";"IL";61604;"(877) 959-6679";;;
1066307;70341;"Rock Island KinderCare";"3316 Blackhawk Rd.";"Rock Island";"IL";61201;"(877) 959-6679";;;
1066327;96881;"Northridge KinderCare";"3890 Northridge Dr.";"Rockford";"IL";61114;"(877) 959-6679";;;
1066353;62971;"Westover Lane KinderCare";"1122 Westover Lane";"Schaumburg";"IL";60193;"(877) 959-6679";;;
1066370;65841;"South Holland KinderCare";"17025 South Park Ave.";"South Holland";"IL";60473;"(877) 959-6679";;;
1066412;72101;"Vernon Hills KinderCare";"451 Creekside Dr.";"Vernon Hills";"IL";60061;"(877) 959-6679";;;
1066460;62071;"Lake Cook KinderCare";"1025 East Lake Cook Rd.";"Wheeling";"IL";60090;"(877) 959-6679";;;
1066897;34996;"Center City KinderCare";"1700 Market St.";"Philadelphia";"PA";19103;"(877) 959-6679";;;
1068297;215161;"First Avenue KinderCare";"32324 First Ave. South";"Federal Way";"WA";98003;"(877) 959-6679";;;
1068298;215291;"Kent KinderCare";"23921 112th Ave. South East";"Kent";"WA";98031;"(877) 959-6679";;;
1068299;215421;"Renton II KinderCare";"11010 S.E. Petrovitsky";"Renton";"WA";98055;"(877) 959-6679";;;
1068301;215141;"Auburn KinderCare";"2916 Auburn Way North";"Auburn";"WA";98002;"(877) 959-6679";;;
1068303;215311;"Midway KinderCare";"25400 Pacific Highway South";"Kent";"WA";98032;"(877) 959-6679";;;
1068304;215441;"Petrovitsky KinderCare";"14725 Southeast Petrovitsky Rd.";"Renton";"WA";98058;"(877) 959-6679";;;
1068305;215451;"Renton Highlands KinderCare";"1225 Anacortes Ave. NE";"Renton";"WA";98059;"(877) 959-6679";;;
1068308;215371;"Covington KinderCare";"27050 174th Place SE";"Kent";"WA";98042;"(877) 959-6679";;;
1068309;215501;"Normandy Park KinderCare";"18020 Des Moines Memorial Dr.";"Seattle";"WA";98148;"(877) 959-6679";;;
1068310;215361;"Maple Valley KinderCare";"22040 Southeast Wax Rd.";"Maple Valley";"WA";98038;"(877) 959-6679";;;
1068311;215431;"Kennydale KinderCare";"1795 NE 44th St.";"Renton";"WA";98056;"(877) 959-6679";;;
1068312;215241;"Brown's Point KinderCare";"34110 Hoyt Rd. SW";"Federal Way";"WA";98023;"(877) 959-6679";;;
1068313;215391;"Redmond KinderCare";"6534 E. Lake Sammamish Pkwy NE";"Redmond";"WA";98052;"(877) 959-6679";;;
1068314;215611;"Silverdale KinderCare";"3500 Northwest Randall Way";"Silverdale";"WA";98383;"(877) 959-6679";;;
1068315;215821;"South Hill KinderCare";"East 3201 26th Ave.";"Spokane";"WA";99223;"(877) 959-6679";;;
1077875;217311;"Stonegate I KinderCare";"16975 Village Center Dr. E.";"Parker";"CO";80134;"(877) 959-6679";;;
1077877;217371;"Redstone KinderCare";"9314 Commerce Center St.";"Littleton";"CO";80129;"(877) 959-6679";;;
1077895;217301;"Mountain Shadows KinderCare";"6610 Flying W Ranch Rd.";"Colorado Springs";"CO";80919;"(877) 959-6679";;;
1077896;217221;"Vickers KinderCare";"3325 Vickers Dr.";"Colorado Springs";"CO";80918;"(877) 959-6679";;;
1077898;221041;"Mesa KinderCare";"1204 Mesa Rd.";"Colorado Springs";"CO";80904;"(877) 959-6679";;;
1077899;340331;"Monument KinderCare";"1150 W. Baptist Rd.";"Colorado Springs";"CO";80921;"(877) 959-6679";;;
1077900;221071;"Stetson Hills KinderCare";"5797 Jackpot Dr.";"Colorado Springs";"CO";80922;"(877) 959-6679";;;
1077931;217261;"Church Ranch KinderCare";"7395 Church Ranch Blvd.";"Broomfield";"CO";80021;"(877) 959-6679";;;
1077947;221121;"Rocky Mountain KinderCare";"1100 Rocky Mountain Way";"Fort Collins";"CO";80526;"(877) 959-6679";;;
1068306;215281;"Panther Lake KinderCare";"20845 108th Ave. SE";"Kent";"WA";98031;"(877) 959-6679";;;
1068307;215151;"Redondo KinderCare";"28715 18th Ave. South";"Federal Way";"WA";98003;"(877) 959-6679";;;
1068300;215171;"West Campus KinderCare";"33504 13th Place South";"Federal Way";"WA";98003;"(877) 959-6679";;;
1077901;217411;"Northgate KinderCare";"1004 Middle Creek Pkwy";"Colorado Springs";"CO";80921;"(877) 959-6679";;;
1077897;217381;"Northwoods KinderCare";"7035 Lexington Dr.";"Colorado Springs";"CO";80918;"(877) 959-6679";;;
86257;28029;"Forest Crossing KinderCare";"9005 Forest Crossing Dr.";"Spring";"TX";77381;"(877) 959-6679";;;
86432;28011;"Clear Lake KinderCare";"14777 El Camino Real";"Houston";"TX";77062;"(877) 959-6679";;;
86432;28210;"Clear Lake KinderCare";"16610 Sea Lark Rd.";"Houston";"TX";77062;"(877) 959-6679";;;
104768;217971;"Country Club KinderCare";"7210 Vista Dr.";"West Des Moines";"IA";50266;"(877) 959-6679";;;
126977;216951;"Alma Mesa KinderCare";"2862 South Alma School Rd.";"Mesa";"AZ";85210;"(877) 959-6679";;;
127076;216821;"La Canada KinderCare";"10455 N La Canada Dr";"Tucson";"AZ";85737;"(877) 959-6679";;;
145269;8137;"County Kids Place KinderCare";"2916 Hope St.";"Los Angeles";"CA";90007;"(877) 959-6679";;;
146435;6862;"Kidango Sharon Jones Center";"4700 Calaveras Avenue";"Fremont";"CA";94538;"(877) 959-6679";;;
146967;340751;"Harbor-UCLA KinderCare";"975 West Carson St.";"Torrance";"CA";90502;"(877) 959-6679";;;
147283;7688;"Kidango Helen Turner Center";"23640 Reed Way";"Hayward";"CA";94541;"(877) 959-6679";;;
147524;11125;"City of Industry KinderCare";"1650 Stoner Creek Rd.";"Rowland Heights";"CA";91748;"(877) 959-6679";;;
147551;10244;"KinderCare Santa Clara";"840 Bing Dr.";"Santa Clara";"CA";95051;"(877) 959-6679";;;
147565;6866;"Calaveras KinderCare Fremont";"4727 Calaveras Ave.";"Fremont";"CA";94538;"(877) 959-6679";;;
147588;13540;"Las Flores KinderCare";"28672 Deerpath";"Rancho Santa Margarita";"CA";92688;"(877) 959-6679";;;
147608;8909;"Herndon Avenue KinderCare";"1190 West Herndon Ave.";"Fresno";"CA";93650;"(877) 959-6679";;;
147616;8342;"Jacklin Commons KinderCare Milpitas";"860 N. Hillview Dr.";"Milpitas";"CA";95035;"(877) 959-6679";;;
147635;10597;"KinderCare Sunnyvale";"1155 East Arques Ave.";"Sunnyvale";"CA";94085;"(877) 959-6679";;;
147661;9716;"Carmel Mountain KinderCare San Diego";"12135 World Trade Dr.";"San Diego";"CA";92128;"(877) 959-6679";;;
147666;10192;"El Sobrante KinderCare";"3240 San Pablo Dam Rd.";"El Sobrante";"CA";94803;"(877) 959-6679";;;
147708;15186;"Foster City KinderCare";"1006 Metro Center Blvd.";"San Mateo";"CA";94404;"(877) 959-6679";;;
147717;9720;"Del Mar Highlands KinderCare San Diego";"3790 Townsgate Dr.";"San Diego";"CA";92130;"(877) 959-6679";;;
195927;339751;"Middlebelt Road KinderCare";"25005 Middlebelt Rd.";"Farmington";"MI";48336;"(877) 959-6679";;;
198935;42885;"Jade Child Development Center";"41128 Palmer Rd.";"Canton";"MI";48188;"(877) 959-6679";;;
202671;340461;"Farmington Hills KinderCare";"29375 Halsted Rd.";"Farmington";"MI";48331;"(877) 959-6679";;;
533867;47450;"Miami Lakes KinderCare";"8001 Oak Lane";"Hialeah";"FL";33016;"(877) 959-6679";;;
533870;44064;"KinderCare Indian Harbour Bch";"200 Riverside Park Dr.";"Satellite Beach";"FL";32937;"(877) 959-6679";;;
533872;44769;"Eagle Harbor Pkwy KinderCare";"1735 Eagle Harbor Pkwy";"Fleming Island";"FL";32003;"(877) 959-6679";;;
533879;48708;"Celebration KinderCare";"400 Celebration Blvd.";"Kissimmee";"FL";34747;"(877) 959-6679";;;
533894;44386;"Coconut Creek KinderCare";"4601 Northwest 30th St.";"Pompano Beach";"FL";33063;"(877) 959-6679";;;
533900;44388;"Kimberly Boulevard KinderCare";"7460 Kimberly Blvd.";"Pompano Beach";"FL";33068;"(877) 959-6679";;;
533901;44389;"Holiday Springs KinderCare";"3225 Holiday Springs Blvd.";"Pompano Beach";"FL";33063;"(877) 959-6679";;;
533918;48912;"Greenacres KinderCare";"3035 Jog Rd";"Lake Worth";"FL";33467;"(877) 959-6679";;;
533919;48916;"East Boca Raton KinderCare";"6550 Broken Sound Pkwy NW";"Boca Raton";"FL";33487;"(877) 959-6679";;;
553292;217651;"KinderCare Dunwoody";"5695 Chamblee Dunwoody Rd.";"Atlanta";"GA";30338;"(877) 959-6679";;;
586645;110531;"Kingstowne KinderCare";"6301 Kingstowne Commons Dr.";"Alexandria";"VA";22315;"(877) 959-6679";;;
586672;110821;"Parham Road KinderCare";"2240 East Parham Rd.";"Henrico";"VA";23228;"(877) 959-6679";;;
586702;111081;"Newport News/Denbigh KinderCare";"12707 Jefferson Ave.";"Newport News";"VA";23602;"(877) 959-6679";;;
592705;215231;"Mill Creek KinderCare";"15711 Mill Creek Blvd.";"Bothell";"WA";98012;"(877) 959-6679";;;
592772;215711;"Hazel Dell KinderCare South Vancouver WA";"7114 NE Hazel Dell Ave.";"Vancouver";"WA";98665;"(877) 959-6679";;;
592773;339491;"Cascade Park KinderCare Vancouver WA";"400 Southeast 120th Ave.";"Vancouver";"WA";98683;"(877) 959-6679";;;
594105;215741;"Fisher's Landing KinderCare Vancouver WA";"16808 S.E. McGillivray Blvd.";"Vancouver";"WA";98683;"(877) 959-6679";;;
595191;215721;"Orchards KinderCare Vancouver WA";"7715 NE 119th Place";"Vancouver";"WA";98682;"(877) 959-6679";;;
596799;215751;"Hazel Dell KinderCare North Vancouver WA";"10021 N.E. Hazel Dell Ave.";"Vancouver";"WA";98685;"(877) 959-6679";;;
610297;38741;"High School Road  KinderCare";"4009 North High School Rd.";"Indianapolis";"IN";46254;"(877) 959-6679";;;
659561;136741;"Old Tappan KinderCare";"176 Old Tappan Rd.";"Westwood";"NJ";7675;"(877) 959-6679";;;
659775;137971;"Delran KinderCare";"1 Tenby Chase Dr.";"Riverside";"NJ";8075;"(877) 959-6679";;;
660828;142701;"Logan Township KinderCare";"1603 Center Square Rd.";"Swedesboro";"NJ";8085;"(877) 959-6679";;;
661438;146861;"Knowledge Beginnings";"450 College Rd. East";"Princeton";"NJ";8540;"(877) 959-6679";;;
661868;149961;"Aberdeen KinderCare";"1330 Highway 34";"Matawan";"NJ";7747;"(877) 959-6679";;;
664417;175521;"Eldersburg KinderCare";"1641 Liberty Rd.";"Sykesville";"MD";21784;"(877) 959-6679";;;
665734;180901;"Lake Arbor KinderCare";"10280 Lake Arbor Way";"Bowie";"MD";20721;"(877) 959-6679";;;
680692;216681;"KinderCare at East Blvd.";"3025 Buckboard Rd.";"Montgomery";"AL";36116;"(877) 959-6679";;;
680696;216711;"KinderCare at Meadowbrook";"1700 Corporate Dr.";"Birmingham";"AL";35242;"(877) 959-6679";;;
689263;221201;"O'Fallon KinderCare";"6016 Weldon Spring Parkway";"Saint Charles";"MO";63304;"(877) 959-6679";;;
689645;218891;"Kirkwood West KinderCare";"13550 Big Bend Rd.";"Saint Louis";"MO";63122;"(877) 959-6679";;;
689646;219131;"Creve Coeur KinderCare";"12821 Portulaca Dr.";"Saint Louis";"MO";63146;"(877) 959-6679";;;
689653;219121;"Florissant KinderCare";"3815 Shackelford Rd.";"Florissant";"MO";63034;"(877) 959-6679";;;
689656;219151;"Fenton KinderCare";"1481 Hawkins Rd.";"Fenton";"MO";63026;"(877) 959-6679";;;
707657;33494;"East Pittsburgh KinderCare";"201 Twin Oak Dr.";"Pittsburgh";"PA";15235;"(877) 959-6679";;;
708272;35940;"Newtown KinderCare";"9 Pheasant Run";"Newtown";"PA";18940;"(877) 959-6679";;;
711749;36319;"Main Street KinderCare";"1810 S. Main St.";"Wilkes Barre";"PA";18702;"(877) 959-6679";;;
712178;35079;"KinderCare at Harcum College";"750 Montgomery Ave.";"Bryn Mawr";"PA";19010;"(877) 959-6679";;;
732665;221241;"Moore KinderCare";"1812 North Eastern Ave.";"Oklahoma City";"OK";73160;"(877) 959-6679";;;
732785;219871;"12th Avenue KinderCare Norman OK";"505 12th Ave. Southeast";"Norman";"OK";73071;"(877) 959-6679";;;
733422;219771;"East 43rd Avenue KinderCare Tulsa OK";"12928 East 43rd Place S";"Tulsa";"OK";74134;"(877) 959-6679";;;
733444;219831;"71st Street KinderCare Tulsa OK";"5110 E. 71st St. South";"Tulsa";"OK";74136;"(877) 959-6679";;;
733464;219841;"31st Street KinderCare Tulsa OK";"11633 E. 31st St. South";"Tulsa";"OK";74146;"(877) 959-6679";;;
776634;64051;"Jones Road KinderCare";"1275 Jones Rd.";"Schaumburg";"IL";60195;"(877) 959-6679";;;
777555;65491;"Oak Park Ave. KinderCare";"16100 Oak Park Ave.";"Tinley Park";"IL";60477;"(877) 959-6679";;;
779982;73841;"Lindenhurst KinderCare";"599 Falling Waters Way";"Lake Villa";"IL";60046;"(877) 959-6679";;;
812129;340431;"Eden Prairie KinderCare North";"13033 Valley View Rd.";"Eden Prairie";"MN";55344;"(877) 959-6679";;;
812131;340451;"Eden Prairie KinderCare Aztec";"8825 Aztec Dr.";"Eden Prairie";"MN";55347;"(877) 959-6679";;;
812132;187971;"Brooklyn Blvd. KinderCare";"7660 Kentucky Ave. North";"Minneapolis";"MN";55428;"(877) 959-6679";;;
812133;340291;"Arden Hills KinderCare";"4545 N. Hamline Ave.";"Saint Paul";"MN";55112;"(877) 959-6679";;;
812135;356;"Lexington Avenue KinderCare";"3420 Lexington Ave. N.";"Saint Paul";"MN";55126;"(877) 959-6679";;;
812137;187991;"Fernbrook KinderCare";"3050 Fernbrook Lane North";"Minneapolis";"MN";55441;"(877) 959-6679";;;
812138;188001;"Green Meadows KinderCare Rochester MN";"1815 Greenview Pl. SW";"Rochester";"MN";55902;"(877) 959-6679";;;
812141;188011;"Brookdale KinderCare";"6020 Earle Brown Dr.";"Minneapolis";"MN";55430;"(877) 959-6679";;;
812142;188021;"Cedar KinderCare";"8800 Cedar Ave. South";"Minneapolis";"MN";55425;"(877) 959-6679";;;
812143;340441;"Eagan North KinderCare";"1101 Town Centre Dr.";"Saint Paul";"MN";55123;"(877) 959-6679";;;
812144;340471;"Fridley KinderCare";"5310 Monroe St. North East";"Minneapolis";"MN";55421;"(877) 959-6679";;;
812145;340551;"Maplewood KinderCare II";"2036 County Rd. D E";"Saint Paul";"MN";55109;"(877) 959-6679";;;
812146;188031;"14th Street KinderCare Rochester MN";"402 14th St. North West";"Rochester";"MN";55901;"(877) 959-6679";;;
812149;340671;"East St. Paul KinderCare";"2070 Burns Ave.";"Saint Paul";"MN";55119;"(877) 959-6679";;;
812274;188091;"MoundsView KinderCare";"2791 County Rd.10 NE";"Saint Paul";"MN";55112;"(877) 959-6679";;;
812275;188101;"Bloomington KinderCare";"8950 France Ave. South";"Minneapolis";"MN";55431;"(877) 959-6679";;;
812276;188111;"Eagan Krestwood KinderCare";"3620 Krestwood Lane";"Saint Paul";"MN";55123;"(877) 959-6679";;;
812277;188121;"Maple Grove KinderCare";"6270 Sycamore Lane North";"Osseo";"MN";55369;"(877) 959-6679";;;
812278;188131;"Grove Drive KinderCare";"13380 Grove Dr.";"Osseo";"MN";55369;"(877) 959-6679";;;
812279;339781;"Meadowlands KinderCare";"1000 Meadowlands Dr.";"Saint Paul";"MN";55127;"(877) 959-6679";;;
812281;188151;"Jefferson Street KinderCare";"10851 Jefferson St. Northeast";"Minneapolis";"MN";55434;"(877) 959-6679";;;
812282;188161;"Coon Rapids Blvd KinderCare";"1800 Coon Rapids Blvd. NW";"Minneapolis";"MN";55433;"(877) 959-6679";;;
812283;188171;"Osseo KinderCare";"9745 Revere Lane North";"Osseo";"MN";55369;"(877) 959-6679";;;
812288;188221;"City Centre KinderCare";"8425 City Centre Dr.";"Saint Paul";"MN";55125;"(877) 959-6679";;;
812289;188231;"Brooklyn Park KinderCare";"7924 Brooklyn Blvd.";"Minneapolis";"MN";55445;"(877) 959-6679";;;
812291;188251;"Maplewood KinderCare";"1925 County Rd. D E";"Saint Paul";"MN";55109;"(877) 959-6679";;;
812295;188271;"County Road KinderCare";"4475 Highway 169 N";"Minneapolis";"MN";55442;"(877) 959-6679";;;
812296;188281;"Apple Valley KinderCare";"7691 145th St. W.";"Saint Paul";"MN";55124;"(877) 959-6679";;;
812608;188301;"Hanson Blvd KinderCare";"1755 121st Ave. Northwest";"Minneapolis";"MN";55448;"(877) 959-6679";;;
812830;188351;"Eden Prairie KinderCare Dell";"18295 Cascade Dr.";"Eden Prairie";"MN";55347;"(877) 959-6679";;;
812853;188371;"Eagan Cliff Road KinderCare";"1865  Plaza Dr.";"Saint Paul";"MN";55122;"(877) 959-6679";;;
812854;188381;"Carver Lake KinderCare";"6435 Lake Rd. Terrace";"Saint Paul";"MN";55125;"(877) 959-6679";;;
813123;188481;"Eagan Knowledge Beginnings";"4155 Lexington Ave. S.";"Saint Paul";"MN";55123;"(877) 959-6679";;;
813124;341011;"Oak Grove Knowledge Beginnings";"570 Oak Grove Pkwy";"Saint Paul";"MN";55127;"(877) 959-6679";;;
813158;188491;"Oakdale KinderCare";"7380 10th St. North";"Saint Paul";"MN";55128;"(877) 959-6679";;;
813543;188551;"Dodd Blvd Lakeville KinderCare";"17420 Dodd Blvd.";"Lakeville";"MN";55044;"(877) 959-6679";;;
822803;5001;"Fairlawn KinderCare";"4050 Embassy Pkwy";"Akron";"OH";44333;"(877) 959-6679";;;
823621;2870;"Cherry Way KinderCare";"1341 Cherry Way Dr.";"Columbus";"OH";43230;"(877) 959-6679";;;
823638;340491;"Gahanna KinderCare";"520 Morrison Rd.";"Columbus";"OH";43230;"(877) 959-6679";;;
823639;2871;"North Stygler KinderCare";"139 North Stygler Rd.";"Columbus";"OH";43230;"(877) 959-6679";;;
823642;340301;"Alpha Park KinderCare";"679-H Alpha Dr.";"Cleveland";"OH";44143;"(877) 959-6679";;;
823649;1663;"Landerhaven KinderCare";"200 Allen Bradley Dr.";"Cleveland";"OH";44124;"(877) 959-6679";;;
823650;3743;"N Ridgeville KinderCare";"7171 Lear Nagel Rd.";"North Ridgeville";"OH";44039;"(877) 959-6679";;;
823652;5042;"North Canton KinderCare";"6625 Market Ave. North";"Canton";"OH";44721;"(877) 959-6679";;;
823663;2940;"Park Road KinderCare";"401 Park Rd.";"Columbus";"OH";43085;"(877) 959-6679";;;
823666;5043;"Canton KinderCare";"4540 Dressler Rd. Northwest";"Canton";"OH";44718;"(877) 959-6679";;;
823671;4475;"Kettering KinderCare";"1111 East Stroop Rd.";"Dayton";"OH";45429;"(877) 959-6679";;;
823681;2513;"Lyndhurst KinderCare";"5684 Mayfield Rd.";"Cleveland";"OH";44124;"(877) 959-6679";;;
823703;339691;"Anderson Township Kindercare";"1184 Witt Rd.";"Cincinnati";"OH";45255;"(877) 959-6679";;;
823706;339511;"Hard Road KinderCare";"2001 Hard Rd.";"Columbus";"OH";43235;"(877) 959-6679";;;
823721;4474;"Ebert KinderCare";"1875 Ebert Ave.";"Dayton";"OH";45439;"(877) 959-6679";;;
823722;4377;"Garnet Drive KinderCare";"8150 Garnet Dr.";"Dayton";"OH";45458;"(877) 959-6679";;;
823724;2369;"Beavercreek KinderCare";"2221 N. Fairfield Rd.";"Dayton";"OH";45431;"(877) 959-6679";;;
823726;4463;"Huber Heights KinderCare";"7305 Old Troy Pike";"Dayton";"OH";45424;"(877) 959-6679";;;
823728;340481;"Forest Park West KinderCare";"2291 Reliance Dr.";"Cincinnati";"OH";45240;"(877) 959-6679";;;
834937;220241;"Cedar Bluff KinderCare";"9200 Gulf Park Dr.";"Knoxville";"TN";37923;"(877) 959-6679";;;
836579;220321;"Bartlett KinderCare";"6000 Bartlett Center Dr.";"Memphis";"TN";38134;"(877) 959-6679";;;
837672;220291;"Johnson City KinderCare";"906 Sunset Dr.";"Johnson City";"TN";37604;"(877) 959-6679";;;
837837;220361;"Franklin KinderCare";"205 Bedford Way";"Franklin";"TN";37064;"(877) 959-6679";;;
848230;217231;"Park Meadows KinderCare";"8100 Park Meadows Dr.";"Lone Tree";"CO";80124;"(877) 959-6679";;;
848236;221101;"Green Mountain KinderCare";"1139 South Alkire St.";"Denver";"CO";80228;"(877) 959-6679";;;
848267;217241;"Northglenn KinderCare";"701 West 114th Ave.";"Denver";"CO";80234;"(877) 959-6679";;;
848332;217281;"East Thornton KinderCare";"4200 East 128th Ave.";"Denver";"CO";80241;"(877) 959-6679";;;
848352;217211;"Kipling Parkway KinderCare";"975 South Kipling Pkwy";"Denver";"CO";80226;"(877) 959-6679";;;
859273;219551;"Merrimack KinderCare DW HWY";"325 Daniel Webster Highway";"Merrimack";"NH";3054;"(877) 959-6679";;;
879546;220711;"Northside Kindercare";"2017 Londonderry Dr.";"Madison";"WI";53704;"(877) 959-6679";;;
879606;220701;"Monona KinderCare";"6109 Monona Dr.";"Madison";"WI";53716;"(877) 959-6679";;;
881640;220681;"61st Street KinderCare";"2374 S. 61St St.";"Milwaukee";"WI";53219;"(877) 959-6679";;;
881973;220901;"Greenfield KinderCare";"8650 West Forest Home Ave.";"Milwaukee";"WI";53228;"(877) 959-6679";;;
881987;220821;"Brown Deer KinderCare";"8750 North 51st St.";"Milwaukee";"WI";53223;"(877) 959-6679";;;
882330;220601;"Mequon KinderCare";"10813 N Port Washington Rd.";"Thiensville";"WI";53092;"(877) 959-6679";;;
883533;220611;"Main Street KinderCare";"N88 W15240 Main St.";"Menomonee Falls";"WI";53051;"(877) 959-6679";;;
893373;219461;"Millard KinderCare";"5636 South 147th St.";"Omaha";"NE";68137;"(877) 959-6679";;;
894207;219531;"Northeast KinderCare Lincoln NE";"6900 Huntington Ave.";"Lincoln";"NE";68507;"(877) 959-6679";;;
897297;219671;"Fielday School KinderCare Las Vegas";"3570 N. Buffalo Dr.";"Las Vegas";"NV";89129;"(877) 959-6679";;;
903656;220071;"Hall Boulevard KinderCare";"11533 Southwest Hall Blvd.";"Portland";"OR";97223;"(877) 959-6679";;;
