cost_ctr_no;id;ctr_desc;addr;addr2;city;state;zip;area_cd;phone;Director Name;time_open;time_close;URL;welcome message;programs;condensed programs;Age Range
300410;56817;Richardson Road KinderCare;4225 Richardson Rd.;;Independence;KY;41051-8721;859;525-8662;Pamela Luttrell;6:15 AM;6:00 PM;http://www.kindercare.com/our-centers/independence/ky/300512/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Pamela Luttrell, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301626;86217;Guilbeau KinderCare;8980 Guilbeau Rd.;;San Antonio;TX;78250-2650;210;680-4077;Nicole Harmon;6:00 AM;6:30 PM;http://www.kindercare.com/our-centers/san-antonio/tx/300847/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Nicole Harmon, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301627;86218;Timber Path KinderCare;8787 Timber Path;;San Antonio;TX;78250-4353;210;680-2825;Shailaja Singh;6:15 AM;6:30 PM;http://www.kindercare.com/our-centers/san-antonio/tx/300864/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Shailaja Singh, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301584;86220;Boone Road KinderCare;7019 Boone Rd.;;Houston;TX;77072-2521;281;498-2528;Tamikae Penson-Wilson;6:00 AM;6:30 PM;http://www.kindercare.com/our-centers/houston/tx/300446/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Tamikae Penson-Wilson, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;18Months - 12 Years
301545;86221;Deer Park KinderCare;602 S Pasadena Blvd.;;Deer Park;TX;77536-5747;281;479-6121;Jackie Byars;6:00 AM;6:30 PM;http://www.kindercare.com/our-centers/deer-park/tx/300448/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Jackie Byars, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301534;86222;Village Drive KinderCare;1711 Village Dr.;;College Station;TX;77840-3246;979;693-9900;Cecilia Anders;6:00 AM;6:00 PM;http://www.kindercare.com/our-centers/college-station/tx/300839/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Cecilia Anders, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301528;86223;Carter Creek KinderCare;4351 Carter Creek Pkwy;;Bryan;TX;77802-4414;979;846-1037;Cynthia Morgan;6:30 AM;6:00 PM;http://www.kindercare.com/our-centers/bryan/tx/300841/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Cynthia Morgan, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs;6 Weeks - 12 Years
301535;86224;Balcones KinderCare;937 Balcones Dr.;;College Station;TX;77840;979;696-9062;Brooklyn Thomas;6:00 AM;6:00 PM;http://www.kindercare.com/our-centers/college-station/tx/300843/?cid=ref_childcarecenter_us;Welcome! We are excited you are interested in KinderCare Learning Center Balcones Drive. This webpage will offer you a glimpse of our center, but to find out what it is all about we invite you to stop in for a tour.;Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301601;86226;South Shore KinderCare;106 Meadow Pkwy;;League City;TX;77573-4347;281;334-5795;Chrissie Higa;6:00 AM ;6:30 PM;http://www.kindercare.com/our-centers/league-city/tx/301419/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Chrissie Higa, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301533;86227;Hebron KinderCare;4241 Marsh Lane;;Carrollton;TX;75007;972;862-6700;Tiffany Hurst;6:30 AM;6:30 PM;http://www.kindercare.com/our-centers/carrollton/tx/000187/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Tiffany Hurst, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301641;86228;Watauga KinderCare;5801 Watauga Rd.;;Watauga;TX;76148-3070;817;656-9521;Melanie Marshall;6:00 AM;6:30 PM;http://www.kindercare.com/our-centers/watauga/tx/300881/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Melanie Marshall, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301536;86229;Kitty Hawk KinderCare;8110 Lone Shadow;;Converse;TX;78109;210;659-0364;Felicia Hill;6:30 AM;6:30 PM;http://www.kindercare.com/our-centers/converse/tx/000398/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Felicia Hill, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301541;86230;Lakewood KinderCare;13025 Louetta Rd.;;Cypress;TX;77429;281;379-1062;Carrol Adams;6:00 AM;6:30 PM;http://www.kindercare.com/our-centers/cypress/tx/301540/?cid=ref_childcarecenter_us;At our school we all feel that we belong together. Our teachers, parents, children and management join together to form a close community. We are all in a learning environment teaching each other through positive caring interactions, excellent communications, and active participation. In the classroom our teachers ensure that the environment is prepared for learning. Using our developmentally appropriate researched based curriculum, the teachers guide our children through an exciting journey of knowledge and fun;Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301537;86231;Rodd Field Road KinderCare;1354 Rodd Field Rd.;;Corpus Christi;TX;78412-4310;361;991-6571;Linda Marsh;6:00 AM;6:30 PM;http://www.kindercare.com/our-centers/corpus-christi/tx/300370/?cid=ref_childcarecenter_us;The teachers and staff at the Kindercare Learning Center on Rodd Field Road are passionate about educating and nurturing children.  Our teachers have an average of three to 25 years at our center.  Several of our teachers have their Child Development Associate credential, or Associate's Degree in Child Development.  Our Center strives for excellence through continuing education from biannual company professional development trainings to seeking additional trainings.;Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301539;86232;Everhart KinderCare;6826 Everhart  Rd.;;Corpus Christi;TX;78413-2452;361;991-3300;Chrystal Wilkey;6:00 AM;6:30 PM;http://www.kindercare.com/our-centers/corpus-christi/tx/300788/?cid=ref_childcarecenter_us;"We believe in developing the whole child with an emphasis on assisting your child's growth with their social, emotional, cognitive, and physical development.
Here at Everhart KinderCare we believe in a TEAM environment. Our staff work together to ensure the safety and well being of your child on a daily basis. Your child will not only have a safe, secure, and stimulating environment to learn in, but will have support from a team of child development experts who have a true passion for educating and nurturing children. We are very excited to meet with you and your family.";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
301540;86233;Acushnet KinderCare;4040 Acushnet Dr.;;Corpus Christi;TX;78413-2038;361;851-2861;Lisa Steed;6:00 AM;6:30 PM;http://www.kindercare.com/our-centers/corpus-christi/tx/300942/?cid=ref_childcarecenter_us;"<p>Our experts designed our classrooms - and every activity and lesson - to help prepare your child for success in school and beyond. With designated learning centers such as dramatic play and blocks in every classroom, children have the opportunity for rich social play and child-initiated discovery.</p>
 
                        <p>You’ll also find that our classrooms feature a print-rich environment full of carefully selected materials, written charts and labels, and children’s literature. By helping your child connect spoken words and print, we’re helping develop early literacy and writing skills.</p>
 
                        <p>Whether your child has first words or first grade on the horizon, we’re excited to show you how everything in our center is designed for learning!</p>
 
                        <p>Lisa Steed, Center Director</p>";Infant Programs (6 Weeks – 1 Year), Toddler Programs (1 – 2 Years), Discovery Preschool Programs (2 – 3 Years), Preschool Programs (3 – 4 Years), Prekindergarten Programs (4 – 5 Years), Before and After School Programs (5–12 Years), Summer Programs (preschool, prekindergarten, and school-age);Infant Programs, Toddler Programs, Discovery Preschool Programs, Preschool Programs, Prekindergarten Programs, Before and After School Programs, Summer Programs;6 Weeks - 12 Years
