Id;Letter Grade;Name;School Type;Street;City;State;Zip;Phone;Email;Mon;Tue;Wed;Thu;Fri;Website;Twitter;Facebook;District Name;Principal;License Type;License Number;Transportation;Before Care;After Care;CCAP;Star Rating;Grades Available;Enrollment;Capacity;Academic Offerings;Music Art;Opportunities & Clubs;Sports
10016;B;Dolby Elementary School;Traditional public school;817 Jefferson Drive;Lake Charles;LA;70605;337-217-4730;;;;;;;http://www.cpsb.org/Domain/147;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Laura S Phenice;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;377;;Gifted programs;Music, Art;Clubs, Drama, Theater and Dance, Music, Visual Arts, Literature and the Humanities, Adult Mentoring, Affinity Associations, National or Statewide Leadership Associations, School Community Organizations;
10012;A;T. S. Cooley Elementary Magnet School;Magnet school;2711 Common Street;Lake Charles;LA;70601;337-217-4680;;;;;;;http://www.cpsb.org/Domain/141;http://www.twitter.com/CPSBschools;http://www.facebook.com/cpsbcooley/;Calcasieu Parish;Emily Renee Alcock;;;;;;;;Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;305;;;Music, Art;Clubs, Drama, Theater and Dance, Music, Visual Arts, National or Statewide Leadership Associations, School Community Organizations, Career Focus, Games and Gaming, Other;
10015;B;DeQuincy Middle School;Traditional public school;1603 W Fourth St;DeQuincy;LA;70633;337-217-4770;;;;;;;http://www.cpsb.org/Domain/145;http://www.twitter.com/DeQuincy_Middle;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Denise Doyle;;;;;;;;Grade 6, Grade 7, Grade 8;267;;;Band, Music;Athletics, Clubs, Affinity Associations, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Career Focus;Volleyball, Football, Basketball, Golf, Outdoor Track and Field
10033;C;LaGrange High School;Traditional public school;3420 Louisiana Ave;Lake Charles;LA;70605;337-217-4960;;;;;;;http://www.cpsb.org/Domain/159;http://www.twitter.com/CPSBschools;http://www.facebook.com/LaGrange-High-School-Lake-Charles-LA-241694735888627/High-School-Lake-Charles-LA;Calcasieu Parish;Samuel Baynes;;;;;;;;Grade 9, Grade 10, Grade 11, Grade 12;1032;;Advanced Placement Details, Foreign Language Details, Jump Start Pathways (career focused) Details;Band Details, Music, Theatre, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Adult Mentoring, Business Interest, National or Statewide Leadership Associations, Honor Society, Politics and Government, School Community Organizations, Speech and Debate, Career Focus, Games and Gaming, Other;Volleyball, Cross-Country, Football, Indoor Track and Field, Basketball, Softball, Golf, Outdoor Track and Field, Baseball, Bowling
10025;A;Sam Houston High School;Traditional public school;880 S H Jones Parkway;Lake Charles;LA;70611;337-217-4480;;;;;;;http://www.cpsb.org/Domain/173;http://www.twitter.com/SamHouston_High;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Shannon Foolkes;;;;;;;;Grade 9, Grade 10, Grade 11, Grade 12;1268;;Advanced Placement Details, Dual enrollment (college credit) Details, Foreign Language Details, Gifted programs, Jump Start Pathways (career focused) Details;Band Details, Music, Art;Athletics, Clubs, Music, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Adult Mentoring, Business Interest, National or Statewide Leadership Associations, Politics and Government, School Community Organizations, Speech and Debate, Career Focus, Other;Volleyball, Cross-Country, Swimming, Football, Wrestling, Indoor Track and Field, Soccer, Basketball, Softball, Golf, Outdoor Track and Field, Baseball, Tennis
10013;C;DeQuincy Primary School;Traditional public school;304 McNeese Street;Dequincy;LA;70663;337-217-4650;;;;;;;http://www.cpsb.org/Domain/146;http://www.twitter.com/CPSBschools;http://www.facebook.com/dequincyprimary/;Calcasieu Parish;Amanda Guerrero;;;;;Yes;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2;303;;;Music, Art;Clubs, Literature and the Humanities;
10010;D;College Oaks Elementary School;Traditional public school;3618 Ernest Street;Lake Charles;LA;70605;337-217-4560;;;;;;;http://www.cpsb.org/Domain/139;http://www.twitter.com/CollegeOaks;http://www.facebook.com/buckaroos4560/;Calcasieu Parish;Willona K Jackson;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;276;;;Art;Clubs, Music, Visual Arts, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Adult Mentoring, Affinity Associations, Business Interest, National or Statewide Leadership Associations, Honor Society, Politics and Government, School Community Organizations, Speech and Debate, Career Focus, Games and Gaming, Other;
1002;A;Branch Elementary School;Traditional public school;8362 Branch Highway;Branch;LA;70516;337-334-5708;;;;;;;http://www.acadia.k12.la.us/BES/;;;Acadia Parish;Marlene Courvelle;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8;279;;Gifted programs;Band Details, Music, Art;Athletics, Clubs, Music, STEM, Adult Mentoring, Affinity Associations, School Community Organizations, Career Focus;Volleyball, Football, Wrestling, Basketball, Softball, Outdoor Track and Field, Spirit
10019;A;Frasch Elementary School;Traditional public school;540 S Huntington;Sulphur;LA;70663;337-217-4550;;;;;;;http://www.cpsb.org/Domain/149;http://www.twitter.com/FraschElem;http://www.facebook.com/fraschelementary/;Calcasieu Parish;Kristi Russell;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;577;;World language immersion;Art;Clubs, Literature and the Humanities;
1004;C;Church Point Elementary School;Traditional public school;415 East Lougarre Street;Church Point;LA;70525;337-684-5722;;;;;;;http://www.acadia.k12.la.us/CPES;;;Acadia Parish;Ruby Privat;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;594;;;Art;Athletics, Clubs, Peer Tutoring or Mentoring, National or Statewide Leadership Associations, Politics and Government, Career Focus;Outdoor Track and Field
10029;F;John F. Kennedy Elementary School;Traditional public school;2001 Russell St.;Lake Charles;LA;70601;337-217-4760;;;;;;;http://www.cpsb.org/Domain/157;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Phyllis Godfrey;;;;;Yes;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;196;;;Music;Clubs, Honor Society;
10030;B;E. K. Key Elementary School;Traditional public school;1201 E Burton Street;Sulphur;LA;70663;337-217-4660;;;;;;;http://www.cpsb.org/Domain/158;http://www.twitter.com/EKKEYElementary;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Beth Hooper;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;535;;;Art;Clubs, STEM, Peer Tutoring or Mentoring, Honor Society, School Community Organizations, Other;
10023;B;W. T. Henning Elementary School;Traditional public school;774 Henning Drive;Sulphur;LA;70663;337-217-4840;;;;;;;http://www.cpsb.org/Domain/151;http://www.twitter.com/Wthenning;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Brandi Trahan;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;406;;;Art;Clubs, Visual Arts, Literature and the Humanities, Affinity Associations, Career Focus;
10024;C;Henry Heights Elementary School;Traditional public school;3600 Louisiana Avenue;Lake Charles;LA;70607;337-217-4620;;;;;;;http://www.cpsb.org/Domain/152;http://www.twitter.com/CPSBschools;http://www.facebook.com/henryheightselementary/;Calcasieu Parish;Shonda Mhire;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;335;;World language immersion;Art;Clubs, Visual Arts, School Community Organizations;
10051;B;Starks High School;Traditional public school;137 Highway 10p S;Starks;LA;70661;337-217-4820;;;;;;;http://www.cpsb.org/Domain/175;http://www.twitter.com/CPSBschools;http://www.facebook.com/starkshighschoolPKto12/;Calcasieu Parish;Cary Smith;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8, Grade 9, Grade 10, Grade 11, Grade 12;321;;Advanced Placement Details, Foreign Language Details, Jump Start Pathways (career focused) Details;Art;Athletics, Clubs, Drama, Theater and Dance, Literature and the Humanities, STEM, Adult Mentoring, National or Statewide Leadership Associations, Career Focus, Other;Basketball, Softball, Outdoor Track and Field, Baseball
10042;B;A. A. Nelson Elementary School;Traditional public school;1001 Country Club Road;Lake Charles;LA;70605;337-217-4790;;;;;;;http://www.cpsb.org/Domain/168;http://www.twitter.com/AANelsonElem;http://www.facebook.com/aanelsonelementary/;Calcasieu Parish;Adam Caldwell;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;780;;;Music, Art;Clubs, Music, Literature and the Humanities, STEM, Affinity Associations, Business Interest, School Community Organizations, Other;
1003;C;Central Rayne Kindergarten School;Traditional public school;507 North Polk Street;Rayne;LA;70578;337-334-3669;;;;;;;http://www.acadia.k12.la.us/ck;;;Acadia Parish;Christy Higginbotham;;;;;;;;PK (ages 3-4), Kindergarten;207;;;Art;;
10050;C;St. John Elementary School;Traditional public school;5566 Elliott Road;Lake Charles;LA;70605;337-217-4870;;;;;;;http://www.cpsb.org/Domain/174;http://www.twitter.com/CPSBschools;http://www.facebook.com/stjohnelementary/;Calcasieu Parish;Deaanne Kay;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;831;;;Music, Art;Clubs, Music, Visual Arts, Literature and the Humanities, STEM, Adult Mentoring, School Community Organizations, Other;
10018;F;Fairview Elementary School;Traditional public school;3955 Gerstner Mem. Drive;Lake Charles;LA;70607;337-217-4490;;;;;;;http://www.cpsb.org/Domain/148;http://www.twitter.com/FveDolphins;http://www.facebook.com/FairviewElementarySchoolLakeCharles/;Calcasieu Parish;Lori Bertrand;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;433;;;Music, Art;Clubs, Visual Arts, STEM, Peer Tutoring or Mentoring;
10043;F;Oak Park Elementary School;Traditional public school;2001 18th Street;Lake Charles;LA;70601;337-217-4850;;;;;;;http://www.cpsb.org/Domain/169;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Shaalom St Mary;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;392;;World language immersion;Art;Clubs, Visual Arts, STEM, Peer Tutoring or Mentoring, Adult Mentoring, Affinity Associations, Business Interest, National or Statewide Leadership Associations, School Community Organizations, Career Focus, Other;
10028;C;M. J. Kaufman Elementary School;Traditional public school;301 Tekel Road;Lake Charles;LA;70607;337-217-4740;;;;;;;http://www.cpsb.org/Domain/156;http://www.twitter.com/CPSBschools;http://www.facebook.com/KaufmanElementaryPTO/;Calcasieu Parish;Nicole Adaway;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;412;;;Art;Clubs, Visual Arts, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Adult Mentoring, School Community Organizations, Career Focus, Other;
10059;D;T. H. Watkins Elementary School;Traditional public school;2501 Seventh Avenue;Lake Charles;LA;70601;337-217-4590;;;;;;;http://www.cpsb.org/Domain/184;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Ashley Johnson;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;225;;;Art;Clubs, STEM;
10046;A;Prien Lake Elementary School;Traditional public school;3741 Nelson Road;Lake Charles;LA;70605;337-217-4910;;;;;;;http://www.cpsb.org/Domain/171;http://www.twitter.com/CPSBschools;http://www.facebook.com/Prien-Lake-Elementary-School-322163608210046/;Calcasieu Parish;Julie Ortego;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;800;;World language immersion;Music, Art;Athletics, Clubs, Music, Visual Arts, Literature and the Humanities, STEM, Affinity Associations, Business Interest, School Community Organizations, Other;Other Sports
10053;A;Vincent Settlement Elementary School;Traditional public school;1072 Vincent Settlement Road;Sulphur;LA;70663;337-217-4580;;;;;;;http://www.cpsb.org/Domain/178;http://www.twitter.com/CPSBschools;http://www.facebook.com/vincentsettlementelementary/;Calcasieu Parish;Carla Williams;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;395;;;Art;Clubs, Drama, Theater and Dance, Visual Arts, STEM, Adult Mentoring, Affinity Associations, National or Statewide Leadership Associations, School Community Organizations, Career Focus;
10058;B;Washington/Marion Magnet High School;Traditional public school;2802 Pineview Street;Lake Charles;LA;70601;337-217-4540;;;;;;;http://www.cpsb.org/Domain/183;http://www.twitter.com/CPSBschools;http://www.facebook.com/WashingtonMarionHS/;Calcasieu Parish;Ronnie Harvey;;;;;;;;Grade 9, Grade 10, Grade 11, Grade 12;658;;Advanced Placement Details, Foreign Language Details, Jump Start Pathways (career focused) Details;Band Details, Music, Art;Athletics, Clubs, Drama, Theater and Dance, Visual Arts, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Affinity Associations, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Speech and Debate, Career Focus;Volleyball, Cross-Country, Football, Indoor Track and Field, Basketball, Softball, Outdoor Track and Field, Baseball
10027;F;John J. Johnson II Elementary School;Traditional public school;500 Malcolm Street;Lake Charles;LA;70601;337-217-4900;;;;;;;http://www.cpsb.org/Domain/155;http://www.twitter.com/JJJohnsonElem;http://www.facebook.com/JJJohnsonElem/;Calcasieu Parish;Anya Miller;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2;250;;;Music, Art;;
10061;D;Pearl Watson Elementary School;Traditional public school;1300 5th Street;Lake Charles;LA;70601;337-217-4860;;;;;;;http://www.cpsb.org/Domain/186;http://www.twitter.com/pearlwatson130;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Shaunte' Guillory;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;333;;;Art;;
10038;D;Ray D. Molo Middle Magnet School;Traditional public school;2300 Medora;Lake Charles;LA;70601;318-217-4710;;;;;;;http://www.cpsb.org/Domain/165;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Shonna L Anderson;;;;;;;;Grade 6, Grade 7, Grade 8;434;;;Band, Music, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, Adult Mentoring, National or Statewide Leadership Associations, Speech and Debate, Career Focus;Volleyball, Football, Basketball, Outdoor Track and Field
10063;B;Western Heights Elementary School;Traditional public school;1100 Elizabeth Street;Westlake;LA;70669;337-217-4930;;;;;;;http://www.cpsb.org/Domain/188;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Beth Flanagan;;;;;;;;Grade 3, Grade 4, Grade 5;343;;;Art;Clubs, Literature and the Humanities, STEM, Career Focus;
10036;B;Maplewood Middle School;Traditional public school;4401 Maplewood Dr;Sulphur;LA;70663;337-217-4920;;;;;;;http://www.cpsb.org/Domain/164;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Saberly L O'quain;;;;;;;;Grade 6, Grade 7, Grade 8;345;;Gifted programs;Band, Music, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Literature and the Humanities, STEM, National or Statewide Leadership Associations, School Community Organizations, Career Focus, Other;Volleyball, Football, Basketball, Golf, Outdoor Track and Field, Spirit
10039;B;Moss Bluff Elementary School;Traditional public school;215 School Street;Lake Charles;LA;70611;337-217-4640;;;;;;;http://www.cpsb.org/Domain/166;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Shauna T Burkhead;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;969;;;Music, Art;Clubs, Music, STEM, National or Statewide Leadership Associations, School Community Organizations;
10062;B;S. J. Welsh Middle School;Traditional public school;1500 W McNeese;Lake Charles;LA;70605;337-217-4410;;;;;;;http://www.cpsb.org/Domain/187;http://www.twitter.com/CPSBschools;http://www.facebook.com/profile.php?id=100011300147420;Calcasieu Parish;brad durio;;;;;;;;Grade 6, Grade 7, Grade 8;1385;;World language immersion, Foreign Language Details, Gifted programs;Band, Music, Theatre, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Literature and the Humanities, STEM, Affinity Associations, Business Interest, National or Statewide Leadership Associations, Politics and Government, School Community Organizations, Speech and Debate, Career Focus, Games and Gaming, Other;Volleyball, Football, Wrestling, Basketball, Softball, Golf, Outdoor Track and Field, Spirit
10065;B;Westwood Elementary School;Traditional public school;1900 Sampson Street;Westlake;LA;70669;337-217-4940;;;;;;;http://www.cpsb.org/Domain/190;http://www.twitter.com/CPSBschools;http://www.facebook.com/westwoodprekto2nd/;Calcasieu Parish;Gerald W Treme Jr;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2;406;;;Art;Clubs, Peer Tutoring or Mentoring, Adult Mentoring;
10082;C;Maplewood Elementary;Traditional public school;4401 Maplewood Dr.;Sulphur;LA;70663;337-217-4920;;;;;;;http://www.cpsb.org/Domain/172;http://twitter.com/CPSBschools;http://facebook.com/MaplewoodElementaryAstros/;Calcasieu Parish;Doyce B Brinkley;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;624;;;Music, Art;Clubs, Music, Visual Arts, STEM, Peer Tutoring or Mentoring, School Community Organizations, Career Focus, Other;
10045;B;Cypress Cove Elementary School;Traditional public school;700 Currie Drive;Sulphur;LA;70665;337-217-4970;;;;;;;http://www.cpsb.org/Domain/142;http://www.twitter.com/CPSBschools;http://www.facebook.com/cypresscoveelementary/;Calcasieu Parish;Edlynn Hamilton;;;;;;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;500;;;Music, Art;Clubs, Visual Arts, Literature and the Humanities, School Community Organizations, Other;
1007;A;Crowley High School;Traditional public school;263 Hensgens Road;Crowley;LA;70526;337-783-5313;;;;;;;http://www.acadia.k12.la.us/CHS/;;;Acadia Parish;Timothy Boudreaux;;;;;;;;Grade 7, Grade 8, Grade 9, Grade 10, Grade 11, Grade 12;610;;Dual enrollment (college credit) Details, Foreign Language Details, Gifted programs, Jump Start Pathways (career focused) Details;Band Details, Music, Theatre, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Literature and the Humanities, STEM, Affinity Associations, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Career Focus;Volleyball, Cross-Country, Football, Basketball, Powerlifting, Softball, Golf, Outdoor Track and Field, Baseball, Spirit
10056;B;Vinton High School;Traditional public school;1603 Grace Street;Vinton;LA;70668;337-217-4400;;;;;;;http://www.cpsb.org/vintonhigh;http://www.twitter.com/CPSBschools;http://www.facebook.com/vintonhighschool/;Calcasieu Parish;Eric Heinen;;;;;;;;Grade 9, Grade 10, Grade 11, Grade 12;269;;Foreign Language Details, Jump Start Pathways (career focused) Details;Band Details, Music, Art;Athletics, Clubs, Literature and the Humanities, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Career Focus;Volleyball, Swimming, Football, Basketball, Softball, Outdoor Track and Field, Baseball
10060;C;J. I. Watson Elementary School;Traditional public school;201 East First Street;Iowa;LA;70647;337-217-4670;;;;;;;http://www.cpsb.org/Domain/185;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Stacie Reed;;;;;Yes;;;PK (ages 3-4), Kindergarten, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5;548;;;Music, Art;Athletics, Clubs, Music, Visual Arts, Literature and the Humanities, STEM, Affinity Associations, National or Statewide Leadership Associations, Politics and Government, School Community Organizations, Career Focus;Other Sports
10044;D;Oak Park Middle School;Traditional public school;2200 Oak Park Blvd;Lake Charles;LA;70601;337-217-4830;;;;;;;http://www.cpsb.org/Domain/170;http://www.twitter.com/CPSBschools;http://www.facebook.com/oakparkeagles/;Calcasieu Parish;Martin Guillory;;;;;;;;Grade 6, Grade 7, Grade 8;469;;World language immersion, Foreign Language Details;Band, Music, Art;Athletics, Clubs, Drama, Theater and Dance, Music, Visual Arts, Literature and the Humanities, STEM, Peer Tutoring or Mentoring, National or Statewide Leadership Associations, Honor Society, School Community Organizations, Speech and Debate, Career Focus, Other;Volleyball, Cross-Country, Football, Basketball, Outdoor Track and Field
10073;;Brenda H. Hunter Head Start;Traditional public school;2200 Elder Street;Lake Charles;LA;70601;337-217-4213;bridget.roberson@cpsb.org;7:00am to 6:00pm;7:00am to 6:00pm;7:00am to 6:00pm;7:00am to 6:00pm;7:00am to 6:00pm;http://www.cpsb.org/Domain/153;http://www.twitter.com/CPSBschools;http://www.facebook.com/CPSBschools/;Calcasieu Parish;Mrs. Michelle Joubert;III;11918;YES;;Yes;;3;Toddler (ages 1-2), PK (ages 3-4);;262;;;;
1008;D;Crowley Middle School;Traditional public school;401 West Northern Avenue;Crowley;LA;70526;337-783-5305;;;;;;;http://www.acadia.k12.la.us/cms;https://twitter.com/la_believes;https://www.facebook.com/Crowley-Middle-School;Acadia Parish;Troy Harmon;;;;;;;;Grade 6, Grade 7, Grade 8;472;;Gifted programs;Band Details, Music;Athletics, Clubs, Drama, Theater and Dance, Music, National or Statewide Leadership Associations, School Community Organizations, Career Focus;Volleyball, Football, Indoor Track and Field, Basketball, Softball, Outdoor Track and Field, Baseball, Spirit
101019;;Elayn Hunt Correctional Center;Traditional public school;6925 Hwy. 74;St. Gabriel;LA;70776;225-319-4516;;;;;;;;;;Special School District;N/A;;;;;;;;Grade 10, Grade 11, Grade 12;;;;;;
