"License Number";"Provider Name";"County";"Address";"City";"State";"Zip";"Contact Name";"Telephone";"Program Type";"Class Code";"Night Time Care";"Transportation";"Monday";"Tuesday";"Wednsday";"Thirsday";"Friday";"Saturday";"Sunday";"Subprograms";"NAEYC Accreditation";"Star Rating";"ID";"DetailsURL"
13145;"Crescent City Christian Day Care and Learning Center";"Jefferson";"2701 Transcontinental Drive";"Metairie";"LA";70006;"Brenda Hannula, Director";"504-905-8473";"Child Day Care";"Class B";"No";"No";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";13145;"http://carefacility.doe.louisiana.gov/view.aspx?id=13145"
16208;"Crescent City Christian Pre-School";"Jefferson";"4828 Utica";"Metairie";"LA";70006;"Brenda Hannula, Director";"504-885-4700";"Child Day Care";"Class B";"No";"Field Trip Only";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";16208;"http://carefacility.doe.louisiana.gov/view.aspx?id=16208"
1425;"Ecole Classique";"Jefferson";"5236 Glendale Street";"Metairie";"LA";70006;"John (Gina) Ney, Director";"504-887-9478";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";1425;"http://carefacility.doe.louisiana.gov/view.aspx?id=1425"
825;"John Calvin Presbyterian Playschool";"Jefferson";"4201 Transcontinental Drive";"Metairie";"LA";70006;"Yvette Sexton, Director DesigneeLauren Oufnac, Director";"504-888-1378";"Child Day Care";"Class B";"No";"Field Trip Only";"8:00a - 3:00p";"8:00a - 3:00p";"8:00a - 3:00p";"8:00a - 3:00p";"8:00a - 3:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";825;"http://carefacility.doe.louisiana.gov/view.aspx?id=825"
13064;"Metairie Daycare & Learning Center";"Jefferson";"4501 Lorino Street";"Metairie";"LA";70006;"Cornelia Ormond, Director DesigneeKellie Bufkin, Director";"504-888-3700";"Child Day Care";"Class A";"No";"No";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"4 Stars";13064;"http://carefacility.doe.louisiana.gov/view.aspx?id=13064"
15383;"St. Ann School";"Jefferson";"4921 Meadowdale Street";"Metairie";"LA";70006;"Susan Kropog, Director";"504-455-8383";"Child Day Care";"Class B";"No";"No";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"7:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";15383;"http://carefacility.doe.louisiana.gov/view.aspx?id=15383"
880;"St. Augustine's Episcopal Church dba St. Augustine's Episcopal School";"Jefferson";"3412 Haring Road";"Metairie";"LA";70006;"Joline LaCoste, Director";"504-887-4801";"Child Day Care";"Class B";"No";"No";"7:30a - 4:00p";"7:30a - 4:00p";"7:30a - 4:00p";"7:30a - 4:00p";"7:30a - 4:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";880;"http://carefacility.doe.louisiana.gov/view.aspx?id=880"
50019;"Torah Academy";"Jefferson";"5210 W. Esplanade Avenue";"Metairie";"LA";70006;"Naomi Smith , Director";"504-456-6429";"Child Day Care";"Class A";"No";"No";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";50019;"http://carefacility.doe.louisiana.gov/view.aspx?id=50019"
896;"Belle Chasse Baptist Kindergarten";"Plaquemines";"8828 Highway 23";"Belle Chasse";"LA";70037;"E. Jean Elliott, Director";"504-392-6254";"Child Day Care";"Class B";"No";"No";"8:10a - 2:30p";"8:10a - 2:30p";"8:10a - 2:30p";"8:10a - 2:30p";"8:10a - 2:30p";"Closed";"Closed";"Child Care";"No";"No Star Rating";896;"http://carefacility.doe.louisiana.gov/view.aspx?id=896"
1876;"Belle Chasse Primary School Head Start";"Plaquemines";"539 F. Edward Hebert Boulevard";"Belle Chasse";"LA";70037;"Anna Lincoln, Director DesigneeDesiree Cota, Director";"504-595-6390";"Child Day Care";"Class A";"No";"Yes";"8:00a - 3:15p";"8:00a - 3:15p";"8:00a - 3:15p";"8:00a - 3:15p";"8:00a - 3:15p";"Closed";"Closed";"Child Care";"No";"1 Star";1876;"http://carefacility.doe.louisiana.gov/view.aspx?id=1876"
11333;"Booties and Bobbie Socks Day Care and Pre-K";"Plaquemines";"105 Alpha Street";"Belle Chasse";"LA";70037;"Brenda Jinright, Director";"504-394-4545";"Child Day Care";"Class A";"No";"Yes";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";11333;"http://carefacility.doe.louisiana.gov/view.aspx?id=11333"
6537;"Brighter Horizons Child Care Center";"Plaquemines";"110 Barriere Road";"Belle Chasse";"LA";70037;"Melanie Holloway, Director";"504-392-7483";"Child Day Care";"Class B";"No";"Field Trip Only";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";6537;"http://carefacility.doe.louisiana.gov/view.aspx?id=6537"
1518;"Froggie's Child Care, Inc.";"Plaquemines";"606 Good News Avenue";"Belle Chasse";"LA";70037;"Dana Newsom, Director";"504-391-0050";"Child Day Care";"Class A";"No";"Field Trip Only";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";1518;"http://carefacility.doe.louisiana.gov/view.aspx?id=1518"
15199;"Jacob's Ladder Learning Academy";"Plaquemines";"8660 Hwy 23";"Belle Chasse";"LA";70037;"Mary Pelas, Director";"504-394-2339";"Child Day Care";"Class A";"No";"No";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"4 Stars";15199;"http://carefacility.doe.louisiana.gov/view.aspx?id=15199"
6624;"Kate and Allie's Child Care Center, Inc.";"Plaquemines";"106 Schlief Drive";"Belle Chasse";"LA";70037;"Ava Hingle, Director";"504-393-0320";"Child Day Care";"Class B";"No";"Field Trip Only";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"6:30a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";6624;"http://carefacility.doe.louisiana.gov/view.aspx?id=6624"
12630;"Little Bumblebee Child Development Center";"Plaquemines";"120 E Street";"Belle Chasse";"LA";70037;"Crystal Smith, DirectorSyche Moliere, Director";"504-391-9881";"Child Day Care";"Class A";"No";"No";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"6:00a - 6:00p";"Closed";"Closed";"Child Care";"No";"No Star Rating";12630;"http://carefacility.doe.louisiana.gov/view.aspx?id=12630"
