"ID";"Corrective Action Plan Start";"Corrective Action Plan End";"Non Compliance Code";"Outcome Code";"Issue Completed Date"
30179048;"5/24/2021";"11/10/2021";"7.4.e. Child's health insurance coverage and policy number";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.4.g.  Parent signed consent to release child to other than custodial parent";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.4.h. Information & special instructions from  parent or licensed health provider about special dietary needs";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.4.k. Health records";"Not Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.4.m. Scheduled days and hours of attendance";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.3.a. Written notification to staff regarding position, qualifications, and duties";"Not Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.3.d.2. Two written references (3 for Director);";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.4.c.3. FBI check for any employee who live outside WV";"Not Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.5.g.4. Health assessment includes TB risk assessment";"Not Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.6.b. All staff meet training requirements and pre-service education qualifications";"Not Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.6.d. Center provides orientation to the staff member";"Not Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.6.f.2. Abuse Recognition and Prevention";"Not Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.7.c. Qualified staff complete the approved training to keep the credential current";"Not Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"15.2. Child Health Assessment";"Not Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"20.4.b.2.A.  Loose fill to a depth of  (6) inches, increasing with height";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.4.i.  Parent consent for photographs, or audio or video recordings";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.4.l.  Dates of enrollment and discharge";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.3.b.1.  Performance evaluations conducted annually";"Not Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"15.1.a. Child's immunizations or a plan for completion on file within 30 days.";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"15.2.a.3.  Prescribed daily medications and any potential side effects";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.5.g. Employee and some volunteers have a recent health assessment on file within 30 days";"Not Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"11.8.b.  Obtaining a signed and dated acknowledgement that the center has explained the policies and provided the parent with a copy";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.4.d. Completed, signed, and dated Authorization and Release for Protective Service Record Check on file";"Not Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.1.a.1. Parents complete and submit applications for child care services";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.5.  Center keeps two copies of emergency information";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.4.f. Parent consent for emergency medical treatment and transportation";"Achieved";"11/10/2021"
30179048;"9/30/2021";"11/10/2021";"10.3.a. Two staff members are on duty at all times when children are present";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.6.f.1. CPR and First Aid.";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.6.  Center has developed a plan for exchange of information with parents";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"7.4.j.  Legal verification when one parent is sole legal guardian of the child";"Achieved";"11/10/2021"
30179048;"5/24/2021";"11/10/2021";"8.4.c.1. Statement of Criminal record on file";"Not Achieved";"11/10/2021"
30192173;"12/15/2020";"11/1/2021";"8.5.h. Employee health assessment be updated every two years and put in file";"Achieved";"11/1/2021"
30192173;"12/15/2020";"11/1/2021";"13.5.h.4. Plastic bags, latex gloves and Styrofoam objects are not accessible to the child under 4 years of age";"Achieved";"11/1/2021"
30192173;"12/15/2020";"11/1/2021";"13.6.e.3. Use zones are free of obstacles";"Achieved";"11/1/2021"
30192173;"12/15/2020";"11/1/2021";"15.4.h.4. A center shall store all medication in its original bottle or package";"Achieved";"11/1/2021"
30192173;"12/15/2020";"11/1/2021";"15.4.h.6. A center shall ensure that prescription medication is only administered";"Achieved";"11/1/2021"
30192173;"12/15/2020";"11/1/2021";"15.4.h.9. When a child no longer needs medication or its expiration date passes,";"Achieved";"11/1/2021"
30192173;"12/15/2020";"11/1/2021";"16.11.e.2.   Have the parent clearly label each bottle with the child's name,";"Achieved";"11/1/2021"
30192173;"12/15/2020";"11/1/2021";"17.1.a.2.G.   After playing outdoors";"Achieved";"11/1/2021"
30192173;"12/15/2020";"11/1/2021";"19.4.a.  Center has written, daily roster that includes names of each child used during field trips";"Achieved";"11/1/2021"
30192173;"12/15/2020";"11/1/2021";"19.4.c.  Roster is readily available in case of emergencies";"Achieved";"11/1/2021"
30192173;"12/15/2020";"11/1/2021";"19.10.b.    The First Aid Kit is readily available at all times";"Achieved";"11/1/2021"
30192173;"12/15/2020";"11/1/2021";"20.4.b.2.  Surface of play area in an equipment use zone is composed of:";"Achieved";"11/1/2021"
30192173;"12/15/2020";"11/1/2021";"20.4.b.2.A.  Loose fill to a depth of  (6) inches, increasing with height";"Achieved";"11/1/2021"
30077792;"6/14/2022";;"13.1.d. In good repair and are regularly inspected";"Achieved";"7/21/2022"
30077792;"6/14/2022";;"13.5.h.1. Indoor play equipment, shelves, and large objects are firmly anchored";"Achieved";"7/21/2022"
30077792;"6/14/2022";;"15.4.h.7.I. The center shall permit a school age child to apply sun screen";"Pending";
30077792;"6/14/2022";;"20.3.j.3.  Preschoolers have no access to strings or cords six (6) inches or longer";"Achieved";"7/21/2022"
30077792;"3/31/2022";;"13.5.h.4. Plastic bags, latex gloves and Styrofoam objects are not accessible to the child under 4 years of age";"Achieved";"5/4/2022"
30077792;"3/31/2022";;"14.1. The center has a written daily schedule that:";"Achieved";"5/4/2022"
30077792;"3/31/2022";;"19.4.a.  Center has written, daily roster that includes names of each child used during field trips";"Achieved";"5/4/2022"
30077792;"3/31/2022";;"20.2.a.  Premises, furnishings, equipment and supplies are in good repair";"Pending";
30077792;"3/31/2022";;"20.3.b.1. Products containing potentially hazardous chemicals";"Achieved";"5/4/2022"
30077792;"3/31/2022";;"20.3.b.2. Center has on file a material safety data sheet";"Achieved";"5/4/2022"
30077792;"3/31/2022";;"20.4.c.2.  Outdoor environment is clear of hazards";"Pending";
30077792;"4/28/2021";"3/31/2022";"8.4.c. A criminal background investigation (CIB) check or FBI check on staff and volunteers";"Achieved";"6/9/2021"
30077792;"4/28/2021";"3/31/2022";"8.5.g.4. Health assessment includes TB risk assessment";"Achieved";"6/9/2021"
30077792;"4/28/2021";"3/31/2022";"8.6.d. Center provides orientation to the staff member";"Achieved";"6/9/2021"
30077792;"4/28/2021";"3/31/2022";"8.7.b. Qualified staff apply for WV STARS Career Pathway";"Achieved";
30077792;"4/28/2021";"3/31/2022";"16.11.e.2.   Have the parent clearly label each bottle with the child's name,";"Achieved";
30077792;"4/28/2021";"3/31/2022";"16.11.e.3.   Have the parent clearly label each bottle of breast milk";"Achieved";
30077792;"4/28/2021";"3/31/2022";"19.10.a.   Equipped with band aids, a non mercury thermometer, gauze, and pencil and paper";"Achieved";
30077792;"4/28/2021";"3/31/2022";"20.4.b.2.  Surface of play area in an equipment use zone is composed of:";"Achieved";"6/9/2021"
30226363;"5/4/2021";"10/27/2021";"15.4.h.10.  Records of medication administration are individual and kept:";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"15.4.h.2.C. The reason the medication is being given; and";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"15.4.h.4. A center shall store all medication in its original bottle or package";"Not Achieved";"10/27/2021"
30226363;"12/8/2020";;"15.2.a.3.  Prescribed daily medications and any potential side effects";"Pending";
30226363;"12/8/2020";;"15.2.a.4. Child's health history";"Pending";
30226363;"12/8/2020";;"15.2.b. A center shall provide parents with a West Virginia Health Check periodicity chart";"Pending";
30226363;"10/27/2021";"8/4/2022";;"Achieved";
30226363;"10/27/2021";"8/4/2022";"9.1. All Directors:";;
30226363;"10/27/2021";"8/4/2022";"9.1.b.   Supervise staff and conduct  monthly staff meetings";"Not Achieved";
30226363;"10/27/2021";"8/4/2022";"9.1.d. Communicate with staff , children, parents, public, DHHR";"Not Achieved";
30226363;"10/27/2021";"8/4/2022";"9.1.e. Communicate with DHHR";"Not Achieved";
30226363;"10/27/2021";"8/4/2022";"15.4.h.1. Written permission is provided by parent from a licensed health care provider";"Not Achieved";
30226363;"10/27/2021";"8/4/2022";"15.4.h.2.A. The child's first and last name;";"Not Achieved";
30226363;"10/27/2021";"8/4/2022";"15.4.h.2.B. The name of the medication to be given;";"Not Achieved";
30226363;"10/27/2021";"8/4/2022";"15.4.h.2.D. Directions for the administration of the medication";"Achieved";
30226363;"10/27/2021";"8/4/2022";"15.4.h.6. A center shall ensure that prescription medication is only administered";"Not Achieved";
30226363;"10/27/2021";"8/4/2022";"15.4.h.10.A. In a medication log that is cumulative";"Not Achieved";
30226363;"10/27/2021";"8/4/2022";"15.4.h.10.B.  Completed in ink by staff who administers medication";"Not Achieved";
30226363;"5/4/2021";"10/27/2021";"9.1. All Directors:";;
30226363;"5/4/2021";"10/27/2021";"9.1.a. Manage daily operations of the center,";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"9.1.b.   Supervise staff and conduct  monthly staff meetings";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"9.1.c.  Make curricular decisions, plans & supervise children's programs.";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"9.1.d. Communicate with staff , children, parents, public, DHHR";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"15.4.h. With advice from a licensed health care provider";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"15.4.h.1. Written permission is provided by parent from a licensed health care provider";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"15.4.h.2. The center shall secure instructions from the child's parent";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"15.4.h.2.A. The child's first and last name;";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"15.4.h.2.B. The name of the medication to be given;";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"15.4.h.2.D. Directions for the administration of the medication";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"15.4.h.6. A center shall ensure that prescription medication is only administered";"Not Achieved";"10/27/2021"
30226363;"5/4/2021";"10/27/2021";"15.4.h.10.A. In a medication log that is cumulative";"Not Achieved";"10/27/2021"
30226363;"10/27/2021";"8/4/2022";"9.1.a. Manage daily operations of the center,";"Not Achieved";
30226363;"10/27/2021";"8/4/2022";"9.1.c.  Make curricular decisions, plans & supervise children's programs.";"Not Achieved";
30226363;"10/27/2021";"8/4/2022";"15.4.h. With advice from a licensed health care provider";"Not Achieved";
30226363;"8/4/2022";;"4.4.b.5. Positive Fire Safety Inspection by State Fire Marshal";"Pending";
30226363;"8/4/2022";;"6.3.a.3.G. Periodic performance evaluations";"Pending";
30226363;"8/4/2022";;"8.3.d.2. Two written references (3 for Director);";"Pending";
30226363;"8/4/2022";;"8.4.c. A criminal background investigation (CIB) check or FBI check on staff and volunteers";"Pending";
30226363;"8/4/2022";;"8.4.d. Completed, signed, and dated Authorization and Release for Protective Service Record Check on file";"Pending";
30226363;"8/4/2022";;"8.5.g. Employee and some volunteers have a recent health assessment on file within 30 days";"Pending";
30226363;"8/4/2022";;"8.5.g.1. Health assessment includes significant health history";"Pending";
30226363;"8/4/2022";;"8.5.g.2. Health assessment includes physical exam, vision and hearing screening,";"Pending";
30226363;"8/4/2022";;"8.5.g.3. Health assessment includes significant health history, physical exam, vision and hearing screening, TB risk assessment";"Pending";
30226363;"8/4/2022";;"8.5.g.4. Health assessment includes TB risk assessment";"Pending";
30226363;"8/4/2022";;"8.6.f.1. CPR and First Aid.";"Pending";
30226363;"8/4/2022";;"8.6.f.2. Abuse Recognition and Prevention";"Pending";
30226363;"8/4/2022";;"8.6.h. Prior to assuming management duties, staff";"Pending";
30226363;"8/4/2022";;"8.6.h.1. Completes requirements for orientation training and management orientation training";"Pending";
30226363;"8/4/2022";;"8.6.i.2. Existing program, staff member shall have a minimum of 40 hours of approved training.";"Pending";
30226363;"8/4/2022";;"8.6.i.2.B.  Staff members have a written plan for completion of training";"Pending";
30226363;"8/4/2022";;"8.6.i.2.C. Center develops a mentoring plan";"Pending";
30226363;"8/4/2022";;"8.7.b. Qualified staff apply for WV STARS Career Pathway";"Pending";
30226363;"8/4/2022";;"8.7.d. Non qualified staff have training within the first 6 months";"Pending";
30226363;"8/4/2022";;"10.1.d. Children remain in approved areas  for daily activities";"Pending";
30226363;"8/4/2022";;"10.3.b. At least one qualified staff must be present that has first aid and age appropriate CPR";"Pending";
30226363;"8/4/2022";;"10.5. Group children and consider ages when determining ratios:";"Pending";
30226363;"8/4/2022";;"10.5.b.3.A. At least one qualified staff member is in each room";"Pending";
30226363;"8/4/2022";;"11.4.g. Isolating a child without supervision";"Pending";
30226363;"8/4/2022";;"12.1. Center does not exceed licensed capacity";"Pending";
30226363;"8/4/2022";;"16.11.e.2.   Have the parent clearly label each bottle with the child's name,";"Pending";
30226363;"8/4/2022";;"16.11.e.4.   Cap bottles of formula or breast milk during storage";"Pending";
30226363;"8/4/2022";;"19.4.b.  Periodically, staff checks roster to ensure children are present";"Pending";
30226363;"8/4/2022";;"19.4.c.  Roster is readily available in case of emergencies";"Pending";
30226363;"8/4/2022";;"20.1. Center has taken all necessary precautions to ensure an accident-free and smoke-free environment for the children";"Pending";
30226363;"8/4/2022";;"20.2.a.  Premises, furnishings, equipment and supplies are in good repair";"Pending";
30226363;"8/4/2022";;"20.3.d.1. Electrical cords";"Pending";
30226363;"8/4/2022";;"20.3.e.  Staff are trained in correct use and dangers of microwaves.";"Pending";
30226363;"8/4/2022";;"20.3.j.3.  Preschoolers have no access to strings or cords six (6) inches or longer";"Pending";
30226363;"8/4/2022";;"20.4.b.2.A.  Loose fill to a depth of  (6) inches, increasing with height";"Pending";
30226363;"8/4/2022";;"20.4.b.2.C.  An appropriate combination of loose fill and unitary surface";"Pending";
30226363;"8/4/2022";;"20.4.b.4.   Appropriate surface materials are located directly under equipment";"Pending";
30226363;"5/4/2021";"10/27/2021";"15.4.h.10.B.  Completed in ink by staff who administers medication";"Not Achieved";"10/27/2021"
30226363;"10/27/2021";"8/4/2022";"15.4.h.2. The center shall secure instructions from the child's parent";"Not Achieved";
30226363;"10/27/2021";"8/4/2022";"15.4.h.2.C. The reason the medication is being given; and";"Not Achieved";
30226363;"5/13/2021";"10/27/2021";;"Not Achieved";"10/27/2021"
30226363;"10/27/2021";"8/4/2022";"15.4.h.4. A center shall store all medication in its original bottle or package";"Not Achieved";
30226363;"8/4/2022";;"8.7.a. All staff complete 15 hours of approved training within the first year of employment";"Pending";
30226363;"8/4/2022";;"8.7.c. Qualified staff complete the approved training to keep the credential current";"Pending";
30226363;"8/4/2022";;"9.1.e. Communicate with DHHR";"Pending";
30226363;"8/4/2022";;"10.3. Staff/Child Ratios";"Pending";
30226363;"8/4/2022";;"10.3.c. Groups of children are assigned a qualified staff member";"Pending";
30226363;"8/4/2022";;"10.5.b.1. Staff/child ratio and single age group size are maintained";"Pending";
30226363;"8/4/2022";;"11.1. Guidance, Behavior Management and Discipline:";"Pending";
30226363;"8/4/2022";;"13.5.h.4. Plastic bags, latex gloves and Styrofoam objects are not accessible to the child under 4 years of age";"Pending";
30226363;"8/4/2022";;"13.6.e.4. Supports for climbers, swings, and other heavy equipment are securely anchored";"Pending";
30226363;"8/4/2022";;"17.1.c.   Diapering and Toileting.";"Pending";
30226363;"8/4/2022";;"17.2.c.   Floor area adjacent to diaper changing area has non-absorbent";"Pending";
30226363;"8/4/2022";;"19.7.  Evacuation and Drill Plan";"Pending";
30226363;"8/4/2022";;"20.2.d.  Sleeping equipment, are a minimum of 24 inches apart";"Pending";
30226363;"8/4/2022";;"20.3.  Potential Hazards of Premises, Furnishings, Equipment and Supplies";"Pending";
30226363;"8/4/2022";;"20.4.a.1.E.  Exits not leading indoors are protected by a gate";"Pending";
30226363;"8/4/2022";;"20.4.b.2.B.  A unitary surface, (rubber tiles or mats, or rubber poured in place)";"Pending";
30226363;"8/4/2022";;"20.4.b.3.  No hard surface materials are used in equipment use zones";"Pending";
30226363;"8/4/2022";;"20.4.c.2.  Outdoor environment is clear of hazards";"Pending";
30226363;"10/27/2021";"8/4/2022";"15.4.h.10.  Records of medication administration are individual and kept:";"Not Achieved";
30226363;"12/8/2020";;;"Achieved";"5/4/2021"
30226363;"3/9/2021";"5/4/2021";"10.1.a. Children have adequate supervision";"Achieved";"5/4/2021"
30226363;"3/9/2021";"5/4/2021";"10.3. Staff/Child Ratios";"Achieved";"5/4/2021"
30226363;"3/9/2021";"5/4/2021";"10.5.b.1. Staff/child ratio and single age group size are maintained";"Achieved";"5/4/2021"
30226363;"12/8/2020";;"8.6.f.1. CPR and First Aid.";"Pending";
30226363;"12/8/2020";;"8.7.b. Qualified staff apply for WV STARS Career Pathway";"Achieved";"5/4/2021"
30226363;"12/8/2020";;"15.2.a.2. Allergies and any significant information affecting child's adaptation to care";"Pending";
30226363;"12/8/2020";;"7.4.k. Health records";"Pending";
30226363;"12/8/2020";;"7.4.l.  Dates of enrollment and discharge";"Pending";
30226363;"12/8/2020";;"8.6.d. Center provides orientation to the staff member";"Pending";
30226363;"12/8/2020";;"8.6.f.2. Abuse Recognition and Prevention";"Pending";
30226363;"12/8/2020";;"8.7.c. Qualified staff complete the approved training to keep the credential current";"Achieved";"5/4/2021"
30226363;"12/8/2020";;"15.2. Child Health Assessment";"Pending";
30226363;"12/8/2020";;"15.2.a. A health assessment is on file within 30 days of admission";"Pending";
30226363;"12/8/2020";;"15.2.a.1. The child's current height and weights";"Pending";
30043502;"10/6/2022";;"16.11.e.3.   Have the parent clearly label each bottle of breast milk";"Pending";
30043502;"10/6/2022";;"8.6.i.2.A. A staff member with the approved training be present 7 hours daily";"Pending";
30043502;"3/8/2021";"3/29/2022";"8.4.f. Prior to receiving the CIB and FBI reports, staff works under direct supervision";"Not Achieved";"3/29/2022"
30043502;"3/8/2021";"3/29/2022";"10.5.c.1.B. During nap time for children over 12 months of age";"Achieved";"3/29/2022"
30043502;"3/8/2021";"3/29/2022";"16.11.e.3.   Have the parent clearly label each bottle of breast milk";"Not Achieved";"3/29/2022"
30043502;"3/8/2021";"3/29/2022";"16.11.e.8.   Not give any formula or breast milk to a child that is not labeled";"Not Achieved";"3/29/2022"
30043502;"3/8/2021";"3/29/2022";"17.1.a.2.D.   Before and after eating meals and snacks";"Achieved";"3/29/2022"
30043502;"3/30/2022";"9/13/2022";"8.4.c.3. FBI check for any employee who live outside WV";"Achieved";"9/13/2022"
30043502;"3/30/2022";"9/13/2022";"8.4.f. Prior to receiving the CIB and FBI reports, staff works under direct supervision";"Achieved";"9/13/2022"
30043502;"3/30/2022";"9/13/2022";"8.6.i.2.A. A staff member with the approved training be present 7 hours daily";"Not Achieved";"9/13/2022"
30043502;"3/30/2022";"9/13/2022";"13.1.e. Regularly cleaned and disinfected";"Achieved";"9/13/2022"
30043502;"3/30/2022";"9/13/2022";"13.5.h.4. Plastic bags, latex gloves and Styrofoam objects are not accessible to the child under 4 years of age";"Achieved";"9/13/2022"
30043502;"3/30/2022";"9/13/2022";"16.11.e.3.   Have the parent clearly label each bottle of breast milk";"Not Achieved";"9/13/2022"
30043502;"3/30/2022";"9/13/2022";"17.1.c.1.   Toilet Training";"Achieved";"9/13/2022"
30043502;"3/30/2022";"9/13/2022";"17.2.c.   Floor area adjacent to diaper changing area has non-absorbent";"Achieved";"9/13/2022"
30043502;"3/30/2022";"9/13/2022";"19.4.a.  Center has written, daily roster that includes names of each child used during field trips";"Achieved";"9/13/2022"
30043502;"3/30/2022";"9/13/2022";"19.4.b.  Periodically, staff checks roster to ensure children are present";"Achieved";"9/13/2022"
30043502;"3/30/2022";"9/13/2022";"20.3.j.2. Pacifiers attached to a string over six (6) inches long are not placed around a child's neck";"Achieved";"9/13/2022"
30043502;"3/30/2022";"9/13/2022";"16.11.e.8.   Not give any formula or breast milk to a child that is not labeled";"Achieved";"9/13/2022"
30043502;"3/31/2022";"9/13/2022";"10.2.e. During arriving and departing, and short periods";"Achieved";"9/13/2022"
30043502;"3/31/2022";"9/13/2022";"10.5.b.1. Staff/child ratio and single age group size are maintained";"Achieved";"9/13/2022"
30043502;"3/31/2022";"9/13/2022";"14.5. Staffing patterns are arranged to allow:";"Achieved";"9/13/2022"
30043502;"3/31/2022";"9/13/2022";"14.5.d. No child is routinely left in cribs playpens";"Achieved";"9/13/2022"
30217460;"4/16/2021";"7/20/2021";"10.1.a. Children have adequate supervision";"Achieved";"7/20/2021"
30217460;"4/16/2021";"7/20/2021";"20.1. Center has taken all necessary precautions to ensure an accident-free and smoke-free environment for the children";"Achieved";"7/20/2021"
30217460;"9/14/2021";"7/19/2022";"13.6.e.2. Position of outdoor equipment prevents hazards from conflicting activities";;
30217460;"9/14/2021";"7/19/2022";"20.2.f.3.   Center has light for supervision when a child is sleeping";;
30217460;"9/14/2021";"7/19/2022";"20.4.b.2.  Surface of play area in an equipment use zone is composed of:";;
30217460;"8/3/2022";;"13.6.e.2. Position of outdoor equipment prevents hazards from conflicting activities";"Pending";
30217460;"8/3/2022";;"20.2.f.3.   Center has light for supervision when a child is sleeping";"Pending";
30217460;"8/3/2022";;"20.4.b.2.  Surface of play area in an equipment use zone is composed of:";"Pending";
30217460;"9/14/2021";"7/19/2022";"8.3.d.2. Two written references (3 for Director);";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"8.4.c.1. Statement of Criminal record on file";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"8.4.c.3. FBI check for any employee who live outside WV";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"8.4.d. Completed, signed, and dated Authorization and Release for Protective Service Record Check on file";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"8.4.i.2. CIB/FBI reports completed every five (5) years";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"8.5.g. Employee and some volunteers have a recent health assessment on file within 30 days";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"8.5.g.4. Health assessment includes TB risk assessment";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"8.5.h. Employee health assessment be updated every two years and put in file";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"8.6.b. All staff meet training requirements and pre-service education qualifications";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"8.6.f.1. CPR and First Aid.";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"8.6.f.2. Abuse Recognition and Prevention";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"8.7.b. Qualified staff apply for WV STARS Career Pathway";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"10.2.e. During arriving and departing, and short periods";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"14.3.a. Sleeping routines:";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"15.4.h.2.B. The name of the medication to be given;";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"16.5.   Frequency of Meals.";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"16.11.e.2.   Have the parent clearly label each bottle with the child's name,";"Achieved";"7/19/2022"
30217460;"9/14/2021";"7/19/2022";"19.12.b.  Reports occurrence within 24 hours or by next work day.";"Achieved";"7/19/2022"
30125293;"8/26/2021";;"7.4.c.  Names, physical addresses, and telephone numbers of emergency contact";"Pending";
30125293;"8/26/2021";;"15.2.a.2. Allergies and any significant information affecting child's adaptation to care";"Pending";
30125293;"8/26/2021";;"20.4.b.  Surfaces for Play Area.";"Pending";
30125293;"8/26/2021";;"20.4.b.2.  Surface of play area in an equipment use zone is composed of:";"Pending";
30125293;"8/26/2021";;"20.4.b.2.A.  Loose fill to a depth of  (6) inches, increasing with height";"Pending";
30125293;"8/26/2021";;"20.4.b.4.   Appropriate surface materials are located directly under equipment";"Pending";
30238667;"11/2/2020";"4/7/2021";"20.1. Center has taken all necessary precautions to ensure an accident-free and smoke-free environment for the children";"Achieved";"4/7/2021"
30238667;"11/2/2020";"4/7/2021";"6.3.a.1. Confidentiality & information disclosure";"Pending";"4/7/2021"
30238667;"11/2/2020";"4/7/2021";"8.4.c. A criminal background investigation (CIB) check or FBI check on staff and volunteers";"Achieved";"4/7/2021"
30238667;"11/2/2020";"4/7/2021";"8.4.c.1. Statement of Criminal record on file";"Achieved";"4/7/2021"
