"Faciliy Num";"Visit Date";"Visit_Description"
28838;"09/20/2023";"There shall be use zones and protective surfacing under and around all equipment that is over eighteen inches (18"") in height at the highest accessible point. The highest accessible point is defined as the highest surface on the piece of equipment where children would stand or sit when the equipment is being used as intended. Use zones shall extend a minimum of six feet (6') in all directions (unless otherwise specified) from the perimeter of the equipment. (Playground equipment that is between eighteen inches (18"") and twenty-four inches (24"") at the highest accessible point and that was installed prior to the enforcement date of this revision is allowable without protective surfacing, as long as it meets all other requirements.)"
28838;"07/19/2023";"All detergents and cleaning supplies shall be kept out of the reach of children. (This does not include hand soap in children’s or staff bathrooms.)"
28838;"07/19/2023";"All bags belonging to children shall be checked on arrival to eliminate possible hazards."
28838;"07/19/2023";"Bibs, necklaces, and garments with ties or hoods shall be removed from infants prior to rest and naptime to reduce the risk of entanglement and strangulation while the child is sleeping."
28838;"07/19/2023";"The facility shall be free of insects, rodents, and pests."
28838;"07/19/2023";"All space used by a center shall be kept clean and free of hazardous or potentially hazardous objects. (These objects include, but are not limited to, poisonous substances, firearms, explosives, broken toys or equipment, or other objects that could be harmful or dangerous, if they are determined to be accessible to children.)"
28838;"07/19/2023";"Bottles and “sippy cups” shall be labeled with the child’s name and shall be refrigerated."
28838;"01/17/2023";"No Violations Cited"
28838;"01/11/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28838;"01/11/2023";"All new staff, including volunteers who are counted in the ratios, shall receive the following orientation within three (3) months of employment (and every three (3) years thereafter) and shall not be left alone with children until this is completed.Introduction (eight (8) clock hours) a. Proper supervision of children; b. Behavioral guidance practices; c. Safe sleep practices for infants; d. Shaken baby syndrome; which includes prevention (Carter’s Law, Act 1208); e. Appropriately responding to a crying or fussy infant or child; f. Emergency procedures in the event of severe weather, or fire, including evacuation procedures and routes, and location and use of fire extinguishers; g. Mandated reporter training; h. Administering medication; i. Caring for children with special needs or care plans; j. Transportation and car seat safety; k. Policies regarding release of children to authorized individuals; l. Prevention and control of infectious diseases; m. Building and physical premises safety, including the identification of, and protection from, hazards, bodies of water, and vehicular traffic; n. Nutrition and physical activities; o. Prevention and response to food sensitivities and allergic reactions; p. Basic child development; and q. The handling and storage of hazardous materials and the appropriate disposal of bio contaminants. See Division website for a list of courses, that the Division maintains contracts for, which meet the above requirements."
22442;"06/22/2023";"No Violations Cited"
22442;"03/10/2023";"No Violations Cited"
22258;"09/27/2023";"No Violations Cited"
22258;"05/09/2023";"No Violations Cited"
22258;"02/07/2023";"No Violations Cited"
22258;"11/03/2022";"All caregivers, including volunteers who are counted in the ratios, shall receive the following orientation within three (3) months of employment (and every three (3) years thereafter) and shall not be left alone with children until this is completed. 1. Introduction (eight (8) clock hours):Safe sleep practices for infants;"
22258;"11/03/2022";"The area shall be free of hazards or potentially hazardous objects."
22258;"11/03/2022";"Equipment, which is designed to be anchored, shall be properly anchored so that the anchoring devices are below ground level."
22258;"11/03/2022";"Equipment shall not have protrusion hazards. (A protrusion is a projection which, when tested, is found to be a hazard having the potential to cause bodily injury to a user who impacts it.)"
29511;"09/20/2023";"All caregivers, including volunteers who are counted in the ratios, shall receive the following orientation within three (3) months of employment (and every three (3) years thereafter) and shall not be left alone with children until this is completed. 1. Introduction (eight (8) clock hours):Basic child development; and"
29511;"07/19/2023";"Pets with which children have contact shall receive vaccinations as required by law. Verification of vaccinations administered by a licensed veterinarian shall be maintained. Any pet that constitutes a threat to the welfare and safety of the children shall be kept in a confined area which prevents any contact with the children."
29511;"01/30/2023";"No Violations Cited"
29511;"10/31/2022";"No Violations Cited"
23556;"05/24/2023";"No Violations Cited"
23556;"10/18/2022";"No Violations Cited"
46452;"09/27/2023";"All bags belonging to children shall be checked on arrival to eliminate possible hazards."
46452;"07/19/2023";"No Violations Cited"
46452;"07/19/2023";"No Violations Cited"
46452;"07/07/2023";"No Violations Cited"
46452;"05/09/2023";"The area shall be free of hazards or potentially hazardous objects."
46452;"05/09/2023";"All bags belonging to children shall be checked on arrival to eliminate possible hazards."
46452;"05/09/2023";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Education, training and experience, including a copy of the General Education Diploma (GED) or high school diploma (If these documents are no longer available, proof of reasonable effort to obtain the documentation is acceptable) Clarification: Training hours will be counted on a calendar year basis or by the facility’s operating schedule if they do not operate year- round;"
46452;"05/09/2023";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Initiation of Criminal Record Checks and Central Registry Checks and the results obtained when received;"
46452;"03/06/2023";"No Violations Cited"
46452;"02/07/2023";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Education, training and experience, including a copy of the General Education Diploma (GED) or high school diploma (If these documents are no longer available, proof of reasonable effort to obtain the documentation is acceptable) Clarification: Training hours will be counted on a calendar year basis or by the facility’s operating schedule if they do not operate year- round;"
46329;"09/20/2023";"No Violations Cited"
46329;"08/22/2023";"Physical punishment shall not be administered to children."
46329;"08/10/2023";"Infants’ sleep space (e.g. crib) shall be free of loose bedding. If a light blanket is necessary, it should be kept at or below the mid-chest area of the child. Staff shall not cover the faces of infants."
46329;"07/19/2023";"No Violations Cited"
46329;"05/01/2023";"No Violations Cited"
46329;"03/27/2023";"No Violations Cited"
46329;"02/27/2023";"No Violations Cited"
46329;"01/30/2023";"No Violations Cited"
46329;"01/11/2023";"No Violations Cited"
46329;"12/14/2022";"No Violations Cited"
31354;"09/20/2023";"No Violations Cited"
31354;"08/02/2023";"No Violations Cited"
31354;"05/18/2023";"Breakfast, lunch, snacks, and evening meals shall each meet current U.S. Department of Agriculture guidelines, including portion size. (See Appendix C) Menus for all food service shall be posted. (See Division website.) If sack lunches are utilized, the facility shall ensure that they also meet these requirements. Milk shall be served to each child during the day. Exceptions may be made for children who suffer allergies to milk."
31354;"02/27/2023";"No Violations Cited"
31354;"10/31/2022";"All space used by a center shall be kept clean and free of hazardous or potentially hazardous objects. (These objects include, but are not limited to, poisonous substances, firearms, explosives, broken toys or equipment, or other objects that could be harmful or dangerous, if they are determined to be accessible to children.)"
31354;"10/31/2022";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Education, training and experience, including a copy of the General Education Diploma (GED) or high school diploma (If these documents are no longer available, proof of reasonable effort to obtain the documentation is acceptable) Clarification: Training hours will be counted on a calendar year basis or by the facility’s operating schedule if they do not operate year- round;"
13470;"09/27/2023";"No Violations Cited"
13470;"02/07/2023";"No Violations Cited"
13470;"11/07/2022";"No Violations Cited"
899;"08/22/2023";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Education, training and experience, including a copy of the General Education Diploma (GED) or high school diploma (If these documents are no longer available, proof of reasonable effort to obtain the documentation is acceptable) Clarification: Training hours will be counted on a calendar year basis or by the facility’s operating schedule if they do not operate year- round;"
899;"08/22/2023";"The area shall be free of hazards or potentially hazardous objects."
899;"08/22/2023";"All bags belonging to children shall be checked on arrival to eliminate possible hazards."
899;"08/22/2023";"Purses and bags belonging to staff shall be stored out of reach of children."
899;"08/22/2023";"Within thirty (30) days of licensure and within thirty (30) days of any change or modification of the floor plan, the facility shall file a copy of their floor plan with the local Office of Emergency Management including the following (§ 20-78-228 Act 1159 of 2013):A schematic drawing of the facility and property used by the child care facility including the configuration of rooms, spaces, and other physical features of the building;"
899;"02/08/2023";"Food and drinks which are not available to the children shall not be consumed by staff in the children's presence."
899;"02/08/2023";"All space used by a center shall be kept clean and free of hazardous or potentially hazardous objects. (These objects include, but are not limited to, poisonous substances, firearms, explosives, broken toys or equipment, or other objects that could be harmful or dangerous, if they are determined to be accessible to children.)"
899;"02/08/2023";"Electrical outlets shall be guarded."
899;"02/08/2023";"The use of television, Digital Versatile Disc (DVDs), video cassettes, computer or video games, and other screen time activities shall meet the following requirements:Shall be prohibited for children younger than two (2) years of age (the use of DVDs or other video programs for any activities with this age group would have to be approved through an alternative compliance request);"
899;"02/08/2023";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Education, training and experience, including a copy of the General Education Diploma (GED) or high school diploma (If these documents are no longer available, proof of reasonable effort to obtain the documentation is acceptable) Clarification: Training hours will be counted on a calendar year basis or by the facility’s operating schedule if they do not operate year- round;"
23533;"08/02/2023";"All new staff, including volunteers who are counted in the ratios, shall receive the following orientation within three (3) months of employment (and every three (3) years thereafter) and shall not be left alone with children until this is completed.Introduction (eight (8) clock hours) a. Proper supervision of children; b. Behavioral guidance practices; c. Safe sleep practices for infants; d. Shaken baby syndrome; which includes prevention (Carter’s Law, Act 1208); e. Appropriately responding to a crying or fussy infant or child; f. Emergency procedures in the event of severe weather, or fire, including evacuation procedures and routes, and location and use of fire extinguishers; g. Mandated reporter training; h. Administering medication; i. Caring for children with special needs or care plans; j. Transportation and car seat safety; k. Policies regarding release of children to authorized individuals; l. Prevention and control of infectious diseases; m. Building and physical premises safety, including the identification of, and protection from, hazards, bodies of water, and vehicular traffic; n. Nutrition and physical activities; o. Prevention and response to food sensitivities and allergic reactions; p. Basic child development; and q. The handling and storage of hazardous materials and the appropriate disposal of bio contaminants. See Division website for a list of courses, that the Division maintains contracts for, which meet the above requirements."
23533;"02/23/2023";"No Violations Cited"
23533;"11/08/2022";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Education, training and experience, including a copy of the General Education Diploma (GED) or high school diploma (If these documents are no longer available, proof of reasonable effort to obtain the documentation is acceptable) Clarification: Training hours will be counted on a calendar year basis or by the facility’s operating schedule if they do not operate year- round;"
23533;"11/08/2022";"Purses and bags belonging to staff shall be stored out of reach of children."
23533;"11/08/2022";"All detergents and cleaning supplies shall be kept out of the reach of children. (This does not include hand soap in children’s or staff bathrooms.)"
23533;"11/08/2022";"All new staff, including volunteers who are counted in the ratios, shall receive the following orientation within three (3) months of employment (and every three (3) years thereafter) and shall not be left alone with children until this is completed.Introduction (eight (8) clock hours) a. Proper supervision of children; b. Behavioral guidance practices; c. Safe sleep practices for infants; d. Shaken baby syndrome; which includes prevention (Carter’s Law, Act 1208); e. Appropriately responding to a crying or fussy infant or child; f. Emergency procedures in the event of severe weather, or fire, including evacuation procedures and routes, and location and use of fire extinguishers; g. Mandated reporter training; h. Administering medication; i. Caring for children with special needs or care plans; j. Transportation and car seat safety; k. Policies regarding release of children to authorized individuals; l. Prevention and control of infectious diseases; m. Building and physical premises safety, including the identification of, and protection from, hazards, bodies of water, and vehicular traffic; n. Nutrition and physical activities; o. Prevention and response to food sensitivities and allergic reactions; p. Basic child development; and q. The handling and storage of hazardous materials and the appropriate disposal of bio contaminants. See Division website for a list of courses, that the Division maintains contracts for, which meet the above requirements."
23533;"11/08/2022";"The area shall be free of hazards or potentially hazardous objects."
7993;"09/27/2023";"No Violations Cited"
7993;"04/25/2023";"No Violations Cited"
7993;"03/14/2023";"No Violations Cited"
7993;"11/28/2022";"No Violations Cited"
7992;"09/27/2023";"No Violations Cited"
7992;"04/25/2023";"No Violations Cited"
7992;"03/14/2023";"No Violations Cited"
23483;"09/06/2023";"No Violations Cited"
23483;"03/30/2023";"The following persons shall apply to the Identification Bureau of the Arkansas State Police for a nationwide criminal record check, to be conducted by the Federal Bureau of Investigation (FBI), which shall include a fingerprint check: (The individual is responsible for the cost of a nationwide check. Each request must be accompanied by a check or money order made out to the Arkansas State Police.) Fingerprints submitted will be used to check the criminal history records of the FBI. Individuals with results showing a prohibited offense shall be advised to contact the Licensing Unit for procedures to obtain the results and for procedures to update or make corrections to the record of their individual history.Direct care staff or staff with routine contact with children Prior to employment and every five (5) years thereafter"
23483;"01/18/2023";"The following persons shall apply to the Identification Bureau of the Arkansas State Police for a nationwide criminal record check, to be conducted by the Federal Bureau of Investigation (FBI), which shall include a fingerprint check: (The individual is responsible for the cost of a nationwide check. Each request must be accompanied by a check or money order made out to the Arkansas State Police.) Fingerprints submitted will be used to check the criminal history records of the FBI. Individuals with results showing a prohibited offense shall be advised to contact the Licensing Unit for procedures to obtain the results and for procedures to update or make corrections to the record of their individual history.Each applicant to own or operate a child care facility At initial application and every five (5) years thereafter"
23483;"01/18/2023";"The following persons shall apply to the Identification Bureau of the Arkansas State Police for a nationwide criminal record check, to be conducted by the Federal Bureau of Investigation (FBI), which shall include a fingerprint check: (The individual is responsible for the cost of a nationwide check. Each request must be accompanied by a check or money order made out to the Arkansas State Police.) Fingerprints submitted will be used to check the criminal history records of the FBI. Individuals with results showing a prohibited offense shall be advised to contact the Licensing Unit for procedures to obtain the results and for procedures to update or make corrections to the record of their individual history.Direct care staff or staff with routine contact with children Prior to employment and every five (5) years thereafter"
23483;"01/18/2023";"Electrical outlets shall be guarded."
23483;"11/29/2022";"No Violations Cited"
30342;"10/03/2023";"No Violations Cited"
30342;"09/27/2023";"No Violations Cited"
30342;"09/15/2023";"For ages two and one-half (2 ½) and above, ratios may be exceeded momentarily as long as children are never left unattended and at least one (1) staff member remains in the classroom with the children. (This would apply to situations such as brief absences for bathroom breaks or to take a sick or injured child to the Director’s office.)"
30342;"08/02/2023";"Individual towels, paper towels, or forced air dryers shall be within the reach of children."
30342;"06/02/2023";"No Violations Cited"
30342;"01/19/2023";"No Violations Cited"
30342;"11/29/2022";"No Violations Cited"
25816;"04/04/2023";"No Violations Cited"
25816;"10/12/2022";"No Violations Cited"
7385;"04/06/2023";"No Violations Cited"
36549;"09/25/2023";"All space used by a center shall be kept clean and free of hazardous or potentially hazardous objects. (These objects include, but are not limited to, poisonous substances, firearms, explosives, broken toys or equipment, or other objects that could be harmful or dangerous, if they are determined to be accessible to children.)"
36549;"08/24/2023";"No Violations Cited"
36549;"08/21/2023";"No Violations Cited"
36549;"05/17/2023";"No Violations Cited"
36549;"05/09/2023";"No Violations Cited"
36549;"04/17/2023";"No Violations Cited"
36549;"01/20/2023";"No Violations Cited"
36549;"11/28/2022";"No Violations Cited"
36305;"09/27/2023";"No Violations Cited"
36305;"08/10/2023";"No Violations Cited"
36305;"08/02/2023";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Staff members and applicants for employment in a Prior to employment and every two (2) years child care facility thereafter"
36305;"03/30/2023";"No Violations Cited"
36305;"01/19/2023";"No Violations Cited"
28968;"09/27/2023";"No Violations Cited"
28968;"08/02/2023";"No Violations Cited"
28968;"04/03/2023";"No Violations Cited"
28968;"01/20/2023";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Each applicant to own or operate a child care facility At application and every two (2) years thereafter"
28968;"01/20/2023";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Staff members and applicants for employment in a Prior to employment and every two (2) years child care facility thereafter"
28968;"11/28/2022";"No Violations Cited"
6192;"09/18/2023";"No Violations Cited"
6192;"09/06/2023";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Staff members and applicants for employment in a Prior to employment and every two (2) years child care facility thereafter"
6192;"09/06/2023";"The following persons shall apply to the Identification Bureau of the Arkansas State Police for a nationwide criminal record check, to be conducted by the Federal Bureau of Investigation (FBI), which shall include a fingerprint check: (The individual is responsible for the cost of a nationwide check. Each request must be accompanied by a check or money order made out to the Arkansas State Police.) Fingerprints submitted will be used to check the criminal history records of the FBI. Individuals with results showing a prohibited offense shall be advised to contact the Licensing Unit for procedures to obtain the results and for procedures to update or make corrections to the record of their individual history.Direct care staff or staff with routine contact with children Prior to employment and every five (5) years thereafter"
6192;"09/06/2023";"All new staff, including volunteers who are counted in the ratios, shall receive the following orientation within three (3) months of employment (and every three (3) years thereafter) and shall not be left alone with children until this is completed.All staff shall have fifteen (15) hours of job specific training each year, including child development training, for the ages of children they work with. This shall be training focused on their job responsibilities, such as “Hands on Routine Care” for infants, or “Basics of Assessment” for preschool staff. See Division website for a list of courses, that the Division maintains contracts for, which meet the above requirements."
6192;"09/06/2023";"Bottles and “sippy cups” shall be labeled with the child’s name and shall be refrigerated."
6192;"06/02/2023";"No Violations Cited"
6192;"01/19/2023";"No Violations Cited"
6192;"11/29/2022";"No Violations Cited"
24508;"09/27/2023";"No Violations Cited"
24508;"06/30/2023";"No Violations Cited"
24508;"03/14/2023";"No Violations Cited"
24508;"11/28/2022";"No Violations Cited"
8715;"10/03/2023";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
8715;"09/20/2023";"No Violations Cited"
8715;"03/08/2023";"No Violations Cited"
8715;"12/12/2022";"No Violations Cited"
8715;"12/08/2022";"No Violations Cited"
13549;"09/19/2023";"No Violations Cited"
13549;"05/05/2023";"No Violations Cited"
13549;"03/13/2023";"No Violations Cited"
13549;"12/08/2022";"No Violations Cited"
13549;"10/14/2022";"No Violations Cited"
16112;"09/13/2023";"No Violations Cited"
16112;"02/07/2023";"No Violations Cited"
16112;"12/08/2022";"No Violations Cited"
11605;"07/13/2023";"No Violations Cited"
11605;"05/23/2023";"No Violations Cited"
11605;"04/18/2023";"No Violations Cited"
11605;"12/06/2022";"No Violations Cited"
25225;"09/13/2023";"No Violations Cited"
25225;"02/07/2023";"No Violations Cited"
25225;"12/09/2022";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Each applicant to own or operate a child care facility At application and every two (2) years thereafter"
30274;"09/19/2023";"No Violations Cited"
30274;"03/13/2023";"No Violations Cited"
30274;"12/08/2022";"No Violations Cited"
30274;"12/07/2022";"No Violations Cited"
27306;"04/17/2023";"No Violations Cited"
27306;"12/09/2022";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Each applicant to own or operate a child care facility At application and every two (2) years thereafter"
27306;"10/14/2022";"No Violations Cited"
16230;"08/09/2023";"No Violations Cited"
16230;"04/19/2023";"No Violations Cited"
16230;"12/06/2022";"No Violations Cited"
21753;"04/17/2023";"No Violations Cited"
21753;"12/09/2022";"No Violations Cited"
21753;"10/14/2022";"No Violations Cited"
21753;"10/14/2022";"No Violations Cited"
30825;"08/09/2023";"No Violations Cited"
30825;"04/10/2023";"No Violations Cited"
30825;"10/14/2022";"No Violations Cited"
16074;"09/01/2023";"No Violations Cited"
16074;"08/03/2023";"No Violations Cited"
16074;"06/13/2023";"No Violations Cited"
16074;"06/13/2023";"Medication shall be given to children only with signed parental permission which includes date, type, drug name, time and dosage, length of time to give medication, and what the medication is being given for. It shall be in the original container with a child resistant cap, not have an expired date, and be labeled with the child's name. (Aspirin substitutes, such as ibuprofen and acetaminophen, may be provided by the facility if parental permission has been granted. These medications shall be in the original container.) Staff shall not dispense medications in dosages that exceed the recommendations stated on the medication bottle."
16074;"06/13/2023";"The staff person who administers the medication shall initial the permission slip and record the date, time, and dosage administered."
16074;"06/13/2023";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
16074;"06/07/2023";"Medication shall be given to children only with signed parental permission which includes date, type, drug name, time and dosage, length of time to give medication, and what the medication is being given for. It shall be in the original container with a child resistant cap, not have an expired date, and be labeled with the child's name. (Aspirin substitutes, such as ibuprofen and acetaminophen, may be provided by the facility if parental permission has been granted. These medications shall be in the original container.) Staff shall not dispense medications in dosages that exceed the recommendations stated on the medication bottle."
16074;"06/07/2023";"Soiled or wet diapers shall be removed and replaced with clean, dry diapers. The caregiver shall ensure that children are properly cleaned and dried."
16074;"06/07/2023";"The staff person who administers the medication shall initial the permission slip and record the date, time, and dosage administered."
16074;"05/24/2023";"No Violations Cited"
27678;"03/28/2023";"No Violations Cited"
27678;"10/25/2022";"No Violations Cited"
26772;"08/17/2023";"No Violations Cited"
26772;"05/05/2023";"No Violations Cited"
26772;"04/19/2023";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Each applicant to own or operate a child care facility At application and every two (2) years thereafter"
26772;"04/19/2023";"The following persons shall apply to the Identification Bureau of the Arkansas State Police for a nationwide criminal record check, to be conducted by the Federal Bureau of Investigation (FBI), which shall include a fingerprint check: (The individual is responsible for the cost of a nationwide check. Each request must be accompanied by a check or money order made out to the Arkansas State Police.) Fingerprints submitted will be used to check the criminal history records of the FBI. Individuals with results showing a prohibited offense shall be advised to contact the Licensing Unit for procedures to obtain the results and for procedures to update or make corrections to the record of their individual history.Direct care staff or staff with routine contact with children Prior to employment and every five (5) years thereafter"
26772;"04/19/2023";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Staff members and applicants for employment in a Prior to employment and every two (2) years child care facility thereafter"
26772;"04/19/2023";"Arkansas State Police Criminal Background Check The following persons shall be required to have their background reviewed through a fingerprint criminal records check (which includes the Arkansas Sexual Offender Registry) conducted by the Arkansas State Police. A prospective staff member may not begin work until the Arkansas State Police criminal record check result has been returned as satisfactory. Following receipt of the satisfactory result, this individual must be supervised at all times, pending completion of all of the required background check components, by a staff member who has successfully completed all required background checks. A National Sexual Offender Registry check will also be conducted on prospective employees. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a criminal background check and sexual offender registry check in any states where they resided during the past five (5) years.Staff and applicants for employment in a child care facility Prior to employment and every five (5) years thereafter"
26772;"04/19/2023";"The Director, Assistant Director or Site Supervisor, and fifty percent (50%) of the facility staff that are on site at any given time shall have a certificate of successful completion of first aid and Cardiopulmonary Resuscitation (CPR) from an approved organization. If the facility serves infants and toddlers, this training shall include infant and child CPR. (Infant and child CPR may be included in the basic course or in a separate course.)The curriculum shall conform to current American Heart Association or American Red Cross guidelines;"
26772;"04/19/2023";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Verification of First Aid or Cardiopulmonary Resuscitation (CPR) for applicable staff (copy must be on site); and"
26772;"04/19/2023";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Education, training and experience, including a copy of the General Education Diploma (GED) or high school diploma (If these documents are no longer available, proof of reasonable effort to obtain the documentation is acceptable) Clarification: Training hours will be counted on a calendar year basis or by the facility’s operating schedule if they do not operate year- round;"
26772;"04/19/2023";"Staff records may be maintained off site, unless otherwise noted, and shall contain the following:Documented training or continuing education; i.e., orientation, in-service training, and workshop documentation, which shall include title of workshop, presenter, hours of training and date;"
25959;"08/16/2023";"Breakfast, lunch, snacks, and evening meals shall each meet current U.S. Department of Agriculture guidelines, including portion size. (See Appendix C) Menus for all food service shall be posted. (See Division website.) If sack lunches are utilized, the facility shall ensure that they also meet these requirements. Milk shall be served to each child during the day. Exceptions may be made for children who suffer allergies to milk."
25959;"08/16/2023";"There shall be a total of at least one (1) hour of outdoor play per day in suitable weather. When deciding if children should play outside, staff shall consider the following environmental factors:When the heat index is forecast to be ninety (90) degrees Fahrenheit or above, outdoor play should be scheduled during early morning hours or the length of time spent outdoors should be reduced to avoid heat stress;"
25959;"08/02/2023";"The following persons shall apply to the Identification Bureau of the Arkansas State Police for a nationwide criminal record check, to be conducted by the Federal Bureau of Investigation (FBI), which shall include a fingerprint check: (The individual is responsible for the cost of a nationwide check. Each request must be accompanied by a check or money order made out to the Arkansas State Police.) Fingerprints submitted will be used to check the criminal history records of the FBI. Individuals with results showing a prohibited offense shall be advised to contact the Licensing Unit for procedures to obtain the results and for procedures to update or make corrections to the record of their individual history.Direct care staff or staff with routine contact with children Prior to employment and every five (5) years thereafter"
25959;"04/19/2023";"No Violations Cited"
25959;"04/18/2023";"No Violations Cited"
25959;"12/07/2022";"No Violations Cited"
12115;"08/31/2023";"No Violations Cited"
12115;"04/12/2023";"No Violations Cited"
21957;"06/13/2023";"No Violations Cited"
21957;"06/02/2023";"No Violations Cited"
25382;"04/17/2023";"No Violations Cited"
25382;"12/07/2022";"No Violations Cited"
16390;"01/05/2023";"No Violations Cited"
30821;"08/31/2023";"No Violations Cited"
30821;"04/18/2023";"No Violations Cited"
30821;"12/01/2022";"No Violations Cited"
28773;"09/28/2023";"No Violations Cited"
28773;"06/09/2023";"No Violations Cited"
28773;"03/29/2023";"No Violations Cited"
28773;"12/06/2022";"No Violations Cited"
29057;"04/04/2023";"No Violations Cited"
29057;"12/06/2022";"No Violations Cited"
26617;"05/23/2023";"No Violations Cited"
26617;"04/14/2023";"No Violations Cited"
26617;"04/07/2023";"No Violations Cited"
26617;"12/09/2022";"No Violations Cited"
