"Faciliy Num";"Complaint Date";"Regulation(s) No";"Regulation_Description"
30127;"03/14/2022";"300.306.4.02";"All new staff, including volunteers who are counted in the ratios, shall receive the following orientation within three (3) months of employment (and every three (3) years thereafter) and shall not be left alone with children until this is completed.All staff shall have fifteen (15) hours of job specific training each year, including child development training, for the ages of children they work with. This shall be training focused on their job responsibilities, such as “Hands on Routine Care” for infants, or “Basics of Assessment” for preschool staff. See Division website for a list of courses, that the Division maintains contracts for, which meet the above requirements."
30127;"03/14/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
24749;"04/28/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
24749;"04/28/2022";"300.305.5.b";"Subparts 1- 5(b) A beneficiary’s service record must include a summary document at the front that includes: (1) The beneficiary’s full name; (2) The beneficiary’s address and county of residence; (3) The beneficiary’s telephone number and email address; (4) The beneficiary’s date of birth; (5) The beneficiary’s primary language; (6) The beneficiary’s diagnoses; (7) The beneficiary’s medications, dosage, and frequency, if applicable; (8) The beneficiary’s known allergies; (9) The beneficiary’s entry date into the EIDT; (10) The beneficiary’s exit date from the EIDT; (11) The beneficiary’s Medicaid Number; (12) The beneficiary’s commercial or private health insurance information or managed care organization information, if applicable; (13) The name, address, phone number, email address, and relationship of the beneficiary’s custodian or legal guardian; and (14) The name, address, and phone number of the beneficiary’s primary care physician."
24749;"04/28/2022";"200.201.4.2";"Subparts 1 and 2(A) An EIDT must comply with all requirements of the applicable Minimum Licensing Standards for Child Care Centers. (B) A violation of the applicable Minimum Licensing Standards for Child Care Centers constitutes a violation of these standards."
24749;"04/28/2022";"300.301.4";"Infants and toddlers shall not be mixed with preschool children, except as listed in the following requirement."
24749;"04/28/2022";"600.604.1.b";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:The name, address, and telephone number (home and business) of a responsible person to contact in an emergency if the parent or guardian cannot be located promptly;"
24749;"04/25/2022";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
29018;"07/15/2022";"200.201.4.1";"Subparts 1 and 2An EIDT must have a child care center license in good standing for the EIDT’s location unless the EIDT is operating as an academic medical center."
29018;"07/15/2022";"800.801.1";"Child care centers shall comply with the Minimum Requirements of the currently adopted Arkansas Fire Prevention Code as administered by local fire department or by the State Fire Marshal, who has final authority. Written verification of annual approval shall be maintained on file. (Note that the State and Local Fire Codes may not allow the use of basements or floors above ground level by children, first grade and younger, unless there is a ground level exit.)"
29018;"04/04/2022";"500.501.5.e";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Profane or abusive language;"
29018;"04/04/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
29018;"04/04/2022";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
29018;"04/04/2022";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
29018;"04/04/2022";"200.201.4.2";"Subparts 1 and 2(A) An EIDT must comply with all requirements of the applicable Minimum Licensing Standards for Child Care Centers. (B) A violation of the applicable Minimum Licensing Standards for Child Care Centers constitutes a violation of these standards."
29018;"04/04/2022";"600.603.2";"(b) A behavior management plan: (1) Must be approved by an ECDS; (2) Must involve the fewest and shortest interventions possible; and (3) Cannot punish or use interventions that are physically or emotionally painful, frighten, or put the beneficiary at medical risk."
7174;"08/20/2018";"300.301.3.a";"All participants shall be adequately supervised at all times. Though participants are generally required to be within the sight or hearing of staff, OST participants, second grade and above, may be provided opportunities to take part in short-term activities not within the sight and hearing of OST staff. Such short-term activities include but are not limited to going to a restroom, transitioning to other activities, returning to a classroom within a school building, etc. In order to minimize the risks associated with such short-term activities, the following provisions must be adhered to:The appropriateness of the degree of direct staff supervision required shall be based on an individual participant’s ability to handle such responsibility. Only participants able to handle such responsibility shall be provided it."
28322;"06/06/2018";"500.501.5.a";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Restraints (Restraining a child briefly by holding the child is allowed when the child’s actions place the child or others at risk of injury.)"
28322;"07/13/2015";"1100.1101.4";"Any child who is injured shall have immediate attention. Parents shall be notified of all injuries. Injuries that require the attention of medical personnel shall be reported to the parent immediately and to the Licensing Unit within one business day."
31051;"11/09/2022";"300.301.2.a";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: Birth – 18 months Number of Staff: 1 Number of Children: 5"
31051;"11/09/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
31051;"11/09/2022";"800.801.9";"When windows and doors are used for ventilation, they shall be screened and shall not present a safety hazard."
30925;"07/11/2023";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30925;"07/11/2023";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
30925;"01/26/2022";"300.301.9";"The use of cell phones by staff while supervising children shall be prohibited except in emergency situations."
30925;"01/26/2022";"300.306.3";"All new staff members who provide direct care to children shall receive a basic orientation on facility management policies, The Minimum Licensing Requirements, center schedules, and emergency procedures prior to providing care. This shall be documented in the employee file."
30925;"01/26/2022";"1100.1101.1";"No child or staff shall be admitted who has a contagious or infectious disease."
30925;"01/26/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30925;"01/26/2022";"400.401.8.a";"There shall be an opportunity for a supervised rest period.The supervised rest period shall be at least one (1) hour but shall not exceed two (2) hours; and"
30925;"11/29/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
36618;"05/18/2022";"400.401.13";"Staff shall not release a child to anyone who is not immediately recognized as the child’s parent or as someone on the authorized pick-up list unless:"
36353;"03/16/2022";"700.702.1";"The routine use of food, bottles, and formula shall be agreed upon by the caregiver and parent. Instructions regarding special needs for food, bottles, and formula, such as food allergies, shall be obtained in writing from the parent and followed by the caregiver. (See Appendix D)."
11947;"03/29/2023";"500.501.5.a";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Restraints (Restraining a child briefly by holding the child is allowed when the child’s actions place the child or others at risk of injury);"
11947;"11/10/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
11947;"09/24/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
22521;"01/08/2020";"300.304.6";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative or physically harmful to participants. A caregiver shall not use profanity or speak in an abusive manner when participants are present."
30699;"07/06/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30699;"08/27/2019";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence.)"
30699;"08/27/2019";"100.102.6";"Falsification of any document and/or the submission of false information to the Child Care Licensing Unit may constitute grounds for revocation of the license. Falsification of any document and/or submission of false information to any DHS that results in exclusion, pursuant to DHS Exclusion Policy 1088, shall constitute grounds for revocation of the license. (Falsification means the submission of untrue information, whether by statement or omission."
30699;"08/27/2019";"700.702.1";"The routine use of food, bottles and formula shall be agreed upon by the caregiver and parent. Instructions regarding special needs for food, bottles and formula, such as food allergies, shall be obtained in writing from the parent and followed by the caregiver. (See Appendix D)."
30699;"06/11/2018";"900.902.11";"Trampolines shall not be used. (Therapeutic use of trampolines is acceptable if supervised by the therapist on a one-on-one basis.)"
30699;"06/11/2018";"900.902.13";"Wading pools shall not be used. This does not prohibit the use of sprinklers and water play."
30694;"07/01/2020";"700.702.10";"Bottles and “sippy cups” shall be labeled with the child’s name and shall be refrigerated."
30694;"08/07/2018";"300.301.2";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of Children"
30694;"08/07/2018";"700.702.4";"Microwaves shall not be used for heating bottles, due to the danger of uneven heating."
30692;"12/17/2021";"300.303.6";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative, or physically harmful to children. A caregiver shall not use profanity or speak in an abusive manner when children are present."
30692;"11/19/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30692;"09/16/2020";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
30120;"03/19/2021";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
30120;"03/19/2021";"500.501.5.o";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Covering the faces of children with blankets or similar items."
30120;"03/19/2021";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
30120;"10/19/2020";"100.102.1";"Child Care Centers shall maintain compliance with the licensing requirements at all times. To be in substantial compliance, the Child Care Center shall meet all essential standards necessary to protect the health, safety and welfare of the children attending the Child Care Center. Essential standards include but are not limited to those relating to issues involving fire, health, safety, nutrition, discipline, staff/child ratio and space. Failure to comply with any of the licensing requirements for Child Care Centers may result in any of the following adverse actions:"
30120;"10/13/2020";"100.102.1";"Child Care Centers shall maintain compliance with the licensing requirements at all times. To be in substantial compliance, the Child Care Center shall meet all essential standards necessary to protect the health, safety and welfare of the children attending the Child Care Center. Essential standards include but are not limited to those relating to issues involving fire, health, safety, nutrition, discipline, staff/child ratio and space. Failure to comply with any of the licensing requirements for Child Care Centers may result in any of the following adverse actions:"
30606;"07/02/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30606;"02/19/2020";"400.401.8.b";"There shall be an opportunity for a supervised rest period.If children do not fall asleep, they shall be allowed to participate in a quiet activity either on their cots, in the area or in another room under direct supervision."
30606;"10/03/2018";"300.301.4";"Infants and toddlers shall not be mixed with preschool children, except as listed in the following requirement."
30606;"10/03/2018";"300.301.5";"When a total of eight (8) or fewer children are in care at a licensed site, age groups may be mixed according to the following ratios: Number of Staff Number of Children Ages of Children"
30097;"06/23/2020";"100.102.1";"Child Care Centers shall maintain compliance with the licensing requirements at all times. To be in substantial compliance, the Child Care Center shall meet all essential standards necessary to protect the health, safety and welfare of the children attending the Child Care Center. Essential standards include but are not limited to those relating to issues involving fire, health, safety, nutrition, discipline, staff/child ratio and space. Failure to comply with any of the licensing requirements for Child Care Centers may result in any of the following adverse actions:"
29975;"12/19/2022";"300.301.4";"Infants and toddlers shall not be mixed with preschool children, except as listed in the following requirement."
29975;"07/17/2020";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
29975;"07/17/2020";"1100.1107.4";"Soiled or wet diapers shall be removed and replaced with clean, dry diapers. The caregiver shall ensure that children are properly cleaned and dried."
29975;"07/17/2020";"300.306.4.01";"All new staff, including volunteers who are counted in the ratios, shall receive the following orientation (unless the staff has prior documented training in the required areas).Introduction (8 clock hours) to be completed before being left alone with children: a. Proper supervision of children b. Behavioral guidance practices c. Safe sleep practices for infants d. Shaken baby syndrome; which includes prevention (Carter’s Law, Act 1208) e. Appropriately responding to a crying/fussy infant/child f. Emergency procedures in the event of severe weather, or fire, including evacuation procedures and routes, and location and use of fire extinguishers. g. Mandated reporter training h. Administering medication i. Caring for children with special needs / care plans j. Transportation and car seat safety k. Policies regarding release of children to authorized individuals"
29975;"07/17/2020";"300.301.9";"The use of cell phones by staff while supervising children shall be prohibited except in emergency situations."
29975;"07/17/2020";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm.)"
29975;"12/13/2018";"300.301.2.c";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of Children2 ½ - 3 years 1 12"
29952;"11/03/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
29952;"09/29/2022";"300.303.6";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative, or physically harmful to children. A caregiver shall not use profanity or speak in an abusive manner when children are present."
29952;"06/10/2021";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
30488;"11/08/2019";"500.501.7.b";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for participants. These include, but are not limited to theUsing a physical restraint method that may cause injury to the participant"
30479;"04/05/2023";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
30479;"10/10/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30479;"02/14/2020";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
30479;"02/14/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
29225;"09/04/2018";"300.301.2.a";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenBirth – 18 months 1 5"
29528;"01/18/2022";"300.301.2.a";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: Birth – 18 months Number of Staff: 1 Number of Children: 5"
29528;"09/17/2019";"1100.1107.2";"There shall be a safe diaper changing table that meets the following requirements:"
29528;"07/22/2019";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence.)"
25537;"09/13/2021";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
7664;"12/13/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
7664;"02/11/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
7664;"01/15/2019";"1000.1003.11";"An individually labeled crib or safe playpen with a waterproof mattress shall be provided for each child less than 12 months of age. A bassinet shall not be used. (Please note that the CPSC does not recommend the use of playpens in licensed child care.)"
7664;"01/15/2019";"1000.1002.1";"There shall be a labeled, individual cot or mat, bottom sheet, and adequate cover for each child in care during rest time."
27501;"04/02/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
27501;"02/15/2018";"1100.1101.7";"Children with special health care needs (ex. asthma, seizures, diabetes, etc.) who require scheduled daily medications or medications to be given on an emergent basis (Benadryl, EpiPen, rescue asthma medication, etc.) shall have a care plan. Care plans shall have clearly stated parameters, directions, and symptoms for giving the medications. Care plans shall be updated as needed, but at least yearly."
27501;"02/15/2018";"1100.1101.13";"The staff person who administers the medication shall initial the permission slip and record the date, time and dosage administered."
27501;"02/15/2018";"600.601.1";"All staff, child and facility records shall be kept and made available to the Child Care Licensing Unit on request. The records shall be maintained for three (3) years unless otherwise indicated."
28355;"10/14/2022";"300.301.2.b";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: 18 months – 36 months Number of Staff: 1 Number of Children: 8"
28355;"10/14/2022";"300.301.6";"In a group containing children of different ages, the staff to child ratio shall meet the requirements for the youngest child in the group."
28355;"10/14/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28355;"12/13/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28355;"10/12/2021";"300.301.4";"Infants and toddlers shall not be mixed with preschool children, except as listed in the following requirement."
27037;"08/29/2019";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
27037;"08/29/2019";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm.)"
27037;"08/26/2019";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
27037;"07/17/2017";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28009;"07/10/2023";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28009;"07/10/2023";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
28009;"05/19/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28009;"12/29/2020";"100.110.4";"No person shall be eligible to be a child care facility owner, operator, or employee if that person has pled guilty, or been found guilty, of any of the following offenses by any court in the State of Arkansas, any similar offense by a court in another state, or any similar offense by a federal court. The following offenses are permanently prohibited:"
