"Faciliy #";"Facility Name";"Address";"City";"State";"Zip";"County";"Site Phone";"Facility_Type";"Website Address";"Contact Persons";"Voucher Participant";"ABC Program";"Head Start";"Better Beginnings";"DCCECE Assigned Staff";"DCCECE Office Address";"DCCECE Office City";"DCCECE Office Zip";"DCCECE Office Phone";"DCCECE Email Address";"Months of Operation";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday";"Facility Rates for Ages Served";"Capacity Infant/Toddler";"Capacity Preschool";"Capacity School Age";"Capacity Sick Care";"DetailsRef"
13470;"Holy Rosary Preschool";"920 West Nineteenth Street";"Stuttgart";"AR";72160;"Arkansas";"(870) 673-3211";"Child Care Center";"-";"Emily Karr";"No";"No";"No";0;"Stephanie Courtney";"PO Box 5670";" Pine Bluff";71611;"(870) 534-4200";"stephanie.courtney@dhs.arkansas.gov";"January | February | March | April | May | September | October | November | December
June | July | August";"8:00:00 AM-5:15:00 PM";"8:00:00 AM-5:15:00 PM";"8:00:00 AM-5:15:00 PM";"8:00:00 AM-5:15:00 PM";"8:00:00 AM-5:15:00 PM";;;"
Preschool 30 to 72 Months-$12.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$17.00 per Day (7 Hours or More)";;25;25;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NN3AAM&language=en_US"
899;"Noah's Ark";"2115 S Prairie St";"Stuttgart";"AR";"72160-6523";"Arkansas";"(870) 673-3231";"Child Care Center";"-";"Natalee Addison";"No";"No";"No";0;"Stephanie Courtney";"PO Box 5670";" Pine Bluff";71611;"(870) 534-4200";"stephanie.courtney@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:15:00 AM-5:15:00 PM";"7:15:00 AM-5:15:00 PM";"7:15:00 AM-5:15:00 PM";"7:15:00 AM-5:15:00 PM";"7:15:00 AM-5:15:00 PM";;;"
Infant 0 to 18 Months-$28.30 per Day (7 Hours or More)
Preschool 30 to 72 Months-$26.50 per Day (7 Hours or More)
Toddler 18 to 36 Months-$26.50 per Day (7 Hours or More)
Toddler 18 to 36 Months-$26.50 per Day (7 Hours or More)";39;35;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NINAA2&language=en_US"
23533;"St John's Eagles Nest";"2019 S Buerkle St";"Stuttgart";"AR";"72160-6507";"Arkansas";"(870) 673-7096";"Child Care Center";8706732858;"Laura Ellis";"No";"No";"No";0;"Stephanie Courtney";"PO Box 5670";" Pine Bluff";71611;"(870) 534-4200";"stephanie.courtney@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";;;"
Infant 0 to 18 Months-$27.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$25.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$25.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$26.00 per Day (7 Hours or More)";26;57;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NRmAAM&language=en_US"
7993;"Portland Preschool";"314 Highway 160 E";"Portland";"AR";71663;"Ashley";"(870) 737-4333";"Child Care Center";"-";"Christa Aycock";"Yes";"Yes";"No";6;"Jeannie Gray";"700 Main Street";" Little Rock";72201;"-";"jeannie.gray@dhs.arkansas.gov";"January | February | March | April | May | September | October | November | December
June | July | August";"7:45:00 AM-3:00:00 PM";"7:45:00 AM-3:00:00 PM";"7:45:00 AM-3:00:00 PM";"7:45:00 AM-3:00:00 PM";"7:45:00 AM-3:00:00 PM";;;"
Preschool 30 to 72 Months-$2.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$15.00 per Day (7 Hours or More)";;24;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NKyAAM&language=en_US"
7992;"Hamburg Pre-K & Childcare";"517 E Lincoln ST";"Hamburg";"AR";71646;"Ashley";"(870) 853-5035";"Child Care Center";"-";"Susan Smith";"Yes";"Yes";"No";6;"Jeannie Gray";"700 Main Street";" Little Rock";72201;"-";"jeannie.gray@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:30:00 AM-5:30:00 PM";"6:30:00 AM-5:30:00 PM";"6:30:00 AM-5:30:00 PM";"6:30:00 AM-5:30:00 PM";"6:30:00 AM-5:30:00 PM";;;"
Preschool 30 to 72 Months-$12.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$6.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$6.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$12.00 per Day (7 Hours or More)";;132;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NKxAAM&language=en_US"
23483;"Crossett Pre-K";"305 Oak ST";"Crossett";"AR";71635;"Ashley";"(870) 364-3183";"Child Care Center";"-";"Janet Ricks";"No";"Yes";"No";4;"Jeannie Gray";"700 Main Street";" Little Rock";72201;"-";"jeannie.gray@dhs.arkansas.gov";"January | February | March | April | May | August | September | October | November | December
June | July";"7:45:00 AM-3:15:00 PM";"7:45:00 AM-3:15:00 PM";"7:45:00 AM-3:15:00 PM";"7:45:00 AM-3:15:00 PM";"7:45:00 AM-3:15:00 PM";;;;;150;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NRiAAM&language=en_US"
30342;"Kids Korner Childcare & Pre-K, LLC";"1185 Hwy 133 N";"Crossett";"AR";71635;"Ashley";"(870) 364-8674";"Child Care Center";"-";"Cassa Bilbo";"Yes";"No";"No";2;"Jeannie Gray";"700 Main Street";" Little Rock";72201;"-";"jeannie.gray@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:45:00 AM-5:15:00 PM";"6:45:00 AM-5:15:00 PM";"6:45:00 AM-5:15:00 PM";"6:45:00 AM-5:15:00 PM";"6:45:00 AM-5:15:00 PM";;;"
Infant 0 to 18 Months-$28.00 per Day (7 Hours or More)
Infant 0 to 18 Months-$37.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$37.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$28.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$17.40 per Day (7 Hours or More)
School Age 60 to 156 Months-$8.27 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$22.40 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$16.53 per Day (7 Hours or More)
School Age 60 to 156 Months-$17.50 per Day (7 Hours or More)
Toddler 18 to 36 Months-$19.75 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$37.00 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$28.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$19.75 per Day (7 Hours or More)";34;17;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NcXAAU&language=en_US"
25816;"Discovery Children's Center";"1036 S Main Street";"Hamburg";"AR";71646;"Ashley";"(870) 853-0857";"Early Intervention Day Treatment (EIDT)";"sesameschool3@gmail.com";"Jody Newman";"Yes";"No";"No";2;"-";;;;"-";"-";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;"
Infant 0 to 18 Months-$18.50 per Day (7 Hours or More)
Preschool 30 to 72 Months-$17.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$18.50 per Day (7 Hours or More)";60;127;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009OaKAAU&language=en_US"
7385;"Carousel Day Service Center Of Crossett Inc";"1507 S Main St";"Crossett";"AR";"71635-4125";"Ashley";"(870) 364-5625";"Early Intervention Day Treatment (EIDT)";"-";"Shalanda Thompson";"No";"No";"No";1;"Angela Johnson";"PO Box 1437Slot 408";" Little Rock";72203;"(501) 320-6408";"angela.johnson@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:30:00 AM-3:00:00 PM";"7:30:00 AM-3:00:00 PM";"7:30:00 AM-3:00:00 PM";"7:30:00 AM-3:00:00 PM";"7:30:00 AM-3:00:00 PM";;;"
Preschool 30 to 72 Months-$17.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$17.00 per Day (7 Hours or More)";6;30;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009OZHAA2&language=en_US"
36549;"SCUS Head Start-Hamburg";"613 South Main Street";"Hamburg";"AR";71646;"Ashley";"(870) 831-5003";"Child Care Center";"-";"Amy Salazar";"No";"No";"Yes";0;"Jeannie Gray";"700 Main Street";" Little Rock";72201;"-";"jeannie.gray@dhs.arkansas.gov";"January | February | March | April | May | June | August | September | October | November | December
July";"8:00:00 AM-4:30:00 PM";"8:00:00 AM-4:30:00 PM";"8:00:00 AM-4:30:00 PM";"8:00:00 AM-4:30:00 PM";"8:00:00 AM-4:30:00 PM";;;;10;45;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009Nj1AAE&language=en_US"
36305;"Sugar Plum Daycare";"104 Beech Street";"Crossett";"AR";71635;"Ashley";"(870) 364-2655";"Child Care Center";"-";"Kelsey Canley";"No";"No";"No";0;"Jeannie Gray";"700 Main Street";" Little Rock";72201;"-";"jeannie.gray@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:30:00 AM-5:15:00 PM";"6:30:00 AM-5:15:00 PM";"6:30:00 AM-5:15:00 PM";"6:30:00 AM-5:15:00 PM";"6:30:00 AM-5:15:00 PM";;;"
Infant 0 to 18 Months-$24.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$23.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$24.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$23.00 per Day (7 Hours or More)";12;15;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NiRAAU&language=en_US"
28968;"Jelly Bean Junction";"529 E Jefferson ST";"Hamburg";"AR";71646;"Ashley";"(870) 853-9164";"Child Care Center";"-";"Cheryl Linder";"No";"No";"No";0;"Jeannie Gray";"700 Main Street";" Little Rock";72201;"-";"jeannie.gray@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:45:00 AM-5:00:00 PM";"6:45:00 AM-5:00:00 PM";"6:45:00 AM-5:00:00 PM";"6:45:00 AM-5:00:00 PM";"6:45:00 AM-5:00:00 PM";;;"
Infant 0 to 18 Months-$19.00 per Day (7 Hours or More)
Infant 0 to 18 Months-$11.50 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$19.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$9.50 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$19.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$11.50 per Day (Less than 7 Hours)
Toddler 18 to 36 Months-$11.50 per Day (Less than 7 Hours)";13;13;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NZ5AAM&language=en_US"
6192;"First Baptist Preschool";"701 Main ST";"Crossett";"AR";71635;"Ashley";"(870) 364-4169";"Child Care Center";"-";"Rebecca Wheeller";"No";"No";"No";0;"Jeannie Gray";"700 Main Street";" Little Rock";72201;"-";"jeannie.gray@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:15:00 AM-5:15:00 PM";"7:15:00 AM-5:15:00 PM";"7:15:00 AM-5:15:00 PM";"7:15:00 AM-5:15:00 PM";"7:15:00 AM-5:15:00 PM";;;"
Infant 0 to 18 Months-$18.75 per Day (7 Hours or More)
Preschool 30 to 72 Months-$17.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$18.75 per Day (7 Hours or More)
Toddler 18 to 36 Months-$18.75 per Day (7 Hours or More)";24;54;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NJUAA2&language=en_US"
24508;"Hamburg Child Care";"517 E Lincoln ST";"Hamburg";"AR";71646;"Ashley";"(870) 853-5035";"Out of School Time";"-";"Christa Aycock";"No";"No";"No";0;"Jeannie Gray";"700 Main Street";" Little Rock";72201;"-";"jeannie.gray@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";"6:00:00 AM-6:00:00 PM";;;"
School Age 60 to 156 Months-$12.00 per Day (7 Hours or More)";;;130;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NSfAAM&language=en_US"
8715;"Norfork Head Start Center";"215 Mildred Simpson Dr";"Norfork";"AR";"72658-8498";"Baxter";"(870) 741-9406";"Child Care Center";"-";"Shanon Gardner";"Yes";"Yes";"Yes";6;"Erin Smith";;;"AR";"-";"erin.smith@dhs.arkansas.gov";"January | February | March | April | May | September | October | November | December
June | July | August";"7:30:00 AM-4:15:00 PM";"7:30:00 AM-4:15:00 PM";"7:30:00 AM-4:15:00 PM";"7:30:00 AM-4:15:00 PM";;;;;;40;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NLKAA2&language=en_US"
13549;"MTN HOME I HEADSTART";"1414 Post Oak Road";"Mountain Home";"AR";72653;"Baxter";"(870) 741-9406";"Child Care Center";"-";"Angela Calarena";"Yes";"Yes";"Yes";6;"Erin Smith";;;"AR";"-";"erin.smith@dhs.arkansas.gov";"January | February | March | April | May | September | October | November | December
June | July | August";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;;;92;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NN5AAM&language=en_US"
16112;"COTTER HEAD START";"210 Lucille Street";"Cotter";"AR";72626;"Baxter";"(870) 741-9406";"Child Care Center";"-";"Tonya Stone";"Yes";"No";"Yes";6;"Erin Smith";;;"AR";"-";"erin.smith@dhs.arkansas.gov";"January | February | March | April | May | September | October | November | December
June | July | August";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";"7:30:00 AM-3:30:00 PM";;;;;30;;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NOlAAM&language=en_US"
11605;"OPEN ARMS LEARNING CENTER INC.";"222 E Wade St";"Mountain Home";"AR";"72653-5435";"Baxter";"(870) 424-5758";"Child Care Center";"-";"Jarret Wilson";"Yes";"Yes";"No";5;"Michelle Siemiller";;;;"-";"michelle.siemiller@dhs.arkansas.gov";"January | February | March | April | May | June | July | August | September | October | November | December
";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";"7:00:00 AM-5:30:00 PM";;;"
Infant 0 to 18 Months-$20.00 per Day (Less than 7 Hours)
Infant 0 to 18 Months-$32.00 per Day (7 Hours or More)
Preschool 30 to 72 Months-$20.00 per Day (Less than 7 Hours)
Preschool 30 to 72 Months-$26.00 per Day (7 Hours or More)
School Age 60 to 156 Months-$30.00 per Day (Less than 7 Hours)
School Age 60 to 156 Months-$30.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$32.00 per Day (7 Hours or More)
Toddler 18 to 36 Months-$20.00 per Day (Less than 7 Hours)";47;60;19;;"https://ardhslicensing.my.site.com/elicensing/s/search-provider/facilty-details?tab=CC&fid=a0k8z0000009NMMAA2&language=en_US"
