id;name;facility_type;address;email;state;zip;phone;capacity;accepts_vouchers;food_program;serves_infant;serves_toddler;serves_preschool;serves_school_age;capital_quality_designation;accreditation_type;accreditation_expires;service_schedule;schedule_monday;schedule_tuesday;schedule_wednesday;schedule_thursday;schedule_friday;schedule_saturday;schedule_sunday;ages_served;license_type;license_type_definition;current_license_begin_date;current_license_expiration_date;facility_type_short;contact;languages_spoken;accreditation;mission_statement;original_license_issuance_date;url;lat;lng;region;capital_quality_participant;nontraditional;montessori;PreK_enhancement;early_childhood_education;home_provider;expanded_home_provider;faith_based;charter_school;before_and_after_program;employer_supported;quality_improved_network;early_head_start;head_start;federal_government_facility;dc_government_facility;private_school;private_elementary_and_middle_school;dcps;homeless;play_based_nursery_school
2602;Alba Turcios/Albina's Child Development Home;Child Development Home Expanded;3229 18th ST;albaturcios@hotmail.com;DC;20010;(202) 560-0579;9;;1;Yes;Yes;No;No;Progressing;;;All Year;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;Closed;Closed;0 - 3 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;July 25, 2018;July 31, 2021;CDX;Alba Turcios;English;None;Our mission is to provide safe, affordable, high quality child care for the children in my community. In doing so, we support families in their efforts to reach their goals providing a cognitively based program for all children. We provide a home like environment where children are encouraged to develop at their own pace. We are committed to the families we serve, providing support and encouragement.;July 25, 2018;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2602;;;NW;1;;;;;;;;;;;;;;;;;;;;
2299;Alfreda Offutt;Child Development Home;1607 28th PL;aoffutt31@yahoo.com;DC;20020;(202) 581-4384;6;;1;Yes;Yes;Yes;No;Not Participating;None;January 01, 0001;All Year;07:30 AM-05:30 PM;07:30 AM-05:30 PM;07:30 AM-05:30 PM;07:30 AM-05:30 PM;07:30 AM-05:30 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;January 18, 2018;January 31, 2021;CDH;Alfreda Offutt;English;;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;December 03, 1981;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2299;38.8703766;-76.9670014;SE;;;;;;;;;;;;;;;;;;;;;
2319;Alfreda Wright Brown;Child Development Home;3217 Alabama AVE;vongelab@yahoo.com;DC;20020;(202) 584-0597;6;;;Yes;Yes;Yes;Yes;Not Participating;;;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;December 21, 2017;December 31, 2020;CDH;Alfreda Wright-Brown;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;March 29, 2001;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2319;38.8615464;-76.9606033;SE;;;;;;;;;;;;;;;;;;;;;
2296;Alice Burt;Child Development Home;5026 14th ST;voicesoflittleangelschildcdh@gmail.com;DC;20017;(202) 526-6809;6;1;1;Yes;Yes;Yes;Yes;Not Participating;NAFCC;December 02, 2018;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;March 09, 2018;December 31, 2020;CDH;Alice Burt;English;;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;August 12, 1997;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2296;38.9509648;-76.9859658;NE;;;;;1;;;;;;;;;;;;;;;;
1942;All About Me Christian Child Development Center;Child Development Center;1825 Michigan AVE;ktnelson78@aol.com;DC;20018;(202) 258-4242;104;;;Yes;Yes;Yes;No;Not Participating;;;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;October 09, 2017;October 31, 2020;CDC;Keysha Nelson;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;March 29, 2007;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1942;38.9446859;-76.9782562;NE;;;;;;;;1;;;;;;;;;;;;;
2741;AlphaBEST Education @ KIPP DC Douglass Campus;Child Development Center;2600 Douglass RD;shampton-lewis@alphabest.org;DC;20020;(703) 659-3092;190;1;1;No;No;Yes;Yes;Preliminary;;;School Year;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;Closed;Closed;3 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;October 31, 2019;August 31, 2022;CDC;Shannon Hampton - Lewis;English;None;This facility has no mission statement at this time.;August 01, 2019;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2741;38.8566223;-76.9880488;SE;1;;;;;;;;1;;;;;;;;;;;;
2724;AlphaBEST Education @ KIPP DC Shaw Campus;Child Development Center;421 P ST;shampton-lewis@alphabest.org;DC;20001;(703) 659-3092;213;1;1;No;No;Yes;Yes;Preliminary;;;School Year;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;Closed;Closed;3 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;October 31, 2019;August 31, 2022;CDC;Shannon Hampton -Lewis;English;None;This facility has no mission statement at this time.;August 01, 2019;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2724;38.9098863;-77.0181173;NW;1;;;;;;;;1;1;;;;;;;;;;;
2725;AlphaBEST Education @ KIPP DC Smilow Campus;Child Development Center;5300 Blaine ST;shampton-lewis@alphabest.org;DC;20019;(703) 659-3092;147;1;1;No;No;Yes;Yes;Preliminary;;;School Year;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;Closed;Closed;3 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;October 31, 2019;August 31, 2022;CDC;Shannon Hampton - Lewis;English;None;This facility has no mission statement at this time.;August 01, 2019;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2725;38.8919482;-76.9246449;NE;1;;;;;;;;1;;;;;;;;;;;;
2743;AlphaBEST Education @ KIPP DC Webb Campus;Child Development Center;1375 Mount Olivet RD;shampton-lewis@alphabest.org;DC;20002;(703) 659-3092;213;1;1;No;No;Yes;Yes;Preliminary;;;School Year;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;06:30 AM-06:30 PM;Closed;Closed;3 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;November 21, 2019;August 31, 2022;CDC;Shannon Hampton-Lewis;English;None;This facility has no mission statement at this time.;August 01, 2019;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2743;38.9080739;-76.981136;NE;1;;;;;;;;1;;;;;;;;;;;;
2570;Altagracia Y. Sanchez/Mundo De Fantasias;Child Development Home Expanded;2610 10th ST;ilumimart@yahoo.com;DC;20018;(202) 834-1111;9;;1;Yes;Yes;Yes;No;Not Participating;;;All Year;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;07:00 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;September 25, 2020;September 30, 2023;CDX;Altagracia Y Sanchez;Spanish;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;September 20, 2016;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2570;38.9235;-76.9926556;NE;;;;;;;;;;;;;;;;;;;;;
1938;Amazing Life Games Preschool;Child Development Center;4300 16th ST;Tiffany@amazinglifegames.org;DC;20011;(202) 265-0114;35;;;No;No;Yes;No;Not Participating;;;All Year;08:30 AM-06:00 PM;08:30 AM-06:00 PM;08:30 AM-06:00 PM;08:30 AM-06:00 PM;08:30 AM-06:00 PM;Closed;Closed;3 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;October 23, 2017;October 31, 2020;CDC;Tiffany Freeman;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;June 05, 2006;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1938;38.9431976;-77.0367493;NW;;;;;;;;1;;;;;;;;;;;;;
1724;American University CDC;Child Development Center;4400 Massachusetts AVE;zcharfi@american.edu;DC;20016;(202) 885-3330;30;;;No;No;Yes;No;Not Participating;;;All Year;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;Closed;Closed;3 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;August 31, 2020;August 31, 2023;CDC;Zakia Charfi;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;September 23, 1992;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1724;38.9390817;-77.0884148;NW;;;;;;;;;;;1;;;;;;;;;;
2549;Ana Acevedo Perez;Child Development Home Expanded;624 Geranium ST;chinydelcaribe24@yahoo.com;DC;20012;(202) 570-6544;9;1;1;Yes;Yes;Yes;No;High-Quality;;;All Year;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;October 27, 2017;October 31, 2020;CDX;Ana Acevedo Perez;Spanish;None;At Infancia Feliz Child Development Home we value human diversity and the fair treatment of all children. Our number one goal is to provide an environment that encourages all children to become creative, independent, responsible, and well-rounded. We strive for excellence in helping children grow and develop socially, creatively, emotionally, physically, and intellectually. Our mission is to provide high-quality learning experiences for children in a safe, caring, and nurturing environment. That’s what the focus of Early Childhood Education is all about.;October 14, 2016;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2549;38.9790878;-77.0233009;NW;1;;;;1;;1;;;;;;;;;;;;;;
2416;Ana Maria Lora/Bilingual Ia-s Nest;Child Development Home;1353 Tuckerman ST;thelittlegreennest@yahoo.com;DC;20011;(202) 641-2993;6;;;Yes;Yes;Yes;No;Not Participating;;;All Year;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;December 28, 2017;December 31, 2020;CDH;Anna Lora;English;None;This facility does not currently participate in the Capital Quality program. Learn more about Capital Quality here.;December 14, 2010;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2416;38.9677362;-77.0319662;NW;;;;;;1;;;;;;;;;;;;;;;
2625;Angelia Knight-Sansbury/This Little Light CDH, Inc.;Child Development Home;2344 13th PL;thislittlelightcdh@gmail.com;DC;20018;(202) 656-8210;6;;;Yes;Yes;Yes;No;Preliminary;;;All Year;07:30 AM-05:30 PM;07:30 AM-05:30 PM;07:30 AM-05:30 PM;07:30 AM-05:30 PM;07:30 AM-05:30 PM;Closed;Closed;0 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;December 13, 2017;December 31, 2020;CDH;Angelia Knight -Sansbury;English;None;This facility has no mission statement at this time.;December 05, 2017;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2625;38.9205531;-76.9874839;NE;1;;;;;;;;;;;;;;;;;;;;
2604;Angelique Speight /Ms. P's Unique Daycare;Child Development Home Expanded;1103 M ST;angeliquespeight@yahoo.com;DC;20005;(202) 270-3098;7;1;1;Yes;Yes;Yes;Yes;Quality;;;All Year;06:00 AM-06:00 PM;06:00 AM-06:00 PM;06:00 AM-06:00 PM;06:00 AM-06:00 PM;06:00 AM-06:00 PM;Closed;Closed;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;May 30, 2018;May 31, 2021;CDX;Angelique Speight;English;None;Our mission is to care for all children in the Metropolitan area and visiting infant and toddlers to the area with their caregiver(s) attending annual convention, meeting or vacation. To give families a concert support system when needing care in a clean and safe environment;May 04, 2017;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2604;38.9058141;-77.0273577;NW;1;;;;1;;;;;;;;;;;;;;;;
2331;Anita Ann Miller-Tolliver;Child Development Home;2419 17th ST;anita.millertolliver@icloud.com;DC;20020;(202) 889-1394;6;1;1;Yes;Yes;Yes;Yes;High-Quality;NAFCC;October 15, 2020;All Year;06:00 AM-05:00 AM;06:00 AM-05:00 AM;06:00 AM-05:00 AM;06:00 AM-05:00 AM;06:00 AM-05:00 AM;06:00 AM-05:00 AM;06:00 AM-05:00 AM;0 - 5+ years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;July 30, 2020;July 31, 2023;CDH;Anita Miller Tolliver;English;;This facility has no mission statement at this time.;June 18, 2002;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2331;38.8565681;-76.9811185;SE;1;1;;;;;;;;;;1;;;;;;;;;
2089;Apple Tree Early Learning PCS - Douglas Knoll Campus;Child Development Center;2017 Savannah TER;devon.tucker@appletreeinstitute.org;DC;20020;(202) 629-2545;80;1;;No;No;Yes;No;Quality;;;All Year;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;Closed;Closed;3 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;January 31, 2018;January 31, 2021;CDC;Devon Tucker;English;None;This facility has no mission statement at this time.;March 18, 2013;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2089;38.8487632;-76.9749201;SE;1;;;;1;;;;;;;;;;;;;;;;
2088;Apple Tree Early Learning PCS - Oklahoma Ave. Campus;Child Development Center;330 21st ST;danielle.jones@appletreeinstitute.org;DC;20002;(202) 629-2179;144;1;1;No;No;Yes;No;Quality;;;All Year;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;Closed;Closed;3 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;June 06, 2018;February 28, 2021;CDC;Jamie Miles;English;None;This facility has no mission statement at this time.;March 19, 2013;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2088;38.8945958;-76.9755829;NE;1;;;;1;;;;;;;;;;;;;;;;
2693;Apple Tree Early Public Charter School @ Parkland;Child Development Center;1801 Mississippi AVE. 3rd Floor;devon.tucker@appletreeinstitute.org;DC;20020;(202) 506-1894;80;1;;No;No;Yes;No;Preliminary;;;School Year;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;Closed;Closed;3 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;November 01, 2018;November 30, 2021;CDC;Sherika Dawson;English;None;This facility has no mission statement at this time.;November 01, 2018;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2693;38.8433625;-76.9768474;SE;1;;;;1;;;;;;;;;;;;;;;;
1958;Apple Tree ELPCS Before And After Program;Child Development Center;2750 14th ST;devon.tucker@appletreeinstitute.org;DC;20009;(202) 667-9490;108;1;;No;No;Yes;No;Quality;;;School Year;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;08:00 AM-06:00 PM;Closed;Closed;3 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;August 11, 2017;December 29, 2020;CDC;Devon Tucker;English;None;This facility has no mission statement at this time.;December 20, 2007;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=1958;38.9252415;-77.0326524;NW;1;;;;1;;;;;;;;;;;;;;;;
2705;AppleTree Early Learning Public Charter School - Lincoln Park;Child Development Center;138 12th ST;devon.tucker@appletreeinstitute.org;DC;20002;(202) 621-6581;47;1;1;No;No;Yes;No;Preliminary;;;School Year;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;07:30 AM-06:00 PM;Closed;Closed;3 - 5 years;Full License;A full license is issued when an applicant has demonstrated substantial complliance with the child development facilities regulations.;August 19, 2020;May 31, 2022;CDC;Devon Tucker;English;None;This facility has no mission statement at this time.;May 30, 2019;https://childcareconnections.osse.dc.gov/MychildCare/FacilityProfile?FacilityId=2705;38.8915134;-76.9905356;NE;1;;;;;;;;1;;;;;;;;;;;;
