"provider_id";"date";"deficiency_code";"deficiency_description";"resolution_date";"allegation_type"
1926;"08-07-2018";165.1;"Failure of a Licensee to ensure that a Teacher in a Child Development Center is at least eighteen (18) years of age and shall either: (a) Have earned, an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in early childhood education, early childhood development, child and family studies, or a closely related field; (b) Have earned an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in a field other than early childhood education, early childhood development, or child and family studies, earned at least twenty-four (24) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation in early childhood education, early childhood development, child and family studies, or a closely related field, and have at least one (1) year of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; (c) Have earned at least forty-eight (48) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, of which fifteen (15) semester hours, or its recognized equivalent, shall be in early childhood education, early childhood development, or child and family studies, and has at least at least two (2) years of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; provided that he or she earns an associate’s degree as described in (a) or (b) within four (4) years of the effective date of these regulations; (d) Have earned a high school diploma or its equivalent and a current Child Development Associate (CDA) credential, which specifies that the individual is qualified for the assigned age classification; provided that he or she earns an associate’s degree in compliance with (a) or (b) within four (4) years of the effective date of these regulations; or (e) For a Montessori school teacher, have earned an associate’s degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, and a Montessori certificate issued by the National Center for Montessori Education, American Montessori Society, or the Association Montessori International, or a program accredited by the Montessori Accreditation Commission for Teacher Education.";"08-08-2018";"Administrative"
1926;"03-27-2018";165.1;"Failure of a Licensee to ensure that a Teacher in a Child Development Center is at least eighteen (18) years of age and shall either: (a) Have earned, an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in early childhood education, early childhood development, child and family studies, or a closely related field; (b) Have earned an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in a field other than early childhood education, early childhood development, or child and family studies, earned at least twenty-four (24) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation in early childhood education, early childhood development, child and family studies, or a closely related field, and have at least one (1) year of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; (c) Have earned at least forty-eight (48) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, of which fifteen (15) semester hours, or its recognized equivalent, shall be in early childhood education, early childhood development, or child and family studies, and has at least at least two (2) years of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; provided that he or she earns an associate’s degree as described in (a) or (b) within four (4) years of the effective date of these regulations; (d) Have earned a high school diploma or its equivalent and a current Child Development Associate (CDA) credential, which specifies that the individual is qualified for the assigned age classification; provided that he or she earns an associate’s degree in compliance with (a) or (b) within four (4) years of the effective date of these regulations; or (e) For a Montessori school teacher, have earned an associate’s degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, and a Montessori certificate issued by the National Center for Montessori Education, American Montessori Society, or the Association Montessori International, or a program accredited by the Montessori Accreditation Commission for Teacher Education.";"03-27-2018";"Administrative"
1926;"12-18-2017";142.2;"Failure of a Licensee to conform, to the extent practicable, to the National Health and Safety Performance Standards to ensure the safety and welfare of children and the cleanliness and sanitary conditions of the Facility.";"12-20-2017";"General Health and Safety"
1926;"11-16-2017";127.4;"Failure of a Licensee to maintain policies and procedures consistent with applicable Federal and local laws and regulations and include, but not limited to, the following: (a) A description of services to be provided, specifying the ages of children to be served, days and times of operation, and days and times that the Facility is closed; (b) A description of enrollment and admission requirements specifying the parent(s)’ or guardian(s)’ responsibilities for supplying needed information to the Facility and escorting the child to and from the Facility; (c) A fee and payment schedule specifying the standard fees, fees related to absences and vacations and other charges and fees such as transportation and late fees; (d) A description of transportation and field trip services; (e) A description of procedures for administering medication, both prescription and non-prescription, and notifying parent(s) and guardian(s) of noticeable adverse reactions to medications; (f) A description of the procedure for notifying parent(s) and guardian(s) when their child is ill or injured, and the policy regarding the exclusion of sick children; (g) A description of the procedure for notifying parent(s) and guardian(s) when a child, employee, or volunteer at the Facility has a communicable disease; (h) A description of the Facility’s procedure for handling medical emergencies; (i) A description of meals and snacks served, and guidelines or requirements for food brought by a child to the Facility; (j) A statement that parent(s) and guardian(s) have access to all Facility areas used by their child (and a description of any conditions placed on that access); (k) Child abuse reporting law requirements; (l) The procedures for identifying and preventing shaken baby syndrome and abusive head trauma in infants, if applicable; (m) A description of behavior management practices used at the Facility; (n) Nondiscrimination statement; (o) If licensed for the care of an infant or toddler, the Facility’s: (1) Diapering procedures; (2) Toilet training procedures; and (3) Feeding procedures; (p) A description of the safe sleep practices followed by the Center that includes the following information: (1) When setting an infant down to sleep, the infant will be placed on his or her back; (2) No covers or other soft items are allowed in cribs; (3) A description of what constitutes appropriate sleep clothing for infants to be provided by parent or guardian; (4) A statement that individual crib, cot or mat and bedding is provided, and the changing and cleaning practices for these items; (5) A statement that infants who fall asleep in other equipment, on the floor or elsewhere will be moved to a crib to sleep; and (6) A statement that no swaddling or positioning devices will be used at the Facility.";"12-13-2017";"Administrative"
1926;"11-16-2017";159.6;"Failure of a Licensee to make reasonable efforts to determine if any child under its care is a child with any disability and be aware of the Licensee’s obligations to provide any accommodations required by law.";"12-13-2017";"General Health and Safety"
1896;"03-20-2018";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"03-27-2018";"General Health and Safety"
1948;"03-08-2018";126.1;"Failure of a Licensee to provide a variety and sufficient quantities of materials, equipment, and supplies for indoor and outdoor activities, consistent with the numbers, ages, and needs of the infants, toddlers, preschool, or school-age enrolled children";"03-12-2018";"Administrative"
2555;"07-18-2018";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"07-18-2018";"General Health and Safety"
2687;"07-04-2019";141.4;"Failure of a Licensee to ensure that positive behavior support or discipline shall not include any of the following methods of discipline and the use of any of them by the Licensee, and the staff members, is prohibited: (a) Physical harm, including but not limited to, punching, pinching, shaking, shoving, pushing, spanking, striking, kicking, biting, yanking, strangling, kneeing, poking, or plucking; (b) Fear, shaming, intimidation, or humiliation; (c) Derogatory remarks or profane language; (d) Confinement in a locked room or an enclosed area where a child cannot be seen or supervised by Facility staff; (e) Force feeding against a child’s will; (f) Withholding of food, water, rest, toilet use, outdoor activities, or outdoor play; or (g) Physical or chemical restraints.";"07-08-2019";"General Health and Safety"
2687;"05-23-2019";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"05-30-2019";"Administrative"
2687;"05-23-2019";141.4;"Failure of a Licensee to ensure that positive behavior support or discipline shall not include any of the following methods of discipline and the use of any of them by the Licensee, and the staff members, is prohibited: (a) Physical harm, including but not limited to, punching, pinching, shaking, shoving, pushing, spanking, striking, kicking, biting, yanking, strangling, kneeing, poking, or plucking; (b) Fear, shaming, intimidation, or humiliation; (c) Derogatory remarks or profane language; (d) Confinement in a locked room or an enclosed area where a child cannot be seen or supervised by Facility staff; (e) Force feeding against a child’s will; (f) Withholding of food, water, rest, toilet use, outdoor activities, or outdoor play; or (g) Physical or chemical restraints.";"05-30-2019";"General Health and Safety"
2236;"12-02-2019";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"12-03-2019";"General Health and Safety"
2236;"01-22-2019";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"02-28-2019";"Administrative"
2236;"03-26-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"04-24-2018";"General Health and Safety"
2236;"03-26-2018";155.11;"Failure of a Licensee to provide and ensure that each child uses, at each meal or snack, clean and sanitary individual eating and drinking utensils. Reusable utensils shall be washed and sanitized after each use.";"04-24-2018";"General Health and Safety"
1783;"04-11-2019";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"04-12-2019";"General Health and Safety"
1783;"04-11-2019";142.2;"Failure of a Licensee to conform, to the extent practicable, to the National Health and Safety Performance Standards to ensure the safety and welfare of children and the cleanliness and sanitary conditions of the Facility.";"04-12-2019";"General Health and Safety"
1876;"02-05-2019";130.1;"Failure of the Licensee to maintain a record for each enrolled child, in the form provided by or approved by OSSE, in one central location at the Facility, and shall retain the record for three (3) years following the termination of that child’s enrollment. The record shall be maintained in a confidential manner in compliance with Federal and District of Columbia laws and regulations, but should be immediately available to the child’s caregivers and/or teachers, the child’s parents or guardians, and OSSE upon request.";"02-08-2019";"Administrative"
1876;"03-16-2018";"121.3(a)";"Failure of a licensed Child Development Facility (“Licensee”) to maintain the adult-to-child ratios and group sizes as specified herein: (a) For Child Development Centers serving infants, toddlers, and/or preschoolers:";"03-16-2018";"General Health and Safety"
1910;"04-24-2019";164.1;"Failure of a Licensee to ensure that a Center Director shall be physically present at the Facility at all times during the Center’s peak hours of operation when the majority of children are present, and maintain on the premises a record of days and actual hours of work at the Facility, except that a Center Director may be absent from the Facility if he or she has designated an authorized representative of the Child Development Facility, who shall be physically present at the Facility when the Center Director is absent. This authorized representative must meet all the qualification requirements of a Center Director and who assumes full responsibility for the Facility’s management and operations in the absence of the Center Director.";"07-01-2019";"Administrative"
1910;"04-24-2019";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"07-01-2019";"General Health and Safety"
2074;"05-30-2019";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"06-06-2019";"General Health and Safety"
2074;"09-04-2018";127.1;"Failure of a Licensee to establish and maintain respectful and professional communication with the parent(s) or guardian(s) of children enrolled.";"11-14-2018";"Administrative"
2074;"08-08-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"08-10-2018";"Administrative"
2074;"08-08-2018";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"08-10-2018";"General Health and Safety"
1818;"04-18-2019";122.8;"Failure of a Licensee to ensure that a Facility is free of any lead-based paint hazards";"08-12-2019";"Environmental"
1818;"11-08-2018";122.13;"Failure of a Licensee to ensure that the Facility is free of moisture, mold, and mildew, including but not limited to, moisture resulting from water leakage or seepage";"01-10-2019";"General Health and Safety"
1818;"08-06-2018";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"08-06-2018";"Environmental"
1818;"04-02-2018";147.1;"Failure of a Licensee to ensure that, including any staff, substitutes, volunteers, individual residing on the premises of the Facility, or any other individual connected with the Facility shall not subject a child to abuse, neglect, mental injury, or injurious treatment.";"07-19-2018";"Child Abuse and Neglect"
1818;"11-12-2017";128.5;"Failure of any Facility staff member who knows or has reasonable cause to suspect that an enrolled child is, has been, or is in immediate danger of being an abused or neglected child shall, as required by the District of Columbia Prevention of Child Abuse and Neglect Act of 1977, effective September 23, 1977 (D.C. Law 2-22; D.C. Official Code §§ 4-1321.01 et seq.), make or cause to be made an immediate oral report to: (a) The Child Protective Services Division of the Child and Family Services Agency (CFSA), via the CFSA twenty-four (24) hour Child Abuse and Neglect Hotline (202-671-SAFE); and (b) The Metropolitan Police Department.";"12-04-2017";"Administrative"
2131;"11-16-2018";165.1;"Failure of a Licensee to ensure that a Teacher in a Child Development Center is at least eighteen (18) years of age and shall either: (a) Have earned, an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in early childhood education, early childhood development, child and family studies, or a closely related field; (b) Have earned an associate’s or more advanced degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, with a major in a field other than early childhood education, early childhood development, or child and family studies, earned at least twenty-four (24) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation in early childhood education, early childhood development, child and family studies, or a closely related field, and have at least one (1) year of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; (c) Have earned at least forty-eight (48) semester credit hours, or its recognized equivalent, from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, of which fifteen (15) semester hours, or its recognized equivalent, shall be in early childhood education, early childhood development, or child and family studies, and has at least at least two (2) years of supervised occupational experience working with children in a licensed District of Columbia Child Development Center or its equivalent in another jurisdiction; provided that he or she earns an associate’s degree as described in (a) or (b) within four (4) years of the effective date of these regulations; (d) Have earned a high school diploma or its equivalent and a current Child Development Associate (CDA) credential, which specifies that the individual is qualified for the assigned age classification; provided that he or she earns an associate’s degree in compliance with (a) or (b) within four (4) years of the effective date of these regulations; or (e) For a Montessori school teacher, have earned an associate’s degree from an institution accredited by an agency recognized by the U.S. Secretary of Education or the Council for Higher Education Accreditation, and a Montessori certificate issued by the National Center for Montessori Education, American Montessori Society, or the Association Montessori International, or a program accredited by the Montessori Accreditation Commission for Teacher Education.";"11-26-2018";"Administrative"
2131;"11-16-2018";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"11-26-2018";"General Health and Safety"
2569;"04-18-2018";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"04-24-2018";"General Health and Safety"
2569;"04-18-2018";120.2;"Failure of a Licensee to have a written staffing plan to ensure the required supervision of all enrolled children at all times";"04-24-2018";"General Health and Safety"
2569;"04-18-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"04-24-2018";"General Health and Safety"
1789;"10-23-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"10-31-2018";"Administrative"
1853;"08-01-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"08-02-2018";"General Health and Safety"
1853;"07-27-2018";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"08-06-2018";"General Health and Safety"
1853;"07-27-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"08-06-2018";"General Health and Safety"
2611;"08-19-2019";122.13;"Failure of a Licensee to ensure that the Facility is free of moisture, mold, and mildew, including but not limited to, moisture resulting from water leakage or seepage";"09-03-2019";"General Health and Safety"
2611;"07-22-2019";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"07-22-2019";"General Health and Safety"
2611;"10-02-2018";118.5;"Failure of a Licensee to protect the safety, health, and welfare of all children within their care";"10-19-2018";"General Health and Safety"
2611;"07-11-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"07-13-2018";"Administrative"
2067;"07-02-2018";128.1;"Failure of a Licensee to immediately notify OSSE of any unusual incident that may adversely affect the health, safety, or welfare of any enrolled child or children by submitting a completed OSSE Unusual Incident Report form to OSSE’s Child Care Complaint email address.";"07-02-2018";"Administrative"
2067;"02-06-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"02-06-2018";"General Health and Safety"
2669;"05-29-2019";124.2;"Failure of a Licensee to ensure that the temperature within each room of program space shall be maintained at between sixty-eight degrees Fahrenheit (68°F) and seventy-five degrees Fahrenheit (75°F) from October through March, and between sixty-eight degrees Fahrenheit (68°F) and eighty-two degrees Fahrenheit (82°F) from April through September.";"05-30-2019";"Environmental"
2669;"12-20-2018";122.19;"Failure of a Licensee to ensure that the Facility’s premises remain clear of insects, rodents, and other pests and excrement of insects, rodents, and other pests";"12-28-2018";"General Health and Safety"
2113;"05-10-2019";122.8;"Failure of a Licensee to ensure that a Facility is free of any lead-based paint hazards";"09-30-2019";"Environmental"
2051;"10-24-2018";130.9;"Failure of a Licensee to conform to applicable Federal and District of Columbia laws and regulations protecting a child’s confidential information, to keep all confidential records in a secured location with limited access, and not to disclose information concerning an individual child or the child’s parent(s) or guardian(s) to persons other than the Facility staff or government officials acting in the course of their duties, unless the parent(s) or guardian(s) grant written permission for the disclosure, or unless disclosure is necessary in an emergency situation.";"10-24-2018";"Administrative"
2051;"03-29-2018";121.2;"Failure to ensure minimum adult-to-child ratios shall be met at all times, including non-peak hours, during nap or rest periods, and in vehicles during transport";"04-02-2018";"General Health and Safety"
2189;"10-11-2019";120.1;"Failure to supervise children while at the Facility by responsible staff and volunteers who can see and hear the children supervised at all times including but not limited to when they are napping or sleeping, on the playground, on field trips, on vehicular and non-vehicular excursions, and during all water activities and water play activities";"10-17-2019";"General Health and Safety"
2189;"10-11-2019";126.3;"Failure of a Licensee to ensure that all playthings, equipment, supplies, furnishings, and other materials provided by a Licensee for use by children shall meet the standards of the Consumer Product Safety Commission and the American Society for Testing and Materials, and shall: (a) Be sturdy enough that they will not splinter; (b) Not have sharp points or rough edges; (c) Have lead-free, non-toxic paint or finishes; (d) Be washable, regularly washed, and maintained in good repair; and (e) Comply with Federal standards regarding small toys and objects for use by children";"10-17-2019";"General Health and Safety"
