"FacilityId";"Name";"Type";"Address";"City";"State";"Zip";"Phone";"Capacity";"Accepts Vouchers";"CACFP";"Infant";"Toddler";"Pre-School";"School Age";"Quality Rating";"Accreditation Type";"Expiration Date";"Schedule";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday";"Other Hours";"License Type";"License Definition";"License Begin Date";"License Expiration Date"
2047;"Franklin Commons Intergenerational";"CDC (Child Development Center)";"119 Franklin ST, NE";"Washington";"D.C.";20001;"(202) 518-5683";46;1;;"Yes";"Yes";"Yes";"Yes";"Developing";;;"All Year";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Oct 17, 2017";"Jun 30, 2020"
2244;"Friendship Public Charter School @ Armstrong Campus";"CDC (Child Development Center)";"1400 First ST, NW";"Washington";"D.C.";20001;"(202) 281-1712";175;1;;"No";"No";"Yes";"Yes";"Quality";;;"All Year";"6:30AM - 7:00PM";"6:30AM - 7:00PM";"6:30AM - 7:00PM";"6:30AM - 7:00PM";"6:30AM - 7:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Dec 05, 2017";"Sep 30, 2020"
1799;"Georgetown Law Early Learning Center";"CDC (Child Development Center)";"120 F ST, NW";"Washington";"D.C.";20001;"(202) 662-9256";38;;;"No";"Yes";"Yes";"No";"N/A";;;"All Year";"8:00AM - 6:30PM";"8:00AM - 6:30PM";"8:00AM - 6:30PM";"8:00AM - 6:30PM";"8:00AM - 6:30PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Jun 23, 2017";"Jun 30, 2020"
1900;"Home Away From Home";"CDC (Child Development Center)";"414 R ST, NW";"Washington";"D.C.";20001;"(202) 986-4626";60;1;1;"Yes";"Yes";"Yes";"No";"Quality";"NAEYC";"May 01, 2019";"All Year";"7:15AM - 5:45PM";"7:15AM - 5:45PM";"7:15AM - 5:45PM";"7:15AM - 5:45PM";"7:15AM - 5:45PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Jan 24, 2018";"Dec 31, 2020"
2589;"Julia Ruiz";"CDX (Child Development Home Expanded)";"2123 11th ST, NW";"Washington ";"D.C.";20001;"(202) 986-8452";9;;;"Yes";"Yes";"No";"No";"N/A";;;"All Year";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Nov 16, 2017";"Nov 30, 2020"
2095;"Kids Come First - Unit 2";"CDC (Child Development Center)";"200 K ST, NW, SUITE 2";"Washington";"D.C.";20001;"(202) 733-1213";25;1;;"No";"Yes";"Yes";"No";"Progressing";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Mar 15, 2018";"Feb 28, 2021"
2097;"Kids Come First - Unit 5";"CDC (Child Development Center)";"200 K ST, NW, SUITE 5";"Washington";"D.C.";20001;"(202) 733-1213";23;1;;"Yes";"Yes";"No";"No";"Progressing";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Jan 31, 2018";"Dec 31, 2020"
2750;"Kidz Care Unlimited Child Development Center";"CDC (Child Development Center)";"128 M ST,, Suite 150 & 300";"Washington";"D.C.";20001;"(202) 525-5140";100;;;"Yes";"Yes";"Yes";"Yes";"N/A";;;"All Year";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Oct 31, 2019";"Oct 31, 2022"
2641;"Logan - Shaw Child Care";"CDC (Child Development Center)";"1700 7th ST, NW";"Washington";"D.C.";20001;"(202) 515-6954";46;;;"Yes";"Yes";"Yes";"No";"N/A";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Jun 26, 2018";"Feb 28, 2021"
1940;"Milestones Enrichment Center Inc";"CDC (Child Development Center)";"755 8th ST, NW";"Washington";"D.C.";20001;"(202) 628-5683";46;1;1;"Yes";"Yes";"Yes";"No";"Quality";"NAEYC";"Apr 01, 2022";"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Nov 06, 2017";"Oct 31, 2020"
2652;"Nassia M. Seid";"CDH (Child Development Home)";"712 Q ST, NW";"Washington ";"D.C.";20001;"(202) 823-8731";6;;;"Yes";"Yes";"Yes";"No";"N/A";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"May 30, 2019";"Jun 30, 2021"
1991;"Northwest Settlement House CDC";"CDC (Child Development Center)";"1739 7th ST, NW";"Washington";"D.C.";20001;"(202) 332-4040";47;1;1;"Yes";"Yes";"Yes";"No";"Quality";"NAEYC";"Jun 01, 2019";"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Nov 01, 2017";"Nov 30, 2020"
1809;"Shiloh Child Development Center";"CDC (Child Development Center)";"1507 9th ST, NW";"Washington";"D.C.";20001;"(202) 387-2986";68;1;;"No";"Yes";"Yes";"Yes";"Quality";"NAEYC";"May 01, 2019";"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Aug 24, 2017";"May 31, 2020"
1797;"Springfield Baptist Church ""Kingdom Kids"" CDC";"CDC (Child Development Center)";"508 P ST, NW";"Washington";"D.C.";20001;"(202) 234-4291";59;1;;"Yes";"Yes";"Yes";"No";"Developing";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Apr 06, 2018";"Nov 30, 2020"
1726;"Ujamaa School, Inc.";"CDC (Child Development Center)";"1554 8th ST, NW, APT C-01";"Washington";"D.C.";20001;"(202) 232-2997";14;;;"No";"Yes";"Yes";"Yes";"N/A";"None";;"All Year";"8:00AM - 4:00PM";"8:00AM - 4:00PM";"8:00AM - 4:00PM";"8:00AM - 4:00PM";"8:00AM - 4:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Nov 04, 2017";"Nov 30, 2020"
2173;"UPO @ Dunbar High School";"CDC (Child Development Center)";"101 N ST, NW";"Washington";"D.C.";20001;"(202) 724-4407";10;1;1;"Yes";"Yes";"No";"No";"Developing";"NONE";;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Jan 18, 2018";"Feb 28, 2021"
2085;"Woodbridge Day Care Center IV";"CDC (Child Development Center)";"629 Columbia RD, NW";"Washington";"D.C.";20001;"(202) 722-4106";27;1;1;"Yes";"Yes";"Yes";"No";"Developing";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Nov 02, 2018";"Apr 30, 2021"
2642;"A Step Above Child Development Center";"CDC (Child Development Center)";"1424 North Capitol ST, NW";"Washington ";"D.C.";20002;"(202) 986-1351";31;1;;"Yes";"Yes";"Yes";"No";"Developing";;;"All Year";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Aug 29, 2018";"Mar 31, 2021"
2743;"AlphaBEST Education @ KIPP DC Webb Campus";"CDC (Child Development Center)";"1375 Mount Olivet RD, NE";"Washington ";"D.C.";20002;"(703) 659-3092";201;1;;"No";"No";"Yes";"Yes";"Preliminary";;;"School Year";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"CLOSED";"CLOSED";"Before Care: 6:30 - 8:30 AM After Care: 3:45 - 6:30 PM";"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Oct 31, 2019";"Aug 31, 2022"
2088;"Apple Tree Early Learning PCS - Oklahoma Ave. Campus";"CDC (Child Development Center)";"330 21st ST, NE";"Washington";"D.C.";20002;"(202) 629-2179";144;1;;"No";"No";"Yes";"No";"Quality";;;"All Year";"7:30AM - 6:00PM";"7:30AM - 6:00PM";"7:30AM - 6:00PM";"7:30AM - 6:00PM";"7:30AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Jun 06, 2018";"Feb 28, 2021"
2705;"AppleTree Early Learning Public Charter School - Lincoln Park";"CDC (Child Development Center)";"138 12th ST, NE";"Washington ";"D.C.";20002;"(202) 621-6581";47;1;;"No";"No";"Yes";"No";"Preliminary";;;"School Year";"7:30AM - 6:00PM";"7:30AM - 6:00PM";"7:30AM - 6:00PM";"7:30AM - 6:00PM";"7:30AM - 6:00PM";"CLOSED";"CLOSED";"Before Care - 7:30 - 8:00 AM After Care - 3:15 - 6:00 PM";"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"May 30, 2019";"May 31, 2022"
2633;"Baby Einstein II Child Development Center";"CDC (Child Development Center)";"1816 Benning RD, NE";"Washington ";"D.C.";20002;"(240) 882-4727";18;1;;"No";"Yes";"Yes";"No";"Developing";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Feb 21, 2018";"Feb 28, 2021"
2653;"Beza Woucha";"CDH (Child Development Home)";"1276 Holbrook Terr, NE";"Washington ";"D.C.";20002;"(202) 509-6830";6;;;"Yes";"Yes";"Yes";"No";"N/A";;;"All Year";"7:00AM - 6:00AM";"7:00AM - 6:00AM";"7:00AM - 6:00AM";"7:00AM - 6:00AM";"7:00AM - 6:00AM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Nov 16, 2018";"Apr 30, 2021"
2031;"Capitol Hill Learning Group, LLC";"CDC (Child Development Center)";"907 Maryland AVE, NE";"Washington";"D.C.";20002;"(202) 316-8990";50;;;"No";"No";"Yes";"No";"N/A";;;"School Year";"CLOSED";"9:00AM - 12:45PM";"CLOSED";"9:00AM - 12:45PM";"9:00AM - 12:45PM";"CLOSED";"CLOSED";"HALF DAY PROGRAM";"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Feb 07, 2017";"Feb 28, 2020"
2640;"Carmencita D. Jones/Carmen's Pride & Joy";"CDX (Child Development Home Expanded)";"563 23rd ST, NE";"Washington ";"D.C.";20002;"(202) 399-7353";9;;;"Yes";"Yes";"Yes";"No";"N/A";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"May 07, 2018";"May 31, 2021"
2662;"Cassandra Leigh Corrales/CUCO KIDS LLC";"CDH (Child Development Home)";"1272 Owen PL, NE";"Washington ";"D.C.";20002;"(703) 609-9773";6;;;"Yes";"Yes";"Yes";"No";"N/A";;;"School Year";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"7:30AM - 5:30PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Aug 23, 2019";"Oct 31, 2021"
2216;"Edward C. Mazique @ Developing Families Center";"CDC (Child Development Center)";"801 17th ST, NE";"Washington";"D.C.";20002;"(202) 730-0004";48;1;1;"Yes";"Yes";"No";"No";"Quality";"NAEYC";"Sep 01, 2018";"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Nov 27, 2017";"Nov 30, 2020"
2583;"Elonda's Day Care";"CDX (Child Development Home Expanded)";"816 6th ST, NE";"Washington ";"D.C.";20002;"(301) 281-7932";12;;;"Yes";"Yes";"Yes";"Yes";"N/A";;;"All Year";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"7:00AM - 11:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Dec 19, 2017";"Dec 31, 2020"
2080;"Friendship Public Charter School @ Blow Pierce Campus";"CDC (Child Development Center)";"725 19th ST, NE";"Washington";"D.C.";20002;"(202) 281-1714";175;1;1;"No";"No";"Yes";"Yes";"Quality";;;"All Year";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Sep 18, 2017";"Sep 30, 2020"
1743;"Full Gospel Tabernacle Church";"CDC (Child Development Center)";"632 11th ST, NE";"Washington";"D.C.";20002;"(202) 543-2438";54;1;1;"No";"Yes";"Yes";"Yes";"Quality";"NAEYC";"Apr 01, 2017";"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Jul 16, 2018";"Feb 28, 2021"
2111;"Growth Spurts Child Learning Center @ D Street";"CDC (Child Development Center)";"1802 D ST, NE";"Washington";"D.C.";20002;"(202) 544-2731";16;1;;"Yes";"Yes";"Yes";"No";"Developing";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"May 18, 2018";"Jan 31, 2021"
2164;"Guardian Angels Child Development And Learning Center";"CDC (Child Development Center)";"1814 Central PL, NE";"Washington";"D.C.";20002;"(202) 526-4414";21;1;;"Yes";"Yes";"Yes";"No";"Progressing";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Mar 16, 2017";"Mar 31, 2020"
2629;"Karla Richardson/New Life Early Learning";"CDX (Child Development Home Expanded)";"814 L ST, NE";"Washington";"D.C.";20002;"(202) 827-8019";9;;;"Yes";"Yes";"Yes";"No";"N/A";;;;"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Mar 14, 2018";"Mar 31, 2021"
2254;"Kiddie University Capitol Hill, LLC";"CDC (Child Development Center)";"728 F ST, NE";"Washington";"D.C.";20002;"(202) 544-4544";42;;;"Yes";"Yes";"Yes";"No";"N/A";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Mar 07, 2018";"Feb 28, 2021"
2613;"Kiddie University H Street";"CDC (Child Development Center)";"806 H ST, NE";"Washington ";"D.C.";20002;"(202) 853-9144";51;;;"Yes";"Yes";"Yes";"No";"N/A";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Aug 02, 2018";"Jun 30, 2020"
2617;"KinderCare Education Champions @ J.O. Wilson";"CDC (Child Development Center)";"660 K ST, NE";"Washington ";"D.C.";20002;"(301) 891-1145";108;1;;"No";"No";"No";"Yes";"Developing";;;"School Year";"3:00PM - 6:00PM";"3:00PM - 6:00PM";"3:00PM - 6:00PM";"3:00PM - 6:00PM";"3:00PM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Aug 22, 2019";"May 31, 2021"
2201;"Love And Care Child Development Center Inc";"CDC (Child Development Center)";"330 Rhode Island AVE, NE";"Washington";"D.C.";20002;"(202) 652-1057";60;1;;"Yes";"Yes";"Yes";"No";"Quality";"NAEYC";"Nov 01, 2021";"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Nov 01, 2017";"Nov 30, 2020"
2200;"Loving Care Day Nursery, Inc #2";"CDC (Child Development Center)";"1818 New York Ave, NE #101";"Washington";"D.C.";20002;"(202) 547-1877";209;1;;"Yes";"Yes";"Yes";"Yes";"Quality";"NAEYC";"Nov 01, 2016";"All Year";"6:00AM - 7:00PM";"6:00AM - 7:00PM";"6:00AM - 7:00PM";"6:00AM - 7:00PM";"6:00AM - 7:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Dec 06, 2017";"Dec 31, 2020"
2558;"Maria Dolores Naranjo";"CDX (Child Development Home Expanded)";"2909 North Capital ST, NW";"Washington";"D.C.";20002;"(202) 607-0629";12;;;"Yes";"Yes";"Yes";"No";"N/A";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"May 28, 2019";"Aug 31, 2020"
2608;"Marian Dunmore";"CDX (Child Development Home Expanded)";"702 16th ST, NE";"Washington";"D.C.";20002;"(202) 377-9732";9;;;"Yes";"Yes";"Yes";"Yes";"N/A";;;"All Year";"7:00AM - 6:00AM";"7:00AM - 6:00AM";"7:00AM - 6:00AM";"7:00AM - 6:00AM";"7:00AM - 6:00AM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Jul 28, 2017";"Jul 31, 2020"
2572;"Nana's Place, LLC";"CDC (Child Development Center)";"342 8th ST, NE";"Washington ";"D.C.";20002;"(202) 543-3322";19;;;"Yes";"Yes";"Yes";"No";"N/A";;;"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"May 17, 2017";"May 31, 2020"
1915;"NCCFD Carver Terrace, CDC";"CDC (Child Development Center)";"2229 M ST, NE";"Washington";"D.C.";20002;"(202) 388-7646";88;1;;"Yes";"Yes";"Yes";"No";"Quality";"COA";"Feb 28, 2022";"All Year";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"CLOSED";"CLOSED";;"Full License";"A full license is issued when an applicant has demonstrated substantial compliance with the child development facilities regulations.";"Nov 06, 2017";"Nov 30, 2020"
