"ProviderID";"Name";"Type";"PTQ Level";"State";"County";"City";"ZIP";"Address";"Status";"License Start Date";"License End Date";"License Status";"Child Care Ages";"Capacity";"Accreditations";"Programs";"Applicants";"Phone";"Sunday";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday"
517031;"Little Sprouts Ministries";"Unlicensed Registered Ministry";;"IN";"VANDERBURGH";"Evansville";47711;"4820 Spring St.";"Open";"4/1/2021";"3/31/2023";"Registration";;;;;;"812-401-1170";;"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";
169905;"Orchid's Quality Child Care";"Licensed Home";3;"IN";"VANDERBURGH";;47711;;"Open";"7/1/2020";"6/30/2022";"Regular";"Infant-Twelve";16;;"CCDF Provider";"Juana Acosta";"812-303-2110";;"5:30 AM-5:30 PM";"5:30 AM-5:30 PM";"5:30 AM-5:30 PM";"5:30 AM-5:30 PM";"5:30 AM-5:30 PM";
168979;"Stringtown Ed Center";"Unlicensed CCDF Certified Center/School";;"IN";"VANDERBURGH";"Evansville";47711;"4720 Stringtown Road";"Open";"10/15/2020";"12/31/2021";"CCDF Certified";;;;"CCDF Provider";"Evansville-Vanderburgh School Corporation";"812-435-8322";;"3:00 PM-6:00 PM";"3:00 PM-6:00 PM";"3:00 PM-6:00 PM";"3:00 PM-6:00 PM";"3:00 PM-6:00 PM";
427707;"The Well Daycare";"Unlicensed Registered Ministry";;"IN";"VANDERBURGH";"Evansville";47711;"5600 Ward Road";"Open";"7/1/2021";"6/30/2023";"Registration";;;;;"The Well At Melody Hill";"812-479-1792";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";
428690;"Tiff's Tots";"Licensed Home";1;"IN";"VANDERBURGH";;47710;;"Open";"1/1/2020";"12/31/2021";"Regular";"Infant-Twelve";12;;"CCDF Provider";"Tiffany  Beck";"812-774-5475";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";
166623;"Evans Ed Center";"Unlicensed CCDF Certified Center/School";;"IN";"VANDERBURGH";"Evansville";47710;"2727 N. Evans (A)";"Open";"11/4/2020";"12/31/2021";"CCDF Certified";;;;"CCDF Provider";"Evansville-Vanderburgh School Corporation";"812-435-5975";;"3:00 PM-6:00 PM";"3:00 PM-6:00 PM";"3:00 PM-6:00 PM";"3:00 PM-6:00 PM";"3:00 PM-6:00 PM";
166074;"EVSC Preschool at Evans";"Licensed Center";4;"IN";"VANDERBURGH";"Evansville";47711;"2727 N Evans Ave";"Open";"7/1/2020";"3/31/2022";"Regular";"Three-Twelve";20;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider; On My Way Pre-K";"Terry Green";"812-435-8483";;"8:30 AM-1:30 PM";"8:30 AM-1:30 PM";"8:30 AM-1:30 PM";"8:30 AM-1:30 PM";"8:30 AM-1:30 PM";
485762;"Peek-A-Boo Palace Childcare LLC";"Licensed Home";3;"IN";"VANDERBURGH";;47710;;"Open";"10/1/2020";"9/30/2022";"Regular";"Infant-Six";12;;"CCDF Provider";"Jaclyn Jones";"812-760-1222";;"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";
616533;"Oakhill Baptist Childcare North Campus";"Unlicensed Registered Ministry";;"IN";"VANDERBURGH";"Evansville";47711;"5600 Oak Hill Road";"Open";"5/24/2021";"6/30/2022";"Registration";;;;"CCDF Provider";;"812-962-1548";;"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";
366571;"Ivy Tech";"Licensed Center";4;"IN";"VANDERBURGH";"Evansville";47710;"651 Fairway Drive";"Open";"4/1/2021";"3/31/2023";"Regular";"6 Weeks-35 Months; Three-Five";51;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider; On My Way Pre-K";"Jenny Patterson";"812-401-1936";;"7:30 AM-4:30 PM";"7:30 AM-4:30 PM";"7:30 AM-4:30 PM";"7:30 AM-4:30 PM";"7:30 AM-4:30 PM";
170227;"Oakhill Baptist Childcare";"Unlicensed Registered Ministry";3;"IN";"VANDERBURGH";"Evansville";47711;"4615 Oak Hill Road";"Open";"7/1/2020";"6/30/2022";"Registration";;;;"CCDF Provider; On My Way Pre-K";"Oakhill Baptist Church";"812-962-1548";;"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";
168013;"Parents Choice Child Care";"Unlicensed Registered Ministry";3;"IN";"VANDERBURGH";"Evansville";47711;"4901 Oak Hill Road ";"Open";"7/1/2020";"6/30/2022";"Registration";;;;"CCDF Provider; On My Way Pre-K";"Oak Hill Christian Center";"812-477-9820";;"6:00 AM-6:00 PM";"6:00 AM-12:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";
456780;"EVSC Early Learning Center - Central";"Licensed Center";4;"IN";"VANDERBURGH";"Evansville";47710;"5400 First Ave";"Open";"4/1/2021";"3/31/2022";"Regular";"Infant-35 Months; Two-Six";64;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider; On My Way Pre-K";"Terry Green";"812-435-8483";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"12:00 AM-12:00 AM";"6:30 AM-4:30 PM";"6:30 AM-5:30 PM";
620843;"Pendley's Preschool and Ministries";"Unlicensed Registered Ministry";;"IN";"VANDERBURGH";"Evansville";47711;"2916 Oak Hill Rd";"Open";"6/24/2021";"6/30/2022";"Registration";;;;"CCDF Provider";"Pendley's Preschool and Ministries";"812-401-2010";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";
366456;"Salem Head Start Center";"Licensed Center";4;"IN";"VANDERBURGH";"Evansville";47710;"6311 Kratzville Rd";"Open";"1/1/2021";"12/31/2022";"Regular";"Three-Five";20;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider";"Jenny Patterson";"812-493-3953";;"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";;
543234;"Always We Care Childcare and Dayschool LLC";"Licensed Home";1;"IN";"VANDERBURGH";;47711;;"Open";"8/1/2020";"12/31/2021";"Regular";"Infant-Twelve";12;;"CCDF Provider";"Theresa Howard";"812-459-2761";;"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";
167821;"Pendley's Preschool & Childcare";"Licensed Home";;"IN";"VANDERBURGH";;47711;;"Open";"10/1/2020";"9/30/2022";"Regular";"Infant-Twelve";16;;"CCDF Provider";"Meredith Russell";"812-401-2243";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";
166090;"Mount Pleasant Child Development Center";"Licensed Center";3;"IN";"VANDERBURGH";"Evansville";47725;"8900 Baumgart Road";"Open";"7/1/2020";"6/30/2022";"Regular";"6 Weeks-12 Months; 12 Months-24 Months; Two-Twelve";130;;"CCDF Provider; On My Way Pre-K";"Angela Evans";"812-868-2118";;"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";
169382;"Vogel Ed Center";"Unlicensed CCDF Certified Center/School";;"IN";"VANDERBURGH";"Evansville";47711;"1500 Oak Hill Rd";"Open";"11/6/2020";"12/31/2021";"CCDF Certified";;;;"CCDF Provider";"Evansville-Vanderburgh School Corporation";"812-474-6944";;"3:00 PM-6:00 PM";"3:00 PM-6:00 PM";"3:00 PM-6:00 PM";"3:00 PM-6:00 PM";"3:00 PM-6:00 PM";
573058;"Kiddie City Child Care";"Licensed Home";1;"IN";"VANDERBURGH";;47711;;"Open";"3/1/2021";"6/30/2022";"Regular";"Infant-Twelve";12;;"CCDF Provider";"Kashonna Blane";"812-457-6867";;"6:00 AM-11:00 PM";"6:00 AM-11:00 PM";"6:00 AM-11:00 PM";"6:00 AM-11:00 PM";"6:00 AM-11:00 PM";
166288;"Dayton Kandul's Daycare";"Licensed Home";1;"IN";"VANDERBURGH";;47711;;"Open";"10/1/2020";"9/30/2022";"Regular";"Infant-Twelve";16;;"CCDF Provider";"Kandace Kandul";"812-449-1919";;"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";
169087;"HONEY BUNNY DAY CARE";"Licensed Home";1;"IN";"VANDERBURGH";;47710;;"Open";"10/1/2020";"9/30/2022";"Regular";"Infant-Twelve";12;;"CCDF Provider";"DEBRA WOODS";"812-423-4603";;"7:00 AM-5:00 PM";"7:00 AM-5:00 PM";"7:00 AM-5:00 PM";"7:00 AM-5:00 PM";"7:00 AM-5:00 PM";
485029;"Little Dar's Daycare, LLC.";"Licensed Home";3;"IN";"VANDERBURGH";;47711;;"Open";"10/1/2020";"9/30/2022";"Regular";"Infant-Twelve";12;;"CCDF Provider";"Andrea Tyner";"812-626-0693";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";
551433;"In Good Hands Childcare";"Licensed Home";1;"IN";"VANDERBURGH";;47711;;"Open";"10/1/2020";"12/31/2021";"Regular";"Infant-Thirteen";12;;"CCDF Provider";"Dawntine Boyd";"812-777-6547";;"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";
538803;"Pooh Bears Childcare";"Licensed Home";;"IN";"VANDERBURGH";;47710;;"Open";"7/1/2020";"9/30/2021";"Regular";"Infant-Twelve";12;;"CCDF Provider";"Shannon  Reed";"812-499-6487";"12:00 AM-11:59 PM";"12:00 AM-11:59 PM";"12:00 AM-11:59 PM";"12:00 AM-11:59 PM";"12:00 AM-11:59 PM";"12:00 AM-11:59 PM";"12:00 AM-11:59 PM"
366283;"Bright Village Early Learning";"Licensed Home";3;"IN";"VANDERBURGH";;47715;;"Open";"7/1/2021";"6/30/2023";"Regular";"Infant-Twelve";12;;"CCDF Provider";"Shantay Blackman";"812-549-1589";;"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";
182009;"Cedar Hall Ed Center";"Unlicensed CCDF Certified Center/School";;"IN";"VANDERBURGH";"Evansville";47710;"2100 N Fulton Ave (A)";"Open";"10/14/2020";"12/31/2021";"CCDF Certified";;;;"CCDF Provider";"Evansville-Vanderburgh School Corporation";"812-435-8226";;"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:00 AM-6:00 PM";"6:30 AM-6:00 PM";
167472;"EVSC Preschool at Cedar Hall";"Licensed Center";4;"IN";"VANDERBURGH";"Evansville";47710;"2100 N Fulton Ave";"Open";"7/1/2020";"3/31/2022";"Regular";"Three-Six";20;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider; On My Way Pre-K";"Terry Green";"812-435-8483";;"8:30 AM-1:30 PM";"8:30 AM-1:30 PM";"8:30 AM-1:30 PM";"8:30 AM-1:30 PM";"8:30 AM-1:30 PM";
541002;"Grace Preschool";"Licensed Home";;"IN";"VANDERBURGH";;47711;;"Open";"2/17/2021";"12/31/2021";"Regular";"Infant-Twelve";12;;"CCDF Provider";"Karissa McDermott";"812-457-3340";;"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";
166292;"Delaware Ed Center";"Unlicensed CCDF Certified Center/School";;"IN";"VANDERBURGH";"Evansville";47711;"700 N Garvin Street";"Open";"11/4/2020";"12/31/2021";"CCDF Certified";;;;"CCDF Provider";"Evansville-Vanderburgh School Corporation";"812-435-8230";;"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";
170281;"Stockwell Ed Center";"Unlicensed CCDF Certified Center/School";;"IN";"VANDERBURGH";"Evansville";47715;"2501 Stockwell Rd";"Open";"11/4/2020";"12/31/2021";"CCDF Certified";;;;"CCDF Provider";"Evansville-Vanderburgh School Corporation";"812-474-6904";;"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";
169405;"Enterprise Zone Day Care Center";"Licensed Center";4;"IN";"VANDERBURGH";"Evansville";47711;"1000 East Virginia Street";"Open";"1/1/2020";"12/31/2021";"Regular";"Infant-Two; Three-Five";80;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider; On My Way Pre-K";"Jenny Patterson";"812-452-3134";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";
619772;"Future Leaders Childcare";"Unlicensed Registered Ministry";;"IN";"VANDERBURGH";"EVANSVILLE";47711;"600 North Weinbach Avenue suite 310";"Open";"6/22/2021";"3/31/2022";"Registration";;;;"CCDF Provider";"LEVEL UP WESLEYAN CHURCH";"812-773-1287";;"6:30 AM-6:30 PM";"6:30 AM-6:30 PM";"6:30 AM-6:30 PM";"6:30 AM-6:30 PM";"6:30 AM-6:30 PM";"8:00 AM-3:00 PM"
167541;"GINA'S DAY CARE";"Licensed Home";;"IN";"VANDERBURGH";;47710;;"Open";"10/1/2019";"9/30/2021";"Regular";"Infant-Twelve";10;;"CCDF Provider";"GINA SALMON";"812-306-4493";;"6:15 AM-5:00 PM";"6:15 AM-5:00 PM";"6:15 AM-5:00 PM";"6:15 AM-5:00 PM";"6:15 AM-5:00 PM";
474351;"Carpenter Court Head Start";"Licensed Center";4;"IN";"VANDERBURGH";"Evansville";47711;"607 E Iowa Street";"Open";"1/1/2020";"12/31/2021";"Regular";"Three-Five";17;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider";"Jenny Patterson";"812-492-3907";;"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";;
166268;"New Life Child Care";"Unlicensed Registered Ministry";;"IN";"VANDERBURGH";"Evansville";47711;"2145 East Columbia Street";"Open";"7/1/2020";"6/30/2022";"Registration";;;;;"New Life Church";"812-401-2052";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";
517113;"Little Dreamers Christian Childcare Inc.";"Unlicensed Registered Ministry";;"IN";"VANDERBURGH";"Evansville";47711;"818 N Boeke Rd.";"Open";"7/1/2021";"6/30/2023";"Registration";;;;"CCDF Provider";;"812-303-4957";;"6:30 AM-6:30 PM";"6:30 AM-6:30 PM";"6:30 AM-6:30 PM";"6:30 AM-6:30 PM";"6:30 AM-6:30 PM";
165841;"EARLY START DAYCARE";"Licensed Home";1;"IN";"VANDERBURGH";;47711;;"Open";"10/1/2020";"9/30/2022";"Regular";"Infant-Twelve";12;;"CCDF Provider";"TERRI DICKMAN";"812-568-1329";;"7:00 AM-5:00 PM";"7:00 AM-5:00 PM";"7:00 AM-5:00 PM";"7:00 AM-5:00 PM";"7:00 AM-5:00 PM";
168809;"Fulton Rising Star";"Licensed Center";4;"IN";"VANDERBURGH";"Evansville";47710;"1701 North 7th Avenue";"Open";"1/1/2020";"12/31/2021";"Regular";"Three-Five";20;"National Association for the Education of Young Children (NAEYC)";;"Jenny Patterson";"812-492-3953";;"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";"8:00 AM-1:30 PM";;
168850;"Joshua Academy- Childrens Zone";"Unlicensed CCDF Certified Center/School";;"IN";"VANDERBURGH";"Evansville";47711;"1230 E. Illinois St.";"Open";"6/3/2021";"6/30/2022";"CCDF Certified";;;;"CCDF Provider";"Joshua Academy";"812-401-6300";;"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";
536291;"Color My World Child Care Ministry";"Unlicensed Registered Ministry";;"IN";"VANDERBURGH";"Evansville";47711;"311 N. Weinbach Ave, Ste B";"Open";"7/1/2020";"3/31/2022";"Registration";;;;;"The Church of Jesus Christ";"812-453-1385";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";
167397;"JANE'S DAY CARE";"Licensed Home";;"IN";"VANDERBURGH";;47725;;"Open";"10/1/2019";"9/30/2021";"Regular";"Infant-Twelve";10;;"CCDF Provider";"JANE HEILMAN";"812-453-2470";;"6:30 AM-4:30 PM";"6:30 AM-4:30 PM";"6:30 AM-4:30 PM";"6:30 AM-4:30 PM";"6:30 AM-4:30 PM";
169090;"Deaconess Children's Enrichment Center";"Licensed Center";4;"IN";"VANDERBURGH";"Evansville";47710;"235 West Iowa";"Open";"4/1/2021";"3/31/2023";"Regular";"Infant; Toddler; Two-Twelve";184;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider";"Christina Gretencord";"812-450-7282";;"5:30 AM-7:30 PM";"5:30 AM-7:30 PM";"5:30 AM-7:30 PM";"5:30 AM-7:30 PM";"5:30 AM-7:30 PM";
169938;"Little Precious Home Childcare";"Licensed Home";3;"IN";"VANDERBURGH";;47715;;"Open";"7/1/2021";"6/30/2023";"Regular";"Infant-Twelve";12;;"CCDF Provider";"Angela  Young";"812-491-3192";;"6:00 AM-5:00 PM";"6:00 AM-5:00 PM";"6:00 AM-5:00 PM";"6:00 AM-5:00 PM";"6:00 AM-5:00 PM";
580529;"Bethel United Church of Christ Preschool";"Unlicensed Registered Ministry";3;"IN";"VANDERBURGH";"Evansville";47715;"3029 N Green River Rd";"Open";"2/19/2021";"3/31/2022";"Registration";;;;"CCDF Provider; On My Way Pre-K";"Bethel United Church of Christ";"812-473-0135";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";
166078;"St Vincent Early Learning Center, Inc";"Licensed Center";4;"IN";"VANDERBURGH";"Evansville";47710;"730 West Delaware Street";"Open";"7/1/2020";"6/30/2022";"Regular";"6 Weeks-30 Months; Two-Twelve";342;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider; On My Way Pre-K";"Jared Totsch";"812-424-4780";;"6:30 AM-4:30 PM";"6:30 AM-4:30 PM";"6:30 AM-4:30 PM";"6:30 AM-4:30 PM";"6:30 AM-5:30 PM";
168355;"Old State Childcare";"Licensed Home";;"IN";"VANDERBURGH";;47711;;"Open";"5/31/2020";"3/31/2022";"Regular";"Infant-Twelve";16;;"CCDF Provider";"Carla Wolf";"812-454-1636";;"6:30 AM-5:00 PM";"6:30 AM-5:00 PM";"6:30 AM-5:00 PM";"6:30 AM-5:00 PM";"6:30 AM-5:00 PM";
169506;"Dayton Kandul's Daycare";"Licensed Home";1;"IN";"VANDERBURGH";;47715;;"Open";"7/1/2021";"6/30/2023";"Regular";"Infant-Twelve";16;;"CCDF Provider";"Kandace Kandul";"812-449-1919";;"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";
566311;"Little Lane Daycare";"Licensed Home";1;"IN";"VANDERBURGH";;47715;;"Open";"2/1/2021";"3/31/2022";"Regular";"Infant-Twelve";16;;"CCDF Provider";"Amber Lane";"765-541-9753";;"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";"7:00 AM-5:30 PM";
422552;"A Mothers Touch ChildCare";"Licensed Home";3;"IN";"VANDERBURGH";;47715;;"Open";"4/1/2020";"3/31/2022";"Regular";"Infant-Twelve";12;;"CCDF Provider";"Talia Ragland";"812-598-5720";"12:00 AM-11:59 PM";"12:00 AM-11:59 PM";"12:00 AM-11:59 PM";"12:00 AM-11:59 PM";"12:00 AM-11:59 PM";"12:00 AM-11:59 PM";"12:00 AM-11:59 PM"
166269;"Central Methodist Child Care";"Licensed Center";4;"IN";"VANDERBURGH";"Evansville";47710;"300 Mary Street";"Open";"4/1/2021";"3/31/2023";"Regular";"Infant; Toddler; Two-Twelve";256;"National Association for the Education of Young Children (NAEYC)";"CCDF Provider";"Amanda Peters";"812-424-9461";;"6:15 AM-5:15 PM";"6:15 AM-5:15 PM";"6:15 AM-5:15 PM";"6:15 AM-5:15 PM";"6:15 AM-5:15 PM";
517147;"Beautiful Creations III";"Licensed Home";3;"IN";"VANDERBURGH";;47713;;"Open";"7/1/2021";"6/30/2023";"Regular";"Infant-Twelve";12;;"CCDF Provider; On My Way Pre-K";"Joni Lowery";"812-303-5568";;"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";"6:00 AM-6:00 PM";
167319;"Harper Ed Center";"Unlicensed CCDF Certified Center/School";;"IN";"VANDERBURGH";"Evansville";47714;"21 S Alvord Blvd";"Open";"11/5/2020";"12/31/2021";"CCDF Certified";;;;"CCDF Provider";"Evansville-Vanderburgh School Corporation";"502-551-1949";;"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";
169221;"Joshua Academy Preschool";"Unlicensed Registered Ministry";3;"IN";"VANDERBURGH";"Evansville";47713;"867 East Walnut Street";"Open";"7/1/2020";"6/30/2022";"Registration";;;;"CCDF Provider; On My Way Pre-K";"Nazarene Baptist Church";"812-402-8002";;"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";"6:30 AM-5:30 PM";
165928;"Memorial Childcare";"Unlicensed Registered Ministry";;"IN";"VANDERBURGH";"Evansville";47713;"645 Canal  Street";"Open";"7/1/2020";"6/30/2022";"Registration";;;;"CCDF Provider";"Memorial Baptist Church";"812-423-7166";;"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM";"6:30 AM-6:00 PM"
618473;"Rise Learning Center";"Licensed Center";;"IN";"VANDERBURGH";"Evansville";47708;"501 NW 4th Street";"Open";"6/11/2021";"11/30/2021";"Provisional";"Infant; Toddler-Two; Three-Six";30;;"CCDF Provider";"Tanisha Carothers";"812-305-3714";;"6:00 AM-11:00 PM";"6:00 AM-11:00 PM";"6:00 AM-11:00 PM";"6:00 AM-11:00 PM";"6:00 AM-11:00 PM";
