"ServiceType";"ProviderName";"Building";"Street1";"Street2";"City";"State";"ZipCode";"Building(Mailing)";"Street1(Mailing)";"Street2(Mailing)";"City(Mailing)";"State(Mailing)";"ZipCode(Mailing)";"ContactPerson";"Phone";"LicenseNo";"LicenseName";"Capacity";"MinimumAge";"MaximumAge";"ExpirationDate";"Island";"Area"
"BAS";"OUR LADY OF GOOD COUNSEL CHURCH";;"1530 HOOLANA ST";;"PEARL CITY";"HI";"96782";;"1530 HOOLANA ST";;"PEARL CITY";"HI";"96782";"CINDY OLASO";"808-455-4533";"14058";"OUR LADY OF GOOD COUNSEL MORNING & AFTER SCHOOL CARE PROGRAM";58;"4 years 9 months";"13 years";"20220216";"Oahu";"Momilani"
"BAS";"OUR SAVIOR LUTHERAN CHURCH";;"98-1098 MOANALUA RD";;"AIEA";"HI";"96701";;"98-1098 MOANALUA RD";;"AIEA";"HI";"96701";"ERIK KUSTER";"808-488-0000";"14062";"OUR SAVIOR LUTHERAN BEFORE & AFTER SCHOOL CARE PROGRAM";70;"4 years 9 months";"15 years";"20211130";"Oahu";"Pearlridge"
"BAS";"THE CHILDRENS HOUSE";;"1840 KOMO MAI DR";;"PEARL CITY";"HI";"96782";;"1840 KOMO MAI DR";;"PEARL CITY";"HI";"96782";"TODD LOS BANOS";"808-455-4131";"13695";"THE CHILDRENS HOUSE BEFORE & AFTER SCHOOL CARE PROGRAM";210;"4 years 9 months";"12 years";"20220222";"Oahu";"Pearl City"
"BAS";"TRINITY LUTHERAN CHURCH";;"1611 CALIFORNIA AVE";;"WAHIAWA";"HI";"96786";;"1611 CALIFORNIA AVE";;"WAHIAWA";"HI";"96786";"CORISSA SHEETS";"808-621-6033";"15378";"TRINITY LUTHERAN BSC & ASC";60;"3 years";"15 years";"20201115";"Oahu";"Wahiawa Town"
"BAS";"VARIETY SCHOOL OF HAWAII";;"710 PALEKAUA ST";;"HONOLULU";"HI";"96816";;"710 PALEKAUA ST";;"HONOLULU";"HI";"96816";"JOLENE CHONGCHUA";"808-732-2835";"13645";"VARIETY SCHOOL OF HAWAII AFTER SCHOOL PROGRAM";60;"4 years 8 months";"14 years";"20210131";"Oahu";"Kaimuki"
"BAS";"ST ANDREWS PRIORY SCHOOL";;"224 QUEEN EMMA SQ";;"HONOLULU";"HI";"96813";;"224 QUEEN EMMA SQ";;"HONOLULU";"HI";"96813";"ALETHIA DONATHAN";"808-532-2464";"14854";"ST ANDREWS SCHOOL AFTER SCHOOL CARE";150;"4 years 8 months";"13 years";"20201130";"Oahu";"DT Business District"
"BAS";"ST ANTHONY PARRISH SCHOOL";;"148 MAKAWAO ST";;"KAILUA";"HI";"96734";;"148 MAKAWAO ST";;"KAILUA";"HI";"96734";"BRIDGET OLSEN";"808-261-3331";"13580";"ST. ANTHONY SCHOOL KAILUA BEFORE AND AFTER SCHOOL CARE";60;"4 years 8 months";"15 years";"20201130";"Oahu";"Kailua Town"
"BAS";"ST CATHERINE SCHOOL";;"5021 KAWAIHAU RD";;"KAPAA";"HI";"96746";;"5021 KAWAIHAU RD";;"KAPAA";"HI";"96746";"GINGER OTTO";"808-822-4212";"15374";"ST CATHERINE AFTER SCHOOL PROGRAM";40;"4 years 8 months";"13 years";"20201229";"Kauai";"Kapa'a"
"BAS";"ST JOSEPH SCHOOL";;"94-651 FARRINGTON HWY";;"WAIPAHU";"HI";"96797";;"94-651 FARRINGTON HWY";;"WAIPAHU";"HI";"96797";"BEVERLY SANDOBAL";"808-677-4475";"14158";"ST JOSEPH SCHOOL BEFORE & AFTER SCHOOL EXTENSION PROGRAM";60;"4 years 8 months";"14 years";"20210331";"Oahu";"Waipahu"
"BAS";"SAINT MARK LUTHERAN CHURCH AND SCHOOL";;"45-725 KAMEHAMEHA HWY";;"KANEOHE";"HI";"96744";;"45-725 KAMEHAMEHA HWY";;"KANEOHE";"HI";"96744";;;"14159";"SAINT MARK LUTHERAN SCHOOL BAS CHILD CARE";80;"4 years 8 months";"13 years";"20210228";"Oahu";"Kaneohe"
"BAS";"SAINT MICHAEL SCHOOL";;"67-340 HAONA ST";;"WAIALUA";"HI";"96791";;"67-340 HAONA ST";;"WAIALUA";"HI";"96791";"DEANNA ARECCHI";"808-637-7772X200";"14161";"SAINT MICHAEL'S AFTER SCHOOL CARE PROGRAM";30;"5 years";"14 years";"20211231";"Oahu";"Waialua"
"BAS";"WAOLANI JUDD NAZARENE SCHOOL";;"408 NORTH JUDD ST";;"HONOLULU";"HI";"96817";;"408 NORTH JUDD ST";;"HONOLULU";"HI";"96817";;;"13657";"WAOLANI JUDD NAZARENE SCHOOL BEFORE/AFTER SCHOOL CARE";120;"4 years 8 months";"16 years";"20210930";"Oahu";"Alewa Heights"
"BAS";"FOUNDATIONS FOR FAMILIES";;"98-825 MOANALUA RD";;"AIEA";"HI";"96701";;"P.O. BOX 1554";;"AIEA";"HI";"96701";"KRIS SATO";"808-479-3012";"14666";"EARLY MORNING CARE - WAIMALU ELEMENTARY SCHOOL";40;"4 years 8 months";"12 years";"20201231";"Oahu";"Aiea Heights"
"BAS";"FOUNDATIONS FOR FAMILIES";;"98-940 MOANALUA RD";;"AIEA";"HI";"96701";;"P.O. BOX 1554";;"AIEA";"HI";"96701";"KRIS SATO";"808-479-3012";"14667";"EARLY MORNING CARE - PEARL RIDGE ELEMENTARY SCHOOL";60;"4 years 8 months";"12 years";"20201231";"Oahu";"Aiea Heights"
"BAS";"HAILI CHRISTIAN SCHOOL";;"190 ULULANI STREET";;"HILO";"HI";"96720";;"190 ULULANI STREET";;"HILO";"HI";"96720";"CHARLENE KAMAU";"808-961-5026";"14753";"HAILI CHRISTIAN AFTERSCHOOL AND SUMMER PROGRAM";60;"4 years 8 months";"13 years";"20210817";"Hawaii";"Hilo"
"BAS";"HAWAII PREPARATORY ACADEMY";"HPA LOWER CAMPUS";"651274 KAWAIHAE ROAD";;"KAMUELA";"HI";"96743";;"651692 KOHALA MOUNTAIN RD";;"KAMUELA";"HI";"96743";"DEE WALKER";"808-885-2545";"14742";"HAWAII PREPARATORY ACADEMY AFTER SCHOOL PROGRAM";40;"5 years";"13 years";"20211029";"Hawaii";"Kamuela"
"BAS";"WINDWARD CHURCH OF THE NAZARENE";;"45-232 PUAAE RD";;"KANEOHE";"HI";"96744";;"PO BOX  1633";;"KANEOHE";"HI";"96744";"KAY HISHINUMA";"808-235-8787";"14222";"WINDWARD NAZARENE ACADEMY BEFORE/AFTER SCHOOL CARE";100;"5 years";"15 years";"20210329";"Oahu";"Kaneohe"
"BAS";"KALIHI UNION CHURCH";"KALIHI UNION CHURCH";"2214 NORTH KING ST";;"HONOLULU";"HI";"96819";;"2214 NORTH KING ST";;"HONOLULU";"HI";"96819";"CATHERINE KAWAMURA";"808-392-6718";"13217";"KALIHI UNION CHURCH CHILDREN'S PROGRAM";110;"5 years";"13 years";"20211130";"Oahu";"Kalihi"
"BAS";"FOH HOSPITALITY LLC";;"6 KAI ALA DRIVE";;"LAHAINA";"HI";"96761";;"6 KAI ALA DRIVE";;"LAHAINA";"HI";"96761";"BREANNA MANZANO";"808-667-3473";"15260";"WESTIN KAANAPALI OCEAN RESORT VILLAS KIDS CLUB";49;"5 years";"13 years";"20210331";"Maui";"Lahaina"
"BAS";"HUALALAI INVESTORS, LLC";"FOUR SEASONS RESORT";"HUALALAI";"72100 KAUPULEHU DRIVE";"KAILUA-KONA";"HI";"96740";"FOUR SEASONS RESORT";"HUALALAI";"PO BOX 1269";"KAILUA-KONA";"HI";"96745";"ROBYN SCOTT";"808-325-8224";"15716";"KIDS FOR ALL SEASONS";34;"5 years";"13 years";"20210621";"Hawaii";"Kailua-Kona"
"BAS";"PEARL HARBOR CHRISTIAN ACADEMY";;"94-1044 WAIPIO UKA ST";;"WAIPAHU";"HI";"96797";;"94-1044 WAIPIO UKA ST";;"WAIPAHU";"HI";"96797";"CAROLINA WILLIAMS";"808-678-3997";"15995";"PEARL HARBOR CHRISTIAN ACADEMY BEFORE & AFTER SCHOOL PROGRAM";48;"5 years";"14 years";"20210303";"Oahu";"Waipio"
"BAS";"MONTESSORI COMMUNITY SCHOOL";;"1239 NEHOA ST";;"HONOLULU";"HI";"96822";;"1239 NEHOA ST";;"HONOLULU";"HI";"96822";"KATHY SHIRAKAWA";"808-522-0244";"13376";"MONTESSORI COMMUNITY SCHOOL AFTER SCHOOL PROGRAM";80;"5 years 6 months";"13 years";"20201130";"Oahu";"Makiki"
"BAS";"KINOOLE BAPTIST CHURCH ASP";;"1815 KINOOLE STREET";;"HILO";"HI";"96720";;"1815 KINOOLE STREET";;"HILO";"HI";"96720";"DENISE DRAKE";"808-959-8012";"14754";"KINOOLE BAPTIST ENRICHMENT PROGRAM";60;"4 years 8 months";"14 years";"20210630";"Hawaii";"Hilo"
"BAS";"MID-PACIFIC INSTITUTE";;"2445 KAALA ST";;"HONOLULU";"HI";"96822";;"2445 KAALA ST";;"HONOLULU";"HI";"96822";"EDNA HUSSEY";"808-441-3800";"15477";"MIDPACIFIC INSTITUTE ELEMENTARY SCHOOL EXTENDED DAY PROGRAM";100;"4 years 8 months";"12 years";"20211130";"Oahu";"Manoa"
"BAS";"ISLAND SCHOOL";;"31875 KAUMUALII HWY";;"LIHUE";"HI";"96766";;"31875 KAUMUALII HWY";;"LIHUE";"HI";"96766";"KATIE MAGOUN";"808-246-0233";"15565";"ISLAND SCHOOL DO DROP INN";24;"4 years 8 months";"12 years";"20220130";"Kauai";"Lihu'e"
"BAS";"HYATT CORPORATION";;"200 NOHEA KAI DRIVE";;"LAHAINA";"HI";"96761";;"200 NOHEA KAI DRIVE";;"LAHAINA";"HI";"96761";"NATHAN ""LANCE"" NANOD";"808-661-1234";"16630";"CAMP HYATT";20;"5 years";"13 years";"20220131";"Maui";"Kaanapali"
"BAS";"HONPA HONGWANJI HAWAII BETSUIN";;"1728 PALI HWY";;"HONOLULU";"HI";"96813";;"1728 PALI HWY";;"HONOLULU";"HI";"96813";"THEODORA YAGI";"808-532-0521";"15606";"HONGWANJI MISSION SCHOOL BEFORE AFTER SCHOOL";300;"4 years 8 months";"13 years";"20210605";"Oahu";"Nuuanu"
"BAS";"SOTO ACADEMY";;"1708 NUUANU AVENUE";"101 ,103, 104,";"HONOLULU";"HI";"96817";;"1708 NUUANU AVE";;"HONOLULU";"HI";"96817";"ROSE ANN NAKAMOTO";"808-533-0452";"15134";"SOTO ACADEMY BEFORE SCHOOL CARE AFTER SCHOOL STUDY HALL PROG";100;"4 years 8 months";"13 years";"20210228";"Oahu";"Nuuanu"
"BAS";"ST JOHN VIANNEY SCHOOL";;"940 KEOLU DR";;"KAILUA";"HI";"96734";;"940 KEOLU DR";;"KAILUA";"HI";"96734";"CARYN DEMELLO";"808-261-4651";"13584";"ST JOHN VIANNEY SCHOOL BEFORE AND AFTER SCHOOL CARE";75;"4 years 8 months";"15 years";"20201127";"Oahu";"Kailua Town"
"BAS";"THE LEARNING CASA LLC";;"3155 MANOA RD";"ANNEX BUILDING";"HONOLULU";"HI";"96822";;"PO BOX 62233";;"HONOLULU";"HI";"96839";"CHRISTINE TANIMOTO";"808-781-7468";"16697";"THE LEARNING CASA LLC MANOA ELEMENTARY SCHOOL";40;"4 years 8 months";"12 years";"20210331";"Oahu";"Manoa"
"BAS";"WESTIN MAUI CORPORATION";;"2365 KAANAPALI PARKWAY";;"LAHAINA";"HI";"96761";;"2365 KAANAPALI PARKWAY";;"LAHAINA";"HI";"96761";"JOE STOHLMANN";"808-667-2525EXT2470";"16657";"WESTIN FAMILY KIDS CLUB";30;"5 years";"13 years";"20210731";"Maui";"Lahaina"
"BAS";"FAIRMONT HOTELS & RESORTS";;"4100 WAILEA ALANUI DR";"WAILEA";"KIHEI";"HI";"96753";;"4100 WAILEA ALANUI DR";"WAILEA";"KIHEI";"HI";"96753";"BONNEY ESBENSEN";"808-875-4100";"16429";"FAIRMONT KEA LANI MAUI KEIKI LANI";33;"5 years";"13 years";"20210228";"Maui";"Wailea"
"BAS";"DORIS TODD CHRISTIAN ACADEMY";;"519 BALDWIN AVENUE";;"PAIA";"HI";"96779";;"519 BALDWIN AVENUE";;"PAIA";"HI";"96779";"CAROLYN MOORE";"808-579-9237";"16056";"DORIS TODD CHRISTIAN ACADEMY";40;"5 years";"15 years";"20211130";"Maui";"Paia"
"BAS";"MOILIILI COMMUNITY CENTER";;"2535 S KING ST";;"HONOLULU";"HI";"96826";;"2535 S KING ST";;"HONOLULU";"HI";"96826";"BRENDA NAKAMURA";"808-955-1555";"13368";"MOILIILI COMMUNITY CENTER";140;"4 years 7 months";"14 years";"20201130";"Oahu";"Moiliili"
"BAS";"NEW HOPE LEEWARD";;"480 KAMOKILA BLVD";;"KAPOLEI";"HI";"96707";;"94-050 FARRINGTON HWY";"C-2";"WAIPAHU";"HI";"96797";"KAREN MALUO";"808-678-3776";"17086";"NEW HOPE CHRISTIAN SCHOOL BEFORE & AFTER SCHOOL CARE PROGRAM";125;"5 years";"13 years";"20210131";"Oahu";"Kapolei"
"BAS";"DISNEY VACATION CLUB HAWAII MANAGEMENT COMPANY, LLC";;"92-1185  ALIINUI DR";;"KAPOLEI";"HI";"96707";"ATTN: OLIVIA HO";"92-1185  ALIINUI DR";;"KAPOLEI";"HI";"96707";"OLIVIA HO";"808-674-6944";"16915";"DISNEY'S AUNTY'S BEACH HOUSE BASC";90;"6 years";"13 years";"20210817";"Oahu";"Kapolei"
"BAS";"HALEAKALA WALDORF SCHOOL";;"4160 LOWER KULA ROAD";;"KULA";"HI";"96790";;"4160 LOWER KULA ROAD";;"KULA";"HI";"96790";"PAUL LEVINSON";"808-878-2511";"16871";"HALEAKALA WALDORF AFTER SCHOOL PROGRAM";40;"5 years";"14 years";"20210430";"Maui";"Kula"
"BAS";"WAILEA BEACH RESORT";;"3700 WAILEA ALANUI DRIVE";"WAILEA";"KIHEI";"HI";"96753";;"3700 WAILEA ALANUI DRIVE";"WAILEA";"KIHEI";"HI";"96753";"LYNDRA OKAMOTO";"808-879-1922";"17566";"WAILEA BEACH RESORT KOLOHE HUT";35;"5 years";"13 years";"20201031";"Maui";"Wailea"
"BAS";"HYATT CORPORATION";;"3550 WAILEA ALANUI DRIVE";"WAILEA";"KIHEI";"HI";"96753";;"3550 WAILEA ALANUI DRIVE";"WAILEA";"KIHEI";"HI";"96753";"ALLISON YULO";"808-879-1234EXT. 4835";"17407";"HUB 808 AT ANDAZ MAUI AT WAILEA";27;"5 years";"13 years";"20210831";"Maui";"Wailea"
"BAS";"FOH HOSPITALITY LLC";;"45 KAI MALINA PARKWAY";"WESTIN NANEA OCEAN VILLAS";"LAHAINA";"HI";"96761";;"45 KAI MALINA PARKWAY";"WESTIN NANEA OCEAN VILLAS";"LAHAINA";"HI";"96761";"BRYAN LARSON";"808-662-3300";"17591";"WESTIN NANEA FAMILY KIDS CLUB";44;"5 years";"13 years";"20210228";"Maui";"Kaanapali"
"BAS";"MONTESSORI SCHOOL OF MAUI INC";;"2933 BALDWIN AVE";;"MAKAWAO";"HI";"96768";;"2933 BALDWIN AVE";;"MAKAWAO";"HI";"96768";"ERIC DUSTMAN";"808-573-0374";"14447";"MONTESSORI SCHOOL OF MAUI BAS PROGRAM";60;"5 years";"14 years";"20201130";"Maui";"Makawao"
"BAS";"LANAI RESORTS, LLC DBA PULAMA LANAI";;"1 MANELE BAY ROAD";;"LANAI CITY";"HI";"96763";;"PO BOX 631380";;"LANAI CITY";"HI";"96763";"PAMELA HABAN";"808-565-2398";"17443";"FOUR SEASONS RESORT LANAI KIDS FOR ALL SEASONS";49;"5 years";"13 years";"20201031";"Lanai";"Manele"
"BAS";"RITZ CARLTON HOTEL";;"ONE RITZ CARLTON DRIVE";;"LAHAINA";"HI";"96761";;"ONE RITZ CARLTON DRIVE";;"LAHAINA";"HI";"96761";"CATHERINE RAPANOTTI";"808-665-7299";"17445";"AMBASSADORS OF THE ENVIRONMENT";42;"5 years";"15 years";"20220228";"Maui";"Kapalua"
"BAS";"FOUR SEASONS KIDS FOR ALL SEASONS";;"3900 WAILEA ALANUI DR";;"KIHEI";"HI";"96753";;"3900 WAILEA ALANUI DR";;"KIHEI";"HI";"96753";"JENNA NAKAMA";"808-874-8000X2622";"17475";"FOUR SEASONS RESORT KIDS FOR ALL SEASONS";40;"5 years";"13 years";"20210731";"Maui";"Wailea"
"BAS";"FOUR SEASONS CAMP KOHOLA AT THE HIDEAWAY";;"92-1001 OLANI ST";;"KAPOLEI";"HI";"96707";;"92-1001 OLANI ST";;"KAPOLEI";"HI";"96707";"ELIZABETH FREEMAN";"808-679-3225";"17471";"CAMP KOHOLA AT THE HIDEAWAY";25;"5 years";"13 years";"20210307";"Oahu";"Kapolei"
"BAS";"MAUNA KEA RESORT, LLC";;"62-100 MAUNA KEA BEACH DR";;"KAMUELA";"HI";"96743";;"62-100 MAUNA KEA BEACH DR";;"KAMUELA";"HI";"96743";"GRAYDEN HAIKELLY";"808-882-5774";"17478";"MAUNA KEA KEIKI CLUB";46;"5 years";"13 years";"20201130";"Hawaii";"Kamuela"
"BAS";"SEEQS";;"2705 KAIMUKI AVENUE";;"HONOLULU";"HI";"96816";;"2705 KAIMUKI AVENUE";;"HONOLULU";"HI";"96816";"BUFFY CUSHMAN PATZ";"808-677-3377";"17391";"SEEQS BEFORE & AFTER SCHOOL PROGRAM";40;"9 years";"15 years";"20210219";"Oahu";"Kaimuki"
"BAS";"KA WAIHONA O KA NA' AUAO";;"89-195 FARRINGTON HWY";;"WAIANAE";"HI";"96792";;"89-195 FARRINGTON HWY";;"WAIANAE";"HI";"96792";"ALVIN N. PARKER";"808-620-9030";"17347";"KA WAIHONA O KA NA'AUAO PUBLIC CHARTER SCHOOL";80;"4 years 8 months";"15 years";"20210128";"Oahu";"Nanakuli"
"BAS";"INNOVATIONS PUBLIC CHARTER SCHOOL";;"755815 QUEEN KAAHUMANU HW";;"KAILUA-KONA";"HI";"96740";;"755815 QUEEN KAAHUMANU HW";;"KAILUA-KONA";"HI";"96740";"LEE ""JULIE"" NELSON";"808-331-3130";"17356";"INNOVATIONS PUBLIC CHARTER SCHOOL AFTERCARE PROGRAM";60;"5 years";"13 years";"20201229";"Hawaii";"Kailua-Kona"
"BAS";"KONA PACIFIC CHARTER SCHOOL";;"79-7595 MAMALAHOA HIGHWAY";;"KEALAKEKUA";"HI";"96750";;"PO BOX 115";;"KEALAKEKUA";"HI";"96750";"CHEYENNE ATKINS";"808-322-4900";"17362";"KONA PACIFIC CHARTER AFTERCARE PROGRAM";60;"5 years 2 months";"14 years";"20210525";"Hawaii";"Kealakekua"
"BAS";"WAIALAE ELEMENTARY PUBLIC CHARTER SCHOOL";;"1045 19TH AVENUE";;"HONOLULU";"HI";"96816";;"1045 19TH AVENUE";;"HONOLULU";"HI";"96816";"MICHAEL KANEMOTO";"808-735-6248";"17382";"WAIALAE ELEMENTARY PCS ASC PROGRAM";350;"5 years";"12 years";"20210131";"Oahu";"Waialae"
"BAS";"MAKUA LANI CHRISTIAN ACADEMY";"MAKUA LANI ACADEMY";"LOWER CAMPUS";"74-4907 PALANI ROAD";"KAILUA-KONA";"HI";"96740";"MAKUA LANI ACADEMY";"74-4966 KEALAKA'A ST.";;"KAILUA-KONA";"HI";"96740";"NANCY BEGLEY";"808-329-3093";"17232";"MAKUA LANI CHRISTIAN ACADEMY AFTER SCHOOL PROGRAM";39;"4 years 8 months";"14 years";"20201210";"Hawaii";"Kailua-Kona"
"BAS";"EAST POND ADVENTURES LLC";"FOUR SEASONS AT HUALALAI";"72100 KAUPULEHU DRIVE";;"KAILUA-KONA";"HI";"96740";"C/O PETE HANSEN";"PO BOX 384914";;"WAIKOLOA";"HI";"96738";"PETER HANSEN";"207-716-6862";"17849";;24;"8 years";"13 years";"20201219";"Hawaii";"Kailua-Kona"
"BAS";"HONPA HONGWANJI HILO BETSUIN";;"398 KILAUEA AVENUE";;"HILO";"HI";"96720";;"398 KILAUEA AVENUE";;"HILO";"HI";"96720";"MICHELLE KITAGAWA";"808-935-1857";"17572";"HILO HONGWANJI SUMMER PLAY AND LEARN";65;"5 years";"13 years";"20210531";"Hawaii";"Hilo"
"BAS";"AKAMAI KIDS CLUB, INC.";;"100 KULANIHAKOI STREET";;"KIHEI";"HI";"96753";;"1215 S. KIHEI ROAD";"O-528";"KIHEI";"HI";"96753";"KRISTEN SCHIFFMAN";"808-893-0303";"17853";"AKAMAI KIDS CLUB, INC.";20;"5 years";"13 years";"20210731";"Maui";"Kihei"
"BAS";"MARIA LANAKILA CHURCH";;"239 DICKENSON STREET";;"LAHAINA";"HI";"96761";;"239 DICKENSON STREET";;"LAHAINA";"HI";"96761";"TONATA LOLESIO";"808-661-4720";"17637";"SACRED HEARTS SCHOOL AFTERCARE PROGRAM";40;"5 years";"14 years";"20201031";"Maui";"Lahaina"
"BAS";"HAWAIIAN MISSION ELEMENTARY & INTERMEDIATE SCHOOL";;"1415 MAKIKI ST";;"HONOLULU";"HI";"96814";;"1415 MAKIKI ST";;"HONOLULU";"HI";"96814";"MICKI AKEO-NELSON";"808-949-2033";"13139";"HAWAIIAN MISSION ELEM & INTER SCHOOL BEFORE/AFTER SCH PROG";60;"4 years 8 months";"15 years";"20201231";"Oahu";"Ala Moana"
"BAS";"NA LIKO, LLC";;"801 W HIND DR";"B-10, C-12";"HONOLULU";"HI";"96821";;"715 UMI ST";"1H";"HONOLULU";"HI";"96819";;;"17739";"NA LIKO, LLC";60;"4 years 8 months";"12 years";"20201130";"Oahu";"Aina Haina"
"BAS";"LIHUE HONGWANJI";;"33560B KUHIO HWY";;"LIHUE";"HI";"96766";;"33560B KUHIO HWY";;"LIHUE";"HI";"96766";"SANDRA FUJIMOTO";"808-245-7857";"15577";"LIHUE HONGWANJI SUMMER PROGRAM";40;"5 years";"13 years";"20210615";"Kauai";"Lihu'e"
