ServiceType;ProviderName;Building;Street1;Street2;City;State;ZipCode;Building(Mailing);Street1(Mailing);Street2(Mailing);City(Mailing);State(Mailing);ZipCode(Mailing);ContactPerson;Phone;LicenseNo;LicenseName;Capacity;MinimumAge;MaximumAge;LicensePeriodStart;LicensePeriodEnd
BAS;E MAKA'ALA SCHOOL;;440 W. LANIKAULA STREET;;HILO;HI;96720;;440 W. LANIKAULA STREET;;HILO;HI;96720;LYNDELL LINDSEY;808-961-3633;15111;E MAKA'ALA AFTERSCHOOL PROGRAM;24;4 years 8 months;10 years;06/05/2017;06/04/2019
BAS;FOUNDATIONS FOR FAMILIES;;98-450 HOOKANIKE ST;;PEARL CITY;HI;96782;;PO BOX 1554;;AIEA;HI;96701;JODIE MATSUDA;808-216-1308;15280;EARLY MORNING CARE - WAIAU ;40;4 years 8 months;13 years;01/01/2017;12/31/2018
BAS;FOUNDATIONS FOR FAMILIES;;98-825 MOANALUA RD;;AIEA;HI;96701;;P.O. BOX 1554;;AIEA;HI;96701;JODIE M MATSUDA;808-216-1308;14666;EARLY MORNING CARE - WAIMALU ;40;4 years 8 months;13 years;01/01/2017;12/31/2018
BAS;FOUNDATIONS FOR FAMILIES;;98-940 MOANALUA RD;;AIEA;HI;96701;;P.O. BOX 1554;;AIEA;HI;96701;JODIE MATSUDA;808-216-1308;14667;EARLY MORNING CARE - PEARL RIDGE ;60;4 years 8 months;13 years;01/01/2017;12/31/2018
BAS;HAILI CHRISTIAN SCHOOL;;190 ULULANI STREET;;HILO;HI;96720;;190 ULULANI STREET;;HILO;HI;96720;CHARLENE KAMAU;808-961-5026;14753;HAILI CHRISTIAN AFTERSCHOOL AND ;60;4 years 8 months;13 years;08/18/2017;08/17/2018
BAS;HAWAII PREPARATORY ACADEMY;HPA LOWER CAMPUS;651274 KAWAIHAE ROAD;;KAMUELA;HI;96743;;651692 KOHALA MOUNTAIN RD;;KAMUELA;HI;96743;DEE WALKER;808-885-2545;14742;HAWAII PREPARATORY ACADEMY AFTER ;40;5 years;13 years;10/30/2017;10/29/2019
BAS;MAPS ORCHID HOTELL LLC;MAPS ORCHID HOTEL, HAWAII;ONE NORTH KANIKU DRIVE;;KAMUELA;HI;96743;MAPS ORCHID HOTEL, HAWAII;ONE NORTH KANIKU DRIVE;;KAMUELA;HI;96743;ONA HINDS;808-887-7432;14739;KEIKI ALOHA ADVENTURE;15;5 years;13 years;06/21/2018;06/20/2020
BAS;KANEOHE CHURCH OF THE NAZARENE;;45-232 PUAAE RD;;KANEOHE;HI;96744;;P O BOX  1633;;KANEOHE;HI;96744;KAY HISHINUMA;808-235-8787;14222;WINDWARD NAZARENE ACADEMY ;100;5 years;15 years;10/01/2017;09/30/2019
BAS;KALIHI UNION CHURCH;KALIHI UNION CHURCH;2214 NORTH KING ST;;HONOLULU;HI;96819;;2214 NORTH KING ST;;HONOLULU;HI;96819;CATHERINE KAWAMURA;808-392-6718;13217;KALIHI UNION CHURCH CHILDREN'S ;110;5 years;13 years;12/01/2017;11/30/2019
BAS;FOH HOSPITALITY LLC;;6 KAI ALA DRIVE;;LAHAINA;HI;96761;;6 KAI ALA DRIVE;;LAHAINA;HI;96761;MELISSA NAEOLE;808-667-3473;15260;WESTIN KAANAPALI OCEAN RESORT ;49;5 years;13 years;04/01/2017;03/31/2019
BAS;HOLY NATIVITY SCHOOL;;5286 KALANIANAOLE HWY;;HONOLULU;HI;96821;;5286 KALANIANAOLE HWY;;HONOLULU;HI;96821;TIM SPURRIER;808-373-3232;15722;HOLY NATIVITY SCHOOL BEFORE AND ;41;4 years 8 months;13 years;02/01/2017;01/31/2019
BAS;HUALALAI INVESTORS, LLC;FOUR SEASONS RESORT;HUALALAI;72100 KAUPULEHU DRIVE;KAILUA-KONA;HI;96740;FOUR SEASONS RESORT;HUALALAI;PO BOX 1269;KAILUA-KONA;HI;96745;ROBYN SCOTT;808-325-8224;15716;KIDS FOR ALL SEASONS;34;5 years;13 years;06/22/2017;06/21/2019
BAS;PEARL HARBOR CHRISTIAN ACADEMY;;94-1044 WAIPIO UKA ST;;WAIPAHU;HI;96797;;94-1044 WAIPIO UKA ST;;WAIPAHU;HI;96797;CAROLINA WILLIAMS;808-678-3997;15995;PEARL HARBOR CHRISTIAN ACADEMY ;48;5 years;14 years;09/04/2016;09/03/2018
BAS;KIDZ KARE ENTERPRISES;;1090 WAIMANO HOME RD;;PEARL CITY;HI;96782;;94-432 PAWA WAY;;MILILANI TOWN;HI;96789;MERLE MORIKAWA;808-453-6450;14789;KIDZ KARE - PEARL CITY ELEMENTARY ;300;5 years;12 years;01/01/2018;12/31/2019
BAS;MONTESSORI COMMUNITY SCHOOL;;1239 NEHOA ST;;HONOLULU;HI;96822;;1239 NEHOA ST;;HONOLULU;HI;96822;KATHY SHIRAKAWA;808-522-0244;13376;MONTESSORI COMMUNITY SCHOOL ;80;5 years 6 months;13 years;05/03/2018;05/02/2020
BAS;ST ANTHONY'S CHURCH;;1627 A MILL ST;;WAILUKU;HI;96793;;1627 A MILL ST;;WAILUKU;HI;96793;RANA BOONE, PRINCIPAL;808-244-4976;14537;ST ANTHONY SCHOOL AFTER SCHOOL ;60;5 years;13 years;02/01/2017;01/31/2019
BAS;KINOOLE BAPTIST CHURCH ASP;;1815 KINOOLE STREET;;HILO;HI;96720;;1815 KINOOLE STREET;;HILO;HI;96720;DENISE DRAKE;808-959-8012;14754;KINOOLE BAPTIST ENRICHMENT ;60;4 years 8 months;14 years;07/01/2017;06/30/2019
BAS;WAILUKU HONGWANJI MISSION;;1828 VINEYARD ST;;WAILUKU;HI;96793;;1828 VINEYARD ST;;WAILUKU;HI;96793;TANYA ITO-SHIMA;808-244-9252;15392;WAILUKU HONGWANJI MISSION SUMMER ;120;5 years;13 years;07/01/2017;06/30/2019
BAS;KIDZ KARE ENTERPRISES;;1419 WAIMANO HOME RD;;PEARL CITY;HI;96782;;94-432 PAWA WAY;;MILILANI TOWN;HI;96789;MERLE MORIKAWA;808-453-6470EXT. 232;15464;KIDZ KARE - PEARL CITY HIGHLANDS ;60;4 years 8 months;12 years;07/28/2016;07/27/2018
BAS;MID-PACIFIC INSTITUTE;;2445 KAALA ST;;HONOLULU;HI;96822;;2445 KAALA ST;;HONOLULU;HI;96822;EDNA HUSSEY;808-441-3800;15477;MIDPACIFIC INSTITUTE ELEMENTARY ;100;4 years 8 months;12 years;12/01/2017;11/30/2019
BAS;ISLAND SCHOOL NA PUA KEIKI;;31875 KAUMUALII HWY;;LIHUE;HI;96766;;31875 KAUMUALII HWY;;LIHUE;HI;96766;KATIE MAGOUN;808-246-0233;15565;ISLAND SCHOOL DO DROP INN;24;4 years 8 months;12 years;01/31/2017;01/30/2019
BAS;HYATT CORPORATION;;200 NOHEA KAI DRIVE;;LAHAINA;HI;96761;;200 NOHEA KAI DRIVE;;LAHAINA;HI;96761;"NATHAN ""LANCE"" NANOD";808-661-1234;16630;CAMP HYATT;20;5 years;13 years;02/01/2018;01/31/2020
BAS;HONPA HONGWANJI HAWAII BETSUIN;;1728 PALI HWY;;HONOLULU;HI;96813;;1728 PALI HWY;;HONOLULU;HI;96813;THEODORA YAGI;808-532-0522;15606;HONGWANJI MISSION SCHOOL BEFORE ;300;4 years 8 months;13 years;06/06/2017;06/05/2019
BAS;SOTO ACADEMY;;1708 NUUANU AVENUE;101 ,103, 104,;HONOLULU;HI;96817;;1708 NUUANU AVE;;HONOLULU;HI;96817;ROSE ANN NAKAMOTO;808-533-0452;15134;SOTO ACADEMY BEFORE SCHOOL CARE ;100;4 years 8 months;13 years;03/01/2017;02/28/2019
BAS;ST JOHN VIANNEY SCHOOL;;940 KEOLU DR;;KAILUA;HI;96734;;940 KEOLU DR;;KAILUA;HI;96734;CARYN DEMELLO;808-261-4651;13584;ST JOHN VIANNEY SCHOOL BEFORE AND ;75;4 years 8 months;15 years;11/28/2016;11/27/2018
BAS;THE LEARNING CASA LLC;;3155 MANOA RD;30;HONOLULU;HI;96822;;PO BOX 62233;;HONOLULU;HI;96839;CHRISTINE TANIMOTO;808-781-7468;16697;THE LEARNING CASA LLC MANOA ;40;4 years 8 months;12 years;10/01/2016;03/31/2019
BAS;WESTIN MAUI CORPORATION;;2365 KAANAPALI PARKWAY;;LAHAINA;HI;96761;;2365 KAANAPALI PARKWAY;;LAHAINA;HI;96761;JOE STOHLMANN;808-667-2525EXT2470;16657;WESTIN FAMILY KIDS CLUB;30;5 years;13 years;08/01/2017;07/31/2019
BAS;FAIRMONT HOTELS & RESORTS;;4100 WAILEA ALANUI DR;WAILEA;KIHEI;HI;96753;;4100 WAILEA ALANUI DR;WAILEA;KIHEI;HI;96753;BONNEY ESBENSEN;808-875-4100;16429;FAIRMONT KEA LANI MAUI KEIKI LANI;33;5 years;13 years;03/01/2017;02/28/2019
BAS;DORIS TODD CHRISTIAN ACADEMY;;519 BALDWIN AVENUE;;PAIA;HI;96779;;519 BALDWIN AVENUE;;PAIA;HI;96779;CAROLYN MOORE;808-579-9237;16056;DORIS TODD CHRISTIAN ACADEMY;40;5 years;15 years;12/01/2017;11/30/2019
BAS;MOILIILI COMMUNITY CENTER;;2535 S KING ST;;HONOLULU;HI;96826;;2535 S KING ST;;HONOLULU;HI;96826;BRENDA NAKAMURA;808-955-1555;13368;MOILIILI COMMUNITY CENTER;140;4 years 7 months;14 years;06/01/2018;05/31/2020
BAS;NEW HOPE LEEWARD;;480 KAMOKILA BLVD;;KAPOLEI;HI;96707;;94-050 FARRINGTON HWY;C-2;WAIPAHU;HI;96797;KAREN MALUO;808-678-3776;17086;NEW HOPE CHRISTIAN SCHOOL BEFORE & ;125;5 years;13 years;08/01/2017;07/31/2019
BAS;DISNEY VACATION CLUB HAWAII MANAGEMENT COMPANY, LLC;;92-1185  ALIINUI DR;;KAPOLEI;HI;96707;ATTN: OLIVIA HO;92-1185  ALIINUI DR;;KAPOLEI;HI;96707;OLIVIA HO;808-674-6944;16915;DISNEY'S AUNTY'S BEACH HOUSE BEFORE ;90;6 years;13 years;08/18/2017;08/17/2018
BAS;HALEAKALA WALDORF SCHOOL;;4160 LOWER KULA ROAD;;KULA;HI;96790;;4160 LOWER KULA ROAD;;KULA;HI;96790;PAUL LEVINSON;808-878-2511;16871;HALEAKALA WALDORF AFTER SCHOOL ;40;5 years;14 years;05/01/2017;04/30/2019
BAS;WAILEA BEACH RESORT;;3700 WAILEA ALANUI DRIVE;WAILEA;KIHEI;HI;96753;;3700 WAILEA ALANUI DRIVE;WAILEA;KIHEI;HI;96753;EDWARD TOMLIN;808-874-7801;17566;WAILEA BEACH RESORT KOLOHE HUT;35;5 years;13 years;05/01/2018;04/30/2019
BAS;HYATT CORPORATION;;3550 WAILEA ALANUI DRIVE;WAILEA;KIHEI;HI;96753;;3550 WAILEA ALANUI DRIVE;WAILEA;KIHEI;HI;96753;ALLISON YULO;808-879-1234EXT. 4835;17407;HUB 808 AT ANDAZ MAUI AT WAILEA;27;5 years;13 years;09/01/2017;08/31/2018
BAS;FOH HOSPITALITY LLC;;45 KAI MALINA PARKWAY;WESTIN NANEA OCEAN VILLAS;LAHAINA;HI;96761;;45 KAI MALINA PARKWAY;WESTIN NANEA OCEAN VILLAS;LAHAINA;HI;96761;BRYAN LARSON;808-662-3300;17591;WESTIN NANEA FAMILY KIDS CLUB;44;5 years;13 years;07/01/2018;02/28/2019
BAS;MONTESSORI SCHOOL OF MAUI INC;;2933 BALDWIN AVE;;MAKAWAO;HI;96768;;2933 BALDWIN AVE;;MAKAWAO;HI;96768;ERIC DUSTMAN;808-573-0374;14447;MONTESSORI SCHOOL OF MAUI BEFORE ;60;5 years;14 years;02/01/2018;11/30/2018
BAS;ST ANNS CHURCH;;46-125 HAIKU RD;;KANEOHE;HI;96744;;46-125 HAIKU RD;;KANEOHE;HI;96744;MANDY THRONAS-BROWN;808-247-3092;16705;ST ANNS SCHOOL EXTENDED DAY ;120;5 years 6 months;15 years;10/01/2017;09/30/2019
BAS;LANAI RESORTS, LLC DBA PULAMA LANAI;;1 MANELE BAY ROAD;;LANAI CITY;HI;96763;;PO BOX 631380;;LANAI CITY;HI;96763;PAMELA HABAN;808-565-2398;17443;FOUR SEASONS RESORT LANAI KIDS FOR ;49;5 years;13 years;10/01/2017;10/31/2018
BAS;RITZ CARLTON HOTEL;;ONE RITZ CARLTON DRIVE;;LAHAINA;HI;96761;;ONE RITZ CARLTON DRIVE;;LAHAINA;HI;96761;CATHERINE RAPANOTTI;808-665-7292;17445;AMBASSADORS OF THE ENVIRONMENT;42;5 years;15 years;03/01/2018;02/28/2020
BAS;HONPA HONGWANJI HILO BETSUIN;;398 KILAUEA AVENUE;;HILO;HI;96720;;398 KILAUEA AVENUE;;HILO;HI;96720;MICHELLE KITAGAWA;808-935-1857;17572;HILO HONGWANJI SUMMER PLAY AND ;65;5 years;13 years;06/01/2018;05/31/2019
BAS;FOUR SEASONS KIDS FOR ALL SEASONS;;3900 WAILEA ALANUI DR;;KIHEI;HI;96753;;3900 WAILEA ALANUI DR;;KIHEI;HI;96753;BETH REGER;808-874-8000X2622;17475;FOUR SEASONS RESORT KIDS FOR ALL ;40;5 years;13 years;08/01/2017;07/31/2019
BAS;FOUR SEASONS CAMP KOHOLA AT THE HIDEAWAY;;92-1001 OLANI ST;;KAPOLEI;HI;96707;;92-1001 OLANI ST;;KAPOLEI;HI;96707;OWEITA GUNDAKER;808-679-3225;17471;CAMP KOHOLA AT THE HIDEAWAY;25;5 years;12 years;09/08/2017;09/07/2018
BAS;MAUNA KEA RESORT, LLC;;62-100 MAUNA KEA BEACH DR;;KAMUELA;HI;96743;;62-100 MAUNA KEA BEACH DR;;KAMUELA;HI;96743;GRAYDEN HAIKELLY;808-882-5774;17478;MAUNA KEA KEIKI CLUB;46;5 years;13 years;12/01/2017;11/30/2018
BAS;ST JOSEPH SCHOOL;;999 ULULANI STREET;;HILO;HI;96720;;1000 ULULANI STREET;;HILO;HI;96720;THERESA REVELL;808-935-4935;17178;ST. JOSEPH SCHOOL-AFTER SCHOOL ;49;4 years 8 months;13 years;01/28/2018;01/27/2020
BAS;SEEQS;;2705 KAIMUKI AVENUE;;HONOLULU;HI;96816;;2705 KAIMUKI AVENUE;;HONOLULU;HI;96816;BUFFY CUSHMAN PATZ;808-677-3377;17391;SEEQS BEFORE & AFTER SCHOOL ;49;7 years;14 years;10/07/2016;10/06/2017
BAS;KA WAIHONA O KA NA' AUAO;;89-195 FARRINGTON HWY;;WAIANAE;HI;96792;;89-195 FARRINGTON HWY;;WAIANAE;HI;96792;ALVIN N. PARKER;808-620-9030;17347;KA WAIHONA O KA NA'AUAO PUBLIC ;80;4 years 8 months;15 years;07/29/2017;07/28/2018
BAS;KAWAIKINI CHARTER SCHOOL;;31821 J KAUMUALII HWY;;LIHUE;HI;96766;;31821 J KAUMUALII HWY;;LIHUE;HI;96766;TERRI RUSSELL;808-346-8813;17355;KAWAIKINI NEW CENTURY PUBLIC ;80;5 years;17 years;02/01/2018;11/17/2018
BAS;INNOVATIONS PUBLIC CHARTER SCHOOL;;755815 QUEEN KAAHUMANU HW;;KAILUA-KONA;HI;96740;;755815 QUEEN KAAHUMANU HW;;KAILUA-KONA;HI;96740;"LEE ""JULIE"" NELSON";808-331-3130;17356;INNOVATIONS PUBLIC CHARTER SCHOOL ;60;5 years;13 years;06/30/2018;06/29/2019
BAS;KONA PACIFIC CHARTER SCHOOL;;79-7595 MAMALAHOA HIGHWAY;;KEALAKEKUA;HI;96750;;PO BOX 115;;KEALAKEKUA;HI;96750;MARIAH MANN;808-322-4900;17362;KONA PACIFIC CHARTER AFTERCARE ;60;5 years 2 months;14 years;05/26/2018;05/25/2019
BAS;WAIALAE ELEMENTARY PUBLIC CHARTER SCHOOL;;1045 19TH AVENUE;;HONOLULU;HI;96816;;1045 19TH AVENUE;;HONOLULU;HI;96816;MICHAEL KANEMOTO;808-735-6248;17382;WAIALAE ELEMENTARY PUBLIC CHARTER ;350;5 years;12 years;05/04/2018;05/03/2019
BAS;MAKUA LANI CHRISTIAN ACADEMY;MAKUA LANI ACADEMY;LOWER CAMPUS;74-4907 PALANI ROAD;KAILUA-KONA;HI;96740;MAKUA LANI ACADEMY;PO BOX 1179;;KAILUA-KONA;HI;96745;NANCY BEGLEY;808-329-3093;17232;MAKUA LANI CHRISTIAN ACADEMY ;39;4 years 8 months;14 years;06/11/2018;06/10/2020
