"Facility";"Telephone";"ID";"Status";"Official";"Daytime Hours";"Nighttime Hours";"Daytime Ages";"Nighttime Ages";"Mailing Address";"Address";"City";"State";"Zip";"Licensee";"Mailing Address State";"Mailing Address City";"Mailing Address Zip";"DetailsURL";"Type of Care";"Star Rating";"Rating Expiration";"Accr Code";"Accreditations";"Accr Exp Date";"County"
"3 CIRCLE CHURCH NORTH CAMPUS";"(251)510-0642";1858;"Exempt";"JACKIE ROBERSON - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"10080 COUNTY ROAD 64";"10080 COUNTY ROAD 64";"DAPHNE";"AL";36526;"3 CIRCLE CHURCH NORTH CAMPUS";"AL";"DAPHNE";36526;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1858";"Day Care Centers";;;;;;"Baldwin"
"A.U.C. RESOURCE CTR DC,AFTERSCHOOL ,S C";"(251)626-6056";1322;"Licensed";"MELISSA LANGFORD - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 14 YRS";"N/A";"P O BOX 1211";"8355 JONESBORO RD";"DAPHNE";"AL";36526;"AFRICAN UNIVERSAL CHURCH";"AL";"DAPHNE";36526;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1322";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Baldwin"
"ABIDING LOVE CHURCH";"(251)510-3974";1882;"Exempt";"RAMONA BABBS - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"1030 STANTON ROAD";"1030 STANTON ROAD";"DAPHNE";"AL";36526;"ABIDING LOVE CHURCH";"AL";"DAPHNE";36526;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1882";"Day Care Centers";;;;;;"Baldwin"
"ASCENSION LUTHERAN CHURCH";"(251)348-7510";1877;"Exempt";"AMANDA WADE - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"8888 COUNTY ROAD 64";"8888 COUNTY ROAD 64";"DAPHNE";"AL";36526;"ASCENSION LUTHERAN CHURCH";"AL";"DAPHNE";36526;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1877";"Day Care Centers";;;;;;"Baldwin"
"BAYSIDE ACADEMY, INC";"(251)338-6300";1082;"Licensed";"MARILEE PROPST - Director";"07:45 AM - 05:00 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"303 DRYER AVE";"303 DRYER AVE";"DAPHNE";"AL";36526;"BAYSIDE ACADEMY, INC";"AL";"DAPHNE";36526;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1082";"Day Care Centers";;;;;;"Baldwin"
"BIG BLUE MARBLE-DAPHNE";"(334)740-3504";263;"Licensed";"KATIE REPPERT - Director";"06:30 AM - 06:00 PM";"N/A - N/A";"0 DYS Through 12 YRS";"N/A";"145 EAST MAGNOLIA AVENUE SUITE 208";"29669 RENAISSANCE BLVD.";"DAPHNE";"AL";36526;"BIG BLUE MARBLE ACADEMY, LLC";"AL";"AUBURN";36832;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=263";"Day Care Centers";;;;;;"Baldwin"
"CELEBRATION CHURCH";"(251)752-4897";1884;"Exempt";"LISA LEDET - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"P.O. BOX 6";"8180 DYER ROAD";"FAIRHOPE";"AL";36532;"CELEBRATION CHURCH";"AL";"FAIRHOPE";36533;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1884";"Day Care Centers";;;;;;"Baldwin"
"CENTRAL COMMUNITY CHURCH";"(251)609-0132";1871;"Exempt";"KIM LENTZ - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"17395 HIGHWAY 104 WEST";"17395 HIGHWAY 104 WEST";"ROBERTSDALE";"AL";36567;"CENTRAL COMMUNITY CHURCH";"AL";"ROBERTSDALE";36567;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1871";"Day Care Centers";;;;;;"Baldwin"
"CHILDREN'S LEARNING CENTER, INC.";"(251)947-4407";85;"Licensed";"JANEL BOZEMAN - Director";"06:30 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"22305 PALMER STREET";"22305 PALMER STREET";"ROBERTSDALE";"AL";36567;"CHILDREN'S LEARNING CENTER, INC.";"AL";"ROBERTSDALE";36567;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=85";"Day Care Centers";;;;;;"Baldwin"
"CHRIST THE KING CATHOLIC SCHOOL";"(251)626-1692";1852;"Exempt";"TERRI NAPOLITANO - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"P O DRAWER 1890";"1503 MAIN STREET";"DAPHNE";"AL";36526;"CHRIST THE KING CATHOLIC SCHOOL";"AL";"DAPHNE";36526;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1852";"Day Care Centers";;;;;;"Baldwin"
"CHRISTIAN ACADEMY OF SOUTH ALABAMA";"(251)937-8835";1885;"Exempt";"KORTNI GILL - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"700 D'OLIVE STREET";"700 D'OLIVE STREET";"BAY MINETTE";"AL";36507;"CHRISTIAN ACADEMY OF SOUTH ALABAMA";"AL";"BAY MINETTE";36507;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1885";"Day Care Centers";;;;;;"Baldwin"
"COASTAL CHURCH";"(251)621-9555";1881;"Exempt";"MARGARET PENTON - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"11101 COUNTY ROAD 64";"11101 COUNTY ROAD 64";"DAPHNE";"AL";36526;"COASTAL CHURCH";"AL";"DAPHNE";36526;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1881";"Day Care Centers";;;;;;"Baldwin"
"COASTAL KIDS CARE";"(251)986-4490";1635;"Licensed";"CHELSEA CALVERT - Director";"07:00 AM - 05:30 PM";"N/A - N/A";"6 WKS Through 5 YRS";"N/A";"27322 HIGHWAY 98";"27322 HIGHWAY 98";"ELBERTA";"AL";36530;"COASTAL KIDS CARE, LLC.";"AL";"ELBERTA";36530;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1635";"Day Care Centers";;;;;;"Baldwin"
"COLOR US KIDS LEARNING CENTER OF AL, INC";"(251)625-6933";52;"Licensed";"ROBIN BRUMFIELD - Director";"06:30 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"26000 NELSON ST";"26000 NELSON ST";"DAPHNE";"AL";36526;"COLOR US KIDS LEARNING CENTER OF AL, INC";"AL";"DAPHNE";36526;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=52";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 06:00 PM";;;;"Baldwin"
"COX DAY CARE CENTER";"(251)937-2745";1240;"Licensed";"CLARA COX - Director";"06:00 AM - 05:00 PM";"N/A - N/A";"3 MOS Through 12 YRS";"N/A";"301 RAIN DRIVE";"301 RAIN DRIVE";"BAY MINETTE";"AL";36507;"CLARA COX";"AL";"BAY MINETTE";36507;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1240";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 05:00 PM";;;;"Baldwin"
"CRADLE 2 CRAYONS, INC.";"(251)943-4599";87;"Licensed";"RENEE BLACK - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 18 YRS";"N/A";"507 WEST ROSE AVENUE";"507 WEST ROSE AVENUE";"FOLEY";"AL";36535;"CRADLE 2 CRAYONS, INC.";"AL";"FOLEY";36535;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=87";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Baldwin"
"DELIVERANCE MIN. CHILDCARE & LEARN. CTR.";"(251)937-9964";1306;"Licensed";"DERRICA BISHOP - Director";"06:30 AM - 04:30 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"45299 EASLEY LANE";"45299 EASLEY LANE";"BAY MINETTE";"AL";36507;"DELIVERANCE MINISTRY OF JESUS CHRIST";"AL";"BAY MINETTE";36507;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1306";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 04:30 PM";;;;"Baldwin"
"DISCOVERY ISLAND CHILD DEV CENTER";"(251)974-5488";1367;"Licensed";"MELISSA MOODY - Director";"07:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 14 YRS";"N/A";"24843 COMMERCIAL AVENUE";"24843 COMMERCIAL AVENUE";"ORANGE BEACH";"AL";36561;"DISCOVERY ISLAND, INC";"AL";"ORANGE BEACH";36561;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1367";"Day Care Centers";;;;;;"Baldwin"
"EARLY CHURCH UNITY REVIVAL";"(334)429-0610";1886;"Exempt";"MELISSA GOMILLION - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"18623 E. SILVERHILL AVE.";"18623 E. SILVERHILL AVE.";"ROBERTSDALE";"AL";36567;"EARLY CHURCH UNITY REVIVAL";"AL";"ROBERTSDALE";36567;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1886";"Day Care Centers";;;;;;"Baldwin"
"EASTERN SHORE ACADEMY OF EXCELLENCE";"(251)928-1854";494;"Licensed";"JAMIE SNOWDEN - Director";"06:30 AM - 07:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"7231 CYPRESS AVE.";"23946 B US HWY 98";"FAIRHOPE";"AL";36532;"JAMIE SNOWDEN";"AL";"DAPHNE";36526;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=494";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 07:00 PM";;;;"Baldwin"
"EASTERN SHORE BAPTIST CHURCH";"(251)626-7627";1853;"Exempt";"LINDA CARLSON - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"P O BOX 128";"6847 PARK DRIVE";"DAPHNE";"AL";36526;"EASTERN SHORE BAPTIST CHURCH";"AL";"DAPHNE";36526;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1853";"Day Care Centers";;;;;;"Baldwin"
"EASTERN SHORE EARLY CHILDHOOD CENTER";"(251)928-3449";1147;"Licensed";"IDA PHILLIPS - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"18 MOS Through 14 YRS";"N/A";"1090 FAIRHOPE AVENUE";"1090 FAIRHOPE AVENUE";"FAIRHOPE";"AL";36532;"EASTERN SHORE EARLY CHILDHOOD CENTER";"AL";"FAIRHOPE";36532;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1147";"Day Care Centers";;;;;;"Baldwin"
"EASTERN SHORE JUBILEE MINISTRIES CHURCH";"(251)625-4042";1866;"Exempt";"STEPHANIE WILSON - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"9543 STAGECOACH COMMERCIAL PARK CIRCLE";"9543 STAGECOACH COMMERCIAL PARK CIRCLE";"SPANISH FORT";"AL";36527;"EASTERN SHORE JUBILEE MINISTRIES CHURCH";"AL";"SPANISH FORT";36527;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1866";"Day Care Centers";;;;;;"Baldwin"
"EASTERN SHORE KIDS KASTLE, INC.";"(251)990-5350";1373;"Licensed";"YVETTE HELMS - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 15 YRS";"N/A";"10291 B, COUNTY ROAD 48";"10291-B, COUNTY ROAD 48";"FAIRHOPE";"AL";36532;"EASTERN SHORE KIDS KASTLE, INC.";"AL";"FAIRHOPE";36532;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1373";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Baldwin"
"ECMHSP/LOXLEY AL CENTER";"(251)960-1060";898;"Licensed";"LAURA CONWAY - Director";"05:30 AM - 06:00 PM";"N/A - N/A";"0 WKS Through 5 YRS";"N/A";"16742 COUNTY ROAD 68";"16742 COUNTY ROAD 68";"LOXLEY";"AL";36551;"EAST COAST MIGRANT HEAD START PROJECT";"AL";"LOXLEY";36551;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=898";"Day Care Centers";;;;;;"Baldwin"
"FAIRHOPE PT CLR ROT YOU CLB PK & AFT SCH";"(251)928-9148";193;"Licensed";"ED HAMMELE - Director";"07:00 AM - 06:00 PM";"N/A - N/A";"4 YRS Through 18 YRS";"N/A";"PO BOX 2230";"19128 YOUNG STREET";"FAIRHOPE";"AL";36532;"FAIRHOPE POINT CLEAR ROT YOUTH PROG, INC";"AL";"FAIRHOPE";36533;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=193";"Day Care Centers";1;"Daytime Hours: 07:00 AM - 06:00 PM";;;;"Baldwin"
"FAITH FAMILY FELLOWSHIP CHURCH";"(251)295-0731";1855;"Exempt";"NINFA MOORE - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"P.O. BOX 7547";"7100 SPANISH FORT BLVD.";"SPANISH FORT";"AL";36527;"FAITH FAMILY FELLOWSHIP CHURCH";"AL";"SPANISH FORT";36577;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1855";"Day Care Centers";;;;;;"Baldwin"
"FAITH TABERNACLE UPC";"(251)597-0546";1867;"Exempt";"ANDREA OVERSTREET - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"18109 US HIGHWAY 98";"18109 US HIGHWAY 98";"FOLEY";"AL";36535;"FAITH TABERNACLE UPC";"AL";"FOLEY";36535;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1867";"Day Care Centers";;;;;;"Baldwin"
