"id";"name";"address";"city";"state";"zip";"county";"phone";"location website";"email";"details";"main url";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour"
1170951;"DARKAYNU - TUCSON JEWISH MONTESSORI";"5150 EAST 5TH STREET";"TUCSON";"AZ";85711;"PIMA";"(520)747-7780";"https://www.tjmontessori.org/";"admin@tjmontessori.org";"Our focus is honoring the path of every child, with practical life skills and Jewish learning integrated into the Montessori system. King Solomon advises us in Proverbs 22:6 to “educate the child in the course of his path; even when he will be old he will not depart from it.” King Solomon’s direction is exemplified in the Montessori method of guiding each child individually. This is an important part of our objective to combine the best of Montessori with the values of our Jewish heritage for both general and Judaic subjects.";"https://www.tjmontessori.org/";"https://www.facebook.com/tjmontessori/";;"https://www.tjmontessori.org/contact";"https://www.tjmontessori.org/contact";;"x";"x";"x";;;"https://static.wixstatic.com/media/139ce9_f3ea4c4fbe8e4010a328d9093e56190c~mv2.png/v1/crop/x_0,y_1,w_961,h_961/fill/w_212,h_210,al_c,usm_1.20_1.00_0.01/139ce9_f3ea4c4fbe8e4010a328d9093e56190c~mv2.png";"9AM – 4PM";"9AM – 4PM";"9AM – 4PM";"9AM – 4PM";"9AM – 1:30PM";"Closed";"Closed"
1170952;"DISCOVERY LEARNING CENTER AND CHILD CARE";"1895 LAKESIDE DRIVE";"BULLHEAD CITY";"AZ";86442;"MOHAVE";"(928)763-3290";;;"Discovery Learning Center and Child Care is now taking new child enrollments with no registration fees. We are open 24/7 and accept children from from the age of 1 year old up to 12 years old. We offer a pre-school program and include breakfast, lunch, snack and dinner at no extra cost. We provide a safe and fun learning environment that your child will enjoy. Come on in and take a look for yourself, we will be more than happy to assist you! ";;"https://www.facebook.com/Discovery-Learning-Center-and-Child-Care-313571752320230/";;;;;"x";"x";"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-9/13921141_313572608986811_9196510611015372929_n.jpg?_nc_cat=0&oh=c02382f55c8e8e12906a25a97ac201f7&oe=5B95CCC2";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7"
1170953;"EARLY EDUCATION COOPERATIVE PRESCHOOL";"4027 EAST LINCOLN DRIVE";"PARADISE VALLEY";"AZ";85253;"MARICOPA";"(602)840-8400";"http://www.cooppreschool.org/";"eecdirector@gmail.com ";"Since 1961, the Early Education Cooperative Preschool (EECP) has provided a quality education program to Valley children and their families.";"http://www.cooppreschool.org/";;;"http://docs.wixstatic.com/ugd/e35390_c9b4ac6d98144fd995f1f08451e40fa4.pdf";"http://www.cooppreschool.org/";;;"x";"x";"x";;"https://static.wixstatic.com/media/093602_f4cb861ee4dc450dad7d05b8a33ff1a1~mv2.jpg/v1/fill/w_82,h_83,al_c,q_80,usm_0.66_1.00_0.01/093602_f4cb861ee4dc450dad7d05b8a33ff1a1~mv2.webp";"9AM – 5:30PM";"9AM – 5:30PM";"9AM – 5:30PM";"9AM – 5:30PM";"9AM – 5:30PM";"Closed";"Closed"
1170954;"FLAGSTAFF YMCA - WEITZEL'S PUENTE DE HOZHO BILINGUAL MAGNET SCHOOL";"3401 NORTH 4TH STREET";"FLAGSTAFF";"AZ";86004;"COCONINO";"(928)527-6108";"https://www.fusd1.org/";"flagpuentedehozho@gmail.com";"Puente de Hózhó (PdH) Elementary School is a trilingual language school located in Flagstaff, Arizona and is a part of the Flagstaff Unified School District. PdH is a ""dual-language school"" and is comprised of a Navajo Immersion Language Program and a Spanish-English Bilingual Program. We serve students from Kindergarten through 5th-grade, but a 6-12 International Baccalaureate Continuum is being established to compliment PdH's programming. Featured in the Harvard Education Review for ""best practices"" for culturally sustaining and revitalizing teaching, PdH holds a radical belief in the potential of children, culture, and language in a local, regional, national, and international context. Consequently, PdH is also proud to call itself an International Baccalaureate Candidate School in addition to our stated vision, mission, and goals";"https://www.fusd1.org/PDH";"https://www.facebook.com/puentedehozho/";;"https://www.fusd1.org/Page/13818";"https://www.fusd1.org/Page/13823";;;"x";"x";;;"https://www.fusd1.org/cms/lib/AZ01001113/Centricity/Template/GlobalAssets/images///Logos/10-17_PDH_Logo-WEB-01.png";"7:30AM – 2:20PM";"7:30AM – 2:20PM";"7:30AM – 2:20PM";"7:30AM – 2:20PM";"7:30AM – 2:20PM";"Closed";"Closed"
1170955;"FRANKLIN PHONETIC PRIMARY SCHOOL SUNNYSLOPE PRESCHOOL";"9317 NORTH 2ND STREET";"PHOENIX";"AZ";85020;"MARICOPA";"(602)870-6674";"http://franklinphoneticschoolsunnyslope.com/";"franklinphoneticschool@yahoo.com";"The founders of Franklin Phonetic Primary School have always believed that it is important to encourage and enable students to successfully use higher level thinking skills. Today’s knowledge is growing at an exponentially rapid rate. Unlike schools of the previous century, memorization of rote facts and figures will not be enough to gain academic success. Instead students must learn to collect, interpret, evaluate and understand information. They must be able to critically evaluate and intellectually process the high amounts of information and data that are presented to them on an ever continuing basis.";"http://franklinphoneticschoolsunnyslope.com/preschool";"https://www.facebook.com/Franklin-Phonetic-Primary-School-Sunnyslope-276619229188904/";"nilknarf@cableone.net";"http://franklinphoneticschoolsunnyslope.com/yahoo_site_admin/assets/docs/Pre-School_Enroll.131205704.pdf";"http://franklinphoneticschoolsunnyslope.com/about_us/parental_satisfaction";;;;"x";"x";;"http://franklinphoneticschoolsunnyslope.com/yahoo_site_admin/assets/images/newfriends.131194254.png";"7:30AM – 8:30PM";"7:30AM – 8:30PM";"7:30AM – 8:30PM";"7:30AM – 8:30PM";"7:30AM – 8:30PM";"Closed";"Closed"
1170956;"FUN PLACE CHILDCARE & PRESCHOOL";"2450 NORTH HUACHUCA DRIVE";"TUCSON";"AZ";85745;"PIMA";"(520)304-4116";"https://www.funplacechildcare.com/";"FunPlaceChildcare1@gmail.com";"Hi, my name is Ruth Saenz-Perez, more affectionately known as Mrs. Ruth by my kids, and I am the owner of Fun Place Childcare & Preschool. I'm really excited that you decided to visit my page! Choosing a daycare center for your littles can be both exciting and daunting. You want only the best for them, and so do I.  As a committed mother of 4, I am very family oriented and blessed to have their love and support.  Prior to expanding into the center I ran Fun Place from my home for 12 years, where my reputation grew along with my waiting list.  I was encouraged to get licensed and open a center by many, and prepared to do so once my youngest Daughter was of school age. I obtained an associates degree in business and my education in early childhood development is ongoing. After being at home for 12 years I was excited to get back to work and expanded Fun Place in November of 2016. Pictured above are myself and the 10 kids from my home daycare that joined me in opening the center.  So if you are looking for a safe, nurturing, positive and fun learning environment then look no further Fun Place has your back.  I look forward to meeting you!";"https://www.funplacechildcare.com/";"https://www.facebook.com/FunPlaceChildcare/";;"https://www.funplacechildcare.com/";"https://docs.wixstatic.com/ugd/6e0c30_37887ecbcb5f4c98a33da747f29f6962.pdf";"x";"x";"x";"x";"x";;"https://static.wixstatic.com/media/6e0c30_cefb324882f84d45ad1c53fc792ba64b~mv2.png/v1/fill/w_50,h_50,al_c,usm_0.66_1.00_0.01/6e0c30_cefb324882f84d45ad1c53fc792ba64b~mv2.png";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"Closed";"Closed"
1170957;"GATEWAY COMMUNITY COLLEGE CHILDREN'S LEARNING CENTER - MONTECITO";"715 EAST MONTECITO AVENUE";"PHOENIX";"AZ";85014;"MARICOPA";"(602)286-8130";"https://www.gatewaycc.edu/";"clc@gatewaycc.edu";"The Children's Learning Center is located on the north side of the Washington Campus and a new location on Montecito and 7th Street. Childcare services are available for students and employees. Flexible scheduling is offered by our trained, caring staff. To qualify, children must be ages 2 through 12, fully potty trained";"https://www.gatewaycc.edu/childcare";"https://www.facebook.com/gatewaycc";;"https://www.gatewaycc.edu/enrollment";"https://www.gatewaycc.edu/pay-for-college";;;"x";"x";;;"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==";"8AM – 6PM";"8AM – 6PM";"8AM – 6PM";"8AM – 6PM";"8AM – 2PM";"Closed";"Closed"
1170958;"GEORGE WASHINGTON CARVER CENTER";"304 WEST ALSDORF";"ELOY";"AZ";85131;"PINAL";"(602)307-5818";;;;;;;;;;;;;;;;;;;;;;
1170959;"GIGGLE AND GROW PRESCHOOL & CHILD CARE";"2323 EAST GUADALUPE ROAD #104";"GILBERT";"AZ";85234;"MARICOPA";"(480)633-5523";"http://www.giggleandgrow.net/";" info@giggleandgrow.net";"At Giggle and Grow, our mission is to make a positive difference in the life of every child by partnering with parents to provide an environment that is safe, nurturing, educational and individualized. With cameras in every classroom and a secure internet viewing service available to parents at all times, Giggle and Grow Child Care offers parents a sense of security unlike any other. This, in addition to dedicated, well-trained staff and a safe, stimulating environment, make Giggle and Grow Child Care the best choice for children and parents. At Giggle and Grow Child Care, we focus on the needs of very young children. We pride ourselves on being aware of the very latest in research and development in regards to early childhood education. We use this information to develop a preschool curriculum that is age appropriate in all classrooms.";"http://www.giggleandgrow.net/";"https://www.facebook.com/giggleandgrowchildcare/";;"http://www.giggleandgrow.net/about/enrollment.php";"http://www.giggleandgrow.net/pdf/ParentHandbook.pdf";"x";"x";"x";"x";;;"http://www.giggleandgrow.net/img/logo.png";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"Closed";"Closed"
1170960;"GREATER PHOENIX URBAN LEAGUE HEAD START - BRET TARVER";"3101 WEST MCDOWELL ROAD";"PHOENIX";"AZ";85009;"MARICOPA";"(602)442-2900";"https://www.isaacschools.org/";;"We believe that ALL children can learn.  We strive to meet the needs by providing a researched-based early childhood curriculum, promoting high standards and realistic expectations to ensure success for ALL children, and modeling positive learning attitudes and values.Collectively, students are encouraged to make choices, follow daily routines, interact appropriately with peers, and accept responsibility for their actions. In the final analysis, the effectiveness or our preschool is assessed on the basis of the continuous progress (social, emotional, cognitive, and physical development) of our children.We provide a warm, inviting climate that enables children and families to enjoy their school experiences where parents are fully engaged in the teaching and learning role.";"https://www.isaacschools.org/preschool";"https://www.facebook.com/Isaacschooldistrict";;;"https://www.isaacschools.org/domain/247";;;"x";"x";;;"https://www.isaacschools.org/cms/lib/AZ01801167/Centricity/Template/GlobalAssets/images///logos/Preschool%20Logo.jpg";"8:45AM - 3:30PM";"8:45AM - 3:30PM";"8:45AM - 3:30PM";"10AM-11AM";"8:45AM - 3:30PM";"Closed";"Closed"
1170961;"GREATER PHOENIX URBAN LEAGUE HEAD START-BYRON BARRY";"2533 NORTH 60TH AVENUE";"PHOENIX";"AZ";85007;"MARICOPA";"(602)276-9305";;"emendoza@gphxul.org";"The overall philosophy of the Greater Phoenix Urban League Head Start program is to provide a high quality, comprehensive program and services to children and their families in an effort to promote school readiness by enhancing cognitive, social, and emotional development. The program strives to empower families with support and resources to be the first teachers of their children and to enable them to meet their personal goals.";;"https://www.facebook.com/GPULheadstart/";;;;;;;;;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p200x200/13450108_962377353882192_3886056610858586122_n.jpg?_nc_cat=0&oh=06b05bc746227d4288e0a9c8ac0b3f56&oe=5B6B42A8";;;;;;;
1170962;"GREATER PHOENIX URBAN LEAGUE HEAD START-MOYA";"406 NORTH 41ST AVENUE";"PHOENIX";"AZ";85009;"MARICOPA";"(602)442-3100";;;;;;;;;;;;;;;;;;;;;;
1170963;"HAPPY KIDS CHILD CARE CENTER I I";"3523 NORTH 43RD AVENUE";"PHOENIX";"AZ";85031;"MARICOPA";"(602)559-4755";;;;;;;;;;;;;;;;;;;;;;
1170965;"JOYFUL NOISE LEARNING CENTER";"1805 EAST ELLIOTT ROAD, SUITE 110 & 111";"TEMPE";"AZ";85284;"MARICOPA";"(480)219-0966";;"contactus@joyfulnoiselc.com";"We're a loving and fun family oriented Center";;"https://www.facebook.com/allaboutthem1/";;;;"x";"x";"x";"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/c56.0.200.200/p200x200/10155000_1311438362205125_1458676789848588733_n.png?_nc_cat=0&oh=ed65091b4de8398ae48c1918e0860ee6&oe=5B53CBB6";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"Closed";"Closed"
1170966;"KCE CHAMPIONS, L.L.C.";"17667 NORTH 91ST AVENUE";"PEORIA";"AZ";85382;"MARICOPA";"(623)201-0433";"https://www.sonoranschools.org/";"tpayne-alex@klcorp.com";"Inside your child lives a scientist, an artist, a teacher, a physician, a CEO. That’s why we designed our curriculum to bring out the best in your children and help them develop stronger problem-solving, teamwork, leadership, and life skills. Our teachers inspire children to follow their curiosity across a breadth of subjects— creative arts, math and construction, library time, puzzles and games, and science—to foster mental, physical, social, and emotional growth";"https://www.sonoranschools.org/beforeandaftercarepeoria.aspx";;;"https://filecabinet5.eschoolview.com/F20152BC-01EC-4BA9-BA70-39B15DEC31DE/PeoriaChampions.pdf";"https://filecabinet5.eschoolview.com/F20152BC-01EC-4BA9-BA70-39B15DEC31DE/PeoriaChampions.pdf";;;;;"x";;"https://filecabinet5.eschoolview.com/F20152BC-01EC-4BA9-BA70-39B15DEC31DE/ChampionsLogo.png";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"Closed";"Closed"
1170967;"KCE CHAMPIONS, L.L.C. AT BELL CANYON";"18052 NORTH BLACK CANYON HIGHWAY";"PHOENIX";"AZ";85053;"MARICOPA";"(602)245-3304";"http://www.discoverchampions.com/";;"Champions has a great solution for busy working families: activities that combine fun and learning, together with the safety and convenience of a high-quality program right inside your school. Champions offers a variety of group and individual activities designed to keep your child exploring and growing. From art, dramatic play, math and science to problem-solving, language, motor skills and more, we help your child continue learning and developing essential life skills – whether school is in session or not.";"http://www.discoverchampions.com/our-locations/phoenix/az/001771?utm_campaign=Champions_Local&utm_source=L3M_Local&utm_medium=A&utm_content=001771&_google";"https://www.facebook.com/KCEChampions";"http://www.discoverchampions.com/about/careers";"https://connect.klcschoolpartnerships.com/";;;;"x";"x";"x";;"https://filecabinet5.eschoolview.com/F20152BC-01EC-4BA9-BA70-39B15DEC31DE/ChampionsLogo.png";;;;;;;
1170968;"KIDS FOREVER PRINCE CENTER";"216 EAST PRINCE ROAD";"TUCSON";"AZ";85705;"PIMA";"(520)888-1415";;;"Many experts agree that all children should have some sort of group experience before they enter kindergarten. Music and gymnastics classes are wonderful, but preschools excel at teaching kids to be students.";;"https://www.facebook.com/Kids-Forever-Prince-Learning-Center-1133045213411639/";;;;;;;;;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p200x200/15219559_1133051593411001_5090240682801731718_n.jpg?_nc_cat=0&oh=648f2154022738efb635343a4218e8d7&oe=5B5ED07E";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"6AM - 6PM";"Closed";"Closed"
1170969;"KIDS LEARNING CENTERS ALGODON, L.L.C.";"9150 WEST THOMAS ROAD";"PHOENIX";"AZ";85037;"MARICOPA";"(480)899-5437";"http://kidsinclearningcenters.com/";;"Kids Incorporated Child Care of Arizona encourages the natural curiosity of your child and uses it to help them to grow and to reach their full potential.";"http://kidsinclearningcenters.com/phoenix/";"https://www.facebook.com/kidsincphoenix/";"http://kidsinclearningcenters.com/apply-to-kids-inc/";;;"x";"x";"x";"x";;;"http://kidsinclearningcenters.com/wp-content/uploads/2012/11/logo2.png";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"6AM - 6:30PM";"Closed";"Closed"
1170970;"KIDSPARK";"7337 WEST BELL ROAD";"PEORIA";"AZ";85382;"MARICOPA";"(623)878-2411";"https://www.kidspark.com/";"arrowheadaz@kidspark.com";"Our open, “no walls” floor plan gives children freedom of movement to choose the activity area that most interests them, and it allows continuous teacher observation. Without walls blocking visibility, parents can always see the exciting activities their children are engaged in at KidsPark. This ensures a safe and secure environment.";"http://www.kidspark.com/arrowhead";"https://www.facebook.com/KidsParkArrowhead/";;;"https://www.kidspark.com/why-kidspark/our-centers/";;;;;;"x";"https://www.kidspark.com/wp-content/themes/daycare/images/logo.svg";"7:30AM-9PM";"7:30AM-9PM";"7:30AM-9PM";"7:30AM-9PM";"7:30AM - 11PM";"9AM- 11PM";"1M- 6PM"
1170972;"KINDER PREP ACADEMY";"417 WEST 7TH STREET";"SAFFORD";"AZ";85546;"GRAHAM";"(928)651-8939";"http://kinderprepacademyaz.com/";" info@kinderprepacademyaz.com ";"Kinder Prep Academy provides a quality, nurturing environment that will prepare children emotionally, socially and academically to enter Kindergarten.";"http://kinderprepacademyaz.com/";"https://www.facebook.com/KinderPrepKids/";;"http://kinderprepacademyaz.com/enrollment/";;;;"x";"x";;;"http://kinderprepacademyaz.com/wp-content/uploads/2017/10/cropped-tulip-logo4.png";;;;;;;
1170973;"LIFEPRINTS CHILDCARE";"5680 WEST PEORIA AVENUE";"GLENDALE";"AZ";85302;"MARICOPA";"(602)999-1903";"http://www.lifeprintschildcare.com/";;"At Lifeprints learning center, we strive to create an environment where children are given the opportunity to explore their academic and individual potential.";"http://www.lifeprintschildcare.com/locations.html";"https://www.facebook.com/pages/Lifeprints-Childcare-Learning/490777854295872";;"http://www.lifeprintschildcare.com/contact-us-1.html";;;;;;;;"http://nebula.wsimg.com/3844038c15b35e3c3b95014a005e8361?AccessKeyId=CA4CC4DADCF9EB5099D2&disposition=0&alloworigin=1";;;;;;;
1170974;"LIL' EINSTEINS ACADEMY";"3071 WEST HUNT HIGHWAY SUITE 104";"QUEEN CREEK";"AZ";85142;"MARICOPA";"(480)558-4551";;;;;;;;;;;;;;;;;;;;;;
1170976;"LITTLE EXPLORERS LEARNING CENTER LLC";"1621 EAST BETHANY HOME ROAD";"PHOENIX";"AZ";85016;"MARICOPA";"(602)603-9173";;;;;;;;;;;;;;;;;;;;;;
1170978;"LITTLE GENIUSES CHILDCARE CENTER";"6515 EAST MAIN STREET - SUITE 101";"MESA";"AZ";85205;"MARICOPA";"(480)247-6079";;;;;;;;;;;;;;;;;;;;;;
1170979;"LITTLE TREASURES CHILD CARE";"1373 BASELINE ROAD";"BULLHEAD CITY";"AZ";86442;"MOHAVE";"(928)444-7391";;;;;;;;;;;;;;;;;;;;;;
1170980;"LITTLE WONDERS LEARNING";"655 WEST WARNER ROAD #101";"TEMPE";"AZ";85284;"MARICOPA";"(480)584-5038";;;;;;;;;;;;;;;;;;;;;;
1170981;"LIVING HOPE CHRISTIAN CHILDCARE CENTER";"7333 EAST 22ND STREET";"TUCSON";"AZ";85710;"PIMA";"(520)296-1362";;;;;;;;;;;;;;;;;;;;;;
1170982;"LOVABLE KIDS KARE";"1728 EAST PUEBLO STREET";"PHOENIX";"AZ";85040;"MARICOPA";"(480)486-2456";;;;;;;;;;;;;;;;;;;;;;
1170983;"M.P.A. -  CHANDLER L.L.C.";"4970 WEST RAY ROAD";"CHANDLER";"AZ";85226;"MARICOPA";"(480)777-3898";;;;;;;;;;;;;;;;;;;;;;
1170984;"M.P.A. -  DEVELOPMENTAL CENTER L.L.C.";"1949 EAST BROWN ROAD";"MESA";"AZ";85203;"MARICOPA";"(480)464-0110";;;;;;;;;;;;;;;;;;;;;;
1170985;"M.P.A. -  DOBSON L.L.C.";"2750 SOUTH DOBSON ROAD";"MESA";"AZ";85202;"MARICOPA";"(480)456-0455";;;;;;;;;;;;;;;;;;;;;;
1170986;"MAKING MILESTONES CHILDHOOD DEVELOPMENT CENTER";"1550 NORTH STONEHENGE #104";"GILBERT";"AZ";85233;"MARICOPA";"(480)813-1897";;;;;;;;;;;;;;;;;;;;;;
1170987;"MARICOPA COUNTY HUMAN SERVICES - HARRIS HEAD START";"1820 SOUTH HARRIS DRIVE";"MESA";"AZ";85204;"MARICOPA";"(480)545-7060";;;;;;;;;;;;;;;;;;;;;;
1170988;"MIA PRESCHOOL & CHILDCARE, L.L.C.";"2132 WEST GLENDALE AVENUE";"PHOENIX";"AZ";85021;"MARICOPA";"(602)361-3802";;;;;;;;;;;;;;;;;;;;;;
1170989;"MIRAMONTE DAY SCHOOL";"2837 EAST 22ND STREET";"TUCSON";"AZ";85716;"PIMA";"(520)795-2231";;;;;;;;;;;;;;;;;;;;;;
1170990;"MIRO INTERNATIONAL PRESCHOOL";"11211 EAST VIA LINDA";"SCOTTSDALE";"AZ";85259;"MARICOPA";"(480)630-5560";;;;;;;;;;;;;;;;;;;;;;
