"Provider Name";"Address";"City";"State";"Zip";"Telephone";"License Type";"License Number";"E-Mail";"Web Site";"Progamm Type";"Enrolled in Subsidized Child Care Program";"County";"ID";"DetailsURL"
"DCS COOLEEMEE PRESCHOOL";"136 MARGINAL STREET";"COOLEEMEE";"NC";27014;"(336) 284-2581";"Five Star Center License";30000106;"nuckollsp@davie.k12.nc.us";"Not Available";"Child Care Center";"No";"Davie";30000106;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000106"
"DANBURY HEAD START";"1070 HOSPICE DRIVE";"DANBURY";"NC";27016;"(336) 593-8113";"Five Star Center License";85000123;"rwrenn@yvheadstart.com";"Not Available";"Child Care Center";"No";"Stokes";85000123;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=85000123"
"COPELAND ELEMENTARY PRE-K SCHOOL READY";"948 COPELAND SCHOOL ROAD";"DOBSON";"NC";27017;"(336) 374-2572";"Five Star Center License";86000229;"normank@surry.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Surry";86000229;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000229"
"DOBSON ELEMENTARY SCHOOL PRE-K SCHOOL READY";"400 WEST ATKINS STREET";"DOBSON";"NC";27017;"(336) 386-8913";"Five Star Center License";86000244;"normank@surry.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Surry";86000244;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000244"
"DORCAS SPRINKLE'S DAY CARE HOME";"2262 WHITE DIRT ROAD";"DOBSON";"NC";27017;"(336) 366-4384";"One Star Family CC Home License";8605111;"quesen3@yahoo.com";"Not Available";"Family Child Care Home";"No";"Surry";8605111;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=8605111"
"FRANKLIN ELEMENTARY PRE-K SCHOOL READY";"519 S FRANKLIN ROAD";"MOUNT AIRY";"NC";27017;"(336) 786-2459";"Five Star Center License";86000228;"normank@surry.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Surry";86000228;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000228"
"KINDERCARE LEARNING CENTER";"720 WEST KAPP STREET";"DOBSON";"NC";27017;"(336) 386-8883";"Three Star Center License";86000387;"maranda.ward@kindercare.com";"Not Available";"Child Care Center";"Yes";"Surry";86000387;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000387"
"RED HILL CREEK HEAD START";"101 MCMICKLES SCHOOL RD";"DOBSON";"NC";27017;"(336) 352-4588";"Five Star Center License";8655016;"rwrenn@yvheadstart.com";"Not Available";"Child Care Center";"Yes";"Surry";8655016;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=8655016"
"ROCKFORD ELEMENTARY SCHOOL PRE-K SCHOOL READY";"719 ROCKFORD ROAD";"DOBSON";"NC";27017;"(336) 374-6300";"Five Star Center License";86000363;"normank@surry.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Surry";86000363;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000363"
"SHARON BLEDSOE'S CHILD CARE HOME";"146 PROMISE LANE";"DOBSON";"NC";27017;"(336) 366-2860";"Two Star Family CC Home License";86000397;"sbledsoe8@yahoo.com";"Not Available";"Family Child Care Home";"No";"Surry";86000397;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000397"
"SURRY HEAD START";"389 JENKINSTOWN RD";"DOBSON";"NC";27017;"(336) 367-7202";"Five Star Center License";86000191;"rwrenn@yvheadstart.com";"Not Available";"Child Care Center";"Yes";"Surry";86000191;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000191"
"TINY HANDS CHILD CARE OF DOBSON";"721 SOUTH MAIN STREET";"DOBSON";"NC";27017;"(336) 356-2244";"Three Star Center License";86000393;"jnkoehler2003@yahoo.com";"Not Available";"Child Care Center";"Yes";"Surry";86000393;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000393"
"VICKIE'S DAY CARE HOME";"196 SUGARBRANCH ROAD";"DOBSON";"NC";27017;"(336) 356-4336";"Three Star Family CC Home License";86000245;"vreece311@gmail.com";"Not Available";"Family Child Care Home";"Yes";"Surry";86000245;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000245"
"EAST BEND OUT-OF-SCHOOL-TIME PROGRAM";"205 SCHOOL STREET";"EAST BEND";"NC";27018;"(336) 699-8419";"Five Star Center License";99000077;"linda.neese@yadkin.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Yadkin";99000077;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000077"
"EAST BEND PRESCHOOL";"205 SCHOOL STREET";"EAST BEND";"NC";27018;"(336) 699-5283";"Prov License";99000087;"jill.logan@yadkin.k12.nc.us";"Not Available";"Child Care Center";"No";"Yadkin";99000087;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000087"
"FALL CREEK OUT-OF-SCHOOL-TIME PROGRAM";"2720 SMITHTOWN ROAD";"EAST BEND";"NC";27018;"(336) 699-2462";"Five Star Center License";99000062;"linda.neese@yadkin.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Yadkin";99000062;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000062"
"FALL CREEK PRESCHOOL";"2720 SMITHTOWN ROAD";"EAST BEND";"NC";27018;"(336) 699-8257";"Five Star Center License";99000120;"jill.logan@yadkin.k12.nc.us";"Not Available";"Child Care Center";"No";"Yadkin";99000120;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000120"
"FORBUSH OUT-OF-SCHOOL-TIME PROGRAM";"1400 BLOOMTOWN ROAD";"EAST BEND";"NC";27018;"(336) 699-2464";"Five Star Center License";99000060;"linda.neese@yadkin.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Yadkin";99000060;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000060"
"FORBUSH PRESCHOOL";"1400 BLOOMTOWN ROAD";"EAST BEND";"NC";27018;"(336) 699-8447";"Five Star Center License";99000085;"jill.logan@yadkin.k12.nc.us";"Not Available";"Child Care Center";"No";"Yadkin";99000085;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000085"
"LITTLE DARLINGS CHILDCARE, INC.";"6617 E OLD US 421 HWY";"EAST BEND";"NC";27018;"(336) 699-4381";"Three Star Center License";99000020;"lit_darlins1@yahoo.com";"Not Available";"Child Care Center";"Yes";"Yadkin";99000020;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000020"
"FIRST STEP CHILD CARE";"7384 HIGHWAY 8 SOUTH";"GERMANTON";"NC";27019;"(336) 591-9151";"Three Star Center License";85000130;"firststep@triad.twcbc.com";"Not Available";"Child Care Center";"Yes";"Stokes";85000130;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=85000130"
"WEST YADKIN OUT-OF-SCHOOL-TIME PROGRAM";"4432 OLD US HWY 421";"HAMPTONVILLE";"NC";27020;"(336) 468-2656";"Five Star Center License";99000063;"linda.neese@yadkin.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Yadkin";99000063;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000063"
"WEST YADKIN PRESCHOOL";"4432 OLD US HWY 421";"HAMPTONVILLE";"NC";27020;"(336) 551-1165";"Four Star Center License";99000086;"jill.logan@yadkin.k12.nc.us";"Not Available";"Child Care Center";"No";"Yadkin";99000086;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=99000086"
"CALVARY CHRISTIAN CHILDCARE";"536 S MAIN STREET";"KING";"NC";27021;"(336) 983-3728";"GS 110-106";85000127;"ccc-ps3@ccsking.org";"Not Available";"Child Care Center";"Yes";"Stokes";85000127;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=85000127"
"FIRST BAPTIST CHILD DEVELOPMENT CENTER";"108 SCHOOL STREET";"KING";"NC";27021;"(336) 983-9332";"Four Star Center License";8555035;"kfbccdc2004@yahoo.com";"Not Available";"Child Care Center";"Yes";"Stokes";8555035;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=8555035"
"KIDZ COMMUNITY CHILDCARE";"995 BROWN ROAD";"KING";"NC";27021;"(336) 983-8393";"Four Star Center License";85000091;"kccpastors@yahoo.com";"Not Available";"Child Care Center";"Yes";"Stokes";85000091;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=85000091"
"KINDERCARE LEARNING CENTER";"109 VILLAGE WAY";"KING";"NC";27021;"(336) 983-2024";"Three Star Center License";85000126;"ginger.shore@kindercare.com";"Not Available";"Child Care Center";"Yes";"Stokes";85000126;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=85000126"
"KING ELEMENTARY SCHOOL";"152 EAST SCHOOL ROAD";"KING";"NC";27021;"(336) 983-5824";"Four Star Center License";85000085;"tina.dalton@stokes.k12.nc.us";"Not Available";"Child Care Center";"No";"Stokes";85000085;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=85000085"
"LITTLE BEARS DAY CARE";"116 BRIGHTON DRIVE";"KING";"NC";27021;"(336) 407-0751";"Two Star Family CC Home License";85000128;"wanda.hawks@yahoo.com";"Not Available";"Family Child Care Home";"No";"Stokes";85000128;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=85000128"
"MT. OLIVE HEAD START";"2145 CHESNUT GROVE ROAD";"KING";"NC";27021;"(336) 367-4993";"Five Star Center License";85000131;"rwrenn@yvheadstart.com";"Not Available";"Child Care Center";"No";"Stokes";85000131;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=85000131"
"POPLAR SPRINGS ELEMENTARY PRESCHOOL";"223 HOBE KISER ROAD";"KING";"NC";27021;"(336) 985-0234";"Four Star Center License";85000141;"tina.dalton@stokes.k12.nc.us";"Not Available";"Child Care Center";"No";"Stokes";85000141;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=85000141"
"TONYA'S TOTS";"2124 CHESTNUT GROVE ROAD";"KING";"NC";27021;"(336) 983-8970";"Three Star Family CC Home License";85000105;"trockhold2116@gmail.com";"Not Available";"Family Child Care Home";"Yes";"Stokes";85000105;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=85000105"
"CHILDCARE NETWORK #164";"5038 STYERS FERRY ROAD";"LEWISVILLE";"NC";27023;"(336) 766-3233";"Five Star Center License";34000992;"cni164@cnikids.com";"Not Available";"Child Care Center";"Yes";"Forsyth";34000992;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34000992"
"DIANE'S DAY CARE HOME";"475 COUNTRY LANE";"LEWISVILLE";"NC";27023;"(336) 945-4497";"One Star Family CC Home License";3405377;"miss.diane@triad.rr.com";"Not Available";"Family Child Care Home";"No";"Forsyth";3405377;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=3405377"
"NETT'S DISCOVERY PLACE";"6941 POPLAR RIDGE ROAD";"LEWISVILLE";"NC";27023;"(336) 404-8285";"One Star Family CC Home License";34001026;"nettsplace@gmail.com";"Not Available";"Family Child Care Home";"No";"Forsyth";34001026;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001026"
"WEST FORSYTH CHRISTIAN PRESCHOOL";"1200 LEWISVILLE-CLEMMONS ROAD";"LEWISVILLE";"NC";27023;"(336) 766-0301";"GS 110-106";34001053;"rdrinkuth@wfcpreschool.com";"www.wfcpreschool.com";"Child Care Center";"No";"Forsyth";34001053;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=34001053"
"CEDAR RIDGE ELEMENTARY PRE-K SCHOOL READY";"734 FLIPPIN ROAD";"LOWGAP";"NC";27024;"(336) 352-4320";"Five Star Center License";86000230;"normank@surry.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Surry";86000230;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000230"
"LIL LOVE BUGS";"181 CLYDE HAYES ROAD";"LOWGAP";"NC";27024;"(276) 733-3949";"Two Star Family CC Home License";86000405;"mistycarson@gmail.com";"Not Available";"Family Child Care Home";"No";"Surry";86000405;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000405"
"DILLARD ELEMENTARY SCHOOL SACC";"810 CURE DRIVE";"MADISON";"NC";27025;"(336) 548-2472";"Three Star Center License";79000301;"mwesley@rock.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Rockingham";79000301;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=79000301"
"HUNTSVILLE ELEMENTARY PRESCHOOL";"2020 SARDIS CHURCH ROAD";"MADISON";"NC";27025;"(336) 427-3266";"Five Star Center License";79000189;"rmensel@rock.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Rockingham";79000189;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=79000189"
"HUNTSVILLE ELEMENTARY SCHOOL AGE CHILD CARE";"2020 SARDIS CHURCH ROAD";"MADISON";"NC";27025;"(336) 427-3266";"Three Star Center License";79000188;"dfulp@rock.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Rockingham";79000188;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=79000188"
"LITTLE GEMS DAYCARE";"712 WEST DECATUR STREET";"MADISON";"NC";27025;"(336) 427-0625";"Four Star Family CC Home License";79000283;"msmyra4k@yahoo.com";"Not Available";"Family Child Care Home";"Yes";"Rockingham";79000283;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=79000283"
"MADISON HEAD START";"810 CURE DRIVE";"MADISON";"NC";27025;"(336) 548-4780";"Four Star Center License";79000317;"abarker@rock.k12.nc.us";"Not Available";"Child Care Center";"No";"Rockingham";79000317;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=79000317"
"WESTERN ROCKINGHAM EARLY CHILDHOOD CENTER";"915 N AYERSVILLE RD";"MADISON";"NC";27025;"(336) 548-2460";"Five Star Center License";79000135;"mmccall@rock.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Rockingham";79000135;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=79000135"
"ABLE ANNIE'S CONSOLIDATED SERVICES";"1208 W MADISON STREET";"MAYODAN";"NC";27027;"(336) 548-2635";"Three Star Family CC Home License";79000231;"annmiclil1983@gmail.com";"Not Available";"Family Child Care Home";"Yes";"Rockingham";79000231;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=79000231"
"EDU CARE ACADEMY II";"247 DAN VALLEY RD";"MAYODAN";"NC";27027;"(336) 427-5550";"Three Star Center License";79000252;"academyeducare@yahoo.com";"Not Available";"Child Care Center";"Yes";"Rockingham";79000252;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=79000252"
"EDU-CARE ACADEMY INC.";"200 N AYERSVILLE ROAD";"MAYODAN";"NC";27027;"(336) 427-8800";"Three Star Center License";79000230;"academyeducare@yahoo.com";"Not Available";"Child Care Center";"Yes";"Rockingham";79000230;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=79000230"
"ALMOST HOME CHILD CARE, LLC";"571 S MAIN ST";"MOCKSVILLE";"NC";27028;"(336) 751-7529";"Five Star Center License";30000024;"iwatchkids@aol.com";"Not Available";"Child Care Center";"Yes";"Davie";30000024;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000024"
"CENTRAL DAVIE DEVELOPMENTAL PRESCHOOL";"220 CAMPBELL ROAD";"MOCKSVILLE";"NC";27028;"(336) 751-0016";"Five Star Center License";30000051;"nuckollsp@davie.k12.nc.us";"Not Available";"Child Care Center";"Yes";"Davie";30000051;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000051"
"CUDDLY CARE DAY CARE";"822 SAIN ROAD";"MOCKSVILLE";"NC";27028;"(336) 751-5640";"Three Star Center License";3055016;"cuddlycare1@hotmail.com";"Not Available";"Child Care Center";"Yes";"Davie";3055016;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=3055016"
"DAVIE FAMILY YMCA";"215 CEMETERY STREET";"MOCKSVILLE";"NC";27028;"(336) 751-9622";"Five Star Center License";30000101;"k.mcclure@ymcanwnc.org";"Not Available";"Child Care Center";"Yes";"Davie";30000101;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000101"
"DCS CORNATZER PRESCHOOL";"552 CORNATZER ROAD";"MOCKSVILLE";"NC";27028;"(336) 940-5097";"Five Star Center License";30000107;"nuckollsp@davie.k12.nc.us";"Not Available";"Child Care Center";"No";"Davie";30000107;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000107"
"DCS MOCKSVILLE PRESCHOOL";"295 CEMENTARY STREET";"MOCKSVILLE";"NC";27028;"(336) 757-0016";"Five Star Center License";30000109;"nuckollsp@davie.k12.nc.us";"Not Available";"Child Care Center";"No";"Davie";30000109;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000109"
"DCS PINEBROOK PRESCHOOL";"477 PINEBROOK SCHOOL ROAD";"MOCKSVILLE";"NC";27028;"(336) 998-3868";"Five Star Center License";30000104;"nuckollsp@davie.k12.nc.us";"Not Available";"Child Care Center";"No";"Davie";30000104;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000104"
"JACK G KOONTZ HEAD START";"7131 NW HWY 801 S";"MOCKSVILLE";"NC";27028;"(336) 367-4993";"Five Star Center License";30000105;"Rwrenn@yvheadstart.com";"Not Available";"Child Care Center";"No";"Davie";30000105;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000105"
"KOUNTRY KIDS LEARNING CENTER & PRESCHOOL";"373 CHERRY HILL ROAD";"MOCKSVILLE";"NC";27028;"(336) 940-2418";"Five Star Center License";30000035;"PamBurton@KountryKidslc.com";"Not Available";"Child Care Center";"Yes";"Davie";30000035;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000035"
"MOCKSVILLE HEAD START";"819 DULIN ROAD";"MOCKSVILLE";"NC";27028;"(336) 367-7251";"Five Star Center License";30000079;"rwrenn@yvheadstart.com";"Not Available";"Child Care Center";"No";"Davie";30000079;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000079"
"MUDPIES CHILD DEVELOPMENT CENTER-MOCKSVILLE";"622 NORTH MAIN STREET";"MOCKSVILLE";"NC";27028;"(336) 751-5298";"Five Star Center License";3055000;"booejudy.81@gmail.com";"Not Available";"Child Care Center";"Yes";"Davie";3055000;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=3055000"
"WILLIAM R. PRESCHOOL";"3437 US HWY 601 N";"MOCKSVILLE";"NC";27028;"(336) 492-5421";"Five Star Center License";30000096;"nuckollsp@davie.k12.nc.us";"Not Available";"Child Care Center";"No";"Davie";30000096;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000096"
"YOUNG CHILDREN'S LEARNING CENTER";"184 COUNCIL STREET";"MOCKSVILLE";"NC";27028;"(336) 751-7118";"Five Star Center License";30000002;"yclc56@aol.com";"Not Available";"Child Care Center";"Yes";"Davie";30000002;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=30000002"
"A GRACE ACADEMY OF MT. AIRY";"170 HARTWAY LANE";"MOUNT AIRY";"NC";27030;"(336) 789-7771";"Three Star Center License";86000359;"jamie_renzi@yahoo.com";"Not Available";"Child Care Center";"Yes";"Surry";86000359;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000359"
"AMANDA'S ANGELS";"140 SADDLE CREST LANE";"MOUNT AIRY";"NC";27030;"(336) 648-1308";"Two Star Family CC Home License";86000408;"ayersjohnny@yahoo.com";"Not Available";"Family Child Care Home";"No";"Surry";86000408;"http://ncchildcaresearch.dhhs.state.nc.us/Main_info.asp?Facility_ID=86000408"
