ID;Title;Notice;Type;License_ID;Contact_Name;Street_Address;City;State;Zip;Lat;Lon;Phone;Url;Ages_Served;Monday_Hours;Tuesday_Hours;Wednesday_Hours;Thursday_Hours;Friday_Hours;Saturday_Hours;Sunday_Hours;Regulation;Total_Capacity;Licensed_Capacity;In_Operation;Total_Openings;Openings_As_Of;Staff_Languages_Offered;Environment;Meals;Program_Elements/Offerings;Provider_Primary_Language;Policies;Schedule;Year_Schedule;Extended_Hour_Care;Behavior_Related;Special_Needs;Special_Skills;Transportation;DHS_Subsidy;Spark_Rating
1531200;Cassidy Ahee;Accepting Children During COV19 Reopen;License Exempt Home;;Cassidy Ahee;;Baker City;OR;97814;;;(541) 519-4647;;0 Years 1 Months - 12 Years 0 Months;5:00am - 11:00pm;5:00am - 11:00pm;5:00am - 11:00pm;5:00am - 11:00pm;5:00am - 11:00pm;;;;3;3;6 Months;1;6/15/2020;;No Dogs, No Pets At All, No Cats;Provides Dinner, Provides Breakfast, Snacks Provided, Provides Lunch;;;;Full-time, Temp/Emergency, Drop-in, Before School, Rotating, After School;Full Year;Early Morning (Between 3am and 5:59am), Evening (after 6:30 pm);;;;;Willing to accept DHS;
1526764;Cassie's House Day Care;Accepting Children During COV19 Reopen;Licensed Home;RF052998;Cassandra;;Baker City;OR;97814;;;(406) 366-9328;;0 Years 1 Months - 11 Years 1 Months;12:00am - 11:59pm;12:00am - 11:59pm;12:00am - 11:59pm;12:00am - 11:59pm;12:00am - 11:59pm;12:00am - 11:59pm;12:00am - 11:59pm;Registered Family Child Care;10;10;23 Years and 7 Months;8;8/25/2020;;No Cats, Completely Fenced Yard;Provides Dinner, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Field Trips, Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum, Homework Assistance;;Have Backup (substitute), Charges a Late Fee, Have References, Written Contract, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, Rotating, 24-Hour, Open Holidays, After School;Full Year;Early Morning (Between 3am and 5:59am), Evening (after 6:30 pm), Overnight (Between 10pm and 3am), Weekend (regular care on Saturday and/or Sunday);Autism, ADD/ADHD, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Vision Impaired, Diabetes, Communication Supports, Mobility Assistance, Accessible Bathroom, Asthma, Socialization Supports, Medication Monitoring;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Diversity training;Near public transportation, Walking distance to school;Willing to accept DHS;
1525490;Connor's Daycare;Accepting Children During COV19 Reopen;Licensed Home;RF521573;Robin;;Baker City;OR;97814;;;(541) 403-1015;;0 Years 2 Months - 12 Years 12 Months;7:45am - 5:30pm;7:45am - 5:30pm;7:45am - 5:30pm;7:45am - 5:30pm;7:45am - 5:30pm;;;Registered Family Child Care;10;10;10 Years and 3 Months;0;7/29/2020;;Pets Separate From Children, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Scheduled Activities, Organized Outdoor Activities, Homework Assistance;;Charges a Late Fee, Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Written Policies;Full-time, Temp/Emergency, Part-time;Full Year;Occasional early morning, Flexible am, Flexible pm;No Experience/Willing To Learn;Diapering/Toileting Assistance;;Near public transportation, Near school bus;NOT willing to accept DHS;
1530399;Cozy Lamb Daycare;Accepting Children During COV19 Reopen;Licensed Home;RF535589;Rhonda;;Baker City;OR;97814;;;(541) 519-8880;;0 Years 1 Months - 5 Years 0 Months;6:30am - 5:30pm;6:30am - 5:30pm;6:30am - 5:30pm;6:30am - 5:30pm;6:30am - 5:30pm;;;Registered Family Child Care;10;10;1 Years and 0 Months;0;9/4/2020;;No Cats, Completely Fenced Yard;Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;;;Charges a Late Fee, Written Contract, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Rotating;Full Year;Occasional early morning, Occasional evening, Occasional weekend, Flexible am, Flexible pm;;;;Walking distance to school, Near school bus;Willing to accept DHS, DHS listed;
1525806;Holly's Play House;Accepting Children During COV19 Reopen;Licensed Home;RF519388;Holly;;Baker City;OR;97814;;;(541) 519-2615;;0 Years 1 Months - 11 Years 12 Months;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;;;Registered Family Child Care;10;10;13 Years and 6 Months;0;9/8/2020;;Covered Outdoor Play, Pets Separate From Children, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Scheduled Activities, Organized Outdoor Activities;;Charges a Late Fee, Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, After School;Full Year;Flexible am;Autism, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Diabetes, Mobility Assistance, Asthma, Medication Monitoring;Behavioral issues training;Near school bus;Willing to accept DHS;
1528866;Jack's Pals;Accepting Children During COV19 Reopen;Licensed Home;RF534432;Cassidy;;Baker City;OR;97814;;;(541) 975-3660;;0 Years 1 Months - 11 Years 12 Months;7:30am - 5:00pm;7:30am - 5:00pm;7:30am - 5:00pm;7:30am - 5:00pm;7:30am - 5:00pm;;;Registered Family Child Care;10;10;3 Years and 3 Months;1;8/14/2020;;Covered Outdoor Play, Outdoor Play Structure;Provides Breakfast, Snacks Provided, Provides Lunch;;;Have Backup (substitute), Charges a Late Fee, Have References, Written Contract, Pay When Child Is In Care Or Not;Full-time, Temp/Emergency, Before School, Rotating, After School;Full Year;;Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Nursing Care, Wheelchair Access, Communication Supports, Mobility Assistance, Physical Therapy, Accessible Bathroom, Socialization Supports, Medication Monitoring, Specialized Equipment;;;NOT willing to accept DHS;
1527207;Kari's Child Care;Accepting Children During COV19 Reopen;Licensed Home;RF052574;Kari;;Baker City;OR;97814;;;(541) 519-5922;;3 Years 0 Months - 9 Years 12 Months;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;;;Registered Family Child Care;10;10;19 Years and 11 Months;0;8/6/2020;;Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Provides Breakfast, Snacks Provided, Provides Lunch;;;Written Contract, Pay When Child Is In Care Or Not, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, Rotating, After School;Full Year;;Autism;;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Diversity training;Near school bus;Willing to accept DHS, DHS listed;
1529186;Michele's Day Care;Accepting Children During COV19 Reopen;Licensed Home;RF022165;Michele;;Baker City;OR;97814;;;(541) 519-4964;;0 Years 1 Months - 0 Years 5 Months;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;7:00am - 5:30pm;;;Registered Family Child Care;10;10;2 Years and 11 Months;4;11/25/2020;;Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Provides Dinner, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Field Trips, Scheduled Activities, Organized Outdoor Activities, Homework Assistance;;Have Backup (substitute), Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, After School;Full Year;;Autism, ADD/ADHD, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Diabetes, Communication Supports, Mobility Assistance, Physical Therapy, Accessible Bathroom, Asthma, Hearing Impaired, Socialization Supports, Medication Monitoring;Inclusion training, Domestic violence/abuse training, Behavioral issues training, Medical support training, Diversity training;Walking distance to school, Near school bus;Willing to accept DHS;
1531611;New Directions Northwest;Accepting Children During COV19 Reopen;License Exempt Center;RA3218;;3680 Midway Drive;Baker City;OR;97814;44.7940597;-117.8451497;(541) 523-4049;;0 Years 1 Months - 12 Years 0 Months;8:20am - 4:00pm;8:20am - 4:00pm;8:20am - 4:00pm;8:20am - 4:00pm;8:20am - 4:00pm;;;;15;15;7 Months;0;5/11/2020;;;;;;;Full-time, Temp/Emergency;Full Year;;;;;;;
1531468;New Directions Recovery Village;Accepting Children During COV19 Reopen;License Exempt Center;RS533417;;3680 Midway Drive;Baker City;OR;97814;44.7940597;-117.8451497;(541) 523-4049;;0 Years 1 Months - 6 Years 12 Months;8:00am - 4:00pm;8:00am - 4:00pm;8:00am - 4:00pm;8:00am - 4:00pm;8:00am - 4:00pm;;;;15;15;21 Years and 3 Months;0;10/17/2017;Spanish;No Dogs, No Pets At All, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;USDA Food Program, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Breastfeeding Supported, Provides Lunch;Field Trips, Scheduled Activities, Preschool Curriculum;;Have Backup (substitute), Written Policies;Full-time;Full Year;;No Experience/Willing To Learn;Wheelchair Access, Accessible Bathroom;Inclusion training, Domestic violence/abuse training, Behavioral issues training;;Willing to accept DHS, DHS listed;
1529810;Stephanie Mazzagotte;;License Exempt Home;;Stephanie Mazzagotte;;Baker City;OR;97814;;;(541) 519-6655;;;7:00am - 6:00pm;7:00am - 6:00pm;7:00am - 6:00pm;7:00am - 6:00pm;7:00am - 6:00pm;;;;3;3;1 Years and 11 Months;3;6/24/2020;;No Pets At All, Outdoor Play Area;Provides Breakfast, Snacks Provided, Provides Lunch;;;;Full-time;Full Year;Occasional evening, Occasional weekend, Flexible am;;;;;;
1525122;The Giggle Tree;Accepting Children During COV19 Reopen;Licensed Home;RF057525;Francie;;Baker City;OR;97814;;;(541) 519-3299;;0 Years 2 Months - 11 Years 12 Months;12:00am - 11:59pm;12:00am - 11:59pm;12:00am - 11:59pm;12:00am - 11:59pm;12:00am - 11:59pm;12:00am - 11:59pm;;Registered Family Child Care;10;10;18 Years and 6 Months;0;8/18/2020;;Outdoor Play Structure, Completely Fenced Yard, Outdoor Play Area;Provides Dinner, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Provides Lunch;Scheduled Activities, Homework Assistance;;Charges a Late Fee, Written Contract, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, Rotating, 24-Hour, After School;Full Year;Occasional overnight, Early Morning (Between 3am and 5:59am), Evening (after 6:30 pm), Occasional early morning, Overnight (Between 10pm and 3am), Weekend (regular care on Saturday and/or Sunday), Occasional evening, Occasional weekend, Flexible am, Flexible pm;Autism, No Experience/Willing To Learn;;Domestic violence/abuse training;Walking distance to school;Willing to accept DHS, DHS listed;
1528858;Teri's Daycare;Accepting Children During COV19 Reopen;Licensed Home;RF532650;Teri;;Haines;OR;97833;;;(541) 856-3793;;1 Years 0 Months - 12 Years 12 Months;7:00am - 6:00pm;7:00am - 6:00pm;7:00am - 6:00pm;7:00am - 6:00pm;7:00am - 6:00pm;7:00am - 6:00pm;7:00am - 6:00pm;Registered Family Child Care;10;10;3 Years and 4 Months;0;7/30/2020;;No Dogs, No Pets At All, No Cats, Completely Fenced Yard, Outdoor Play Area;Provides Dinner, Special Meal Requests Accommodated, Provides Breakfast, Snacks Provided, Provides Lunch;Field Trips, Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum, Homework Assistance;;Written Contract, Liability Insurance, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, Rotating, Open Holidays, After School;Full Year;Occasional overnight, Occasional early morning, Occasional evening, Occasional weekend, Flexible am, Flexible pm;No Experience/Willing To Learn;;;Near public transportation, Transports to/from Sports/Activities, Walking distance to school, Near school bus;Willing to accept DHS, DHS listed;C2Q
1531241;Tyrah Steele;;License Exempt Home;;Tyrah Steele;;Halfway;OR;97834;;;(541) 239-7075;;;8:00am - 5:00pm;8:00am - 5:00pm;8:00am - 5:00pm;8:00am - 5:00pm;8:00am - 5:00pm;;;;3;3;4 Months;0;8/20/2020;;No Dogs, No Pets At All, No Cats;Breastfeeding Supported;;;;Full-time, Temp/Emergency, Drop-in, Before School, Rotating, After School;Full Year;;ADD/ADHD, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Asthma, Socialization Supports, Medication Monitoring;Domestic violence/abuse training, Behavioral issues training, Medical support training;Walking distance to school;Willing to accept DHS;
1531525;(ECC-SD) Alsea Charter School;Accepting Children During COV19 Reopen;License Exempt Center;RA3161;;301 S 3rd St;Alsea;OR;97324;44.3812429;-123.5946008;(541) 487-4089;;3 Years 0 Months - 12 Years 0 Months;8:00am - 3:20pm;8:00am - 3:20pm;8:00am - 3:20pm;8:00am - 3:20pm;;;;;30;30;8 Months;;;;;;;;;Full-time, Temp/Emergency;Full Year;;;;;;;
1527621;Alsea Pups Preschool;Accepting Children During COV19 Reopen;License Center;CC502651;;178 S 3rd St;Alsea;OR;97324;44.3813211;-123.5957696;(541) 487-4305;;3 Years 0 Months - 4 Years 12 Months;7:30am - 4:00pm;7:30am - 4:00pm;7:30am - 4:00pm;7:30am - 4:00pm;7:30am - 4:00pm;;;Licensed Child Care Center;20;20;7 Years and 11 Months;0;6/25/2020;;Outdoor Play Structure, Outdoor Play Area;Provides Breakfast, Snacks Provided, Provides Lunch;Preschool Curriculum;;;Temp/Emergency, Part-time;School Year Only;;Challenging Behavior Supervision/Supports;Communication Supports, Socialization Supports;;;Willing to accept DHS;
1526294;A Child's Place: Lynn Thompson's Family Chil;Accepting Children During COV19 Reopen;Licensed Home;RF057739;Lynn;;Corvallis;OR;97330;;;(541) 231-2727;;1 Years 6 Months - 5 Years 6 Months;7:30am - 4:45pm;7:30am - 4:45pm;7:30am - 4:45pm;7:30am - 4:45pm;7:30am - 4:45pm;;;Registered Family Child Care;10;10;19 Years and 6 Months;0;4/2/2020;;Covered Outdoor Play, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;Snacks Provided, Parent Must Bring Meal;Additional Lessons, Scheduled Activities, Preschool Curriculum;;Charges a Late Fee, Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Part-time;Full Year;;Autism, ADD/ADHD, Challenging Behavior Supervision/Supports;Diapering/Toileting Assistance, Mobility Assistance, Asthma, Socialization Supports, Medication Monitoring;Domestic violence/abuse training, Behavioral issues training, Diversity training;Near school bus;Willing to accept DHS;4 Star Program
1527677;Corvallis Montessori School;Accepting Children During COV19 Reopen;License Center;CC000411;;2730 NW Greeley Avenue;Corvallis;OR;97330;44.5793226;-123.2818672;(541) 753-2513;http://www.corvallismontessori.org;1 Years 6 Months - 5 Years 12 Months;8:30am - 3:30pm;8:30am - 3:30pm;8:30am - 3:30pm;8:30am - 3:30pm;8:30am - 3:30pm;;;Licensed Child Care Center;110;110;32 Years and 5 Months;0;6/17/2020;Spanish;No Dogs, Covered Outdoor Play, Outdoor Play Structure, No Cats, Completely Fenced Yard, Outdoor Play Area;Snacks Provided, Parent Must Bring Meal;Scheduled Activities, Preschool Curriculum;;Charges a Late Fee, Have References, Written Contract, Liability Insurance, Pay When Child Is In Care Or Not, Needs Payment In Advance, Written Policies;Full-time, Temp/Emergency, Part-time, Open Holidays;Full Year;Flexible am, Flexible pm;Autism, ADD/ADHD, No Experience/Willing To Learn, Challenging Behavior Supervision/Supports;Wheelchair Access, Accessible Bathroom, Asthma, Socialization Supports;;Near public transportation, Walking distance to school;Willing to accept DHS, DHS listed;3 Star Program
1526155;Corvallis Waldorf School;Accepting Children During COV19 Reopen;License Center;CC052508;;3855 NE Highway 20;Corvallis;OR;97330;44.5981784;-123.221509;(541) 758-4674;http://www.corvalliswaldorfschool.org;2 Years 0 Months - 12 Years 12 Months;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;7:30am - 5:30pm;;;Licensed Child Care Center;100;100;25 Years and 8 Months;0;9/18/2020;;Outdoor Play Structure, Outdoor Play Area;Snacks Provided, Parent Must Bring Meal;Field Trips, Scheduled Activities, Preschool Curriculum;;Pay When Child Is In Care Or Not, Needs Payment In Advance;Full-time, Temp/Emergency, Part-time, Before School, After School;School Year Only;;;;;;Willing to accept DHS;C2Q
1525482;Hand in Hand Early Learning Center;Accepting Children During COV19 Reopen;License Center;CC000347;;2800 NW Tyler Avenue;Corvallis;OR;97330;44.5725105;-123.2820972;(541) 758-1554;http://zioncorvallis.com/early-learning-center/;0 Years 1 Months - 12 Years 0 Months;7:30am - 6:00pm;7:30am - 6:00pm;7:30am - 6:00pm;7:30am - 6:00pm;7:30am - 6:00pm;;;Licensed Child Care Center;95;95;32 Years and 3 Months;12;11/12/2020;;Pets Separate From Children, Completely Fenced Yard, Outdoor Play Area;Snacks Provided, Breastfeeding Supported, Parent Must Bring Meal;Additional Lessons, Field Trips, Scheduled Activities, Organized Outdoor Activities, Preschool Curriculum;;Charges a Late Fee, Pay When Child Is In Care Or Not, Written Policies;Full-time, Temp/Emergency, Part-time, Drop-in, Before School, After School;Full Year;;No Experience/Willing To Learn;;;Near public transportation;Willing to accept DHS, DHS listed;C2Q
