"License Number";"License Type";"Name of Program";"AddressLine1";"AddressLine2";"AddressLine3";"City";"State";"Zip";"County";"Phone";"License Status";"License Holder";"Capacity";"Type Of License";"Restrictions";"Services";"Licensing Authority";"Initial Effective Date";"Current Effective Date";"Expiration Date";"License Holder Lives Onsite"
800004;"Child Care Center";"A Child's View";"433 Cleveland";" ";;"Saint Paul";"MN";55105;"Ramsey";"(651) 690-0590";"Active";"A Child's View";32;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"10/18/1988";"10/05/2020";"12/31/2020";"   "
800005;"Child Care Center";"A Child's View";"1684/1686 Marshall Ave.";;;"Saint Paul";"MN";55104;"Ramsey";"(651) 644-5830";"Active";"A Child's View";22;"Infants     Toddlers       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/15/1987";"01/01/2020";"12/31/2020";"   "
1097992;"Child Care Center";"A Plus Universal Child Care and Learning Center";"1208 Shakopee Town Square";;;"Shakopee";"MN";55379;"Scott";"(952) 236-7460";"Active";"A Plus Universal Child Care and Learning Center";113;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"07/01/2019";"03/19/2020";"12/31/2020";"   "
1079089;"Child Care Center";"A to Z Childrens Academy";"5821 Tower St S Ste C";;;"Rockford";"MN";55373;"Hennepin";"(763) 777-9205";"Active";"A to Z Childrens Academy";60;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"01/04/2016";"01/01/2020";"12/31/2020";"   "
1052797;"Child Care Center";"AB Bohlman Inc dba Little Red Wagon";"901 S Main St";;;"Cambridge";"MN";55008;"Isanti";"(763) 689-2567";"Active";"AB Bohlman Incorporated";81;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"01/05/2009";"01/01/2020";"12/31/2020";"   "
1101850;"Child Care Center";"AB.SEE Preschool & Early Learning Center";"300 PARK ST W";;;"Cannon Falls";"MN";"55009-2429";"Goodhue";"(507) 757-1110";"Active";"AB. See Preschool & Early Learning Center LLC";42;"Infants     Toddlers     Preschool       ";"Fire restriction expires on 9/25/20";"Child Care Center";"Minnesota Department of Human Services";"06/29/2020";"06/29/2020";"12/31/2020";"   "
800020;"Child Care Center";"ABC Express";"6820 St. Patrick Lane";;;"Edina";"MN";55439;"Hennepin";"(952) 941-8973";"Active";"ABC Express, Inc.";91;"Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/20/1985";"01/01/2020";"12/31/2020";"   "
1095850;"Child Care Center";"ABC Learning Center Inc";"2533 24th AVE S ";;;"Minneapolis";"MN";55406;"Hennepin";"(612) 432-2452";"Active";"ABC Learning Center Inc";40;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"05/01/2019";"01/01/2020";"12/31/2020";"   "
1077914;"Child Care Center";"ABC123 Child Enrichment Center LLC";"1710 Center Ave Ste 130";;;"Dilworth";"MN";56529;"Clay";"(218) 303-1993";"Active";"ABC123 Child Enrichment Center LLC";144;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/07/2016";"01/01/2020";"12/31/2020";"   "
1051591;"Child Care Center";"Abiding Branches Cooperative Preschool";"865 Birch St";;;"Lino Lakes";"MN";55014;"Anoka";"(612) 598-7284";"Active";"Abiding Branches Cooperative Preschool";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/08/2008";"01/01/2020";"12/31/2020";"   "
800381;"Child Care Center";"Abiding Branches Cooperative Preschool";"171 Elm St";;;"Lino Lakes";"MN";55014;"Anoka";"(651) 214-3288";"Active";"Abiding Branches Cooperative Preschool";30;"Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/01/1977";"01/01/2020";"12/31/2020";"   "
800025;"Child Care Center";"Abiding Savior Lutheran Preschool";"8211 Red Oak Dr NE";;;"Mounds View";"MN";55112;"Ramsey";"(763) 784-5326";"Active";"Abiding Savior Lutheran Church";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"02/23/1967";"01/01/2020";"12/31/2020";"   "
1081942;"Child Care Center";"Abundant Life Preschool & Learning Center";"1105 117th Ave NE";;;"Blaine";"MN";55434;"Anoka";"(763) 754-1011";"Closed";"Abundant Life Community Church";57;;"None";"Child Care Center";"Minnesota Department of Human Services";"10/03/2016";"01/01/2020";"12/31/2020";"   "
1092665;"Child Care Center";"Academia Elze";"4 West Franklin Ave";;;"Minneapolis";"MN";55404;"Hennepin";"(612) 345-5370";"Active";"Academia Elze";56;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/29/2018";"06/24/2020";"12/31/2020";"   "
1050327;"Child Care Center";"Acorn Academy of Oak Haven Church";"1555 Constance Blvd NE";;;"Ham Lake";"MN";55304;"Anoka";"(763) 413-9037";"Active";"Acorn Academy of Oak Haven Church";60;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"05/29/2008";"01/01/2020";"12/31/2020";"   "
1093196;"Child Care Center";"Active Child Care Center, Inc";"2000 PLYMOUTH AVE N";;;"Minneapolis";"MN";"55411-3713";"Hennepin";"(612) 353-4453";"Active";"Active Child Care Center, Inc";111;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/24/2018";"02/05/2020";"12/31/2020";"   "
1098257;"Child Care Center";"Afton View Child Care Center";"363 Winthrop St. S.";;;"Saint Paul";"MN";55119;"Ramsey";"(651) 797-6010";"Active";"My Four & No More LLC";59;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"04/15/2019";"01/01/2020";"12/31/2020";"   "
830372;"Child Care Center";"Agape Child Development Center";"1037 University Ave";;;"Saint Paul";"MN";55104;"Ramsey";"(651) 744-7998";"Active";"St. Paul Public Schools Student Wellness";64;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/22/1997";"01/01/2020";"12/31/2020";"   "
830242;"Child Care Center";"Agape I Child Development Center";"2304 Emerson Ave N";;;"Minneapolis";"MN";55411;"Hennepin";"(612) 287-9775";"Active";"Agape Child Development Center";129;"Infants     Toddlers     Preschool     School-Age       Service: Night time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ";"Open 24 Hours a Day";"Child Care Center";"Minnesota Department of Human Services";"08/01/1997";"01/01/2020";"12/31/2020";"   "
1090068;"Child Care Center";"Ahlan Childcare Center INC";"2921 Cliff Road E";;;"Burnsville";"MN";55337;"Dakota";"(763) 313-4561";"Revocation Order Issued/Under Appeal/May Operate";"Ahlan Childcare Center INC";31;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/04/2018";"01/01/2020";"12/31/2020";"   "
1017825;"Child Care Center";"Al Amal Preschool";"1401 Gardenia Ave NE Rooms 103 & 105";;;"Fridley";"MN";55432;"Anoka";"(763) 571-8886";"Active";"Al-Amal School";60;"Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/30/2002";"01/01/2020";"12/31/2020";"   "
1093721;"Child Care Center";"Al-Israa Academy ";"6875 HIGHWAY 65 NE";;;"Fridley";"MN";"55432-4674";"Anoka";"(763) 267-1152";"Closed";"Al-Israa Academy ";16;;"None";"Child Care Center";"Minnesota Department of Human Services";"10/08/2018";"01/01/2020";"12/31/2020";"   "
830800;"Child Care Center";"ALC Child Care Center";"37 Woodlake Dr SE";;;"Rochester";"MN";55904;"Olmsted";"(507) 328-3980";"Active";"Rochester Public Schools";14;"Infants     Toddlers       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/02/1998";"01/01/2020";"12/31/2020";"   "
800058;"Child Care Center";"Aldrich Memorial Nursery School";"855 Essex Pkwy NW";" ";;"Rochester";"MN";55901;"Olmsted";"(507) 289-3097";"Pending Reopening";"Aldrich Memorial Nursery School, Inc.";168;;"None";"Child Care Center";"Minnesota Department of Human Services";"11/27/1943";"01/01/2020";"12/31/2020";"   "
802771;"Child Care Center";"Alexandria Area YMCA Center east";"110 Karl Dr";;;"Alexandria";"MN";56308;"Douglas";"(320) 834-9622";"Active";"Alexandria Area YMCA";136;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/16/1986";"01/01/2020";"12/31/2020";"   "
1092113;"Child Care Center";"Alexandria Area YMCA Center South";"420 12th Ave E";;;"Alexandria";"MN";56308;"Douglas";"(320) 834-9622";"Active";"Alexandria Area YMCA";50;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/18/2018";"01/01/2020";"12/31/2020";"   "
830860;"Child Care Center";"Alexandria Head Start Early Childhood Center (LECC)";"1410 So McKay Ave";;;"Alexandria";"MN";56308;"Douglas";"(320) 762-8046";"Active";"West Central MN Head Start";40;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/01/1998";"01/01/2020";"12/31/2020";"   "
807340;"Child Care Center";"All 'bout Children Daycare";"300 1st Ave NW";" ";;"Plainview";"MN";55964;"Wabasha";"(507) 534-2424";"Active";"All 'bout Children Daycare, Inc.";63;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/16/1994";"01/01/2020";"12/31/2020";"   "
1082560;"Child Care Center";"All Ages & Faces Academy";"580 FULLER AVE";;;"Saint Paul";"MN";"55103-2245";"Ramsey";"(651) 488-2097";"Active";"All Ages & Faces Academy";90;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"10/05/2016";"01/01/2020";"12/31/2020";"   "
1059664;"Child Care Center";"All God's Children Christian Learning Center ";"16120 Cedar Ave S";;;"Rosemount";"MN";55068;"Dakota";"(952) 292-1650";"Active";"All God's Children Christian Learning Center ";64;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"04/12/2011";"01/01/2020";"12/31/2020";"   "
830260;"Child Care Center";"All God's Children Learning Center";"4735 Bassett Creek Dr";" ";" ";"Golden Valley";"MN";55422;"Hennepin";"(763) 588-5437";"Active";"All God's Children Learning Center, Inc.";72;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/01/1997";"05/15/2020";"12/31/2020";"   "
1000652;"Child Care Center";"All God's Children Preschool";"5879 Wyoming Trail";;;"Wyoming";"MN";55092;"Chisago";"(651) 462-6832";"Active";"St. Paul Lutheran Church";19;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/13/1999";"01/01/2020";"12/31/2020";"   "
1065334;"Child Care Center";"All Pro Childcare LLC";"503 Hawthorne St Suite 103";;;"Alexandria";"MN";56308;"Douglas";"(320) 759-1788";"Active";"All Pro Childcare Center LLC";64;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"04/15/2013";"01/01/2020";"12/31/2020";"   "
1046978;"Child Care Center";"All Saints Academy Child Care";"605 4TH ST";"P.O BOX 158";;"Madison Lake";"MN";"56063-2003";"Blue Earth";"(507) 243-3010";"Active";"All Saints Parish of Madison Lake Inc";98;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/01/2007";"01/01/2020";"12/31/2020";"   "
1079708;"Child Care Center";"All Saints Academy St Cloud Campus";"1215 11th Ave N";;;"Saint Cloud";"MN";56303;"Stearns";"(320) 251-5295";"Active";"All Saints Academy St Cloud Campus";44;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/30/2016";"01/02/2020";"12/31/2020";"   "
1086686;"Child Care Center";"All Saints Academy St Joseph Campus";"32 W Minnesota St";;;"Saint Joseph";"MN";56374;"Stearns";"(320) 363-7505";"Active";"All Saints Academy St Cloud Campus";30;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/31/2017";"01/01/2020";"12/31/2020";"   "
1018410;"Child Care Center";"All Saints Catholic Preschool";"19795 Holyoke Ave";;;"Lakeville";"MN";55044;"Dakota";"(952) 985-9936";"Active";"The church of All Saints of Lakeville, Minnesota ";36;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/23/2002";"09/08/2020";"12/31/2020";"   "
800064;"Child Care Center";"All Saints Child Care Center";"15915 Excelsior Blvd";" ";;"Minnetonka";"MN";55345;"Hennepin";"(952) 934-4156";"Active";"All Saints Lutheran Church Minnetonka";57;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/03/1985";"01/01/2020";"12/31/2020";"   "
800065;"Child Care Center";"All Saints Preschool";"15915 Excelsior Blvd";;;"Minnetonka";"MN";55345;"Hennepin";"(952) 934-3552";"Active";"All Saints Lutheran Church Minnetonka";67;"Toddlers     Preschool     School-Age       ";"Program may not have any toddlers under 30 months of age.";"Child Care Center";"Minnesota Department of Human Services";"01/01/1966";"01/01/2020";"12/31/2020";"   "
1054093;"Child Care Center";"All Season's Preschool";"7260 South Robert Trail";;;"Inver Grove Heights";"MN";55077;"Dakota";"(651) 450-0606";"Active";"All Season's Preschool";60;"Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"10/05/2009";"01/01/2020";"12/31/2020";"   "
1103909;"Child Care Center";"All Seasons Preschool of Eagan LLC";"3385 DISCOVERY RD";;;"Eagan";"MN";"55121-0000";"Dakota";"(952) 466-1471";"Active";"All Seasons Preschool of Eagan LLC";40;"Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/09/2020";"09/09/2020";"12/31/2020";"   "
1101499;"Child Care Center";"All Smiles Daycare Center";"4102 W COUNTY ROAD 42";;;"Savage";"MN";"55378-2023";"Scott";"(612) 481-0610";"Active";"All Smiles Child Daycare Center LLC";59;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/05/2020";"03/05/2020";"12/31/2020";"   "
1046877;"Child Care Center";"All Stars Montessori, LLC";"5920 148th St W";;;"Apple Valley";"MN";55124;"Dakota";"(952) 432-2422";"Active";"All Stars Montessori, LLC";120;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/02/2007";"01/01/2020";"12/31/2020";"   "
1049848;"Child Care Center";"Allstar";"980 10TH ST NE";;;"Milaca";"MN";"56353-1809";"Mille Lacs";"(320) 982-7827";"Active";"Allstar";129;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"05/27/2008";"01/01/2020";"12/31/2020";"   "
1104621;"Child Care Center";"Alma Flor Ada Woodbury Spanish Immersion Early Learning Academy";"8420 CITY CENTRE DR";;;"Woodbury";"MN";"55125-5308";"Washington";"(651) 999-3152";"Active";"Woodbury Spanish Immersion Early Learning Academy, LLC";108;"Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/09/2020";"10/06/2020";"12/31/2020";"   "
831093;"Child Care Center";"Alphabet Junction Child Care Center";"1661 PARK RIDGE DR";;;"Chaska";"MN";"55318-2841";"Carver";"(952) 227-7754";"Active";"Alphabet Junction Child Care Center ";52;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"07/01/1999";"01/01/2020";"12/31/2020";"   "
1063267;"Child Care Center";"Alphabet Junction Childcare Center 4 Inc";"1335 10TH AVE E";;;"Shakopee";"MN";"55379-2992";"Scott";"(952) 445-3555";"Active";"Alphabet Junction Childcare Center 4 Inc. ";91;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/04/2012";"01/01/2020";"12/31/2020";"   "
1065286;"Child Care Center";"Alphabet Junction Childcare Center 5 Inc";"169 El Dorado Dr";;;"Jordan";"MN";55352;"Scott";"(952) 492-5655";"Active";"Alphabet Junction Childcare Center 5 Inc";83;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"04/01/2013";"01/01/2020";"12/31/2020";"   "
1056538;"Child Care Center";"Alphabet Junction Learning Center 3 Inc";"7840 Victoria Dr";;;"Victoria";"MN";55386;"Carver";"(952) 443-3196";"Active";"Alphabet Junction Learning Center 3 Inc";99;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/08/2010";"01/01/2020";"12/31/2020";"   "
1017489;"Child Care Center";"Alphabet Junction Learning Center Too, Inc.";"240 E Frontage Rd";;;"Waconia";"MN";55387;"Carver";"(952) 442-8698";"Active";"Alphabet Junction Learning Center Too, Inc";82;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/12/2002";"01/01/2020";"12/31/2020";"   "
1054231;"Child Care Center";"Amazing Beginnings Montessori & Child Care";"3105 65th St E";;;"Inver Grove Heights";"MN";"55076-4499";"Dakota";"(651) 451-4433";"Active";"Amazing Beginnings Montessori & Child Care";100;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"07/24/2009";"01/01/2020";"12/31/2020";"   "
1044123;"Child Care Center";"American Montessori";"14401 Pilot knob Rd";;;"Apple Valley";"MN";55124;"Dakota";"(952) 736-1004";"Active";"American Montessori, Inc.";20;"Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"01/16/2007";"01/01/2020";"12/31/2020";"   "
830418;"Child Care Center";"American Montessori, Inc. (The)";"13973 W Preserve Blvd";;;"Burnsville";"MN";55337;"Dakota";"(952) 736-1004";"Active";"American Montessori, Inc.";61;"Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"10/02/1997";"01/01/2020";"12/31/2020";"   "
1098076;"Child Care Center";"Anders Early Learning Center";"309 10TH ST S";;;"Cleveland";"MN";"56017-0000";"Le Sueur";"(507) 931-0077";"Active";"Anders Early Learning Center";52;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/18/2019";"01/01/2020";"12/31/2020";"   "
800081;"Child Care Center";"Anew Dimension Child Enrichment Center";"1819 MINNEHAHA AVE";;;"Minneapolis";"MN";"55404-2286";"Hennepin";"(612) 339-2333";"Active";"Anew Dimension Child Enrichment Center";89;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"04/06/1987";"09/08/2020";"12/31/2020";"   "
1082864;"Child Care Center";"Angels Fun Area LLC";"2800 1st Ave S";;;"Minneapolis";"MN";55408;"Hennepin";"(612) 886-3759";"Active";"Angels Fun Area LLC";84;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"01/12/2017";"01/01/2020";"12/31/2020";"   "
1066707;"Child Care Center";"Angels Learning Center";"7624 Brooklyn Blvd";;;"Brooklyn Park";"MN";55443;"Hennepin";"(763) 300-2544";"Active";"Angels Learning Center LLC";90;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"10/14/2013";"01/01/2020";"12/31/2020";"   "
1079345;"Child Care Center";"Angies Infant & Toddler Daycare";"617 E Main St";;;"Belle Plaine";"MN";56011;"Scott";"(952) 873-3951";"Active";"Angies Infant & Toddler Daycare";34;"Infants     Toddlers       ";"None";"Child Care Center";"Minnesota Department of Human Services";"01/15/2016";"01/01/2020";"12/31/2020";"   "
1080548;"Child Care Center";"Anna's Bananas Daycare & Preschool";"10487 165th St W";;;"Lakeville";"MN";55044;"Dakota";"(952) 236-0237";"Active";"Anna's Bananas Day Care Inc. ";129;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"08/15/2016";"01/01/2020";"12/31/2020";"   "
1075534;"Child Care Center";"Anna's Bananas Daycare & Preschool";"12004 County Rd 11";;;"Burnsville";"MN";"55337-0000";"Dakota";"(952) 707-1814";"Active";"Anna's Bananas Day Care Inc. ";40;"Infants       ";"None";"Child Care Center";"Minnesota Department of Human Services";"11/10/2015";"01/01/2020";"12/31/2020";"   "
1077930;"Child Care Center";"Anna's Bananas Daycare & Preschool Inc";"6700 160th St W";;;"Lakeville";"MN";55068;"Dakota";"(952) 683-9200";"Active";"Anna's Bananas Day Care Inc. ";127;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"06/01/2015";"01/01/2020";"12/31/2020";"   "
1041366;"Child Care Center";"Anna's Bananas Daycare & Preschool Inc";"12018 Co Rd 11";;;"Burnsville";"MN";55337;"Dakota";"(952) 707-1814";"Active";"Anna's Bananas Day Care Inc. ";111;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"05/19/2006";"01/01/2020";"12/31/2020";"   "
1053790;"Child Care Center";"Anna's Bananas Daycare & Preschool Inc";"7765 147th St";;;"Apple Valley";"MN";55124;"Dakota";"(952) 431-7998";"Active";"Anna's Bananas Day Care Inc. ";118;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"01/04/2010";"01/01/2020";"12/31/2020";"   "
1064366;"Child Care Center";"Anna's Bananas Daycare and Preschool";"516 5TH ST W";;;"Northfield";"MN";"55057-1720";"Rice";"(507) 645-5050";"Active";"Anna's Bananas Day Care Inc. ";91;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"03/04/2013";"03/10/2020";"12/31/2020";"   "
1003090;"Child Care Center";"Anna's Bananas Daycare and Preschool Inc";"21220 Chippendale Ave";;;"Farmington";"MN";55024;"Dakota";"(651) 460-8488";"Active";"Anna's Bananas Day Care Inc. ";220;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"01/01/2000";"01/01/2020";"12/31/2020";"   "
1066782;"Child Care Center";"Annies Childcare & Learning Center";"501 W College Dr";;;"Brainerd";"MN";56401;"Crow Wing";"(218) 855-8274";"Active";"Joann Ostrowski";78;"Infants     Toddlers     Preschool       ";"None";"Child Care Center";"Minnesota Department of Human Services";"11/11/2013";"01/01/2020";"12/31/2020";"   "
1046878;"Child Care Center";"Annies Childcare & Learning Center";"9630 Ostrowski Way";;;"Brainerd";"MN";56401;"Crow Wing";"(218) 829-9228";"Active";"Joann Ostrowski";63;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"09/04/2007";"05/13/2020";"12/31/2020";"   "
803930;"Child Care Center";"Anoka Child Care Center";"3738 7th Ave N";" ";;"Anoka";"MN";55303;"Anoka";"(763) 427-1897";"Revoked";"Small World Child Care Center, Inc.";74;;"None";"Child Care Center";"Minnesota Department of Human Services";"05/29/1991";"01/01/2018";"12/31/2018";"   "
1053178;"Child Care Center";"Apple Academy Learning Center LLC";"1845 Main Street";;;"Centerville";"MN";55038;"Anoka";"(651) 762-8911";"Active";"Apple Academy Learning Center LLC";123;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"01/28/2009";"02/01/2020";"12/31/2020";"   "
1074885;"Child Care Center";"Apple Academy Learning Center LLC Wyoming";"26427 Forest Blvd ";;;"Wyoming";"MN";55092;"Chisago";"(651) 462-8772";"Active";"Apple Academy Learning Center LLC";98;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"01/26/2015";"01/01/2020";"12/31/2020";"   "
1087704;"Child Care Center";"Apple Child Care Center Inc";"3110 Emerson Ave N";;;"Minneapolis";"MN";55411;"Hennepin";"(612) 200-8656";"Pending Reopening";"Apple Child Care Center Inc";82;;"None";"Child Care Center";"Minnesota Department of Human Services";"11/27/2017";"01/01/2020";"12/31/2020";"   "
830687;"Child Care Center";"Apple Lane Community Child Care Center";"1900 8th Ave NW";;;"Austin";"MN";55912;"Mower";"(507) 433-0070";"Active";"Apple Lane Community Child Care Center-Riverland";198;"Infants     Toddlers     Preschool     School-Age       ";"None";"Child Care Center";"Minnesota Department of Human Services";"04/01/1998";"01/01/2020";"12/31/2020";"   "
