"ID";"DocumentType";"DocumentDate";"DocumentURL"
1093049;"Maltreatment Investigative Memorandum";"9/22/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_464836"
1093049;"Maltreatment Determination and Fine Order";"9/22/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_464837"
1093049;"Reconsideration Response Conditional";"1/11/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463420"
1093049;"Fine Order";"10/14/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463009"
1093049;"Conditional License";"6/8/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462324"
1093049;"Fine Order";"5/18/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462249"
1093049;"Fine Order";"11/22/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_451569"
1093049;"Correction Order";"11/21/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454379"
801425;"Correction Order";"2/20/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453925"
830760;"Fine Order";"5/6/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462148"
830760;"Fine Order";"2/13/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_452664"
830760;"Correction Order";"12/27/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454538"
1048390;"Fine Order";"10/22/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_451098"
1084260;"Fine Order";"1/26/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_461642"
1084260;"Fine Order";"10/24/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_451209"
801606;"Correction Order";"1/24/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453882"
1060501;"Correction Order";"1/2/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453877"
1063701;"Correction Order";"11/26/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454590"
801665;"Fine Order";"12/14/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463312"
801665;"Correction Order";"1/31/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453835"
810015;"Fine Order";"7/12/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_464396"
810015;"Correction Order";"5/22/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453455"
810015;"Correction Order";"5/22/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453481"
810015;"Correction Order";"5/22/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454069"
810015;"Correction Order";"12/4/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454607"
1002184;"Maltreatment Investigative Memorandum";"10/11/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_464895"
1002184;"Correction Order";"3/6/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454195"
1039761;"Fine Order";"2/18/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_461748"
1039761;"Correction Order";"1/31/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453836"
804368;"Correction Order";"5/11/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453865"
830575;"Correction Order";"2/12/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453857"
802019;"Correction Order";"10/18/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454439"
800906;"Correction Order";"3/11/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454174"
1095790;"Reconsideration Response Correction Order";"3/29/2021";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_459706"
1095790;"Reconsideration Response Correction Order";"7/16/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_457748"
1095790;"Correction Order";"2/28/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453936"
1007350;"Correction Order";"1/2/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453879"
831083;"Correction Order";"1/14/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454052"
831083;"Correction Order";"1/2/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453905"
1086477;"Correction Order";"12/27/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454541"
1112781;"Denial of License";"11/9/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463109"
1076837;"Fine Order";"11/3/2021";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_461118"
1013661;"Conditional License and Fine Order";"1/4/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463405"
206007;"Conditional License and Fine Order";"9/18/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_464808"
211346;"License Revocation";"10/21/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463038"
211346;"Fine Order";"6/24/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462422"
211346;"Conditional License and Fine Order";"2/9/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_461724"
1105797;"Fine Order";"12/3/2021";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_461291"
808291;"Fine Order";"12/28/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463378"
232525;"Fine Order";"8/19/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462722"
108031;"Fine Order";"8/19/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462724"
1047227;"Fine Order";"12/28/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463377"
225469;"Fine Order";"3/6/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_452906"
1103981;"Fine Order";"11/23/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463197"
1064466;"License Revocation";"2/17/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463599"
1037975;"Fine Order";"12/28/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463380"
1094533;"License Revocation";"9/12/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462824"
1094533;"Indefinite Suspension of License";"7/7/2021";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_460273"
1094533;"Temporary Immediate Suspension of License";"4/8/2021";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_459739"
227876;"Fine Order";"9/6/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_464727"
204254;"Conditional License and Fine Order";"9/21/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462845"
1115519;"Fine Order";"6/28/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_464340"
1017155;"Fine Order";"3/31/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463831"
1090669;"Fine Order";"12/27/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_451986"
1106607;"License Revocation";"3/1/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463678"
1080694;"License Revocation";"2/3/2021";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_459441"
1080694;"Statement of Final Agency Decision";"11/5/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_459026"
1080694;"Temporary Immediate Suspension of License";"11/18/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_451497"
1004977;"Fine Order";"5/1/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463999"
1034020;"Correction Order";"2/20/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453903"
1088247;"License Review Report";"5/11/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453332"
800136;"License Review Report";"5/11/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453331"
810927;"Correction Order";"5/11/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_453864"
1061106;"Fine Order";"10/14/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463019"
1116461;"Denial of License";"3/31/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463825"
1077208;"Fine Order";"2/12/2021";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_459491"
1096490;"Fine Order";"9/23/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462870"
1096815;"License Revocation";"5/1/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_464007"
1096815;"Conditional License and Fine Order";"5/16/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462220"
1096815;"Fine Order";"5/3/2021";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_459873"
1063054;"Fine Order";"6/24/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462417"
1094531;"License Revocation";"7/19/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_464415"
1094531;"Temporary Immediate Suspension of License";"4/20/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_463937"
1094531;"Fine Order";"8/19/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462725"
1094531;"Conditional License and Fine Order";"5/5/2021";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_459882"
1066499;"Correction Order";"2/20/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454261"
1066499;"Maltreatment Investigative Memorandum";"1/8/2020";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_452154"
1066499;"Correction Order";"12/3/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454680"
800291;"Correction Order";"12/3/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454684"
800291;"Fine Order";"11/22/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_451567"
1065900;"Conditional License";"2/23/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_461771"
1065900;"Correction Order";"12/20/2019";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_454585"
1106062;"Maltreatment Investigative Memorandum";"1/12/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_461538"
1106266;"Maltreatment Investigative Memorandum";"9/20/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_464817"
1106266;"Maltreatment Investigative Memorandum";"9/15/2023";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_464797"
1106266;"Maltreatment Investigative Memorandum";"4/29/2022";"http://www.dhs.state.mn.us/main/idcplg?IdcService=GET_DYNAMIC_CONVERSION&RevisionSelectionMethod=LatestReleased&dDocName=LLO_462108"
