"full_name";"owner_name";"license_no";"license_status";"license_type";"mailing_address_line_1";"mailing_address_city";"mailing_address_state";"mailing_address_zipcode";"mailing_address_county";"mailing_address_phone";"physical_address_line_1";"physical_address_city";"physical_address_state";"physical_address_zipcode";"physical_address_county";"physical_address_phone";"director_first_name";"director_last_name";"capacity";"age_wks_lo";"age_mos_lo";"age_yrs_lo";"age_yrs_hi"
"Kids Inn";"D.M.M. Early Learning Center, LLC";"CCCB-06085";"Active";"Center Based Program License";"67 Route 101A";"Amherst";"NH";03031;"Hillsborough";(603) 672-1199;"67 Route 101A";"Amherst";"NH";03031;"Hillsborough";(603) 672-1199;"Darlene";"Mack";63;6;;;12
"Sunrise Children's Center";"Regional Services and Education Center, Inc.";"CCCB-02762";"Active";"Center Based Program License";"P.O.Box 370 ";"Amherst";"NH";03031;"Hillsborough";(603) 886-0110;"94 Route 101A";"Amherst";"NH";03031;"Hillsborough";(603) 886-0110;"Joanna    ";"Bogin";177;6;;;12
"Nellie's Treehouse";"Nellie's Treehouse, LLC";"CCCB-06529";"Active";"Center Based Program License";"29 State Route 101 A";"Amherst";"NH";03031;"Hillsborough";(603) 769-9545;"29 State Route 101 A";"Amherst";"NH";03031;"Hillsborough";(603) 673-1009;"Allison";"Astolfi";69;6;;;6
"The Amherst Preschool";"The Amherst Preschool, LLC";"CCCB-06332";"Active";"Center Based Program License";"58 Merrimack Road";"Amherst";"NH";03031;"Hillsborough";(603) 672-8271;"58 Merrimack Road";"Amherst";"NH";03031;"Hillsborough";(603) 672-8271;"Ellen";"Grudzien";20;;33;;6
"New Morning Before and After School Programs @ Wilkins";"New Morning Schools, LLC";"CCCB-06462";"Active";"Center Based Program License";"23 Back River Road";"Bedford";"NH";03110;"Hillsborough";;"80 Boston Post Road";"Amherst";"NH";03031;"Hillsborough";(603) 669-3591;"Allyson";"Fritz";90;;10;4;13
"Pamela Porter-Ladd";"Pamela Porter-Ladd";"CCFB-06412";"Active";"Family Based Program License";"27 Deerwood Drive";"Amherst";"NH";03031;"Hillsborough";(603) 673-2170;"27 Deerwood Drive";"Amherst";"NH";03031;"Hillsborough";(603) 673-2170;"Pamela";"Porter-Ladd";6;6;;;14
"King's Kastle Day Care";"Samantha King";"CCFB-06102";"Active";"Family Based Program License";"135 Beech Hill Road";"Andover";"NH";03216;"Merrimack";(603) 735-4197;"135 Beech Hill Road";"Andover";"NH";03216;"Merrimack";(603) 735-4197;"Samantha";"King";9;8;;;12
"Andover After School Program";"Andover After School Program";"CCCB-04620";"Active";"Center Based Program License";"6 School Street";"Andover";"NH";03216;"Merrimack";(603) 735-6566;"6 School Street";"Andover";"NH";03216;"Merrimack";(603) 735-6566;"Diane";"Adams";32;;8;4;13
"Andover 'Live-N-Learn'";"Karen Sanborn";"CCFB-06385";"Active";"Family Based Program License";"249 Rt 4A";"Andover";"NH";03216;"Merrimack";(603) 735-5907;"249 Rt 4A";"Andover";"NH";03216;"Merrimack";(603) 735-5907;"Karen";"Sanborn";9;8;;;6
"Imagination Inn";"Imagination Inn, LLC";"CCCB-06494";"Active";"Center Based Program License";"45 North Street";"Andover";"NH";03216;"Merrimack";(603) 735-5900;"45 North Street";"Andover";"NH";03216;"Merrimack";(603) 735-5900;"Doreen";"Perreault";71;6;;;12
"The Learning Vine";"The Grapevine Family and Community Resource Center";"CCCB-05902";"Active";"Center Based Program License";"PO Box 637";"Antrim";"NH";03440;"Hillsborough";(603) 588-2620;"4 Aiken Street";"Antrim";"NH";03440;"Hillsborough";(603) 588-2620;"Carol     ";"Lunan";24;;;3;6
"Antrim's Blossoms Early Learning Center";"Antrim's Blossoms Early Learning Center";"CCCB-06627";"Active";"Center Based Program License";"44 Lincoln Drive";"New Boston";"NH";03070;"Hillsborough";(603) 588-2405;"3 High Street, Unit B";"Antrim";"NH";03440;"Hillsborough";(603) 588-2405;"Heidi";"Risman-Jones";24;6;;;8
"Southwestern Community Services-Ashuelot Headstart";"Southwestern Community Services";"CCCB-04575";"Active";"Center Based Program License";"P.O. Box 603";"Keene";"NH";03431;"Cheshire";(603) 352-7512;"161 Main Street";"Ashuelot";"NH";03441;"Cheshire";(603) 239-8228;"Carol     ";"Wheeler";20;;11;2;6
"Atkinson Academy School Age Program";"JSC Early Educational Enterprises, Inc.";"CCCB-05546";"Active";"Center Based Program License";"12 Ridgewood Drive";"Atkinson";"NH";03811;"Rockingham";(603) 489-8466;"Academy Avenue";"Atkinson";"NH";03811;"Rockingham";(603) 489-8466;"Bruce     ";"Pelletier";45;;10;4;12
"The Learning Path";"The Learning Path, Inc.";"CCCB-05283";"Active";"Center Based Program License";"16 Route 111";"Derry";"NH";03038;"Rockingham";(603) 893-4948;"72 Route 111";"Atkinson";"NH";03811;"Rockingham";(603) 893-4948;"Mary";"Barrett";112;6;;;12
"Tiny Tots Preschool";"Longmeadow Congregational Church";"CCCB-00643";"Active";"Center Based Program License";"PO Box 158";"Auburn";"NH";03032;"Rockingham";(603) 483-0200;"4 Wilson's Crossing Road";"Auburn";"NH";03032;"Rockingham";(603) 483-0200;"Cathy     ";"Leverone";24;;;3;6
"Auburn Children's House, A Montessori School";"Auburn Children's House, A Montessori School";"CCCB-00916";"Active";"Center Based Program License";"78 Rockingham Road";"Auburn";"NH";03032;"Rockingham";(603) 627-1691;"78 Rockingham Road";"Auburn";"NH";03032;"Rockingham";(603) 627-1691;"Connie    ";"Mercier";30;;33;;10
"Sweet Peas Childcare Center";"Sandra Nolet and Christoper Nolet";"CCCB-01575";"Active";"Center Based Program License";"32 Hooksett Road";"Auburn";"NH";03032;"Rockingham";(603) 483-2338;"32 Hooksett Road";"Auburn";"NH";03032;"Rockingham";(603) 670-4003;"Catherine";"Tzinas";45;8;;;14
"It's a Child's World";"It's a Child's World, LLC";"CCFB-06716";"Active";"Family Based Program License";"341 Wilson's Crossing Road";"Auburn";"NH";03032;"Rockingham";(603) 606-1990;"341 Wilson's Crossing Road";"Auburn";"NH";03032;"Rockingham";(603) 606-1990;"Julie";"Salois-Tourville";15;6;;;10
"Tardiff Family Home Child Care";"Martha Tardiff";"CCFB-06440";"Active";"Family Based Program License";"447 Hooksett Road";"Auburn";"NH";03032;"Rockingham";(603) 483-2589;"447 Hooksett Road";"Auburn";"NH";03032;"Rockingham";(603) 483-2589;"Martha";"Tardiff";12;;2;;12
"New Morning Before and After School Programs @ Auburn Village";"New Morning Schools, LLC";"CCCB-06469";"Active";"Center Based Program License";"23 Back River Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"11 Eaton Hill Road";"Auburn";"NH";03032;"Rockingham";(603) 669-3591;"Carol";"Theos";75;;10;4;15
"Hobby Horse Daycare";"Michelle Reale";"CCFB-05471";"Active";"Family Based Program License";"384 Province Road";"Barnstead";"NH";03218;"Belknap";(603) 435-6377;"384 Province Road";"Barnstead";"NH";03218;"Belknap";(603) 435-6377;"Michelle  ";"Reale";9;6;;;12
"Windy Hill Day Care";"Madeline Wheeler";"CCFB-02889";"Active";"Family Based Program License";"297 Coles Ledge Road";"Barnstead";"NH";03218;"Belknap";(603) 435-7180;"297 Coles Ledge Road";"Barnstead";"NH";03218;"Belknap";(603) 435-7180;"Madeline";"Wheeler";17;6;;;12
"Hill's Home Preschool and More";"Cheryl Hill";"CCCB-06142";"Active";"Center Based Program License";"22 James Henry Drive";"Barrington";"NH";03825;"Strafford";(603) 664-5388;"22 James Henry Drive";"Barrington";"NH";03825;"Strafford";(603) 664-5388;"Cheryl    ";"Hill";14;;20;;12
"Way To Grow Preschool";"Roxanne Joniec";"CCCB-05699";"Active";"Center Based Program License";"1324 Franklin Pierce Highway";"Barrington";"NH";03825;"Strafford";(603) 664-2032;"1324 Franklin Pierce Highway";"Barrington";"NH";03825;"Strafford";(603) 664-2032;"Roxanne   ";"Joniec";8;6;;;12
"Barrington Community Child Center";"Barrington Community Child Center, LLC";"CCCB-05874";"Active";"Center Based Program License";"PO Box 592";"Barrington";"NH";03825-0592;"Strafford";(603) 742-1358;"477 Franklin Pierce Highway";"Barrington";"NH";03825-0592;"Strafford";(603) 742-1358;"Cheryl    ";"Goscinski - Drew";41;6;;;12
"Barrington Village Family and Child Enrichment Center";"Donna Massucci";"CCCB-05954";"Active";"Center Based Program License";"45 Commerce Way";"Barrington";"NH";03825;"Strafford";(603) 905-9183;"45 Commerce Way";"Barrington";"NH";03825;"Strafford";(603) 905-9183;"Donna     ";"Massucci";43;6;;;13
"Kidazzle Child Care";"Tina Daigneau";"CCFB-06077";"Active";"Family Based Program License";"243 Smoke Street";"Barrington";"NH";03825;"Strafford";(603) 534-2995;"243 Smoke Street";"Barrington";"NH";03825;"Strafford";(603) 664-5449;"Tina";"Daigneau";17;;30;;13
"Club Kidz";"Cheryl Hill";"CCCB-06370";"Active";"Center Based Program License";"41 Commerce Way";"Barrington";"NH";03825;"Strafford";(603) 664-2518;"41 Commerce Way";"Barrington";"NH";03825;"Strafford";(603) 664-2585;"Lesley ";"Forbes";32;6;;;12
"Bartlett Community Preschool";"Bartlett Community Preschool, Inc.";"CCCB-04271";"Active";"Center Based Program License";"PO Box 181";"Bartlett";"NH";03812;"Carroll";(603) 374-6803;"1313 Route 302";"Bartlett";"NH";03812;"Belknap";(603) 374-6803;"Aimee     ";"Robertson";20;;33;;14
"Bedford Village Morning School";"Bedford Village Morning School, Inc.";"CCCB-00654";"Active";"Center Based Program License";"19 Ministerial Road";"Bedford";"NH";03110;"Hillsborough";(603) 472-5531;"19 Ministerial Road";"Bedford";"NH";03110;"Hillsborough";(603) 472-5531;"Nancy ""Sue""";"Tyrie";60;;;3;6
"The Lamb's Workshop";"The Lamb's Workshop, Inc.";"CCCB-00796";"Active";"Center Based Program License";"1 Covenant Way";"Bedford";"NH";03110;"Hillsborough";(603) 472-2113;"1 Covenant Way";"Bedford";"NH";03110;"Hillsborough";(603) 472-2113;"Donna     ";"Gamans";79;;;3;6
"Creative Kids Preschool @ BYPC";"Bedford Youth Performing Company, Inc.";"CCCB-05871";"Active";"Center Based Program License";"155 Route 101";"Bedford";"NH";03110;"Hillsborough";(603) 472-3894;"155 Route 101 And Bell Hill Road";"Bedford";"NH";03110;"Hillsborough";(603) 472-3894;"Maryrose  ";"Donohue";28;;24;;6
"Bedford Montessori School";"Bedford Montessori School, Inc.";"CCCB-01314";"Active";"Center Based Program License";"24 Tirrell Hill Road";"Bedford";"NH";03110;"Hillsborough";(603) 627-9545;"24 Tirrell Hill Road";"Bedford";"NH";03110;"Hillsborough";(603) 627-9545;"Gail";"Bannon";40;;;3;6
"Rainbowland Child Development Center";"Rainbowland Child Development Center, Inc.";"CCCB-05341";"Active";"Center Based Program License";"3 Rundlett Hill Road";"Bedford";"NH";03110;"Hillsborough";(603) 622-6766;"3 Rundlett Hill Road";"Bedford";"NH";03110;"Hillsborough";(603) 622-6766;"Carol     ";"Yeaton";105;6;;;8
"Bright Horizons at Bedford";"Bright Horizons Children's Center, Inc.";"CCCB-05877";"Active";"Center Based Program License";"54 Constitution Drive";"Bedford";"NH";03110;"Hillsborough";(603) 472-5451;"54 Constitution Drive";"Bedford";"NH";03110;"Belknap";(603) 472-5451;"Donna     ";"Coughlin";141;6;;;12
"KinderCare Learning Center";"KinderCare Learning Centers, LLC";"CCCB-05241";"Active";"Center Based Program License";"3 Upjohn Street";"Bedford";"NH";03110;"Hillsborough";(603) 621-7485;"3 Upjohn Street";"Bedford";"NH";03110;"Hillsborough";(603) 621-7485;"Dawn      ";"Bradbrook";170;6;;;12
"New Morning After School Program @ Peter Woodbury";"New Morning Schools, LLC";"CCCB-06459";"Active";"Center Based Program License";"23 Back River Road";"Bedford";"NH";03110;"Hillsborough";;"180 County Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"Bernard";"Streets";129;;10;4;11
"New Morning After School Program @ Riddle Brook";"New Morning Schools, LLC";"CCCB-06460";"Active";"Center Based Program License";"23 Back River Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"230 New Boston Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"Amy";"Bradley";87;;10;4;11
"Learning Adventures Early Childhood Center";"ASJ Enterprises, Inc.";"CCCB-06557";"Active";"Center Based Program License";"51 Old Bedford Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-2811;"51 Old Bedford Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-2811;"Elizabeth";"Bolduc";35;6;;;12
"Primrose School at Bedford Hills";"A.B.M. Schools, Inc.";"CCCB-06685";"Active";"Center Based Program License";"3 Cooper Lane";"Bedford";"NH";03110;"Hillsborough";(603) 472-3800;"3 Cooper Lane";"Bedford";"NH";03110;"Hillsborough";(603) 472-3800;"Genna";"Beaudoin";182;6;;;12
"New Morning After School Program @ Memorial";"New Morning Schools, LLC";"CCCB-06468";"Active";"Center Based Program License";"23 Back River Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"55 Old Bedford Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"Laurel";"Clater";90;;10;4;12
"New Morning After School Program @ McKelvie";"New Morning Schools, LLC";"CCCB-06461";"Active";"Center Based Program License";"23 Back River Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"108 Liberty Hill Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"Heather";"Esbjorn";45;;;9;13
"New Morning School of Bedford";"New Morning Schools, LLC";"CCCB-06452";"Active";"Center Based Program License";"23 Back River Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"23 Back River Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"Christi";"Garrison";142;;35;;14
"Bedford Martial Arts Academy";"Bedford Martial Arts Academy, LLC";"CCCB-06573";"Active";"Center Based Program License";"292 Route 101";"Bedford";"NH";03110;"Hillsborough";(603) 626-9696;"292 Route 101";"Bedford";"NH";03110;"Hillsborough";(603) 626-9696;"Lee-Ann";"Magin";52;;8;4;16
"Lakes Region Child Care Services - Belmont Early Learning Center";"Lakes Region Child Care Services, Inc.";"CCCB-04751";"Active";"Center Based Program License";"22 Strafford Street, Unit #4";"Laconia";"NH";03246;"Belknap";(603) 527-8048;"24 Eastgate Park Drive";"Belmont";"NH";03220;"Belknap";(603) 527-8048;"Erica";"Brough";60;6;;;12
"Heavenly Sonshine Preschool";"First Baptist Church";"CCCB-02447";"Active";"Center Based Program License";"PO Box 676";"Belmont";"NH";03220;"Belknap";(603) 267-9804;"49 Church Street";"Belmont";"NH";03220;"Belknap";(603) 267-9804;"Deborah   ";"Mullen";53;6;;;12
"Li'l Einstein's Child Care";"Patricia Carlisle";"CCFB-06738";"Active";"Family Based Program License";"24 Farrarville Road";"Belmont";"NH";03220;"Belknap";(603) 832-3877;"24 Farrarville Road";"Belmont";"NH";03220;"Belknap";(603) 832-3877;"Patricia";"Carlisle";9;6;;;12
"Lakes Region Child Care Services - Belmont Elementary Before and After School Program";"Lakes Region Child Care Services, Inc.";"CCCB-06450";"Active";"Center Based Program License";"22 Strafford Street, Unit 4";"Laconia";"NH";03246;"Belknap";(603) 524-1235;"26 Best Street";"Belmont";"NH";03220;"Belknap";(603) 524-1235;"Ashley";"Ilg";60;;8;4;14
"Berlin Head Start";"Tri County Head Start";"CCCB-00656";"Active";"Center Based Program License";"610 Sullivan Street";"Berlin";"NH";03570;"Coos";(603) 752-7138;"610 Sullivan Street";"Berlin";"NH";03570;"Coos";(603) 752-7138;"Alicia";"Vien";60;;30;;6
"Project Youth-Brown School Program";"Family Resource Center-Project Youth";"CCCB-05988";"Active";"Center Based Program License";"123 Main Street";"Gorham";"NH";03581;"Coos";"6034665190Ext.306";"190 Norway Street";"Berlin";"NH";03570;"Coos";(603) 466-5190;"Heather ";"Kaufman";100;;;5;9
"Day By Day Child Care Center";"Patricia Henry";"CCCB-04077";"Active";"Center Based Program License";"283 Pleasant Street";"Berlin";"NH";03570;"Coos";(603) 752-5166;"283 Pleasant St";"Berlin";"NH";03570;"Coos";(603) 752-5166;"Patricia  ";"Henry";31;6;;;10
"Child Development Center at White Mountains Community College";"White Mountains Community College";"CCCB-02137";"Active";"Center Based Program License";"2020 Riverside Drive";"Berlin";"NH";03570;"Coos";(603) 342-3011;"15 Twitchell Lane";"Berlin";"NH";03570;"Coos";"6037521113e3011";"Heather";"Johnston";40;;3;;12
"Kids Only Day Care";"Kids Only Day Care, Inc.";"CCCB-02270";"Active";"Center Based Program License";"1023 Main Street";"Berlin";"NH";03570;"Coos";(603) 752-5564;"1023 Main Street";"Berlin";"NH";03570;"Coos";(603) 752-5564;"Jane";"Leblanc";26;;18;;12
"Project Youth - Hillside Afterschool Program";" Family Resource Center - Project Youth";"CCCB-05683";"Active";"Center Based Program License";"123 Main Street";"Gorham";"NH";03581;"Coos";(603) 466-5190;"183 Hillside Avenue";"Berlin";"NH";03570;"Coos";(603) 752-5311;"Andrew    ";"Lefebvre";250;;;5;15
"Project Youth  - Berlin Middle School";"The Family Resource Center - Project Youth";"CCCB-06585";"Active";"Center Based Program License";"123 Main Street";"Gorham";"NH";03581;"Coos";"6034665190 Ext 306";"200 State Street & 2 High Street";"Berlin";"NH";03570;"Coos";(603) 466-5190;"Trista";"Bruns";216;;;10;15
"White Pine Montessori";"Erin Woo";"CCCB-05915";"Active";"Center Based Program License";"2445 Main Street";"Bethlehem";"NH";03574;"Grafton";(603) 869-2468;"2445 Main Street";"Bethlehem";"NH";03574;"Grafton";(603) 869-2468;"Erin      ";"Woo";15;;32;;7
"Merrimack Valley Day Care Service @ MCNH";"Merrimack Valley Day Care Service, Inc";"CCCB-05722";"Active";"Center Based Program License";"333 Daniel Webster Highway";"Boscawen";"NH";03303;"Merrimack";(603) 796-6467;"333 Daniel Webster Highway";"Boscawen";"NH";03303;"Merrimack";(603) 796-6467;"Angelina  ";"Beaulieu";50;6;;;12
"Concord Family YMCA School Age Program at Boscawen";"Concord Family YMCA";"CCCB-05732";"Active";"Center Based Program License";"15 North State Street";"Concord";"NH";03301;"Merrimack";(603) 783-1137;"1 Best Avenue";"Boscawen";"NH";03303;"Merrimack";"6032289622X133";"Bonnie    ";"Boulton";45;;;5;13
"Celebrating Children";"Town of Bow, Parks and Recreation Department";"CCCB-05390";"Active";"Center Based Program License";"10 Grandview Road";"Bow";"NH";03304;"Merrimack";(603) 228-2214;"10 Grandview Road";"Bow";"NH";03304;"Merrimack";(603) 228-2214;"Cindy     ";"Greenwood-Young";32;;35;;6
"Casa Dei Bambini Children's Center";"Casa Dei Bambini Children's Center, LLC";"CCCB-06022";"Active";"Center Based Program License";"507 A South Street";"Bow";"NH";03304;"Merrimack";(603) 227-9300;"507 A South Street";"Bow";"NH";03304;"Merrimack";(603) 227-9300;"Angelina";"Beaulieu";74;;18;;10
"Meeting House Montessori School";"Meeting House Montessori School, LLC";"CCCB-05244";"Active";"Center Based Program License";"28 Logging Hill Road";"Bow";"NH";03304;"Merrimack";(603) 224-0004;"28 Logging Hill Road";"Bow";"NH";03304;"Merrimack";(603) 224-0004;"Alissa";"Smith";36;;;3;10
"Bow Youth Center";"Bow Youth Center, LLC";"CCCB-06174";"Active";"Center Based Program License";"21 Bow Center";"Bow";"NH";03304;"Merrimack";(603) 856-7245;"21 Bow Center";"Bow";"NH";03304;"Merrimack";(603) 856-7245;"Donna     ";"Morrison";154;;;3;12
"Rockwood Acres Daycare";"Rockwood Acres Family Daycare, Inc";"CCCB-04993";"Active";"Center Based Program License";"3 Clough Road";"Bow";"NH";03304;"Merrimack";(603) 225-6990;"3 Clough Road";"Bow";"NH";03304;"Merrimack";(603) 225-6990;"Estella   ";"Bickford";24;6;;;12
"Little Sprouts Children's Center";"Little Sprouts Children's Center, LLC";"CCCB-06186";"Active";"Center Based Program License";"3 Robinson Road A-1";"Bow";"NH";03304;"Merrimack";(603) 224-1818;"3 Robinson Road";"Bow";"NH";03304;"Merrimack";(603) 224-1818;"Jennifer";"Hunger";24;8;;;12
"Joyful Noise Preschool and Learning Center";"Crossroads Community Church";"CCCB-01566";"Active";"Center Based Program License";"6 & 8 Branch Londonderry Turnpike East";"Bow";"NH";03304;"Merrimack";(603) 224-6069;"6  & 8 Branch Londonderry Turnpike East";"Bow";"NH";03304;"Merrimack";(603) 224-6069;"Carolyn";"Waring";72;6;;;16
"Bow Youth Center @ Bow Elementary School";"Bow Youth Center, LLC";"CCCB-06725";"Active";"Center Based Program License";"21 Bow Center Road";"Bow";"NH";03304;"Merrimack";(603) 856-7245;"20 Bow Center Road";"Bow";"NH";03304;"Merrimack";(603) 856-7245;"Lauryn";"Daigle";45;;8;4;12
"Children's Center For Creative Learning";"Jessica Selby";"CCCB-06204";"Active";"Center Based Program License";"57 West Main Street";"Bradford";"NH";03221;"Merrimack";(603) 938-2546;"57 West Main Street";"Bradford";"NH";03221;"Belknap";(603) 938-2546;"Jessica   ";"Selby";41;6;;;6
"Live Wire Before And  After School Program";"Live Wire Day Care and Preschool, Inc.";"CCCB-04559";"Active";"Center Based Program License";"PO  Box 730";"Bradford";"NH";03221;"Merrimack";(603) 938-5549;"Old Warner Road Bradford Elem";"Bradford";"NH";03221;"Merrimack";(603) 938-5549;"Susan     ";"Rayno";45;;;5;12
"Kearsarge Area Preschool";"Kearsarge Area Preschool";"CCCB-00663";"Active";"Center Based Program License";"PO Box 514";"Bradford";"NH";03221;"Merrimack";(603) 938-2442;"134 East Main Street";"Bradford";"NH";03221;"Merrimack";(603) 938-2442;"Carolyn";"Betz";18;;;2;12
"A Place To Grow";"Jennifer Briggs";"CCCB-05936";"Active";"Center Based Program License";"6 Forest Street";"Exeter";"NH";03833;"Rockingham";(603) 679-1660;"436 Route 125";"Brentwood";"NH";03833;"Rockingham";(603) 679-1660;"Jennifer  ";"Briggs";45;6;;;13
"YMCA School's Out - Brentwood";"Southern District YMCA Camp Lincoln, Inc.";"CCCB-05654";"Active";"Center Based Program License";"PO Box 925";"Kingston";"NH";03848;"Rockingham";(603) 642-3361;"355 Middle Road";"Brentwood";"NH";03833;"Rockingham";(603) 642-3361;"Alissa";"Conlon";45;;;5;15
"Donna Clarke's Family Day Care";"Donna Clarke";"CCFB-04861";"Active";"Family Based Program License";"17 Sanborn Way";"Brentwood";"NH";03833;"Rockingham";(603) 679-2771;"17 Sanborn Way";"Brentwood";"NH";03833;"Rockingham";(603) 679-2771;"Donna     ";"Clarke";9;6;;;15
"Piggyback Rides and Slippery Slides";"Danielle Belliveau";"CCCB-06646";"Active";"Center Based Program License";"12 Bristol Hill Road";"Bristol";"NH";03222;"Grafton";(603) 744-9448;"12 Bristol Hill Road";"Bristol";"NH";03222;"Grafton";(603) 744-9448;"Carrie";"Hanley";56;6;;;8
"PB & J's Child Care and Learning Center";"PB & J's Family Child Care & Learning Center, LLC";"CCCB-06486";"Active";"Center Based Program License";"1420 Peaked Hill Road";"Bristol";"NH";03222;"Grafton";(603) 744-0048;"1420 Peaked Hill Road";"Bristol";"NH";03222;"Grafton";(603) 744-0048;"Caitlin";"Downs";24;6;;;12
"Brookline After School Program @ RMMS";"Brookline After School Program, Inc.";"CCCB-04595";"Active";"Center Based Program License";"55 Route 13, #4";"Brookline";"NH";03033;"Hillsborough";(603) 801-4802;"22 Milford Road";"Brookline";"NH";03033;"Hillsborough";(603) 801-4802;"Christina ";"Cunningham";54;;;5;13
"Brookline After School Program At The Academy";"Brookline After School Program, Inc.";"CCCB-05439";"Active";"Center Based Program License";"55 Route 13, #4";"Brookline";"NH";03033;"Hillsborough";(603) 801-4802;"24 Townsend Hill Road";"Brookline";"NH";03033;"Hillsborough";(603) 801-4802;"Donna     ";"Shalek";45;;;5;13
"Little Ones Family Child Care";"Lisa Simpson";"CCFB-05356";"Active";"Family Based Program License";"12 Laurel Crest Drive";"Brookline";"NH";03033;"Hillsborough";(603) 249-1171;"12 Laurel Crest Drive";"Brookline";"NH";03033;"Hillsborough";(603) 249-1171;"Lisa      ";"Simpson";15;12;;;14
"Te-Lo-Ca Group Day Care Center";"Priscilla J. Moody-Eastman";"CCCB-01546";"Active";"Center Based Program License";"16 Teloca Drive";"Campton";"NH";03223;"Grafton";(603) 536-3755;"16 Teloca Drive";"Campton";"NH";03223;"Grafton";(603) 536-3755;"Priscilla ";"Moody-Eastman";24;6;;;12
