"Faclity ID";"Visit Type";"Visit Date";"Visit Result";"Document URL"
"CCCB-06716";"Renewal";"5/31/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06716_05312018+Visit.pdf&document_id=0902a1e38002a862"
"CCCB-06716";"Revision";"5/4/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06716_05042018+Visit.pdf&document_id=0902a1e380026f0e"
"CCCB-06716";"Monitoring";"2/27/2017";"NCSOF Issued";
"CCCB-06716";"Permit to Full";"3/1/2016";"No Violations Found";
"CCCB-06469";"Renewal";"2/18/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06469_02182020+Visit.pdf&document_id=0902a1e38006cb29"
"CCCB-06469";"Monitoring";"1/3/2019";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06469_01032019+Visit.pdf&document_id=0902a1e380035d4b"
"CCCB-06469";"Monitoring";"3/12/2018";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06469_03122018+Visit.pdf&document_id=0902a1e380026a41"
"CCCB-06469";"Monitoring";"5/11/2017";"NCSOF Issued";
"CCCB-06469";"Renewal";"12/16/2016";"No Violations Found";
"CCCB-00643";"Monitoring";"9/29/2020";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00643_09292020+Visit.pdf&document_id=0902a1e38009b019"
"CCCB-00643";"Renewal";"9/13/2019";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00643_09132019+Visit.pdf&document_id=0902a1e38005b158"
"CCCB-00643";"Monitoring";"10/2/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00643_10022018+Visit.pdf&document_id=0902a1e380031694"
"CCCB-00643";"Monitoring";"5/11/2017";"NCSOF Issued";
"CCCB-00643";"Renewal";"10/4/2016";"No Violations Found";
"CCCB-04595";"Monitoring";"12/5/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=04595_12052019+Visit.pdf&document_id=0902a1e38005c5b5"
"CCCB-04595";"Renewal";"10/11/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=04595_10112018+Visit.pdf&document_id=0902a1e3800386ba"
"CCCB-04595";"Monitoring";"12/14/2017";"Violations Found-SOF Issued";
"CCCB-04595";"Revision";"7/26/2017";"No Violations Found";
"CCCB-04595";"Monitoring";"10/28/2016";"Violations Found-SOF Issued";
"CCCB-05439";"Monitoring";"12/5/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05439_12052019+Visit.pdf&document_id=0902a1e380061c4d"
"CCCB-05439";"Renewal";"9/6/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05439_09062018+Visit.pdf&document_id=0902a1e38002eab5"
"CCCB-05439";"Monitoring";"12/21/2017";"Violations Found-SOF Issued";
"CCCB-05439";"Monitoring";"12/15/2016";"Violations Found-SOF Issued";
"CCCB-06871";"Monitoring";"3/13/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06871_03132020+Visit.pdf&document_id=0902a1e380073d04"
"CCCB-06871";"Permit to Full";"6/27/2019";"NCSOF Issued";
"CCCB-06871";"New";"3/8/2019";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06871_03082019+Visit.pdf&document_id=0902a1e3800398cb"
"CCFB-05356";"Renewal";"9/25/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05356_09252020+Visit.pdf&document_id=0902a1e38009adcb"
"CCFB-05356";"Monitoring";"5/28/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05356_05282019+Visit.pdf&document_id=0902a1e38004eb0e"
"CCFB-05356";"Monitoring";"9/6/2018";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05356_09062018+Visit.pdf&document_id=0902a1e38002db1e"
"CCFB-05356";"Renewal";"10/10/2017";"NCSOF Issued";
"CCFB-05356";"Monitoring";"3/9/2016";"Violations Found-SOF Issued";
"CCCB-06804";"Renewal";"8/25/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06804_08252020+Visit.pdf&document_id=0902a1e3800a0622"
"CCCB-06804";"Monitoring";"5/1/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06804_05012019+Visit.pdf&document_id=0902a1e3800458ce"
"CCCB-06804";"Permit to Full";"1/31/2018";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06804_01312018+Visit.pdf&document_id=0902a1e3800252c5"
"CCCB-06804";"New";"7/26/2017";"No Violations Found";
"CCCB-05692";"Monitoring";"5/17/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05692_05172019+Visit.pdf&document_id=0902a1e380044bbe"
"CCCB-05692";"Monitoring";"11/6/2018";"Violations Found-SOF Issued";
"CCCB-05692";"Renewal";"11/1/2017";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05692_11012017+Visit.pdf&document_id=0902a1e38001fed3"
"CCCB-05692";"Monitoring";"4/12/2016";"Violations Found-SOF Issued";
"CCCB-06473";"Renewal";"1/30/2020";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06473_01302020+Visit.pdf&document_id=0902a1e38005dfa9"
"CCCB-06473";"Monitoring";"5/17/2019";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06473_05172019+Visit.pdf&document_id=0902a1e380041057"
"CCCB-06473";"Monitoring";"11/6/2018";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06473_11062018+Visit.pdf&document_id=0902a1e380034eb3"
"CCCB-06473";"Monitoring";"10/10/2017";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06473_10102017+Visit.pdf&document_id=0902a1e38001d045"
"CCCB-06473";"Renewal";"12/15/2016";"NCSOF Issued";
"CCCB-06752";"Monitoring";"1/10/2020";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06752_01102020+Visit.pdf&document_id=0902a1e38005ca58"
"CCCB-06752";"Renewal";"5/30/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06752_05302019+Visit.pdf&document_id=0902a1e38004d75b"
"CCCB-06752";"Monitoring";"7/10/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06752_07102018+Visit.pdf&document_id=0902a1e380032e7c"
"CCCB-06752";"Monitoring";"12/19/2017";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06752_12192017+Visit.pdf&document_id=0902a1e380022fd3"
"CCCB-06752";"Revision";"8/29/2017";"No Violations Found";
"CCCB-06752";"Permit to Full";"11/4/2016";"NCSOF Issued";
"CCCB-06752";"New";"5/26/2016";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06752_05262016+Visit.pdf&document_id=0902a1e380014e83"
"CCFB-04393";"Monitoring";"1/24/2020";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=04393_01242020+Visit.pdf&document_id=0902a1e38005ca9e"
"CCFB-04393";"Renewal";"6/14/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=04393_06142019+Visit.pdf&document_id=0902a1e38004a0cc"
"CCFB-04393";"Monitoring";"6/5/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=04393_06052018+Visit.pdf&document_id=0902a1e38002adf9"
"CCFB-04393";"Monitoring";"1/27/2017";"Violations Found-SOF Issued";
"CCFB-04393";"Renewal";"7/18/2016";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=04393_07182016+Visit.pdf&document_id=0902a1e38001584e"
"CCCB-06550";"Monitoring";"3/3/2020";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06550_03032020+Visit.pdf&document_id=0902a1e38006856b"
"CCCB-06550";"Monitoring";"6/18/2019";"No Violations Found";
"CCCB-06550";"Renewal";"6/8/2018";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06550_06082018+Visit.pdf&document_id=0902a1e38002b90e"
"CCCB-06550";"Monitoring";"1/27/2017";"NCSOF Issued";
"CCCB-06550";"Monitoring";"6/28/2016";"No Violations Found";
"CCCB-06800";"Monitoring";"4/8/2019";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06800_04082019+Visit.pdf&document_id=0902a1e38003c5fd"
"CCCB-06800";"Permit to Full";"3/9/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06800_03092018+Visit.pdf&document_id=0902a1e3800264cc"
"CCCB-06800";"New";"7/28/2017";"No Violations Found";
"CCCB-06926";"Permit to Full";"3/2/2020";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06926_03022020+Visit.pdf&document_id=0902a1e38006c8dc"
"CCCB-06926";"New";"11/5/2019";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06926_11052019+Visit.pdf&document_id=0902a1e380052f0a"
"CCCB-06925";"Permit to Full";"3/11/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06925_03112020+Visit.pdf&document_id=0902a1e38006ec19"
"CCCB-06925";"New";"11/4/2019";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06925_11042019+Visit.pdf&document_id=0902a1e380052f87"
"CCCB-06522";"Renewal";"9/29/2020";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06522_09292020+Visit.pdf&document_id=0902a1e38009a7b6"
"CCCB-06522";"Monitoring";"1/3/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06522_01032019+Visit.pdf&document_id=0902a1e380039fc1"
"CCCB-06522";"Monitoring";"3/12/2018";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06522_03122018+Visit.pdf&document_id=0902a1e3800253dd"
"CCCB-06522";"Renewal";"5/30/2017";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06522_05302017+Visit.pdf&document_id=0902a1e380019db6"
"CCCB-06522";"Monitoring";"3/11/2016";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06522_03112016+Visit.pdf&document_id=0902a1e380003752"
"CCCB-03001";"Renewal";"9/27/2019";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=03001_09272019+Visit.pdf&document_id=0902a1e380058f88"
"CCCB-03001";"Monitoring";"11/8/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=03001_11082018+Visit.pdf&document_id=0902a1e3800364ba"
"CCCB-03001";"Monitoring";"11/2/2017";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=03001_11022017+Visit.pdf&document_id=0902a1e3800239d7"
"CCCB-03001";"Renewal";"9/19/2016";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=03001_09192016+Visit.pdf&document_id=0902a1e380017287"
"CCCB-02919";"Monitoring";"2/7/2020";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02919_02072020+Visit.pdf&document_id=0902a1e38005fa40"
"CCCB-02919";"Renewal";"3/18/2019";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02919_03182019+Visit.pdf&document_id=0902a1e38003ae16"
"CCCB-02919";"Monitoring";"4/20/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02919_04202018+Visit.pdf&document_id=0902a1e380027d65"
"CCCB-02919";"Monitoring";"2/2/2017";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02919_02022017+Visit.pdf&document_id=0902a1e38001886e"
"CCCB-02919";"Renewal";"6/6/2016";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02919_06062016+Visit.pdf&document_id=0902a1e380014cae"
"CCCB-05916";"Renewal";"3/3/2020";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05916_03032020+Visit.pdf&document_id=0902a1e38006952e"
"CCCB-05916";"Monitoring";"6/11/2019";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05916_06112019+Visit.pdf&document_id=0902a1e380043933"
"CCCB-05916";"Monitoring";"9/11/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05916_09112018+Visit.pdf&document_id=0902a1e380030d14"
"CCCB-05916";"Renewal";"4/6/2017";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05916_04062017+Visit.pdf&document_id=0902a1e380019388"
"CCCB-05916";"Monitoring";"10/24/2016";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=05916_10242016+Visit.pdf&document_id=0902a1e380016224"
"CCCB-06065";"Renewal";"1/8/2019";"NCSOF Issued";
"CCCB-06065";"Monitoring";"1/10/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06065_01102018+Visit.pdf&document_id=0902a1e38002525e"
"CCCB-06065";"Monitoring";"6/12/2017";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06065_06122017+Visit.pdf&document_id=0902a1e380019a2c"
"CCCB-06065";"Monitoring";"11/21/2016";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06065_11212016+Visit.pdf&document_id=0902a1e380017824"
"CCCB-06828";"Licensed Complaint";"12/31/2019";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06828_12312019+Visit.pdf&document_id=0902a1e38005ea59"
"CCCB-06828";"Monitoring";"3/29/2019";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06828_03292019+Visit.pdf&document_id=0902a1e38003b69c"
"CCCB-06828";"Permit to Full";"6/25/2018";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06828_06252018+Visit.pdf&document_id=0902a1e38002b664"
"CCCB-06828";"New";"3/30/2018";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06828_03302018+Visit.pdf&document_id=0902a1e38002553b"
"CCCB-02184";"Monitoring";"12/19/2019";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02184_12192019+Visit.pdf&document_id=0902a1e38005ae22"
"CCCB-02184";"Renewal";"8/3/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02184_08032018+Visit.pdf&document_id=0902a1e38002fd6c"
"CCCB-02184";"Licensed Complaint";"11/2/2017";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02184_11022017+Visit.pdf&document_id=0902a1e380021d5f"
"CCCB-02184";"Monitoring";"10/6/2017";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02184_10062017+Visit.pdf&document_id=0902a1e38002310a"
"CCCB-02184";"Monitoring";"11/21/2016";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02184_11212016+Visit.pdf&document_id=0902a1e380018e3e"
"CCFB-06196";"Monitoring";"2/1/2019";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06196_02012019+Visit.pdf&document_id=0902a1e38003729f"
"CCFB-06196";"Monitoring";"6/29/2018";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06196_06292018+Visit.pdf&document_id=0902a1e38002aed6"
"CCFB-06196";"Renewal";"10/18/2017";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06196_10182017+Visit.pdf&document_id=0902a1e38001ddd9"
"CCFB-06196";"Monitoring";"5/6/2016";"Violations Found-SOF Issued";
"CCCB-00846";"Monitoring";"2/14/2020";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00846_02142020+Visit.pdf&document_id=0902a1e3800636d1"
"CCCB-00846";"Renewal";"8/27/2019";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00846_08272019+Visit.pdf&document_id=0902a1e38004c064"
"CCCB-00846";"Monitoring";"5/21/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00846_05212018+Visit.pdf&document_id=0902a1e38002c14d"
"CCCB-00846";"Monitoring";"9/13/2017";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00846_09132017+Visit.pdf&document_id=0902a1e38001d3a4"
"CCCB-00846";"Renewal";"8/25/2016";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=00846_08252016+Visit.pdf&document_id=0902a1e380015813"
"CCCB-02198";"Renewal";"3/25/2019";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02198_03252019+Visit.pdf&document_id=0902a1e38003c6c8"
"CCCB-02198";"Monitoring";"8/3/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02198_08032018+Visit.pdf&document_id=0902a1e38002e366"
"CCCB-02198";"Monitoring";"12/11/2017";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02198_12112017+Visit.pdf&document_id=0902a1e3800255f8"
"CCCB-02198";"Revision";"6/13/2017";"No Violations Found";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02198_06132017+Visit.pdf&document_id=0902a1e380019a0e"
"CCCB-02198";"Licensed Complaint";"8/5/2016";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02198_08052016+Visit.pdf&document_id=0902a1e380015b05"
"CCCB-02198";"Renewal";"3/11/2016";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02198_03112016+Visit.pdf&document_id=0902a1e380003910"
"CCCB-02808";"Monitoring";"9/26/2019";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02808_09262019+Visit.pdf&document_id=0902a1e38004f23b"
"CCCB-02808";"Renewal";"12/6/2018";"NCSOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02808_12062018+Visit.pdf&document_id=0902a1e38003851f"
"CCCB-02808";"Monitoring";"10/3/2017";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02808_10032017+Visit.pdf&document_id=0902a1e38002661c"
"CCCB-02808";"Renewal";"3/18/2016";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=02808_03182016+Visit.pdf&document_id=0902a1e38000389b"
"CCCB-06331";"Licensed Complaint";"12/19/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06331_12192018+Visit.pdf&document_id=0902a1e380089db4"
"CCCB-06331";"Licensed Complaint";"8/7/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06331_08072018+Visit.pdf&document_id=0902a1e38003490b"
"CCCB-06331";"Renewal";"5/31/2018";"Violations Found-SOF Issued";"https://forms.nh.gov/licenseverification/Download.aspx?saveas=06331_05312018+Visit.pdf&document_id=0902a1e38002b1ea"
"CCCB-06331";"Monitoring";"3/13/2017";"Violations Found-SOF Issued";
"CCCB-06331";"Monitoring";"7/7/2016";"Violations Found-SOF Issued";
