"Facility ID";"Name";"Programm Type";"City";"Phone";"County";"Zip";"Addess";"Addess1";"Email";"License Status"
"CCCB-06687";"The Children's Greenhouse";"Center Based Program License";"Merrimack";6033776136;"Hillsborough";"'03054";"401 Daniel Webster Highway, Suite 4";;;"Active"
"CCCB-06933";"The Nest Infant and Toddler Development Center";"Center Based Program License";"Merrimack";;"Hillsborough";"'03054";"4 John Tyler Street";;;"Permit Issued"
"CCCB-01583";"Tollhouse Preschool";"Center Based Program License";"Merrimack";6034290337;"Hillsborough";"'03054";"322 Daniel Webster Highway";;;"Active"
"CCCB-04888";"Early Learning Center Of Milford";"Center Based Program License";"Milford";6036721949;"Hillsborough";"'03055";"352 Elm Street";;;"Active"
"CCCB-02972";"Growing Imaginations Early Learning Center";"Center Based Program License";"Milford";6036739662;"Hillsborough";"'03055";"188 Elm Street";;"tammie@growingimaginationsnh.com";"Active"
"CCCB-06350";"Jacques Extension School Age Program";"Center Based Program License";"Milford";6038016001;"Hillsborough";"'03055";"9 Elm Street";;;"Active"
"CCCB-04032";"Little Arrows Child Care Services";"Center Based Program License";"Milford";6036737975;"Hillsborough";"'03055";"365 South Street";;;"Active"
"CCCB-06463";"New Morning Before School Program @ Jacques Memorial";"Center Based Program License";"Milford";6036693591;"Hillsborough";"'03055";"9 Elm Street";;;"Active"
"CCCB-06158";"The Boys and Girls Club of Souhegan Valley - Early Education Program";"Center Based Program License";"Milford";6036721002;"Hillsborough";"'03055";"56 Mont Vernon Street";;;"Active"
"CCCB-01660";"Girls Incorporated of New Hampshire";"Center Based Program License";"Nashua";6038826256;"Hillsborough";"'03060";"27 Burke Street";;;"Active"
"CCCB-00569";"Humpty Dumpty Learning Center";"Center Based Program License";"Nashua";6038826075;"Hillsborough";"'03060";"22 Lovewell Street";;;"Active"
"CCCB-05396";"Kids Club";"Center Based Program License";"Nashua";6038893825;"Hillsborough";"'03060";"47 Grand Avenue";;;"Active"
"CCCB-05199";"KinderCare Learning Center";"Center Based Program License";"Nashua";6038971255;"Hillsborough";"'03060";"3 Holiday Circle";;;"Active"
"CCFB-06825";"Lissa's Mini Blossom's Childcare";"Family Based Program License";"Nashua";6036895686;"Hillsborough";"'03060";"59 Blossom Street";;;"Active"
"CCCB-00885";"Little Pilgrim School";"Center Based Program License";"Nashua";6038809249;"Hillsborough";"'03060";"4 Watson Street";;;"Active"
"CCCB-04614";"Marguerite's Place";"Center Based Program License";"Nashua";6035981582;"Hillsborough";"'03060";"87 Palm Street";;;"Active"
"CCCB-03017";"Nashua Adult Learning Center - Annex";"Center Based Program License";"Nashua";6038829080;"Hillsborough";"'03060";"40 Arlington Street";;;"Active"
"CCCB-05621";"Nashua Adult Learning Center - Dr. Crisp";"Center Based Program License";"Nashua";6038829080;"Hillsborough";"'03060";"50 Arlington Street";;;"Active"
"CCCB-00633";"Nashua Adult Learning Center - Early Childhood Adventures Program";"Center Based Program License";"Nashua";"6038829080x216";"Hillsborough";"'03060";"4 Lake Street";;;"Active"
"CCCB-00597";"Nashua Child Learning Center";"Center Based Program License";"Nashua";6038834356;"Hillsborough";"'03060";"5 Saint Laurent Street";;;"Active"
"CCRB-04431";"Nashua Children's Home - Concord Street";"Residential Based Program License";"Nashua";6038833851;"Hillsborough";"'03060";"86 Concord Street";;;"Active"
"CCFB-06799";"Olga's Family Daycare";"Family Based Program License";"Nashua";6039433946;"Hillsborough";"'03060";"32 Wilder Street";;;"Active"
"CCCB-05613";"School Age Adventures @ Fairgrounds";"Center Based Program License";"Nashua";6038829080;"Hillsborough";"'03060";"37 Blanchard Street";;;"Active"
"CCCB-05591";"School Age Adventures @ Sunset Heights";"Center Based Program License";"Nashua";"6038829080x318";"Hillsborough";"'03060";"15 Osgood Street";;;"Active"
"CCFB-06941";"Small Adventures";"Family Based Program License";"Nashua";6035304271;"Hillsborough";"'03060";"13 Alder Drive";;;"Active"
"CCCB-06388";"Southern New Hampshire Services Early Head Start - Nashua";"Center Based Program License";"Nashua";6035781732;"Hillsborough";"'03060";"88 Temple Street";;;"Active"
"CCCB-04432";"Southern NH Services - 11th Street Head Start";"Center Based Program License";"Nashua";8008826278;"Hillsborough";"'03060";"24 Eleventh Street";;;"Active"
"CCCB-02923";"Southern NH Services - Bronstein Head Start";"Center Based Program License";"Nashua";6038823384;"Hillsborough";"'03060";"41 Central Street";;;"Active"
"CCCB-04819";"Southern NH Services Child Development Center";"Center Based Program License";"Nashua";6038897812;"Hillsborough";"'03060";"134 Allds Street";;;"Active"
"CCCB-06630";"Wise Owl Academy";"Center Based Program License";"Nashua";6038833016;"Hillsborough";"'03060";"4 Merrit Parkway";;;"Permit Issued"
"CCFB-06436";"Yeni's Day Care";"Family Based Program License";"Nashua";6039305445;"Hillsborough";"'03060";"136 Kinsley Street";;;"Active"
"CCCB-02896";"Minds In Motion";"Center Based Program License";"Nashua";6038831036;"Hillsborough";"'03061";"317-319 West Hollis Street";;;"Active"
"CCCB-06510";"Granite Start Early Learning Center";"Center Based Program License";"Nashua";6038803353;"Hillsborough";"'03062";"100 Perimeter Road";;;"Active"
"CCCB-06783";"Little Sprouts";"Center Based Program License";"Nashua";6038094220;"Hillsborough";"'03062";"1 Tara Boulevard";;;"Active"
"CCFB-06310";"Luv Bugs Forever";"Family Based Program License";"Nashua";6038800415;"Hillsborough";"'03062";"11 Jennifer Drive";;;"Active"
"CCCB-05611";"Nashua Adult Learning Center - Main Dunstable";"Center Based Program License";"Nashua";6038829080;"Hillsborough";"'03062";"20 Whitford Road";;;"Active"
"CCCB-05589";"School Age Adventures @ Bicentennial";"Center Based Program License";"Nashua";"6038829080X303";"Hillsborough";"'03062";"296 East Dunstable Road";;;"Active"
"CCCB-05603";"School Age Adventures @ New Searles";"Center Based Program License";"Nashua";"6038829080X315";"Hillsborough";"'03062";"39 Shady Lane";;;"Active"
"CCCB-06786";"The Launching Pad by Basic Beginnings";"Center Based Program License";"Nashua";6038806395;"Hillsborough";"'03062";"53 Northeastern Boulevard";;;"Active"
"CCCB-06961";"The Launching Pad by Basic Beginnings Learning and Development Center";"Center Based Program License";"Nashua";;"Hillsborough";"'03062";"53 Northeastern Blvd.";;;"Permit Issued"
"CCCB-00843";"World Academy";"Center Based Program License";"Nashua";6038881982;"Hillsborough";"'03062";"138 Spit Brook Road";;;"Active"
"CCCB-04934";"Almost Angels Preschool";"Center Based Program License";"Nashua";6038830970;"Hillsborough";"'03063";"275 Broad Street";;;"Active"
"CCCB-00680";"Chapel School";"Center Based Program License";"Nashua";6038826142;"Hillsborough";"'03063";"3 Lutheran Drive";;;"Active"
"CCCB-06743";"Child Life Child Care Center";"Center Based Program License";"Nashua";6035218777;"Hillsborough";"'03063";"5 Norwood Street";;;"Active"
"CCFB-05432";"Little Treasures";"Family Based Program License";"Nashua";6035984497;"Hillsborough";"'03063";"71 Dublin Avenue";;;"Active"
"CCFB-05082";"Mena's Child Care";"Family Based Program License";"Nashua";6035989258;"Hillsborough";"'03063";"4 Derry Street";;;"Active"
"CCCB-05612";"Nashua Adult Learning Center - Birch Hill";"Center Based Program License";"Nashua";6038829080;"Hillsborough";"'03063";"17 Birch Hill Drive";;;"Active"
"CCCB-05588";"School Age Adventures @ Broad Street";"Center Based Program License";"Nashua";"6038809080x305";"Hillsborough";"'03063";"390 Broad Street";;;"Active"
"CCCB-05704";"The Goddard School";"Center Based Program License";"Nashua";6035942800;"Hillsborough";"'03063";"8 Townsend West";;;"Active"
"CCCB-06787";"Ware To Grow";"Center Based Program License";"Nashua";6039211146;"Hillsborough";"'03063";"8 Dixville Street";;;"Active"
"CCFB-06816";"Charlotte Street Early Education and Care";"Family Based Program License";"Nashua";6034658795;"Hillsborough";"'03064";"#1 Charlotte Street";;;"Active"
"CCCB-00966";"Children's Winter Garden with White Wing School";"Center Based Program License";"Nashua";6038821041;"Hillsborough";"'03064";"58 Lowell Street";;;"Active"
"CCCB-01056";"Creative Years Child Development And Learning Center";"Center Based Program License";"Nashua";6038807304;"Hillsborough";"'03064";"30 Broad Street";;;"Active"
"CCFB-04632";"Happy Hearts";"Family Based Program License";"Nashua";6038806575;"Hillsborough";"'03064";"12 Cushing Avenue";;;"Active"
"CCCB-05594";"Nashua Adult Learning Center - Mount Pleasant";"Center Based Program License";"Nashua";"6038829080X314";"Hillsborough";"'03064";"10 Manchester Street";;;"Active"
"CCRB-01069";"Nashua Children's Home";"Residential Based Program License";"Nashua";6038833851;"Hillsborough";"'03064";"125 Amherst Street";;;"Active"
"CCCB-05592";"School Age Adventures @ Charlotte Ave";"Center Based Program License";"Nashua";"6038829080x306";"Hillsborough";"'03064";"48 Charlotte Avenue";;;"Active"
"CCCB-04710";"YMCA of Greater Nashua Schools Out Program";"Center Based Program License";"Nashua";6038822011;"Hillsborough";"'03064";"24 Stadium Drive";;;"Active"
