Name;Credential Type;Credential Number;Status;Expiration Date;Disciplinary Action;Address;State;City;Zip;Phone#;First Issue Date;Primary Contact Name;Primary Contact Role;County
ADVENTURES IN LEARNING PRESCHOOL;GROUP CARE (PROVISIONAL);718-17;Active;09/30/2018;No;467 GYPSUM DRIVE;NV;SPRING CREEK;89815;775-397-3424;01/01/2015;REBECCA NAHNACASSIA;Person in Charge;ELKO
ALL ABOUT KIDS DAY CARE;GROUP CARE;1119-18;Active;05/31/2019;No;1508 SILVER RAIN AVE;NV;LAS VEGAS;89123;702-463-6643;06/01/2015;NORA MORALES CACERES;Director;CLARK
ALLIE AND FRIENDS INFANT/TODDLER NURSERY;CENTER;1487-18;Active;05/31/2019;No;1695 COUNTY RD;NV;MINDEN;89423;775-783-7200;06/08/2015;MARIA HARTMAN-RUBIO;Director;DOUGLAS
ANGEL CHILD CARE;FAMILY CARE;1472-19;Active;12/31/2019;No;243 PLEASANT PEBBLE ST;NV;HENDERSON;89074;702-818-5066;01/01/2017;SEDIGHEH GHAIEMY MAHDAVY;Person in Charge;CLARK
ANGEL'S CHRISTIAN ACADEMY;CENTER;1432-19;Active;03/31/2020;No;2720 CRYSTAL WATER WAY;NV;LAS VEGAS;89117;702-270-2141;04/01/2014;JESSICA KENNEDY;Director;CLARK
ANGELS DAYCARE;FAMILY CARE;1073-19;Active;03/31/2020;No;1612 AMALFI COURT;NV;LAS VEGAS;89117;702-413-8818;04/01/2015;AGAVNI OVAGUIMIAN;Person in Charge;CLARK
APRENDE ACADEMY PRE-K @ PINECREST ACADEMY INSPIRADA;CENTER (PROVISIONAL);1499-18;Active;07/31/2019;No;2840 VIA CONTESSA;NV;HENDERSON;89044;702-473-5777;06/01/2017;JENNIFER KAISER;Director;CLARK
APRENDE ACADEMY PRE-K @ RED ROCK CAMPUS;CENTER;2041-18;Active;08/31/2019;N/A;626 CROSSBRIDGE DRIVE;NV;LAS VEGAS;89138;702-431-6260;08/01/2017;SHANNON KILLEEN;Person in Charge;CLARK
APRENDE ACADEMY PRE-K DORAL PEBBLE;CENTER;2274-18;Active;08/31/2019;N/A;6435 W. PEBBLE RD;NV;LAS VEGAS;89139;;09/01/2017;RHIANNON JOEL;Director;CLARK
APRENDE ACADEMY PRE-K DORAL SADDLE;CENTER;2427-18;Active;08/31/2019;N/A;9625 W. SADDLE AVE;NV;LAS VEGAS;89147;;08/29/2018;SHANNON KILLEEN;Other;CLARK
ARTSY NANNIES;ACCOMMODATION;1965-18;Active;06/30/2019;N/A;6569 LAS VEGAS BLVD S.;NV;LAS VEGAS;89119;702-448-4352;07/01/2017;ANDREA VALLEE;Person in Charge;CLARK
AUNTIE CHELLES & PAPA BEARS CHILDCARE/PRESCHOOL;GROUP CARE;726-19;Active;12/31/2019;No;2509 PINEBROOK DRIVE;NV;CARSON CITY;89701;775-884-1414;01/01/2015;ROCHELLE MONIZ-LEWIS;Person in Charge;CARSON CITY
BABY UNIVERSITY NCA LEARNING CENTER;CENTER;2614-19;Active;04/30/2020;N/A;6000 W OAKEY BLVD;NV;LAS VEGAS;89146;702-482-0186;05/08/2019;YUYING FAN;Director;CLARK
BABYLAND INFANT CENTER & PRESCHOOL;CENTER;1289-18;Active;11/30/2019;No;4610 MONTERREY AVE;NV;LAS VEGAS;89121;702-458-2828;12/01/2016;BERNADETTE SIGARS;Director;CLARK
BABYLOVE & CARE INFANT CENTER II;CENTER;2040-19;Active;11/30/2019;N/A;2253 E. DESERT INN RD.;NV;LAS VEGAS;89169;702-731-4650;12/14/2016;ZENAIDA CRUZ;Director;CLARK
BEAUTIFUL SAVIOR LUTHERAN PRESCHOOL;CENTER;1185-19;Active;07/31/2019;No;10265 BERMUDA RD;NV;LAS VEGAS;89183;702-260-7660;11/08/2016;JENNIFER HEINY;Director;CLARK
BETHLEHEM LUTHERN CHURCH AND SCHOOL;CENTER;727-19;Active;12/31/2019;No;1837 N. MOUNTAIN STREET;NV;CARSON CITY;89703;775-882-6718;01/01/2015;HONEY LYNNE THOMAS;Director;CARSON CITY
BITTY BUDDIES;FAMILY CARE;789-18;Active;09/30/2019;No;74 ARCHER GLEN AVE;NV;HENDERSON;89002;702-458-1642;10/01/2014;DEBORAH LORDS;Person in Charge;CLARK
BOBBIE SUAREZ FAMILY CARE;FAMILY CARE;564-18;Active;10/31/2019;No;218 WHITE CLOUD CIR;NV;HENDERSON;89074;702-898-0536;11/01/2013;BARBARA SUAREZ;Owner;CLARK
BRIGHT HORIZONS AT MGM;CENTER;1412-18;Active;09/30/2019;No;3799 S. LAS VEGAS BLVD;NV;LAS VEGAS;89109;702-597-9925;11/01/2015;MARITZA ACEVEDO;Director;CLARK
BRIGHTER DAYS PRESCHOOL;CENTER;1918-19;Active;01/31/2020;N/A;1329 WATERLOO LANE;NV;GARDNERVILLE;89410;775-782-5500;02/18/2016;ANDREA ERICKSON;Director;DOUGLAS
BRILLIANT  CHILD CHRISTIAN ACADEMY;CENTER;1540-19;Active;02/29/2020;No;7885 W. ROCHELLE AVE;NV;LAS VEGAS;89147;702-889-0496;03/10/2016;CHRISTYN DOLOTINA-CAL;Director;CLARK
BRING'EM YOUNG ACADEMY;CENTER;1508-18;Active;08/31/2019;No;3980 W. ANN RD., STE 1;NV;NORTH LAS VEGAS;89031;702-273-9684;10/01/2017;GLORIA PHILLIPS;Director;CLARK
BUILDING BLOCKS CHILD CARE;CENTER;1239-19;Active;02/28/2020;No;7570 PEACE WAY;NV;LAS VEGAS;89147;702-873-7340;03/01/2015;SHIRLEY PINKNEY;Director;CLARK
BUILDING BLOCKS DAYCARE;GROUP CARE;1453-18;Active;09/30/2019;No;219 SOUTH CENTER STREET;NV;YERINGTON;89447;775-846-2250;10/01/2015;JOELLA WHITESIDES;Person in Charge;LYON
BYCC ACADEMY;CENTER;1554-19;Active;02/28/2020;No;8551 VEGAS DR;NV;LAS VEGAS;89128;702-901-8383;08/01/2017;SHAINA ATTAL;Director;CLARK
CALVARY CHAPEL PRESCHOOL SPRING VALLEY;CENTER;1266-19;Active;02/28/2020;No;7175 W. OQUENDO RD;NV;LAS VEGAS;89113;702-248-8879;06/16/2017;JULIE PROUD;Director;CLARK
CANDIL HALL EARLY CHILDHOOD EDUCATION;CENTER;1019-19;Active;01/31/2020;No;5348 N. RAINBOW BLVD;NV;LAS VEGAS;89130;702-656-3370;10/01/2015;JHONNA DILLER;Director;CLARK
CARING 4 CUBS LEARNING CENTER;GROUP CARE;844-18;Active;08/31/2019;No;526 POPLAR DRIVE;NV;SPRING CREEK;89815;775-738-5178;09/01/2015;STEPHANIE MOYE;Person in Charge;ELKO
CARLIN FAMILY CARE;FAMILY CARE;302-19;Active;04/30/2020;No;2035 CARDIGAN AVE;NV;NORTH LAS VEGAS;89032;702-647-0989;04/19/2016;ROSALINA CARLIN;Director;CLARK
CARMEN'S DAYCARE;FAMILY CARE;2289-18;Active;10/31/2019;N/A;4817 RUSH SPRINGS DR;NV;LAS VEGAS;89139;907-727-3566;11/06/2017;CARMENZA RAMIREZ;Owner;CLARK
CARROUSEL FAMILY CHILD CARE INC.;GROUP CARE;1379-18;Active;09/30/2019;No;2191 S. VALENTINE AVE;NV;PAHRUMP;89048;775-751-2722;10/01/2016;SUZANNE YORDY;Director;NYE
CARSON CITY PARKS AND RECREATION DEPARTMENT;PERMITS;001-17;Active;05/31/2020;No;201 N CARSON ST;NV;CARSON CITY;89701;;06/01/2014;BARBARA OWNES;Other;CARSON CITY
CASCOS FAMILY DAYCARE;GROUP CARE;1164-18;Active;09/30/2019;No;1668 GATEWAY AVE;NV;LAS VEGAS;89104;702-241-9023;10/01/2016;OLGA CASCOS;Owner;CLARK
CDI HS MS - NV - WINNEMUCCA;CENTER;2501-18;Active;07/31/2019;N/A;1095 SOUTH BRIDGE STREET;NV;WINNEMUCCA;89445;775-285-5267;08/30/2018;ROMELIA JAIME;Director;HUMBOLDT
CDI HS MS-NV-FALLON;CENTER;2502-18;Active;07/31/2019;N/A;531 HUMBOLDT STREET;NV;FALLON;89406;775-238-4853;08/30/2018;VERONICA LYONS;Director;CHURCHILL
CDI HS MS-NV-YERINGTON;CENTER;2504-18;Active;08/31/2019;N/A;311 VIRGINIA STREET;NV;YERINGTON;89447;775-238-4854;09/07/2018;DEBORAH KAUFMAN;Director;LYON
CELIDA PADILLA;FAMILY CARE;1168-19;Active;03/31/2020;No;3221 MONACO SHORES DR;NV;LAS VEGAS;89117;702-253-3985;04/01/2017;CELIDA PADILLA;Person in Charge;CLARK
CHABAD - TORAH TOTS PRESCHOOL;CENTER;1108-18;Active;08/31/2019;No;1312 VISTA DR;NV;LAS VEGAS;89102;702-259-1000;10/01/2013;DINA HARLIG;Director;CLARK
CHALLENGER SCHOOL - LONE MOUNTAIN;CENTER;978-18;Active;09/30/2019;No;9900 ISAAC NEWTON WAY;NV;LAS VEGAS;89129;702-878-6418;10/01/2016;DONNA GEENE;Director;CLARK
CHALLENGER SCHOOL - LOS PRADOS;CENTER;1085-19;Active;05/31/2019;No;5150 N. JONES BLVD;NV;LAS VEGAS;89130;702-839-1900;07/01/2015;JESSICA SPENCER;Director;CLARK
CHALLENGER SCHOOL - SILVERADO;CENTER;1240-19;Active;12/31/2019;No;1725 E. SERENE AVE;NV;LAS VEGAS;89123;702-990-7300;08/01/2016;BRENDA STEVENSON;Director;CLARK
CHALLENGER SCHOOL FOUNDATION;CENTER;1989-18;Active;07/31/2019;N/A;8175 W BADURA AVENUE;NV;LAS VEGAS;89113;702-410-7225;08/03/2016;KELLY MACFARLAND-SOLAEGUI;Director;CLARK
CHARLENE RATH;FAMILY CARE;1054-19;Active;03/31/2020;No;10748 SPRUCEDALE AVE;NV;LAS VEGAS;89144;702-217-7397;09/12/2014;CHARLENE RATH;Director;CLARK
CHERI DUNCAN'S HOME CHILD CARE;GROUP CARE;1328-18;Active;07/31/2019;No;6270 BRANDON COURT;NV;WINNEMUCCA;89445;775-560-8599;08/01/2015;CHERI DUNCAN;Person in Charge;HUMBOLDT
CHERIE'S FAMILY DAYCARE;FAMILY CARE;1449-18;Active;08/31/2019;No;1720 ANDY WAY;NV;FERNLEY;89408;775-302-3608;09/01/2015;CHERIE KOLLAR;Person in Charge;LYON
CHILD & FAMILY RESEARCH CENTER-COMSTOCK;CENTER;501-18;Active;07/31/2019;No;2420 COMSTOCK DRIVE;NV;RENO;89557;775-784-8026;09/01/2015;MARIELY SALAZAR;Director;WASHOE
CHILD & FAMILY RESEARCH CENTER-SF;CENTER;134-18;Active;10/31/2019;No;1664 N. VIRGINIA ST, MAIL STOP 0141;NV;RENO;89557;775-784-6762;02/01/2015;SHERRY WAUGH;Director;WASHOE
CHILD & FAMILY RESEARCH CENTER-WRB;CENTER;1424-19;Active;12/31/2019;No;1664 N. VIRGINIA ST, MAIL STOP 0141;NV;RENO;89557;775-784-4533;02/01/2015;MICHELLE SAUNDERS;Director;WASHOE
CHILD AND FAMILY RESEARCH CENTER-6TH ST;CENTER;2404-19;Active;03/31/2020;N/A;785 W 6TH ST;NV;RENO;89503;775-682-8487;04/26/2018;MARGARET SHELTON;Director;WASHOE
CHILD DEVELOPMENT CENTER;CENTER;255-18;Active;09/30/2019;No;2201 W. COLLEGE PKWY;NV;CARSON CITY;89703;775-445-4265;10/01/2015;ANNA LISA ACOSTA;Director;CARSON CITY
CHILD HAVEN;INSTITUTION;823-19;Active;12/31/2019;No;701 N. PECOS RD;NV;LAS VEGAS;89101;702-455-8430;07/15/2014;PATRICK BARKLEY;Director;CLARK
CHILDREN'S LEARNING ADVENTURE - ANN;CENTER (PROVISIONAL);1469-18;Active;01/31/2019;No;3470 W. ANN RD;NV;NORTH LAS VEGAS;89031;702-389-6133;02/23/2015;AIRIS POTTS;Director;CLARK
CHILDREN'S LEARNING ADVENTURE - DURANGO;CENTER (PROVISIONAL);1480-18;Active;02/28/2019;No;2836 S. DURANGO DR;NV;LAS VEGAS;89117;702-389-6135;04/01/2017;WENDY JOHNSTONE;Person in Charge;CLARK
CHILDREN'S LEARNING ADVENTURE - EASTERN;CENTER;1105-19;Active;07/31/2019;No;11183 S. EASTERN AVE;NV;HENDERSON;89052;702-269-0708;08/01/2015;JESSICA STENDER;Director;CLARK
CHILDREN'S LEARNING ADVENTURE - FARM;CENTER;2240-19;Active;05/31/2019;N/A;8420 FARM ROAD;NV;LAS VEGAS;89131;702-342-6851;06/01/2017;MICHELE FLAZER;Director;CLARK
CHILDREN'S LEARNING ADVENTURE - ROBINDALE;CENTER;1152-19;Active;04/30/2019;No;6980 W. ROBINDALE RD;NV;LAS VEGAS;89113;702-263-1292;05/01/2017;CHERIDA CLAUDIO;Director;CLARK
CHILDTIME LEARNING CENTER - EASTERN;CENTER;477-19;Active;12/31/2019;No;7980 S. EASTERN AVE;NV;HENDERSON;89123;702-361-1725;03/01/2014;STEPHANIE WILLIAMS;Director;CLARK
CHOSEN ONES CHILD CARE;FAMILY CARE;1454-18;Active;10/31/2019;No;7334 PERKINS HILL ST;NV;LAS VEGAS;89166;702-228-1512;11/01/2016;LYNCOLA MOORE;Owner;CLARK
CHRIST KIDS CHILD CENTER;CENTER;958-18;Active;08/31/2019;No;111 N. TORREY PINES DR;NV;LAS VEGAS;89107;702-878-1176;05/08/2014;MARIANNA PHILLIPS;Director;CLARK
CHRIST LUTHERAN PRESCHOOL;CENTER;623-19;Active;07/31/2019;No;55 BASTIAN ROAD;NV;BATTLE MOUNTAIN;89820;775-635-2290;09/01/2015;GAIL BRANNAN;Director;LANDER
CHRIST THE SERVANT LUTHERAN PRESCHOOL;CENTER;369-18;Active;09/30/2019;No;2 S. PECOS RD;NV;HENDERSON;89074;702-914-8782;11/01/2015;KELLY EVERLY;Director;CLARK
CHRISTIAN CENTER DAYCARE;CENTER;007-18;Active;08/31/2019;No;571 ADAMS BLVD;NV;BOULDER CITY;89005;702-293-7773;09/01/2015;PAMELA CARSTENSEN;Director;CLARK
CHRISTIAN CHILDCARE;FAMILY CARE;670-18;Active;08/31/2019;No;3234 SIMMONS ST;NV;NORTH LAS VEGAS;89032;702-340-3085;09/01/2012;RAHTREE HARMS;Person in Charge;CLARK
CHRISTIAN MONTESSORI ACADEMY;CENTER;1115-19;Active;12/31/2019;No;5580 S. PECOS RD;NV;LAS VEGAS;89120;702-451-5437;01/01/2014;VIRGINIA HOOD;Director;CLARK
CITY OF RENO;PERMITS;004-15;Active;09/30/2018;No;1 EAST FIRST STREET;NV;RENO;89512;;10/01/2015;ALAN RONEY;Director;WASHOE
CLARK COUNTY;PERMITS;003-15;Active;10/31/2018;No;2601 E. SUNSET RD.;NV;LAS VEGAS;89120;;11/23/2015;CLIFF FIELDS;Other;CLARK
COMMUNITY CHURCH CHRISTIAN CHILD CARE & PRESCHOOL;CENTER;997-19;Active;10/31/2019;No;360 E. HORIZON DR;NV;HENDERSON;89015;702-565-1503;07/01/2016;CHERISH MORGAN;Director;CLARK
CONGREGATION NER TAMID EARLY CHILDHOOD EDUCATION CENTER;CENTER;815-18;Active;07/31/2019;No;55 N. VALLE VERDE DR;NV;HENDERSON;89074;632-225-0215;09/01/2016;LONNIE KRITZLER;Director;CLARK
CORNERSTONE CHRISTIAN TYKES PRESCHOOL;CENTER;1230-18;Active;08/31/2019;No;5825 W. ELDORA AVE;NV;LAS VEGAS;89146;702-939-5050;09/01/2016;DEBORAH KAYE;Director;CLARK
CORONADO PREP;CENTER;1439-18;Active;05/31/2019;No;2650 SUNRIDGE HEIGHTS PKWY;NV;HENDERSON;89052;702-565-1223;06/01/2017;JENNIFER SULLIVAN;Director;CLARK
CREATIVE KIDS CO-OP;CENTER;224-18;Active;08/31/2019;No;19 LICHT PARKWAY;NV;SPRING CREEK;89815;775-753-5941;10/01/2015;ROBBIN MCCULLOUGH;Director;ELKO
CREATIVE KIDS FORT APACHE;CENTER;2195-19;Active;02/28/2020;N/A;2575 FORT APACHE RD.;NV;LAS VEGAS;89117;702-255-0443;03/09/2017;YAZMIN VALDEZ;Director;CLARK
CREATIVE KIDS RAINBOW;CENTER;2188-19;Active;02/28/2020;N/A;3220 N. RAINBOW RD.;NV;LAS VEGAS;89108;702-645-0001;03/09/2017;REBECCA FISCHER;Director;CLARK
CREATIVE KIDS-ALIANTE;CENTER;2189-19;Active;04/30/2020;N/A;2385 DEER SPRINGS WAY;NV;NORTH LAS VEGAS;89084;702-476-0009;01/30/2017;JULIE MATHEWS;Director;CLARK
CREATIVE KIDS-ALTA;CENTER;2192-18;Active;04/30/2019;N/A;10650 ALTA DRIVE;NV;LAS VEGAS;89144;702-366-1417;05/24/2017;KELLY REYNOLDS;Director;CLARK
CREATIVE KIDS-CRAIG;CENTER;2163-19;Active;02/28/2020;N/A;5001 CRAIG ROAD;NV;LAS VEGAS;89130;702-645-3734;03/09/2017;TRACY MAURO;Director;CLARK
CREATIVE KIDS-FARM;CENTER;2194-19;Active;02/28/2020;N/A;8355 FARM RD.;NV;LAS VEGAS;89131;702-395-7766;12/21/2017;KALEYAH SMALLS;Director;CLARK
CREATIVE KIDS-HARRIS;CENTER;2190-19;Active;02/28/2020;N/A;501 HARRIS;NV;HENDERSON;89015;702-565-0007;03/22/2017;PENNY SKELLY;Director;CLARK
CREATIVE KIDS-PEBBLE;CENTER;2191-19;Active;02/28/2020;N/A;4855 W. PEBBLE RD.;NV;LAS VEGAS;89139;702-270-7770;03/01/2017;ROSALY LIZARDO;Director;CLARK
CREATIVE KIDS-TORREY PINES;CENTER;2193-19;Active;02/28/2020;N/A;5125 S. TORREY PINES DRIVE;NV;LAS VEGAS;89118;702-364-2223;03/09/2017;BELINDA KELLY;Director;CLARK
CREATIVE KIDS-WIGWAM;CENTER;2196-19;Active;04/30/2020;N/A;2320 E. WIGWAM AVE.;NV;LAS VEGAS;89123;702-617-8131;05/24/2017;CINDY BROWN;Director;CLARK
CREATIVE LITTLE HANDS;GROUP CARE;1094-18;Active;06/30/2019;No;903 CADIZ AVE;NV;HENDERSON;89015;702-274-9188;06/01/2017;KARLENE CHAPPELL;Owner;CLARK
CREATIVITY CORNER PRESCHOOL AND NURSERY;CENTER;2333-19;Active;02/28/2020;N/A;2323 NORTH CARSON STREET;NV;CARSON CITY;89706;775-434-7168;02/28/2018;KASANDRA SHEPARD;Person in Charge;CARSON CITY
CROSSROADS CHRISTIAN ACADEMY;CENTER;1333-18;Active;07/31/2019;No;124 N. TENAYA WAY;NV;LAS VEGAS;89145;702-868-2767;09/01/2015;TAMMY LYN CROSS;Director;CLARK
CSA COTTONWOOD HEAD START;CENTER;665-19;Active;02/28/2020;No;915 FARM DISTRICT ROAD;NV;FERNLEY;89408;775-575-9870;09/01/2015;ANGIE QUINN;Director;LYON
CSN ECE LAB PROGRAM - CHARLESTON;CENTER;559-18;Active;08/31/2019;No;6375 W. CHARLESTON BLVD;NV;LAS VEGAS;89146;702-651-7391;09/01/2015;KELLY HOLTAM;Director;CLARK
CSN ECE LAB PROGRAM - CHEYENNE;CENTER;028-19;Active;12/31/2019;No;3200 E. CHEYENNE AVE;NV;NORTH LAS VEGAS;89030;702-651-4004;01/01/2016;JANIS FIKES-BUNTJER;Director;CLARK
D.J.'S WEST;CENTER;587-18;Active;07/31/2019;No;101 S. ARROYO GRANDE BLVD;NV;HENDERSON;89012;702-361-3405;08/01/2015;DEBRA JO ABENDROTH;Director;CLARK
DANIEL AND DELLA WILLIAMS DAYCARE;GROUP CARE;2405-19;Active;02/28/2020;N/A;1055 MESA DRIVE;NV;FERNLEY;89408;775-750-0182;03/01/2018;DELLA WILLIAMS;Owner;LYON
DARLA'S DAY CARE;GROUP CARE;1461-18;Active;10/31/2019;No;345 BUENA VISTA AVE;NV;BATTLE MOUNTAIN;89820;775-635-9250;11/01/2015;DARLA LIEBHARDT;Person in Charge;LANDER
DAWN OF EDUCATION PRE-K;CENTER;2453-18;Active;07/31/2019;N/A;225 GRAND CADENCE DRIVE;NV;HENDERSON;89015;702-858-8801;08/09/2018;STEPHANIE RYNE;Owner;CLARK
DAYTON VALLEY LEARNING CENTER;CENTER;458-18;Active;07/31/2019;No;357 DAYTON VALLEY ROAD;NV;DAYTON;89403;775-246-5111;08/01/2015;SUSAN JOYNER;Director;LYON
DEBBIE CLARK;FAMILY CARE;1191-18;Active;09/30/2019;No;4651 AMBERWOOD LN;NV;LAS VEGAS;89147;702-873-9849;11/01/2016;DEBBIE CLARK;Person in Charge;CLARK
DEE'S PLAY & LEARN CHRISTIAN ACADEMY;GROUP CARE;2454-18;Active;06/30/2019;N/A;6321 LAUREN AVENUE;NV;LAS VEGAS;89131;510-551-5129;07/09/2018;DEETRA STEWART;Owner;CLARK
