Name;Credential Type;Credential Number;Status;Expiration Date;Disciplinary Action;Address;State;City;Zip;Phone#;First Issue Date;Primary Contact Name;Primary Contact Role;County
ACELERO LEARNING LORENZI CENTER;CENTER (PROVISIONAL);2526-22;Active;11/30/2022;N;700 TWIN LAKES DRIVE;NV;LAS VEGAS;89107;702-387-0179;08/27/2018;LAURA & SHELLY BROWN & COOK;Other;CLARK
ACELERO LEARNING STRONG START ACADEMY;CENTER;2179-22;Active;07/31/2023;N;1617 ALTA DRIVE;NV;LAS VEGAS;89101;702-954-4777;08/18/2017;KELLY & SHELLY WASOWICZ & COOK;Director;CLARK
ACELERO LEARNING STRONG START WARDELLE;CENTER (PROVISIONAL);3244-22;Active;11/30/2022;N;2950 E. BONANZA;NV;LAS VEGAS;89101;702-387-0179;10/01/2021;JENNIFER AND SHELLY HINES AND COOK;Director;CLARK
ACELERO LEARNING STUPAK COMMUNITY CENTER;CENTER;2527-22;Active;07/31/2023;N;251 W. BOSTON AVENUE;NV;LAS VEGAS;89102;702-387-0179;08/09/2018;MONICA & SHELLY VENTURA & COOK;Other;CLARK
AGRANDMAMA LOVES KIDS CHILD CARE AND PRESCHOOL;FAMILY CARE;1225-22;Active;11/30/2022;N;4056 PISTACHIO NUT AVE;NV;LAS VEGAS;89115;702-421-6393;12/01/2017;BAREFIELD CHERESA;Owner;CLARK
ALL ABOUT KIDS DAY CARE;GROUP CARE (PROVISIONAL);1119-22;Active;11/30/2022;N;1508 SILVER RAIN AVE;NV;LAS VEGAS;89123;702-463-6643;06/01/2015;NORA MORALES CACERES;Director;CLARK
ALLIE AND FRIENDS INFANT/TODDLER NURSERY;CENTER;1487-22;Active;05/31/2023;N;1695 COUNTY RD;NV;MINDEN;89423;775-783-7200;06/08/2015;MARIA HARTMAN-RUBIO;Director;DOUGLAS
AMANDA MELGAR;GROUP CARE;2917-22;Active;01/31/2023;N;5375 W COUGAR AVE;NV;LAS VEGAS;89139;;02/11/2021;AMANDA MELGAR;Owner;CLARK
ANGEL FACE PRESCHOOL;CENTER;2545-22;Active;05/31/2023;N;8535 BLUE DIAMOND ROAD;NV;LAS VEGAS;89178;(702) 386-8828;06/18/2020;CHRISSY DICARLO;Director;CLARK
ANGEL'S CHRISTIAN ACADEMY;CENTER;1432-22;Active;03/31/2023;N;2720 CRYSTAL WATER WAY;NV;LAS VEGAS;89117;702-324-3647;04/01/2014;RITA PURSWELL;Director;CLARK
APRENDE ACADEMY;CENTER;3078-22;Active;11/30/2022;N;6425 W PEBBLE RD;NV;LAS VEGAS;89139;702-858-0302;10/26/2020;RHIANNON JOEL;Director;CLARK
APRENDE ACADEMY PRE-K AT DORAL PEBBLE;CENTER (PROVISIONAL);3255-22;Active;11/30/2022;N;6435 W. PEBBLE RD;NV;LAS VEGAS;89139;702-408-4801;09/03/2021;RHIANNON JOEL;Director;CLARK
APRENDE ACADEMY PRE-K AT DORAL RED ROCK;CENTER;3254-22;Active;11/30/2022;N;626 CROSSBRIDGE DR;NV;LAS VEGAS;89138;702-408-4801;09/01/2021;SHANNON KILLEEN;Owner;CLARK
APRENDE ACADEMY PRE-K AT DORAL SADDLE;CENTER;3181-22;Active;04/30/2023;N;9625 W. SADDLE AVE;NV;LAS VEGAS;89147;702-408-4801;05/26/2021;SHANNON KILLEEN;Owner;CLARK
APRENDE ACADEMY PRE-K AT PINECREST INSPIRADA;CENTER;3256-22;Active;11/30/2022;N;2840 VIA CONTESSA;NV;HENDERSON;89044;702-408-4801;09/03/2021;SHANNON KILLEEN;Owner;CLARK
ARTSY NANNIES;ACCOMMODATION (PROVISIONAL);1965-22;Active;11/30/2022;N;6569 LAS VEGAS BLVD S.;NV;LAS VEGAS;89119;702-448-4352;07/01/2017;ANDREA VALLEE;Person in Charge;CLARK
ASHLEY'S LITTLE STAR DAYCARE LLC;FAMILY CARE;3351-22;Active;05/31/2023;N;7415 EASINGWOLD DRIVE;NV;LAS VEGAS;89113;702-849-6680;06/21/2022;ASHLEY CRUZE;Owner;CLARK
AUNTIE CHELLES & PAPA BEARS CHILDCARE/PRESCHOOL;GROUP CARE;726-22;Active;12/31/2022;N;2509 PINEBROOK DRIVE;NV;CARSON CITY;89701;775-884-1414;01/01/2015;ROCHELLE MONIZ-LEWIS;Person in Charge;CARSON CITY
BABY UNIVERSITY DBA:HENDERSON BILINGUAL SCHOOL;CENTER;2938-22;Active;05/31/2023;N;1901 N GREEN VALLEY PKWY.;NV;HENDERSON;89074;(702) 823-8342;06/01/2020;WENDI MAI;Director;CLARK
BABY UNIVERSITY NCA LEARNING CENTER;CENTER;2614-22;Active;04/30/2023;N;6000 W OAKEY BLVD;NV;LAS VEGAS;89146;702-482-0186;05/08/2019;MINLI WANG;Director;CLARK
BE OUR GUEST LEARNING CENTER LLC;CENTER (PROVISIONAL);2965-22;Active;11/30/2022;N;2200 E CALVADA SUITE E;NV;PAHRUMP;89048;(775)419-6350;11/09/2020;LAQUIENTA KIRBY;Owner;NYE
BEAUTIFUL SAVIOR LUTHERAN PRESCHOOL;CENTER;1185-22;Active;07/31/2023;N;10265 BERMUDA RD;NV;LAS VEGAS;89183;702-260-7660;11/08/2016;JENNIFER HEINY;Director;CLARK
BETHLEHEM LUTHERAN CHURCH AND SCHOOL;CENTER;727-22;Active;12/31/2022;N;1837 N. MOUNTAIN STREET;NV;CARSON CITY;89703;775-882-6718;01/01/2015;HONEY LYNNE THOMAS;Director;CARSON CITY
BITTY BUDDIES;FAMILY CARE;789-22;Active;11/30/2022;N;74 ARCHER GLEN AVE;NV;HENDERSON;89002;702-458-1642;10/01/2014;DEBORAH LORDS;Owner;CLARK
BOBBIE SUAREZ FAMILY CARE;FAMILY CARE (PROVISIONAL);564-22;Active;11/30/2022;N;218 WHITE CLOUD CIR;NV;HENDERSON;89074;702-898-0536;11/01/2013;BARBARA SUAREZ;Owner;CLARK
BOLD AND BRIGHT ACADEMY LLC;FAMILY CARE (PROVISIONAL);2919-22;Active;11/30/2022;N;6036 ATLANTIS DREAM AVE;NV;LAS VEGAS;89139;417-631-1138;07/01/2020;BETHANY JOHNSON;Owner;CLARK
BRILLIANT  CHILD CHRISTIAN ACADEMY;CENTER;1540-22;Active;02/28/2023;N;7885 W. ROCHELLE AVE;NV;LAS VEGAS;89147;702-889-0496;03/10/2016;CHRISTYN CAL;Director;CLARK
BRING'EM YOUNG ACADEMY;CENTER (PROVISIONAL);1508-22;Active;11/30/2022;N;3980 W. ANN RD.  STE 1 NORTH;NV;LAS VEGAS;89031;702-273-9684;10/01/2017;GLORIA PHILLIPS;Director;CLARK
BRING'EM YOUNG ACADEMY SCHOOL OF THE ARTS;CENTER (PROVISIONAL);2641-22;Active;11/30/2022;N;3940 W. ANN RD. NORTH;NV;LAS VEGAS;89031;702-395-0883;10/18/2019;MARISOL WILSON;Director;CLARK
BUDDING LOTUS LEARNING CENTER;FAMILY CARE;3001-22;Active;05/31/2023;N;4708 SPRUCE OAK DR NORTH;NV;LAS VEGAS;89031;702-625-0885;06/23/2021;JENNIFER WALSH;Owner;CLARK
BUILDING BLOCKS CHILD CARE;CENTER;1239-22;Active;02/28/2023;N;7570 PEACE WAY;NV;LAS VEGAS;89147;702-873-7340;03/01/2015;CHRISTIANA SANTOS;Director;CLARK
BUILDING BLOCKS DAYCARE;GROUP CARE (PROVISIONAL);1453-22;Active;11/30/2022;N;219 SOUTH CENTER STREET;NV;YERINGTON;89447;775-846-2250;10/01/2015;JOELLA WHITESIDES;Director;LYON
BYCC ACADEMY;CENTER;1554-22;Active;02/28/2023;N;8551 VEGAS DR;NV;LAS VEGAS;89128;702-901-8383;08/01/2017;SHAINA ATTAL;Director;CLARK
CALVARY CHAPEL PRESCHOOL SPRING VALLEY;CENTER;1266-22;Active;02/28/2023;N;7175 W. OQUENDO RD;NV;LAS VEGAS;89113;702-248-8879;06/16/2017;JULIE PROUD;Director;CLARK
CANDIL HALL EARLY CHILDHOOD EDUCATION;CENTER;1019-22;Active;01/31/2023;N;5348 N. RAINBOW BLVD;NV;LAS VEGAS;89130;702-656-3370;10/01/2015;JHONNA DILLER;Director;CLARK
CAPSTONE CHRISTIAN ACADEMY;CENTER;3113-22;Active;01/31/2023;N;985 E SERENE AVE;NV;LAS VEGAS;89123;702-463-9350;02/26/2021;TRACY ORBAN;Director;CLARK
CARING 4 CUBS LEARNING CENTER;GROUP CARE;844-22;Active;08/31/2023;N;526 POPLAR DRIVE;NV;SPRING CREEK;89815;775-738-5178;09/01/2015;STEPHANIE MOYE;Person in Charge;ELKO
CARLIN PRESCHOOL;CENTER;3215-22;Active;10/31/2022;N;806 HAMILTON ST;NV;CARLIN;89822;;10/06/2021;JOLYNN BRANNING;Director;ELKO
CARMEN'S DAYCARE;FAMILY CARE (PROVISIONAL);2289-22;Active;11/30/2022;N;4817 RUSH SPRINGS DR;NV;LAS VEGAS;89139;907-727-3566;11/06/2017;CARMENZA RAMIREZ;Owner;CLARK
CARROUSEL FAMILY CHILD CARE INC.;GROUP CARE;1379-22;Active;11/30/2022;N;2191 S. VALENTINE AVE;NV;PAHRUMP;89048;775-223-6895;10/01/2016;SUZANNE YORDY;Director;NYE
CARSON CITY PARKS AND RECREATION DEPARTMENT;PERMITS;001-20;Active;05/31/2023;N;201 N CARSON ST;NV;CARSON CITY;89701;;06/01/2014;ANDREW MENENDEZ;Person in Charge;CARSON CITY
CASCOS FAMILY DAYCARE;GROUP CARE (PROVISIONAL);1164-22;Active;11/30/2022;N;1668 GATEWAY AVE;NV;LAS VEGAS;89104;702-241-9023;10/01/2016;OLGA CASCOS;Owner;CLARK
CELIDA PADILLA;FAMILY CARE (PROVISIONAL);1168-22;Active;11/30/2022;N;3221 MONACO SHORES DR;NV;LAS VEGAS;89117;702-253-3985;04/01/2017;CELIDA PADILLA;Owner;CLARK
CENTRO NEVADA-FALLON;CENTER;3164-22;Active;07/31/2023;N;531 HUMBOLDT STREET;NV;FALLON;89406;801-521-4473;08/13/2021;STEPHANIE FENTON;Person in Charge;CHURCHILL
CENTRO NEVADA-YERINGTON;CENTER;3165-22;Active;04/30/2023;N;311 VIRGINIA ST;NV;YERINGTON;89447;;05/20/2022;KRISTEN RODRIGUEZ;Director;LYON
CHABAD - TORAH TOTS PRESCHOOL;CENTER (PROVISIONAL);1108-22;Active;11/30/2022;N;1312 VISTA DR;NV;LAS VEGAS;89102;702-259-1000;10/01/2013;DINA HARLIG;Director;CLARK
CHALLENGER SCHOOL - LONE MOUNTAIN;CENTER (PROVISIONAL);978-22;Active;11/30/2022;N;9900 ISAAC NEWTON WAY;NV;LAS VEGAS;89129;702-878-6418;10/01/2016;FOGARASI VANDA;Director;CLARK
CHALLENGER SCHOOL - LOS PRADOS;CENTER (PROVISIONAL);1085-22;Active;05/31/2023;N;5150 N. JONES BLVD;NV;LAS VEGAS;89130;702-839-1900;07/01/2015;PAIGE NELSON;Director;CLARK
CHALLENGER SCHOOL - SILVERADO;CENTER;1240-22;Active;12/31/2022;N;1725 E. SERENE AVE;NV;LAS VEGAS;89123;702-990-7300;08/01/2016;BRENDA STEVENSON;Director;CLARK
CHALLENGER SCHOOL FOUNDATION;CENTER (PROVISIONAL);1989-22;Active;11/30/2022;N;8175 W BADURA AVENUE;NV;LAS VEGAS;89113;702-410-7225;08/03/2016;KELLY MACFARLAND-SOLAEGUI;Director;CLARK
CHARLENE RATH;FAMILY CARE;1054-22;Active;03/31/2023;N;10748 SPRUCEDALE AVE;NV;LAS VEGAS;89144;702-217-7397;09/12/2014;CHARLENE RATH;Director;CLARK
CHERIE'S FAMILY DAYCARE;FAMILY CARE;1449-22;Active;08/31/2023;N;1720 ANDY WAY;NV;FERNLEY;89408;775-302-3608;09/01/2015;CHERIE KOLLAR;Person in Charge;LYON
CHILD & FAMILY RESEARCH CENTER-SF;CENTER (PROVISIONAL);134-22;Active;11/30/2022;N;1664 N. VIRGINIA ST;NV;RENO;89557;775-784-6762;02/01/2015;MICHELLE SAUNDERS;Director;WASHOE
CHILD & FAMILY RESEARCH CENTER-WRB;CENTER;1424-22;Active;12/31/2022;N;1664 N. VIRGINIA ST;NV;RENO;89557;775-784-4533;02/01/2015;ESMERAY OZDEMIR;Director;WASHOE
CHILD DEVELOPMENT CENTER;CENTER;255-22;Active;09/30/2023;N;2201 W. COLLEGE PKWY;NV;CARSON CITY;89703;775-445-4265;10/01/2015;ANNA LISA ACOSTA-ROGERS;Director;CARSON CITY
CHILD HAVEN;INSTITUTION;823-22;Active;12/31/2022;N;701 N. PECOS RD;NV;LAS VEGAS;89101;702-455-8430;07/15/2014;MIROSLAV SINIKOVIC;Director;CLARK
CHILDREN OF THE WAY LEARNING CENTER LLC;GROUP CARE;3507-22;Active;10/31/2023;N;2418 PARASAIL POINT AVE NORTH;NV;LAS VEGAS;89031;(702) 403-7374;11/02/2022;CASSANDRA HALL;Owner;CLARK
CHILDREN'S LEARN AND PLAY;CENTER;2857-22;Active;12/31/2022;N;1934 S. WALNUT ROAD;NV;LAS VEGAS;89104;702-722-1111;01/08/2021;KELLEY DIETERICH;Director;CLARK
CHILDREN'S LEARN AND PLAY II;CENTER;3415-22;Active;04/30/2023;N;4975 E. ST. LOUIS AVE;NV;LAS VEGAS;89104;702-431-2222;05/11/2022;CYNTHIA DUFFY;Owner;CLARK
CHILDREN'S LEARNING ADVENTURE - EASTERN;CENTER;1105-22;Active;11/30/2022;N;11183 S. EASTERN AVE;NV;HENDERSON;89052;702-269-0708;08/01/2015;AIRIS POTTS;Director;CLARK
CHILDREN'S LEARNING ADVENTURE - ROBINDALE;CENTER;1152-22;Active;11/30/2022;N;6980 W. ROBINDALE RD;NV;LAS VEGAS;89113;702-263-1292;05/01/2017;THERESA OLPENDO;Director;CLARK
CHILDREN'S LEARNING CENTER;SPECIAL NEEDS (PROVISIONAL);2690-22;Active;11/30/2022;N;95 S ARROYO GRANDE BLVD;NV;HENDERSON;89012;702-735-6223;02/01/2020;MARIBEL GARCIA;Person in Charge;CLARK
CHILDTIME LEARNING CENTER - EASTERN;CENTER;477-22;Active;12/31/2022;N;7980 S. EASTERN AVE;NV;HENDERSON;89123;702-361-1725;03/01/2014;STEPHANIE MAY;Director;CLARK
CHRIST KIDS CHILD CENTER;CENTER (PROVISIONAL);958-22;Active;11/30/2022;N;111 N. TORREY PINES DR;NV;LAS VEGAS;89107;702-878-1176;05/08/2014;MARIANNA PHILLIPS;Director;CLARK
CHRIST LUTHERAN PRESCHOOL;CENTER;623-22;Active;07/31/2023;N;55 BASTIAN ROAD;NV;BATTLE MOUNTAIN;89820;775-635-2290;09/01/2015;MARIE BENSON;Director;LANDER
CHRIST THE SERVANT LUTHERAN PRESCHOOL;CENTER (PROVISIONAL);369-22;Active;11/30/2022;N;2 S. PECOS RD;NV;HENDERSON;89074;702-914-8782;11/01/2015;KELLY EVERLY;Director;CLARK
CHRISTIAN CENTER DAYCARE;CENTER (PROVISIONAL);007-22;Active;11/30/2022;N;571 ADAMS BLVD;NV;BOULDER CITY;89005;702-293-7773;09/01/2015;MELANIE BUDD;Director;CLARK
CITY OF HENDERSON YOUTH PROGRAMS;PERMITS;2799-20;Active;07/31/2023;N;240 WATER STREET;NV;HENDERSON;89015;702-267-4000;08/05/2020;XANIE GANN;Other;CLARK
CITY OF LAS VEGAS YOUTH DEVELOPMENT & SOCIAL INNOVATION;PERMITS;2429-21;Active;12/31/2023;N;496 SOUTH MAIN STREET;NV;LAS VEGAS;89101;702-229-3399;01/27/2021;JOYCE BARROW-HENDERSON;Other;CLARK
CITY OF RENO;PERMITS;004-18;Active;09/30/2021;N;1 EAST FIRST STREET;NV;RENO;89512;;10/01/2015;KELLY BALLINGER;Person in Charge;WASHOE
CLARK COUNTY;PERMITS;003-15;Active;10/31/2018;N;2601 E. SUNSET RD.;NV;LAS VEGAS;89120;;11/23/2015;CLIFF FIELDS;Other;CLARK
COLORFUL LITTLE FINGERS;GROUP CARE;3396-22;Active;08/31/2023;N;2894 PINEBROOK DR.;NV;CARSON CITY;89701;;09/13/2022;LIZBETH JAUREGUI;Owner;CARSON CITY
COMMUNITY CHEST INFANT AND TODDLER CENTER;CENTER;3391-22;Active;10/31/2023;N;991 S. C ST.;NV;VIRGINIA CITY;89440;775-847-9311;11/03/2022;MICHAEL-ANN LAZZARINO;Director;STOREY
COMMUNITY CHEST, INC.;CENTER;2498-21;Active;09/30/2022;N;175 CARSON ST.;NV;VIRGINIA CITY;89440;775-847-9311;10/04/2019;MICHAEL-ANN LAZZARINO;Director;STOREY
COMMUNITY SERVICES AGENCY CARSON CITY EARLY HEAD START;CENTER;2852-22;Active;01/31/2023;N;200 EAST WINNIE LANE SUITE 288-298;NV;CARSON CITY;89706;775-800-7452;02/26/2021;VERNESIA DUNKELBERGER;Director;CARSON CITY
CORNERSTONE CHRISTIAN TYKES PRESCHOOL;CENTER;1230-22;Active;08/31/2023;N;5825 W. ELDORA AVE;NV;LAS VEGAS;89146;702-939-5050;09/01/2016;DEBORAH KAYE;Director;CLARK
CORONADO PREP;CENTER;1439-22;Active;05/31/2023;N;2650 SUNRIDGE HEIGHTS PKWY;NV;HENDERSON;89052;702-565-1223;06/01/2017;JENNIFER SULLIVAN;Director;CLARK
CREATIVE KIDS CO-OP;CENTER;224-21;Active;08/31/2022;N;19 LICHT PARKWAY;NV;SPRING CREEK;89815;775-753-5941;10/01/2015;ROBBIN MCCULLOUGH;Director;ELKO
CREATIVE KIDS FORT APACHE;CENTER;2195-22;Active;02/28/2023;N;2575 FORT APACHE RD.;NV;LAS VEGAS;89117;702-255-0443;03/09/2017;YAZMIN VALDEZ-GIRON;Director;CLARK
CREATIVE KIDS LEARNING EMPIRE;FAMILY CARE;3141-22;Active;05/31/2023;N;3950 WOODSIDE LANE;NV;LAS VEGAS;89115;;06/02/2021;ELLONA REDDICK;Owner;CLARK
CREATIVE KIDS RAINBOW;CENTER (PROVISIONAL);2188-22;Active;11/30/2022;N;3220 N. RAINBOW BLVD;NV;LAS VEGAS;89108;702-645-0001;03/09/2017;REBECCA FISCHER;Director;CLARK
CREATIVE KIDS-ALIANTE;CENTER;2189-22;Active;04/30/2023;N;2385 DEER SPRINGS WAY NORTH;NV;LAS VEGAS;89084;702-476-0009;01/30/2017;JULIE MATHEWS;Director;CLARK
CREATIVE KIDS-ALTA;CENTER;2192-22;Active;04/30/2023;N;10650 ALTA DRIVE;NV;LAS VEGAS;89144;702-366-1417;05/24/2017;KELLY REYNOLDS;Director;CLARK
CREATIVE KIDS-CRAIG;CENTER;2163-22;Active;02/28/2023;N;5001 CRAIG ROAD;NV;LAS VEGAS;89130;702-645-3734;03/09/2017;TRACY MAURO;Director;CLARK
CREATIVE KIDS-FARM;CENTER;2194-22;Active;02/28/2023;N;8355 FARM RD.;NV;LAS VEGAS;89131;702-395-7766;12/21/2017;DEALMA FORD;Person in Charge;CLARK
CREATIVE KIDS-HARRIS;CENTER;2190-22;Active;02/28/2023;N;501 HARRIS;NV;HENDERSON;89015;702-565-0007;03/22/2017;PENNY SKELLY;Director;CLARK
CREATIVE KIDS-PEBBLE;CENTER;2191-22;Active;02/28/2023;N;4855 W. PEBBLE RD.;NV;LAS VEGAS;89139;702-270-7770;03/01/2017;ROSALY LIZARDO;Director;CLARK
CREATIVE KIDS-TORREY PINES;CENTER;2193-22;Active;02/28/2023;N;5125 S. TORREY PINES DRIVE;NV;LAS VEGAS;89118;702-364-2223;03/09/2017;BELINDA KELLY;Director;CLARK
CREATIVE KIDS-WIGWAM;CENTER;2196-22;Active;04/30/2023;N;2320 E. WIGWAM AVE.;NV;LAS VEGAS;89123;702-617-8131;05/24/2017;CINDY BROWN;Director;CLARK
CREATIVITY CORNER PRESCHOOL AND NURSERY;CENTER;2333-22;Active;02/28/2023;N;2323 NORTH CARSON STREET;NV;CARSON CITY;89706;775-434-7168;02/28/2018;KASANDRA SHEPARD;Director;CARSON CITY
CREME DE LA CREME ANN;CENTER;2709-22;Active;11/30/2022;N;3470 W. ANN ROAD NORTH;NV;LAS VEGAS;89031;702-389-6133;11/01/2019;CARLA BISHOP;Director;CLARK
CREME DE LA CREME DURANGO;CENTER;2711-22;Active;11/30/2022;N;2836 S. DURANGO DRIVE;NV;LAS VEGAS;89117;702-389-6135;11/01/2019;STACY SURVIS;Director;CLARK
CREME DE LA CREME FARM;CENTER;2710-22;Active;11/30/2022;N;8420 FARM RD;NV;LAS VEGAS;89131;702-342-6851;11/01/2019;ROBRINA HOWARD;Director;CLARK
CROSSROADS CHRISTIAN ACADEMY;CENTER (PROVISIONAL);1333-22;Active;11/30/2022;N;124 N. TENAYA WAY;NV;LAS VEGAS;89145;702-868-2767;09/01/2015;TAMMY CROSS;Director;CLARK
CSA COTTONWOOD HEAD START;CENTER;665-22;Active;02/28/2023;N;915 FARM DISTRICT ROAD;NV;FERNLEY;89408;775-575-9870;09/01/2015;ANGIE QUINN;Director;LYON
CSN ECE LAB PROGRAM - CHARLESTON;CENTER (PROVISIONAL);559-22;Active;11/30/2022;N;6375 W. CHARLESTON BLVD;NV;LAS VEGAS;89146;702-651-7391;09/01/2015;LANORA GALLO;Person in Charge;CLARK
CSN ECE LAB PROGRAM - CHEYENNE;CENTER;028-22;Active;12/31/2022;N;3200 E. CHEYENNE AVE NORTH;NV;LAS VEGAS;89030;702-651-4004;01/01/2016;MICHAEL MITCHEL;Director;CLARK
CURIOSITY CORNER LLC;CENTER;3077-22;Active;12/31/2022;N;1987 OLD HOT SPRINGS ROAD;NV;CARSON CITY;89706;775-434-7035;01/29/2021;ASHLEY WHEELER;Director;CARSON CITY
D.J.'S WEST;CENTER;587-22;Active;07/31/2023;N;101 S. ARROYO GRANDE BLVD;NV;HENDERSON;89012;702-361-3405;08/01/2015;DEBRA JO ABENDROTH;Director;CLARK
DANIEL AND DELLA WILLIAMS DAYCARE;GROUP CARE;2405-22;Active;02/28/2023;N;1055 MESA DRIVE;NV;FERNLEY;89408;775-750-0182;03/01/2018;DELLA WILLIAMS;Owner;LYON
DARLA'S DAY CARE;GROUP CARE (PROVISIONAL);1461-22;Active;11/30/2022;N;345 BUENA VISTA AVE;NV;BATTLE MOUNTAIN;89820;775-635-9250;11/01/2015;DARLA LIEBHARDT;Person in Charge;LANDER
DAWN OF EDUCATION;CENTER;3148-22;Active;11/30/2022;N;5695 NORTH RAINBOW BLVD;NV;LAS VEGAS;89130;702-858-8801;10/01/2021;STEPHANIE RYNE;Owner;CLARK
DAWN OF EDUCATION PRE-K;CENTER;2453-22;Active;11/30/2022;N;225 GRAND CADENCE DRIVE;NV;HENDERSON;89015;702-858-8801;08/09/2018;STEPHANIE RYNE;Owner;CLARK
DAYTON VALLEY LEARNING CENTER;CENTER;2880-21;Active;11/30/2022;N;357 DAYTON VALLEY ROAD;NV;DAYTON;89403;775-246-5111;12/31/2019;CHRISTINA DAVIS;Owner;LYON
DEBBIE CLARK;FAMILY CARE (PROVISIONAL);1191-22;Active;11/30/2022;N;4651 AMBERWOOD LN;NV;LAS VEGAS;89147;702-873-9849;11/01/2016;DEBBIE CLARK;Person in Charge;CLARK
DEE'S PLAY & LEARN CHRISTIAN ACADEMY;GROUP CARE;2454-22;Active;11/30/2022;N;6321 LAUREN ASHTON AVENUE;NV;LAS VEGAS;89131;510-551-5129;07/09/2018;DEETRA STEWART;Owner;CLARK
DIANA'S LIL' DARLINGS;FAMILY CARE (PROVISIONAL);165-22;Active;11/30/2022;N;4621 STEEPLECHASE AVE NORTH;NV;LAS VEGAS;89031;702-658-6991;08/01/2014;DIANA DAVIDSON;Owner;CLARK
DISCOVERY GARDENS CHILDCARE L.L.C.;CENTER;2199-22;Active;04/30/2023;N;555 PAGE ST;NV;LAS VEGAS;89110;503-539-3810;05/18/2017;SHEILA KILPATRICK;Owner;CLARK
DISCOVERY LEARNING CENTER;CENTER;2865-22;Active;12/31/2022;N;2152 RENO HIGHWAY;NV;FALLON;89406;775-867-4909;01/22/2020;ALYSON OSTERS;Owner;CHURCHILL
