"rundate";"subtype";"ZIP";"LEGALNAME";"ADDRESS";"LICENSE";"LICENSE_EFFECTIVE";"LICENSE_EXPIRATION";"CITY";"COUNTY";"TELEPHONE";"FAXPHONE";"CAPACITY";"FACID";"N_LON";"N_LAT";"N_MCODE";"N_LCODE";"N_BLOCK";"FACTYPE";"state";"INFANT";"ONES";"TWOS";"THREE_TO_FIVE";"SCHOOL_AGE";"EMAIL"
12/1/2020;"CHILD CARE CENTER";"85287";"A S U CHILD DEVELOPMENT LAB";"851 SOUTH FOREST MALL - BLDG. 17";"CDC-0958";5/1/2018;4/30/2021;"TEMPE";"MARICOPA";"(480)965-7257";"(480)965-6779";59;"CDC0958";-111.93647;33.421572;;;;"C11";"AZ";"N/A";"18";"LICENSED";"LICENSED";"N/A";"clromle@asu.edu"
12/1/2020;"CHILD CARE CENTER";"85006";"A S U PREPARATORY ACADEMY PRESCHOOL - PHOENIX";"735 EAST FILLMORE STREET";"CDC-16671";5/1/2020;4/30/2023;"PHOENIX";"MARICOPA";"(602)496-3100";"(602)257-4852";59;"CDC16671";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"Stephanie.M.Celis@asu.edu"
12/1/2020;"CHILD CARE CENTER";"85204";"A SHINING STAR PRESCHOOL INC";"810 EAST SOUTHERN AVENUE";"CDC-13240";2/1/2020;2/28/2022;"MESA";"MARICOPA";"(480)890-2331";"(623)478-9956";98;"CDC13240";-111.813916;33.393476;;;;"C11";"AZ";"N/A";"44";"LICENSED";"LICENSED";"LICENSED";"izjoy@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"85048";"A STEP AHEAD PRESCHOOL & MONTESSORI";"4221 EAST CHANDLER BLVD";"CDC-18198";6/28/2018;5/31/2021;"PHOENIX";"MARICOPA";"(480)706-9424";"(480)706-0426";59;"CDC18198";;;;;;"C11";"AZ";"11";"22";"LICENSED";"LICENSED";"N/A";"maysafini@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"85212";"A.F.C. LITTLE LEARNERS";" 8743 EAST PECOS ROAD #119:";"CDC-18286";8/1/2018;7/31/2021;"MESA";"MARICOPA";"(480)987-5400";"(   )   -";17;"CDC18286";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"jenniderrevolt@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"85212";"A.S.U. PREPARATORY ACADEMY";"6950 EAST WILIAMS FIELD ROAD";"CDC-18675";8/1/2019;7/31/2022;"MESA";"MARICOPA";"(480)727-5700";"(480)727-5701";282;"CDC18675";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"claudia.mendoza@asu.edu"
12/1/2020;"CHILD CARE CENTER";"85128";"ABC & 123 SMALL BLESSINGS CENTER L L C";"1060 NORTH ARIZONA BLVD";"CDC-16036";1/1/2018;12/31/2020;"COOLIDGE";"PINAL";"(520)424-2959";"(   )   -";89;"CDC16036";-111.524149;32.987772;;;;"C11";"AZ";"10";"10";"LICENSED";"LICENSED";"LICENSED";
12/1/2020;"CHILD CARE CENTER";"85122";"ABC & 123 SMALL BLESSINGS CENTER, L.L.C.";"1530 NORTH PINAL AVENUE";"CDC-18774";1/2/2020;12/31/2022;"CASA GRANDE";"PINAL";"(520)836-7326";"(   )   -";75;"CDC18774";;;;;;"C11";"AZ";"14";"19";"LICENSED";"LICENSED";"LICENSED";"abc_123_childcare@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"86004";"ABUNDANT LIFE PRESCHOOL";"3475 EAST SOLIERE AVENUE";"CDC-8740";2/1/2018;1/31/2021;"FLAGSTAFF";"COCONINO";"(928)527-3900";"(928)522-0383";143;"CDC8740";-111.593265;35.211826;;;;"C11";"AZ";"N/A";"25";"LICENSED";"LICENSED";"LICENSED";"suzie@ccof.church"
12/1/2020;"CHILD CARE CENTER";"85390";"ACADEMY FOR EARLY LEARNING";"51020 HIGHWAY 60";"CDC-12515";1/1/2021;12/31/2023;"WICKENBURG";"MARICOPA";"(928)668-0410";"(928)668-0133";57;"CDC12515";-112.701981;33.944444;;;;"C11";"AZ";"8";"10";"LICENSED";"LICENSED";"LICENSED";"j.derubeis@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"85745";"ACCELERATED LEARNING LABORATORY";"5245 NORTH CAMINO DE OESTE";"CDC-9509";2/1/2020;1/31/2023;"TUCSON";"PIMA";"(520)743-3895";"(520)743-2417";45;"CDC9509";-111.062992;32.302431;;;;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"alctucson@msn.com"
12/1/2020;"CHILD CARE CENTER";"86314";"ACORN CHRISTIAN MONTESSORI SCHOOL";"7555 EAST LONG LOOK DRIVE";"CDC-12649";4/1/2018;3/31/2021;"PRESCOTT VALLEY";"YAVAPAI";"(928)775-0238";"(928)775-2638";105;"CDC12649";-112.33026;34.600445;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"acorndawn@cableone.net"
12/1/2020;"CHILD CARE CENTER";"86314";"ACORN CHRISTIAN MONTESSORI SCHOOL";"8556 EAST LOOS DRIVE";"CDC-8852";8/1/2018;7/31/2021;"PRESCOTT VALLEY";"YAVAPAI";"(928)772-5778";"(928)772-6208";27;"CDC8852";-112.314235;34.604399;;;;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"acms@cableone.net"
12/1/2020;"CHILD CARE CENTER";"86314";"ACORN CHRISTIAN MONTESSORI SCHOOL - NORTH CAMPUS";"8085 EAST MANLEY DRIVE";"CDC-18907";8/7/2020;7/31/2023;"PRESCOTT VALLEY";"YAVAPAI";"(928)775-0238";"(928)775-2638";59;"CDC18907";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"acornkendal@cableone.net"
12/1/2020;"CHILD CARE CENTER";"85009";"ACTIVE LEARNING CENTER #4";"3342 WEST ROOSEVELT STREET";"CDC-10283";1/1/2021;12/31/2023;"PHOENIX";"MARICOPA";"(602)272-3609";"(602)272-3674";165;"CDC10283";-112.131125;33.458801;;;;"C11";"AZ";"14";"11";"LICENSED";"LICENSED";"LICENSED";"alexa@alc4.com"
12/1/2020;"CHILD CARE CENTER";"85020";"ACTIVE LEARNING CENTER #6";"704 EAST BUTLER DRIVE";"CDC-13631";8/1/2019;7/31/2022;"PHOENIX";"MARICOPA";"(602)674-9800";"(602)674-9804";83;"CDC13631";-112.06517;33.560655;;;;"C11";"AZ";"8";"13";"LICENSED";"LICENSED";"LICENSED";"tlgarrett73@aol.com"
12/1/2020;"CHILD CARE CENTER";"85029";"ACTIVE LEARNING CENTER #7";"10701 NORTH 15TH AVENUE";"CDC-18368";7/16/2020;8/31/2021;"PHOENIX";"MARICOPA";"(602)944-6500";"(   )   -";114;"CDC18368";;;;;;"C11";"AZ";"6";"13";"LICENSED";"LICENSED";"LICENSED";"tlgarrett73@aol.com"
12/1/2020;"CHILD CARE CENTER";"85302";"ACTIVE LEARNING CENTER #8";"4494 WEST PEORIA AVENUE #120";"CDC-18832";4/9/2020;3/31/2023;"GLENDALE";"MARICOPA";"(623)594-3010";"(   )   -";66;"CDC18832";;;;;;"C11";"AZ";"10";"10";"LICENSED";"LICENSED";"LICENSED";"theactivelearningcenter@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85027";"ADAMS TRADITIONAL BEGINNINGS";"2323 WEST PARKSIDE LANE";"CDC-16285";9/1/2018;8/31/2021;"PHOENIX";"MARICOPA";"(602)938-5517";"(602)938-1179";345;"CDC16285";-112.109479;33.695508;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"drydery@atbchoice.org"
12/1/2020;"CHILD CARE CENTER";"85226";"ADOBE MONTESSORI SCHOOL";"6400 WEST DEL RIO STREET";"CDC-10712";6/1/2018;5/31/2021;"CHANDLER";"MARICOPA";"(480)899-2980";"(   )   -";145;"CDC10712";-111.953402;33.314855;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"admin@adobemontessori.com"
12/1/2020;"CHILD CARE CENTER";"85040";"ADVANCE U";"449 EAST SOUTHERN AVENUE";"CDC-16616";8/1/2019;7/31/2022;"PHOENIX";"MARICOPA";"(602)243-8531";"(602)243-8516";59;"CDC16616";-112.067925;33.392098;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"marlene.kaye@leonagroup.com"
12/1/2020;"CHILD CARE CENTER";"85712";"ADVENTURE SCHOOL";"5757 EAST PIMA ROAD";"CDC-9146";10/1/2018;9/30/2021;"TUCSON";"PIMA";"(520)296-0656";"(520)721-4472";105;"CDC9146";-110.869534;32.243479;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"maryann@academyadventures.com"
12/1/2020;"CHILD CARE CENTER";"85712";"ADVENTURE SCHOOL 2";"5801 E PIMA STREET";"CDC-13640";10/1/2019;9/30/2022;"TUCSON";"PIMA";"(520)296-9775";"(   )   -";47;"CDC13640";-110.868644;32.243557;;;;"C11";"AZ";"8";"14";"LICENSED";"LICENSED";"N/A";"lesparza@academyadventures.com"
12/1/2020;"CHILD CARE CENTER";"85012";"ADVENTURES IN LEARNING";"3821 NORTH THIRD STREET";"CDC-3507";1/1/2019;12/31/2021;"PHOENIX";"MARICOPA";"(602)277-2505";"(602)522-2808";119;"CDC3507";-112.06924;33.491841;;;;"C11";"AZ";"10";"16";"LICENSED";"LICENSED";"LICENSED";"advpreschool@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"85226";"AFM CHANDLER MONTESSORI";"5570 WEST CHANDLER BOULEVARD SUITE #1";"CDC-17641";7/1/2019;6/30/2022;"CHANDLER";"MARICOPA";"(480)272-6807";"(   )   -";125;"CDC17641";;;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"chandler@afmeducation.com"
12/1/2020;"CHILD CARE CENTER";"85345";"AGAPE PRESCHOOL LLC";"8726 WEST OLIVE AVENUE";"CDC-18576";7/1/2019;6/30/2022;"PEORIA";"MARICOPA";"(623)792-7517";"(   )   -";45;"CDC18576";;;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"Tori@celebrationaz.com"
12/1/2020;"CHILD CARE CENTER";"85048";"AHWATUKEE FOOTHILLS MONTESSORI CENTER";"3221 EAST CHANDLER BOULEVARD";"CDC-5248";1/1/2019;12/31/2021;"PHOENIX";"MARICOPA";"(480)759-3810";"(480)759-3810";117;"CDC5248";-112.013328;33.304995;;;;"C11";"AZ";"N/A";"21";"LICENSED";"LICENSED";"LICENSED";"officehhw@gmail.com, ahwatukee@afmeducation.com"
12/1/2020;"CHILD CARE CENTER";"85044";"AHWATUKEE PRESCHOOL";"11002 SOUTH 48TH STREET";"CDC-1036";8/1/2019;7/31/2022;"PHOENIX";"MARICOPA";"(480)893-2531";"(480)893-8318";59;"CDC1036";-111.980548;33.346628;;;;"C11";"AZ";"N/A";"12";"LICENSED";"LICENSED";"LICENSED";"madams@mvlutheran.org"
12/1/2020;"CHILD CARE CENTER";"85321";"AJO HEAD START";"111 WELL ROAD";"CDC-10284";3/1/2018;2/28/2021;"AJO";"PIMA";"(520)387-3086";"(520)622-1927";25;"CDC10284";-112.85898;32.373367;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"ajo@childparentcenters.org"
12/1/2020;"CHILD CARE CENTER";"85621";"AKIRA'S LEARNING CENTER L.L.C.";"1200 EAST PATAGONIA HIGHWAY, STE# 2";"CDC-18260";6/7/2018;5/31/2021;"NOGALES";"SANTA CRUZ";"(520)609-2717";"(   )   -";45;"CDC18260";;;;;;"C11";"AZ";"5";"5";"LICENSED";"LICENSED";"LICENSED";"ALCBRIGHTKIDS@GMAIL.COM"
12/1/2020;"CHILD CARE CENTER";"85718";"AL HUDA ISLAMIC SCHOOL";"2800 EAST RIVER ROAD";"CDC-16525";8/1/2019;7/31/2022;"TUCSON";"PIMA";"(520)624-8182";"(520)395-2694";36;"CDC16525";-110.930479;32.284379;"S80";"AS0";"040190047103008";"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"lchourani@aol.com"
12/1/2020;"CHILD CARE CENTER";"85132";"ALA LITTLE LEADERS - ANTHEM";"4380 NORTH HUNT HIGHWAY";"CDC-18333";11/9/2018;10/31/2021;"FLORENCE";"PINAL";"(480)344-9800";"(   )   -";88;"CDC18333";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"creynolds@alaschools.org"
12/1/2020;"CHILD CARE CENTER";"85298";"ALA LITTLE LEADERS - GILBERT SOUTH";"1750 EAST RIGGS ROAD";"CDC-18285";10/16/2018;9/30/2021;"GILBERT";"MARICOPA";"(480)344-9894";"(   )   -";88;"CDC18285";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"Jambers@alaschools.org"
12/1/2020;"CHILD CARE CENTER";"85212";"ALA LITTLE LEADERS - MESA";"4507 SOUTH MOUNTAIN ROAD";"CDC-18870";8/13/2020;7/31/2023;"MESA";"MARICOPA";"(480)420-2110";"(   )   -";26;"CDC18870";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"drichards@alaschools.org"
12/1/2020;"CHILD CARE CENTER";"85142";"ALA LITTLE LEADERS - SIGNAL BUTTE";"22512 SOUTH SIGNAL BUTTE";"CDC-18284";11/2/2018;10/31/2021;"QUEEN CREEK";"MARICOPA";"(480)334-9893";"(   )   -";86;"CDC18284";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"Dwilliamson@alaschools.org"
12/1/2020;"CHILD CARE CENTER";"85032";"ALDEA MONTESSORI SCHOOL";"15639 NORTH 40TH STREET";"CDC-9859";9/1/2020;8/31/2023;"PHOENIX";"MARICOPA";"(602)485-0276";"(602)485-0125";58;"CDC9859";-111.995891;33.628897;;;;"C11";"AZ";"7";"20";"LICENSED";"N/A";"LICENSED";"aldea@aldeamontessori.com"
12/1/2020;"CHILD CARE CENTER";"85283";"ALEGRIAS CHILD CARE & LEARNING CENTER";"7420 SOUTH RURAL ROAD";"CDC-15792";8/1/2020;7/31/2023;"TEMPE";"MARICOPA";"(480)466-7610";"(480)466-7620";114;"CDC15792";-111.928657;33.351679;;;;"C11";"AZ";"14";"12";"LICENSED";"LICENSED";"LICENSED";"alegriaschildcare@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85650";"ALL SAINTS CATHOLIC SCHOOL";"1425 EAST YAQUI STREET";"CDC-12508";7/1/2018;6/30/2021;"SIERRA VISTA";"COCHISE";"(520)378-7012";"(520)378-2726";59;"CDC12508";-110.283557;31.481965;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"cserrano@diocesetucson.org"
12/1/2020;"CHILD CARE CENTER";"85012";"ALL SAINTS EXTENDED SCHOOL PROGRAM";"6300 NORTH CENTRAL AVENUE";"CDC-1692";8/1/2020;7/31/2023;"PHOENIX";"MARICOPA";"(602)274-4866";"(602)274-0365";185;"CDC1692";-112.073887;33.529823;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"sduchaine@allsaints.org"
12/1/2020;"CHILD CARE CENTER";"85201";"ALL STAR PRESCHOOL";"1830 NORTH COUNTRY CLUB DRIVE";"CDC-14563";11/1/2020;10/31/2023;"MESA";"MARICOPA";"(480)835-7100";"(480)890-7211";111;"CDC14563";-111.839939;33.448814;;;;"C11";"AZ";"11";"15";"LICENSED";"LICENSED";"LICENSED";"allstarpreschool85201@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85202";"ALL TOGETHER NOW PRESCHOOL AND CHILDCARE";"516 SOUTH DOBSON ROAD";"CDC-9725";1/16/2020;10/31/2022;"MESA";"MARICOPA";"(480)610-9299";"(480)610-1211";114;"CDC9725";-111.87471;33.405496;;;;"C11";"AZ";"11";"14";"LICENSED";"LICENSED";"LICENSED";"alltogethernow516@msn.com"
12/1/2020;"CHILD CARE CENTER";"85737";"ALPHABEST @ COPPER CREEK ELEMENTARY";"11620 NORTH COPPER SPRING TRAIL";"CDC-18889";8/5/2020;7/31/2023;"ORO VALLEY";"PIMA";"(520)696-6800";"(   )   -";85;"CDC18889";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"coppercreekamphi@alphabest.org"
12/1/2020;"CHILD CARE CENTER";"85704";"ALPHABEST @ DONALDSON ELEMENTARY";"2040 WEST OMAR DRIVE";"CDC-18884";8/7/2020;7/31/2023;"TUCSON";"PIMA";"(520)696-6160";"(   )   -";35;"CDC18884";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"donaldsonamphi@alphabest.org"
12/1/2020;"CHILD CARE CENTER";"85704";"ALPHABEST @ HARELSON ELEMENTARY";"826 WEST CHAPALA DRIVE";"CDC-18891";8/3/2020;7/31/2023;"TUCSON";"PIMA";"(520)696-6020";"(   )   -";46;"CDC18891";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"harelsonamphi@alphabest.org"
12/1/2020;"CHILD CARE CENTER";"85719";"ALPHABEST @ HOLAWAY ELEMENTARY";"3500 NORTH CHERRY AVENUE";"CDC-18886";8/7/2020;7/31/2023;"TUCSON";"PIMA";"(520)696-6800";"(   )   -";42;"CDC18886";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"holawayamphi@alphabest.org, shammack82@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85755";"ALPHABEST @ INNOVATION ACADEMY";"825 WEST DESERT FAIRWAYS DRIVE";"CDC-18892";8/7/2020;7/31/2023;"ORO VALLEY";"PIMA";"(520)269-4610";"(   )   -";59;"CDC18892";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"innovationamphi@alphabest.org"
12/1/2020;"CHILD CARE CENTER";"85704";"ALPHABEST @ MESA VERDE ELEMENTARY";"1661 WEST SAGE STREET";"CDC-18887";8/3/2020;7/31/2023;"TUCSON";"PIMA";"(520)696-6090";"(   )   -";33;"CDC18887";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"igallardo@alphabest.org"
12/1/2020;"CHILD CARE CENTER";"85755";"ALPHABEST @ PAINTED SKY ELEMENTARY";"12620 NORTH WOODBURNE AVENUE";"CDC-18885";8/6/2020;7/31/2023;"ORO VALLEY";"PIMA";"(520)696-3800";"(   )   -";37;"CDC18885";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"jminor@alphabest.org"
12/1/2020;"CHILD CARE CENTER";"85704";"ALPHABEST @ WALKER ELEMENTARY";"1750 WEST ROLLER COASTER ROAD";"CDC-18890";8/3/2020;7/31/2023;"TUCSON";"PIMA";"(520)696-6573";"(   )   -";59;"CDC18890";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"walkeramphi@alphabest.org"
12/1/2020;"CHILD CARE CENTER";"85742";"ALPHABEST @ WILSON K-8 SCHOOL";"2330 WEST GLOVER ROAD";"CDC-18888";8/4/2020;7/31/2023;"TUCSON";"PIMA";"(520)696-5800";"(   )   -";138;"CDC18888";;;;;;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"igallardo@alphabest.org"
12/1/2020;"CHILD CARE CENTER";"86004";"ALPINE ACADEMY PRESCHOOL";"5200 EAST CORTLAND BLVD STE A-22";"CDC-18417";10/1/2018;9/30/2021;"FLAGSTAFF";"COCONINO";"(928)526-3200";"(928)526-3200";45;"CDC18417";;;;;;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"alpineacademypreschool@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85031";"AMERICAN CHILD CARE #48";"4715 WEST THOMAS ROAD";"CDC-0500";8/1/2019;7/31/2022;"PHOENIX";"MARICOPA";"(602)269-5045";"(602)278-6541";129;"CDC0500";-112.160507;33.480356;;;;"C11";"AZ";"18";"12";"LICENSED";"LICENSED";"LICENSED";"Rhonda@americanchildcare.com"
12/1/2020;"CHILD CARE CENTER";"85302";"AMERICAN CHILD CARE #50";"8515 NORTH 51ST AVENUE";"CDC-0715";8/1/2019;7/31/2022;"GLENDALE";"MARICOPA";"(623)931-5911";"(602)424-0635";118;"CDC0715";-112.168761;33.560462;;;;"C11";"AZ";"11";"10";"LICENSED";"LICENSED";"LICENSED";"erinjones3713@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85035";"AMERICAN CHILD CARE, # 52";"5933 WEST MCDOWELL ROAD";"CDC-0852";4/1/2018;3/31/2021;"PHOENIX";"MARICOPA";"(623)247-2684";"(602)873-0244";95;"CDC0852";-112.187546;33.465821;;;;"C11";"AZ";"N/A";"13";"LICENSED";"LICENSED";"LICENSED";"hiralparikhhjs@yahoo.com"
12/1/2020;"CHILD CARE CENTER";"86301";"AMERICAN LUTHERAN SCHOOL";"1085 SCOTT DRIVE";"CDC-1907";9/1/2018;8/31/2021;"PRESCOTT";"YAVAPAI";"(928)778-7049";"(928)445-8343";59;"CDC1907";-112.475413;34.563654;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"preschool@americanlutheran.net"
12/1/2020;"CHILD CARE CENTER";"85048";"AMICI TRILINGUAL MONTESSORI";"1244 EAST CHANDLER BOULEVARD";"CDC-18613";9/10/2019;8/31/2022;"PHOENIX";"MARICOPA";"(480)300-5585";"(   )   -";30;"CDC18613";;;;;;"C11";"AZ";"5";"12";"LICENSED";"LICENSED";"N/A";"info@amicimontessori.org"
12/1/2020;"CHILD CARE CENTER";"85033";"AMIGO PRESCHOOLS #2";"4035 NORTH 71ST AVENUE";"CDC-5307";9/1/2018;8/31/2021;"PHOENIX";"MARICOPA";"(623)848-1295";"(   )   -";140;"CDC5307";-112.211726;33.49352;;;;"C11";"AZ";"5";"10";"LICENSED";"LICENSED";"LICENSED";"csamamigos@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85705";"AMPHI HEAD START";"1075 WEST ROGER ROAD";"CDC-3656";10/1/2018;9/30/2021;"TUCSON";"PIMA";"(520)292-9416";"(520)622-1927";59;"CDC3656";-110.989226;32.279177;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"amphi@childparentcenters.org"
12/1/2020;"CHILD CARE CENTER";"85022";"ANDERSON PREPARATORY ACADEMY  L L C";"14235 NORTH 7TH STREET";"CDC-15627";12/1/2019;11/30/2022;"PHOENIX";"MARICOPA";"(602)938-3114";"(   )   -";130;"CDC15627";-112.065161;33.615902;;;;"C11";"AZ";"10";"30";"LICENSED";"LICENSED";"LICENSED";"info@AndersonPrep.com"
12/1/2020;"CHILD CARE CENTER";"85541";"ANGELS & RASCALS DAY CARE L.L.C.";"101 WEST ROUNDUP ROAD";"CDC-18220";10/30/2018;9/30/2021;"PAYSON";"GILA";"(928)474-7078";"(   )   -";55;"CDC18220";;;;;;"C11";"AZ";"6";"10";"LICENSED";"LICENSED";"LICENSED";"mitchc59@gmail.com"
12/1/2020;"CHILD CARE CENTER";"85086";"ANTHEM COMMUNITY CENTER";"41130 NORTH FREEDOM WAY";"CDC-15661";6/1/2020;5/31/2023;"ANTHEM";"MARICOPA";"(623)879-3011";"(623)879-3030";225;"CDC15661";-112.130584;33.856784;;;;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"lcombe@anthemcouncil.com"
