"FacilityID";"Name";"State";"County";"City";"Zip";"Address";"Phone";"Fax";"Licensee";"License Number";"Facility Type";"FacilityUrl"
"CDC15287";"KHALSA MONTESSORI PRIMARY SCHOOL INC.";"AZ";"Maricopa";"PHOENIX";85004;"346 EAST CORONADO ROAD";"(602) 252-2275";"(602) 252-1890";"KHALSA MONTESSORI PRIMARY SCHOOL INC.";"CDC-15287";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC18693";"KHALSA MONTESSORI TODDLER SCHOOL";"AZ";"Maricopa";"PHOENIX";85004;"303 EAST PALM LANE";"(480) 770-2460";"( ) -";"KHALSA MONTESSORI PRIMARY SCHOOL INC.";"CDC-18693";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC19129";"LITTLE BIG MINDS PRESCHOOL";"AZ";"Maricopa";"PHOENIX";85004;"2301 NORTH 3RD STREET";"(602) 910-4417";"( ) -";"LITTLE BIG MINDS PRESCHOOL #2";"CDC-19129";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC19045";"LITTLE LANTANAS MONTESSORI";"AZ";"Maricopa";"PHOENIX";85004;"1124 NORTH 3RD STREET";"(602) 706-2042";"( ) -";"LITTLE LANTANAS MONTESSORI LLC";"CDC-19045";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC14254";"YELLOW BRICK ROAD PRESCHOOLS";"AZ";"Maricopa";"PHOENIX";85004;"392 EAST WINDSOR AVENUE";"(602) 265-9424";"(602) 265-9452";"YELLOW BRICK ROAD PRESCHOOLS INC.";"CDC-14254";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC16671";"A S U PREPARATORY ACADEMY PRESCHOOL - PHOENIX";"AZ";"Maricopa";"PHOENIX";85006;"735 EAST FILLMORE STREET";"(602) 496-3100";"(602) 257-4852";"ASU PREPARATORY ACADEMY";"CDC-16671";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC12281";"BOOKER T WASHINGTON CHILD DEVELOPMENT CENTER";"AZ";"Maricopa";"PHOENIX";85006;"804 NORTH 18TH STREET";"(602) 258-4743";"(602) 252-4894";"BOOKER T. WASHINGTON CHILD DEVELOPMENT CENTER";"CDC-12281";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC18149";"C.E.S.D.#14 - WILLIAM T. MACHAN SCHOOL";"AZ";"Maricopa";"PHOENIX";85006;"2140 EAST VIRGINIA AVENUE";"(602) 381-6120";"(602) 381-6125";"CREIGHTON ELEMENTARY SCHOOL DISTRICT";"CDC-18149";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC19025";"GREATER PHOENIX URBAN LEAGUE HEAD START - ASU PREP";"AZ";"Maricopa";"PHOENIX";85006;"735 EAST FILLMORE STREET";"(602) 276-9305";"(602) 268-1544";"GREATER PHOENIX URBAN LEAGUE, INC.";"CDC-19025";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC6331";"P.E.S.D.#1 - EDISON ELEMENTARY SCHOOL";"AZ";"Maricopa";"PHOENIX";85006;"804 NORTH 18TH STREET";"(602) 523-5827";"(602) 257-3704";"PHOENIX ELEMENTARY SCHOOL DISTRICT #1";"CDC-6331";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC6330";"P.E.S.D.#1 - EMERSON ELEMENTARY SCHOOL";"AZ";"Maricopa";"PHOENIX";85006;"915 EAST PALM LANE";"(602) 257-3908";"(602) 257-3937";"PHOENIX ELEMENTARY SCHOOL DISTRICT #1";"CDC-6330";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC6312";"P.E.S.D.#1 - GARFIELD ELEMENTARY SCHOOL";"AZ";"Maricopa";"PHOENIX";85006;"811 NORTH 13TH STREET";"(602) 523-8712";"(602) 257-4866";"PHOENIX ELEMENTARY SCHOOL DISTRICT #1";"CDC-6312";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC6321";"P.E.S.D.#1 - WHITTIER ELEMENTARY SCHOOL";"AZ";"Maricopa";"PHOENIX";85006;"2000 NORTH 16TH STREET";"(602) 523-8698";"(602) 416-2013";"PHOENIX ELEMENTARY SCHOOL DISTRICT #1";"CDC-6321";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"SGH11317";"SECURE CHILDCARE";"AZ";"Maricopa";"PHOENIX";85006;"1216 EAST WINDSOR AVENUE";"(602) 264-3790";"( ) -";"SECURE CHILD CARE, INC.";"SGH-11317";"CHILD CARE SMALL GROUP HOME";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC9609";"SOUTHWEST HEAD START @ EXCELENCIA SCHOOL";"AZ";"Maricopa";"PHOENIX";85006;"2181 EAST MCDOWELL ROAD";"(602) 266-3065";"(602) 265-4768";"SOUTHWEST HUMAN DEVELOPMENT, INC.";"CDC-9609";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC4063";"SOUTHWEST HEAD START @ MACHAN SCHOOL";"AZ";"Maricopa";"PHOENIX";85006;"2140 EAST VIRGINIA AVENUE";"(602) 218-8678";"(602) 265-4768";"SOUTHWEST HUMAN DEVELOPMENT, INCORPORATED";"CDC-4063";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC14535";"ST. AGNES PRESCHOOL";"AZ";"Maricopa";"PHOENIX";85006;"2311 EAST PALM LANE";"(602) 244-1451";"(602) 286-0250";"ST. AGNES ROMAN CATHOLIC PARISH PHOENIX";"CDC-14535";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC11999";"THE S A R R C COMMUNITY SCHOOL";"AZ";"Maricopa";"PHOENIX";85006;"300 NORTH 18TH STREET";"(602) 340-8717";"(602) 340-8720";"SOUTHWEST AUTISM RESEARCH AND RESOURCE CENTER";"CDC-11999";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC13838";"TUTOR TIME CHILD CARE/ LEARNING CENTERS";"AZ";"Maricopa";"PHOENIX";85006;"725 EAST BRILL STREET";"(602) 254-2201";"(602) 256-0493";"TUTOR TIME LEARNING CENTERS, LLC";"CDC-13838";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC16650";"BOOKER T. WASHINGTON - CAPITOL";"AZ";"Maricopa";"PHOENIX";85007;"330 NORTH 16TH AVENUE";"(602) 523-5747";"(602) 252-4894";"BOOKER T. WASHINGTON CHILD DEVELOPMENT CENTER";"CDC-16650";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC16658";"BOOKER T. WASHINGTON - BETHUNE";"AZ";"Maricopa";"PHOENIX";85007;"1310 SOUTH 15TH AVENUE";"(602) 252-4743";"(602) 252-4894";"BOOKER T. WASHINGTON CHILD DEVELOPMENT CENTER";"CDC-16658";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC17680";"GREATER PHOENIX URBAN LEAGUE HEAD START - BYRON BA";"AZ";"Maricopa";"PHOENIX";85007;"2533 NORTH 60TH AVENUE";"(602) 276-9305";"(602) 268-1544";"GREATER PHOENIX URBAN LEAGUE, INC.";"CDC-17680";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC6333";"P.E.S.D.#1 - BETHUNE ELEMENTARY SCHOOL";"AZ";"Maricopa";"PHOENIX";85007;"1310 SOUTH 15TH AVENUE";"(602) 257-4804";"(602) 416-2013";"PHOENIX ELEMENTARY SCHOOL DISTRICT #1";"CDC-6333";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC6332";"P.E.S.D.#1 - CAPITOL ELEMENTARY SCHOOL";"AZ";"Maricopa";"PHOENIX";85007;"333 NORTH 16TH AVENUE";"(602) 257-3835";"(602) 257-3874";"PHOENIX ELEMENTARY SCHOOL DISTRICT #1";"CDC-6332";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC12397";"P.E.S.D.#1 - DUNBAR ELEMENTARY SCHOOL";"AZ";"Maricopa";"PHOENIX";85007;"707 WEST GRANT STREET";"(602) 257-3837";"( ) -";"PHOENIX ELEMENTARY SCHOOL DISTRICT #1";"CDC-12397";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC16806";"PHOENIX RESCUE MISSION CHANGING LIVES CENTER";"AZ";"Maricopa";"PHOENIX";85007;"338 NORTH 15TH AVENUE";"(602) 688-6224";"(602) 419-2201";"PHOENIX GOSPEL MISSION, INC.";"CDC-16806";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC4157";"THE FAMILY SCHOOL";"AZ";"Maricopa";"PHOENIX";85007;"1121 WEST MCDOWELL ROAD";"(602) 252-5866";"(602) 322-0384";"THE FAMILY SCHOOL";"CDC-4157";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC7039";"ARCADIA MONTESSORI SCHOOL";"AZ";"Maricopa";"PHOENIX";85008;"5115 EAST VIRGINIA AVENUE";"(602) 840-2342";"(602) 840-5065";"ARCADIA MONTESSORI CORPORATION";"CDC-7039";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC14937";"B.E.S.D.#31 - ORANGEDALE EARLY LEARNING CENTER";"AZ";"Maricopa";"PHOENIX";85008;"5048 EAST OAK STREET";"(602) 629-6821";"(602) 628-6815";"BALSZ ELEMENTARY SCHOOL DISTRICT, #31";"CDC-14937";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC19008";"BOOKER T. WASHINGON CDC - WILSON";"AZ";"Maricopa";"PHOENIX";85008;"500 NORTH 30TH PLACE";"(602) 252-4743";"( ) -";"BOOKER T. WASHINGTON CHILD DEVELOPMENT CENTER, INC";"CDC-19008";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC18311";"C.E.S.D.#14 - GATEWAY SCHOOL";"AZ";"Maricopa";"PHOENIX";85008;"1100 NORTH 35TH STREET";"(602) 381-4665";"(602) 381-4662";"CREIGHTON ELEMENTARY SCHOOL DISTRICT";"CDC-18311";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC18313";"C.E.S.D.#14 - PAPAGO SCHOOL";"AZ";"Maricopa";"PHOENIX";85008;"2013 NORTH 36TH STREET";"(602) 381-6100";"( ) -";"CREIGHTON ELEMENTARY SCHOOL DISTRICT";"CDC-18313";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC8249";"CHILD CRISIS ARIZONA EARLY EDUCATION SERVICES";"AZ";"Maricopa";"PHOENIX";85008;"402 NORTH 24TH STREET";"(602) 889-6165";"(602) 889-6173";"CHILD CRISIS ARIZONA";"CDC-8249";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"SGH18512";"J J'S LEARNING CENTER";"AZ";"Maricopa";"PHOENIX";85008;"622 N 48TH STREET";"(602) 718-7680";"( ) -";"JANE SALGADO";"SGH-18512";"CHILD CARE SMALL GROUP HOME";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC3054";"JUST LIKE HOME DAY CARE & PRESCHOOL";"AZ";"Maricopa";"PHOENIX";85008;"4940 EAST MCDOWELL ROAD";"(602) 275-5352";"( ) -";"JUST LIKE HOME DAY CARE & PRESCHOOL, INC.";"CDC-3054";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC16348";"MAGIC KEYS TO LEARNING CHILDREN'S DEVELOPMENT CENT";"AZ";"Maricopa";"PHOENIX";85008;"3450 EAST VAN BUREN STREET";"(602) 225-2543";"( ) -";"GLOBAL KEYS TO KNOWLEDGE CORP";"CDC-16348";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC13919";"MAGICAL STAR PRESCHOOL";"AZ";"Maricopa";"PHOENIX";85008;"2232 NORTH 36TH STREET";"(602) 267-1539";"(602) 267-1579";"MAGICAL STAR PRESCHOOL INC";"CDC-13919";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC1532";"NEW CREATIONS DAY CARE & LEARNING CENTER";"AZ";"Maricopa";"PHOENIX";85008;"2904 EAST ROOSEVELT STREET";"(602) 273-7940";"(602) 273-3884";"CANDLER CORPORATION";"CDC-1532";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC7623";"PHOENIX CHRISTIAN SCHOOL";"AZ";"Maricopa";"PHOENIX";85008;"2425 NORTH 26TH STREET";"(602) 956-9330";"(602) 956-4207";"PHOENIX CHRISTIAN SCHOOL SOCIETY, INC.";"CDC-7623";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC16197";"S.E.E.K. ARIZONA";"AZ";"Maricopa";"PHOENIX";85008;"1848 NORTH 52ND STREET";"(480) 902-0771";"(480) 967-0804";"S.E.E.K. ARIZONA, LLC";"CDC-16197";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC4709";"SOUTHWEST CREIGHTON HEAD START";"AZ";"Maricopa";"PHOENIX";85008;"2802 EAST MCDOWELL ROAD";"(602) 244-9441";"(602) 234-7938";"SOUTHWEST HUMAN DEVELOPMENT";"CDC-4709";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC15893";"SOUTHWEST EARLY HEAD START / HEAD START AT EDUCARE";"AZ";"Maricopa";"PHOENIX";85008;"1300 NORTH 48TH STREET";"(602) 845-4150";"( ) -";"SOUTHWEST HUMAN DEVELOPMENT";"CDC-15893";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC9608";"SOUTHWEST HEAD START @ CROCKETT";"AZ";"Maricopa";"PHOENIX";85008;"501 NORTH 36TH STREET";"(602) 275-1083";"(602) 234-7938";"SOUTHWEST HUMAN DEVELOPMENT, INCORPORATED";"CDC-9608";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC8105";"SOUTHWEST HEAD START @ GATEWAY";"AZ";"Maricopa";"PHOENIX";85008;"1100 NORTH 35TH STREET";"(602) 266-5976";"(602) 234-7938";"SOUTHWEST HUMAN DEVELOPMENT, INCORPORATED";"CDC-8105";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC4064";"SOUTHWEST HEAD START @ PAPAGO SCHOOL";"AZ";"Maricopa";"PHOENIX";85008;"2052 NORTH 36TH STREET";"(602) 275-6847";"(602) 265-4768";"SOUTHWEST HUMAN DEVELOPMENT, INC.";"CDC-4064";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC7167";"SOUTHWEST HEAD START @ PAT TILLMAN";"AZ";"Maricopa";"PHOENIX";85008;"4309 EAST BELLEVIEW STREET";"(602) 218-8678";"(602) 265-4768";"SOUTHWEST HUMAN DEVELOPMENT";"CDC-7167";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC18558";"SOUTHWEST HEAD START AT BRUNSON LEE";"AZ";"Maricopa";"PHOENIX";85008;"1350 NORTH 48TH STREET";"(602) 525-6339";"( ) -";"SOUTHWEST HUMAN DEVELOPMENT, INC.";"CDC-18558";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC18966";"THE SON'S CHILDREN - 36TH STREET";"AZ";"Maricopa";"PHOENIX";85008;"2030 NORTH 36TH STREET";"(602) 956-7370";"( ) -";"CHILDRENS ACADEMY INC";"CDC-18966";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC15222";"TODAYS TOMORROW LEARNING ACADEMY";"AZ";"Maricopa";"PHOENIX";85008;"1616 NORTH 24TH STREET - SUITE #104";"(602) 275-0203";"(602) 275-0207";"TODAYS TOMORROW LEARNING CENTER L L C";"CDC-15222";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC1666";"W.E.S.D.#7 - WILSON PRIMARY SCHOOL PRESCHOOL";"AZ";"Maricopa";"PHOENIX";85008;"415 NORTH 30TH STREET";"(602) 231-0373";"(602) 231-0567";"WILSON ELEMENTARY SCHOOL DISTRICT #7";"CDC-1666";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC0179";"A KIDDIE'S KINGDOM";"AZ";"Maricopa";"PHOENIX";85009;"2318 NORTH 35TH AVENUE";"(602) 278-1513";"(602) 358-7908";"A KIDDIE'S KINGDOM, INCORPORATED";"CDC-0179";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC10283";"ACTIVE LEARNING CENTER #4";"AZ";"Maricopa";"PHOENIX";85009;"3342 WEST ROOSEVELT STREET";"(602) 272-3609";"(602) 272-3674";"JTW, LLC";"CDC-10283";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC19010";"BOOKER T. WASHINGTON CDC - HAMILTON";"AZ";"Maricopa";"PHOENIX";85009;"2020 WEST DURANGO";"(602) 252-4743";"( ) -";"BOOKER T. WASHINGTON CHILD DEVELOPMENT CENTER, INC";"CDC-19010";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC19011";"BOOKER T. WASHINGTON CDC - KUBAN";"AZ";"Maricopa";"PHOENIX";85009;"3201 WEST SHERMAN";"(602) 252-4743";"( ) -";"BOOKER T. WASHINGTON CHILD DEVELOPMENT CENTER, INC";"CDC-19011";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC19009";"BOOKER T. WASHINGTON CDC - SULLIVAN";"AZ";"Maricopa";"PHOENIX";85009;"2 NORTH 31ST AVENUE";"(602) 252-4743";"( ) -";"BOOKER T. WASHINGTON CHILD DEVELOPMENT CENTER, INC";"CDC-19009";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC15354";"CHICANOS POR LA CAUSA INC/ MURPHY E.C.D.";"AZ";"Maricopa";"PHOENIX";85009;"3140 WEST BUCKEYE ROAD";"(602) 716-0156";"(602) 353-5401";"CHICANOS POR LA CAUSA, INC.";"CDC-15354";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC1247";"CHILDREN'S CAMPUS";"AZ";"Maricopa";"PHOENIX";85009;"2830 NORTH 43RD AVENUE";"(602) 233-2218";"(602) 233-1715";"FOR CHILDREN, INCORPORATED";"CDC-1247";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC18731";"GOLDEN GATE";"AZ";"Maricopa";"PHOENIX";85009;"1625 NORTH 39TH AVENUE";"(602) 233-0017";"( ) -";"WESLEY COMMUNITY HEALTH CENTER";"CDC-18731";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC17067";"GREATER PHOENIX URBAN LEAGUE - JB SUTTON";"AZ";"Maricopa";"PHOENIX";85009;"1001 NORTH 31ST AVENUE";"(602) 442-3200";"(602) 268-1544";"GREATER PHOENIX URBAN LEAGUE, INC.";"CDC-17067";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC17068";"GREATER PHOENIX URBAN LEAGUE - P.T. COE ELEMENTARY";"AZ";"Maricopa";"PHOENIX";85009;"3801 WEST ROANOKE";"(602) 484-4730";"(602) 268-1544";"GREATER PHOENIX URBAN LEAGUE, INC.";"CDC-17068";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC18320";"GREATER PHOENIX URBAN LEAGUE HEAD START - ALTA E.";"AZ";"Maricopa";"PHOENIX";85009;"3843 WEST ROOSEVELT STREET";"(602) 276-9305";"(602) 268-1544";"GREATER PHOENIX URBAN LEAGUE, INC.";"CDC-18320";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC16668";"GREATER PHOENIX URBAN LEAGUE HEAD START - MITCHELL";"AZ";"Maricopa";"PHOENIX";85009;"1700 NORTH 41ST AVENUE";"(602) 276-9305";"(602) 268-1544";"GREATER PHOENIX URBAN LEAGUE, INC.";"CDC-16668";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC17679";"GREATER PHOENIX URBAN LEAGUE HEAD START - MOYA";"AZ";"Maricopa";"PHOENIX";85009;"406 NORTH 41ST AVENUE";"(602) 442-3100";"(602) 268-1544";"GREATER PHOENIX URBAN LEAGUE, INC.";"CDC-17679";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC17681";"GREATER PHOENIX URBAN LEAGUE HEAD START- BRET TARV";"AZ";"Maricopa";"PHOENIX";85009;"3101 WEST MCDOWELL ROAD";"(602) 442-2900";"(602) 268-1544";"GREATER PHOENIX URBAN LEAGUE, INC.";"CDC-17681";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC6461";"I.E.S.D.#5 - ISAAC PRESCHOOL CAMPUS";"AZ";"Maricopa";"PHOENIX";85009;"3101 WEST MCDOWELL ROAD";"(602) 442-2900";"(602) 442-2999";"ISAAC ELEMENTARY SCHOOL DISTRICT #5";"CDC-6461";"CHILD CARE PUBLIC SCHOOL";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC17979";"KATY'S KIDS AT NEIGHBORHOOD MINISTRIES";"AZ";"Maricopa";"PHOENIX";85009;"1918 WEST VAN BUREN STREET";"(602) 718-1718";"(602) 252-3171";"NEIGHBORHOOD MINISTRIES, INC.";"CDC-17979";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
"CDC15581";"KATYS KIDS PRESCHOOL AT NEIGHBORHOOD MINISTRIES";"AZ";"Maricopa";"PHOENIX";85009;"1929 WEST FILLMORE STREET";"(480) 819-3709";"(602) 252-3171";"NEIGHBORHOOD MINISTRIES INC";"CDC-15581";"CHILD CARE CENTER";"https://hsapps.azdhs.gov/ls/sod/Provider.aspx?type=CC"
