"id";"name";"address";"city";"state";"phone";"main website";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4"
943375;"LITTLE SCHOLARS ACADEMY";"6702 WEST CHOLLA STREET";"PEORIA";"AZ";"(623) 889-3777";"http://littlescholarsaz.com/locations.html";"http://littlescholarsaz.com/locations.html";;"6:30am-6:00pm ";;"http://littlescholarsaz.com/forms/registration-form.pdf";;"n";"y";"y";"y";"n";"y";;"http://littlescholarsaz.com/images/aboutus_img1.jpg";"http://littlescholarsaz.com/images/aboutus_img2.jpg";;
943374;"GREAT BEGINNINGS PRESCHOOL # 7";"17230 NORTH 59TH AVENUE";"GLENDALE";"AZ";"602-682-7020";"http://www.greatbeginningsaz.com/glendale.html";"http://www.greatbeginningsaz.com/glendale.html";;"Monday – Friday: 6:30 AM to 6:00 PM ";"http://www.greatbeginningsaz.com/careers.html";;;"n";"y";"y";"y";"n";"n";;"http://www.greatbeginningsaz.com/uimages/three_girls.jpg";"http://www.greatbeginningsaz.com/uimages/boy_painting.jpg";"http://www.greatbeginningsaz.com/uimages/smiling_creative_girl.jpg";"http://www.greatbeginningsaz.com/uimages/location_images/School_Glendale_Location.jpg"
943371;"KIDS INCORPORATED LEARNING CENTER";"2350 SOUTH GILBERT ROAD";"CHANDLER";"AZ";"(480) 899-5437";"http://kidsinclearningcenters.com/contact/";"http://kidsinclearningcenters.com/contact/";;"Mon – Fri: 6 am – 6:30 pm";;"http://kidsinclearningcenters.com/apply-to-kids-inc/";;"y";"y";"y";"y";"y";"n";"http://kidsinclearningcenters.com/wp-content/uploads/2012/10/thumb_logo.png";"http://kidsinclearningcenters.com/wp-content/uploads/2013/02/slider3-960x400.jpg";"http://kidsinclearningcenters.com/wp-content/uploads/2013/02/slider1-960x400.jpg";"http://kidsinclearningcenters.com/wp-content/uploads/2013/02/slider4-960x400.jpg";"http://kidsinclearningcenters.com/wp-content/uploads/2013/02/slider2-960x400.jpg"
943370;"SAN TAN MONTESSORI SCHOOL L L C";"1475 SOUTH HIGLEY ROAD";"GILBERT";"AZ";"(480) 222-0811";"http://www.santanlearningcenter.com/";"http://www.santanlearningcenter.com/";;;"http://www.santanlearningcenter.com/welcome/employment/";"http://www.santanlearningcenter.com/san-tan-school-for-the-gifted/gifted-identification/";;"n";"n";"y";"y";"y";"n";"http://www.santanlearningcenter.com/wp-content/themes/stlc/images/stlc-logo.png";"http://www.santanlearningcenter.com/wp-content/uploads/montessori-old-300x226.jpg";"http://www.santanlearningcenter.com/wp-content/uploads/montessori-old-3-300x246.jpg";"http://www.santanlearningcenter.com/wp-content/uploads/charter-9-300x284.jpg";"http://www.santanlearningcenter.com/wp-content/uploads/charter-3-300x225.jpg"
943367;"CANYON CHRISTIAN PRESCHOOL";"3270 NORTH HARVARD STREET";"KINGMAN";"AZ";"(928) 681-3013";"http://canyon-preschool.com/";"http://canyon-preschool.com/";;"6am-4pm";;;;"n";"n";"y";"y";"y";"n";"http://canyon-preschool.com/images/ccp_logo.jpg";"http://canyon-preschool.com/images/purestock_1574r-0574c.medium.jpg";"http://canyon-preschool.com/images/superstock_1099r-5251.medium_7mw4.jpg";;
943363;"ST THERESA LITTLE FLOWER PRESCHOOL";"5001 EAST THOMAS ROAD";"PHOENIX";"AZ";"(602) 840-0010";"http://www.stcs.us/preschool.html";;;;;;;;;;;;;;;;;
943361;"SPONDEO PRESCHOOL";"2680 SOUTH VAL VISTA DRIVE STE 157";"GILBERT";"AZ";"(480) 374-3911";"http://spondeopreschool.com/";"http://spondeopreschool.com/";;"7:00A-6:00P";;"http://www.spondeopreschool.com/tuitionandadmission/tuitionandadmission.php";;"n";"y";"y";"y";"n";"n";;"http://spondeopreschool.com/100_0309.jpg";"http://spondeopreschool.com/ContactUsPic.gif";"http://www.spondeopreschool.com/ourmission/ourmission_clip_image002_0000.jpg";
943360;"TUTOR TIME CHILD CARE/ LEARNING CENTERS";"875 EAST BELL ROAD";"PHOENIX";"AZ";"(602) 938-5257";"http://www.tutortime.com/our-schools/phoenix-az-6062/";"http://www.tutortime.com/our-schools/phoenix-az-6062/";"http://www.facebook.com/TutorTime?ref=ts";"06:00 AM - 06:30 PM ";"http://www.tutortime.com/about/careers/";"http://www.tutortime.com/enrollment/our-enrollment-process/";;"y";"y";"y";"y";"y";"y";;"http://dkqvlsfy4i18r.cloudfront.net/6062/yjhl44g.jpg";"http://dkqvlsfy4i18r.cloudfront.net/6062/ldtaunc.jpg";"http://dkqvlsfy4i18r.cloudfront.net/6062/vm15h5q.jpg";"http://dkqvlsfy4i18r.cloudfront.net/6062/3vyszy8.jpg"
943323;"LA PETITE ACADEMY";"3100 SOUTH GILBERT ROAD";"CHANDLER";"AZ";"(480) 802-0688";"http://www.lapetite.com/our-schools/chandler-az-7659/";"http://www.lapetite.com/our-schools/chandler-az-7659/";"http://www.facebook.com/LaPetiteAcademy?ref=ts";"06:00 AM - 06:30 PM ";"http://www.lapetite.com/about/careers/";"http://www.lapetite.com/enrollment/our-enrollment-process/";;"y";"y";"y";"y";"y";"y";;"http://dkqvlsfy4i18r.cloudfront.net/7659/tkgvul0.jpg";"http://dkqvlsfy4i18r.cloudfront.net/7659/6dzoz1b.jpg";"http://dkqvlsfy4i18r.cloudfront.net/7659/1wrqlha.jpg";"http://dkqvlsfy4i18r.cloudfront.net/7659/v81f1j4.jpg"
943322;"H K CUMMINGS COMMUNITY CENTER - SONORAN SKY";"10150 WEST MISSOURI AVENUE";"GLENDALE";"AZ";"623-772-2760";"http://www.childhelp.org/programs/entry/childhelp-h.k.-cummings-community-center/";"http://www.childhelp.org/programs/entry/childhelp-h.k.-cummings-community-center/";"http://www.facebook.com/childhelp";;"http://childhelp.applicantstack.com/x/openings";"http://childhelp.3cdn.net/fd579f6919853fea17_j5m6bn7i7.pdf";;"n";"n";"n";"y";"y";"n";;"http://www.childhelp.org/page/-/images/programs/students.png";;;
943321;"H K CUMMINGS COMMUNITY CENTER - WEST WIND PRIMARY";"9040 WEST CAMPBELL";"PHOENIX";"AZ";"623-772-2760";"http://www.childhelp.org/programs/entry/childhelp-h.k.-cummings-community-center/";"http://www.childhelp.org/programs/entry/childhelp-h.k.-cummings-community-center/";"http://www.facebook.com/childhelp";;"http://childhelp.applicantstack.com/x/openings";"http://childhelp.3cdn.net/fd579f6919853fea17_j5m6bn7i7.pdf";;"n";"n";"n";"y";"y";"n";;"http://www.childhelp.org/page/-/images/programs/students.png";;;
943309;"VICTORIOUS PRESCHOOL & KINDERGARTEN";"2561 W RUTHRAUFF ROAD";"TUCSON";"AZ";"(520) 495-7861";"http://vwcaz.org/ministries/victorious-preschool-kindergarten/";;;;;;;;;;;;;;;;;
943301;"EAST MESA CHARTER ELEMENTARY SCHOOL";"9701 EAST SOUTHERN AVENUE";"MESA";"AZ";"480-355-6830";"http://imagineeastmesa.com/home/?page_id=213";;;;;;;;;;;;;;;;;
943265;"CHABAD ALEPH BET PRESCHOOL";"2110 EAST LINCOLN DRIVE";"PHOENIX";"AZ";"(602) 944-2580";"http://www.alephbetaz.com/";"http://www.alephbetaz.com/";;;;"http://www.alephbetaz.com/templates/preschool/article_cdo/aid/516623/jewish/Admissions.htm";;"n";"y";"y";"y";"n";"n";;"http://www.alephbetaz.com/media/images/132/cPbx1321774.jpg";"http://www.alephbetaz.com/media/images/132/Mnnn1321806.jpg";"http://www.alephbetaz.com/media/images/155/XhjR1555290.jpg";"http://www.alephbetaz.com/media/images/155/mVEX1555286.jpg"
128085;"WE LOVE KIDS CHILD CARE";"18631 N 19TH AVE  STE 120-124";"PHOENIX";"AZ";"(623)780-9222";"http://www.weloveaz1.com/";;;;;;;;;;;;;;;;;
128086;"CAREBEAR PRESCHOOL";"2625 W. Queen Creek Road";"CHANDLER";"AZ";"(480)219-9049";"http://www.carebearpreschool.com/contact";;;;;;;;;;;;;;;;;
128089;"TOTS UNLIMITED - GILBERT";"50 EAST GUADALUPE ROAD  SUITE #101";"GILBERT";"AZ";"(480)633-2506";"http://totsunlimited.com/location_gillbert.html";;;;;;;;;;;;;;;;;
128092;"MARICOPA COUNTY HUMAN SERVICES - REDBIRD HEAD STAR";"1020 SOUTH EXTENSION T-3";"MESA";"AZ";"(480)649-8328";"http://www.hsd.maricopa.gov/headstart/";"http://www.hsd.maricopa.gov/headstart/";"http://www.facebook.com/pages/Maricopa-County-Human-Services-Department/111298682241353";"8am-4pm";;;;"n";"n";"y";"y";"n";"n";"http://myhsd.maricopa.gov/getmedia/e1ddb36b-ceb6-4db7-a170-cc94daa3db59/logo.aspx";;;;
128082;"KINDERCARE LEARNING CENTER 7";"3800 NORTH CENTRAL AVENUE  STE #1-A";"PHOENIX";"AZ";"(602)277-4533";"http://www.kindercare.com/our-centers/center-details/301312/";"http://www.kindercare.com/our-centers/center-details/301312/";"http://www.facebook.com/kindercare";"6:00 AM to 6:00 PM, M-F";"http://www.kindercare.com/careers/";;;"y";"y";"y";"y";"n";"n";"http://www.kindercare.com/images/redesign/shell/logo.png";"http://www.kindercare.com/uploadedImages/kindercarecom/Web_Pages/Community_Resources/main-parents.jpg";"http://www.kindercare.com/uploadedImages/Images/Photos/main-programs.jpg";"http://www.kindercare.com/uploadedImages/kindercarecom/Web_Pages/About_Us/main-aboutus.jpg";"http://www.kindercare.com/uploadedImages/Images/Photos/main-programs.jpg"
128081;"MARICOPA COUNTY HUMAN SERVICES - WESTSIDE MULTI GE";"715 WEST 5TH STREET ROOM137";"TEMPE";"AZ";"(480)858-2400";"http://www.hsd.maricopa.gov/headstart/";"http://www.hsd.maricopa.gov/headstart/";"http://www.facebook.com/pages/Maricopa-County-Human-Services-Department/111298682241353";"8am-4pm";;;;"n";"n";"y";"y";"n";"n";"http://myhsd.maricopa.gov/getmedia/e1ddb36b-ceb6-4db7-a170-cc94daa3db59/logo.aspx";;;;
128078;"YOUNG MINDS PRESCHOOL L L C";"1881 S 4TH AVE SUITE A";"YUMA";"AZ";"(928)783-4979";"http://www.ympreschool.net";"http://www.ympreschool.net";;"Monday – Friday, 6:30am – 5:30pm";;;;"n";"n";"y";"y";"n";"n";"http://www.ympreschool.net/images/logo.jpg";"http://www.ympreschool.net/index-4.html";;;
128079;"YUMA LUTHERAN SCHOOL";"2555 ENGLER AVENUE";"YUMA";"AZ";"(928)726-8410";"http://www.yumalutheranschool.org";"http://www.yumalutheranschool.org";;;;;;"n";"n";"n";"y";"y";"n";;"http://www.yumalutheranschool.org/images/stories/school/banner-homepage.jpg";;;
128080;"YUMA PRESCHOOL";"870 WEST 32ND STREET";"YUMA";"AZ";"(520)344-0670";"http://www.yuma-preschool.com";"http://www.yuma-preschool.com";"http://www.facebook.com/pages/Yuma-Preschool/118579274829148";"Mon - Fri: 6:30 am - 6:00 pm";;;;"n";"n";"y";"y";"y";"n";"http://www.yuma-preschool.com/images/logo.png";"http://www.yuma-preschool.com/images/virtualtour/virtual%20tour%2015.jpg";"http://www.yuma-preschool.com/images/virtualtour/virtual%20tour%2016.jpg";"http://www.yuma-preschool.com/images/virtualtour/virtualtour%20%2842%29.jpg";"http://www.yuma-preschool.com/images/virtualtour/virtualtour%20%2845%29.jpg"
128075;"Y CHILD CARE HL SUVERKRUP";"1590 AVENUE C";"YUMA";"AZ";"(928)317-0522";"http://www.valleyymca.org/childCare.cfm?category=105";"http://www.valleyymca.org/childCare.cfm?category=105";"http://www.facebook.com/ValleyYMCA";;;;;"n";"n";"y";"y";"y";"y";"http://www.valleyymca.org/images/Y_logo_red_170x130.png";;;;
128076;"Y KIDZ - GARY KNOX";"2926 S 21ST ST DRIVE";"YUMA";"AZ";"(928)317-0522";"http://www.valleyymca.org/childCare.cfm?category=105";"http://www.valleyymca.org/childCare.cfm?category=105";"http://www.facebook.com/ValleyYMCA";;;;;"n";"n";"y";"y";"y";"y";"http://www.valleyymca.org/images/Y_logo_red_170x130.png";;;;
128070;"W.A.C.O.G. - YUMA EAST HEAD START";"840 EAST 22ND STREET";"YUMA";"AZ";"(928)783-0473";"http://www.wacog.com/head_start_centers.html";"http://www.wacog.com/head_start_centers.html";;"8:00am - 2:00pm
Monday-Thursday ";"http://www.wacog.com/employment.html";"http://www.wacog.com/enrollment_application.html";;"n";"n";"y";"y";"n";"n";"http://www.wacog.com/art/wacog40.jpg";"http://www.wacog.com/art/yumaeast-headstartcenter.jpg";"http://www.wacog.com/art/headstart.jpg";;
128071;"W.A.C.O.G. - YUMA WEST HEAD START CENTER";"2505 WEST 20TH STREET";"YUMA";"AZ";"928-782-2130";"http://www.wacog.com/head_start_centers.html";"http://www.wacog.com/head_start_centers.html";;"8:00am - 2:00pm
Monday-Thursday ";"http://www.wacog.com/employment.html";"http://www.wacog.com/enrollment_application.html";;"n";"n";"y";"y";"n";"n";"http://www.wacog.com/art/wacog40.jpg";"http://www.wacog.com/art/yumawest-headstartcenter.jpg";"http://www.wacog.com/art/headstart.jpg";;
128069;"W.A.C.O.G. - RANCHO VIEJO HEAD START";"930 SOUTH AVENUE C";"YUMA";"AZ";"(928)782-3621";"http://www.wacog.com/head_start_centers.html";"http://www.wacog.com/head_start_centers.html";;"9:00am - 4:00pm
Monday-Thursday ";"http://www.wacog.com/employment.html";"http://www.wacog.com/enrollment_application.html";;"n";"n";"y";"y";"n";"n";"http://www.wacog.com/art/wacog40.jpg";"http://www.wacog.com/art/ranchoviejo-headstartcenter.jpg";"http://www.wacog.com/art/headstart.jpg";;
128068;"W.A.C.O.G. - HEAD START - HELPING HAND";"384 SOUTH 13TH AVENUE";"YUMA";"AZ";"(928)783-4706";"http://www.wacog.com/head_start_centers.html";"http://www.wacog.com/head_start_centers.html";;"AM Session: 7:30am - 11:30am
PM Session: 12:00pm - 4:00pm
Monday-Thursday ";"http://www.wacog.com/employment.html";"http://www.wacog.com/enrollment_application.html";;"n";"n";"y";"y";"n";"n";"http://www.wacog.com/art/wacog40.jpg";"http://www.wacog.com/art/helpinghands-headstartcenter.jpg";"http://www.wacog.com/art/headstart.jpg";;
128066;"W.A.C.O.G. - 24TH STREET HEAD START";"183 E 24TH STREET";"YUMA";"AZ";"(928)782-1886";"http://www.wacog.com/head_start_centers.html";"http://www.wacog.com/head_start_centers.html";;"8:00 am - 2:00pm
Monday-Thursday ";"http://www.wacog.com/employment.html";"http://www.wacog.com/enrollment_application.html";;"n";"n";"y";"y";"n";"n";"http://www.wacog.com/art/wacog40.jpg";"http://www.wacog.com/art/24thst-headstartcenter.jpg";"http://www.wacog.com/art/headstart.jpg";;
128067;"W.A.C.O.G. - FOOTHILLS HEAD START";"2950 S AVENUE 10 E";"YUMA";"AZ";"(928)305-1652";"http://www.wacog.com/head_start_centers.html";"http://www.wacog.com/head_start_centers.html";;"Single Sessions:
8:00am - 1:45pm
9:30am - 3:15pm
9:30am - 3:30pm
AM Session: 8:00am - 12:00pm
PM Session: 12:30pm - 4:30pm ";"http://www.wacog.com/employment.html";"http://www.wacog.com/enrollment_application.html";;"n";"n";"y";"y";"n";"n";"http://www.wacog.com/art/wacog40.jpg";"http://www.wacog.com/art/foothills-headstartcenter.jpg";"http://www.wacog.com/art/headstart.jpg";;
128064;"THE TREEHOUSE KIDS CLUB LLC";"1730 S 4TH AVE STE A";"YUMA";"AZ";"(928)446-2907";"http://www.treehouseyuma.com/index2.php";;;;;;;;;;;;;;;;;
128050;"CORNERSTONE PRESCHOOL";"1098 SOUTH 5TH AVENUE";"YUMA";"AZ";"(928)782-1995";"http://www.cornerstonepreschool.net/";"http://www.cornerstonepreschool.net/";;"Monday through Friday, 6:30 am until 5:30 pm";;;;"n";"y";"y";"y";"y";"n";;"http://www.cornerstonepreschool.net/Quickstart/ImageLib/dogs_and_boys_008.JPG";"http://www.cornerstonepreschool.net/Quickstart/ImageLib/dogs_and_boys_011.JPG";;
128054;"HAPPY TRAILS FOOTHILLS DAY CARE EAST";"11607 SOUTH FORTUNA ROAD";"YUMA";"AZ";"(928) 345-9199";"http://happytrailsyuma.com/";;;;;;;;;;;;;;;;;
128046;"AZ WESTERN COLLEGE CHILD DEVELOPMENT LEARNING LAB";"9500 SOUTH AVENUE 8E";"YUMA";"AZ";"(520)344-7564";"http://www.azwestern.edu/learning_services/instruction/business_and_liberal_arts/education_and_hospi";;;;;;;;;;;;;;;;;
128048;"CASA DE NINOS";"585 EAST 16TH STREET";"YUMA";"AZ";"(928)782-7770";"http://www.casadeninospreschool.com/";"http://www.casadeninospreschool.com/";;;;;;"n";"y";"y";"y";"n";"n";;"http://www.casadeninospreschool.com/";;;
128049;"CHICANOS POR LA CAUSA - E C D";"1875 SOUTH 45TH AVENUE";"YUMA";"AZ";"928.783.4657";"http://www.cplc.org/about-us/locations.aspx";"http://www.cplc.org/about-us/locations.aspx";;;"http://www.cplc.org/about-us/employment-opportunities.aspx";;;"n";"n";"y";"y";"n";"n";"http://www.cplc.org/Common/Img/chicanos-por-la-causa.gif";"http://www.cplc.org/Common/Img/Education%20-%20Banner.jpg";;;
128031;"HASSAYAMPA CHILD DEVELOPMENT CENTER";"148 COCONINO STREET";"WICKENBURG";"AZ";"(928)684-2246";"http://wickenburgcdc.com/";;;;;;;;;;;;;;;;;
128033;"WICKENBURG CHRISTIAN ACADEMY";"260 WEST YAVAPAI STREET";"WICKENBURG";"AZ";"928-684-5916";"http://www.wickenburgchristianacademy.org/";"http://www.wickenburgchristianacademy.org/";"http://www.facebook.com/WickenburgChristianAcademy";;;"http://www.wickenburgchristianacademy.org/admissions";;"n";"n";"y";"y";"y";"n";;;;;
128035;"WESLEYAN PRESCHOOL & DAY CARE";"151 SOUTH CURTIS AVENUE";"WILLCOX";"AZ";"(520)766-3482";"http://wpcc.vtchome.org/";"http://wpcc.vtchome.org/";;"Monday-Friday from 6:30 a.m. to 6:00 p.m.

";;;"http://wpcc.vtchome.org/handbook.html";"y";"y";"y";"y";"y";"n";"http://wpcc.vtchome.org/Quickstart/ImageLib/WPCCLogo1.jpg";"http://wpcc.vtchome.org/Quickstart/ImageLib/preschool3.jpg";"http://wpcc.vtchome.org/Quickstart/ImageLib/Facil2.jpg";"http://wpcc.vtchome.org/Quickstart/ImageLib/Facil3.jpg";"http://wpcc.vtchome.org/Quickstart/ImageLib/Facil4.jpg"
128026;"Y M C A AT CORONA / SYCAMORE SCHOOL";"16701 S HOUGHTON";"VAIL";"AZ";"(520)885-2317";"http://syc.vail.k12.az.us/";"http://syc.vail.k12.az.us/";"http://www.facebook.com/sycamore.elementary.vusd?ref=ts";;;"http://syc.vail.k12.az.us/school-resources/enrollment-information/";;"n";"n";"n";"y";"y";"n";"http://syc.vail.k12.az.us/wp-content/uploads/2011/01/redblackscorpion.png";"http://syc.vail.k12.az.us/wp-content/uploads/2011/07/Welcome.jpg";"http://syc.vail.k12.az.us/wp-content/uploads/2013/01/Family-Reading-Night.gif";;
128029;"W.A.C.O.G. - WELLTON HEAD START";" 29124 E San Jose Ave";"WELLTON";"AZ";"(928)785-4118";"http://www.wacog.com/head_start_centers.html";"http://www.wacog.com/head_start_centers.html";;"8:00 am - 2:00pm
Monday-Thursday ";"http://www.wacog.com/employment.html";"http://www.wacog.com/enrollment_application.html";;"n";"n";"y";"y";"n";"n";"http://www.wacog.com/art/wacog40.jpg";"http://www.wacog.com/art/wellton-headstartcenter.jpg";"http://www.wacog.com/art/headstart.jpg";;
128027;"Y M C A AT OCOTILLO RIDGE";"10170 S WHITE LIGHTING LANE";"VAIL";"AZ";"(520)885-2317";"http://ore.vail.k12.az.us/website/Home.html";;;;;;;;;;;;;;;;;
128014;"Y.M.C.A. - SACC - LIGHTHOUSE";"2900 NORTH COLUMBUS BLVD";"TUCSON";"AZ";"(520)795-9725";"http://www.tucsonymca.org/programsChild.cfm";"http://www.tucsonymca.org/programsChild.cfm";;;"http://www.tucsonymca.org/careers.cfm";;;"y";"y";"y";"y";"y";"y";"http://www.tucsonymca.org/images/layout/yLogoBlue.png";"http://www.tucsonymca.org/images/SUMMER_DAY_CAMP/fullDayThemed.jpg";"http://www.tucsonymca.org/images/SUMMER_DAY_CAMP/kinderCare.jpg";"http://www.tucsonymca.org/images/SUMMER_DAY_CAMP/specialty.jpg";"http://www.tucsonymca.org/images/SUMMER_DAY_CAMP/leadersInTraining.jpg"
128018;"YOUNG EXPLORERS SCHOOLS";"1201 SOUTH AVENIDA SIRIO";"TUCSON";"AZ";"(520)747-1816";"http://www.youngexplorerstucson.com";"http://www.youngexplorerstucson.com";;"6:30 am to 6:00 pm";;;;"n";"n";"y";"y";"y";"y";"http://www.youngexplorerstucson.com/images/logo_t.png";"http://www.youngexplorerstucson.com/images/picture_sidebar_home.jpg";"http://www.youngexplorerstucson.com/images/picture_sidebar_about.jpg";"http://www.youngexplorerstucson.com/images/picture_sidebar_locations.jpg";"http://www.youngexplorerstucson.com/images/picture_sidebar_contact.jpg"
128017;"YOUNG EXPLORERS SCHOOL";"6207 EAST BELLEVUE";"TUCSON";"AZ";"(520)886-6859";"http://www.youngexplorerstucson.com";"http://www.youngexplorerstucson.com";;"6:30 am to 6:00 pm";;;;"n";"n";"y";"y";"y";"y";"http://www.youngexplorerstucson.com/images/logo_t.png";"http://www.youngexplorerstucson.com/images/picture_sidebar_home.jpg";"http://www.youngexplorerstucson.com/images/picture_sidebar_about.jpg";"http://www.youngexplorerstucson.com/images/picture_sidebar_locations.jpg";"http://www.youngexplorerstucson.com/images/picture_sidebar_contact.jpg"
128005;"Y M C A AT COTTONWOOD ELEMENTARY";"9950 E REES LOOP";"TUCSON";"AZ";"(520)885-2317";"http://cwe.vail.k12.az.us/Site/Home.html";;;;;;;;;;;;;;;;;
128006;"Y.E.S. - HENDRICKS";"3400 WEST ORANGE GROVE RD";"TUCSON";"AZ";"(520) 696-8400";"http://fwepinc.com/YES/locations.html";"http://fwepinc.com/YES/locations.html";;"2:10pm-5:00pm";"http://fwepinc.com/Jobs/jobs.html";;;"n";"n";"n";"n";"y";"y";"http://fwepinc.com/banner.jpg";"http://fwepinc.com/YES/Pics/collage.jpg";"http://fwepinc.com/Jobs/Pics/jobs.jpg";"http://fwepinc.com/YES/Pics/main.jpg";
128007;"Y.E.S. - CENTENNIAL";"2200 WEST WETMORE ROAD";"TUCSON";"AZ";"(520) 696-8200";"http://fwepinc.com/YES/locations.html";"http://fwepinc.com/YES/locations.html";;"2:10pm-5:00pm";"http://fwepinc.com/Jobs/jobs.html";;;"n";"n";"n";"n";"y";"y";"http://fwepinc.com/banner.jpg";"http://fwepinc.com/YES/Pics/collage.jpg";"http://fwepinc.com/Jobs/Pics/jobs.jpg";"http://fwepinc.com/YES/Pics/main.jpg";
