"rundate";"subtype";"ZIP";"LEGALNAME";"ADDRESS";"LICENSE";"LICENSE_EFFECTIVE";"LICENSE_EXPIRATION";"CITY";"COUNTY";"TELEPHONE";"FAXPHONE";"CAPACITY";"FACID";"N_LON";"N_LAT";"N_BLOCK";"FACTYPE";"state";"INFANT";"ONES";"TWOS";"THREE_TO_FIVE";"SCHOOL_AGE";"EMAIL"
3/1/2022;"CHILD CARE CENTER";"85287";"A S U CHILD DEVELOPMENT LAB";"851 SOUTH FOREST MALL - BLDG. 17";"CDC-0958";5/1/2021;4/30/2024;"TEMPE";"MARICOPA";"(480)965-7257";"(480)965-6779";59;"CDC0958";-111.936479;33.420993;40133190004004;"C11";"AZ";"N/A";"18";"LICENSED";"LICENSED";"N/A";"clromle@asu.edu"
3/1/2022;"CHILD CARE CENTER";"85006";"A S U PREPARATORY ACADEMY PRESCHOOL - PHOENIX";"735 EAST FILLMORE STREET";"CDC-16671";5/1/2020;4/30/2023;"PHOENIX";"MARICOPA";"(602)496-3100";"(602)257-4852";59;"CDC16671";-112.064068;33.454433;40131132022004;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"Stephanie.M.Celis@asu.edu"
3/1/2022;"CHILD CARE CENTER";"85204";"A SHINING STAR PRESCHOOL INC";"810 EAST SOUTHERN AVENUE";"CDC-13240";3/1/2022;2/28/2025;"MESA";"MARICOPA";"(480)890-2331";"(623)478-9956";98;"CDC13240";-111.81396;33.393475;40134219011013;"C11";"AZ";"N/A";"43";"LICENSED";"LICENSED";"LICENSED";"izjoy@yahoo.com"
3/1/2022;"CHILD CARE CENTER";"85048";"A STEP AHEAD PRESCHOOL & MONTESSORI";"4221 EAST CHANDLER BOULEVARD";"CDC-18198";6/1/2021;5/31/2024;"PHOENIX";"MARICOPA";"(480)706-9424";"(480)706-0426";59;"CDC18198";-111.992547;33.305;40131167122000;"C11";"AZ";"11";"22";"LICENSED";"LICENSED";"N/A";"maysafini@yahoo.com"
3/1/2022;"CHILD CARE CENTER";"85212";"A.F.C. LITTLE LEARNERS";" 8743 EAST PECOS ROAD #119:";"CDC-18286";8/1/2021;7/31/2024;"MESA";"MARICOPA";"(480)987-5400";"(   )   -";17;"CDC18286";-111.644745;33.284924;40138176001118;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"azallstarst@yquestoffice.net"
3/1/2022;"CHILD CARE CENTER";"85212";"A.S.U. PREPARATORY ACADEMY";"6950 EAST WILIAMS FIELD ROAD";"CDC-18675";8/1/2019;7/31/2022;"MESA";"MARICOPA";"(480)727-5700";"(480)727-5701";282;"CDC18675";-111.684745;33.307313;40135228001024;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"claudia.mendoza@asu.edu"
3/1/2022;"CHILD CARE CENTER";"85128";"ABC & 123 SMALL BLESSINGS CENTER, L.L.C.";"1060 NORTH ARIZONA BLVD";"CDC-16036";1/1/2021;12/31/2023;"COOLIDGE";"PINAL";"(520)424-2959";"(   )   -";89;"CDC16036";-111.524149;32.987772;40210011001052;"C11";"AZ";"10";"10";"LICENSED";"LICENSED";"LICENSED";"abc_123_childcare@yahoo.com"
3/1/2022;"CHILD CARE CENTER";"85122";"ABC & 123 SMALL BLESSINGS CENTER, L.L.C.";"1530 NORTH PINAL AVENUE";"CDC-18774";1/2/2020;12/31/2022;"CASA GRANDE";"PINAL";"(520)836-7326";"(   )   -";79;"CDC18774";-111.757123;32.891797;40210014031028;"C11";"AZ";"14";"8";"LICENSED";"LICENSED";"LICENSED";"abc_123_childcare@yahoo.com"
3/1/2022;"CHILD CARE CENTER";"85131";"ABC & 123 SMALL BLESSINGS CENTER, L.L.C.";"99 NORTH E STREET";"CDC-19146";10/5/2021;9/30/2024;"ELOY";"PINAL";"(520)466-3193";"(   )   -";72;"CDC19146";-111.556484;32.749894;40210019002071;"C11";"AZ";"16";"17";"LICENSED";"LICENSED";"LICENSED";"abc_123_childcare@yahoo.com"
3/1/2022;"CHILD CARE CENTER";"86004";"ABUNDANT LIFE PRESCHOOL";"3475 EAST SOLIERE AVENUE";"CDC-8740";2/1/2021;1/31/2024;"FLAGSTAFF";"COCONINO";"(928)527-3900";"(928)522-0383";143;"CDC8740";-111.601559;35.205811;40050007001003;"C11";"AZ";"N/A";"25";"LICENSED";"LICENSED";"LICENSED";"suzie@ccof.church"
3/1/2022;"CHILD CARE CENTER";"85390";"ACADEMY FOR EARLY LEARNING";"51020 HIGHWAY 60";"CDC-12515";1/1/2021;12/31/2023;"WICKENBURG";"MARICOPA";"(928)668-0410";"(928)668-0133";57;"CDC12515";-112.70349521;33.9457022;40130405152057;"C11";"AZ";"8";"10";"LICENSED";"LICENSED";"LICENSED";"j.derubeis@yahoo.com"
3/1/2022;"CHILD CARE CENTER";"85745";"ACCELERATED LEARNING LABORATORY";"5245 NORTH CAMINO DE OESTE";"CDC-9509";2/1/2020;1/31/2023;"TUCSON";"PIMA";"(520)743-3895";"(520)743-2417";45;"CDC9509";-111.062992;32.302431;40190044181046;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"alctucson@msn.com"
3/1/2022;"CHILD CARE CENTER";"86314";"ACORN CHRISTIAN MONTESSORI SCHOOL";"7555 EAST LONG LOOK DRIVE";"CDC-12649";4/1/2021;3/31/2024;"PRESCOTT VALLEY";"YAVAPAI";"(928)775-0238";"(928)775-2638";105;"CDC12649";-112.332361;34.600436;40250006061013;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"acorndawn@cableone.net"
3/1/2022;"CHILD CARE CENTER";"86314";"ACORN CHRISTIAN MONTESSORI SCHOOL";"8556 EAST LOOS DRIVE";"CDC-8852";8/1/2021;7/31/2024;"PRESCOTT VALLEY";"YAVAPAI";"(928)772-5778";"(928)772-6208";27;"CDC8852";-112.315445;34.604395;40250006092019;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"acms@cableone.net"
3/1/2022;"CHILD CARE CENTER";"86314";"ACORN CHRISTIAN MONTESSORI SCHOOL - NORTH CAMPUS";"8085 EAST MANLEY DRIVE";"CDC-18907";8/7/2020;7/31/2023;"PRESCOTT VALLEY";"YAVAPAI";"(928)775-0238";"(928)775-2638";59;"CDC18907";-112.323096;34.614599;40250006041000;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"acornkendal@cableone.net"
3/1/2022;"CHILD CARE CENTER";"85009";"ACTIVE LEARNING CENTER #4";"3342 WEST ROOSEVELT STREET";"CDC-10283";1/1/2021;12/31/2023;"PHOENIX";"MARICOPA";"(602)272-3609";"(602)272-3674";165;"CDC10283";-112.130544;33.458806;40131127001025;"C11";"AZ";"14";"11";"LICENSED";"LICENSED";"LICENSED";"alexa@alc4.com"
3/1/2022;"CHILD CARE CENTER";"85020";"ACTIVE LEARNING CENTER #6";"704 EAST BUTLER DRIVE";"CDC-13631";8/1/2019;7/31/2022;"PHOENIX";"MARICOPA";"(602)674-9800";"(602)674-9804";83;"CDC13631";-112.064936;33.560646;40131052003014;"C11";"AZ";"8";"13";"LICENSED";"LICENSED";"LICENSED";"tlgarrett73@aol.com"
3/1/2022;"CHILD CARE CENTER";"85029";"ACTIVE LEARNING CENTER #7";"10701 NORTH 15TH AVENUE";"CDC-18368";9/1/2021;8/31/2024;"PHOENIX";"MARICOPA";"(602)944-6500";"(   )   -";114;"CDC18368";-112.09106;33.584063;40131036151012;"C11";"AZ";"6";"13";"LICENSED";"LICENSED";"LICENSED";"tlgarrett73@aol.com"
3/1/2022;"CHILD CARE CENTER";"85302";"ACTIVE LEARNING CENTER #8";"4494 WEST PEORIA AVENUE #120";"CDC-18832";4/9/2020;3/31/2023;"GLENDALE";"MARICOPA";"(623)594-3010";"(   )   -";66;"CDC18832";-112.155603;33.582069;40131042272008;"C11";"AZ";"10";"10";"LICENSED";"LICENSED";"LICENSED";"theactivelearningcenter@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85027";"ADAMS TRADITIONAL BEGINNINGS";"2323 WEST PARKSIDE LANE";"CDC-16285";9/1/2021;8/31/2024;"PHOENIX";"MARICOPA";"(602)938-5517";"(602)938-1179";345;"CDC16285";-112.109203;33.69552;40136147001013;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"drydery@atbchoice.org"
3/1/2022;"CHILD CARE CENTER";"85226";"ADOBE MONTESSORI SCHOOL";"6400 WEST DEL RIO STREET";"CDC-10712";6/1/2021;5/31/2024;"CHANDLER";"MARICOPA";"(480)899-2980";"(   )   -";145;"CDC10712";-111.953402;33.314855;40138104004012;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"admin@adobemontessori.com"
3/1/2022;"CHILD CARE CENTER";"85040";"ADVANCE U";"449 EAST SOUTHERN AVENUE";"CDC-16616";8/1/2019;7/31/2022;"PHOENIX";"MARICOPA";"(602)243-8531";"(602)243-8516";59;"CDC16616";-112.067925;33.392098;40131165003000;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"Cindy.Corado@leonagroup.com"
3/1/2022;"CHILD CARE CENTER";"85712";"ADVENTURE SCHOOL";"5757 EAST PIMA ROAD";"CDC-9146";10/1/2021;9/30/2024;"TUCSON";"PIMA";"(520)296-0656";"(520)721-4472";105;"CDC9146";-110.86939;32.24356;40190030032024;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"maryann@academyadventures.com"
3/1/2022;"CHILD CARE CENTER";"85712";"ADVENTURE SCHOOL 2";"5801 E PIMA STREET";"CDC-13640";10/1/2019;9/30/2022;"TUCSON";"PIMA";"(520)296-9775";"(   )   -";47;"CDC13640";-110.868652;32.243556;40190030032024;"C11";"AZ";"8";"14";"LICENSED";"LICENSED";"N/A";"lesparza@academyadventures.com"
3/1/2022;"CHILD CARE CENTER";"85012";"ADVENTURES IN LEARNING";"3821 NORTH 3RD STREET";"CDC-3507";1/1/2022;12/31/2024;"PHOENIX";"MARICOPA";"(602)277-2505";"(602)522-2808";119;"CDC3507";-112.069239;33.491798;40131105021006;"C11";"AZ";"10";"16";"LICENSED";"LICENSED";"LICENSED";"advpreschool@yahoo.com"
3/1/2022;"CHILD CARE CENTER";"85226";"AFM CHANDLER MONTESSORI";"5570 WEST CHANDLER BOULEVARD SUITE #1";"CDC-17641";7/1/2019;6/30/2022;"CHANDLER";"MARICOPA";"(480)272-6807";"(   )   -";125;"CDC17641";-111.9387;33.305587;40138105002003;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"chandler@afmeducation.com"
3/1/2022;"CHILD CARE CENTER";"85345";"AGAPE PRESCHOOL LLC - NORTH";"10236 NORTH 83RD AVENUE";"CDC-19147";10/20/2021;9/30/2024;"PEORIA";"MARICOPA";"(623)486-3134";"(   )   -";43;"CDC19147";-112.237778;33.578048;40130719062013;"C11";"AZ";"N/A";"10";"LICENSED";"LICENSED";"N/A";"barbara.gibson@asu.edu"
3/1/2022;"CHILD CARE CENTER";"85048";"AHWATUKEE FOOTHILLS MONTESSORI CENTER";"3221 EAST CHANDLER BOULEVARD";"CDC-5248";1/1/2022;12/31/2024;"PHOENIX";"MARICOPA";"(480)759-3810";"(480)759-3810";117;"CDC5248";-112.013069;33.304997;40131167135004;"C11";"AZ";"N/A";"21";"LICENSED";"LICENSED";"LICENSED";"officeahw@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85044";"AHWATUKEE PRESCHOOL";"11002 SOUTH 48TH STREET";"CDC-1036";8/1/2019;7/31/2022;"PHOENIX";"MARICOPA";"(480)893-2531";"(480)893-8318";59;"CDC1036";-111.980548;33.346628;40131167084003;"C11";"AZ";"N/A";"12";"LICENSED";"LICENSED";"LICENSED";"madams@mvlutheran.org"
3/1/2022;"CHILD CARE CENTER";"85621";"AKIRA'S LEARNING CENTER L.L.C.";"1200 EAST PATAGONIA HIGHWAY, STE# 2";"CDC-18260";6/1/2021;5/31/2024;"NOGALES";"SANTA CRUZ";"(520)609-2717";"(   )   -";45;"CDC18260";-110.906818;31.362434;40239663013009;"C11";"AZ";"5";"5";"LICENSED";"LICENSED";"LICENSED";"ALCBRIGHTKIDS@GMAIL.COM"
3/1/2022;"CHILD CARE CENTER";"85718";"AL HUDA ISLAMIC SCHOOL";"2800 EAST RIVER ROAD";"CDC-16525";8/1/2019;7/31/2022;"TUCSON";"PIMA";"(520)624-8182";"(520)395-2694";36;"CDC16525";-110.930444;32.284406;40190047103008;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"lchourani@aol.com"
3/1/2022;"CHILD CARE CENTER";"85132";"ALA LITTLE LEADERS - ANTHEM";"4380 NORTH HUNT HIGHWAY";"CDC-18333";11/1/2021;10/31/2024;"FLORENCE";"PINAL";"(480)344-9800";"(   )   -";88;"CDC18333";-111.486831;33.069815;40210008011034;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"Mhutchinson@alaschools.org"
3/1/2022;"CHILD CARE CENTER";"85298";"ALA LITTLE LEADERS - GILBERT SOUTH";"1750 EAST RIGGS ROAD";"CDC-18285";10/1/2021;9/30/2024;"GILBERT";"MARICOPA";"(480)344-9894";"(   )   -";88;"CDC18285";-111.75163487;33.22120659;40138160001044;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"Jambers@alaschools.org"
3/1/2022;"CHILD CARE CENTER";"85212";"ALA LITTLE LEADERS - MESA";"4507 SOUTH MOUNTAIN ROAD";"CDC-18870";8/13/2020;7/31/2023;"MESA";"MARICOPA";"(480)420-2110";"(   )   -";52;"CDC18870";-111.592082;33.333421;40134226464001;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"Matthew@charter.one"
3/1/2022;"CHILD CARE CENTER";"85142";"ALA LITTLE LEADERS - SIGNAL BUTTE";"22512 SOUTH SIGNAL BUTTE";"CDC-18284";11/1/2021;10/31/2024;"QUEEN CREEK";"MARICOPA";"(480)334-9893";"(   )   -";86;"CDC18284";-111.600219;33.247433;40138169001053;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"Dwilliamson@alaschools.org"
3/1/2022;"CHILD CARE CENTER";"85032";"ALDEA MONTESSORI SCHOOL";"15639 NORTH 40TH STREET";"CDC-9859";6/1/2021;8/31/2023;"PHOENIX";"MARICOPA";"(602)485-0276";"(602)485-0125";58;"CDC9859";-111.995891;33.628897;40131032152010;"C11";"AZ";"7";"20";"LICENSED";"N/A";"LICENSED";"aldea@aldeamontessori.com"
3/1/2022;"CHILD CARE CENTER";"85283";"ALEGRIAS CHILD CARE & LEARNING CENTER";"7420 SOUTH RURAL ROAD";"CDC-15792";8/1/2020;7/31/2023;"TEMPE";"MARICOPA";"(480)466-7610";"(480)466-7620";114;"CDC15792";-111.928645;33.350385;40133199081040;"C11";"AZ";"10";"12";"LICENSED";"LICENSED";"LICENSED";"alegriaschildcare@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85650";"ALL SAINTS CATHOLIC SCHOOL";"1425 EAST YAQUI STREET";"CDC-12508";7/1/2021;6/30/2024;"SIERRA VISTA";"COCHISE";"(520)378-7012";"(520)378-2726";59;"CDC12508";-110.284611;31.481957;40030019003017;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"N/A";"cserrano@diocesetucson.org"
3/1/2022;"CHILD CARE CENTER";"85012";"ALL SAINTS EXTENDED SCHOOL PROGRAM";"6300 NORTH CENTRAL AVENUE";"CDC-1692";8/1/2020;7/31/2023;"PHOENIX";"MARICOPA";"(602)274-4866";"(602)274-0365";185;"CDC1692";-112.073887;33.529783;40131066001012;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"sduchaine@allsaints.org"
3/1/2022;"CHILD CARE CENTER";"85201";"ALL STAR PRESCHOOL";"1830 NORTH COUNTRY CLUB DRIVE";"CDC-14563";11/1/2020;10/31/2023;"MESA";"MARICOPA";"(480)835-7100";"(480)890-7211";111;"CDC14563";-111.840064;33.44857;40134211011013;"C11";"AZ";"11";"15";"LICENSED";"LICENSED";"LICENSED";"allstarpreschool85201@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85202";"ALL TOGETHER NOW PRESCHOOL AND CHILDCARE";"516 SOUTH DOBSON ROAD";"CDC-9725";11/1/2019;10/31/2022;"MESA";"MARICOPA";"(480)610-9299";"(480)610-1211";114;"CDC9725";-111.874713;33.405136;40134221041000;"C11";"AZ";"11";"14";"LICENSED";"LICENSED";"LICENSED";"alltogethernow516@msn.com"
3/1/2022;"CHILD CARE CENTER";"85737";"ALPHABEST @ COPPER CREEK ELEMENTARY";"11620 NORTH COPPER SPRING TRAIL";"CDC-18889";8/5/2020;7/31/2023;"ORO VALLEY";"PIMA";"(520)696-6800";"(   )   -";85;"CDC18889";-110.986775;32.418713;40190046364003;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"coppercreekamphi@alphabest.org"
3/1/2022;"CHILD CARE CENTER";"85704";"ALPHABEST @ DONALDSON ELEMENTARY";"2040 WEST OMAR DRIVE";"CDC-18884";8/7/2020;7/31/2023;"TUCSON";"PIMA";"(520)696-6160";"(   )   -";35;"CDC18884";-111.011541;32.332886;40190046151007;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"donaldsonamphi@alphabest.org"
3/1/2022;"CHILD CARE CENTER";"85704";"ALPHABEST @ HARELSON ELEMENTARY";"826 WEST CHAPALA DRIVE";"CDC-18891";8/3/2020;7/31/2023;"TUCSON";"PIMA";"(520)696-6020";"(   )   -";46;"CDC18891";-110.98353;32.344726;40190046141012;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"harelsonamphi@alphabest.org"
3/1/2022;"CHILD CARE CENTER";"85719";"ALPHABEST @ HOLAWAY ELEMENTARY";"3500 NORTH CHERRY AVENUE";"CDC-18886";8/7/2020;7/31/2023;"TUCSON";"PIMA";"(520)696-6800";"(   )   -";42;"CDC18886";-110.947887;32.270507;40190027033001;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"holawayamphi@alphabest.org"
3/1/2022;"CHILD CARE CENTER";"85755";"ALPHABEST @ INNOVATION ACADEMY";"825 WEST DESERT FAIRWAYS DRIVE";"CDC-18892";8/7/2020;7/31/2023;"ORO VALLEY";"PIMA";"(520)269-4610";"(   )   -";59;"CDC18892";-110.982384;32.444294;40190046401059;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"innovationamphi@alphabest.org"
3/1/2022;"CHILD CARE CENTER";"85704";"ALPHABEST @ MESA VERDE ELEMENTARY";"1661 WEST SAGE STREET";"CDC-18887";8/3/2020;7/31/2023;"TUCSON";"PIMA";"(520)696-6090";"(   )   -";33;"CDC18887";-111.002649;32.358911;40190046211019;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"igallardo@alphabest.org"
3/1/2022;"CHILD CARE CENTER";"85755";"ALPHABEST @ PAINTED SKY ELEMENTARY";"12620 NORTH WOODBURNE AVENUE";"CDC-18885";8/6/2020;7/31/2023;"ORO VALLEY";"PIMA";"(520)696-3800";"(   )   -";37;"CDC18885";-110.971316;32.435295;40190046411003;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"jminor@alphabest.org"
3/1/2022;"CHILD CARE CENTER";"85704";"ALPHABEST @ WALKER ELEMENTARY";"1750 WEST ROLLER COASTER ROAD";"CDC-18890";8/3/2020;7/31/2023;"TUCSON";"PIMA";"(520)696-6573";"(   )   -";59;"CDC18890";-111.00207;32.301319;40190046161027;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"LICENSED";"walkeramphi@alphabest.org"
3/1/2022;"CHILD CARE CENTER";"85742";"ALPHABEST @ WILSON K-8 SCHOOL";"2330 WEST GLOVER ROAD";"CDC-18888";8/4/2020;7/31/2023;"TUCSON";"PIMA";"(520)696-5800";"(   )   -";138;"CDC18888";-111.017965;32.417295;40190046341000;"C11";"AZ";"N/A";"N/A";"N/A";"N/A";"LICENSED";"igallardo@alphabest.org"
3/1/2022;"CHILD CARE CENTER";"86004";"ALPINE ACADEMY PRESCHOOL";"5200 EAST CORTLAND BLVD STE A-22";"CDC-18417";10/1/2021;9/30/2024;"FLAGSTAFF";"COCONINO";"(928)526-3200";"(928)526-3200";45;"CDC18417";-111.576223;35.212804;40050006002032;"C11";"AZ";"N/A";"N/A";"LICENSED";"LICENSED";"LICENSED";"alpineacademypreschool@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85031";"AMERICAN CHILD CARE #48";"4715 WEST THOMAS ROAD";"CDC-0500";8/1/2019;7/31/2022;"PHOENIX";"MARICOPA";"(602)269-5045";"(602)278-6541";129;"CDC0500";-112.16033;33.480356;40131123023003;"C11";"AZ";"18";"12";"LICENSED";"LICENSED";"LICENSED";"Rhonda@americanchildcare.com"
3/1/2022;"CHILD CARE CENTER";"85302";"AMERICAN CHILD CARE #50";"8515 NORTH 51ST AVENUE";"CDC-0715";8/1/2019;7/31/2022;"GLENDALE";"MARICOPA";"(623)931-5911";"(602)424-0635";118;"CDC0715";-112.168761;33.560462;40130923092015;"C11";"AZ";"11";"10";"LICENSED";"LICENSED";"LICENSED";"lozadashanisha@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85035";"AMERICAN CHILD CARE, #52";"5933 WEST MCDOWELL ROAD";"CDC-0852";4/1/2021;3/31/2024;"PHOENIX";"MARICOPA";"(623)247-2684";"(602)873-0244";95;"CDC0852";-112.187882;33.465816;40131125051001;"C11";"AZ";"N/A";"13";"LICENSED";"LICENSED";"LICENSED";"mskomal2009@gmail.com"
3/1/2022;"CHILD CARE CENTER";"86301";"AMERICAN LUTHERAN SCHOOL";"1085 SCOTT DRIVE";"CDC-1907";9/1/2021;8/31/2024;"PRESCOTT";"YAVAPAI";"(928)778-7049";"(928)445-8343";59;"CDC1907";-112.475664;34.563876;40250009002004;"C11";"AZ";"N/A";"N/A";"N/A";"LICENSED";"N/A";"preschool@americanlutheran.net"
3/1/2022;"CHILD CARE CENTER";"85048";"AMICI TRILINGUAL MONTESSORI";"1244 EAST CHANDLER BOULEVARD";"CDC-18613";9/10/2019;8/31/2022;"PHOENIX";"MARICOPA";"(480)300-5585";"(   )   -";59;"CDC18613";-112.05635;33.306626;40131167281004;"C11";"AZ";"8";"32";"LICENSED";"LICENSED";"N/A";"sean@beibeiamigos.com"
3/1/2022;"CHILD CARE CENTER";"85033";"AMIGO PRESCHOOLS #2";"4035 NORTH 71ST AVENUE";"CDC-5307";9/1/2021;8/31/2024;"PHOENIX";"MARICOPA";"(623)848-1295";"(   )   -";140;"CDC5307";-112.211726;33.493605;40131097014000;"C11";"AZ";"5";"10";"LICENSED";"LICENSED";"LICENSED";"csamamigos@gmail.com"
3/1/2022;"CHILD CARE CENTER";"85260";"AMORE PRESCHOOL";"9575 EAST LARKSPUR DRIVE";"CDC-19115";8/17/2021;7/31/2024;"SCOTTSDALE";"MARICOPA";"(480)930-1147";"(   )   -";88;"CDC19115";-111.874982;33.600535;40132168383030;"C11";"AZ";"11";"23";"LICENSED";"LICENSED";"N/A";"admin@amorepreschool.com"
