"OBJECTID";"Provider OBJECTID";"Type";"Date";"Result";"Conclusion"
592;667;"Complaint";"11-06-2017";"Substantiated";"On October 17, 2017, the Office of Child Care Licensing received a complaint regarding unprofessionalism and lack of supervision.  An investigation was concluded on October 30, 2017.  The complaint is substantiated for lack of supervision because a staff member was unaware that a child had left her room to go into another classroom.  When the situation was brought to the administrator's attention, the center investigated the incident and handled the situation all prior to OCCL's investigation.   The issues of lack of professionalism is unsubstantiated with concern, the concern being a lack of documentation regarding the children and parent's poor behavior.  The center cited concerns regarding the children's behavior but did not have any written documentation of either the behavior or the fact they communicated their concerns to the parents."
728;744;"Complaint";"12-11-2017";"Unsubstantiated with Concern";"A complaint was received on November 9, 2017, regarding unqualified staff members working with children and improper staff-to-child child ratios.  An investigation was conducted on November 21, 2017. This complaint is unsubstantiated with concern. The concern is some classroom attendance records were not complete because staff and children were not signing out of the classrooms upon their departure from the room. The attendance records are used to determine that classrooms are being maintainted within appropriate staff-to-child ratio at all times."
733;744;"Complaint";"11-16-2015";"Substantiated";"On October 28, 2015, the Office of Child Care Licensing received a complaint regarding All About Kidz alleging unqualified staff are left alone with children, lack of supervision, inappropriate reporting procedures, monthly fire drills are not being conducted, a staff member roughly handling a child, and staff are having inappropriate and offensive conversations in front of children in care. This complaint is substantiated for incorrect child/staff ratios and lack of supervision."
732;744;"Complaint";"12-01-2015";"Substantiated";"On November 18, 2015, the Office of Child Care Licensing received a complaint alleging inadequate reporting procedures of child injuries and unprofessional behavior by the Administrator. An investigation was conducted on November 20, 2015. This complaint was substantiated for inadequate records or reporting procedures. Ms. Hooker acknowledges she grew frustrated with Parent #1's behavior and comments toward her and the center, but stated she did not act inappropriately with the parent."
729;744;"Complaint";"11-07-2017";"Unsubstantiated with Concern";"A complaint was received on October 26, 2017, regarding improper discipline. An investigation was conducted on November 1, 2017. This complaint is unsubstantiated with concern. There was no evidence to substantiate Staff #1 restrained Child #1 with the intent to cause harm or injury. However, there were concerns regarding another staff member's handling of children.  A staff member was observed handling children, either when picking them up or when trying to get their attention, in a manner that appeared inappropriate. Another concern noted during this investigation was there were two children observed during nap time without having a sheet directly on the mat and under the child while napping.  Additionally, Child #1 was signed out of his classroom on October 26 at 1pm, when he was picked up, per Staff #1, closer to 12pm."
731;744;"Complaint";"03-16-2017";"Unsubstantiated with Concern";"A complaint was received on March 2, 2017, regarding concerns with sanitation, diaper changing, and handwashing. An investigation was conducted on March 9, 2017. The complaint is unsubstantiated with concern. The concerns are OCCL was not informed of the changes in the early childhood curriculum coordinator position for the center. Additionally, the licensee did not obtain plan review approval for a second playground constructed at the center."
727;744;"Complaint";"02-23-2018";"Substantiated";"On January 2, 2018, a complaint was received regarding improper staff/child ratios and unprofessional behavior. An investigation was conducted on February 9, 2018. This complaint is substantiated for improper staff/child ratios because a classroom was observed over ratio on January 31, 2018. Additionally the classroom attendance records for that day were not accurate. There is no evidence to substantiate the administrator is behaving unprofessionally by showing favoritism to her grandchildren."
726;744;"Complaint";"12-14-2019";"Substantiated";"On November 5, 2019, the Office of Child Care Licensing received a complaint regarding not using proper behavior modification techniques and not following the suspension and expulsion policies of the center.  An investigation was conducted on November 13, 2019.  The complaint is substantiated for not following center policies regarding suspension and expulsion as Child #1 was expelled before going through all three behavior levels as outlined in the center’s written policies.  There is no evidence to substantiate this complaint for not using proper behavior modification techniques because classroom staff described proper techniques used in the classroom."
730;744;"Complaint";"06-05-2017";"Substantiated";"On May 22, 2017, a complaint was called into the report line and not accepted for investigation by the Institutional Abuse Unit. The Office of Child Care Licensing received the complaint on May 22, 2017, regarding a child being slapped by a staff member. An investigation was conducted on May 22, 2017. This complaint is substantiated for improper discipline because a staff member admitted and was observed on video slapping a child. The staff member's employment has been terminated.   Additional concerns were the administrator did not immediately report the incident to the 24-Hour Child Abuse Report Line and the staff could not tell this specialist who was responsible for the center at the time of the complaint investigation."
791;778;"Complaint";"01-30-2019";"Substantiated";"A complaint was received on January 4, 2019, regarding a violation of the cell phone use policy, children being left unsupervised while a staff person was on a cell phone or when staff left a room to talk with other staff, leaving the classroom out of correct staff-to-child ratio, staff creating a hostile work environment, and the administrator ignoring regulation violations.   An investigation was conducted, beginning on January 16, 2019, and ending on January 25, 2019.  The complaint is substantiated for violation of  the cell phone use policy.  There is no evidence that staff left children unattended or left the classroom out of proper staff-to-child ratio by leaving the classroom.  Staff #1 was still watching children when caught on the phone, so there is no evidence of direct lack of supervision.  There is no evidence of a hostile work environment among the staff, and it appears that Ms. Coleman did respond promptly and appropriately when Staff #1 was caught talking on her cell ph [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
788;778;"Complaint";"07-15-2019";"Substantiated";"A complaint was received on June 26, 2019, regarding improper staff-to-child ratios and disrespectful communication between the administrator and a parent, while children were present.  An investigation was conducted on July 2, 2019.  There is no evidence the administrator was disrespectful to a parent, because a witness and Ms. Coleman stated it was the parent who was angry and yelling, and grabbing the administrator.  The witness called the police regarding the parent's behavior.  The complaint is substantiated for improper staff-to-child ratios.  Even though all classrooms were in proper ratio at the time of the visit, the tracking sheets from the week the complaint was received showed four classrooms that were not in proper staff-to-child ratios for several minutes to a half hour.  Additionally, in one classroom, six children were not signed out at the end of the day, and in two classrooms, a staff person did not sign out at any time during the day."
789;778;"Complaint";"06-18-2019";"Substantiated";"A complaint was received on June 4, 2019, regarding failure to report an infant's head injury to a parent until the end of the day.  An investigation was conducted beginning on June 7 and ending on June 11, 2019.  The complaint is substantiated because staff admitted a parent was not called, because the infant allegedly did not have a mark after the incident, though scratches were discovered later in the day.  A parent must be notified immediately following tending to the child's needs when a child sustains any impact to the head or face. Another concern noted was that an infant was sleeping in a mechanical swing at the time of the investigation visit."
790;778;"Complaint";"05-29-2019";"Substantiated";"A complaint was received on May 3, 2019, regarding incorrect staff-to-child ratio in a mixed group of infants and one-year-old children.  An investigation was conducted on May 7, 2019.  The complaint is substantiated for incorrect staff-to-child ratio and exceeding maximum group size in the one-year-old classroom, because the attendance tracking sheets showed two staff with 15-17 children.  Another concern noted was inaccurate attendance documentation for the infant and one-year-old classrooms.  The classrooms were not mixed, as stated by the Reporter."
792;778;"Complaint";"03-13-2017";"Unsubstantiated with Concern";"A complaint was received on February 18, 2017 regarding lack of supervision, because Child #1 got his finger caught in a door while the class was getting ready to go outside.  This complaint is unsubstantiated with concern.  There was no lack of supervision during the incident, but the classroom was not in proper staff-to-child ratio while the staff person was attending to the injured child.  There is no evident to substantiate the allegations that the first aid kit was not complete or that there was not a timely accident report."
813;789;"Complaint";"11-27-2017";"Substantiated";"On October 13, 2017, the Office of Child Care Licensing received a complaint with multiple allegations including out-of-ratio, over capacity, interns left alone with children, a child left alone on a bus in the bus yard, not sending sick children home, medication being administered by unqualified staff, an unqualified administrator, infants never taken out-of-doors, and a child treated roughly by a staff member.  An investigation was conducted on October 17, 2017.  The complaint is substantiated for: incorrect staff-to-child ratios in the infant room on multiple occasions, and in the three-year-old, four-year-old and five-year-old classrooms. Substantiated for failure to maintain proper maximum group size for the infants, one-year-old, two-year-olds and three-year-old classrooms. The center's attendance/tracking sheets were inaccurate because staff members failed to consistently sign in or out, were signed into multiple rooms at the same time, and failed to consistently sign the time c [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
809;789;"Complaint";"12-12-2019";"Substantiated";"The Office of Child Care Licensing received a complaint on November 21, 2019, regarding allegations of non-compliance with safe sleep, diapering, and feeding. An investigation was conducted on November 26, 2019. Based on staff interviews and documents observed by LS Edwards, this complaint is substantiated because staff members stated they did not check Child #1’s diaper for wetness and feces at least hourly during the time that the child was in the crib, but not consistently asleep. Although staff stated they conducted the sleep checks and attempted to feed Child #1, the additional allegations regarding safe sleep and feeding of an infant are substantiated because, the staff members did not document the 30 minute checks and they did not document the attempt to feed Child #1."
807;789;"Complaint";"02-07-2020";"Substantiated";"A complaint was received on July 18, 2018, regarding the center not permitting a reasonable accommodation for a child in care. At the conclusion of an investigation conducted on July 20, 2018, and upon the center settling the charge of discrimination on February 3, 2020, this complaint is substantiated for violating the Americans with Disabilities Act. The center stated the child was not explicitly dismissed from care, but Parent #1 requested the accommodation of providing a nurse on-site to manage Child #1’s diabetic care, which would allow Child #1 to attend the center. The center denied this accommodation, which prevented Child #1 from participating in the program. Additional concerns are the center failed to provide the owners' names and contact information when requested, and the parent handbook does not include a procedure on how to handle this request as required."
808;789;"Complaint";"01-29-2020";"Substantiated";"The Office of Child Care Licensing received a complaint on December 16, 2019, regarding allegations of improper diaper procedures, improper sanitation, lack of interaction with children, lack of supervision, and inaccurate incident/accident reports. An investigation was conducted on January 3, 2020. The allegation regarding improper diaper procedures is substantiated because staff members were not using a soap/water solution before the disinfecting solution to clean the changing table. Based on staff interviews there is no evidence to substantiate the allegation of improper sanitation because staff members stated they follow proper cleaning procedures. Based on LS Edwards observation and staff interviews there is no evidence to substantiate the allegation of lack of interaction because staff members were interacting with children and lesson plans were posted and followed. There is no evidence to substantiate lack of supervision and inaccurate incident/accident reports because the staff [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
812;789;"Complaint";"11-28-2017";"Substantiated";"The Office of Child Care Licensing received a complaint on October 30, 2017, alleging that children were moved up to an older classroom before they reached the age of the class and that correct staff-to-child ratios and group sizes were not maintained.  The complaint also alleged infants were never taken outside.  The complaint was investigated on November 1, 2017, and the complaint for exceeding maximum group size and failing to maintain proper staff-to-child ratios is substantiated. The center failed to maintain correct group size and staff to child ratios for the infants, the one-year-old, two-year-old, three-year-old, and four- year-old classrooms."
811;789;"Complaint";"03-29-2018";"Unsubstantiated with Concern";"A complaint was received on March 19, 2018, regarding the center staff providing two versions of how a child was injured at Lil’ Einstein’s Learning Academy.  An investigation was conducted on March 26, 2018.  The finding for this complaint is unsubstantiated with concerns.   The administrator stated only one version of events was reported to Parent #1.  The concerns are the staff failed to list the first aid that was given and by whom on the accident report.   A further concern is, while the center did contact their licensing specialist the same day of the incident, they should have followed up with a phone call to the intake worker when it was determined Ms. Silveroli was on vacation."
810;789;"Complaint";"04-10-2019";"Unsubstantiated with Concern";"The Office of Child Care Licensing received a complaint on March 18, 2019, regarding the allegation of improper discipline. An investigation was conducted on March 20, 2019. There was no evidence to substantiate the allegation of improper discipline because LS Edwards did not see any improper discipline on the video footage. Also, Staff # 1 stated Child #1 was bumped in the head by the door and she did not pop Child #1 on the head. The concern was although Parent #1 was verbally notified, a written report was not given, as required, to Parent #1."
1066;905;"Complaint";"09-09-2020";"No Evidence to Substantiate with Concern";"A complaint was received on June 16, 2020, regarding concerns about not following the Governor's Executive Order guidelines for Delaware, non-qualified staff in the school-age classroom, and the administrator not being present for the required hours per week. Following an investigation that began on June 17, 2020, and concluded on August 5, 2020, the conclusion for this complaint investigation is no evidence to substantiate with concern. The concerns are the center did not follow the Governor’s Executive Order because one of the classrooms had one more child present than currently permitted; the attendance records for the school-age children were inaccurate because they did not include the arrival and departure times as well as the location when the child is not with his or her assigned classroom; staff members’ attendance did not show the exact times worked in a classroom, and a staff member provided false information to OCCL during the investigation. There was no evidence to substant [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
1069;905;"Complaint";"02-15-2018";"Substantiated";"A complaint was received on February 2, 2018, regarding the allegation of lack of supervision and not using respectful communication. The complaint was investigated on February 5, 2018. There was no evidence to substantiate the allegation of lack of supervision. Staff #1 was present when the incident occurred and the center followed the procedure for documenting and reporting the incident.  The allegation of not using respectful communication is substantiated because Staff #2 admitted to inappropriate language in the classroom and engaging in a confrontation with the parent. The center immediately suspended the staff member one day for the inappropriate behavior."
1067;905;"Complaint";"02-06-2020";"Unsubstantiated with Concern";"On January 22, 2020, a complaint was called into the report line and accepted by the Institutional Abuse Unit (IAU) for investigation regarding possible abuse of a child. On January 22, 2020, the Office of Child Care Licensing (OCCL) also accepted the complaint for investigation regarding allegations of improper discipline. An unannounced visit was conducted on January 24, 2020, to investigate the complaint. On January 29, 2020, the IAU concluded the complaint will be unsubstantiated with concerns for improper handling of children. OCCL has concluded that the complaint allegation of improper discipline is unsubstantiated with concerns. The concerns are safe sleep violations, not following infant feeding and diaper-changing procedures, allowing children who were awake to remain in confining equipment for more than 30 minutes, staff not providing meaningful and emotional interactions with the infants, a staff member handling Child #1 in a careless manner which caused the child to be inju [DataMsg: This field has been shortened.  Contact OCCL at 302-892-5800 (New Castle County) or 302-739-5487 (Kent and Sussex) for more information.]"
1068;905;"Complaint";"08-09-2018";"Substantiated";"A complaint was received on July 11, 2018, regarding the allegations of lack of supervision, improper discipline, and staff sleeping at the front desk. There was no evidence to substantiate the allegation of the staff sleeping at the front desk. The allegation of lack of supervision will be substantiated because the Reporter sent the Office of Child Care Licensing pictures of the staff sitting in chairs while the school-age children were wondering around the parking lot. Improper discipline will also be substantiated due to the information disclosed during the interview with Child #1 and Child #2."
242;299;"Complaint";"06-08-2017";"Substantiated";"A complaint was received on May 4, 2017, regarding lack of supervision. An investigation occurred on May 11, 2017. This complaint is substantiated because Mrs. Phillip admitted Child #1 and other children were playing outside unsupervised and Child #1's arm hit the shed causing her to break her arm. Mrs. Phillips did not complete an accident report the day of the incident or call the office when notified Child #1 went to the walk-in medical center. The provider also failed to contact the child's parent after the accident and the child remained in care until she was picked up at the end of the day. In addition, she was over capacity on May 11, 2017, because she was providing care for eight children preschool-age and younger."
241;299;"Complaint";"12-13-2018";"Unsubstantiated with Concern";"On October 11, 2018, a complaint regarding a child having bruises that resembled hand prints was called into the report line and accepted by the Institutional Abuse Unit. The Institutional Abuse Unit concluded this complaint was unsubstantiated with concern. The concern is investigators could not pinpoint who caused the marks. The complaint was sent to OCCL regarding improper discipline and unidentified adults being present in the home during child care hours. The result of this complaint is Unsubstantiated with concern. Ms. Phillips stated she did not observe any marks on Child #1 and was unaware how Child #1 obtained the marks. Furthermore, she denied people were hanging out in her home during child care hours. The concern is Ms. Phillips was providing childcare while her license is suspended on at least two occasions."
