"License No";"Exam Type";"Begin Date";"End Date";"Exam Status";"Text";"Report"
"01CDPF-6149";"Renewal";"2/7/2018";"2/7/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=HOxPTwRdDWer%2bTInzeS%2fIGzPdcT1oQUkR39M2qXU0Rk%3d"
"01CDPF-6149";"Recurring";"8/7/2017";"8/7/2017";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=9UFEGyd5OQdaEJcX%2fz5n7Q%3d%3d"
"01CBGF-7475";"Renewal";"5/3/2023";"5/3/2023";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=K49yq6pLxmcdtSTxtE%2bUe2hqAMI0UpfkbQcyhEPvPoU%3d"
"01CBGF-7475";"Mid-Year";"11/15/2022";"11/15/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=sWerxZTefOTCaX86I%2fOquNya5veeKwJgK930%2bKYk6xI%3d"
"01CBGF-7475";"Renewal";"5/11/2022";"5/12/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=8bt5U4kwpfTzMSuI1DyMq%2bNuB3N0vmu7wxw0BNW2DVs%3d"
"01CBGF-7475";"Mid-Year";"12/2/2021";"12/3/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=gofj0qjAG6ljh2L5ZR25bMY5b%2fJ3ORsF62b%2bEdCnX8M%3d"
"01CBGF-7475";"Renewal";"5/18/2021";"5/18/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=AGodzKP0dyae7KtL1jDXF7fTyQvM%2f9vjPMLXb83K6xU%3d"
"01CBGF-7475";"Renewal";"9/15/2020";"9/15/2020";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=qpujuKbpR1uS%2fSDdWNjQrWgVs2JXoUhX%2fkaJHNutfi8%3d"
"01CBGF-7475";"Mid-Year";"11/21/2019";"11/21/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=wcEi9yPXy445y4vsItP3uw%3d%3d"
"01CBGF-7475";"Initial";"8/20/2019";"8/20/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=U%2fx8ZbobQOVsEU6dH6QTnA%3d%3d"
"01CCPFA-7552";"Renewal";"6/7/2023";"6/8/2023";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=6D%2fGsBrohU4RiH%2btnJ3HSWYL%2fDav5voL%2fbWCeHFOdqo%3d"
"01CCPFA-7552";"Mid-Year";"12/29/2022";"12/30/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=RG7KK0suFqv25A5P0rL%2fKNLkHyvbMjhGfu1v2A47aKQ%3d"
"01CCPFA-7552";"Renewal";"6/21/2022";"6/22/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=NdmJzOViU1mCQ3MgeIyTIw2imEsZvcUZJrBnSfdV26A%3d"
"01CCPFA-7552";"Mid-Year";"12/14/2021";"12/16/2021";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=%2fs7Tc6jvWf1MKvPhRst0Ag%3d%3d"
"01CCPFA-7552";"Renewal";"7/1/2021";"7/2/2021";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=BNrT14U%2ftEGzWavxGd%2buovpSmfZwku%2fVs31x1q4gkPE%3d"
"01CCPFA-7552";"Mid-Year";"1/12/2021";"1/12/2021";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=gf3DgpxHeKS2U5qL82DvYIS2z6KeecSTqI1ViLiyF3c%3d"
"01CDPFSA-0560";"Follow Up";"7/31/2023";"8/1/2023";"Pass";"Inspection - Follow up";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=9bvN%2bqmGncIbdUKyal2RRA%3d%3d"
"01CDPFSA-0560";"Mid-Year";"3/30/2023";"3/31/2023";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=s5jI88BLFhm1YUjbDORiBw%3d%3d"
"01CDPFSA-0560";"Renewal";"9/8/2022";"9/11/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=V%2bw6oewKvF1yY%2bjeU4%2fHoHgVfSWWx4s4nuEYldXDgWk%3d"
"01CDPFSA-0560";"Mid-Year";"4/11/2022";"4/11/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=2wRtcPizjPQTH7oe4yPyhpl4tgRqSa0jR9DgyDAkCeE%3d"
"01CDPFSA-0560";"Renewal";"9/3/2021";"9/6/2021";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=8gkaUn1FOyStstcLTOlUUVJKhVbnUkhSlGRHs6qPjB0%3d"
"01CDPFSA-0560";"Technical Assistance";"5/5/2021";"5/5/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=fXChT7oY1vSGpGSg8frnrQ%3d%3d"
"01CDPFSA-0560";"Mid-Year";"3/10/2021";"3/10/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=aPfDZhO9kzarCU26pdWzAg%3d%3d"
"01CDPFSA-0560";"Renewal";"11/5/2020";"11/5/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=MWiDvziJk25njxGzIqJ5qm9K4wBfwweAFlJRBXz3Hi4%3d"
"01CDPFSA-0560";"Mid-Year";"3/9/2020";"3/9/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=G1U9GoSijcNvJ7FJuQztuELsbeSDuBrpjVTSqTHbyiM%3d"
"01CDPFSA-0560";"Technical Assistance";"2/25/2020";"2/25/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=tBpnFqi3GcPjuNpQUMoCywVmyGrClcPBSHJGzf%2fISQo%3d"
"01CDPFSA-0560";"Renewal";"9/4/2019";"9/4/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=z8L4RHuL9E2Xvpp48YvPHpVIPGBb2ndgeK%2fzd%2bZ94x4%3d"
"01CDPFSA-0560";"Mid-Year";"3/25/2019";"3/25/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=ep3AXi%2bePOJMVw2NT8Vp8nvg8%2fYEeeedKfAtBHI1ceA%3d"
"01CDPFSA-0560";"Renewal";"9/6/2018";"9/6/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=Yj1ZmwWl%2bfQtYe6oCkQNC00%2bd1GHqT8TUlHeMLS%2bGgg%3d"
"01CDPFSA-0560";"Technical Assistance";"8/7/2018";"8/7/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=Ef2WOnxK16MF9MVJkvh%2fimzEBwcwCPy2yVOtLY8sezs%3d"
"01CDPFSA-0560";"Recurring";"3/8/2018";"3/8/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=ovhXgtBB0QVi595zKRt5Aw%3d%3d"
"01CDPFSA-0560";"Renewal";"9/22/2017";"9/22/2017";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=0O6XUU408diqPHQSfEgSWtu1KpfcgNS7TeoR6ltWKBY%3d"
"01CDRF-0786";"Renewal";"9/7/2023";"9/8/2023";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=ZkhIPcw4jKiFYixwpGOA24SW%2bOwgccr8snjl3R00Cnw%3d"
"01CDRF-0786";"Mid-Year";"3/7/2023";"3/8/2023";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=NCXYMN3QJW87eR1hhYKd1m9HijgZ6TjzJPc2Z3gU%2fdg%3d"
"01CDRF-0786";"Renewal";"9/8/2022";"9/11/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=5pOInFavcSwyeCbZ7OzsNxk7UQ17Bv7Gi5Zdig%2fSHvg%3d"
"01CDRF-0786";"Technical Assistance";"6/28/2022";"6/28/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=Sxf%2b%2fl2Lrt5K0nn0CSuIdOLYZhaaYlaWoQR8nXdMCMk%3d"
"01CDRF-0786";"Mid-Year";"3/21/2022";"3/21/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=uo8Iosunw54LXIvnNc1N%2f9uQuBK0lKcW7G6R9uOBmUo%3d"
"01CDRF-0786";"Renewal";"9/22/2021";"9/22/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=TblkRWseiIPt%2f5lrrafT9w%3d%3d"
"01CDRF-0786";"Mid-Year";"3/26/2021";"3/26/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=KcspNeUC7UsxyBH%2b4P0Y6w%3d%3d"
"01CDRF-0786";"Renewal";"12/11/2020";"12/11/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=coHSutuu2%2bHaF7mDUl07aFQgKg0iBJ%2bzK6kF9BxfSEo%3d"
"01CDRF-0786";"Mid-Year";"6/29/2020";"6/29/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=gQw7ZegS%2b27jtNp2cx2bMLKC8K6F7FyUkO4SYIsFE1c%3d"
"01CDRF-0786";"Renewal";"9/4/2019";"9/4/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=wYqdOBZO%2fTUHkF7GrJnwgjp7YmsVndC6nDcCcLh1qic%3d"
"01CDRF-0786";"Mid-Year";"3/20/2019";"3/20/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=%2bvD13FfuMl1gnDDm54UEjSxgFwwgXz4hRJ5WEt5dvek%3d"
"01CDRF-0786";"Renewal";"9/13/2018";"9/13/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=xKYWiEHTF2DojamkTZwPjfYL8VYDppI4Fdj4dP%2fYdXo%3d"
"01CDRF-0786";"Recurring";"3/8/2018";"3/8/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=Q%2bK1g52eTvoGwGTwdtMLWA%3d%3d"
"01CDRF-0786";"Renewal";"10/13/2017";"10/13/2017";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=XCZfFP%2buIKpuZ%2fe3IMBdJ0PJ2w5FDF3AoEEBdJCgoNs%3d"
"01CDRM-0206";"Mid-Year";"4/13/2023";"4/13/2023";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=Gsq2zyyh3KaF7uSTiH2JJw%3d%3d"
"01CDRM-0206";"Renewal";"10/28/2022";"10/31/2022";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=f5W2tBmvJ34x5XzwcgatdCdH8nI9BUsAOO9I4cpYkfI%3d"
"01CDRM-0206";"Mid-Year";"4/27/2022";"4/28/2022";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=NgoZkvuLS%2fBJmuSRloRpgXJRk8sicmqW4yZ1intRQ4w%3d"
"01CDRM-0206";"Renewal";"10/18/2021";"10/18/2021";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=zAjmF%2bmTPSBDND4xBl2Ph47utEeZkuG%2bvjiaWQU17tQ%3d"
"01CDRM-0206";"Mid-Year";"4/20/2021";"4/20/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=34JgYDUcmiMXWI9JYn%2fRJQFaOzmQl4%2fXUFZHh2JhDMM%3d"
"01CDRM-0206";"Renewal";"12/11/2020";"12/11/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=8AFzwtXR4GYFnf%2fZlf091vwmroOoKKGQ2yqa0VOR0aY%3d"
"01CDRM-0206";"Mid-Year";"7/14/2020";"7/14/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=B6b1lK6XExKn3UKoNAxkNw%3d%3d"
"01CDRM-0206";"Renewal";"11/4/2019";"11/4/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=u%2b4fzJedRmttu4SH19xYrwG692%2ftWYHAVXZO0TgDXMM%3d"
"01CDRM-0206";"Mid-Year";"4/15/2019";"4/15/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=YrlAbSMBNpRt%2biOb0xGepw%3d%3d"
"01CDRM-0206";"Renewal";"10/30/2018";"10/30/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=taQHLSdB1IRrSCxhtn80%2f7VRbLQRRHLIqubKm1FN1jc%3d"
"01CDRM-0206";"Recurring";"4/19/2018";"4/19/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=ZVOFbY5PfDCJyWPTP%2bWKIg%3d%3d"
"01CDRM-0206";"Renewal";"10/27/2017";"11/27/2017";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=De3eAPjSUaHda%2fgdwpx2HA%3d%3d"
"01CDPFA-2196";"Mid-Year";"5/3/2023";"5/8/2023";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=rezQTaonL7vWvCgDbgULwUMiDr74ahn7yowk73anR1o%3d"
"01CDPFA-2196";"Renewal";"11/3/2022";"11/3/2022";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=epvgWn42oBFF%2bg9fcDWkh%2bIAJLSes%2b4hhBolWpTVFbw%3d"
"01CDPFA-2196";"Technical Assistance";"10/5/2022";"10/5/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=T1QteBGvUGt%2bzoGRDpYY%2f7ZK%2fQqeFWJ4wPrI4JzM110%3d"
"01CDPFA-2196";"Mid-Year";"5/11/2022";"5/12/2022";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=tkWs5E%2bAZPI7PsNaXISn6w%3d%3d"
"01CDPFA-2196";"Renewal";"12/2/2021";"12/3/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=lmLCDslEE8uABz7R2TCCfDBVkgnGjXv0H7RTXWsaCZI%3d"
"01CDPFA-2196";"Mid-Year";"6/17/2021";"6/17/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=VFAnPNjGqaanhZo615bybWHrVEOiskVBx7p5tEk1Mqs%3d"
"01CDPFA-2196";"Renewal";"12/17/2020";"12/17/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=s%2bDbe9GWm6dx%2fIxa3nb8IpVOHsU9TkayNplwjoyvnOM%3d"
"01CDPFA-2196";"Mid-Year";"10/8/2020";"10/8/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=G3ZOvbNNysFvHnk%2bFObJtAHoi5%2bie3turQOYvwNDVt8%3d"
"01CDPFA-2196";"Renewal";"11/15/2019";"11/15/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=PEO%2bu0I2H11Ee28NuMzWy4mmMUm4Rj1BKgVReuZsMS0%3d"
"01CDPFA-2196";"Mid-Year";"5/8/2019";"5/8/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=Ptp5EeIHj4ntKsoZlqKE8Vq1GMREkBli9%2f%2b4Hb6rAYE%3d"
"01CDPFA-2196";"Renewal";"11/29/2018";"11/29/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=YKWo6koLR1PInkH9gBFzF2h4xZrAt6f0kp60qtVZxkA%3d"
"01CDPFA-2196";"Recurring";"5/15/2018";"5/15/2018";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=40BLiRTyQ4Tuxz5cRN4BlzEhRSAlVihyaa00WjPxU08%3d"
"01CDPFA-2196";;;;;"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=wtRqrl38uHQKXu3JblEfBQ%3d%3d"
"01CDPFA-2196";"Renewal";"12/7/2017";"12/7/2017";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=9ESwLBA%2bf%2b3T%2fZ9ubC53y7WdlZXOsjcBSrFuJKjS9nE%3d"
"01CCPF-6769";"Renewal";"6/7/2023";"6/8/2023";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=x9FUuG9XqP8gTO2%2bXF9XE7b%2f6yIIVXzUG%2firg4aZxGQ%3d"
"01CCPF-6769";"Mid-Year";"1/5/2023";"1/5/2023";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=RGutxpez%2fvprj73znpATEXI1HYYYuTsr2VWsNw%2bX8%2fo%3d"
"01CCPF-6769";"Renewal";"6/21/2022";"6/22/2022";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=pTIrFUOE3nFJHkCSjgL1ZMlErpxMXXfuDD5eif7uook%3d"
"01CCPF-6769";"Mid-Year";"12/14/2021";"12/15/2021";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=wWYM8lXwerGdfeGkm1%2fUs3PUJPN7kY9FsEORgOJIi44%3d"
"01CCPF-6769";"Follow Up";"7/1/2021";"7/1/2021";"Pass";"Inspection - Follow up";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=Z9x5Q7XdeiAxVv08kwzXzkcKyl792yymQdfxJ4daIEM%3d"
"01CCPF-6769";"Renewal";"6/8/2021";"6/8/2021";"Fail";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=QqLSU3RYvcbAdtam4jtb6hiw%2fiq5u7dqycaTpVBFrUk%3d"
"01CCPF-6769";"Renewal";"8/13/2020";"8/13/2020";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=TJNgn1dKInXuUNgue3Y3c8bbx3zlzhQHGadkmm9333k%3d"
"01CCPF-6769";"Mid-Year";"12/31/2019";"12/31/2019";"Pass Pending";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=ceWEDATYgtCvjipSMvTDxA%3d%3d"
"01CCPF-6769";"Renewal";"6/26/2019";"6/26/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=iif7M4J85q9TQLsLWoQF7Q%3d%3d"
"01CCPF-6769";;;;;"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=yGGxeAn5s9IEQ6XdTXBUJb34Ne7eAO0UDbqM%2f8A%2fOY4%3d"
"01CCPF-6769";"Mid-Year";"1/16/2019";"1/16/2019";"Pass";"Inspection";"https://www.msdh.provider.webapps.ms.gov/PublicViewInspectionDocument.aspx?pdf=NKCaboWE9ptfo1Wv%2fZWJ8Do5NL6jFlvRDmGPXVonWYM%3d"
