"License No";"Name";"Address";"County";"City";"Zip";"Phone Number";"Type";"Capacity";"Status";"Services";"Age Group Served";"Months Of Operation";"Days & Hours Of Operation";"MDHS Subsidy";"Note"
"02CDRFM-5337";"FIRST BAPTIST CHURCH KINDERGARTEN";"501 MAIN ST";"ALCORN";"CORINTH";38834;"662-286-2208";"Center based Child Care Facility";70;"ACTIVE (08/01/2023 - 07/31/2024)";"Full Day, Half Day Morning";"3 yr old, 4 yr old, 5 yr old Pre-Sch";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:45 AM To 12:00 PM";"No";
"02CDRF-7735";"FIRST METHODIST";"3161 E SHILOH RD";"ALCORN";"CORINTH";38834;"662-808-1249";"Center based Child Care Facility";82;"ACTIVE (02/01/2023 - 01/31/2024)";"Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 05:30 PM";"Yes";
"02RAPF-7813";"IN HOME CHILDCARE";"1113 POLK ST";"ALCORN";"CORINTH";38834;"662-665-9369";"Center based Child Care Facility";12;"PENDING-INSPECTION (10/01/2023 - 09/30/2024)";"Full Day";"1 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 05:00 PM";"No";
"02CDPFSWA-5742";"JUST KIDS 1";"13 CR 217 A";"ALCORN";"CORINTH";38834;"662-284-9555";"Center based Child Care Facility";90;"ACTIVE (01/01/2023 - 12/31/2023)";"School Age After School, Full Day, Summer Day, Special Needs,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 05:30 PM";"Yes";
"02CBPF-0857";"KID KOUNTRY";"16B S FRONT ST";"ALCORN";"RIENZI";38865;"662-462-8387";"Center based Child Care Facility";30;"ACTIVE (12/01/2022 - 11/30/2023)";"Full Day,Accepts MDHS Subsidy Children";"2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 05:00 PM";"Yes";
"02CDPFA-6629";"KIDDIE KOLLEGE";"435 W HARRIS CIR";"ALCORN";"CORINTH";38834;"662-287-0228";"Center based Child Care Facility";60;"ACTIVE (01/01/2023 - 12/31/2023)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 05:30 PM";"Yes";
"02CDRFSA-6175";"KIDZ KINGDOM CHILDCARE & DEVELOPMENT";"61 CR 770";"ALCORN";"CORINTH";38834;"662-223-4279";"Center based Child Care Facility";81;"ACTIVE (09/01/2023 - 08/31/2024)";"School Age After School, Full Day, Summer Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 05:30 AM To 05:30 PM";"Yes";
"02CDPFA-7274";"LITTLE SUPER STARS LEARNING CENTER";"3112 KENDRICK RD";"ALCORN";"CORINTH";38834;"662-872-3149";"Center based Child Care Facility";68;"RESTRICTED (04/03/2023 - 09/30/2023)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 05:30 PM";"Yes";
"02CDIF-7628";"LITTLE SUPER STARS LEARNING CENTER TWO";"1910 SOUTH TATE STREET";"ALCORN";"CORINTH";38834;"662-286-0727";"Center based Child Care Facility";70;"ACTIVE (04/01/2023 - 03/31/2024)";"Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 05:30 PM";"Yes";
"02CBPFS-7903";"MS. NIKKI'S PLAYHOUSE";"105 N MADISON ST";"ALCORN";"CORINTH";38834;"662-396-1636";"Center based Child Care Facility";30;"TEMPORARY (07/22/2023 - 12/31/2023)";"Full Day, Summer Day";"1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 05:00 PM";"No";
"02CDPFA-7665";"THE GIVING TREE II";"19 COUNTY ROAD 215";"ALCORN";"CORINTH";38834;"662-286-1933";"Center based Child Care Facility";79;"ACTIVE (08/01/2023 - 07/31/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 05:30 PM";"Yes";
"Y-7642";"BRUSHY CREEK RANCH COWBOY CAMP";"5939 E HOMOCHITTO RD";"AMITE";"GLOSTER";39638;"601-225-7777";"Youth Camp";150;"ACTIVE (06/01/2023 - 05/31/2024)";;;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 05:00 AM To 06:59 AM, Saturday 05:00 AM To 06:59 AM, Sunday 05:00 AM To 06:59 AM";"No";
"03CDGH-7742";"GLOSTER HEAD START CENTER";"183 WEST TATE STREET";"AMITE";"GLOSTER";39638;"601-225-7036";"Center based Child Care Facility";100;"ACTIVE (02/01/2023 - 01/31/2024)";"Head Start";"2 yr old";"Jan, Feb, Mar, Apr, May, Jun, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:30 AM To 03:30 PM";"No";
"03CDPH-7740";"LIBERTY HEAD START CENTER";"400 WEST FREEDOM DRIVE";"AMITE";"LIBERTY";39645;"601-300-9271";"Center based Child Care Facility";87;"ACTIVE (02/01/2023 - 01/31/2024)";"Head Start";;"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:30 AM To 03:30 PM";"No";
"04CBPF-6901";"3 STEP DAYCARE";"1129 N NATCHEZ ST";"ATTALA";"KOSCIUSKO";39090;"662-792-4180";"Center based Child Care Facility";30;"ACTIVE (09/01/2023 - 08/31/2024)";"Full Day,Accepts MDHS Subsidy Children";"1 yr old, 2 yr old, 3 yr old, 4 yr old, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 06:00 PM, Saturday 08:00 AM To 03:00 PM, Sunday 08:30 AM To 03:00 PM";"Yes";
"04CCPFA-7516";"3 STEP DAYCARE CENTER 2";"1127 N NATCHEZ ST";"ATTALA";"KOSCIUSKO";39090;"662-792-4200";"Center based Child Care Facility";38;"ACTIVE (01/01/2023 - 12/31/2023)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 05:30 AM To 05:30 PM";"Yes";
"04CDPFA-1476";"ATTALA CORPORATE CHILD DEVELOPMENT CENTER";"3244 ATTALA ROAD 2247";"ATTALA";"KOSCIUSKO";39090;"662-289-4900";"Center based Child Care Facility";90;"ACTIVE (08/01/2023 - 07/31/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 05:30 PM";"Yes";
"04CDPFWA-7764";"BUBBLING BABBIES ATTALA";"PARKWAY PLAZA";"ATTALA";"KOSCIUSKO";39090;"662-792-4149";"Center based Child Care Facility";60;"ACTIVE (05/01/2023 - 04/30/2024)";"School Age After School, Full Day, Special Needs,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 05:30 AM To 05:30 PM";"Yes";
"04CCRNA-1601";"FIRST UNITED METHODIST CHURCH AFTERSCHOOL PROGRAM";"110-114 EAST WASHINGTON";"ATTALA";"KOSCIUSKO";39090;"662-289-1412";"Center based Child Care Facility";50;"ACTIVE (11/01/2022 - 10/31/2023)";"School Age After School, Half Day Afternoon";"4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 02:30 PM To 05:30 PM";"No";
"04CBPFA-7762";"KATHERINE'S BRIGHT BEGINNING ACADEMY";"6145 HWY 12 W";"ATTALA";"SALLIS";39160;"662-289-2599";"Center based Child Care Facility";30;"ACTIVE (05/01/2023 - 04/30/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 05:00 PM";"Yes";
"04CFPHE-7518";"KOSCIUSKO HEAD START CENTER";"14139 ATTALA HWY 12W";"ATTALA";"KOSCIUSKO";39090;"662-228-5386";"Center based Child Care Facility";163;"ACTIVE (02/01/2023 - 01/31/2024)";"Early Head Start, Head Start";"Infant Care, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:30 AM To 03:30 PM";"No";
"License Exempt";"OPRAH WINFREY BOYS & GIRLS CLUB OF EAST MISSISSIPPI";"500 KNOX RD";"ATTALA";"KOSCIUSKO";39090;"601-934-1922";"Center based Child Care Facility";400;"ACTIVE";"Accepts MDHS Subsidy Children";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 08:00 AM To 08:00 PM, Saturday 08:00 AM To 02:00 PM";"Yes";
"04CCRFM-7745";"PRESBYTERIAN DAY SCHOOL";"603 SMYTHE ST";"ATTALA";"KOSCIUSKO";39090;"662-289-3322";"Center based Child Care Facility";39;"ACTIVE (03/01/2023 - 02/28/2024)";"Full Day, Half Day Morning";"1 yr old, 2 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 08:00 AM To 05:00 PM";"No";
"04CBPFWA-5134";"WEE KIDS CHILDREN'S MINISTRY";"1311 HIGHWAY 35 N";"ATTALA";"KOSCIUSKO";39090;"662-290-8881";"Center based Child Care Facility";16;"ACTIVE (04/01/2023 - 03/31/2024)";"School Age After School, Full Day, Special Needs,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:00 AM To 11:30 PM";"Yes";
"05CFIH-6571";"ASHLAND HEAD START CENTER";"221 SCHOOL AVE";"BENTON";"ASHLAND";38603;"662-224-0316";"Center based Child Care Facility";179;"ACTIVE (08/01/2023 - 07/31/2024)";"Head Start";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 08:00 AM To 04:00 PM";"No";
"05CEGH-6915";"HICKORY FLAT HEAD START CENTER";"58 MEADOWBROOK DR HICKORY";"BENTON";"FLAT";38633;"662-333-1304";"Center based Child Care Facility";110;"ACTIVE (08/01/2023 - 07/31/2024)";"Head Start";"Infant Care, 1 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 08:00 AM To 04:00 PM";"No";
"06RBPFA-2085";"BACK TO BASICS DAY CARE";"816 BELL AVE";"BOLIVAR";"CLEVELAND";38732;"662-641-1691";"Center based Child Care Facility";30;"ACTIVE (07/01/2023 - 06/30/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:30 AM To 05:00 PM, Saturday 09:30 AM To 05:00 PM, Sunday 09:00 AM To 05:00 PM";"Yes";
"06CFIHE-6250";"BILLY J. MCCAIN HEAD START CENTER";"5230 HIGHWAY 61 MOUND";"BOLIVAR";"BAYOU";38762;"662-741-2178";"Center based Child Care Facility";309;"ACTIVE (08/01/2023 - 07/31/2024)";"Early Head Start, Head Start";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch";"Jan, Feb, Mar, Apr, May, Jun, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 08:00 AM To 05:30 PM";"No";
"06CCPFA-6773";"BLESSED KIDS OF SOLID ROCK";"306 SOUTH ST";"BOLIVAR";"CLEVELAND";38732;"662-719-5396";"Center based Child Care Facility";35;"ACTIVE (07/01/2023 - 06/30/2024)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old, 1 -12 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 06:30 AM To 05:30 PM";"Yes";
"06CDIH-2747";"BOLIVAR CO. HEAD START - CLEVELAND #3";"1408 HIGHWAY 8";"BOLIVAR";"CLEVELAND";38732;"662-843-4526";"Center based Child Care Facility";91;"ACTIVE (02/01/2023 - 01/31/2024)";"Head Start";"3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 06:00 PM";"No";
"06CCIH-4479";"CLEVELAND #3 HEAD START ANNEX";"506 N CHRISMAN AVE";"BOLIVAR";"CLEVELAND";38732;"662-843-6403";"Center based Child Care Facility";45;"ACTIVE (10/01/2022 - 09/30/2023)";"Head Start";"1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 08:00 AM To 03:00 PM";"No";
"06CFIH-0775";"CLEVELAND HEAD START CENTER #1";"924 PEARL AVE";"BOLIVAR";"CLEVELAND";38732;"662-846-1553";"Center based Child Care Facility";130;"ACTIVE (04/01/2023 - 03/31/2024)";"Head Start";"1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 05:00 PM";"No";
"06CFIHE-0776";"CLEVELAND HEAD START CENTER #2";"1103 BELL AVE";"BOLIVAR";"CLEVELAND";38732;"662-846-6864";"Center based Child Care Facility";159;"ACTIVE (04/01/2023 - 03/31/2024)";"Early Head Start, Head Start";"1 yr old, 2 yr old, 3 yr old, 4 yr old";"Jan, Feb, Mar, Apr, May, Jun, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 05:00 PM";"No";
"06CDGF-0235";"DELTA STATE UNIVERSITY HAMILTON-WHITE CHILD DEV. CENTER";"HWY 8 WEST";"BOLIVAR";"CLEVELAND";38733;"662-846-4320";"Center based Child Care Facility";53;"ACTIVE (11/01/2022 - 10/31/2023)";"Full Day";"Infant Care, 1 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:40 AM To 05:10 PM";"No";
"06CCGF-7792";"DELTA STATE UNIVERSITY HAMILTON-WHITE CHILD DEVELOPMENT CENTER B";"1003 W SUNFLOWER RD";"BOLIVAR";"CLEVELAND";38733;"662-846-4141";"Center based Child Care Facility";35;"ACTIVE (08/01/2023 - 07/31/2024)";"Full Day";;"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:40 AM To 05:10 PM";"No";
"06CDPFA-2134";"HAPPY FACES DAY CARE AND LEARNING CENTER";"303 CLEVELAND";"BOLIVAR";"SHAW";38773;"662-754-3050";"Center based Child Care Facility";72;"ACTIVE (12/01/2022 - 11/30/2023)";"School Age After School, Full Day,Accepts MDHS Subsidy Children";"Infant Care, 1 yr old, 2 yr old, 3 yr old, 4 yr old, 5 yr old Pre-Sch, 5-9 yr old";"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec";"Monday-Friday 07:00 AM To 05:00 PM";"Yes";
