"ID";"Severity";"Inspection Type";"Date";"Deficiency Type";"Resolved";"Inspection URL"
6313;"High";"Renewal Application";"12/11/2020";"Staff Requirements";"On Site";"https://www.scchildcare.org/InspectionReports/4999/24062_vren_12112020.pdf"
11271;"High";"Annual Review";"6/13/2023";"Diapering";"Yes";"https://www.scchildcare.org/InspectionReports/14809/l17920_annual_06132023.pdf"
11271;"High";"Annual Review";"6/13/2023";"Electrical Sources";"Yes";"https://www.scchildcare.org/InspectionReports/14809/l17920_annual_06132023.pdf"
11271;"Medium";"Annual Review";"6/13/2023";"Sanitation";"Yes";"https://www.scchildcare.org/InspectionReports/14809/l17920_annual_06132023.pdf"
11271;"Medium";"Annual Review";"6/13/2023";"Outdoor Space";"Yes";"https://www.scchildcare.org/InspectionReports/14809/l17920_annual_06132023.pdf"
11271;"Medium";"Annual Review";"6/13/2023";"Outdoor Space";"Yes";"https://www.scchildcare.org/InspectionReports/14809/l17920_annual_06132023.pdf"
11271;"Medium";"Annual Review";"6/13/2023";"Furniture, Toys, and Recreational Equipment";"Yes";"https://www.scchildcare.org/InspectionReports/14809/l17920_annual_06132023.pdf"
11271;"Medium";"Annual Review";"6/13/2023";"Food Storage";"Yes";"https://www.scchildcare.org/InspectionReports/14809/l17920_annual_06132023.pdf"
11233;"Medium";"Renewal Application";"1/10/2023";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/11564/955_ren_01-10-23.pdf"
11233;"High";"Renewal Application";"1/10/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/11564/955_ren_01-10-23.pdf"
11233;"Medium";"Annual Review";"9/6/2022";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/10267/955_sv_09062022.pdf"
3898;"High";"Annual Review";"5/2/2023";"Staff Requirements";"Pending";"https://www.scchildcare.org/InspectionReports/14841/594_av_05-02-23.pdf"
3898;"Medium";"Renewal Application";"12/9/2022";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/11474/594_rv_12-09-22.pdf"
3898;"Medium";"Renewal Application";"12/9/2022";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/11474/594_rv_12-09-22.pdf"
3898;"High";"Renewal Application";"12/9/2022";"63-13-40 Background checks for employment";"Yes";"https://www.scchildcare.org/InspectionReports/11474/594_rv_12-09-22.pdf"
7737;"High";"Complaint";"1/23/2023";"Center Definitions";"Yes";"https://www.scchildcare.org/InspectionReports/13378/805-complaint-january-23-2023.pdf"
7737;"High";"Complaint";"1/20/2023";"Discipline and Behavior Management";"Yes";
7737;"High";"Complaint";"1/20/2023";"Discipline and Behavior Management";"Yes";
2377;"Medium";"Renewal Application";"2/16/2023";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/13057/317_ren_02-16-23.pdf"
2377;"High";"Renewal Application";"2/16/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/13057/317_ren_02-16-23.pdf"
17630;"High";"Annual Review";"11/9/2022";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/11799/l18025_annual_11092022.pdf"
17630;"High";"Annual Review";"11/9/2022";"Indoor Space and Conditions - Environmental Hazards";"On Site";"https://www.scchildcare.org/InspectionReports/11799/l18025_annual_11092022.pdf"
17630;"High";"Annual Review";"11/9/2022";"Environmental Hazards";"On Site";"https://www.scchildcare.org/InspectionReports/11799/l18025_annual_11092022.pdf"
26352;"High";"Complaint";"3/23/2023";"Reporting of Incidents";"On Site";"https://www.scchildcare.org/InspectionReports/14188/l22607_complaint_03232023.pdf"
26352;"High";"Complaint";"3/23/2023";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/14188/l22607_complaint_03232023.pdf"
26352;"High";"Complaint";"3/23/2023";"Discipline and Behavior Management";"On Site";"https://www.scchildcare.org/InspectionReports/14188/l22607_complaint_03232023.pdf"
3486;"High";"Annual Review";"5/16/2023";"63-13-40 Background checks for employment";"Yes";
3486;"Medium";"Annual Review";"4/5/2022";"Indoor Space and Conditions - Environmental Hazards";"Yes";"https://www.scchildcare.org/InspectionReports/8268/393_sv_04052022.pdf"
2513;"Medium";"Renewal Application";"3/11/2022";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/9198/105_ren_03112022.pdf"
2513;"Medium";"Renewal Application";"3/11/2022";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/9198/105_ren_03112022.pdf"
2513;"High";"Renewal Application";"3/11/2022";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/9198/105_ren_03112022.pdf"
2513;"High";"Renewal Application";"10/29/2020";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/4550/105_vren_10292020.pdf"
22057;"Medium";"Renewal Application";"12/17/2020";"Staff Records";"Yes";
2399;"Medium";"Renewal Application";"1/20/2023";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/12733/162_ren_01-20-23.pdf"
2399;"High";"Renewal Application";"1/20/2023";"Staff Records";"Yes";"https://www.scchildcare.org/InspectionReports/12733/162_ren_01-20-23.pdf"
2399;"Medium";"Renewal Application";"1/20/2023";"Staff Records";"Yes";"https://www.scchildcare.org/InspectionReports/12733/162_ren_01-20-23.pdf"
2399;"High";"Renewal Application";"1/20/2023";"Staff Records";"Yes";"https://www.scchildcare.org/InspectionReports/12733/162_ren_01-20-23.pdf"
2399;"High";"Renewal Application";"1/20/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/12733/162_ren_01-20-23.pdf"
2399;"High";"Renewal Application";"1/20/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/12733/162_ren_01-20-23.pdf"
2399;"High";"Renewal Application";"1/20/2023";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/12733/162_ren_01-20-23.pdf"
2399;"Medium";"Renewal Application";"1/20/2023";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/12733/162_ren_01-20-23.pdf"
2399;"High";"Annual Review Follow Up";"12/14/2021";"Staff Records";"Yes";"https://www.scchildcare.org/InspectionReports/7215/162_fu_12142021.pdf"
2399;"Medium";"Annual Review Follow Up";"12/14/2021";"Staff Records";"Yes";"https://www.scchildcare.org/InspectionReports/7215/162_fu_12142021.pdf"
2399;"High";"Annual Review";"10/20/2021";"Direct Supervision";"Yes";"https://www.scchildcare.org/InspectionReports/7017/162_sv_10202021.pdf"
2399;"High";"Renewal Application";"2/17/2021";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/4736/162_vren_02172021.pdf"
2399;"High";"Renewal Application";"2/17/2021";"Direct Supervision";"Yes";"https://www.scchildcare.org/InspectionReports/4736/162_vren_02172021.pdf"
2399;"High";"Renewal Application";"2/17/2021";"63-13-40 Background checks for employment";"Yes";"https://www.scchildcare.org/InspectionReports/4736/162_vren_02172021.pdf"
35603;"Medium";"Annual Review";"10/25/2022";"Indoor Space & Conditions - Lighting";"Yes";"https://www.scchildcare.org/InspectionReports/11427/l23821_annual_10252022.pdf"
35603;"Medium";"Annual Review";"10/25/2022";"Outdoor Space";"On Site";"https://www.scchildcare.org/InspectionReports/11427/l23821_annual_10252022.pdf"
2362;"Medium";"Annual Review";"2/22/2023";"Diapering";"Yes";"https://www.scchildcare.org/InspectionReports/13632/505_av_02-22-23.pdf"
2362;"High";"Annual Review";"2/22/2023";"Diapering";"On Site";"https://www.scchildcare.org/InspectionReports/13632/505_av_02-22-23.pdf"
2362;"Medium";"Annual Review";"2/22/2023";"Bathrooms";"On Site";"https://www.scchildcare.org/InspectionReports/13632/505_av_02-22-23.pdf"
2362;"Medium";"Annual Review";"9/26/2022";"Bathrooms";"Yes";"https://www.scchildcare.org/InspectionReports/10836/505_sv_09202022.pdf"
2362;"Medium";"Annual Review";"9/26/2022";"Furniture, Toys, and Recreational Equipment";"Yes";"https://www.scchildcare.org/InspectionReports/10836/505_sv_09202022.pdf"
3586;"High";"Renewal Application";"4/28/2022";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/8840/601_ren_04282022.pdf"
21084;"High";"Renewal Application";"1/25/2022";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/9313/a21453_renewal_01252022.pdf"
1962;"High";"Renewal Application";"7/12/2023";"Center Definitions";"On Site";
1962;"High";"Renewal Application";"7/12/2023";"Ratios";"On Site";
37106;"Medium";"Complaint";"6/16/2022";"Staff Requirements";"On Site";"https://www.scchildcare.org/InspectionReports/10401/l24284_complaint_06162022.pdf"
37106;"High";"Complaint";"6/16/2022";"Staff Requirements";"On Site";"https://www.scchildcare.org/InspectionReports/10401/l24284_complaint_06162022.pdf"
37106;"High";"Complaint";"6/16/2022";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/10401/l24284_complaint_06162022.pdf"
37106;"High";"Complaint";"6/16/2022";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/10401/l24284_complaint_06162022.pdf"
37106;"High";"Complaint";"6/16/2022";"Ratios";"On Site";"https://www.scchildcare.org/InspectionReports/10401/l24284_complaint_06162022.pdf"
37106;"Medium";"Annual Review";"12/16/2021";"Bathrooms";"Pending";"https://www.scchildcare.org/InspectionReports/8478/l24284_annual_12162021.pdf"
5340;"High";"Annual Review";"8/29/2022";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/11104/16708-sv-august-29-2022.pdf"
5340;"Medium";"Annual Review";"8/29/2022";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/11104/16708-sv-august-29-2022.pdf"
5340;"High";"Annual Review";"8/29/2022";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/11104/16708-sv-august-29-2022.pdf"
9760;"Medium";"Renewal Application";"10/5/2022";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/11659/881_rv_10-5-22.pdf"
9760;"High";"Renewal Application";"10/5/2022";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/11659/881_rv_10-5-22.pdf"
10857;"High";"Annual Review Follow Up";"5/15/2023";"Center Definitions";"On Site";"https://www.scchildcare.org/InspectionReports/14072/17838-follow-up-may-15-2023.pdf"
10857;"High";"Annual Review Follow Up";"5/15/2023";"Ratios";"On Site";"https://www.scchildcare.org/InspectionReports/14072/17838-follow-up-may-15-2023.pdf"
10857;"High";"Annual Review";"4/5/2023";"Food Storage";"On Site";
10857;"High";"Complaint";"2/28/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/13010/17838-complaint-february-28-2023.pdf"
10857;"Medium";"Complaint";"2/28/2023";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/13010/17838-complaint-february-28-2023.pdf"
10857;"High";"Annual Review";"8/31/2022";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/10296/17838-sv-august-31-2022.pdf"
10857;"High";"Annual Review";"6/3/2021";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/5406/17838-sv-june-3-2021.pdf"
10857;"High";"Complaint";"3/17/2021";"Direct Supervision";"On Site";
10857;"High";"Complaint";"10/30/2020";"Center Definitions";"Yes";
10857;"High";"Complaint";"10/30/2020";"Staff Records";"Yes";
2360;"Medium";"Annual Review";"3/28/2023";"Outdoor Space";"On Site";"https://www.scchildcare.org/InspectionReports/13420/l35_annual_03282023.pdf"
2360;"Medium";"Annual Review";"3/28/2023";"Furniture, Toys, and Recreational Equipment";"On Site";"https://www.scchildcare.org/InspectionReports/13420/l35_annual_03282023.pdf"
2360;"Medium";"Annual Review";"10/21/2021";"Food Storage";"Yes";"https://www.scchildcare.org/InspectionReports/7112/a35_annual_102121.pdf"
32896;"High";"Annual Review";"10/25/2021";"Outdoor Space";"Yes";"https://www.scchildcare.org/InspectionReports/7820/a23316_annual_10252021.pdf"
6975;"Medium";"Renewal Application";"5/24/2023";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/15296/24064_ren_05-24-23.pdf"
6975;"High";"Renewal Application";"5/24/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/15296/24064_ren_05-24-23.pdf"
6975;"High";"Renewal Application";"5/24/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/15296/24064_ren_05-24-23.pdf"
6975;"High";"Renewal Application";"5/24/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/15296/24064_ren_05-24-23.pdf"
6975;"Medium";"Renewal Application";"5/24/2023";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/15296/24064_ren_05-24-23.pdf"
6975;"High";"Renewal Application";"5/24/2023";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/15296/24064_ren_05-24-23.pdf"
6975;"Medium";"Renewal Application";"5/24/2023";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/15296/24064_ren_05-24-23.pdf"
7658;"High";"Annual Review";"4/26/2023";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/13875/24065-sv-april-26-2023.pdf"
7658;"High";"Annual Review";"4/26/2023";"Indoor Space and Conditions - Environmental Hazards";"On Site";"https://www.scchildcare.org/InspectionReports/13875/24065-sv-april-26-2023.pdf"
7658;"High";"Annual Review";"10/8/2021";"Staff Records";"On Site";"https://www.scchildcare.org/InspectionReports/5868/24065-sv-october-8-2021.pdf"
7658;"Medium";"Annual Review";"10/8/2021";"Staff Records";"On Site";"https://www.scchildcare.org/InspectionReports/5868/24065-sv-october-8-2021.pdf"
7658;"High";"Annual Review";"10/8/2021";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/5868/24065-sv-october-8-2021.pdf"
42642;"Medium";"Annual Review";"6/11/2021";"Staff Records";"Yes";"https://www.scchildcare.org/InspectionReports/5437/24881-sv-june-11-2021.pdf"
42642;"High";"Annual Review";"6/11/2021";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/5437/24881-sv-june-11-2021.pdf"
42642;"Low";"Annual Review";"6/11/2021";"A(2) Indoor Space & Conditions - Ventilation";"On Site";"https://www.scchildcare.org/InspectionReports/5437/24881-sv-june-11-2021.pdf"
4790;"Medium";"Annual Review";"2/28/2023";"Staff Health";"Pending";"https://www.scchildcare.org/InspectionReports/12983/l16934_annual_02282023.pdf"
4790;"Medium";"Annual Review";"8/19/2022";"Indoor Space and Conditions - Environmental Hazards";"Yes";
4790;"High";"Annual Review";"8/19/2022";"Feeding, Eating, and Drinking";"On Site";
4790;"Medium";"Renewal Application";"6/24/2022";"Staff Requirements";"Yes";"https://www.scchildcare.org/InspectionReports/9467/l16934_renewal_06242022.pdf"
4790;"High";"Renewal Application";"6/24/2022";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/9467/l16934_renewal_06242022.pdf"
4790;"Medium";"Renewal Application";"6/24/2022";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/9467/l16934_renewal_06242022.pdf"
4790;"Medium";"Annual Review";"7/23/2021";"Cleaning, Storage, and Handling of Food Utensils and Equipment";"On Site";"https://www.scchildcare.org/InspectionReports/6884/l16934_annual_07232021.pdf"
39359;"High";"Annual Review";"4/26/2023";"Environmental Hazards";"Yes";"https://www.scchildcare.org/InspectionReports/13832/l24365_annual_04262023.pdf"
39359;"Medium";"Complaint";"1/13/2023";"Indoor Space and Conditions - Environmental Hazards";"Pending";"https://www.scchildcare.org/InspectionReports/13286/l24365_complaint_01132023.pdf"
39359;"High";"Review";"8/25/2022";"Direct Supervision";"On Site";"https://www.scchildcare.org/InspectionReports/11666/l24365_follow-up_08252022.pdf"
39359;"High";"Review";"8/25/2022";"Ratios";"On Site";"https://www.scchildcare.org/InspectionReports/11666/l24365_follow-up_08252022.pdf"
39359;"Medium";"Renewal Application";"8/22/2022";"Child Records";"Yes";"https://www.scchildcare.org/InspectionReports/11613/l24365_renewal_08222022.pdf"
39359;"High";"Annual Review";"5/25/2022";"Ratios";"Yes";"https://www.scchildcare.org/InspectionReports/11859/l24365_annual_05252022.pdf"
39359;"High";"Annual Review";"5/25/2022";"Staff Health";"Yes";"https://www.scchildcare.org/InspectionReports/11859/l24365_annual_05252022.pdf"
39359;"High";"Annual Review";"5/25/2022";"Electrical Sources";"Yes";"https://www.scchildcare.org/InspectionReports/11859/l24365_annual_05252022.pdf"
39359;"Medium";"Annual Review";"5/25/2022";"Indoor Space and Conditions - Environmental Hazards";"On Site";"https://www.scchildcare.org/InspectionReports/11859/l24365_annual_05252022.pdf"
39359;"Medium";"Annual Review";"5/25/2022";"Sanitation";"On Site";"https://www.scchildcare.org/InspectionReports/11859/l24365_annual_05252022.pdf"
39359;"High";"Annual Review";"5/25/2022";"Outdoor Space";"Yes";"https://www.scchildcare.org/InspectionReports/11859/l24365_annual_05252022.pdf"
39359;"Medium";"Annual Review";"5/25/2022";"Furniture, Toys, and Recreational Equipment";"Yes";"https://www.scchildcare.org/InspectionReports/11859/l24365_annual_05252022.pdf"
39359;"High";"Annual Review";"5/25/2022";"Rest Equipment";"Yes";"https://www.scchildcare.org/InspectionReports/11859/l24365_annual_05252022.pdf"
39359;"High";"Annual Review";"5/25/2022";"Environmental Hazards";"On Site";"https://www.scchildcare.org/InspectionReports/11859/l24365_annual_05252022.pdf"
