"ID";"Inspection Type";"Date";"Inspection URL"
365;"Annual Review";"12/13/2021";"https://www.scchildcare.org/InspectionReports/8631/14625_sv_12-13-21.pdf"
365;"Initial Application";"9/28/2021";"https://www.scchildcare.org/InspectionReports/6103/14625_ren_09282021.pdf"
18677;"Complaint";"7/12/2023";"https://www.scchildcare.org/InspectionReports/15165/18662-complaint-july-12-2023.pdf"
18677;"Complaint";"4/14/2022";"https://www.scchildcare.org/InspectionReports/8437/18662-complaint-april-14-2022.pdf"
18677;"Complaint";"4/1/2022";"https://www.scchildcare.org/InspectionReports/8282/18662-complaint-april-1-2022.pdf"
18677;"Complaint";"10/7/2021";"https://www.scchildcare.org/InspectionReports/5846/18662-complaint-october-7-2021.pdf"
18677;"Initial Application";"1/28/2021";"https://www.scchildcare.org/InspectionReports/4893/18662-renewal-january-28-2021.pdf"
4455;"Annual Review";"4/18/2023";"https://www.scchildcare.org/InspectionReports/13707/721-sv-april-18-2023.pdf"
4455;"Annual Review";"10/19/2022";"https://www.scchildcare.org/InspectionReports/11081/721-follow-up-october-19-2022.pdf"
4455;"Annual Review";"6/29/2022";"https://www.scchildcare.org/InspectionReports/9583/721-sv-june-29-2022.pdf"
4455;"Annual Review";"9/30/2021";"https://www.scchildcare.org/InspectionReports/5813/721-sv-september-30-2021.pdf"
4455;"Initial Application";"11/30/2020";"https://www.scchildcare.org/InspectionReports/4469/721-renewal-november-30-2020.pdf"
38986;"Review";"3/6/2023";"https://www.scchildcare.org/InspectionReports/13023/24303-sv-march-6-2023.pdf"
38986;"Annual Review";"7/18/2022";"https://www.scchildcare.org/InspectionReports/9613/24303-sv-july-18-2022.pdf"
38986;"Annual Review";"5/12/2022";"https://www.scchildcare.org/InspectionReports/8931/24303-follow-up-may-12-2022.pdf"
38986;"Initial Application";"4/20/2022";"https://www.scchildcare.org/InspectionReports/8946/38986-renewal-april-20-2022.pdf"
38986;"Complaint";"3/28/2022";"https://www.scchildcare.org/InspectionReports/8930/24303-complaint-march-28-2022.pdf"
38986;"Annual Review";"5/19/2021";"https://www.scchildcare.org/InspectionReports/5360/24303-sv-may-19-2021.pdf"
8363;"Renewal Application";"3/21/2023";"https://www.scchildcare.org/InspectionReports/14246/l17454_renewal_03212023.pdf"
8363;"Annual Review";"2/25/2021";"https://www.scchildcare.org/InspectionReports/6886/l17454_renewal_02252021.pdf"
10927;"Annual Review";"6/2/2023";"https://www.scchildcare.org/InspectionReports/14666/p17851_av_06-02-23.pdf"
10927;"Annual Review";"10/24/2022";"https://www.scchildcare.org/InspectionReports/12261/1781_sv_10-24-22.pdf"
10927;"Initial Application";"6/9/2022";"https://www.scchildcare.org/InspectionReports/10373/17851_ren_6-9-22.pdf"
10927;"Annual Review";"11/22/2021";"https://www.scchildcare.org/InspectionReports/7079/17851_sv_11222021.pdf"
740;"Complaint";"1/5/2023";"https://www.scchildcare.org/InspectionReports/11984/526-complaint-january-5-2023.pdf"
740;"Annual Review";"10/14/2022";"https://www.scchildcare.org/InspectionReports/11077/526-sv-october-14-2022.pdf"
740;"Annual Review";"9/7/2021";"https://www.scchildcare.org/InspectionReports/10905/526-sv-september-7-2021.pdf"
740;"Initial Application";"9/17/2020";"https://www.scchildcare.org/InspectionReports/4333/526-renewal-september-17-2020.pdf"
2364;"Initial Application";"9/1/2022";"https://www.scchildcare.org/InspectionReports/11641/458_rv_9-1-22.pdf"
2364;"Annual Review";"6/17/2022";"https://www.scchildcare.org/InspectionReports/10610/458_sv_06_12_2022.pdf"
2364;"Annual Review";"11/4/2021";"https://www.scchildcare.org/InspectionReports/10611/458_sv_11_04_2021.pdf"
2364;"Initial Application";"9/25/2020";"https://www.scchildcare.org/InspectionReports/4551/458l_vren_09252020.pdf"
23705;"Annual Review";"7/6/2022";"https://www.scchildcare.org/InspectionReports/12493/p22004_av_07-06-22.pdf"
23705;"Annual Review";"9/17/2021";"https://www.scchildcare.org/InspectionReports/6677/22004_sv_09172021.pdf"
23705;"Initial Application";"7/7/2021";"https://www.scchildcare.org/InspectionReports/6482/22004_ren_07072021.pdf"
2531;"Annual Review";"3/28/2023";"https://www.scchildcare.org/InspectionReports/13425/l24057_annual_03282023.pdf"
2531;"Annual Review";"3/31/2022";"https://www.scchildcare.org/InspectionReports/8255/a24057_annual_03312022.pdf"
2531;"Annual Review";"5/11/2021";"https://www.scchildcare.org/InspectionReports/10767/l24057_annual_05110221.pdf"
"CC044826";"ABC";"6/7/2023";"https://www.scchildcare.org/ABCInspectionReports/362/epworth-early-intervention-health-safety-inspection.pdf"
"CC044826";"ABC";"9/9/2022";"https://www.scchildcare.org/ABCInspectionReports/229/exempt-health-and-safety-inspection-epworth-early-intervention-09-09-22.pdf"
"CC044826";"ABC";"8/17/2021";"https://www.scchildcare.org/ABCInspectionReports/112/exempt-health-and-safety-inspection-(epworth-early-intervention).pdf"
404;"Annual Review";"7/12/2023";"https://www.scchildcare.org/InspectionReports/15242/p14866_av_7-12-23.pdf"
404;"Annual Review";"9/22/2022";"https://www.scchildcare.org/InspectionReports/12572/p14866_av_09-22-22.pdf"
404;"Initial Application";"3/25/2022";"https://www.scchildcare.org/InspectionReports/8550/14866_ren_3-25-22.pdf"
404;"Annual Review";"11/3/2021";"https://www.scchildcare.org/InspectionReports/8616/14866_sv_11-13-21.pdf"
7786;"Initial Application";"10/19/2022";"https://www.scchildcare.org/InspectionReports/11651/811_rv_10-19-22.pdf"
7786;"Annual Review";"6/15/2022";"https://www.scchildcare.org/InspectionReports/10608/811_sv_06_15_2022.pdf"
7786;"Initial Application";"10/9/2020";"https://www.scchildcare.org/InspectionReports/4518/811l_vren_10092020.pdf"
6313;"Initial Application";"9/26/2022";"https://www.scchildcare.org/InspectionReports/11944/24062_rv_9-26-22.pdf"
6313;"Annual Review";"3/24/2022";"https://www.scchildcare.org/InspectionReports/8178/24062_sv_03242022.pdf"
6313;"Annual Review";"10/26/2021";"https://www.scchildcare.org/InspectionReports/7387/24062_sv_10262021.pdf"
6313;"Annual Review";"4/19/2021";"https://www.scchildcare.org/InspectionReports/5000/24062l_fu_04192021.pdf"
6313;"Initial Application";"12/11/2020";"https://www.scchildcare.org/InspectionReports/4999/24062_vren_12112020.pdf"
11271;"Annual Review Follow Up";"8/1/2023";"https://www.scchildcare.org/InspectionReports/15131/l17920_follow-up_08012023.pdf"
11271;"Annual Review";"6/13/2023";"https://www.scchildcare.org/InspectionReports/14809/l17920_annual_06132023.pdf"
11271;"Renewal Application";"2/7/2023";"https://www.scchildcare.org/InspectionReports/15277/l17920_renewal_02072023.pdf"
11233;"Initial Application";"1/10/2023";"https://www.scchildcare.org/InspectionReports/11564/955_ren_01-10-23.pdf"
11233;"Annual Review";"9/6/2022";"https://www.scchildcare.org/InspectionReports/10267/955_sv_09062022.pdf"
11233;"Annual Review";"12/14/2021";"https://www.scchildcare.org/InspectionReports/7502/955_sv_12142021.pdf"
3898;"Annual Review";"5/2/2023";"https://www.scchildcare.org/InspectionReports/14841/594_av_05-02-23.pdf"
3898;"Initial Application";"12/9/2022";"https://www.scchildcare.org/InspectionReports/11474/594_rv_12-09-22.pdf"
3898;"Annual Review";"5/3/2022";"https://www.scchildcare.org/InspectionReports/8832/594_sv_05032022.pdf"
3898;"Annual Review";"11/10/2021";"https://www.scchildcare.org/InspectionReports/7311/594_sv_11102021.pdf"
3898;"Initial Application";"2/1/2021";"https://www.scchildcare.org/InspectionReports/4614/594l_vren_02012021.pdf"
29446;"Renewal Application";"6/22/2023";"https://www.scchildcare.org/InspectionReports/15232/22889-renewal-june-22-2023.pdf"
29446;"Annual Review";"2/2/2023";"https://www.scchildcare.org/InspectionReports/12950/22889-sv-february-2-2023.pdf"
29446;"Annual Review";"5/16/2022";"https://www.scchildcare.org/InspectionReports/9061/22889-sv-may-16-2022.pdf"
29446;"Annual Review";"10/7/2021";"https://www.scchildcare.org/InspectionReports/5935/22889-sv-october-7-2021.pdf"
29446;"Initial Application";"7/22/2021";"https://www.scchildcare.org/InspectionReports/12859/22889-renewal-july-22-2021.pdf"
7737;"Complaint";"5/17/2023";"https://www.scchildcare.org/InspectionReports/14278/805-complaint-may-17-2023.pdf"
7737;"Review";"3/29/2023";"https://www.scchildcare.org/InspectionReports/13373/805-sv-march-29-2023.pdf"
7737;"Complaint";"1/23/2023";"https://www.scchildcare.org/InspectionReports/13378/805-complaint-january-23-2023.pdf"
7737;"Annual Review";"9/9/2022";"https://www.scchildcare.org/InspectionReports/10287/805-sv-september-9-2022.pdf"
7737;"Initial Application";"4/28/2022";"https://www.scchildcare.org/InspectionReports/9765/805-renewal-april-28-2022.pdf"
7737;"Annual Review";"9/15/2021";"https://www.scchildcare.org/InspectionReports/5734/805-sv-september-15-2021.pdf"
2377;"Application";"2/16/2023";"https://www.scchildcare.org/InspectionReports/13057/317_ren_02-16-23.pdf"
2377;"Annual Review";"9/14/2022";"https://www.scchildcare.org/InspectionReports/10867/317_sv_09142022.pdf"
2377;"Annual Review";"9/16/2021";"https://www.scchildcare.org/InspectionReports/7553/317_sv_09162021.pdf"
2377;"Initial Application";"3/1/2021";"https://www.scchildcare.org/InspectionReports/4739/317l_vren_03012021.pdf"
17630;"Complaint";"5/26/2023";"https://www.scchildcare.org/InspectionReports/14358/l18025_complaint_05262023.pdf"
17630;"Annual Review";"11/9/2022";"https://www.scchildcare.org/InspectionReports/11799/l18025_annual_11092022.pdf"
17630;"Annual Review";"9/29/2021";"https://www.scchildcare.org/InspectionReports/7110/a18025_renewal_09292021.pdf"
7061;"Annual Review";"5/16/2022";"https://www.scchildcare.org/InspectionReports/8899/792_sv_05162022.pdf"
7061;"Annual Review";"12/16/2021";"https://www.scchildcare.org/InspectionReports/7301/792_sv_12162021.pdf"
7061;"Initial Application";"9/17/2021";"https://www.scchildcare.org/InspectionReports/7384/792_ren_09172021.pdf"
24524;"Annual Review";"5/19/2022";"https://www.scchildcare.org/InspectionReports/8920/22231-sv-may-19-2022.pdf"
24524;"Annual Review";"10/28/2021";"https://www.scchildcare.org/InspectionReports/7094/a22231_annual_10282021.pdf"
20079;"Renewal Application";"5/4/2023";"https://www.scchildcare.org/InspectionReports/13854/21132-renewal-may-4-2023.pdf"
20079;"Annual Review";"9/28/2022";"https://www.scchildcare.org/InspectionReports/10452/21132-sv-september-28-2022.pdf"
20079;"Annual Review";"9/14/2021";"https://www.scchildcare.org/InspectionReports/5770/21132-sv-september-14-2021.pdf"
20079;"Initial Application";"5/7/2021";"https://www.scchildcare.org/InspectionReports/5333/21132-may-7-2021-renewal.pdf"
26352;"Complaint";"3/23/2023";"https://www.scchildcare.org/InspectionReports/14188/l22607_complaint_03232023.pdf"
26352;"Annual Review";"2/22/2023";"https://www.scchildcare.org/InspectionReports/12719/l22607_annual_02222023.pdf"
26352;"Renewal Application";"9/13/2022";"https://www.scchildcare.org/InspectionReports/14484/l22607_renewal_09132022.pdf"
3486;"Annual Review";"4/5/2022";"https://www.scchildcare.org/InspectionReports/8268/393_sv_04052022.pdf"
3486;"Annual Review";"12/9/2021";"https://www.scchildcare.org/InspectionReports/7403/393_sv_12092021.pdf"
3486;"Initial Application";"10/14/2021";"https://www.scchildcare.org/InspectionReports/7597/393l_vrn_10142021.pdf"
2513;"Annual Review";"8/22/2022";"https://www.scchildcare.org/InspectionReports/10068/105_sv_08222022.pdf"
2513;"Initial Application";"3/11/2022";"https://www.scchildcare.org/InspectionReports/9198/105_ren_03112022.pdf"
2513;"Annual Review";"10/6/2021";"https://www.scchildcare.org/InspectionReports/8903/105_sv_10062021.pdf"
2513;"Initial Application";"10/29/2020";"https://www.scchildcare.org/InspectionReports/4550/105_vren_10292020.pdf"
22057;"Annual Review";"4/26/2022";"https://www.scchildcare.org/InspectionReports/9126/21682_sv_04-26-22.pdf"
22057;"Annual Review";"11/17/2021";"https://www.scchildcare.org/InspectionReports/8587/21682_sv_11-17-21.pdf"
814;"Annual Review";"12/12/2022";"https://www.scchildcare.org/InspectionReports/11870/l412_annual_12122022.pdf"
814;"Annual Review";"5/11/2022";"https://www.scchildcare.org/InspectionReports/9544/a412_renewal_05112022.pdf"
814;"Annual Review";"11/26/2021";"https://www.scchildcare.org/InspectionReports/7834/a412_annual_11272021.pdf"
1979;"Annual Review";"6/19/2023";"https://www.scchildcare.org/InspectionReports/14716/13577_av_06-19-23.pdf"
1979;"Annual Review";"2/24/2023";"https://www.scchildcare.org/InspectionReports/14266/corrected-13577_rv_2-24-23.pdf"
1979;"Annual Review";"3/11/2022";"https://www.scchildcare.org/InspectionReports/8050/13577_sv_03112022.pdf"
1979;"Annual Review";"8/9/2021";"https://www.scchildcare.org/InspectionReports/7317/13577_sv_08092021.pdf"
1979;"Initial Application";"3/30/2021";"https://www.scchildcare.org/InspectionReports/4762/13577l_vren_03302021.pdf"
7427;"Annual Review";"11/23/2021";"https://www.scchildcare.org/InspectionReports/8472/l17548_renewal_11232021.pdf"
2399;"Initial Application";"1/20/2023";"https://www.scchildcare.org/InspectionReports/12733/162_ren_01-20-23.pdf"
2399;"Annual Review";"5/3/2022";"https://www.scchildcare.org/InspectionReports/8831/162_sv_05032022.pdf"
2399;"Annual Review";"12/14/2021";"https://www.scchildcare.org/InspectionReports/7215/162_fu_12142021.pdf"
2399;"Annual Review";"10/20/2021";"https://www.scchildcare.org/InspectionReports/7017/162_sv_10202021.pdf"
2399;"Initial Application";"2/17/2021";"https://www.scchildcare.org/InspectionReports/4736/162_vren_02172021.pdf"
35603;"Annual Review";"8/8/2023";"https://www.scchildcare.org/InspectionReports/15276/l23821_annual_08082023.pdf"
35603;"Annual Review Follow Up";"3/16/2023";"https://www.scchildcare.org/InspectionReports/14925/l23821_follow-up_03162023.pdf"
35603;"Annual Review";"10/25/2022";"https://www.scchildcare.org/InspectionReports/11427/l23821_annual_10252022.pdf"
35603;"Initial Application";"8/19/2022";"https://www.scchildcare.org/InspectionReports/11680/l23821_renewal_08192022.pdf"
2520;"Initial Application";"10/5/2022";"https://www.scchildcare.org/InspectionReports/10713/l358_renewal_10052022.pdf"
2520;"Initial Application";"10/5/2022";"https://www.scchildcare.org/InspectionReports/11712/l358_renewal_10052022.pdf"
2362;"Annual Review";"2/22/2023";"https://www.scchildcare.org/InspectionReports/13632/505_av_02-22-23.pdf"
2362;"Annual Review";"9/26/2022";"https://www.scchildcare.org/InspectionReports/10836/505_sv_09202022.pdf"
2362;"Initial Application";"3/28/2022";"https://www.scchildcare.org/InspectionReports/8186/505_vren_03282022.pdf"
2362;"Annual Review";"9/30/2021";"https://www.scchildcare.org/InspectionReports/7551/505_sv_09302021.pdf"
3586;"Annual Review";"2/8/2023";"https://www.scchildcare.org/InspectionReports/12245/601_av_02-08-23.pdf"
3586;"Annual Review";"10/10/2022";"https://www.scchildcare.org/InspectionReports/10579/601_sv_10102022.pdf"
3586;"Initial Application";"4/28/2022";"https://www.scchildcare.org/InspectionReports/8840/601_ren_04282022.pdf"
3586;"Annual Review";"9/8/2021";"https://www.scchildcare.org/InspectionReports/7552/601_sv_09082021.pdf"
21084;"Annual Review";"1/25/2022";"https://www.scchildcare.org/InspectionReports/9313/a21453_renewal_01252022.pdf"
1962;"Annual Review Follow Up";"1/27/2023";"https://www.scchildcare.org/InspectionReports/14249/13387_fu_self-report_01-27-23.pdf"
1962;"Annual Review";"12/8/2022";"https://www.scchildcare.org/InspectionReports/12262/13387_av_12-08-22.pdf"
1962;"Annual Review";"11/17/2021";"https://www.scchildcare.org/InspectionReports/7431/13387_sv_11172021.pdf"
1962;"Initial Application";"8/2/2021";"https://www.scchildcare.org/InspectionReports/7413/13387_ren_08022021.pdf"
2461;"Annual Review";"4/27/2023";"https://www.scchildcare.org/InspectionReports/14021/415_av_04-27-23.pdf"
2461;"Initial Application";"9/13/2022";"https://www.scchildcare.org/InspectionReports/10866/415_ren_09132022.pdf"
2461;"Annual Review";"8/11/2022";"https://www.scchildcare.org/InspectionReports/9995/415_sv_08112022.pdf"
2461;"Annual Review";"10/19/2021";"https://www.scchildcare.org/InspectionReports/7343/415_sv_10192021.pdf"
2461;"Annual Review";"12/7/2020";"https://www.scchildcare.org/InspectionReports/4513/415l_fu_12072020.pdf"
2461;"Initial Application";"12/1/2020";"https://www.scchildcare.org/InspectionReports/4514/415l_vren_12012020.pdf"
37106;"Review";"12/15/2022";"https://www.scchildcare.org/InspectionReports/13081/l24284_annual_12152022.pdf"
37106;"Complaint";"6/16/2022";"https://www.scchildcare.org/InspectionReports/10401/l24284_complaint_06162022.pdf"
37106;"Annual Review";"12/16/2021";"https://www.scchildcare.org/InspectionReports/8478/l24284_annual_12162021.pdf"
5340;"Annual Review";"5/25/2023";"https://www.scchildcare.org/InspectionReports/14288/16708-sv-may-25-2023.pdf"
5340;"Application";"2/1/2023";"https://www.scchildcare.org/InspectionReports/13383/16708-renewal-february-1-2023.pdf"
5340;"Annual Review";"8/29/2022";"https://www.scchildcare.org/InspectionReports/11104/16708-sv-august-29-2022.pdf"
5340;"Annual Review";"9/10/2021";"https://www.scchildcare.org/InspectionReports/6723/16708-sv-september-10-2021.pdf"
5340;"Initial Application";"3/8/2021";"https://www.scchildcare.org/InspectionReports/4889/16708-renewal-march-8-2021.pdf"
9760;"Annual Review";"2/7/2023";"https://www.scchildcare.org/InspectionReports/11559/881_av_02-07-23.pdf"
9760;"Annual Review";"12/9/2022";"https://www.scchildcare.org/InspectionReports/11657/881_av_12-09-22.pdf"
9760;"Initial Application";"10/5/2022";"https://www.scchildcare.org/InspectionReports/11659/881_rv_10-5-22.pdf"
9760;"Annual Review";"5/6/2021";"https://www.scchildcare.org/InspectionReports/5172/881l_fu_05062021.pdf"
2310;"Annual Review";"4/27/2023";"https://www.scchildcare.org/InspectionReports/13779/15756-sv-april-27-2023.pdf"
2310;"Annual Review";"4/26/2022";"https://www.scchildcare.org/InspectionReports/8690/15756-sv-and-follow-up-april-26-2022.pdf"
2310;"Complaint";"3/3/2022";"https://www.scchildcare.org/InspectionReports/7909/15756-complaint-march-3-2022.pdf"
2310;"Complaint";"11/17/2021";"https://www.scchildcare.org/InspectionReports/6782/15756-complaint-november-17-2021.pdf"
2310;"Annual Review";"9/17/2021";"https://www.scchildcare.org/InspectionReports/5754/15756-sv-september-17-2021.pdf"
2310;"Initial Application";"1/19/2021";"https://www.scchildcare.org/InspectionReports/4472/15756-renewal-january-19-2021.pdf"
2500;"Annual Review";"3/24/2022";"https://www.scchildcare.org/InspectionReports/8188/86_sv_03242022.pdf"
2500;"Annual Review";"11/10/2021";"https://www.scchildcare.org/InspectionReports/7433/86_sv_11102021.pdf"
2500;"Initial Application";"5/19/2021";"https://www.scchildcare.org/InspectionReports/5167/86l_vren_05192021.pdf"
2500;"Initial Application";"11/18/2020";"https://www.scchildcare.org/InspectionReports/12865/25000-renewal-november-18-2020.pdf"
10857;"Annual Review Follow Up";"6/14/2023";"https://www.scchildcare.org/InspectionReports/14464/17838-follow-up-june-14-2023.pdf"
10857;"Annual Review Follow Up";"5/15/2023";"https://www.scchildcare.org/InspectionReports/14072/17838-follow-up-may-15-2023.pdf"
10857;"Complaint";"2/28/2023";"https://www.scchildcare.org/InspectionReports/13010/17838-complaint-february-28-2023.pdf"
10857;"Annual Review";"8/31/2022";"https://www.scchildcare.org/InspectionReports/10296/17838-sv-august-31-2022.pdf"
10857;"Complaint";"8/2/2022";"https://www.scchildcare.org/InspectionReports/10006/17838-complaint-august-2-2022.pdf"
10857;"Initial Application";"5/3/2022";"https://www.scchildcare.org/InspectionReports/12853/17838-renewal-may-3-2022.pdf"
10857;"Annual Review";"6/21/2021";"https://www.scchildcare.org/InspectionReports/5405/17838-follow-up-june-21-2021.pdf"
10857;"Annual Review";"6/3/2021";"https://www.scchildcare.org/InspectionReports/5406/17838-sv-june-3-2021.pdf"
10857;"Initial Application";"9/18/2020";"https://www.scchildcare.org/InspectionReports/10941/17838-renewal-september-18-2020.pdf"
2360;"Annual Review";"3/28/2023";"https://www.scchildcare.org/InspectionReports/13420/l35_annual_03282023.pdf"
2360;"Annual Review";"3/31/2022";"https://www.scchildcare.org/InspectionReports/8254/a35_annual_03312022.pdf"
2360;"Annual Review";"10/21/2021";"https://www.scchildcare.org/InspectionReports/7112/a35_annual_102121.pdf"
32896;"Annual Review";"10/25/2021";"https://www.scchildcare.org/InspectionReports/7820/a23316_annual_10252021.pdf"
6975;"Renewal Application";"5/24/2023";"https://www.scchildcare.org/InspectionReports/15296/24064_ren_05-24-23.pdf"
6975;"Annual Review";"9/14/2022";"https://www.scchildcare.org/InspectionReports/10875/24064_sv_09142022.pdf"
6975;"Initial Application";"11/22/2021";"https://www.scchildcare.org/InspectionReports/8065/24064_ren_11222021.pdf"
7658;"Annual Review";"4/26/2023";"https://www.scchildcare.org/InspectionReports/13875/24065-sv-april-26-2023.pdf"
7658;"Annual Review";"3/15/2022";"https://www.scchildcare.org/InspectionReports/8127/24065-sv-march-15-2022.pdf"
7658;"Annual Review";"10/8/2021";"https://www.scchildcare.org/InspectionReports/5868/24065-sv-october-8-2021.pdf"
7658;"Initial Application";"9/17/2020";"https://www.scchildcare.org/InspectionReports/4291/24065-renewal-september-17-2020.pdf"
2366;"Renewal Application";"4/27/2023";"https://www.scchildcare.org/InspectionReports/14369/42_ren_04-27-23.pdf"
2366;"Annual Review";"12/1/2022";"https://www.scchildcare.org/InspectionReports/11638/42_sv_12-1-22.pdf"
2366;"Initial Application";"3/2/2021";"https://www.scchildcare.org/InspectionReports/4733/42l_vren_03022021.pdf"
20658;"Annual Review";"5/5/2023";"https://www.scchildcare.org/InspectionReports/13856/21525-sv-may-5-2023.pdf"
20658;"Annual Review";"6/29/2022";"https://www.scchildcare.org/InspectionReports/9598/21525-sv-june-29-2022.pdf"
20658;"Annual Review";"9/29/2021";"https://www.scchildcare.org/InspectionReports/6093/21525-sv-september-29-2021.pdf"
42642;"Application";"3/8/2023";"https://www.scchildcare.org/InspectionReports/13409/24881-renewal-march-8-2023.pdf"
42642;"Annual Review";"10/5/2022";"https://www.scchildcare.org/InspectionReports/11161/24881-sv-october-5-2022.pdf"
42642;"Annual Review";"6/11/2021";"https://www.scchildcare.org/InspectionReports/5437/24881-sv-june-11-2021.pdf"
42642;"Initial Application";"3/3/2021";"https://www.scchildcare.org/InspectionReports/4688/24881-renewal-march-3-2021.pdf"
848;"Annual Review";"12/13/2022";"https://www.scchildcare.org/InspectionReports/11871/l559_annual_12132022.pdf"
848;"Annual Review";"12/9/2021";"https://www.scchildcare.org/InspectionReports/8140/a559_annual_12092021.pdf"
4790;"Review";"2/28/2023";"https://www.scchildcare.org/InspectionReports/12983/l16934_annual_02282023.pdf"
4790;"Annual Review";"6/24/2022";"https://www.scchildcare.org/InspectionReports/9467/l16934_renewal_06242022.pdf"
4790;"Annual Review";"7/23/2021";"https://www.scchildcare.org/InspectionReports/6884/l16934_annual_07232021.pdf"
4790;"Annual Review";"9/18/2020";"https://www.scchildcare.org/InspectionReports/4328/l16934_renewal_09182020.pdf"
4569;"Renewal Application";"2/7/2023";"https://www.scchildcare.org/InspectionReports/13500/24061-renewal-february-7-2023.pdf"
4569;"Annual Review";"4/19/2022";"https://www.scchildcare.org/InspectionReports/8442/24061-sv-april-19-2022.pdf"
4569;"Annual Review";"10/20/2021";"https://www.scchildcare.org/InspectionReports/5996/24061-sv-october-20-2021.pdf"
4569;"Initial Application";"2/25/2021";"https://www.scchildcare.org/InspectionReports/4912/24061-renewal-february-25-2021.pdf"
39359;"Annual Review";"4/26/2023";"https://www.scchildcare.org/InspectionReports/13832/l24365_annual_04262023.pdf"
39359;"Complaint";"1/30/2023";"https://www.scchildcare.org/InspectionReports/11837/l24365_complaint_01302023.pdf"
39359;"Complaint";"1/13/2023";"https://www.scchildcare.org/InspectionReports/13286/l24365_complaint_01132023.pdf"
39359;"Annual Review Follow Up";"10/14/2022";"https://www.scchildcare.org/InspectionReports/13897/corrected-l24365_follow-up_10142022.pdf"
39359;"Annual Review";"10/4/2022";"https://www.scchildcare.org/InspectionReports/12886/l24365_follow-up_10042022.pdf"
39359;"Annual Review Follow Up";"10/4/2022";"https://www.scchildcare.org/InspectionReports/13837/l24365_follow-up_10042022.pdf"
39359;"Annual Review";"8/25/2022";"https://www.scchildcare.org/InspectionReports/11666/l24365_follow-up_08252022.pdf"
39359;"Initial Application";"8/22/2022";"https://www.scchildcare.org/InspectionReports/11613/l24365_renewal_08222022.pdf"
39359;"Annual Review";"5/25/2022";"https://www.scchildcare.org/InspectionReports/11859/l24365_annual_05252022.pdf"
