"Provider ID";"Type";"Regulation/Restriction";"Create Date";"Due Date";"Corrected Date";"Status"
2624;"Violation";"5.10.3.3: Safe Use Zones For all play equipment that is thirty (30) inches or higher from the ground, including climbing equipment, slides, swings and other similar equipment, the licensee shall ensure that the surface under and around the equipment, including recommended use zones, is of approved resilient material that protects children if they fall. * Materials in the use zone shall consist of wood chips, pea stone, mulch, engineered wood fibers, sand, safety-tested shredded or rubber like material or rubber mats designed for protective cushioning; * Materials used in the use zone shall follow the recommendations listed in the most recent publication of U.S. Consumer Product Safety Commission's Public Playground Safety Handbook regarding critical depth of tested materials determined by the height of the highest climbing surface of the equipment; * Materials used in the use zone shall be installed and maintained according to the manufacturer's instructions; * If the loose material such as sand, mulch, or shredded rubber is used in use zones, the licensee shall ensure that the material is raked regularly and replenished to maintain depth and resilience; and * If the resilient material in use zones freezes, staff shall ensure that children will not play on the equipment until the resilient material has thawed and is once again resilient.";"11/06/2019";"11/20/2019";"11/07/2019";"Final"
130260;"Violation";"3.4.7.3: Within six (6) months of the initial date of employment; staff and auxiliary staff left alone with children and/or counted in staff/child ratio as specified in the rule 6.2.1.8 of these regulations, and the program director shall maintain an up-to-date BFIS Quality and Credential Account. Documentation, verification of qualifications, and all annual professional development activities as specified in the rules in sections 7.3 and 7.4 of these regulations shall be submitted to Northern Lights at CCV to be verified and maintained in BFIS.";"04/14/2022";"05/13/2022";"05/05/2022";"Final"
130260;"Violation";"3.4.7.3: Within six (6) months of the initial date of employment; staff and auxiliary staff left alone with children and/or counted in staff/child ratio as specified in the rule 6.2.1.8 of these regulations, and the program director shall maintain an up-to-date BFIS Quality and Credential Account. Documentation, verification of qualifications, and all annual professional development activities as specified in the rules in sections 7.3 and 7.4 of these regulations shall be submitted to Northern Lights at CCV to be verified and maintained in BFIS.";"04/23/2021";"05/14/2021";"04/30/2021";"Final"
3359;"Violation";"10.9: Emergency evacuations shall be practiced with the children each month. A record of practice drills for the previous and current year shall be maintained and available onsite. Practice drills may be pre-announced. There shall be: * a system in place to assure that all children are accounted for at a predetermined safe place; * a safety plan that may include additional lock down practices and procedures.";"06/14/2023";"07/15/2023";"07/18/2023";"Final"
3359;"Violation";"13.17: All medications shall be inaccessible to children but immediately accessible to designated Staff. A child with parent permission to self-medicate may do so under direct Staff supervision.";"07/07/2022";"07/07/2022";"07/08/2022";"Final"
3359;"Violation";"18.77: Within six months of the initial date of employment, Staff working with children and the Site Director and/or Program Administrator shall maintain an up-to-date BFIS Quality and Credential Account. Documentation, verification of qualifications and all annual professional development activities as specified in the rules in Section 5 of these regulations shall be submitted to NLCDC to be verified and maintained in BFIS.";"06/10/2021";"06/25/2021";"07/13/2021";"Final"
3359;"Violation";"10.9: Emergency evacuations shall be practiced with the children each month. A record of practice drills for the previous and current year shall be maintained and available onsite. Practice drills may be pre-announced. There shall be: * a system in place to assure that all children are accounted for at a predetermined safe place; * a safety plan that may include additional lock down practices and procedures.";"10/09/2019";"10/09/2019";"10/09/2019";"Final"
3359;"Violation";"5.10: Afterschool Administrators, Afterschool Site Directors, Afterschool Child Care Program Staff, Aides who are 18 years or older, and Substitutes as defined in regulations shall be the only individuals who may be alone with children, other than the child's parent.";"10/09/2019";"11/07/2019";"10/26/2019";"Final"
143772;"Violation";"7.1.2.2: Staff who are counted in the staff/child ratios and auxiliary staff left alone with children and/or counted in staff/child ratio as specified in the rule 6.2.1.8 of these regulations shall obtain training in pediatric first aid and in infant and child CPR within three (3) months of beginning work in the CBCCPP and remain currently certified.";"04/19/2023";"05/05/2023";"04/30/2023";"Final"
143772;"Violation";"7.2.2: The licensee shall ensure that all new staff and auxiliary staff, prior to working with children in the CBCCPP; and any new individual designated as the representative of the licensee shall submit a Records Check Authorization form to the Division and shall submit to fingerprinting at a location designated by the Division after having received the Fingerprinting Authorization Certificate by the Division.";"05/05/2022";"05/19/2022";"05/12/2022";"Final"
143772;"Violation";"5.6.5: All prescription medication administered by staff shall be in its original container, properly labeled for the child, and administered prior to the expiration date on the container.";"05/05/2022";"05/19/2022";"05/12/2022";"Final"
82380;"Violation";"3.4.7.3: Within six (6) months of the initial date of employment, staff working with children and the program director shall maintain an up- to-date BFIS Quality and Credential Account. Documentation, verification of qualifications and all annual professional development activities as specified in the rules in sections 7.3 and 7.4 of these regulations shall be submitted to NLCDC to be verified and maintained in BFIS.";"12/16/2019";"01/13/2020";"01/06/2020";"Final"
82380;"Violation";"3.3.5: The licensee, staff, and auxiliary staff shall be trained in prevention, identification and mandatory reporting of child abuse and neglect.";"12/16/2019";"01/06/2020";"12/20/2019";"Final"
82380;"Violation";"7.2.2: The licensee shall ensure that all new staff and auxiliary staff, prior to working with children in the CBCCPP; and any new individual designated as the representative of the licensee shall submit a Records Check Authorization form to the Division and shall submit to fingerprinting at a location designated by the Division after having received the Fingerprinting Authorization Certificate by the Division.";"12/16/2019";"01/06/2020";"01/06/2020";"Final"
82380;"Violation";"5.1.2: General Health Examinations: Within forty-five (45) days of enrollment, the licensee shall obtain documentation of the child's age appropriate well care exam from the parent. Documentation shall include information regarding any health conditions and medications that may impact the care of the child.";"12/16/2019";"01/13/2020";"01/06/2020";"Final"
82380;"Violation";"3.4.7.5: The licensee shall maintain a current list of the licensee or designee, staff, auxiliary staff, and volunteers as in the rules in section 7.7.5 of these regulations, as applicable in BFIS. Any changes shall be reported through BFIS within five (5) working days of the change.";"12/16/2019";"01/06/2020";"12/26/2019";"Final"
230737;"Violation";"5.1.4: The licensee shall submit a Vermont Child Care Immunization Report at least once every 365 days to the Vermont Department of Health, Immunization Office as required by 18 V.S.A. SS 1120 - 1129.";"03/03/2022";"03/17/2022";"03/17/2022";"Final"
230737;"Violation";"5.1.4: The licensee shall submit a Vermont Child Care Immunization Report at least once every 365 days to the Vermont Department of Health, Immunization Office as required by 18 V.S.A. SS 1120 - 1129.";"05/20/2019";"06/05/2019";"05/20/2019";"Final"
3895;"Violation";"5.3.2: Daily Health Check Upon arrival into the CBCCPP staff shall observe each child for symptoms of communicable disease and signs of injuries. Any obvious injuries shall be documented along with any comments from the parent pertaining to the child's condition. This documentation shall be maintained in the child's file for a minimum of 365 days.";"09/30/2019";"10/16/2019";"10/01/2019";"Final"
3194;"Violation";"6.2.6.1: Staff shall be able to hear all children of pre-kindergarten age and younger at all times, shall be able to see the children with a quick glance, and shall be able to physically respond immediately.";"02/02/2022";"03/21/2022";"03/21/2022";"Final"
3194;"Violation";"3.4.6.1: The licensee shall maintain a record of the date of each evacuation drill as required in the rules in section 3.7.2 of these regulations that includes the number of children and staff evacuated, time taken to evacuate, and notation of the drill conducted while children were sleeping or resting. Evacuation records shall be kept for two (2) years.";"02/13/2020";"03/09/2020";"03/03/2020";"Final"
3194;"Violation";"3.4.7.3: Within six (6) months of the initial date of employment, staff working with children and the program director shall maintain an up- to-date BFIS Quality and Credential Account. Documentation, verification of qualifications and all annual professional development activities as specified in the rules in sections 7.3 and 7.4 of these regulations shall be submitted to NLCDC to be verified and maintained in BFIS.";"02/13/2020";"03/09/2020";"02/20/2020";"Final"
3370;"Violation";"3.4.4.1: The program director shall maintain a complete and up-to-date enrollment file on-site for each child enrolled in the CBCCPP. A complete file shall contain, at minimum, the following information: A completed child's admission form signed and dated by the parent that includes the first date the child attended the CBCCPP and the days and hours the child is regularly scheduled to attend the CBCCPP; The child's name, current home address, and current home telephone number; Identification of child's home language; The child's date of birth; Name, address, and all applicable current telephone numbers for parents; Name, address, and all applicable current telephone numbers for at least two (2) other people designated by the parents as emergency contacts; Names for all persons authorized to pick the child up from the CBCCPP; Record of an annual physical and health history as required in the rule 5.1.2 of these regulations that includes the name and telephone number of the child's primary health care and dental care providers (if the child has a dental care provider); A description of any special medical, developmental, emotional, or educational needs of the child including allergies, existing illnesses or injuries, previous serious illnesses or injuries and any prescribed medication including those for emergency situations; Written authorization from the parent for the CBCCPP to be able to obtain emergency medical care and transportation; Child's immunization record or Vermont Department of Health approved exemption document as required in the rules in section 5.1.3 of these regulations; Written permission from parents for the CBCCPP to transport the child, if transportation is provided, as required in the rule 5.10.6.6.1 of the regulations; Written permission from parents for the child to participate in swimming activities, if swimming activities are a part of the program, as required in the rule 5.10.5.1 of these regulations; If applicable, a copy of court orders on custody and visitation arrangements as required in the rule 3.6.4 of these regulations; and If applicable, any obvious injuries discovered and documented on daily health check as required in the rule 5.3.2 of these regulations.";"05/18/2022";"06/03/2022";"05/20/2022";"Final"
3370;"Violation";"7.3.2.4: ""Trainee"" A trainee is at least fifteen (15) years of age, able to comprehend basic written format, and meets one (1) of the following qualifications: 1) At least a high school graduate or has completed a GED and completes the Fundamentals for Early Childhood Professionals'course or the Vermont Afterschool Essentials Certificate within the first twelve (12) months of employment; or 2) At least a high school graduate or has completed a GED and successful completion of a three (3) college credit course in child or human development or in school age care and education within the first twelve (12) months of employment; or 3) At least is enrolled in or has received a State Board of Education approved Human Services Program Certificate that emphasizes child development or early childhood education.";"05/18/2022";"06/03/2022";"05/25/2022";"Final"
3692;"Violation";"7.1.2.2: Staff who are counted in the staff/child ratios and auxiliary staff left alone with children and/or counted in staff/child ratio as specified in the rule 6.2.1.8 of these regulations shall obtain training in pediatric first aid and in infant and child CPR within three (3) months of beginning work in the CBCCPP and remain currently certified.";"03/09/2023";"03/31/2023";"03/21/2023";"Final"
3692;"Violation";"7.1.3: The licensee, in consultation with the program director, shall establish written program policies and procedures and provide these to staff and to auxiliary staff left alone with children and/or counted in staff/child ratio as specified in the rule 6.2.1.8 of these regulations during an orientation training session approved by the Division prior to being left alone with children. Trainees under eighteen (18) years of age and other staff not left alone with children shall complete the orientation training within at least one (1) month of their first date of working with children. Complete written information and the orientation training session shall include: Basic knowledge of child growth and development; Routine and emergency health protection of children including health related exclusions; Safety and sanitation requirements including handling and storage of hazardous materials and disposal of bio contaminants; Positive behavior management; Supervision of children; Child accident and injury procedures including building and physical premises safety; Safe sleep practices; Administration of medication requirements; Emergency and evacuation requirements; Nutrition and food safety including prevention of and response to emergencies due to food and allergic reactions; Recordkeeping; Transportation and child passenger safety; Release of children; Respectful engagement of families; Preventing, recognizing, and reporting child abuse and neglect; including information about the signs and symptoms of sexual abuse, sexual violence, grooming processes, recognizing the dangers of child sexual abuse, and other predatory behaviors of sex offenders; Recognition of and response to the symptoms of common childhood illnesses; Preventing the spread of infectious disease; Providing developmentally appropriate activities and experiences for children; Inclusion of children with special needs; Guidelines for volunteers, partner staff, auxiliary staff, and business managers; Responsibility to comply with current applicable licensing regulations; Staffing requirements to include opening and closing; and Ensuring children have extra clothes and diapers available.";"03/09/2023";"04/14/2023";"03/21/2023";"Final"
3692;"Violation";"5.4.1.8: Bedding used by a child shall be stored in a manner that prevents contact with bedding used by other children.";"03/09/2023";"03/31/2023";"03/21/2023";"Final"
3692;"Violation";"3.4.7.3: Within six (6) months of the initial date of employment; staff and auxiliary staff left alone with children and/or counted in staff/child ratio as specified in the rule 6.2.1.8 of these regulations, and the program director shall maintain an up-to-date BFIS Quality and Credential Account. Documentation, verification of qualifications, and all annual professional development activities as specified in the rules in sections 7.3 and 7.4 of these regulations shall be submitted to Northern Lights at CCV to be verified and maintained in BFIS.";"03/11/2022";"04/10/2022";"03/24/2022";"Final"
3692;"Violation";"3.4.7.3: Within six (6) months of the initial date of employment; staff and auxiliary staff left alone with children and/or counted in staff/child ratio as specified in the rule 6.2.1.8 of these regulations, and the program director shall maintain an up-to-date BFIS Quality and Credential Account. Documentation, verification of qualifications, and all annual professional development activities as specified in the rules in sections 7.3 and 7.4 of these regulations shall be submitted to Northern Lights at CCV to be verified and maintained in BFIS.";"09/28/2020";"10/21/2020";"10/15/2020";"Final"
4312;"Violation";"3.4.7.3: Within six (6) months of the initial date of employment; staff and auxiliary staff left alone with children and/or counted in staff/child ratio as specified in the rule 6.2.1.8 of these regulations, and the program director shall maintain an up-to-date BFIS Quality and Credential Account. Documentation, verification of qualifications, and all annual professional development activities as specified in the rules in sections 7.3 and 7.4 of these regulations shall be submitted to Northern Lights at CCV to be verified and maintained in BFIS.";"11/04/2020";"11/24/2020";"11/24/2020";"Final"
52337;"Violation";"3.3.6.1: The FCCP shall maintain a record of the date of each evacuation drill as required in the rules in section 3.6.2 of these regulations that includes the number of children, staff evacuated, time taken to evacuate, and notation of the drill conducted while children were sleeping or resting. Evacuation records shall be kept for two (2) years.";"03/09/2022";"03/24/2022";"03/24/2022";"Final"
52337;"Violation";"3.6.1.1: The FCCP shall develop and maintain a written Emergency Response Plan to respond to a full range of emergencies both natural and man-made. A complete plan shall include how the FCCP will address and manage the following situations and responsibilities: * Evacuations or other emergencies such as leaving the premises and lockdown situations; * Specific concerns related to the location of the program, such as proximity to a nuclear reactor, an area prone to flooding or power loss; * Notifying the local authorities of the emergency; * A system for notifying the parents of the emergency; * Notifying the local emergency planning committee regarding the location of the FCCH and using the committee as a resource in emergency planning for the program; * A system of identifying the children and staff present at the time of the emergency and maintaining knowledge of their whereabouts; * A system for handling infants, toddlers, and children with special needs; * An established evacuation meeting location within walking distance of the FCCH; * A system to account for all children and staff at evacuation meeting place; * An process for relocation if necessary including safe transportation; * A system for sheltering in place if the FCCP and children present need to remain in the FCCH for an extended period; and * Staff chain of command and individual staff roles and responsibilities, (if applicable) during emergencies.";"10/25/2019";"11/20/2019";"11/20/2019";"Final"
52337;"Violation";"5.1.2: General Health Examinations: Within forty-five (45) days of enrollment the FCCP shall obtain documentation of the child's age appropriate well care exam from the parent. Documentation shall include information regarding any health conditions and medications that may impact the care of the child.";"10/25/2019";"11/20/2019";"11/12/2019";"Final"
52337;"Violation";"7.1.2.1: The FCCP shall have successfully completed pediatric first aid and CPR prior to being licensed and must remain currently certified.";"10/25/2019";"11/20/2019";"11/11/2019";"Final"
4013;"Violation";"4.7: The FCCP shall establish written policies and procedures. Written information provided to parents of all children enrolled in the FCCH shall include, at minimum: * Assurance that parents have access to the FCCH and their child(ren) without prior notice and have access to their children's records as required in the rule 3.3.4.6 of these regulations; * A description of information needed from parents for child's enrollment file as required in rules in section 3.3.4.1 of these regulations; * A typical daily schedule of activities; * Information about fees and payment policies; * Information about hours of operation and closings; * Procedures for signing children in and out; * Procedures for emergencies as required in the rules in section 3.6 of these regulations; * Information about the nutrition, meals and meal preparation at the FCCH; * Safe sleep policies, as applicable; * No smoking policy; * Information about results from the test for lead in the drinking water and any plan for remediation; * FCCH policies on field trips, other off-site activity and transportation; * FCCH health policies including illness exclusions, administration of medication, and immunizations; * FCCH policies and practice regarding positive guidance and behavior management; * Assurance that confidentiality of child and family information is maintained; * Information about the requirement to report suspected child abuse and/or neglect as required in the rules in section 3.2 of these regulations; * Assurance that non-discrimination and respect for each child's family and culture is maintained; * FCCH approach to ensure wholesome growth and positive developmental experiences for children enrolled; * FCCH policies related to the inclusion of children with special needs and disabilities; * A description of religious activities, if any; * Information on how to access these FCCH regulations and other information about child development online; * Information concerning complaint procedures; * Information about the Child Care Consumer Line, including the telephone number (1-800-649-2642); and * FCCH policies and procedures related to the expulsion of children.";"07/21/2023";"08/09/2023";;"Appeal Period"
4013;"Violation";"2.3.10.5: The FCCP shall be responsible for compliance with all applicable state and federal laws even when they are more stringent than the rules in this set of FCCH regulations.";"08/11/2022";"08/31/2022";"09/27/2022";"Final"
4013;"Violation";"3.3.6.1: The FCCP shall maintain a record of the date of each evacuation drill as required in the rules in section 3.6.2 of these regulations that includes the number of children, staff evacuated, time taken to evacuate, and notation of the drill conducted while children were sleeping or resting. Evacuation records shall be kept for two (2) years.";"07/16/2021";"07/29/2021";"11/09/2021";"Final"
4013;"Violation";"5.1.4: The FCCP shall submit a Vermont Child Care Immunization Report at least once every 365 days to the Vermont Department of Health, Immunization Office as required by 18 V.S.A. SS 1120 - 1129.";"03/21/2019";"04/06/2019";"04/05/2019";"Final"
4013;"Violation";"5.10.1.2.6: The extinguisher shall be visibly mounted to the wall near an exit door.";"03/21/2019";"04/06/2019";"04/05/2019";"Final"
4013;"Violation";"3.3.6.1: The FCCP shall maintain a record of the date of each evacuation drill as required in the rules in section 3.6.2 of these regulations that includes the number of children, staff evacuated, time taken to evacuate, and notation of the drill conducted while children were sleeping or resting. Evacuation records shall be kept for two (2) years.";"02/21/2018";"03/09/2018";"03/13/2018";"Final"
2958;"Violation";"3.6.1.1: The FCCP shall develop and maintain a written Emergency Response Plan to respond to a full range of emergencies both natural and man-made. A complete plan shall include how the FCCP will address and manage the following situations and responsibilities: * Evacuations or other emergencies such as leaving the premises and lockdown situations; * Specific concerns related to the location of the program, such as proximity to a nuclear reactor, an area prone to flooding or power loss; * Notifying the local authorities of the emergency; * A system for notifying the parents of the emergency; * Notifying the local emergency planning committee regarding the location of the FCCH and using the committee as a resource in emergency planning for the program; * A system of identifying the children and staff present at the time of the emergency and maintaining knowledge of their whereabouts; * A system for handling infants, toddlers, and children with special needs; * An established evacuation meeting location within walking distance of the FCCH; * A system to account for all children and staff at evacuation meeting place; * An process for relocation if necessary including safe transportation; * A system for sheltering in place if the FCCP and children present need to remain in the FCCH for an extended period; and * Staff chain of command and individual staff roles and responsibilities, (if applicable) during emergencies.";"06/08/2023";"06/27/2023";;"Final"
2958;"Violation";"3.6.1.1: The FCCP shall develop and maintain a written Emergency Response Plan to respond to a full range of emergencies both natural and man-made. A complete plan shall include how the FCCP will address and manage the following situations and responsibilities: * Evacuations or other emergencies such as leaving the premises and lockdown situations; * Specific concerns related to the location of the program, such as proximity to a nuclear reactor, an area prone to flooding or power loss; * Notifying the local authorities of the emergency; * A system for notifying the parents of the emergency; * Notifying the local emergency planning committee regarding the location of the FCCH and using the committee as a resource in emergency planning for the program; * A system of identifying the children and staff present at the time of the emergency and maintaining knowledge of their whereabouts; * A system for handling infants, toddlers, and children with special needs; * An established evacuation meeting location within walking distance of the FCCH; * A system to account for all children and staff at evacuation meeting place; * An process for relocation if necessary including safe transportation; * A system for sheltering in place if the FCCP and children present need to remain in the FCCH for an extended period; and * Staff chain of command and individual staff roles and responsibilities, (if applicable) during emergencies.";"08/05/2022";"08/26/2022";;"Final"
2958;"Violation";"4.7: The FCCP shall establish written policies and procedures. Written information provided to parents of all children enrolled in the FCCH shall include, at minimum: * Assurance that parents have access to the FCCH and their child(ren) without prior notice and have access to their children's records as required in the rule 3.3.4.6 of these regulations; * A description of information needed from parents for child's enrollment file as required in rules in section 3.3.4.1 of these regulations; * A typical daily schedule of activities; * Information about fees and payment policies; * Information about hours of operation and closings; * Procedures for signing children in and out; * Procedures for emergencies as required in the rules in section 3.6 of these regulations; * Information about the nutrition, meals and meal preparation at the FCCH; * Safe sleep policies, as applicable; * No smoking policy; * Information about results from the test for lead in the drinking water and any plan for remediation; * FCCH policies on field trips, other off-site activity and transportation; * FCCH health policies including illness exclusions, administration of medication, and immunizations; * FCCH policies and practice regarding positive guidance and behavior management; * Assurance that confidentiality of child and family information is maintained; * Information about the requirement to report suspected child abuse and/or neglect as required in the rules in section 3.2 of these regulations; * Assurance that non-discrimination and respect for each child's family and culture is maintained; * FCCH approach to ensure wholesome growth and positive developmental experiences for children enrolled; * FCCH policies related to the inclusion of children with special needs and disabilities; * A description of religious activities, if any; * Information on how to access these FCCH regulations and other information about child development online; * Information concerning complaint procedures; * Information about the Child Care Consumer Line, including the telephone number (1-800-649-2642); and * FCCH policies and procedures related to the expulsion of children.";"04/14/2021";"05/07/2021";;"Final"
2958;"Violation";"3.6.1.1: The FCCP shall develop and maintain a written Emergency Response Plan to respond to a full range of emergencies both natural and man-made. A complete plan shall include how the FCCP will address and manage the following situations and responsibilities: * Evacuations or other emergencies such as leaving the premises and lockdown situations; * Specific concerns related to the location of the program, such as proximity to a nuclear reactor, an area prone to flooding or power loss; * Notifying the local authorities of the emergency; * A system for notifying the parents of the emergency; * Notifying the local emergency planning committee regarding the location of the FCCH and using the committee as a resource in emergency planning for the program; * A system of identifying the children and staff present at the time of the emergency and maintaining knowledge of their whereabouts; * A system for handling infants, toddlers, and children with special needs; * An established evacuation meeting location within walking distance of the FCCH; * A system to account for all children and staff at evacuation meeting place; * An process for relocation if necessary including safe transportation; * A system for sheltering in place if the FCCP and children present need to remain in the FCCH for an extended period; and * Staff chain of command and individual staff roles and responsibilities, (if applicable) during emergencies.";"04/14/2021";"05/19/2021";;"Final"
2958;"Violation";"5.10.1.1: General Safety: The FCCP shall ensure the physical facilities of the FCCH, grounds, equipment, and toys present no hazard to the health, safety and well-being of the children.";"04/14/2021";"04/14/2021";"08/01/2022";"Final"
2958;"Violation";"5.1.2: General Health Examinations: Within forty-five (45) days of enrollment the FCCP shall obtain documentation of the child's age appropriate well care exam from the parent. Documentation shall include information regarding any health conditions and medications that may impact the care of the child.";"04/14/2021";"05/19/2021";"08/01/2022";"Final"
2958;"Violation";"7.1.2.1: The FCCP shall have successfully completed pediatric first aid and CPR prior to being licensed and must remain currently certified.";"04/14/2021";"05/19/2021";;"Final"
2958;"Violation";"3.3.7.3: Within six (6) months of initial date of employment, the FCCP and all staff shall maintain an up-to-date BFIS Quality and Credential Account. Documentation, verification of qualifications, and all annual professional development activities as specified in the rules sections 7.3 and 7.4 of these regulations shall be submitted to NLCDC to be verified and maintained in BFIS.";"04/14/2021";"05/19/2021";"06/08/2023";"Final"
2958;"Violation";"7.3.1: A Registered FCCP that operates a registered FCCH shall ensure and maintain documentation that he/she is at least eighteen (18) years of age, is a high school graduate or has completed a GED, and meets or exceeds one (1) of the following qualifications prior to licensure or within twelve (12) months of initial licensure: * At least a Vermont Early Childhood Career Ladder Level One (1) Certificate or higher; or * At least successful completion of the Fundamentals for Early Childhood Professionals' course; or * At least a current CDA (Child Development Association Credential) from the National Council for Professional Recognition); or * At least a Child Care Certificate from Community College of Vermont; or * At least successful completion of twelve (12) college credits in content consistent with the core knowledge areas identified by NLCDC.";"04/14/2021";"05/19/2021";"05/10/2021";"Final"
2958;"Violation";"6.2.5.3: The FCCP and/or staff shall use positive methods of guidance and behavior management that encourage self-control, self-direction, self-esteem and cooperation.";"04/14/2021";"04/14/2021";;"Final"
2958;"Violation";"5.10.1.2.6: The extinguisher shall be visibly mounted to the wall near an exit door.";"04/14/2021";"05/19/2021";;"Final"
2958;"Violation";"6.1.4.4.3: Screen time shall not expose children to inappropriate content such as content that is sexually explicit, violent or contains inappropriate language.";"08/27/2020";"09/25/2020";"09/22/2020";"Final"
