"Name";"Last Name";"First Name";"Type Of Care";"Street Address";"City";"ID";"Zip";"Area Code";"Phone";"Age Range";"Accepts ICCP";"Financial Assistance";"Quality Rating";"Health & Safety Check";"Type of Registration";"Website";"Full/Part Time Care";"Environment";"Accreditation";"Meals";"Elementary Schools";"Special Needs";"Languages";"Education";"Age Groups & Rates"
"MONKEYVILLE CHILDCARE";"ARMSTRONG";"LORRAINE";"(FCC)Group Child Care";;"AMMON";1140016;83406;208;"850-3554";"1 week to 12 years";"ICCP";"Multi-child discount";"Type of Registration ICCP";"http://idahochildcarecheck.org/provider/14744";;;"Both";"Smoke Free Facility, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner";;;"English";"Some College, other";"<br/>0 - 12 Months : 475.00 Monthly PT, 625.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 475.00 Monthly PT, 625.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 425.00 Monthly PT, 575.00 Monthly FT<br/>5 - 6 Years : 350.00 Monthly PT, 500.00 Monthly FT<br/>6 - 12 Years : 350.00 Monthly PT, 500.00 Monthly FT"
"SONRISE CHRISTIAN PRESCHOOL & DAYCARE CENTER INC";"JARVIS";"MARILYN";"Child Care Center";"30655 N HIGHWAY 95";"ATHOL";293498;83801;208;"683-4000";"1 year to 12 years";"ICCP, State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/5612";"ICCP, State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Parent to Provide Meals";"ATHOL";"Developmental Disability, Emotional/Behavioral Disability, Infant Monitoring Device, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD, Other";"English, Spanish";"Some College, child related";"<br/>0 - 12 Months : 432.60 Monthly PT, 638.60 Monthly FT<br/>13-30 Months (1-2.5 years) : 333.72 Monthly PT, 453.20 Monthly FT<br/>31-60 Months (2.5-5 years) : 284.28 Monthly PT, 412.00 Monthly FT<br/>5 - 6 Years : 185.40 Monthly FT<br/>6 - 12 Years : 20.60 Daily FT"
"HEAVENS LITTLE HELPERS DAY CARE";"BOSS";"KATHIE";"Family Child Care";;"ATHOL";213672;83801;208;"683-0810";"1 month 2 weeks to 6 years";"ICCP, State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/1090";"ICCP, State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, USDA Food Program, Infant Formula Provided";"ATHOL, Twin Lakes";"Hearing Impaired, Significant Chronic Illness, ADHD/ADD, Other";"English";"High School Diploma/GED, CDA";"<br/>0 - 12 Months : 19.00 Daily PT, 20.00 Daily FT, 430.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 18.00 Daily PT, 19.00 Daily FT, 408.50 Monthly FT<br/>31-60 Months (2.5-5 years) : 17.00 Daily PT, 18.00 Daily FT, 362.70 Monthly FT<br/>5 - 6 Years : 10.00 Daily PT, 15.00 Daily FT, 276.00 Monthly FT<br/>6 - 12 Years : 10.00 Daily PT, 15.00 Daily FT, 276.00 Monthly FT"
"LAKELAND BASE - ATHOL";"ADAMS";"SUSAN";"Child Care Center";"6333 E MENSER AVE";"ATHOL";747576;83801;208;"712-8412";"5 years to 12 years";"ICCP, State Licensed";"Sliding Fee Scales, Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13084";"ICCP, State Licensed";"http://www.lakeland272.org";"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Smoking Outside Only, Computer for children's use, Special needs accessible";;"Dinner, USDA Food Program";"ATHOL";;"English";"Bachelor's Degree, other, Some College, child related";"<br/>5 - 6 Years : 150.00 Monthly PT, 225.00 Monthly FT<br/>6 - 12 Years : 150.00 Monthly PT, 225.00 Monthly FT"
"LITTLE SPROUTS CHILD CARE";"COURSER";"GRACE";"Family Child Care";;"ATHOL";1147623;83801;208;"627-3463";"2 months to 12 years";"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/14864";;;"Full-Time";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Parent to Provide Meals";;;"English";;"<br/>0 - 12 Months : 23.00 Daily PT, 23.00 Daily FT<br/>13-30 Months (1-2.5 years) : 23.00 Daily PT, 23.00 Daily FT<br/>31-60 Months (2.5-5 years) : 23.00 Daily PT, 23.00 Daily FT<br/>5 - 6 Years : 23.00 Daily PT, 23.00 Daily FT<br/>6 - 12 Years : 23.00 Daily PT, 23.00 Daily FT"
"ALL ABOUT KIDS PRESCHOOL & DAYCARE";"DUNN";"CHANTE";"Child Care Center";"715 N MAIN ST";"BELLEVUE";703561;83313;208;"788-5780";"7 years";"ICCP, State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/12729";"ICCP, State Licensed";;"Full-Time";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Afternoon Snack, Parent to Provide Meals";"BELLEVUE";"Other";"English, Spanish";"Some College, child related";"<br/>0 - 12 Months : 55.00 Daily FT<br/>13-30 Months (1-2.5 years) : 35.00 Daily PT, 45.00 Daily FT<br/>31-60 Months (2.5-5 years) : 35.00 Daily PT, 45.00 Daily FT<br/>5 - 6 Years : 20.00 Other PT, 45.00 Other FT<br/>6 - 12 Years : 20.00 Other PT, 45.00 Other FT"
"CREEKSIDE CENTER LLC";"MOORE";"NANCY";"(FCC)Group Child Care";;"BELLEVUE";459926;83313;208;"788-7380";"1 year to 5 years";"State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/3697";"State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Morning Snack, Parent to Provide Meals";"BELLEVUE";;"English";"Associate's Degree, Child Related, CDA";"<br/>13-30 Months (1-2.5 years) : 5.00 Hourly PT, 45.00 Daily PT, 40.00 Daily FT<br/>31-60 Months (2.5-5 years) : 5.00 Hourly PT, 45.00 Daily PT, 40.00 Daily FT"
"TLC CHILD CARE";"NARANJO";"ROSA";"Child Care Center";"735 N MAIN ST STE E";"BELLEVUE";1008156;83313;208;"539-7603";"3 months to 12 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13771";"ICCP, State Licensed";;"Both";"Smoke Free Facility, No Pets, T.V. used less than 1 hr/day, Fenced Yard";;"Parent to Provide Meals";"BELLEVUE";"Developmental Disability, Infant Monitoring Device, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English, Spanish";"Some College, other";"<br/>13-30 Months (1-2.5 years) : 5.00 Hourly FT, 45.00 Daily FT<br/>31-60 Months (2.5-5 years) : 5.00 Hourly FT, 45.00 Daily FT<br/>5 - 6 Years : 5.00 Hourly FT, 45.00 Daily FT, 15.00 Other PT<br/>6 - 12 Years : 5.00 Hourly FT, 45.00 Daily FT, 15.00 Other PT"
"BRIGHT BEGINNINGS LEARNING CENTER LLC";"LUPTON";"PEGGY";"(FCC)Group Child Care";;"BELLEVUE";995434;83313;208;"309-0338";"2 years to 7 years";"State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13628";"State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Parent to Provide Meals";"BELLEVUE";"Developmental Disability, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English";"Bachelor's Degree, Child Related";"<br/>13-30 Months (1-2.5 years) : 28.00 Daily PT, 40.00 Daily FT<br/>31-60 Months (2.5-5 years) : 28.00 Daily PT, 40.00 Daily FT<br/>5 - 6 Years : 28.00 Daily PT, 40.00 Daily FT, 15.00 Other PT<br/>6 - 12 Years : 28.00 Daily PT, 40.00 Daily FT, 15.00 Other PT"
"WOOD RIVER TOT SPOT";"LIVINGSTON";"KAYLA";"Child Care Center";"308 S MAIN ST";"BELLEVUE";1111412;83313;208;"410-9702";"1 month 2 weeks to 12 years";"State Licensed";;"Type of Registration State Licensed";"http://idahochildcarecheck.org/provider/14461";;;"Full-Time";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Morning Snack, Afternoon Snack";;;"English";"Ask Provider";"<br/>0 - 12 Months : 20.00 Daily PT, 35.00 Daily FT<br/>13-30 Months (1-2.5 years) : 20.00 Daily PT, 35.00 Daily FT<br/>31-60 Months (2.5-5 years) : 20.00 Daily PT, 35.00 Daily FT<br/>5 - 6 Years : 20.00 Daily PT, 35.00 Daily FT<br/>6 - 12 Years : 20.00 Daily PT, 35.00 Daily FT"
"LUCKY DUCK PRESCHOOL A & B & C & D";"BANGERTER";"TINA";"Child Care Center";"955 MARKET ST STE A & B & C & D";"BLACKFOOT";1002386;83221;208;"681-7881";"1 week to 13 years";"ICCP, State Licensed, QRIS";;"Step 2 of 6";"http://idahochildcarecheck.org/provider/13704";"ICCP, State Licensed, QRIS";;"Both";"Smoke Free Facility, No Pets, T.V. used less than 1 hr/day, Fenced Yard, Smoking Outside Only, Computer for children's use, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program";;;"English, Spanish";"High School Diploma/GED, Some College, other";"<br/>0 - 12 Months : 337.00 Monthly PT, 437.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 314.00 Monthly PT, 414.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 268.00 Monthly PT, 368.00 Monthly FT<br/>5 - 6 Years : 248.00 Monthly PT, 348.00 Monthly FT<br/>6 - 12 Years : 248.00 Monthly PT, 348.00 Monthly FT"
"LUCKY DUCK PRESCHOOL LLC - SHILLING";"BANGERTER";"TINA";"Child Care Center";"495 N SHILLING AVE";"BLACKFOOT";1052189;83221;208;"681-7881";"1 week to 13 years";"ICCP, State Licensed, QRIS";;"Step 1 of 6";"http://idahochildcarecheck.org/provider/14206";"ICCP, State Licensed, QRIS";;"Full-Time";"Smoke Free Facility, No Pets, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program";"IRVING KINDERGARTEN CENTER";;"English";"High School Diploma/GED, Some College, other";"<br/>0 - 12 Months : 337.00 Monthly PT, 437.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 314.00 Monthly PT, 414.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 268.00 Monthly PT, 368.00 Monthly FT<br/>5 - 6 Years : 248.00 Monthly PT, 348.00 Monthly FT<br/>6 - 12 Years : 248.00 Monthly PT, 348.00 Monthly FT"
"FOREST FRIENDS PRESCHOOL";"BOEGLER";"DAWN";"Child Care Center";"640 N SHILLING AVE";"BLACKFOOT";1142043;83221;520;"208-1691";"3 years to 5 years";"ICCP, State Licensed, QRIS";;"Step 1 of 6";"http://idahochildcarecheck.org/provider/14762";"ICCP, State Licensed, QRIS";;"Full-Time";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard";;"Morning Snack, Lunch, Afternoon Snack";;"Motor Physically Impaired, Visually Impaired, ADHD/ADD";"English";"High School Diploma/GED";"<br/>31-60 Months (2.5-5 years) : 125.00 Weekly FT, 500.00 Monthly PT<br/>5 - 6 Years : 125.00 Weekly FT, 500.00 Monthly PT"
"KATIES DAY CARE";"LINDSAY";"KATIE";"(FCC)Group Child Care";;"BLACKFOOT";615072;83221;208;"785-8085";"1 year 6 months to 12 years";"State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/11104";"State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard, Computer for children's use";;"Parent to Provide Meals";;;"English";"High School Diploma/GED, Bachelor's Degree, Child Related, Some College, other";"<br/>0 - 12 Months : 3.50 Hourly PT, 20.00 Daily FT<br/>13-30 Months (1-2.5 years) : 3.50 Hourly PT, 20.00 Daily FT<br/>31-60 Months (2.5-5 years) : 3.00 Hourly PT, 17.00 Daily FT<br/>5 - 6 Years : 3.00 Hourly PT, 17.00 Daily FT<br/>6 - 12 Years : 3.00 Hourly PT, 17.00 Daily FT"
"KEANNS LEARNING CENTER AND DAY CARE";"PECK";"KEANN";"(FCC)Group Child Care";;"BLACKFOOT";380414;83221;208;"680-9774";"3 months to 10 years";"State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/705";"State Licensed";;"Full-Time";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, USDA Food Program";"MORELAND, Riverside";"Emotional/Behavioral Disability, ADHD/ADD";"English";"Bachelor's Degree, Child Related, Bachelor's Degree, other";"<br/>0 - 12 Months : 400.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 375.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 350.00 Monthly FT<br/>5 - 6 Years : 325.00 Monthly FT<br/>6 - 12 Years : 2.50 Hourly PT"
"MELINDAS DAYCARE";"VOLLMER";"MELINDA";"(FCC)Group Child Care";;"BLACKFOOT";674669;83221;208;"932-3047";"11 months to 6 years";"State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/12225";"State Licensed";;"Full-Time";"Smoke Free Facility, No Pets, Outdoor Play Equipment, Fenced Yard, Computer for children's use";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program";;;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 300.00 Monthly PT, 400.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 2.00 Hourly FT, 375.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 2.00 Hourly FT, 375.00 Monthly FT<br/>5 - 6 Years : 2.00 Hourly FT"
"RANAES DAYCARE";"DUCHSCHER";"RANAE";"(FCC)Group Child Care";;"BLACKFOOT";545439;83221;208;"604-4923";"1 year 6 months to 6 years";"State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/2443";"State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program";"WAPELLO";"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Significant Chronic Illness";"English";"High School Diploma/GED";"<br/>0 - 12 Months : 400.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 5.00 Hourly FT, 275.00 Monthly PT, 375.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 5.00 Hourly FT, 275.00 Monthly PT, 375.00 Monthly FT"
"NANAS PLACE";"FARNWORTH";"CHOEY";"(FCC)Relative";;"BLACKFOOT";1151864;83221;208;"681-1624";;"ICCP";;"Type of Registration ICCP";;;;"Full-Time";;;;;;;;
"THE BURKESHIRE LLC";"BURKE";"RUTH";"Child Care Center";"157 W SEXTON ST";"BLACKFOOT";1033614;83221;208;"785-4545";;"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/13964";;;"Full-Time";"Smoke Free Facility, T.V. used less than 1 hr/day";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner";;;"English";"High School Diploma/GED, Some College, other";"<br/>0 - 12 Months : 3.00 Hourly PT, 20.00 Daily FT, 400.00 Monthly PT<br/>13-30 Months (1-2.5 years) : 3.00 Hourly PT, 20.00 Daily FT, 400.00 Monthly PT<br/>31-60 Months (2.5-5 years) : 3.00 Hourly PT, 20.00 Daily FT, 400.00 Monthly PT<br/>5 - 6 Years : 3.00 Hourly PT, 20.00 Daily FT, 400.00 Monthly PT<br/>6 - 12 Years : 3.00 Hourly PT, 20.00 Daily FT, 400.00 Monthly PT"
"NEW HORIZON SITE #3";"LEONARDI";"AMETHYST";"Child Care Center";"12692 W LASALLE ST";"BOISE";419636;83713;208;"376-2690";"1 month 2 weeks to 12 years";"ICCP, QRIS";;"Step 6 of 6";"http://idahochildcarecheck.org/provider/2090";"ICCP, QRIS";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";"CECIL D ANDRUS, JOPLIN, Paramount Elementary, PROSPECT Elementary-Meridian";"Motor Physically Impaired, Hearing Impaired, Visually Impaired";"English";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 170.00 Weekly PT, 248.00 Weekly FT, 731.00 Monthly PT, 1045.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 163.00 Weekly PT, 243.00 Weekly FT, 701.00 Monthly PT, 1002.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 136.00 Weekly PT, 213.00 Weekly FT, 585.00 Monthly PT, 835.00 Monthly FT<br/>5 - 6 Years : 129.00 Weekly PT, 203.00 Weekly FT, 555.00 Monthly PT, 723.00 Monthly FT<br/>6 - 12 Years : 68.00 Weekly PT, 191.00 Weekly FT, 293.00 Monthly PT, 473.00 Monthly FT"
"BSU CHILDRENS CENTER";"LEE";"HEATHER";"Child Care Center";"1830 BEACON ST";"BOISE";351327;83706;208;"426-4402";"1 month 2 weeks to 5 years";"ICCP, QRIS";"Sliding Fee Scales";"Step 6 of 6";"http://idahochildcarecheck.org/provider/2266";"ICCP, QRIS";"http://childrenscenter.boisestate.edu";"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use, Special needs accessible";"NAEYC";"Breakfast, Lunch, Afternoon Snack, USDA Food Program";;"Developmental Disability, Emotional/Behavioral Disability, Infant Monitoring Device, Motor Physically Impaired, Hearing Impaired, Visually Impaired, ADHD/ADD";"English";"Master's Degree, child related";"<br/>0 - 12 Months : 780.00 Monthly PT, 950.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 780.00 Monthly PT, 950.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 780.00 Monthly PT, 950.00 Monthly FT"
