"ID";"Inspection Date";"Primary Type";"Complaint";"Rule Description";"Finding Category";"Non Compliance Level";"Correction Date";"Correction Verification";"Finding Description"
27086;"2020-01-11";"Complaint, Investigation Inspection";"12/20/2019";"100-11(1); Provide and maintain active supervision";"Repeat Citation";"High";"2020-01-11";"Correction Verified";"The provider did not comply with the Child Supervision and Security rule by having children who were not actively supervised. In the 2's classroom, there were 6 children, including children younger than 5 years old, unsupervised."
27086;"2019-12-10";"Follow-Up, Additional Follow-Up Inspection";;;;;;;
27086;"2019-12-04";"Follow-Up Inspection";;"100-11(1); Provide and maintain active supervision";"Repeat Citation";"High";"2019-12-04";"Correction Verified";"The provider did not comply with the Child Supervision and Security rule by not providing and maintaining active supervision of each child at all times.  During the inspection, the caregiver in the 2's room did not know the correct number of children in their care.  This was a repeat rule violation."
27086;"2019-11-29";"Unannounced, Annual Inspection";;"100-11(1); Provide and maintain active supervision";"Citation";"High";"2019-11-29";"Correction Verified";"The provider did not comply with the Child Supervision and Security rule by not providing and maintaining active supervision of each child at all times.  During the inspection, the caregiver in the toddler room did not know the correct number of children in their care."
27086;"2019-08-21";"Follow-Up, Additional Follow-Up Inspection";;;;;;;
27086;"2019-08-16";"Follow-Up Inspection";;;;;;;
27086;"2019-08-09";"Announced, Annual Inspection";;"100-19(22); No entrapment hazards";"Citation";"High";"2019-08-16";"Correction Verified";"The provider did not comply with the Play Equipment rule by having an entrapment hazard on a piece of stationary play equipment.  On the 3 and older playground, the stationary play equipment had an entrapment hazard."
27086;"2019-01-30";"Follow-Up Inspection";;;;;;;
27086;"2019-01-03";"Unannounced, Annual Inspection";;;;;;;
27086;"2018-08-03";"Follow-Up Inspection";;;;;;;
27086;"2018-07-16";"Announced, Annual Inspection";;;;;;;
27086;"2018-03-29";"Follow-Up Inspection";;;;;;;
28758;"2020-09-16";"Unannounced, Annual Inspection";;;;;;;
28758;"2020-05-27";"Non On-Site Inspection";;;;;;;
28758;"2020-05-21";"Announced, Annual Inspection";;;;;;;
28758;"2019-10-25";"Unannounced, Annual Inspection";;;;;;;
28758;"2019-08-13";"Follow-Up Inspection";;;;;;;
28758;"2019-03-26";"Announced, Annual Inspection";;;;;;;
28758;"2018-10-10";"Follow-Up Inspection";;;;;;;
28758;"2018-09-04";"Unannounced, Annual Inspection";;;;;;;
28758;"2018-03-21";"Announced, Annual Inspection";;;;;;;
14539;"2021-03-05";"Follow-Up Inspection";;;;;;;
14539;"2021-02-23";"Unannounced, Annual Inspection";;;;;;;
14539;"2020-07-10";"Announced, Annual Inspection";;;;;;;
14539;"2019-10-07";"Unannounced, Annual Inspection";;;;;;;
14539;"2019-06-06";"Announced, Annual Inspection";;;;;;;
14539;"2018-11-07";"Unannounced, Annual Inspection";;;;;;;
14539;"2018-06-06";"Follow-Up Inspection";;;;;;;
14539;"2018-05-29";"Announced, Annual Inspection";;;;;;;
3762;"2020-09-14";"Announced, Annual Inspection";;;;;;;
3762;"2020-01-31";"Unannounced, Annual Inspection";;;;;;;
3762;"2019-09-23";"Announced, Annual Inspection";;;;;;;
3762;"2019-02-26";"Unannounced, Annual Inspection";;;;;;;
3762;"2018-09-13";"Follow-Up Inspection";;;;;;;
3762;"2018-08-28";"Announced, Annual Inspection";;;;;;;
3762;"2018-03-26";"Unannounced, Annual Inspection";;;;;;;
37234;"2020-12-01";"Announced, Annual Inspection";;;;;;;
37234;"2020-07-06";"Unannounced, Annual Inspection";;;;;;;
37234;"2019-12-30";"Follow-Up Inspection";;;;;;;
37234;"2019-12-03";"Announced, Annual Inspection";;;;;;;
37234;"2019-05-31";"Follow-Up Inspection";;;;;;;
37234;"2019-04-26";"Unannounced, Annual Inspection";;"100-19(4)(a)-(c); Use zones";"Citation";"Moderate";"2019-04-26";"Correction Verified";"The provider did not comply with the Play Equipment rule by not having required use zones. In the preschool playground, one piece of play equipment did not have the required six foot use zone. This was a repeat rule violation."
37234;"2018-12-07";"Follow-Up Inspection";;;;;;;
37234;"2018-11-29";"Announced, Annual Inspection";;;;;;;
37234;"2018-05-23";"Unannounced, Annual Inspection";;;;;;;
28736;"2020-11-12";"Non On-Site Inspection";;;;;;;
28736;"2020-10-23";"Unannounced, Annual Inspection";;;;;;;
28736;"2020-05-18";"Announced, Annual Inspection";;;;;;;
28736;"2019-10-10";"Non On-Site Inspection";;;;;;;
28736;"2019-09-30";"Unannounced, Annual Inspection";;;;;;;
28736;"2019-03-07";"Announced, Annual Inspection";;;;;;;
28736;"2018-09-14";"Follow-Up Inspection";;;;;;;
28736;"2018-08-08";"Unannounced, Annual Inspection";;;;;;;
27098;"2020-10-06";"Non On-Site Inspection";;;;;;;
27098;"2020-09-23";"Announced, Annual Inspection";;;;;;;
27098;"2020-01-23";"Follow-Up Inspection";;;;;;;
27098;"2020-01-09";"Unannounced, Annual Inspection";;;;;;;
27098;"2019-09-05";"Announced, Annual Inspection";;;;;;;
27098;"2018-12-27";"Unannounced, Annual Inspection";;;;;;;
27098;"2018-09-17";"Follow-Up Inspection";;;;;;;
27098;"2018-08-30";"Announced, Annual Inspection";;;;;;;
27098;"2018-03-27";"Unannounced, Annual Inspection";;;;;;;
65796;"2021-02-10";"Non On-Site Inspection";;;;;;;
65796;"2021-02-03";"Announced, Annual Inspection";;;;;;;
65796;"2020-09-28";"Pre-Inspection";;;;;;;
65796;"2020-06-17";"Unannounced, Annual Inspection";;;;;;;
65796;"2020-01-14";"Follow-Up Inspection";;;;;;;
65796;"2020-01-03";"Announced, Annual Inspection";;;;;;;
65796;"2019-06-12";"Follow-Up Inspection";;;;;;;
65796;"2019-05-31";"Unannounced, Annual Inspection";;;;;;;
65796;"2019-01-14";"Pre-Inspection";;;;;;;
1190;"2021-02-25";"Unannounced, Annual Inspection";;;;;;;
1190;"2020-08-07";"Announced, Annual Inspection";;;;;;;
1190;"2020-01-27";"Unannounced, Annual Inspection";;;;;;;
1190;"2019-08-02";"Announced, Annual Inspection";;;;;;;
1190;"2018-12-31";"Follow-Up Inspection";;;;;;;
1190;"2018-12-21";"Unannounced, Annual Inspection";;;;;;;
1190;"2018-07-27";"Announced, Annual Inspection";;;;;;;
66747;"2021-02-04";"Non On-Site Inspection";;;;;;;
66747;"2021-02-01";"Unannounced, Annual Inspection";;"100-8(1)(a)-(b); Associating New Covered Individuals";"Repeat Citation";"Moderate";"2021-02-04";"Correction Verified";"The provider did not comply with the Background Checks rule by allowing an individual to work before receiving notification of clearance from CCL.  In the facility, one individual was involved in childcare before getting notification of clearance by CCL.  This was a repeat rule violation."
66747;"2020-06-15";"Non On-Site Inspection";;;;;;;
66747;"2020-05-08";"Announced, Annual Inspection";;;;;;;
66747;"2019-10-23";"Non On-Site Inspection";;;;;;;
66747;"2019-10-07";"Unannounced, Annual Inspection";;;;;;;
66747;"2019-05-06";"Pre-Inspection";;;;;;;
66747;"2018-11-05";"Complaint, Investigation Inspection";"09/21/2018";"70-3(1)(a)-(h); License Required";"Citation";"High";"2019-06-03";"Correction Verified";"The provider did not comply with the License Required rule. In the facility, children who are at least 5 years of age are cared for for either 2 or more hours per day on days when school is in session for the child receiving services and 4 or more hours per day on days when school is not in session for the children receiving services, or the provider offers services for 4 or more hours per day on days when school is not in session for the children receiving services."
78161;"2021-02-05";"Unannounced, Annual Inspection";;"70-9(18); Fence, wall, solid barrier at least 4 feet high";"Citation";"High";;"Follow-up required to verify compliance/maintenance";"The provider did not comply with the Facility rule by not having a fence around the outside play area.  In the outdoor area, the chain link fence had been removed."
78161;"2020-05-29";"Non On-Site Inspection";;;;;;;
78161;"2020-05-28";"Pre-Inspection";;;;;;;
2609;"2021-02-25";"Unannounced, Annual Inspection";;;;;;;
2609;"2020-08-17";"Announced, Annual Inspection";;;;;;;
2609;"2020-01-21";"Unannounced, Annual Inspection";;;;;;;
2609;"2019-08-23";"Announced, Annual Inspection";;;;;;;
2609;"2019-05-01";"Follow-Up Inspection";;;;;;;
2609;"2019-04-11";"Unannounced, Annual Inspection";;;;;;;
2609;"2018-09-10";"Announced, Annual Inspection";;;;;;;
2609;"2018-04-20";"Follow-Up Inspection";;;;;;;
2609;"2018-04-04";"Unannounced, Annual Inspection";;;;;;;
40820;"2020-12-08";"Announced, Annual Inspection";;;;;;;
40820;"2020-12-08";"Non On-Site Inspection";;;;;;;
40820;"2020-07-20";"Follow-Up Inspection";;;;;;;
40820;"2020-07-09";"Unannounced, Annual Inspection";;"90-13(8); standing water";"Citation";"High";"2020-07-09";"Correction Verified";"The provider did not comply with the Child Safety and Injury Prevention rule by not ensuring to keep standing water that is 2 inches or deeper and 5 by 5 inches or greater in diameter inaccessible to children. In the downstairs bathroom, there was a trash bin full of standing water."
40820;"2019-11-15";"Announced, Annual Inspection";;;;;;;
40820;"2019-08-09";"Unannounced, Annual Inspection";;;;;;;
40820;"2018-12-28";"Follow-Up Inspection";;;;;;;
40820;"2018-12-07";"Announced, Annual Inspection";;;;;;;
40820;"2018-08-16";"Follow-Up, Additional Follow-Up Inspection";;;;;;;
40820;"2018-07-26";"Follow-Up Inspection";;"90-13(2)(b); sharp objects, edges, corners, points";"Citation";"Moderate";"2018-07-26";"Correction Verified";"The provider did not ensure that sharp objects were inaccessible to children in care. In the girl's bedroom, there were razors accessible to children in care.  This was a repeat noncompliant finding."
40820;"2018-07-26";"Follow-Up Inspection";;"90-13(2)(c); choking hazards";"Citation";"Moderate";"2018-07-26";"Correction Verified";"The provider did not ensure that for children younger than 3 years of age, choking hazards were inaccessible to children in care. In the girl's bedroom, there were hair clips accessible to children in care. This was a repeat noncompliant finding."
40820;"2018-07-26";"Follow-Up Inspection";;"90-13(3)(a)-(c); toxic or hazardous chemicals";"Citation";"Moderate";"2018-07-26";"Correction Verified";"The provider did not ensure that toxic or hazardous chemicals were inaccessible to children in care. In the kitchen, there was car cleaner accessible to children in care.  This was a repeat noncompliant finding."
40820;"2018-07-06";"Unannounced, Annual Inspection";;"90-24(15); infants sleep in equipment designed for sleet";"Citation";"High";"2018-07-06";"Correction Verified";"The provider did not ensure that Infants slept in equipment designed for sleep such as a crib, bassinet, porta-crib or playpen. At the time of the inspection, the provider stated that infants were placed to sleep on mats."
28517;"2021-02-02";"Unannounced, Annual Inspection";;;;;;;
28517;"2020-06-03";"Follow-Up Inspection";;;;;;;
28517;"2020-05-18";"Announced, Annual Inspection";;;;;;;
28517;"2020-01-13";"Unannounced, Annual Inspection";;;;;;;
28517;"2019-06-14";"Non On-Site Inspection";;;;;;;
28517;"2019-05-01";"Announced, Annual Inspection";;;;;;;
28517;"2019-02-28";"Follow-Up Inspection";;;;;;;
28517;"2019-02-19";"Non On-Site Inspection";;"90-8(1)(a)-(d); background check - new covered individual";"Repeat Citation";"High";"2019-02-28";"Correction Verified";"The provider did not comply with the Background Checks rule by allowing a covered individual to become involved with the facility before having a background check. At the time of the inspection, one individual had not submitted a complete background check.  This was a repeat rule violation."
28517;"2019-02-04";"Unannounced, Annual Inspection";;"90-8(1)(a)-(d); background check - new covered individual";"Citation";"High";"2019-02-28";"Correction Verified";"The provider did not comply with the Background Checks rule by allowing a covered individual to become involved with the facility before having a background check. At the time of the inspection, one individual had not submitted a complete background check."
28517;"2018-05-10";"Announced, Annual Inspection";;;;;;;
38244;"2020-10-16";"Non On-Site Inspection";;;;;;;
38244;"2020-10-05";"Unannounced, Annual Inspection";;;;;;;
38244;"2020-05-14";"Announced, Annual Inspection";;;;;;;
38244;"2019-09-05";"Unannounced, Annual Inspection";;;;;;;
38244;"2019-05-01";"Pre-Inspection";;;;;;;
38244;"2018-11-08";"Follow-Up Inspection";;;;;;;
38244;"2018-11-01";"Unannounced, Annual Inspection";;;;;;;
38244;"2018-06-05";"Follow-Up Inspection";;;;;;;
38244;"2018-05-02";"Announced, Annual Inspection";;;;;;;
38244;"2018-04-05";"Complaint, Follow-Up Inspection";;"100-10(1)(a)-(b); Single-age group ratios & group size";"Citation";"High";"2018-04-05";"Correction Verified";"The provider did not maintain the number of caregivers for single age groups of children. In the infant classroom, there were seven children with one caregiver."
28923;"2020-09-14";"Pre-Inspection";;;;;;;
80301;"2021-02-22";"Announced, Annual Inspection";;;;;;;
80301;"2020-09-16";"Pre-Inspection";;;;;;;
28690;"2021-02-10";"Announced, Annual Inspection";;;;;;;
28690;"2020-10-21";"Unannounced, Annual Inspection";;;;;;;
28690;"2020-02-10";"Announced, Annual Inspection";;;;;;;
28690;"2019-10-22";"Unannounced, Annual Inspection";;;;;;;
28690;"2019-02-14";"Non On-Site Inspection";;;;;;;
28690;"2019-02-04";"Announced, Annual Inspection";;"40 - 2) b); background checks";"Citation";"High";"2019-02-14";"Correction Verified";"The provider did not comply with the Background Checks regulation by having Covered Individuals who had not passed CCL background checks. In the facility, there was a caregiver who had not passed CCL background checks."
28690;"2018-10-05";"Non On-Site Inspection";;;;;;;
28690;"2018-09-27";"Unannounced, Annual Inspection";;"40 - 2) b); background checks";"Citation";"High";"2018-10-05";"Correction Verified";"The provider did not comply with the Background Checks requirements. In the facility, a new caregiver was allowed to work before CCL notification that the covered individual passed a background check."
80308;"2020-09-21";"Pre-Inspection";;;;;;;
66750;"2020-10-01";"Pre-Inspection";;;;;;;
66750;"2020-01-28";"Unannounced, Annual Inspection";;;;;;;
66750;"2019-09-19";"Non On-Site Inspection";;;;;;;
66750;"2019-09-17";"Announced, Annual Inspection";;;;;;;
66750;"2019-04-03";"Unannounced, Annual Inspection";;;;;;;
66750;"2018-11-01";"DWS Pre-Approval, Follow-Up";;;;;;;
66750;"2018-09-27";"DWS Pre-Approval";;;;;;;
79002;"2020-07-28";"Non On-Site Inspection";;;;;;;
79002;"2020-07-20";"Non On-Site Inspection";;;;;;;
79002;"2020-07-17";"Pre-Inspection";;;;;;;
52499;"2020-12-01";"Non On-Site Inspection";;;;;;;
52499;"2020-10-28";"Unannounced, Annual Inspection";;"ledws-8(1); New covered individual background check";"Citation";"High";"2020-12-01";"Correction Verified";"The provider did not comply with the Background Check Requirements rule by having covered individuals involved with child care before passing the background check.  In the facility, there were caregivers who had not passed the background check."
52499;"2020-03-16";"Non On-Site Inspection";;;;;;;
52499;"2020-02-28";"Announced, Annual Inspection";;;;;;;
52499;"2019-09-24";"Unannounced, Annual Inspection";;;;;;;
52499;"2019-03-13";"Announced, Annual Inspection";;;;;;;
52499;"2018-11-07";"Unannounced, Annual Inspection";;;;;;;
67763;"2020-10-29";"Announced, Annual Inspection";;;;;;;
67763;"2020-06-04";"Non On-Site Inspection";;;;;;;
67763;"2020-06-03";"Unannounced, Annual Inspection";;;;;;;
67763;"2019-10-31";"Follow-Up Inspection";;;;;;;
67763;"2019-10-18";"Announced, Annual Inspection";;;;;;;
67763;"2019-04-11";"Follow-Up Inspection";;;;;;;
67763;"2019-03-12";"Unannounced, Annual Inspection";;;;;;;
67763;"2018-11-20";"Pre-Inspection";;;;;;;
14377;"2020-09-02";"Follow-Up Inspection";;;;;;;
14377;"2020-08-13";"Announced, Annual Inspection";;"90-13(7); empty plastic bags, latex gloves, balloons";"Citation";"Moderate";"2020-08-13";"Correction Verified";"The provider did not comply with the Child Safety and Injury Prevention rule by having empty plastic bags large enough for a childs head to fit inside accessible to children younger than 5 years of age. In the kitchen, there were gallon size ziplock bags in a drawer. This was a repeat violation."
14377;"2020-02-20";"Unannounced, Annual Inspection";;;;;;;
14377;"2019-09-30";"Follow-Up Inspection";;;;;;;
14377;"2019-08-22";"Announced, Annual Inspection";;;;;;;
14377;"2019-06-17";"Follow-Up Inspection";;;;;;;
14377;"2019-04-17";"Unannounced, Annual Inspection";;;;;;;
14377;"2018-10-18";"Follow-Up Inspection";;;;;;;
14377;"2018-08-29";"Announced, Annual Inspection, Follow-Up Inspection";;;;;;;
14377;"2018-07-03";"Unannounced, Annual Inspection";;;;;;;
28372;"2021-01-13";"Announced, Annual Inspection";;;;;;;
28372;"2020-09-21";"Non On-Site Inspection";;;;;;;
28372;"2020-09-02";"Unannounced, Annual Inspection";;;;;;;
28372;"2020-01-31";"Non On-Site Inspection";;;;;;;
28372;"2020-01-15";"Announced, Annual Inspection";;;;;;;
28372;"2019-07-17";"Follow-Up Inspection";;;;;;;
28372;"2019-07-02";"Non On-Site Inspection";;;;;;;
28372;"2019-06-19";"Unannounced, Annual Inspection";;"40 - 3) a); active supervision";"Citation";"High";"2019-06-19";"Correction Verified";"The provider did not show compliance with the supervision regulation by having caregivers who were not actively supervising the children in their care.  On the playground, caregivers were sitting on benches."
28372;"2019-06-19";"Unannounced, Annual Inspection";;"40 - 1) h); preservice training";"Citation";"Moderate";"2019-07-02";"Correction Verified";"The provider was not in compliance with the Administration and Personnel regulation by having staff that had not completed required training.  In the facility, there were caregivers who had not completed preservice training."
28372;"2019-04-02";"Non On-Site Inspection";;;;;;;
28372;"2019-01-14";"Non On-Site Inspection";;;;;;;
28372;"2019-01-08";"Announced, Annual Inspection";;;;;;;
28372;"2018-08-15";"Non On-Site Inspection";;;;;;;
28372;"2018-07-30";"Unannounced, Annual Inspection";;"40 - 4) g); sign in and out";"Citation";"High";"2018-07-30";"Correction Verified";"The provider did not ensure there was required documentation.  At the time of the inspection, the sign-in and sign-out record did not have the time of arrival and the time of departure."
73485;"2020-04-01";"Non On-Site Inspection";;;;;;;
73485;"2020-03-11";"Announced, Annual Inspection";;;;;;;
73485;"2019-09-03";"DWS Pre-Approval";;;;;;;
30282;"2021-03-08";"Non On-Site Inspection";;;;;;;
30282;"2021-02-24";"Announced, Annual Inspection";;"ledws-8(2); Associate new covered individuals";"Repeat Citation";"High";"2021-03-08";"Correction Verified";"The provider did not show compliance with the Background Checks requirement.   In the facility, there was Covered Individual with a background check who was not associated with the facility."
30282;"2020-09-17";"Unannounced, Annual Inspection";;;;;;;
30282;"2020-04-01";"Non On-Site Inspection";;;;;;;
30282;"2020-04-01";"Non On-Site Inspection";;;;;;;
30282;"2020-03-20";"Non On-Site Inspection";;;;;;;
30282;"2020-02-26";"Announced, Annual Inspection";;;;;;;
30282;"2019-10-29";"Non On-Site Inspection";;;;;;;
30282;"2019-10-17";"Unannounced, Annual Inspection";;"40 - 2) b); background checks";"Citation";"High";"2019-10-29";"Correction Verified";"The provider did not comply with the Background Checks regulation.  In the facility, caregivers did not have a background check or were not associated with the facility."
30282;"2019-03-11";"DWS Pre-Approval, Follow-Up";;;;;;;
30282;"2019-03-06";"DWS Pre-Approval";;;;;;;
73481;"2021-02-10";"Announced, Annual Inspection";;;;;;;
73481;"2020-09-28";"Non On-Site Inspection";;;;;;;
73481;"2020-09-16";"Unannounced, Annual Inspection";;"ledws-8(1); New covered individual background check";"Citation";"High";"2020-09-28";"Correction Verified";"The provider did not comply with the Background Checks requirements.  In the facility, a new caregiver was allowed to work before passing the background check."
73481;"2020-03-10";"Non On-Site Inspection";;;;;;;
73481;"2020-02-26";"Announced, Annual Inspection";;;;;;;
73481;"2019-09-24";"Non On-Site Inspection";;;;;;;
73481;"2019-09-03";"DWS Pre-Approval";;;;;;;
73484;"2021-02-10";"Announced, Annual Inspection";;;;;;;
73484;"2020-09-16";"Unannounced, Annual Inspection";;;;;;;
73484;"2020-03-11";"Announced, Annual Inspection";;;;;;;
73484;"2019-09-03";"DWS Pre-Approval";;;;;;;
42215;"2021-03-11";"Announced, Annual Inspection";;;;;;;
42215;"2020-07-07";"Unannounced, Annual Inspection";;;;;;;
42215;"2020-02-12";"Announced, Annual Inspection";;;;;;;
42215;"2019-08-08";"Unannounced, Annual Inspection";;;;;;;
42215;"2019-02-13";"Announced, Annual Inspection";;;;;;;
42215;"2018-08-02";"Follow-Up Inspection";;;;;;;
42215;"2018-06-25";"Unannounced, Annual Inspection";;;;;;;
42215;"2018-04-26";"Pre-Inspection";;;;;;;
50075;"2020-09-10";"Non On-Site Inspection";;;;;;;
50075;"2020-08-13";"Announced, Annual Inspection";;"90-14(3); conduct fire drills quarterly";"Citation";"Moderate";"2020-09-10";"Correction Verified";"The provider did not comply with the Emergency Preparedness and Response rule by not conducting fire evacuation drills quarterly.   At the time of the inspection, the provider had not conducted quarterly fire drills.  This was a repeat rule violation."
50075;"2020-06-16";"Follow-Up Inspection";;;;;;;
50075;"2020-05-19";"Unannounced, Annual Inspection";;"90-17(1); medications inaccessible";"Citation";"Moderate";"2020-05-19";"Correction Verified";"The provider did not comply with the Medications rule by having medications accessible to children in care.  In the upstairs front bedroom, there were medications.  This was a repeat rule violation."
50075;"2019-09-30";"Non On-Site Inspection";;;;;;;
50075;"2019-09-10";"Follow-Up Inspection, Follow-Up, Additional Follow-Up Inspection";;;;;;;
50075;"2019-07-25";"Announced, Annual Inspection";;"90-9(15)(a)-(b); 4 foot high fence";"Repeat Citation";"High";"2019-09-10";"Correction Verified";"The provider did not comply with the Facilities rule by not having a 4-foot fence that fully enclosed the outdoor play area. At the time of the inspection, the gate to the driveway was open and would not close. This was a repeat rule violation."
50075;"2019-07-25";"Announced, Annual Inspection";;"90-17(1); medications inaccessible";"Citation";"Moderate";"2019-07-25";"Correction Verified";"The provider did not comply with the Medications rule by having medication accessible to children in care.  In the bathroom, there was medication accessible to children in care.  This was a repeat rule violation."
50075;"2019-07-03";"Follow-Up Inspection";;"90-9(15)(a)-(b); 4 foot high fence";"Repeat Citation";"High";"2019-09-10";"Correction Verified";"The provider did not comply with the Facilities rule by not having a 4-foot fence that fully enclosed the outdoor play area. At the time of the inspection, the gate to the driveway was open and could not close.  This was a repeat rule violation."
50075;"2019-03-26";"Unannounced, Annual Inspection";;"90-9(15)(a)-(b); 4 foot high fence";"Citation";"High";"2019-09-10";"Correction Verified";"The provider did not comply with the Facilities rule by not having a 4-foot fence that fully enclosed the outdoor play area. At the time of the inspection, the gate to the driveway was open and could not close."
50075;"2018-09-28";"Non On-Site Inspection";;;;;;;
50075;"2018-09-25";"Follow-Up Inspection";;"90-14(5); conduct disaster drills once every 12 months";"Citation";"Moderate";"2018-09-28";"Correction Verified";"The provider did not comply with the Emergency Preparedness and Response requirements.  At the time of the inspection, the disaster drill had not been conducted.    This was a repeat noncompliant finding."
50075;"2018-08-15";"Announced, Annual Inspection";;;;;;;
80400;"2020-09-11";"Pre-Inspection";;;;;;;
80400;"2020-09-11";"Non On-Site Inspection";;;;;;;
67263;"2021-01-08";"Non On-Site Inspection";;;;;;;
67263;"2020-12-03";"Announced, Annual Inspection";;;;;;;
67263;"2020-09-21";"Follow-Up, Additional Follow-Up Inspection";;;;;;;
67263;"2020-09-09";"Follow-Up Inspection";;"90-13(9)(a)-(d); toxic and hazardous chemicals";"Citation";"Moderate";"2020-09-09";"Correction Verified";"The provider did not comply with the Child Safety and Injury Prevention rule by not ensuring to keep toxic or hazardous chemicals inaccessible from the children in care. In the upstairs bathroom, there were cleaning chemicals underneath the sink. This was a repeat rule violation."
67263;"2020-08-25";"Unannounced, Annual Inspection";;;;;;;
67263;"2020-02-25";"Non On-Site Inspection";;;;;;;
67263;"2020-01-06";"Follow-Up Inspection";;;;;;;
67263;"2019-11-25";"Announced, Annual Inspection";;;;;;;
