"County";"CLR#";"Name";"Location Address";"City";"State";"Zip";"Phone";"Mailing Address";"Mailing City";"Mailing Zip";"Expiration Date";"Capacity";"Age Range Of Service";"Transporation Service";"Non Traditional";"Stars Rating";"Provider Type";"Active CCAP Children";"Address 2";"Serves Children with Special Needs"
"FLOYD";"L354947";"Allen Elementary FRYSC After School Care";"112 Eagle Lane";"Allen";"KY";41601;"(606) 874-0621";"PO Box 930";" Allen";41601;"03/31/2020";25;"School_Age";"N";"N";1;"Licensed";"N";;"No Information Available"
"JEFFERSON";"L383946";"Allen's Playhouse Daycare";"712 W. Ashland Ave";"Louisville";"KY";40215;"(502) 384-7178";"7601 Teargrass Court Apt. 2";" Louisville";40258;"10/31/2020";35;"Infant To School Age";"N";"Y";1;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"C70947";"Allison Day Care";"6204 Gayle Drive";"Louisville";"KY";40219;"(502) 742-6993";"6204 Gayle Drive";" Louisville";40219;"09/30/2021";6;"No Information Available";"N";"No Information Available";1;"Certified";"Y";;"No Information Available"
"FAYETTE";"L383517";"Allison's Wonderland";"3101 Richmond Road Suite 301";"Lexington";"KY";40509;"(859) 523-3750";"3101 Richmond Road Suite 301";" Lexington";40509;"10/31/2020";20;"Infant To Two_To_School";"N";"No Information Available";1;"Licensed";"N";;"Y"
"ANDERSON";"L383883";"All-Star Learning & Development Center";"149 W. Woodford St.";"Lawrenceburg";"KY";40342;"(502) 839-3007";"149 W. Woodford St.";" Lawrenceburg";40342;"06/30/2020";41;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"JEFFERSON";"L357911";"Almost Home Infant Day Care";"4313 Billtown Road";"Louisville";"KY";40299;"(502) 267-6087";"4313 Billtown Road";" Louisville";40299;"04/30/2020";18;"Infant";"N";"N";1;"Licensed";"N";;"No Information Available"
"KENTON";"L383857";"AlphaBest at Caywood Elementary";"3300 Turkeyfoot Rd.";"Edgewood";"KY";41017;"(859) 240-1519";"5980 Kinney Rd.";" Lewisville";27023;"03/31/2020";45;"School_Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"KENTON";"L383856";"AlphaBest at Ft. Wright Elementary";"501 Farrell Dr.";"Ft. Wright";"KY";41011;"(859) 240-1519";"5900 Kinney Rd.";" Lewisville";27023;"04/30/2020";45;"School_Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"KENTON";"L383855";"AlphaBest at Hinsdale Elementary";"440 Dudley Road";"Edgewood";"KY";41017;"(859) 240-1519";"5980 Kinney Rd.";" Lewisville";27023;"04/30/2020";45;"School_Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"KENTON";"L383854";"AlphaBest at Kenton Elementary";"11246 Madison Pike";"Independence";"KY";41051;"(859) 240-1519";"5980 Kinney Rd.";" Lewisville";27023;"04/30/2020";45;"School_Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"KENTON";"L383853";"AlphaBest at Piner Elementary";"2845 Piner Ridge Rd.";"Morning View";"KY";41063;"(859) 240-1519";"5980 Kinney Rd.";" Lewisville";27023;"05/31/2020";45;"School_Age";"N";"No Information Available";1;"Licensed";"N";;"Y"
"KENTON";"L383986";"AlphaBest Education - White's Tower Elementary School";"2977 Harris Pike";"Independence";"KY";41051;"(859) 240-1519";"5234 Parkview Ave";" Cincinnati";45238;"02/29/2020";45;"School_Age";"N";"No Information Available";1;"Licensed";"N";;"No Information Available"
"KENTON";"L383849";"AlphaBest Education Inc";"1029 Bristow Rd.";"Independence";"KY";41051;"(859) 240-1519";"5980 Kinney Road";" Lewisville";27023;"03/31/2020";45;"School_Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"JEFFERSON";"L383428";"Alphabet Kids Preschool Ky";"4809 Bardstown Rd";"Louisville";"KY";40291;"(502) 384-3562";"8707 Kings Lynn Lane";" Louisville";40220;"01/31/2020";40;"Infant To School Age";"Y";"Y";1;"Licensed";"Y";;"N"
"CAMPBELL";"L357327";"Alphaland Childcare";"112 Renshaw Rd.";"Highland Heights";"KY";41076;"(859) 441-8954";"112 Renshaw Road";" Highland Heights";41076;"12/31/2020";90;"Infant To School Age";"N";"N";4;"Licensed";"Y";;"No Information Available"
"WARREN";"L354941";"Alvaton After-School Program";"6350 Old Scottsville Road";"Alvaton";"KY";42122;"(270) 991-3426";"1227 Westen Avenue";" Bowling Green";42104;"03/31/2020";75;"School_Age";"Y";"N";1;"Licensed";"Y";;"Y"
"BOONE";"L383983";"AM Yealey Elementary YMCA Kids";"10 Yealey Drive";"Florence";"KY";41042;"(859) 334-6508";"5874 Veterans Way";" Burlington";41005;"02/28/2021";150;"Two_To_School To School_Age";"N";"No Information Available";1;"Licensed";"N";;"Y"
"JEFFERSON";"L383971";"Amazing Child Development";"1148 South 6th Street";"Louisville";"KY";40203;"(502) 457-1473";"1148 South 6th Street";" Louisville";40203;"02/29/2020";30;"Two_To_School To School_Age";"N";"Y";1;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L383659";"Amazing Childcare Learning Center 1";"517 W. Breckinridge St.";"Louisville";"KY";40203;"(502) 690-7185";"517 W. Breckinridge St.";" Louisville";40203;"01/31/2020";108;"Infant To School Age";"N";"Y";1;"Licensed";"Y";;"Y"
"JEFFERSON";"L383661";"Amazing Childcare Learning Center 2";"831 S. 6th St.";"Louisville";"KY";40203;"(502) 919-8816";"831 S. 6th St.";" Louisville";40203;"02/29/2020";56;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"JEFFERSON";"C3263";"Amie Higgs";"7710 Legler Drive";"Louisville";"KY";40258;"(502) 447-7914";"7710 Legler Drive";" Louisville";40258;"09/30/2020";6;"No Information Available";"N";"N";1;"Certified";"N";;"No Information Available"
"HARDIN";"L383800";"Amos House Academy";"100 Vineland Center Drive, Suite 10";"Vine Grove";"KY";40175;"(270) 877-6161";"100 Vineland Center Drive, Suite 10";" Vine Grove";40175;"12/31/2020";75;"Infant To School Age";"N";"No Information Available";1;"Licensed";"Y";;"Y"
"KENTON";"C5613";"Amy Tackett";"155 Hillwood Court";"Erlanger";"KY";41018;"(859) 647-1784";"155 Hillwood Court";" Erlanger";41018;"04/30/2021";6;"No Information Available";"N";"No Information Available";1;"Certified";"N";;"No Information Available"
"JEFFERSON";"L383759";"And Over the Moon and Back Childcare";"5907 Six Mile Lane";"Louisville";"KY";40218;"(502) 821-1904";"5907 Six Mile Lane";" Louisville";40218;"08/31/2020";43;"Infant To School Age";"Y";"Y";1;"Licensed";"Y";;"No Information Available"
"ANDERSON";"L352106";"Anderson County Head Start/Daycare Center";"1593 Harrodsburg Road";"Lawrenceburg";"KY";40342;"(502) 839-7202";"1593 Harrodsburg Road";" Lawrenceburg";40342;"12/31/2020";106;"Two_To_School To School_Age";"Y";"N";5;"Licensed";"Y";;"Y"
"ANDERSON";"L356372";"Anderson County Kids Club";"1338 Alton Station Road";"Lawrenceburg";"KY";40342;"(502) 839-5675";"1338 Alton Station Road";" Lawrenceburg";40342;"05/31/2020";30;"Two_To_School To School_Age";"N";"N";4;"Licensed";"Y";;"Y"
"JEFFERSON";"C71081";"Anesha Young";"1651 Russell Lee Dr.";"Louisville";"KY";40211;"(502) 365-4890";"1651 Russell Lee Dr.";" Louisville";40211;"11/30/2021";6;"No Information Available";"N";"Y";1;"Certified";"Y";;"No Information Available"
"JEFFERSON";"C6147";"Angel Faces Home Daycare Center";"818 Flicker Road";"Louisville";"KY";40214;"(502) 363-3512";"818 Flicker Road";" Louisville";40214;"07/31/2021";6;"No Information Available";"N";"Y";1;"Certified";"Y";;"No Information Available"
"JEFFERSON";"L357991";"Angel House Child Development Center";"10407 Taylorsville Road";"Louisville";"KY";40299;"(502) 499-0037";"10407 Taylorsville Road";" Louisville";40299;"02/29/2020";57;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L374177";"Angel House Child Development Center III";"2520 Wallace Avenue";"Louisville";"KY";40205;"(502) 384-1814";"2520 Wallace Avenue";" Louisville";40205;"02/29/2020";73;"Infant To School Age";"N";"No Information Available";3;"Licensed";"Y";;"No Information Available"
"JEFFERSON";"L358782";"Angel House Child Development II";"5607 Greenwood Road";"Louisville";"KY";40258;"(502) 933-6205";"5607 Greenwood Road";" Louisville";40258;"09/30/2020";81;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"No Information Available"
"CAMPBELL";"L358841";"Angels in Training Child Care";"728 6th Avenue";"Dayton";"KY";41074;"(859) 653-0000";"728 6th Avenue";" Dayton";41074;"12/31/2020";39;"Infant To School Age";"N";"N";2;"Licensed";"Y";;"N"
"BOONE";"C5005";"Angel's Playhouse";"9073 Braxton Drive";"Union";"KY";41091;"(859) 384-0839";"9073 Braxton Drive";" Union";41091;"05/31/2021";6;"No Information Available";"N";"N";5;"Certified";"Y";;"Y"
"DAVIESS";"L354051";"Animal Crackers Nursery & Day School";"1304 St. Ann Street";"Owensboro";"KY";42303;"(270) 684-6699";"1304 St. Ann Street";" Owensboro";42303;"12/31/2020";51;"Infant To School Age";"N";"Y";1;"Licensed";"Y";;"No Information Available"
"RUSSELL";"L358238";"Another Tots Landing";"52 Holt Lane";"Russell Springs";"KY";42642;"(270) 866-2211";"P. O. Box 1723";" Russell Springs";42642;"06/30/2020";73;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"Y"
"CALLOWAY";"L354844";"Apple Tree School";"1503 Stadium View Drive";"Murray";"KY";42071;"(270) 753-9356";"1503 Stadium View Drive";" Murray";42071;"11/30/2020";99;"Infant To School Age";"N";"N";3;"Licensed";"Y";;"Y"
"UNION";"L355304";"APPLES Child Care Center";"511 South Mart Street";"Morganfield";"KY";42437;"(270) 952-4192";"511 South Mart Street";" Morganfield";42437;"09/30/2020";99;"School_Age";"Y";"N";3;"Licensed";"Y";;"Y"
"FLEMING";"C71027";"April's Childcare";"1329 Sunset Locust Road";"Hillsboro";"KY";41049;"(606) 876-4833";"1329 Sunset Locust Road";" Hillsboro";41049;"03/31/2020";6;"No Information Available";"N";"No Information Available";1;"Certified";"N";;"No Information Available"
"FAYETTE";"L383126";"Ardor Montessori School";"109 Dennis Drive";"Lexington";"KY";40503;"(859) 276-5858";"109 Dennis Drive";" Lexington";40503;"02/29/2020";38;"Toddler To School_Age";"N";"No Information Available";"Not Participating";"Licensed";"N";;"No Information Available"
"KENTON";"L359263";"Arnett Elementary YMCA Kids";"3552 Kimberly Drive";"Erlanger";"KY";41018;"(859) 534-5700";"5874 Veterans Way";" Burlington";41005;"08/31/2020";138;"School_Age";"N";"N";4;"Licensed";"Y";;"Y"
