"InspectionId";"ProviderId";"InspectionType";"InspectionStartDate";"InspectionStartTime";"InspectionEndDate";"InspectionEndTime";"ReportFilename"
218960;2236;"Investigation";"2017-04-10";"12:45:00";"2017-04-10";"14:35:00";"2236_218960.pdf"
220395;2236;"Investigation";"2017-06-08";"11:14:00";"2017-06-08";"14:14:00";"2236_220395.pdf"
242870;2236;"Renewal Application";"2017-11-28";"11:30:00";"2017-11-28";"14:30:00";"2236_242870.pdf"
245120;2236;"Investigation";"2018-06-12";"10:45:00";"2018-06-12";"10:57:00";"2236_245120.pdf"
246916;2236;"Investigation";"2018-09-18";"11:00:00";"2018-09-18";"11:45:00";"2236_246916.pdf"
247226;2236;"Investigation";"2018-10-16";"10:30:00";"2018-10-16";"11:33:00";"2236_247226.pdf"
220307;2236;"Investigation";"2017-05-30";"09:45:00";"2017-05-30";"10:05:00";"2236_220307.pdf"
247468;2236;"Renewal Application";"2018-11-07";"09:45:00";"2018-11-07";"12:03:00";"2236_247468.pdf"
289871;2236;"Investigation";"2019-06-06";"08:38:00";"2019-06-06";"14:44:00";"2236_289871.pdf"
292024;2236;"Investigation";"2019-11-18";"11:30:00";"2019-11-18";"11:30:00";"2236_292024.pdf"
292099;2236;"Renewal Application";"2019-12-03";"10:32:00";"2019-12-03";"14:36:00";"2236_292099.pdf"
292565;2236;"Investigation";"2020-01-13";"13:00:00";"2020-01-13";"15:00:00";"2236_292565.pdf"
293199;2236;"Investigation";"2020-03-11";"10:00:00";"2020-03-11";"10:45:00";"2236_293199.pdf"
306151;2236;"Renewal Application";"2021-04-12";"09:45:00";"2021-04-12";"11:10:00";"2236_306151.pdf"
320796;2236;"Renewal Application";"2022-03-31";"10:35:00";"2022-03-31";"12:00:00";"2236_320796.pdf"
321186;2236;"Investigation";"2022-05-10";"08:53:00";"2022-05-10";"09:11:00";"2236_321186.pdf"
825;73635;"Renewal Application";"2011-12-08";"14:00:00";"2011-12-08";"16:00:00";"73635_825.pdf"
2621;73635;"Investigation";"2011-12-06";"14:00:00";"2011-12-06";"14:40:00";"73635_2621.pdf"
11631;73635;"Investigation";"2012-07-25";"16:10:00";"2012-07-25";"16:30:00";"73635_11631.pdf"
14937;73635;"Renewal Application";"2012-12-05";"14:45:00";"2012-12-05";"16:52:00";"73635_14937.pdf"
52953;73635;"Renewal Application";"2013-11-20";"09:15:00";"2013-11-20";"12:00:00";"73635_52953.pdf"
128111;73635;"Renewal Application";"2014-11-03";"14:00:00";"2014-11-03";"16:00:00";"73635_128111.pdf"
149366;73635;"Investigation";"2015-02-24";"13:00:00";"2015-02-24";"14:35:00";"73635_149366.pdf"
203113;73635;"Renewal Application";"2015-11-20";"14:15:00";"2015-11-20";"16:30:00";"73635_203113.pdf"
218193;73635;"Renewal Application";"2017-01-17";"14:20:00";"2017-01-17";"17:30:00";"73635_218193.pdf"
219734;73635;"Investigation";"2017-04-10";"10:00:00";"2017-04-10";"10:30:00";"73635_219734.pdf"
242611;73635;"Renewal Application";"2017-11-30";"14:30:00";"2017-11-30";"16:48:00";"73635_242611.pdf"
247188;73635;"Renewal Application";"2018-11-13";"14:25:00";"2018-11-13";"16:15:00";"73635_247188.pdf"
291646;73635;"Renewal Application";"2019-11-20";"15:02:00";"2019-11-20";"16:18:00";"73635_291646.pdf"
306317;73635;"Renewal Application";"2021-02-25";"13:30:00";"2021-02-25";"14:45:00";"73635_306317.pdf"
320382;73635;"Renewal Application";"2022-03-24";"13:30:00";"2022-03-24";"15:25:00";"73635_320382.pdf"
40286;105464;"Initial Application";"2013-05-31";"10:00:00";"2013-05-31";"11:30:00";"105464_40286.pdf"
41292;105464;"Renewal Application";"2013-09-24";"08:50:00";"2013-09-24";"10:15:00";"105464_41292.pdf"
319811;105464;"Renewal Application";"2021-12-14";"09:20:00";"2021-12-14";"10:30:00";"105464_319811.pdf"
322183;105464;"Renewal Application";"2022-08-10";"10:00:00";"2022-08-10";"11:20:00";"105464_322183.pdf"
304498;105464;"Renewal Application";"2020-09-16";"11:45:00";"2020-09-16";"13:10:00";"105464_304498.pdf"
290423;105464;"Renewal Application";"2019-07-26";"09:12:00";"2019-07-26";"12:10:00";"105464_290423.pdf"
245723;105464;"Renewal Application";"2018-08-20";"10:30:00";"2018-08-20";"12:00:00";"105464_245723.pdf"
245566;105464;"Change of Location";"2018-07-11";"08:00:00";"2018-07-11";"10:00:00";"105464_245566.pdf"
220799;105464;"Renewal Application";"2017-08-17";"09:20:00";"2017-08-17";"11:10:00";"105464_220799.pdf"
216138;105464;"Renewal Application";"2016-07-20";"09:15:00";"2016-07-20";"11:00:00";"105464_216138.pdf"
191371;105464;"Renewal Application";"2015-08-31";"08:55:00";"2015-08-31";"10:20:00";"105464_191371.pdf"
106865;105464;"Renewal Application";"2014-08-21";"08:20:00";"2014-08-21";"09:45:00";"105464_106865.pdf"
532;79;"Renewal Application";"2011-12-08";"09:15:00";"2011-12-08";"11:30:00";"79_532.pdf"
8576;79;"Investigation";"2012-03-28";"09:00:00";"2012-03-28";"10:45:00";"79_8576.pdf"
8820;79;"Investigation";"2012-03-28";"09:00:00";"2012-03-28";"10:45:00";"79_8820.pdf"
14920;79;"Renewal Application";"2012-12-05";"09:00:00";"2012-12-05";"12:20:00";"79_14920.pdf"
16359;79;"Investigation";"2013-01-17";"14:45:00";"2013-01-17";"16:20:00";"79_16359.pdf"
41249;79;"Investigation";"2013-08-16";"08:45:00";"2013-08-16";"09:00:00";"79_41249.pdf"
51939;79;"Investigation";"2013-09-10";"09:00:00";"2013-09-10";"10:30:00";"79_51939.pdf"
52958;79;"Renewal Application";"2013-11-15";"09:00:00";"2013-11-15";"13:00:00";"79_52958.pdf"
128110;79;"Renewal Application";"2014-11-25";"09:56:00";"2014-11-25";"12:12:00";"79_128110.pdf"
139223;79;"Investigation";"2015-02-13";"07:45:00";"2015-02-13";"10:00:00";"79_139223.pdf"
203114;79;"Renewal Application";"2015-11-24";"10:25:00";"2015-11-24";"13:35:00";"79_203114.pdf"
215748;79;"Investigation";"2016-06-15";"15:00:00";"2016-06-15";"16:30:00";"79_215748.pdf"
216455;79;"Investigation";"2016-07-27";"12:28:00";"2016-07-27";"13:20:00";"79_216455.pdf"
242607;79;"Renewal Application";"2017-11-08";"08:50:00";"2017-11-08";"11:35:00";"79_242607.pdf"
247184;79;"Renewal Application";"2018-10-15";"09:30:00";"2018-10-15";"12:00:00";"79_247184.pdf"
290150;79;"Investigation";"2019-07-02";"09:55:00";"2019-07-02";"10:43:00";"79_290150.pdf"
291642;79;"Renewal Application";"2019-11-18";"09:00:00";"2019-11-18";"12:00:00";"79_291642.pdf"
305788;79;"Renewal Application";"2021-02-02";"09:45:00";"2021-02-02";"15:00:00";"79_305788.pdf"
220126;79;"Investigation";"2017-06-02";"10:00:00";"2017-06-27";"16:00:00";"79_220126.pdf"
219341;79;"Investigation";"2017-03-27";"13:00:00";"2017-03-27";"13:30:00";"79_219341.pdf"
218195;79;"Renewal Application";"2017-01-04";"08:20:00";"2017-01-04";"13:05:00";"79_218195.pdf"
214195;79;"Investigation";"2016-02-22";"10:40:00";"2016-02-22";"12:15:00";"79_214195.pdf"
213494;79;"Investigation";"2015-12-03";"12:50:00";"2015-12-03";"14:33:00";"79_213494.pdf"
53107;79;"Investigation";"2013-11-15";"11:30:00";"2013-11-15";"13:00:00";"79_53107.pdf"
52637;79;"Investigation";"2013-10-10";"09:15:00";"2013-10-10";"10:48:00";"79_52637.pdf"
41850;79;"Investigation";"2013-09-10";"09:00:00";"2013-09-10";"10:30:00";"79_41850.pdf"
40622;79;"Investigation";"2013-07-10";"14:15:00";"2013-07-10";"15:31:00";"79_40622.pdf"
19158;79;"Investigation";"2013-05-01";"09:00:00";"2013-05-01";"11:00:00";"79_19158.pdf"
12585;79;"Investigation";"2012-08-27";"14:55:00";"2012-08-27";"16:00:00";"79_12585.pdf"
3621;79;"Investigation";"2011-12-06";"08:30:00";"2011-12-09";"15:30:00";"79_3621.pdf"
320325;79;"Renewal Application";"2022-03-07";"08:50:00";"2022-03-07";"12:05:00";"79_320325.pdf"
246038;191473;"Change of Ownership";"2018-08-06";"14:55:00";"2018-08-07";"15:00:00";"191473_246038.pdf"
291145;191473;"Renewal Application";"2019-10-02";"14:20:00";"2019-10-02";"16:10:00";"191473_291145.pdf"
305581;191473;"Renewal Application";"2020-12-02";"09:55:00";"2020-12-02";"11:20:00";"191473_305581.pdf"
307924;191473;"Investigation";"2021-07-16";"11:15:00";"2021-07-16";"11:30:00";"191473_307924.pdf"
319824;191473;"Renewal Application";"2022-02-28";"03:15:00";"2022-02-28";"16:40:00";"191473_319824.pdf"
8121;75390;"Renewal Application";"2012-04-30";"15:00:00";"2012-04-30";"16:15:00";"75390_8121.pdf"
10702;75390;"Investigation";"2012-06-11";"12:20:00";"2012-06-11";"13:30:00";"75390_10702.pdf"
17764;75390;"Renewal Application";"2013-04-17";"15:15:00";"2013-04-17";"16:15:00";"75390_17764.pdf"
54635;75390;"Renewal Application";"2014-04-10";"14:20:00";"2014-04-10";"15:20:00";"75390_54635.pdf"
149535;75390;"Renewal Application";"2015-04-22";"14:33:00";"2015-04-22";"16:00:00";"75390_149535.pdf"
214610;75390;"Renewal Application";"2016-03-08";"08:50:00";"2016-03-08";"10:40:00";"75390_214610.pdf"
219230;75390;"Renewal Application";"2017-04-20";"09:20:00";"2017-04-20";"11:30:00";"75390_219230.pdf"
219836;75390;"Investigation";"2017-04-25";"15:15:00";"2017-04-25";"16:30:00";"75390_219836.pdf"
278961;75390;"Renewal Application";"2019-03-20";"09:55:00";"2019-03-20";"11:30:00";"75390_278961.pdf"
293550;75390;"Renewal Application";"2020-09-04";"09:20:00";"2020-09-04";"10:25:00";"75390_293550.pdf"
304604;75390;"Investigation";"2020-10-08";"15:36:00";"2020-10-08";"15:46:00";"75390_304604.pdf"
244007;75390;"Renewal Application";"2018-04-17";"08:40:00";"2018-04-17";"10:30:00";"75390_244007.pdf"
243868;75390;"Investigation";"2018-03-14";"10:00:00";"2018-03-14";"11:30:00";"75390_243868.pdf"
219096;75390;"Investigation";"2017-03-01";"15:30:00";"2017-03-01";"16:40:00";"75390_219096.pdf"
306491;75390;"Renewal Application";"2021-03-23";"13:14:00";"2021-03-23";"14:15:00";"75390_306491.pdf"
320544;75390;"Renewal Application";"2022-05-10";"14:40:00";"2022-05-10";"15:30:00";"75390_320544.pdf"
7970;75814;"Renewal Application";"2012-04-16";"14:30:00";"2012-04-16";"15:30:00";"75814_7970.pdf"
15759;75814;"Investigation";"2013-01-04";"15:02:00";"2013-01-04";"15:45:00";"75814_15759.pdf"
17552;75814;"Renewal Application";"2013-03-27";"14:43:00";"2013-03-27";"15:50:00";"75814_17552.pdf"
54572;75814;"Renewal Application";"2014-03-18";"15:05:00";"2014-03-18";"16:20:00";"75814_54572.pdf"
149499;75814;"Renewal Application";"2015-05-05";"15:00:00";"2015-05-05";"16:00:00";"75814_149499.pdf"
214500;75814;"Renewal Application";"2016-03-30";"14:50:00";"2016-03-30";"16:00:00";"75814_214500.pdf"
219138;75814;"Renewal Application";"2017-03-06";"14:58:00";"2017-03-06";"16:45:00";"75814_219138.pdf"
243911;75814;"Renewal Application";"2018-05-21";"14:30:00";"2018-05-21";"15:30:00";"75814_243911.pdf"
278868;75814;"Renewal Application";"2019-04-22";"14:17:00";"2019-04-22";"15:20:00";"75814_278868.pdf"
293478;75814;"Renewal Application";"2020-09-29";"09:30:00";"2020-09-29";"10:50:00";"75814_293478.pdf"
307014;75814;"Renewal Application";"2021-04-21";"13:56:00";"2021-04-21";"15:45:00";"75814_307014.pdf"
320576;75814;"Renewal Application";"2022-04-20";"14:15:00";"2022-04-20";"15:25:00";"75814_320576.pdf"
8118;69649;"Renewal Application";"2012-04-23";"14:00:00";"2012-04-23";"15:30:00";"69649_8118.pdf"
17765;69649;"Renewal Application";"2013-04-08";"15:32:00";"2013-04-08";"17:30:00";"69649_17765.pdf"
54632;69649;"Renewal Application";"2014-05-01";"14:30:00";"2014-05-01";"15:40:00";"69649_54632.pdf"
127548;69649;"Investigation";"2014-10-13";"11:50:00";"2014-10-13";"13:15:00";"69649_127548.pdf"
149536;69649;"Renewal Application";"2015-04-20";"09:20:00";"2015-04-20";"11:40:00";"69649_149536.pdf"
214601;69649;"Renewal Application";"2016-04-27";"10:45:00";"2016-04-27";"12:15:00";"69649_214601.pdf"
219226;69649;"Renewal Application";"2017-03-23";"15:05:00";"2017-03-23";"16:10:00";"69649_219226.pdf"
244003;69649;"Renewal Application";"2018-03-29";"09:00:00";"2018-03-29";"10:00:00";"69649_244003.pdf"
278960;69649;"Renewal Application";"2019-04-25";"14:30:00";"2019-04-25";"16:00:00";"69649_278960.pdf"
293547;69649;"Renewal Application";"2020-09-29";"11:33:00";"2020-09-29";"12:15:00";"69649_293547.pdf"
307054;69649;"Renewal Application";"2021-04-13";"14:31:00";"2021-04-13";"16:11:00";"69649_307054.pdf"
320543;69649;"Renewal Application";"2022-04-20";"14:40:00";"2022-04-20";"16:05:00";"69649_320543.pdf"
8000;1792;"Renewal Application";"2012-05-14";"10:30:00";"2012-05-14";"12:30:00";"1792_8000.pdf"
17622;1792;"Renewal Application";"2013-04-23";"08:20:00";"2013-04-23";"10:00:00";"1792_17622.pdf"
54461;1792;"Renewal Application";"2014-04-10";"11:00:00";"2014-04-10";"12:20:00";"1792_54461.pdf"
149554;1792;"Renewal Application";"2015-04-20";"09:25:00";"2015-04-20";"11:41:00";"1792_149554.pdf"
214531;1792;"Renewal Application";"2016-04-20";"09:35:00";"2016-04-20";"11:40:00";"1792_214531.pdf"
219166;1792;"Renewal Application";"2017-04-21";"10:14:00";"2017-04-21";"12:17:00";"1792_219166.pdf"
243939;1792;"Renewal Application";"2018-04-26";"09:17:00";"2018-04-26";"11:05:00";"1792_243939.pdf"
278895;1792;"Renewal Application";"2019-04-10";"09:30:00";"2019-04-10";"11:00:00";"1792_278895.pdf"
293499;1792;"Renewal Application";"2020-10-27";"10:10:00";"2020-10-27";"11:45:00";"1792_293499.pdf"
307015;1792;"Renewal Application";"2021-04-19";"09:50:00";"2021-04-19";"11:45:00";"1792_307015.pdf"
320601;1792;"Renewal Application";"2022-03-31";"10:12:00";"2022-03-31";"12:38:00";"1792_320601.pdf"
13801;101300;"Initial Application";"2012-10-04";"11:00:00";"2012-10-04";"13:00:00";"101300_13801.pdf"
18261;101300;"Investigation";"2013-04-09";"14:10:00";"2013-04-09";"14:50:00";"101300_18261.pdf"
19756;101300;"Renewal Application";"2013-06-07";"08:45:00";"2013-06-07";"10:35:00";"101300_19756.pdf"
20236;101300;"Investigation";"2013-05-16";"10:40:00";"2013-05-16";"12:00:00";"101300_20236.pdf"
53054;101300;"Investigation";"2013-11-25";"10:30:00";"2013-11-25";"10:40:00";"101300_53054.pdf"
95503;101300;"Renewal Application";"2014-05-16";"09:50:00";"2014-05-16";"11:15:00";"101300_95503.pdf"
127793;101300;"Investigation";"2014-10-06";"11:30:00";"2014-10-06";"11:45:00";"101300_127793.pdf"
138671;101300;"Investigation";"2014-12-15";"09:00:00";"2014-12-15";"10:00:00";"101300_138671.pdf"
170263;101300;"Investigation";"2015-04-24";"11:00:00";"2015-04-24";"12:03:00";"101300_170263.pdf"
170352;101300;"Investigation";"2015-04-17";"10:30:00";"2015-04-17";"11:40:00";"101300_170352.pdf"
180533;101300;"Renewal Application";"2015-06-18";"08:35:00";"2015-06-18";"11:00:00";"101300_180533.pdf"
202855;101300;"Investigation";"2015-10-07";"09:15:00";"2015-10-07";"11:00:00";"101300_202855.pdf"
214280;101300;"Investigation";"2016-02-23";"09:35:00";"2016-02-23";"12:55:00";"101300_214280.pdf"
215474;101300;"Renewal Application";"2016-06-16";"08:53:00";"2016-06-16";"11:10:00";"101300_215474.pdf"
217612;101300;"Investigation";"2016-11-22";"13:30:00";"2016-11-22";"14:15:00";"101300_217612.pdf"
219981;101300;"Renewal Application";"2017-06-27";"09:20:00";"2017-06-27";"11:40:00";"101300_219981.pdf"
221105;101300;"Investigation";"2017-08-14";"14:00:00";"2017-08-14";"14:15:00";"101300_221105.pdf"
244357;101300;"Investigation";"2018-03-14";"13:20:00";"2018-04-03";"12:46:00";"101300_244357.pdf"
244714;101300;"Investigation";"2018-04-13";"09:30:00";"2018-04-13";"10:05:00";"101300_244714.pdf"
244944;101300;"Renewal Application";"2018-05-09";"09:00:00";"2018-05-09";"11:40:00";"101300_244944.pdf"
279112;101300;"Investigation";"2019-03-27";"15:20:00";"2019-04-10";"14:20:00";"101300_279112.pdf"
289724;101300;"Investigation";"2019-05-15";"11:49:00";"2019-05-15";"12:33:00";"101300_289724.pdf"
321287;101300;"Renewal Application";"2022-07-28";"10:00:00";"2022-07-28";"11:50:00";"101300_321287.pdf"
307350;101300;"Renewal Application";"2021-06-17";"09:30:00";"2021-06-17";"12:15:00";"101300_307350.pdf"
293842;101300;"Renewal Application";"2020-07-29";"09:35:00";"2020-07-29";"11:28:00";"101300_293842.pdf"
289759;101300;"Renewal Application";"2019-05-29";"09:05:00";"2019-05-29";"11:30:00";"101300_289759.pdf"
291986;202268;"Initial Application";"2019-10-28";"09:45:00";"2019-10-28";"11:05:00";"202268_291986.pdf"
292453;202268;"Investigation";"2019-12-13";"09:57:00";"2019-12-13";"13:53:00";"202268_292453.pdf"
293575;202268;"Investigation";"2020-03-05";"13:00:00";"2020-03-09";"14:00:00";"202268_293575.pdf"
293612;202268;"Investigation";"2020-03-09";"11:13:00";"2020-03-09";"14:00:00";"202268_293612.pdf"
305732;202268;"Investigation";"2020-12-11";"14:37:00";"2020-12-11";"15:00:00";"202268_305732.pdf"
305911;202268;"Renewal Application";"2021-01-21";"09:50:00";"2021-01-21";"11:41:00";"202268_305911.pdf"
306624;202268;"Investigation";"2021-04-06";"14:30:00";"2021-04-06";"15:00:00";"202268_306624.pdf"
307243;202268;"Investigation";"2021-05-05";"12:35:00";"2021-05-05";"13:30:00";"202268_307243.pdf"
318860;202268;"Investigation";"2021-09-10";"10:30:00";"2021-09-10";"11:13:00";"202268_318860.pdf"
319448;202268;"Renewal Application";"2021-12-03";"09:08:00";"2021-12-03";"11:44:00";"202268_319448.pdf"
8848;70074;"Renewal Application";"2012-04-16";"08:35:00";"2012-04-16";"09:45:00";"70074_8848.pdf"
18488;70074;"Renewal Application";"2013-05-10";"09:15:00";"2013-05-10";"11:00:00";"70074_18488.pdf"
85203;70074;"Renewal Application";"2014-04-24";"09:20:00";"2014-04-24";"11:17:00";"70074_85203.pdf"
160159;70074;"Renewal Application";"2015-05-01";"09:40:00";"2015-05-01";"11:05:00";"70074_160159.pdf"
214988;70074;"Renewal Application";"2016-04-27";"08:50:00";"2016-04-27";"10:05:00";"70074_214988.pdf"
219552;70074;"Renewal Application";"2017-05-12";"09:45:00";"2017-05-12";"11:15:00";"70074_219552.pdf"
244574;70074;"Renewal Application";"2018-05-17";"09:30:00";"2018-05-17";"11:05:00";"70074_244574.pdf"
289302;70074;"Renewal Application";"2019-05-06";"09:30:00";"2019-05-06";"10:45:00";"70074_289302.pdf"
293736;70074;"Renewal Application";"2020-10-13";"09:40:00";"2020-10-13";"12:06:00";"70074_293736.pdf"
307050;70074;"Renewal Application";"2021-04-22";"09:10:00";"2021-04-22";"11:10:00";"70074_307050.pdf"
321025;70074;"Renewal Application";"2022-09-07";"11:15:00";"2022-09-07";"14:20:00";"70074_321025.pdf"
8402;61688;"Renewal Application";"2012-03-21";"10:35:00";"2012-03-21";"13:35:00";"61688_8402.pdf"
18382;61688;"Renewal Application";"2013-05-28";"12:30:00";"2013-05-28";"15:30:00";"61688_18382.pdf"
74946;61688;"Renewal Application";"2014-04-02";"10:30:00";"2014-04-02";"15:30:00";"61688_74946.pdf"
149916;61688;"Renewal Application";"2015-04-09";"10:23:00";"2015-04-09";"14:20:00";"61688_149916.pdf"
214961;61688;"Renewal Application";"2016-04-08";"10:35:00";"2016-04-08";"14:20:00";"61688_214961.pdf"
218215;61688;"Investigation";"2016-12-28";"17:30:00";"2017-01-23";"14:15:00";"61688_218215.pdf"
219656;61688;"Renewal Application";"2017-04-07";"10:25:00";"2017-04-07";"14:15:00";"61688_219656.pdf"
244145;61688;"Renewal Application";"2018-03-23";"09:30:00";"2018-03-23";"12:30:00";"61688_244145.pdf"
245030;61688;"Investigation";"2018-05-18";"12:36:00";"2018-05-18";"14:30:00";"61688_245030.pdf"
278620;61688;"Investigation";"2019-02-18";"09:20:00";"2019-02-18";"10:50:00";"61688_278620.pdf"
278774;61688;"Renewal Application";"2019-03-19";"09:30:00";"2019-03-19";"13:00:00";"61688_278774.pdf"
293381;61688;"Renewal Application";"2020-08-04";"10:00:00";"2020-08-04";"13:00:00";"61688_293381.pdf"
304626;61688;"Investigation";"2020-09-28";"09:30:00";"2020-09-28";"11:30:00";"61688_304626.pdf"
307673;61688;"Renewal Application";"2021-06-17";"09:52:00";"2021-06-17";"13:40:00";"61688_307673.pdf"
318745;61688;"Investigation";"2021-09-13";"14:10:00";"2021-09-13";"14:25:00";"61688_318745.pdf"
320083;61688;"Investigation";"2022-01-14";"10:52:00";"2022-01-14";"13:31:00";"61688_320083.pdf"
320911;61688;"Investigation";"2022-04-20";"10:06:00";"2022-04-20";"10:51:00";"61688_320911.pdf"
320709;61688;"Investigation";"2022-03-11";"16:55:00";"2022-03-29";"11:54:00";"61688_320709.pdf"
321652;61688;"Renewal Application";"2022-07-14";"08:40:00";"2022-07-14";"11:11:00";"61688_321652.pdf"
4662;58809;"Investigation";"2012-01-03";"09:30:00";"2012-01-03";"10:30:00";"58809_4662.pdf"
9433;58809;"Renewal Application";"2012-07-11";"09:13:00";"2012-07-11";"12:12:00";"58809_9433.pdf"
19232;58809;"Renewal Application";"2013-05-17";"08:00:00";"2013-05-17";"16:00:00";"58809_19232.pdf"
95275;58809;"Renewal Application";"2014-05-23";"10:00:00";"2014-05-23";"13:30:00";"58809_95275.pdf"
170410;58809;"Renewal Application";"2015-06-10";"10:00:00";"2015-06-10";"12:45:00";"58809_170410.pdf"
214144;58809;"Investigation";"2016-02-18";"16:34:00";"2016-02-18";"17:55:00";"58809_214144.pdf"
215418;58809;"Renewal Application";"2016-05-03";"10:05:00";"2016-05-03";"13:40:00";"58809_215418.pdf"
216657;58809;"Investigation";"2016-08-25";"13:41:00";"2016-08-25";"14:40:00";"58809_216657.pdf"
216922;58809;"Investigation";"2016-09-08";"08:30:00";"2016-09-08";"12:30:00";"58809_216922.pdf"
220066;58809;"Renewal Application";"2017-06-06";"10:23:00";"2017-06-06";"13:20:00";"58809_220066.pdf"
244677;58809;"Renewal Application";"2018-05-09";"10:12:00";"2018-05-09";"13:30:00";"58809_244677.pdf"
289257;58809;"Renewal Application";"2019-04-18";"10:13:00";"2019-04-18";"13:36:00";"58809_289257.pdf"
294057;58809;"Renewal Application";"2020-07-17";"08:15:00";"2020-07-17";"11:30:00";"58809_294057.pdf"
321843;58809;"Renewal Application";"2022-08-24";"09:45:00";"2022-08-24";"11:55:00";"58809_321843.pdf"
318110;58809;"Renewal Application";"2021-07-27";"09:30:00";"2021-07-27";"11:15:00";"58809_318110.pdf"
292711;202319;"Initial Application";"2020-01-21";"09:30:00";"2020-01-21";"13:00:00";"202319_292711.pdf"
306615;202319;"Investigation";"2021-03-31";"10:30:00";"2021-03-31";"10:35:00";"202319_306615.pdf"
319322;202319;"Renewal Application";"2021-11-15";"14:45:00";"2021-11-15";"16:30:00";"202319_319322.pdf"
322005;202319;"Renewal Application";"2022-08-24";"04:30:00";"2022-08-24";"17:50:00";"202319_322005.pdf"
15025;105;"Investigation";"2012-11-28";"12:10:00";"2012-11-28";"12:35:00";"105_15025.pdf"
106086;105;"Investigation";"2014-06-10";"14:20:00";"2014-06-10";"15:10:00";"105_106086.pdf"
127976;105;"Investigation";"2014-10-15";"12:15:00";"2014-10-15";"12:44:00";"105_127976.pdf"
192535;105;"Investigation";"2015-10-08";"11:40:00";"2015-10-08";"12:15:00";"105_192535.pdf"
219716;105;"Investigation";"2017-04-06";"15:00:00";"2017-04-06";"15:30:00";"105_219716.pdf"
220512;105;"Investigation";"2017-06-19";"09:25:00";"2017-06-19";"10:00:00";"105_220512.pdf"
138852;105;"Renewal Application";"2015-02-06";"09:15:00";"2015-02-06";"10:55:00";"105_138852.pdf"
106489;105;"Investigation";"2014-07-14";"10:27:00";"2014-07-14";"11:46:00";"105_106489.pdf"
95573;105;"Investigation";"2014-05-08";"09:00:00";"2014-05-08";"10:03:00";"105_95573.pdf"
95476;105;"Investigation";"2014-05-01";"09:35:00";"2014-05-01";"11:05:00";"105_95476.pdf"
53684;105;"Renewal Application";"2014-02-24";"09:30:00";"2014-02-24";"11:20:00";"105_53684.pdf"
53128;105;"Investigation";"2013-11-14";"14:00:00";"2013-11-14";"16:30:00";"105_53128.pdf"
20104;105;"Investigation";"2013-05-15";"08:00:00";"2013-05-15";"09:05:00";"105_20104.pdf"
16283;105;"Renewal Application";"2013-01-17";"09:50:00";"2013-01-17";"12:15:00";"105_16283.pdf"
5593;105;"Renewal Application";"2012-02-28";"08:48:00";"2012-02-28";"11:15:00";"105_5593.pdf"
218416;105;"Renewal Application";"2017-02-23";"09:40:00";"2017-02-23";"11:50:00";"105_218416.pdf"
213883;105;"Renewal Application";"2016-02-02";"10:15:00";"2016-02-02";"11:45:00";"105_213883.pdf"
220574;105;"Investigation";"2017-06-21";"09:00:00";"2017-06-21";"09:45:00";"105_220574.pdf"
220829;105;"Investigation";"2017-07-07";"08:55:00";"2017-07-07";"09:30:00";"105_220829.pdf"
231544;105;"Investigation";"2017-08-30";"12:00:00";"2017-08-30";"12:45:00";"105_231544.pdf"
