"ID";"Name";"Address";"State";"City";"Zip";"Phone";"Services";"License Expires";"Capacity";"Facility Type";"DetailsRef";"Contact Name";"Financial Assistance";"Additional Classroom Types";"Night and Weekend Hours";"Meals Served";"Languages Spoken";"Bright Stars Rating";"RIDE CECE Approval";"Foundational Regulations";"Accepts CCAP";"Last date updated";"Website";"About Us";"Operation Hours Monday";"Operation Hours Tuesday";"Operation Hours Wednesday";"Operation Hours Thursday";"Operation Hours Friday";"Operation Hours Saturday";"Operation Hours Sunday";"Age Group"
232;"Genesis Child Dev. &amp; Learn. Ctr.";"620 POTTERS AVE";"RI";"Providence";2907;"(401) 781-6110";;;53;"Center";"https://exceed.ri.gov/program-search-details/232";"Adry Mijares";"CCAP";"Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";5;"No";"DHS";"Yes";6/1/2020;"http://www.gencenter.org";"The Genesis Child Development and Learning Center provides a curriculum that focuses on building positive relationships within the classroom, attaining social-emotional competence, learning through constructive and purposeful play, using the environment of the classroom to affect learning and interactions, and building a partnership with families. We believe that learning can occur naturally when the curriculum is designed to be interesting, engaging, developmentally appropriate, culturally appropriate, and individually appropriate.";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";;;"2 months - 4 years, 3 - 5 years"
254;"Woonsocket Head Start/Bourdon Blvd";"2 BOURDON BLVD.";"RI";"Woonsocket";2895;"(401) 767-1018";;;30;"Center";"https://exceed.ri.gov/program-search-details/254";"Jody Ragosta";"CCAP";"Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";5;"N/A";"DHS";"Yes";5/31/2020;;"This program has not yet provided this information.";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";;;"3 - 5 years"
663;"Fox Point Boys & Girls Club";"90 Ives Street";"RI";"Providence";2906;"(401) 444-0758";;;100;"Center";"https://exceed.ri.gov/program-search-details/663";"Ryan Queenan";"Financial Aid,CCAP";"Not Applicable";"None";"Breakfast,Lunch,Dinner";"Spanish";5;"N/A";"DHS";"Yes";6/3/2020;"http://www.bgcprov.org";"This program has not yet provided this information.";"2:00pm - 6:00pm";"2:00pm - 6:00pm";"2:00pm - 6:00pm";"2:00pm - 6:00pm";"2:00pm - 6:00pm";;;"5+ years"
937;"Tower St., Community Ctr. Before &";"93 Tower Street";"RI";"Westerly";2891;"(401) 348-2788";;;109;"Center";"https://exceed.ri.gov/program-search-details/937";"Angela Nobile";"CCAP";"Not Applicable";"None";"Breakfast,Morning,Snack,Afternoon,Snack";"Chinese,Spanish";5;"N/A";"DHS";"Yes";6/4/2020;;"This program has not yet provided this information.";"6:45am - 6:00pm";"6:45am - 6:00pm";"6:45am - 6:00pm";"6:45am - 6:00pm";"6:45am - 6:00pm";;;"3 - 5 years, 5+ years"
974;"Charlestown Early Learning Center";"4605 Old Post Road";"RI";"Charlestown";2813;"(401) 364-0645";;;38;"Center";"https://exceed.ri.gov/program-search-details/974";"Margaret Kelley";"CCAP";"Not Applicable";"None";;;5;"No";"DHS";"Yes";6/1/2020;"http://charlestownearlylearning.org";"This program has not yet provided this information.";"8:30am - 3:00pm";"8:30am - 3:00pm";"8:30am - 3:00pm";"8:30am - 3:00pm";"8:30am - 12:00pm";;;"3 - 5 years"
975;"St. Andrew Preschool";"15 East Beach Road";"RI";"Charlestown";2813;"(401) 322-9256";;;18;"Center";"https://exceed.ri.gov/program-search-details/975";"Kerry Gallup";"CCAP";"Not Applicable";"None";;;5;"No";"DHS";"Yes";6/3/2020;;"This program has not yet provided this information.";"8:30am - 1:30pm";"8:30am - 1:30pm";"8:30am - 1:30pm";"8:30am - 1:30pm";"8:30am - 1:30pm";;;"3 - 5 years"
1041;"Hand in Hand Christian Pre  LLC";"55 Woodland Street";"RI";"Lincoln";2865;"(401) 333-0303";;;18;"Center";"https://exceed.ri.gov/program-search-details/1041";"Laurie Denio";"Financial Aid,CCAP";"Not Applicable";"None";"Morning,Snack";;5;"No";"DHS";"Yes";6/1/2020;"http://www.handinhandcp.com";"We are a half-day, faith-based preschool that helps prepare children for elementary school in a warm, caring and developmentally appropriate environment. We use play and hands on learning experiences to help accomplish these goals.";"9:00am - 1:30pm";"9:00am - 1:30pm";"9:00am - 1:30pm";"9:00am - 1:30pm";"9:00am - 1:30pm";;;"3 - 5 years"
2930;"Margaret I. Robertson School";"135 Hunt Street";"RI";"Central Falls";2863;"(401) 727-7733";;;18;"School";"https://exceed.ri.gov/program-search-details/2930";"Kimberly Leimer";"Information  by program";"State Pre-K";"None";"Breakfast,Morning,Snack,Lunch,Afternoon,Snack";"Creole,Spanish";5;"No";"DHS";"No";6/22/2020;"https://www.cfschools.net/o/margaret-i-robertson-kindergarten";"MI Robertson School is a public early learning center  located in Central Falls, Rhode Island. Central Falls is one square mile that borders Providence. The school provides an inclusive preschool experience for any preschool age child with an Individualized Education Plan (IEP) in Central Falls. Approximately twenty percent of the preschool age students at MI Robertson have an IEP. Eighteen preschool students in total are chosen through the State of Rhode Island Pre-Kindergarten lottery for the DUAL LANGUAGE PREK class at MI Robertson. Approximately another 200 preschool students are chosen for full or half day programs at Captain Hunt School which is the other public early learning center that is part of the Central Falls public schools. Fifty four spaces at Captain Hunt School are filled by students who are chosen through the Department of Education lottery. The other spaces are chosen with the same protocol and systems as the State of Rhode Island Pre- Kindergarten program lottery but facilitated by the district of Central Falls itself.    Our school is a safe and nurturing environment that respects and embraces cultural, economic, and ethnic diversity. The MI Robertson DUAL LANGUAGE PREK professional community work in conjunction with the Captain Hunt School professional community to meet the academic, social, emotional and physical needs of all children who participate in the program. Approximately 200 students attend the preschool program at Captain Hunt School and another 18 students are enrolled in the DUAL LANGUAGE PREK at MI Robertson. All children and families who reside in Central Falls are welcome to apply for the program. All families interested in the program are given tours and information. Children screened by Central Falls Outreach Team who are determined eligible for an Individualized Education Plan (IEP)/services at Captain Hunt School or MI Robertson School are given a program at Captain Hunt School or MI Robertson Elementary in alignment with their needs. Students not eligible for a program/classroom at Captain Hunt School or MI Robertson School are placed in a database reflective of the system used by the State Pre-Kindergarten Program at the Department of Education. When spaces become available, the computer generates a randomized list in order for all families interested to have equal opportunity for the program. The Department of Education funds 3 all day Pre-Kindergarten classes at Captain Hunt School and 1 at MI Robertson School. RIDE chose the names of the students who will participate in the 3 classrooms at Captain Hunt School and the DUAL LANGUAGE PREK at MI Robertson School. Those names are chosen from applications that are submitted to their system after parents complete and submit the application to the Captain Hunt School, MI Robertson School and/or the Central Falls Public School District.  Many of the children and families speak other languages at home but most of the children speak Spanish. Each classroom at Captain Hunt School has at least one teacher or Teacher Assistant who speaks Spanish in order to communicate with children and families. All 3 Teachers in the MI Robertson School DUAL LANGUAGE PREK are bi-lingual. (Spanish.) Teachers all have the Department of Education's certification to be an Early Childhood Teacher in a public school in Rhode Island.  Teachers are trained in working with English Language Learners and four early childhood  teachers have certification from the Department of Education in order to be teachers of English Language Learners.    Captain Hunt School and MI Robertson Schools are proud to welcome children who may have special needs. Those special needs include  developmental delays and disabilities, mental health diagnosis, behavioral challenges and physical challenges. Special Education services at Captain Hunt School and MI Robertson School are available to all students and families who have residence in our city, without exception.    We believe that every child is unique and valued and so, as a school, every effort is made to provide special education services to children within their general education environment here in Central Falls. That happens at Captain Hunt School and MI Robertson School. Depending upon the classroom community, certified special education teachers consult with general education teachers as needed. Sometimes, special educators provide direct service to students within the child's classroom, as appropriate/determined by a child's Individualized Education Plan. Five Speech Therapists, a Psychologist, a Guidance Counselor, a Social Worker, an Occupational Therapist and a Physical Therapist also provide support to children and families at Captain Hunt School  and MI Robertson School as needed/determined by Individualized Education Plan. A full-time Home School Liaison also provide information, resources, connections, collaboration, support and translation as needed ~to families as they navigate Captain Hunt School and MI Robertson School as their child's first public school experience.";"8:15am - 2:30pm";"8:15am - 2:30pm";"8:15am - 2:30pm";"8:15am - 2:30pm";"8:15am - 2:30pm";;;"3 - 5 years"
2931;"Imagine Preschool";"520 Hope Street";"RI";"Providence";2906;"(401) 825-1152";;;54;"Center";"https://exceed.ri.gov/program-search-details/2931";"Andrea  Weidele";"CCAP";"State Pre-K";"None";"Breakfast,Lunch,Afternoon,Snack";"Creole,Portuguese,Spanish";5;"N/A";"DHS";"Yes";6/1/2020;;"This program has not yet provided this information.";"7:30am - 5:00pm";"7:30am - 5:00pm";"7:30am - 5:00pm";"7:30am - 5:00pm";"7:30am - 5:00pm";;;"3 - 5 years"
3357;"Ready To Learn Providence";"1 Hilton Street";"RI";"Providence";2903;"(401) 276-4820";;;20;"Center";"https://exceed.ri.gov/program-search-details/3357";"Bethany Carpenter";"Information  by program";"State Pre-K";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";5;"N/A";"DHS";"No";6/2/2020;"http://www.r2lp.org/pre-k-classroom/";"This program has not yet provided this information.";"8:30am - 2:45pm";"8:30am - 2:45pm";"8:30am - 2:45pm";"8:30am - 2:45pm";"8:30am - 2:45pm";;;"3 - 5 years"
196;"Capital City-Smith Hill ECLC";"25 Danforth Street";"RI";"Providence";2908;"(401) 455-3890";;;108;"Center";"https://exceed.ri.gov/program-search-details/196";"Debbie Durant";"Financial Aid,CCAP";"State Pre-K";"None";"Breakfast,Morning,Snack,Lunch,Afternoon,Snack";"Spanish";5;"Yes";"DHS";"Yes";6/1/2020;"http://www.capitalcitycommunitycenter.org";"Our center supports all children ages three through five years. We have 1 preschool and  5 state Pre-K classrooms.";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";;;"3 - 5 years"
1128;"YWCA RI Steam Engine";"133 Delaine St.";"RI";"Providence";2909;"(401) 351-2241";;;120;"Center";"https://exceed.ri.gov/program-search-details/1128";"Tinisha Brice";"CCAP";"Not Applicable";"None";"Afternoon,Snack";"Spanish";4;"N/A";"DHS";"Yes";6/6/2020;;"The STEAM Engine Youth Enrichment Program is located at 133 Delaine Street at YWCA Rhode Island's Providence Community Center.";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";;;"5+ years"
1133;"Rhode Island School for the Deaf";"One Corliss Park";"RI";"Providence";2908;"(401) 222-3525";;;;"School";"https://exceed.ri.gov/program-search-details/1133";"Nancy Maguire Heath";"Information  by program";"Not Applicable";"None";"Breakfast,Morning,Snack,Lunch";"American,Sign,Language,English";4;"No";"Basic Education Program";"No";6/9/2020;;"Our dual language program serves deaf and hard of hearing children ages 3-5 in a modern school facility. We offer a bilingual, bimodal school program using English and American Sign Language. Our teachers are Master's level educators with extensive experience. An art teacher, speech &amp; language therapists, an occupational therapist, an audiologist and a school psychologist make up the remainder of the faculty. Door-to-door transportation is available through local school districts.";"8:00am - 1:00pm";"8:00am - 1:00pm";"8:00am - 1:00pm";"8:00am - 1:00pm";"8:00am - 1:00pm";;;"3 - 5 years"
1144;"Maple Hill Early Learning";"3383 Mendon Road";"RI";"Cumberland";2864;"(401) 405-0556";;;53;"Center";"https://exceed.ri.gov/program-search-details/1144";"Elaine Remillard";"CCAP";"Not Applicable";"None";;;4;"N/A";"DHS";"Yes";6/1/2020;;"This program has not yet provided this information.";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";;;"3 - 5 years"
1369;"Cranston Early Learning Center";"45 Sprague Avenue";"RI";"Cranston";2910;(401) 456-9100;;;25;"School";"https://exceed.ri.gov/program-search-details/1369";"Kimberly O'Connell";"Information  by program";"Not Applicable";"None";;;4;"No";"Basic Education Program";"No";6/2/2020;;"This program has not yet provided this information.";"9:00am - 3:00pm";"9:00am - 3:00pm";"9:00am - 3:00pm";"9:00am - 3:00pm";"9:00am - 3:00pm";;;"3 - 5 years"
2981;"Tri-County CAA Westerly Head Start";"34 Pond Street";"RI";"Westerly";2891;"(401) 515-2471";;;71;"Center";"https://exceed.ri.gov/program-search-details/2981";"Barbara  Chadwick";"Information  by program";"Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";;4;"N/A";"DHS";"No";6/4/2020;;"Head Start";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";;;"3 - 5 years"
2982;"Tri-County CAA Charlestown H Start";"4350 South County Trail";"RI";"Charlestown";2813;"(401) 515-2471";;;18;"Center";"https://exceed.ri.gov/program-search-details/2982";"Barbara  Chadwick";"Information  by program";"Head Start/Early Head Start";"None";"Breakfast,Lunch";;4;"N/A";"DHS";"No";6/8/2020;;"Head Start Program";"9:00am - 12:30pm";"9:00am - 12:30pm";"9:00am - 12:30pm";"9:00am - 12:30pm";"9:00am - 12:30pm";;;"3 - 5 years"
2983;"Tri-County CAA S.K. Head Start";"1935 Kingstown Road";"RI";"South Kingstown";2879;"(401) 515-2471";;;26;"Center";"https://exceed.ri.gov/program-search-details/2983";"Barbara  Chadwick";"Information  by program";"Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";4;"N/A";"DHS";"No";6/8/2020;;"Early Head Start and Head Start classrooms";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";;;"2 months - 4 years, 3 - 5 years"
2984;"Tri-County CAA N.K. Head Start";"415 Tower Hill Road";"RI";"North Kingstown";2852;"(401) 515-2471";;;36;"Center";"https://exceed.ri.gov/program-search-details/2984";"Barbara  Chadwick";"Information  by program";"Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";;4;"N/A";"DHS";"No";6/4/2020;;"Head Start";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";;;"3 - 5 years"
2995;"Tri-County CAA - Rockwell";"7 Rockwell Avenue";"RI";"North Providence";2911;"(401) 519-1979";;;18;"Center";"https://exceed.ri.gov/program-search-details/2995";"Holly Audette";"Information  by program";"Head Start/Early Head Start";"None";"Breakfast,Lunch,Afternoon,Snack";"Spanish";4;"N/A";"DHS";"No";6/2/2020;"http://www.Tricountyri.org";"To provide accessible, quality and comprehensive social, educational, health, prevention, and other services to people in need while empowering them to achieve the highest possible level of self-suffiiciency and quality of life.";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";"8:30am - 2:30pm";;;"3 - 5 years"
3669;"Tri-County Comm. AA - Joyful Learn";"1935 Kingstown Road";"RI";"South Kingstown";2879;"(401) 789-2244";;;74;"Center";"https://exceed.ri.gov/program-search-details/3669";"Tara Ward";"CCAP";"Not Applicable";"None";"Breakfast,Lunch,Afternoon,Snack";;4;"N/A";"DHS";"Yes";6/1/2020;"http://www.tricountyri.org";"This program has not yet provided this information.";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";"6:30am - 6:00pm";;;"2 months - 4 years, 3 - 5 years"
41;"Constance Lepine";"89 Bellevue Ave";"RI";"North Smithfield";2896;"(401) 766-8971";;;8;"Home";"https://exceed.ri.gov/program-search-details/41";"Constance Lepine";"CCAP";"Not Applicable";"None";"Breakfast,Morning,Snack,Lunch,Afternoon,Snack";;4;"N/A";"DHS";"Yes";6/1/2020;"http://www.positivestartfamilychildcare.com";"Childcare for a &quot;positive&quot; beginning!  Children learn through play and benefit from a structured yet flexible schedule. Positive Start Family Child Care promotes the childrenвЂ™s ability to develop their own imaginations, choose the types of activities that match with their interests, and to learn to interact with others.     Children learn to interact with various ages giving them a sense of family structure. Positive guidance is used to enhance a child's feelings of self worth. A &quot;you can do it, give it a try, positive mental attitude&quot; approach is encouraged among the children. A happy, healthy, comfortable and safe, child appropriate atmosphere with all the comforts of a family home is at the foundation of our philosophy. Positive Start is вЂњthe best of both worldsвЂќ вЂ“ a small preschool setting in a home atmosphere nestled in Union Village of North Smithfield, Rhode Island. This is your childвЂ™s вЂњhome away from home.вЂќ";;;;;;;;"All age groups"
88;"Child Care Plus Learning Center";"963 Tiogue Avenue";"RI";"Coventry";2816;"(401) 821-0550";;;90;"Center";"https://exceed.ri.gov/program-search-details/88";"Stacey  Rosa";"CCAP";"Not Applicable";"None";"Morning,Snack,Afternoon,Snack";;4;"No";"DHS";"Yes";6/1/2020;"http://ritabeaulieucenter.com/";"Our center has provided exceptional care and education of young children for 27 years.  Child Care Plus is a division of the Rita Beaulieu Center and offers programs for infants, toddlers, preschoolers, and pre-k levels, as well as before- and after-school programs which include transportation to and from school for kindergarten and school-age children.  Open year round, the Center offers above-standard teacher/child ratios and a caring and experienced staff.  The facility is also protected by a high-tech video security system.    The mission of Child Care Plus is to provide individualized care for children, promoting their well-being in the areas of social, emotional, and intellectual development in a safe and nurturing environment.    If you are in search of a child care facility that offers a caring and nurturing environment, experienced teachers, and an age-appropriate curriculum for your child, please take a moment to explore our website and see all that Child Care Plus has to offer!  Then call to make an appointment for a tour of our unique facility!    We accept child care assistance through the Rhode Island Department of Human Services. To find out if you are eligible for state assistance, please contact RIDHS, (401) 462-5300   ";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";;;"2 months - 4 years, 3 - 5 years, 5+ years"
884;"Hidden Hills Early Learning Center";"190 Yawgoo Valley Road";"RI";"Exeter";2822;"(401) 667-0788";;;20;"Center";"https://exceed.ri.gov/program-search-details/884";"Christine Smaldone";"CCAP";"Not Applicable";"None";"Morning,Snack,Afternoon,Snack";;4;"No";"DHS";"Yes";6/2/2020;"http://www.hiddenhillselc.com";"This program has not yet provided this information.";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";"7:00am - 5:30pm";;;"3 - 5 years"
892;"Dr. Pat Feinstein Child Dev.Center";"80 WASHINGTON STREET";"RI";"Providence";2903;"(401) 277-5264";;;36;"Center";"https://exceed.ri.gov/program-search-details/892";"Delia Hall";"CCAP";"Not Applicable";"None";"Morning,Snack,Afternoon,Snack";;4;"No";"DHS";"Yes";6/3/2020;;"The Dr. Pat Feinstein Child Development Center is the University of Rhode Island's early care and education laboratory school.  Each year, over 50 pre-service URI students complete practica in our high quality early care and education program.";"07:45 AM - 05:15 PM";"07:45 AM - 05:15 PM";"07:45 AM - 05:15 PM";"07:45 AM - 05:15 PM";"07:45 AM - 05:15 PM";;;"3 - 5 years"
902;"Kids Junction, Inc";"406 Maple Avenue";"RI";"Barrington";2806;"(401) 245-3928";;;107;"Center";"https://exceed.ri.gov/program-search-details/902";"Denise  Spirito";"CCAP";"Not Applicable";"None";"Morning,Snack,Afternoon,Snack";;4;"No";"DHS";"Yes";6/8/2020;"http://www.KidsJunctionRI.com";"We are a QUALITY childcare center offering care for children ages 3 to 12 years old. We also offer a fun Summer Camp Program...We are open Monday through Friday from 7 AM to 6 PM.";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";"7:00am - 6:00pm";;;"3 - 5 years, 5+ years"
912;"West Bay Christian Academy";"475 School Street";"RI";"North Kingstown";2852;"(401) 884-3600";;;55;"Center";"https://exceed.ri.gov/program-search-details/912";"Nancy Koss";"Financial Aid";"Not Applicable";"None";"Afternoon,Snack";"American,Sign,Language,Spanish";4;"No";"DHS";"No";6/4/2020;;"We are a interdenominational Christian school where all families are welcome. We provide hands on learning centers that meet the students at their level and  prepare them for Kindergarten and a lifetime of learning. Our curriculum is based on the Rhode Island Early Learning and Development Standards and is designed for children ages 3-5.";"7:45am - 3:00pm";"7:45am - 3:00pm";"7:45am - 3:00pm";"7:45am - 3:00pm";"7:45am - 3:00pm";;;"3 - 5 years"
