"ShortName";"ProviderName";"ProviderNumber";"Address";"City";"State";"Zip";"County";"LocationNumber";"FacilityNumber";"Regulations";"ContactName";"ContactPhone";"LicenseeName";"AgesServed";"Stars";"DayCapacity";"NightCapacity";"MonthsOpen";"Accreditation";"Mon";"Tue";"Wed";"Thu";"Fri";"Sat";"Sun";"FacilityID";"GroupSize";"ChildrenUnder7"
"Nicoles Home Care";"Nicoles Home Care";8000567628;"2900 Beaser Ave";"Ashland";"WI";"54806-4615";"Ashland County";3;1011025;"Licensed Family";"Nicole Ludwikoski";"(715) 682-0627";"Nicole Ludwikoski";"2 Week(s) - 13 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"7:00AM - 4:00PM";;"8000567628_3";;
"The Beaser Bambino's Family Daycare";"The Beaser Bambino's Family Daycare";2000582112;"307 Beaser Ave";"Ashland";"WI";"54806-1255";"Ashland County";1;1011972;"Licensed Family";"Doris Rauschenbach";"(715) 682-9250";"Doris Rauschenbach";"3 Week(s) - 13 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"2000582112_1";;
"Brenda's Lil Angels Family Daycare";"Brenda's Lil Angels Family Daycare";7000561597;"48866 State Highway 13";"Ashland";"WI";"54806-2179";"Ashland County";1;2001155;"Licensed Family";"Brenda Mattson";"(715) 685-4435";"Brenda Mattson";"1 Month(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"Closed";"Closed";"7000561597_1";;
"Country Kids Daycare";"Country Kids Daycare";8000576378;"63786 Santama Rd";"Ashland";"WI";"54806-4244";"Ashland County";1;2001838;"Licensed Family";"Tanya Jolma";"(715) 685-1424";"Tanya Jolma";"1 Month(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:30AM - 5:00PM";"6:30AM - 5:00PM";"6:30AM - 5:00PM";"6:30AM - 5:00PM";"6:30AM - 5:00PM";"Closed";"Closed";"8000576378_1";;
"Di Dis Little Rascals";"Di Dis Little Rascals";6000568896;"109 15Th Ave E";"Ashland";"WI";"54806-2225";"Ashland County";1;1009742;"Licensed Family";"Diane Nemec";"(715) 682-4870";"Diane Nemec";"6 Week(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6000568896_1";;
"Grant Street Child Care Center";"Grant Street Child Care Center";2000573192;"163 S Grant St";"Glidden";"WI";"54527-2236";"Ashland County";1;1005246;"Licensed Family";"Debra Stoiber";"(715) 663-1005";"Debra Stoiber";"4 Week(s) - 12 Year(s)";"2 Stars";8;0;"Jan - Dec";;"5:30AM - 5:30PM";"5:30AM - 5:30PM";"5:30AM - 5:30PM";"5:30AM - 5:30PM";"5:30AM - 5:30PM";"Closed";"Closed";"2000573192_1";;
"Jackies Play Care";"Jackies Play Care";566370;"1800 Ellis Ave";"Ashland";"WI";"54806-3914";"Ashland County";1;1012655;"Licensed Family";"Jackie Westlund";"(715) 682-2563";"Jackie Westlund";"4 Week(s) - 14 Year(s)";"2 Stars";8;0;"Jan - Dec";;"5:30AM - 5:30PM";"5:30AM - 5:30PM";"5:30AM - 5:30PM";"5:30AM - 5:30PM";"5:30AM - 5:30PM";"Closed";"Closed";"566370_1";;
"Jennifer M Fuhrman";"Jennifer M Fuhrman";2000588962;"48860 State Highway 13";"Ashland";"WI";"54806-2179";"Ashland County";1;"N/A";"Regular Certified";"Jennifer Fuhrman";"(715) 209-4035";"Jennifer Fuhrman";"4 Week(s) - 12 Year(s)";"2 Stars";;;"Jan - Dec";;"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"2000588962_1";6;3
"Kids R My Business";"Kids R My Business";570630;"304 21St Ave E";"Ashland";"WI";"54806-2317";"Ashland County";1;1008080;"Licensed Family";"Colette Kraft";"(715) 682-5696";"Colette Kraft";"6 Week(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"570630_1";;
"Kinder Cottage Day Care";"Kinder Cottage Day Care";4000561604;"127 17Th St W";"Ashland";"WI";"54806-3905";"Ashland County";2;1015152;"Licensed Family";"Barbara Schneeberger";"(715) 682-9384";"Barbara Schneeberger";"2 Week(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:00AM - 5:15PM";"6:00AM - 5:15PM";"6:00AM - 5:15PM";"6:00AM - 5:15PM";"6:00AM - 5:15PM";"Closed";"Closed";"4000561604_2";;
"Little Guppies Day Care";"Little Guppies Day Care";4000587924;"1217 Beaser Ave";"Ashland";"WI";"54806-3612";"Ashland County";1;"N/A";"Regular Certified";"Heather Pritzl";"(715) 292-3256";"Heather Pritzl";"6 Week(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"Closed";"Closed";"4000587924_1";6;3
"Little Racers Daycare Center";"Little Racers Daycare Center";6000583816;"900 9Th Ave W";"Ashland";"WI";"54806-2814";"Ashland County";1;"N/A";"Regular Certified";"Mariah Traaholt";"(715) 682-0151";"Mariah Traaholt";"6 Week(s) - 10 Year(s)";"2 Stars";;;"Jan - Dec";;"7:15AM - 5:15PM";"7:15AM - 5:15PM";"7:15AM - 5:15PM";"7:15AM - 5:15PM";"7:15AM - 5:15PM";"Closed";"Closed";"6000583816_1";6;3
"Liz Eliason Family Daycare";"Liz Eliason Family Daycare";5000574345;"61639 State Highway 112";"Ashland";"WI";54806;"Ashland County";1;"N/A";"Regular Certified";"Elizabeth Eliason";"(715) 278-3208";"Elizabeth Eliason";"4 Week(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"Closed";"Closed";"Closed";"5000574345_1";6;3
"Nana's";"Nana's";4000569984;"1855 Cary St";"Ashland";"WI";"54806-2247";"Ashland County";1;"N/A";"Regular Certified";"Lisa Wallow";"(715) 254-6087";"Lisa Wallow";"2 Week(s) - 12 Year(s)";"2 Stars";;;"Jan - Dec";;"6:30AM - 5:15PM";"6:30AM - 5:15PM";"6:30AM - 5:15PM";"6:30AM - 5:15PM";"6:30AM - 5:15PM";"Closed";"Closed";"4000569984_1";6;3
"Sherry Gurske";"Sherry Gurske";9000583079;"612 2Nd Ave E";"Ashland";"WI";"54806-3200";"Ashland County";1;"N/A";"Regular Certified";"Sherry Gurske";"(715) 682-2472";"Sherry Gurske";"6 Week(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"5:00AM - 6:00PM";"5:00AM - 6:00PM";"5:00AM - 6:00PM";"5:00AM - 6:00PM";"5:00AM - 6:00PM";"Closed";"Closed";"9000583079_1";6;3
"Susannes Small World Child Care";"Susannes Small World Child Care";2000568082;"2604 Main St E";"Ashland";"WI";"54806-4804";"Ashland County";1;630617;"Licensed Family";"Susanne Eder";"(715) 682-3997";"Susanne Eder";"2 Month(s) - 12 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"2000568082_1";;
"Saplings";"Saplings";9000590149;"113 8Th St E";"Ashland";"WI";"54806-3228";"Ashland County";1;2005172;"Licensed Family";"Betsy Westlund";"(715) 292-6080";"Betsy Westlund";"3 Month(s) - 9 Year(s)";;8;0;"Jan - Dec";;"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"Closed";"Closed";"9000590149_1";;
"Abc Learning Center Daycare";"Abc Learning Center Daycare";8000576198;"608 12Th Ave W";"Ashland";"WI";54806;"Ashland County";1;1007318;"Regular Certified";"Lisa Klockow";"(715) 292-9483";"Lisa Klockow";"2 Week(s) - 12 Year(s)";;;;"Jan - Dec";;"7:15AM - 4:00PM";"7:15AM - 4:00PM";"7:15AM - 4:00PM";"7:15AM - 4:00PM";"7:15AM - 4:00PM";"Closed";"Closed";"8000576198_1";6;3
"Big Sky Family Daycare";"Big Sky Family Daycare";4000590594;"53498 Macdonald Rd";"Ashland";"WI";"54806-2253";"Ashland County";1;2005689;"Probationary Licensed Family";"Courtney Rauschenbach";"(715) 292-2897";"Courtney Rauschenbach";"2 Year(s) - 11 Year(s)";;8;0;"Jan - Dec";;"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"Closed";"Closed";"4000590594_1";;
"Family Forum Head Start Center 7";"Family Forum Head Start Center 7";9000577839;"301 13Th Ave E";"Ashland";"WI";"54806-2135";"Ashland County";5;620370;"Licensed Group";"Denise Beirl";"(715) 682-5035";"Jeanne Myer";"3 Year(s) - 7 Year(s)";;80;0;"Aug - Jun";"Head Start Performance Standards";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"Closed";"Closed";"9000577839_5";;
"Giniijaanisinaanig";"Giniijaanisinaanig";7000560867;"53552 Abinoojiyag Rd";"Ashland";"WI";54806;"Ashland County";1;620373;"Licensed Group";"Luanne Wiggins";"(715) 682-7144";"Michael Wiggins";"6 Week(s) - 7 Year(s)";;70;0;"Jan - Dec";;"8:30AM - 3:30PM";"8:30AM - 3:30PM";"8:30AM - 3:30PM";"8:30AM - 3:30PM";"8:30AM - 3:30PM";"Closed";"Closed";"7000560867_1";;
"Happy Hearts Child Care";"Happy Hearts Child Care";9000574749;"1311 9Th Ave W";"Ashland";"WI";"54806-3735";"Ashland County";1;1003979;"Licensed Family";"Carol Kempf";"(715) 682-8232";"Carol Kempf";"6 Week(s) - 13 Year(s)";;8;0;"Jan - Dec";;"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"Closed";"Closed";"9000574749_1";;
"Here We Grow Preschool";"Here We Grow Preschool";9000588679;"4119 Summit Rd";"Ashland";"WI";"54806-3545";"Ashland County";1;2002551;"Licensed Family";"Elizabeth Bebeau";"(715) 292-0636";"Elizabeth Bebeau";"2 Year(s), 6 Month(s) - 5 Year(s)";;8;0;"Sep - Jun";;"8:30AM - 11:30AM";"Closed";"8:30AM - 11:30AM";"8:30AM - 11:30AM";"Closed";"Closed";"Closed";"9000588679_1";;
"Home Sweet Home Daycare";"Home Sweet Home Daycare";1000570671;"1508 Beaser Ave";"Ashland";"WI";"54806-3619";"Ashland County";1;1000701;"Licensed Family";"Debra Harvey";"(715) 292-8890";"Debra Harvey";"1 Year(s) - 7 Year(s)";;8;0;"Jan - Dec";;"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"Closed";"Closed";"1000570671_1";;
"Lisa Houck";"Lisa Houck";9000588319;"2507 Junction Rd";"Ashland";"WI";"54806-2596";"Ashland County";1;"N/A";"Regular Certified";"Lisa Houck";"(715) 685-0189";"Lisa Houck";"2 Month(s) - 12 Year(s)";;;;"Jan - Dec";;"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";;"9000588319_1";6;3
"Little Blessings Childcare And Preschool";"Little Blessings Childcare And Preschool";2000589322;"700 9Th Ave W";"Ashland";"WI";"54806-2810";"Ashland County";1;2003794;"Licensed Family";"Laura Bailen";"(715) 254-1895";"Laura Bailen";"6 Week(s) - 13 Year(s)";;8;0;"Jan - Dec";;"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"Closed";"Closed";"2000589322_1";;
"Pattis Family Daycare";"Pattis Family Daycare";4000569814;"49748 Beaser Rd";"Ashland";"WI";"54806-4476";"Ashland County";2;1012637;"Licensed Family";"Patti Groom";"(715) 682-5750";"Patti Groom";"4 Week(s) - 12 Year(s)";;8;0;"Jan - Dec";;"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"7:00AM - 7:00PM";"4000569814_2";;
"The Nest";"The Nest";6000590296;"17777 Wallow Rd";"Glidden";"WI";"54527-9270";"Ashland County";1;"N/A";"Regular Certified";"Tiffany Ziebarth";"(608) 574-6819";"Tiffany Ziebarth";"6 Week(s) - 10 Year(s)";;;;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"6000590296_1";6;3
"Tree Top Child Development Ctr And Preschool Llc";"Tree Top Child Development Ctr And Preschool Llc";585500;"120 18Th St E";"Ashland";"WI";"54806-4049";"Ashland County";1;1015272;"Licensed Group";"Theresa Fredericks";"(715) 682-5790";"Theresa Fredericks";"2 Month(s) - 13 Year(s)";;33;0;"Jan - Dec";;"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"Closed";"Closed";"585500_1";;
"Cesa 11 Barron Head Start";"Cesa 11 Barron Head Start";6000577816;"808 E Woodland Ave";"Barron";"WI";"54812-1759";"Barron County";21;2004611;"Licensed Group";"Opal Sampson";"(715) 537-5621";"Carl Phillips";"3 Year(s) - 5 Year(s)";"5 Stars";17;0;"Sep - Jun";"Head Start Performance Standards";"7:45AM - 4:00PM";"7:45AM - 4:00PM";"7:45AM - 4:00PM";"7:45AM - 4:00PM";"7:45AM - 4:00PM";"Closed";"Closed";"6000577816_21";;
"Cesa 11 Turtle Lake Head Start";"Cesa 11 Turtle Lake Head Start";6000577816;"208 Oak St N";"Turtle Lake";"WI";"54889-8928";"Barron County";22;2004612;"Licensed Group";"Jenny Ulmaniec";"(715) 986-4470";"Carl Phillips";"3 Year(s) - 5 Year(s)";"5 Stars";17;0;"Aug - Jun";"Head Start Performance Standards";"7:20AM - 3:45PM";"7:20AM - 3:45PM";"7:20AM - 3:45PM";"7:20AM - 3:45PM";"7:20AM - 3:45PM";"Closed";"Closed";"6000577816_22";;
"Imagination Station Child Care";"Imagination Station Child Care";4000559134;"816 N Wilson Ave";"Rice Lake";"WI";"54868-1244";"Barron County";2;1011569;"Licensed Family";"Sheri Johnson";"(715) 234-3206";"Sheri Johnson";"6 Week(s) - 5 Year(s)";"5 Stars";8;0;"Jan - Dec";"National Association for Family Child Care (NAFCC)";"6:45AM - 5:15PM";"6:45AM - 5:15PM";"6:45AM - 5:15PM";"6:45AM - 5:15PM";"6:45AM - 5:15PM";"Closed";"Closed";"4000559134_2";;
"Rice Lake Cesa 11 Head Start";"Rice Lake Cesa 11 Head Start";6000577816;"205 E Orchard Beach Ln";"Rice Lake";"WI";"54868-2844";"Barron County";18;1014695;"Licensed Group";"Cindy Cross";"(715) 434-5437";"Carl Phillips";"3 Year(s) - 6 Year(s)";"5 Stars";71;0;"Aug - Jun";"Head Start Performance Standards";"7:45AM - 3:00PM";"7:45AM - 3:00PM";"7:45AM - 3:00PM";"7:45AM - 3:00PM";"Closed";"Closed";"Closed";"6000577816_18";;
"Just Playing Child Care";"Just Playing Child Care";9000589559;"704 Cornell Ave";"Rice Lake";"WI";"54868-1526";"Barron County";1;2002698;"Licensed Family";"Shasta Westaby";"(715) 719-0213";"Shasta Westaby";"2 Year(s) - 13 Year(s)";"4 Stars";8;0;"Jan - Dec";;"5:30AM - 5:00PM";"5:30AM - 5:00PM";"5:30AM - 5:00PM";"5:30AM - 5:00PM";"5:30AM - 5:00PM";"Closed";"Closed";"9000589559_1";;
"Creative Kids' Discovery Ctr Llc";"Creative Kids' Discovery Ctr Llc";6000582026;"516 Chucka Dr";"Barron";"WI";54812;"Barron County";1;1011446;"Licensed Group";"Kristine Lindstedt";"(715) 637-2273";"Kristine Lindstedt";"6 Week(s) - 13 Year(s)";"3 Stars";39;0;"Jan - Dec";;"5:45AM - 5:30PM";"5:45AM - 5:30PM";"5:45AM - 5:30PM";"5:45AM - 5:30PM";"5:45AM - 5:30PM";"Closed";"Closed";"6000582026_1";;
"Faith Lutheran Child Care Center";"Faith Lutheran Child Care Center";1000586871;"201 S 4Th St";"Cameron";"WI";"54822-9595";"Barron County";1;2000166;"Licensed Group";"Brynne Schieffer";"(715) 458-6288";"William Knickerbocker";"3 Year(s) - 13 Year(s)";"3 Stars";30;0;"Jan - Dec";;"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"Closed";"Closed";"1000586871_1";;
"Faith Lutheran Child Care Cntr 2";"Faith Lutheran Child Care Cntr 2";1000586871;"307 Birch Ave";"Cameron";"WI";"54822-2201";"Barron County";2;2003193;"Licensed Group";"Erin Jensen";"(715) 458-2788";"William Knickerbocker";"4 Week(s) - 13 Year(s)";"3 Stars";30;0;"Jan - Dec";;"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"Closed";"Closed";"1000586871_2";;
"Hilltop Day Care";"Hilltop Day Care";4000556784;"104 Cameron Rd";"Rice Lake";"WI";54868;"Barron County";1;520449;"Licensed Group";"Dawn Christianson";"(715) 234-6671";"Dawn Christianson";"6 Week(s) - 13 Year(s)";"3 Stars";65;0;"Jan - Dec";;"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"Closed";"Closed";"4000556784_1";;
"Little Hands Big Heart";"Little Hands Big Heart";8000581138;"203 Hatten Ave";"Rice Lake";"WI";"54868-2030";"Barron County";1;2003941;"Licensed Family";"Amanda Camen";"(715) 418-5460";"Amanda Camen";"6 Week(s) - 14 Year(s)";"3 Stars";8;0;"Jan - Dec";;"5:30AM - 9:30PM";"5:30AM - 9:30PM";"5:30AM - 9:30PM";"5:30AM - 9:30PM";"5:30AM - 9:30PM";"Closed";"Closed";"8000581138_1";;
"Randi Leyva";"Randi Leyva";2000589162;"25 Water Street";"Rice Lake";"WI";54868;"Barron County";1;"N/A";"Regular Certified";"Randi Leyva";"(715) 817-4769";"Randi Leyva";"6 Week(s) - 13 Year(s)";"3 Stars";;;"Jan - Dec";;"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"Closed";"Closed";"2000589162_1";6;3
"Amazing Kids Daycare";"Amazing Kids Daycare";2000580662;"2420 7Th St";"Cumberland";"WI";54829;"Barron County";1;1010104;"Licensed Family";"Lynn Capra";"(715) 497-9401";"Lynn Capra";"6 Week(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"2000580662_1";;
"Barnyard Buddies Daycare";"Barnyard Buddies Daycare";9000584159;"1470 21 1/2 St";"Cameron";"WI";54822;"Barron County";1;1015998;"Licensed Family";"Megan Adams";"(715) 205-1101";"Megan Adams";"8 Week(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"5:30AM - 5:00PM";"5:30AM - 5:00PM";"5:30AM - 5:00PM";"5:30AM - 5:00PM";"5:30AM - 5:00PM";"Closed";"Closed";"9000584159_1";;
"Busy Bear Day Care";"Busy Bear Day Care";5000581565;"64 10Th St";"Ridgeland";"WI";54763;"Barron County";1;1014649;"Licensed Family";"Samantha Harmon";"(715) 455-1567";"Samantha Harmon";"1 Week(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"5000581565_1";;
"Busy Beavers Day Care";"Busy Beavers Day Care";2000583432;"685 1St Ave";"Cumberland";"WI";54829;"Barron County";1;1012864;"Licensed Group";"Nicole Hile";"(715) 822-5955";"Nicole Hile";"6 Week(s) - 10 Year(s)";"2 Stars";40;0;"Jan - Dec";;"7:15AM - 5:15PM";"7:15AM - 5:15PM";"7:15AM - 5:15PM";"7:15AM - 5:15PM";"7:15AM - 5:15PM";"Closed";"Closed";"2000583432_1";;
"Country Kids Daycare And Preschool";"Country Kids Daycare And Preschool";9000589199;"2807 22Nd St";"Rice Lake";"WI";"54868-9752";"Barron County";1;2003481;"Licensed Family";"Lauren Schullo";"(715) 419-0401";"Lauren Schullo";"6 Week(s) - 13 Year(s)";"2 Stars";8;0;"Jan - Dec";;"5:30AM - 5:00PM";"5:30AM - 5:00PM";"5:30AM - 5:00PM";"5:30AM - 5:00PM";"5:30AM - 5:00PM";"Closed";"Closed";"9000589199_1";;
"Eva Kortness";"Eva Kortness";5000589675;"116 E Schneider St";"Rice Lake";"WI";"54868-2871";"Barron County";1;"N/A";"Regular Certified";"Eva Kortness";"(715) 719-0332";"Eva Kortness";"2 Year(s) - 13 Year(s)";"2 Stars";;;"Jan - Dec";;"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"1:00PM - 11:59PM";"5000589675_1";6;3
