"Application Type";"County";"Facility Name";"Facility Number";"Line Address 1";"City";"ZIP Code";"Contact Name";"Contact Phone";"License Date";"Capacity";"From Age";"To Age";"Hours";"Months";"Full Time"
"LICENSED FAMILY";"02. ASHLAND";"BOTTLES TO BOOKS";"1012007";"316 Butler Rd";"Mellen";"54546";"Kaseno, Joy  ";"715-274-2156";10/22/1998;8;"0 Year(s), 0 Month(s), 0 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"DALY DAY CARE";"2000054";"12385 S Park Rd";"Butternut";"54514-8611";"Daly, Connie M ";"715-769-3181";5/19/2006;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"DI DIS LITTLE RASCALS";"1009742";"109 15th Ave E";"Ashland";"54806";"Nemec, Diane M ";"715-682-4870";7/1/2002;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"DISCOVERY KIDS DAYCARE";"1014849";"519 9th St E";"Ashland";"54806";"Amrein, Alyda J ";"715-685-9838";11/7/2008;8;"0 Year(s), 0 Month(s), 2 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"GRANT STREET CHILD CARE CENTER";"1005246";"429 Grant St";"Glidden";"54527";"Stoiber, Debra  ";"715-264-5303";5/6/2002;8;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"HAPPY HEARTS CHILD CARE";"1003979";"1311 9th Ave W";"Ashland";"54806";"Kempf, Carol A ";"715-682-8232";12/29/2002;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"HOME SWEET HOME DAYCARE";"1000701";"1508 Beaser Ave";"Ashland";"54806";"Harvey, Debra  ";"715-682-9448";1/7/2001;8;"0 Year(s), 0 Month(s), 3 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"JACKIES PLAY CARE";"1012655";"1800 Ellis Ave";"Ashland";"54806";"Westlund, Jackie S ";"715-682-2563";2/2/2001;8;"0 Year(s), 0 Month(s), 4 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"KIDS R MY BUSINESS";"1008080";"304 21st Ave E";"Ashland";"54806";"Kraft, Colette M ";"715-682-5696";11/1/2000;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"KIDS R US DAYCARE";"1014093";"318 17th Ave W";"Ashland";"54806";"Renz, Rebecca  ";"715-292-0058";2/23/2009;8;"0 Year(s), 0 Month(s), 0 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"KINDER COTTAGE DAY CARE";"1015152";"127 W 17th St";"Ashland";"54806";"Schneeberger, Barbara  ";"715-682-9384";3/30/2010;8;"0 Year(s), 0 Month(s), 2 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-05:15 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"NICOLES HOME CARE";"1011025";"2900 Beaser Ave";"Ashland";"54806";"Ludwikoski, Nicole  ";"715-682-0627";8/28/2006;8;"0 Year(s), 0 Month(s), 3 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"PATTIS FAMILY DAYCARE";"1012637";"49748 Beaser Rd";"Ashland";"54806";"Groom, Patti S ";"715-682-5750";12/9/2007;8;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-07:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"SHEILS DAY CARE";"630623 ";"46486 State Highway 13";"Ashland";"54806";"Sheils, Patricia  ";"715-682-6323";9/5/1999;8;"0 Year(s), 1 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"SUSANNES SMALL WORLD CHILD CARE";"630617 ";"2604 Main St E";"Ashland";"54806";"Eder, Susanne  ";"715-682-3997";12/29/1999;8;"0 Year(s), 2 Month(s), 0 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"02. ASHLAND";"THE BEASER BAMBINO'S FAMILY DAYCARE";"1011972";"307 Beaser Ave";"Ashland";"54806";"Rauschenbach, Doris C ";"715-682-9250";1/5/2007;8;"0 Year(s), 0 Month(s), 3 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"02. ASHLAND";"BAD RIVER DAY CARE CENTER";"620367 ";"53751 Pine St";"Odanah";"54861";"Wittling, Diane  ";"715-682-7151";4/30/1997;18;"0 Year(s), 0 Month(s), 7 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"02. ASHLAND";"BAD RIVER HEAD START CENTER";"620373 ";"53759 Pine";"Odanah";"54861";"Wiggins, Luanne  ";"715-682-7144";8/20/1997;59;"3 Year(s), 0 Month(s), 0 Week(s)";"7 Year(s), 11 Month(s), 0 Week(s)";"08:00 AM-04:30 PM";"Sep-Jun";" "
"LICENSED GROUP";"02. ASHLAND";"FAMILY FORUM HEAD START CENTER 7";"620370 ";"301 13th Ave E";"Ashland";"54806";"Smiles, Suzanne  ";"715-682-5035";10/31/1997;80;"3 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-04:45 PM";"Sep-May";" "
"LICENSED GROUP";"02. ASHLAND";"LITTLE FRIENDS OF JESUS CHILD CARE";"620416 ";"1114 12th Ave W";"Ashland";"54806";"Leino, Karyn M ";"715-682-6075";7/27/1997;40;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"02. ASHLAND";"TADPOLES AND TUTUS CHILD CARE CENTE";"1009218";"103 14th Ave E";"Ashland";"54806";"Pingel, Vicky L ";"715-682-5391";6/1/2005;17;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:15 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"02. ASHLAND";"TREE TOP CHILD CARE CENTER";"1015272";"120 18th St E";"Ashland";"54806";"Fredericks, Theresa  ";"715-682-5790";5/18/2010;37;"0 Year(s), 2 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"AMAZING KIDS DAYCARE";"1010104";"2420 7th St";"Cumberland";"54829";"Capra, Lynn J ";"715-822-3481";12/13/2005;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-07:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"BARNYARD BUDDIES DAYCARE";"1015998";"1470 21 1/2 St";"Cameron";"54822";"Adams, Megan R ";"715-458-2440";9/1/2008;8;"0 Year(s), 0 Month(s), 8 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"BRIGHT SMILES LEARNING CTR";"1009990";"523 E Bracklin St";"Rice Lake";"54868";"Hopkins, Julie  ";"715-736-1885";12/1/2005;8;"2 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"BUSY BEAR DAY CARE";"1014649";"64 10th St";"Ridgeland";"54763";"Harmon, Samantha M ";"715-455-1567";8/17/2006;8;"0 Year(s), 0 Month(s), 1 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"BUSY BEES FAMILY DAY CARE";"1011575";"423 Logan Ave";"Turtle Lake";"54889";"Beecroft, Melissa A ";"715-986-2851";3/9/2004;8;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"BUZZING BEES DAY CARE";"530968 ";"711 Beach St";"Barron";"54812";"Severson, Rhonda  ";"715-637-9346";10/19/1997;8;"0 Year(s), 0 Month(s), 1 Week(s)";"10 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-04:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"CAROLYN'S DAY CARE";"530969 ";"316 E Wisconsin Ave";"Barron";"54812";"Miller, Carolyn  ";"715-537-5441";12/1/1997;8;"0 Year(s), 0 Month(s), 1 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"HAPPY HANDS DAY CARE AND PRESCHOOL";"1011933";"1437 15 3/8 St";"Barron";"54812";"Metheny, Sandra K ";"715-537-1087";8/22/2005;8;"0 Year(s), 0 Month(s), 1 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"IMAGINATION STATION CHILD CARE";"1011569";"816 N Wilson Ave";"Rice Lake";"54868";"Johnson, Sheri A ";"715-234-3206";3/7/2006;8;"0 Year(s), 0 Month(s), 6 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"JUST LIKE HOME CHILD CARE";"531274 ";"206 Bluff Ave";"Prairie Farm";"54762";"Roemhild, Janice  ";"715-455-1417";6/12/1998;8;"0 Year(s), 3 Month(s), 0 Week(s)";"14 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"LIL BRITCHES DAY CARE LEARN CTR";"531164 ";"920 E Barker St";"Rice Lake";"54868";"Elbe, Debra K ";"715-234-3768";1/13/1998;8;"2 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"LITTLE DUCKY DAYCARE";"1014324";"127 Ash St";"Turtle Lake";"54889";"Evenson, Jenalene A ";"715-986-2282";6/12/2007;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"LITTLE HANDS FAMILY DAY CARE";"530977 ";"835 Nedvidek St";"Cumberland";"54829";"Thon, Beverly  ";"715-822-2506";5/29/1997;8;"0 Year(s), 0 Month(s), 3 Week(s)";"14 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"LITTLE STEPS DAY CARE";"1000272";"998 23 3/4 St";"Chetek";"54728";"Zeman, Josephine  ";"715-859-6654";12/13/1998;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:15 AM-05:15 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"LITTLE TIKES LEARNING CTR";"1012579";"108 S Clinton St";"Almena";"54805";"Ness, Nicole  ";"715-357-6667";11/1/2007;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"LOVING HOME DAYCARE";"2000722";"1030 4th Ave";"Prairie Farm";"54762";"Mittelstadt, Stephanie J ";"715-541-2402";11/25/2003;8;"0 Year(s), 0 Month(s), 3 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"MARGIE'S FAMILY DAY CARE";"1002882";"121 Cameron Rd";"Rice Lake";"54868";"Balsavich, Margie I ";"715-234-5256";8/25/2000;8;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"MY TINY FRIENDS DAYCARE";"2000769";"1220 6th St";"Chetek";"54728-8943";"Gomez, Heather L ";"715-475-8064";5/3/2011;8;"0 Year(s), 0 Month(s), 1 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"04:00 AM-04:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"NANA'S DAYCARE ABOUT YOU";"1015754";"1265 Hwy 48 W";"Cumberland";"54829";"Gagner, Nancy  ";"715-822-8684";4/19/2011;8;"0 Year(s), 0 Month(s), 6 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"PAM'S DAY CARE";"1006825";"2405 15 1/4 Ave";"Rice Lake";"54868";"Winningham, Pamela E ";"715-859-6133";8/19/2001;8;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:15 AM-05:15 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"PRECIOUS STEPS DAY CARE";"530979 ";"703 Nunn Ave";"Rice Lake";"54868";"Sandberg, Terri  ";"715-577-0619";5/29/1997;8;"0 Year(s), 0 Month(s), 6 Week(s)";"9 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:30 PM";"Jan-Dec";" "
"LICENSED FAMILY";"03. BARRON";"PURPLE STAR DAYCARE";"1011354";"1519 Haugen Ave";"Rice Lake";"54868";"Holmstrom, Lisa L ";"715-651-4384";7/19/2006;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";" "
"LICENSED FAMILY";"03. BARRON";"SUNSHINE DAYCARE";"2000490";"315 W Marshall St";"Rice Lake";"54868-1652";"Apfel, Kim A ";"715-234-2545";3/25/2009;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"TAMMY'S TINY TOTS";"2000381";"2558 8 3/4 St";"Cumberland";"54829-9247";"Rose, Tammy K ";"715-822-2919";12/21/2011;8;"0 Year(s), 0 Month(s), 1 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"03. BARRON";"THE TOT'S SPOT FAMILY DAYCARE";"1005653";"903 1 3/4 Ave";"Prairie Farm";"54762";"Bever, Cynthia  ";"715-455-1959";7/8/2002;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-05:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"BUSY BEAVERS DAY CARE";"1012864";"685 1st Ave";"Cumberland";"54829";"Stipek, Kim  ";"715-822-5955";3/10/2008;50;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:45 AM-05:45 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"CORNERSTONES LEARNING CENTER";"1006363";"307 Birch Ave";"Cameron";"54822";"Graunke, Amy  ";"715-458-4622";5/4/1997;55;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"COUNTRY PLAYHOUSE PRESCHOOL";"1014935";"161 10th St";"Prairie Farm";"54762";"Bender, Barbara  ";"715-455-1094";12/14/2009;9;"3 Year(s), 0 Month(s), 0 Week(s)";"4 Year(s), 11 Month(s), 0 Week(s)";"-";"Sep-May";" "
"LICENSED GROUP";"03. BARRON";"CREATIVE KIDS' DISCOVERY CTR LLC";"1011446";"516 Chucka Dr";"Barron";"54812";"Wirth, Kathy  ";"715-637-2273";1/9/2007;39;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:45 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"CUMBERLAND ELEMENTARY SCHOOL";"2000083";"1530 2nd Ave";"Cumberland";"54829-9060";"Velasquez, Janie  ";"715-822-5123";7/25/2011;20;"6 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jun-Aug";"Y"
"LICENSED GROUP";"03. BARRON";"DALLAS CESA 11 HEAD START";"1007329";"100 W Dallas St";"Dallas";"54733";"Hodgson, Diane  ";"715-837-1180";7/1/2004;40;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"08:00 AM-04:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"FAITH LUTHERAN CHILD CARE CENTER";"2000166";"201 S 4th St";"Cameron";"54822-9595";"Schieffer, Brynne  ";"715-458-6288";8/30/2011;30;"3 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"FIRST LUTHERAN PRESCHOOL";"520448 ";"15 E Sawyer St";"Rice Lake";"54868";"Oestreich, Jennifer  ";"715-234-0086";12/14/1995;32;"2 Year(s), 9 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"08:30 AM-";"Sep-May";" "
"LICENSED GROUP";"03. BARRON";"HILLTOP DAY CARE";"520449 ";"104 Cameron Rd";"Rice Lake";"54868";"Bilodeau, Luann  ";"715-234-6671";5/22/1997;65;"0 Year(s), 3 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"KIDS WORLD LEARNING CTR";"520554 ";"810 Nunn Ave";"Rice Lake";"54868";"Foss, Sharon  ";"715-234-4039";5/29/1997;61;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:45 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"LEARN AND GROW PRESCH AND CHILDCARE";"1014561";"23 E Bracklin St";"Rice Lake";"54868";"Lapcinski, Danelle M ";"715-736-0237";8/10/2009;34;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"-11:59 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"LITTLE BEAR DAYCARE & PRESCH LTD";"520452 ";"115 E South St";"Rice Lake";"54868";"Jeffrey, Kathleen  ";"715-234-5686";5/14/1997;49;"0 Year(s), 0 Month(s), 6 Week(s)";"13 Year(s), 11 Month(s), 0 Week(s)";"05:45 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"LITTLE CREATIONS CHILD CARE CTR";"1012351";"727 Morrison St";"Chetek";"54728";"Johnson, Carrie  ";"715-924-3239";10/10/2007;25;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"PRESCHOOL PLAYHOUSE CORPORATION";"520455 ";"320 Pine St";"Turtle Lake";"54889";"Dietrich, Michelle  ";"715-986-4343";5/28/1997;30;"1 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"RICE LAKE CESA #11 HEAD START";"1014695";"205 E Orchard Beach Ln";"Rice Lake";"54868";"Loofboro, Becky  ";"715-434-5437";9/3/2009;46;"3 Year(s), 0 Month(s), 0 Week(s)";"5 Year(s), 11 Month(s), 0 Week(s)";"08:00 AM-04:30 PM";"Sep-Jun";"Y"
"LICENSED GROUP";"03. BARRON";"SALEM LUTHERAN PRESCHOOL";"520460 ";"1360 E La Salle Ave";"Barron";"54812";"Nelson, Jodene  ";"715-537-3011";4/5/1997;21;"3 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"09:00 AM-";"Sep-May";" "
"LICENSED GROUP";"03. BARRON";"ST PAUL LUTH PRESCH AND CHILD CARE";"1006850";"743 22 1/2 Ave";"Cumberland";"54829";"Frendt, Gretchen M ";"715-822-8404";8/13/2003;27;"3 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED GROUP";"03. BARRON";"UMOS RICE LAKE MIGRANT HEAD START";"1008048";"19 W Bracklin Ave";"Rice Lake";"54868";"Fuhrmann, Thomas  ";"715-236-7422";7/23/2004;40;"0 Year(s), 0 Month(s), 6 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-08:00 PM";"Jun-Oct";"Y"
"LICENSED FAMILY";"04. BAYFIELD";"LEARNING EXPRESS PRESCHOOL";"1013399";"28020 State Highway 137";"Ashland";"54806";"Kovach, Susan  ";"715-682-2156";9/2/2008;8;"2 Year(s), 0 Month(s), 0 Week(s)";"6 Year(s), 11 Month(s), 0 Week(s)";"08:00 AM-04:00 PM";"Jan-Dec";" "
"LICENSED FAMILY";"04. BAYFIELD";"LITTLE SPROUTS DAY CARE";"630630 ";"608 W 3rd St";"Washburn";"54891";"Hintze, Patricia  ";"715-373-5737";5/8/1997;8;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"LICENSED FAMILY";"04. BAYFIELD";"MILK AND HONEY DAY CARE LLC";"1014046";"1401 Fur Farm Rd";"Washburn";"54891";"Grabiner, Meira  ";"715-373-0625";2/2/2009;8;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-06:30 PM";"Jan-Dec";"Y"
