"Provider Id";"Complaint Received";"Requirement";"Description";"Allegation Description";"Plan to Correct";"Allegation Findings"
"K830020806";"1/23/2020";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Non-Compliance Found During the Course of Investigation - Personnel Judgment: Personnel demonstrated poor judgment by misuse of redirection.";"Per notice to comply signed by Kimberly Edinger on 3/9/2020 : Personnel Judgment: Explain to Staff that misbehaved children send to me. Have a thinking spot for kids instead of a timeout.";"Substantiated"
"K830022403";"6/7/2021";"340:110-3-297(d)(3)(A)";"checked and changed per (a) of this Section;";"Diapers, training pants, and clothing - Allegation that program is not changing a child when needed.";"I will have Teacher in Room B to rewatch orientation video which includes diaper changes.";"Substantiated"
"K830054119";"6/18/2019";"340:110-3-278(d)(2)(I)";"expulsion policy;";"Expulsion Policy-Child kicked out for having seizures";"Changed the expulsion policy and sent to DHS. 8/9/19 New expulsion policy states ""It is the goal of Little Arrows Child Development Center to assist its students in learning those values that are the foundation of a strong character and of a responsible citizen. Unfortunately, there are times when we have to let children go for the better of the facility as a whole. We reserve the right to expel a child from care at the discretion of LACDC administration.""";"Substantiated"
"K830021959";"3/8/2019";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"Inappropriate behavior and guidance-Staff got mad at a child and threw a shoe-SERIOUS";"Amber Belcher was suspended for four days after the incident that occurred on 03/08/2019. When Amber returned to work, she was placed in a room with another teacher so she could be supervised and will remain there until we feel she is ready to return to the 3-year-class. Amber is enrolled in some online classes and will have them completed by 05/10/2019. We can provide completion certificates if needed. Those classes are: Basic Behavior Management: 1, 2, and 3, Managing Stress, Strategies for working with special needs, Workplace Burnout, And she has attended Taking Care of Ourselves: Stress reduction workshop at SOSU on 03/27/2019. We will be getting in contact with Ashli Williams DHS licensing worker on setting up a training for all staff to attend over the DHS Licensing Requirements so all staff can be refreshed and updated on the new and old licensing requirements. We also plan on contacting the CECPD to see if we can have someone come and do a training over Behavior and Guidance. We will have a meeting with our staff to go over everything that has happened and come up with ways to prevent it from happening again. Our goal for the center is to continue to give the best care possible to the children at our center and to up hold our 3 star status and to not have anymore non-compliance. 5/10/19";"Substantiated"
"K830021959";"3/8/2019";"340:110-3-284(c)(2)(E)";"work with children without physical, psychological, or emotional punishment, mistreatment, or abuse.";"Add'l non-compliance found during the course of the investigation - Staff/personnel - responsibilities-work with children without physical, psychological, or emotional punishment, mistreatment or abuse-SERIOUS";"Amber Belcher was suspended for four days after the incident that occurred on 03/08/2019. When Amber returned to work, she was placed in a room with another teacher so she could be supervised and will remain there until we feel she is ready to return to the 3-year-class. Amber is enrolled in some online classes and will have them completed by 05/10/2019. We can provide completion certificates if needed. Those classes are: Basic Behavior Management: 1, 2, and 3, Managing Stress, Strategies for working with special needs, Workplace Burnout, And she has attended Taking Care of Ourselves: Stress reduction workshop at SOSU on 03/27/2019. We will be getting in contact with Ashli Williams DHS licensing worker on setting up a training for all staff to attend over the DHS Licensing Requirements so all staff can be refreshed and updated on the new and old licensing requirements. We also plan on contacting the CECPD to see if we can have someone come and do a training over Behavior and Guidance. We will have a meeting with our staff to go over everything that has happened and come up with ways to prevent it from happening again. Our goal for the center is to continue to give the best care possible to the children at our center and to up hold our 3 star status and to not have anymore non-compliance. 5/10/19";"Substantiated"
"K830024734";"11/1/2019";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"Discipline -(Serious) Staff person used inappropriate physical discipline with a child during rest time.";"Staff person was terminated immediately All other staff was retrained on appropriate and inappropriate discipline from the DHS licensing requirement book and also from center policies.";"Substantiated"
"K830024734";"11/1/2019";"340:110-3-288(c)(2)(C)";"yelling at a child out of anger or using harsh or profane language;";"Discipline - (Serious) Staff person yelled at a child out of anger during rest time.";"Staff person was terminated immediately. All other staff was retrained on appropriate and inappropriate discipline from the DHS requirement book and also from center policies.";"Substantiated"
"K830025060";"8/7/2019";"340:110-3-280(b)(1)";"Abuse and neglect. Any person who has reason to believe a child has been abused or neglected per 10 O.S.  1-1-105 is required to report the matter promptly to the DHS Child Abuse and Neglect Hotline at 1-800-522-3511 per Section 1-2-101 of Title 10A of the Oklahoma Statutes (10A O.S.  1-2-101). Failure to report is a misdemeanor offense and upon conviction is punishable by law. Failure to report with prolonged knowledge, six months or more, of ongoing abuse or neglect is a felony offense.";"Reporting: The program is not promptly reporting suspected abuse or neglect to the DHS Child Abuse and Neglect Hotline. **Serious non-compliance**";"Notice to Comply was mailed out on 09/16/2019 and requested to be returned back on 09/30/2019";"Substantiated"
"K830025062";"8/14/2020";"340:110-3-288(c)(1)";"Physical. Examples of inappropriate physical discipline include:";"1. Inappropriate discipline- personnel are prohibited from using or threatening to use inappropriate discipline.";"We will continue to train all staff on appropriate discipline using techniques such as redirection, Flip-it, and Conscious Discipline. We have also review our current discipline policies with our current staff. Our staff will not use physical discipline at any time. All classrooms will be observed throughout the day by camera, through observation widows, or during classroom observations to ensure that proper practices in all areas are being used.";"Substantiated"
"K830004165";"8/26/2019";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"Staff/child ratios: Program is not maintaining ratios at all times. **Serious non-compliance**";"A Notice to Comply was given to the program during the 8/27/19 full complaint visit. The programs plan of correction is the following: Management will utilize as many staff as possible in the morning including cook and management to maintain rations, we will plan ahead also with staff on PTO or out sick.";"Substantiated"
"K830000001";"2/22/2019";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Staff Judgment: Staff are not demonstrating good judgment to ensure the health and safety of children.";"We will move the teachers out of the classroom that were involved. We will be in the classrooms more and we will check on the teachers more. We are also going to require staff to go to a discipline training.";"Substantiated"
"K830020592";"12/4/2019";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Personnel - Teacher used loud and inappropriate language towards another teacher in front of children.";"Per Owner Jeff Brooks ""We reviewed acceptable ways to communicate and express emotion. Teacher was acting as a parent after she was done working. We reminded her that she still needed to use good judgment in front of children."" Due date 01/12/2020";"Substantiated"
"K830004068";"4/18/2019";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"Discipline - A personnel knocked a toy out of child's hand then pulled child's arm causing child to fall to the ground then grabbed back of child's shirt & pulled child towards her while child was on the ground then grabbed child's arms again & pulled child towards her then picked child up & sat in her lap.";"The personnel was terminated on 04-26-19. When incident was reported the Director immediately notified Superintendent of technology center who placed the personnel on paid leave until investigation could be completed. The day the personnel was placed on leave, a meeting was scheduled for 04-26-19. During the scheduled meeting on 04-26-19, personnel was terminated. 05-21-19- Notice to Comply stated staff was removed from area and placed on immediate suspension until 04-26-19. After meeting with administration staff was asked for resignation effective immediately on 04-26-19.";"Substantiated"
"K830004068";"4/18/2019";"340:110-3-280(a)(1)(H)";"a known child abuse or neglect investigation involving the owner, responsible entity, personnel, or an individual living in the facility that is pending or has a disposition;";"Additional non-compliance found during the course of the investigation. The owner, responsible entity or director did not notify Licensing the next business of a known child abuse or neglect investigation involving a personnel of center.";"Director reported she asked Child Abuse and Neglect Hotline if she needed to report the incident to Child Care Licensing and she was told they would notify Licensing. In the future, Licensing informed Director to report the next business day of any known child abuse or neglect investigations. 05-21-19- Notice to Comply stated administration immediately contacted the child abuse hotline and reported the incident. During conversation with hotline, administration asked if Licensing needed to be contacted. Administration was informed ""no"", hotline would inform them. Director stated if another incident occurs Licensing will be notified immediately.";"Substantiated"
"K830023271";"2/28/2019";"340:110-3-280(a)(1)";"Next business day. The owner, responsible entity, or director notifies Licensing by the next Oklahoma Department of Human Services (DHS) business day of:";"Additional non-compliance discovered during the course of the investigation: Reporting-provider failed to report to licensing about the child being put in the closet.";"Notice to Comply has been mailed to director to complete.";"Substantiated"
"K830023271";"2/28/2019";"340:110-3-288(c)(2)(E)";"isolating a child without supervision;";"Inappropriate Discipline: Personnel appeared to put child in the closet.";"Notice to comply has been mailed to director to complete.";"Substantiated"
"K830022122";"8/6/2019";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision:(Serious) Child has several incident reports resulting from not being supervised by teachers.";"All Staff have reviewed job description on playground and classroom supervision. Staff have reviewed DHS supervision policies. All staff are required to take trainings related to their age groups.";"Substantiated"
"K830005324";"9/3/2020";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"Additional non-compliance found during investigation: 1.)Discipline - Staff spanked their biological child in the classroom in front of other children.";"Staff has been retrained in appropriate discipline for all children including their own. Staff involved has been reprimanded.";"Substantiated"
"K830005322";"7/1/2021";"340:110-3-282(a)(1)";"Required individuals. Background investigations are required, per Section 401 et seq. of Title 10 of the Oklahoma Statutes (10 O.S.  401 et seq.), Oklahoma Child Care Facilities Licensing Act (Licensing Act), unless an exception per (3) of this subsection applies for:";"Additional Non-Compliance Found During Investigation: 1.) Background Investigation : Serious - Background investigation not completed on staff prior to hire.";"Pending";"Substantiated"
"K830005322";"7/1/2021";"340:110-3-282(a)(1)(C)";"personnel applicants, prior to hire. However, the program may hire individuals, when:";"Additional Non-Compliance Found During Investigation: 1.) Background Investigation : Serious - Background investigation not completed on staff prior to hire.";"Pending";"Substantiated"
"K830005322";"7/1/2021";"340:110-3-284(d)(4)";"Safe sleep. Prior to caring for infants, personnel obtain formal professional development in safe sleep practices.";"Additional Non-Compliance Found During Investigation: 2.) Professional Development : Serious - Staff did not complete safe sleep training prior to caring for infants.";"Pending";"Substantiated"
"K830023435";"8/12/2020";"340:110-3-280(d)(3)(C)";"known minor injuries;";"1.) Reporting - Parent not notified of injury to child.";"Kindercastle's person in charge or director will notify parents of injury to child by phone or upon pick up of all known minor injuries.";"Substantiated"
"K830023435";"8/12/2020";"340:110-3-296(b)(2)(B)(iii)(I)";"Covers, including blankets, are prohibited.";"2.) Rest Time/Infant Sleep Environment:Serious - Personnel placed blanket/cloth in crib with an infant.";"Personnel that was involved is no longer working at Kindercastle. She had been trained and had her safe sleep certificate. All personnel will receive safe sleep training prior to working in infant rooms and will maintain appropriate sleep environment.";"Substantiated"
"K830023435";"8/12/2020";"340:110-3-284(c)(2)(E)";"work with children without physical, psychological, or emotional punishment, mistreatment, or abuse.";"Additional Non-compliance found during investigation: 1.) Personnel: Serious - Personnel neglected and mistreated a child in their care, and did not act with behavior that ensured the health and safety of the child.";"Staff will be monitored and trained as required to work with children without physical, psychological or emotional punishment, mistreatment or abuse.";"Substantiated"
"K830025229";"6/8/2021";"340:110-3-281.4(b)(11)(B)(iii)";"a specific pick-up and drop-off plan identified by the program or parent that, at least addresses the times and transfer of supervision.";"1.) Child Records/Transportation - Agreed upon transportation plan not correctly followed.";"1. Policies, documentation, and processes are already in place for transportation. 2. After revisiting these items, it was determined that the policies, documentation, and processes were not properly followed. 3. Staff were retrained on the proper policy, documentation, and processes. 4. Transportation and Program supervisors will ensure that these are followed at all times with no exceptions.";"Substantiated"
"K830025229";"6/8/2021";"340:110-3-287(b)(1)";"recognize which children are assigned to their group; and";"Additional non-compliance found during investigation: 1.)Supervision - Driver did not know/recognize all of the children in their assigned group that day.";"1. Policies, documentation, and processes are already in place for transportation. 2. After revisiting these items, it was determined that the policies, documentation, and processes were not properly followed. 3. Staff were retrained on the proper policy, documentation, and processes. 4. Transportation and Program supervisors will ensure that these are followed at all times with no exceptions.";"Substantiated"
"K830005319";"9/20/2019";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"1.) Supervision: Serious - Child left outdoor play area without the knowledge of the personnel charged with supervising them.";"9/26/19 - Director terminated the staff immediately, had maintenance place a device on the gate so that it cannot be easily opened, and put into practice to have at least two staff on the playground at all times. 1/15/20 - The staff member was terminated immediately. A new lock was placed on the gate. All staff were informed of the need to be vigilant on the playground and knowing the childrens whereabouts at all times. Training on children should be seen and heard relating to the health and safety of children was provided to all staff at the staff meeting.";"Substantiated"
"K830005319";"9/20/2019";"340:110-3-299(c)(2)";"Ground Beef. Ground beef is cooked thoroughly to at least 155 degrees F and until the juice is clear and the meat is no longer pink.";"4.)Food and Nutrition - Undercooked ground beef served.";"staff have been retrained to make sure all ground beef clumps are thoroughly broken up and that there is no pink meant and all juices must be clear. are thoroughly broken up to make sure they are cooked through.";"Substantiated"
"K830005319";"9/20/2019";"340:110-3-284(d)(3)";"Orientation. Within one week of employment and prior to having sole responsibility for a group of children, personnel obtain orientation, as documented per OAC 340:110-3-281.3(b), including, at least a review of:";"7.) Personnel - New personnel not being trained timely.";"1/27/20 - Staff will be given the orientation within one week of employment. The start date will be placed on the calendar to ensure it is done within the first week.";"Substantiated"
"K830005319";"9/20/2019";"340:110-3-280(a)(1)(K)";"an incident that exposes children to an imminent risk of harm, such as a child leaving the facility without program knowledge or being left alone on- or off-site or in a vehicle;";"Additional non-compliance found during investigation: 1.) Reporting - Program did not notify Licensing of child leaving the facility without the program's knowledge.";"Program will notify Licensing in the event a child leaves the program even if the parent and everyone involved with the incident are on the premises at the time.";"Substantiated"
"K830023929";"9/21/2020";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision-SERIOUS- child outside for pickup all alone";"Plan of Correction submitted 9/23/20 to CCS but put in place by the center on 9/17/20. One staff will sit outside the front doors with them shut, and the station to check children in and out will also be outside with the staff. The staff will walkie talkie a classroom when a parent arrives to get their child, and teacher will verify that the child is going to his or her parent, while the check in staff remains outside witnessing the exchange when a parent signs out their child";"Substantiated"
"K830054236";"8/4/2020";"340:110-3-281.4(b)(2)";"Infant and 1-year-old daily record. Daily records for 1-year-olds and younger are available in the child's classroom and include prompt documentation of eating, diapering, and sleeping activities.";"Parent and staff communication - Diaper changes and feedings are not being documented promptly and are not accurate.";"We will simplify our daily sheets and ensure times are written in the correct area and documented in real time.";"Substantiated"
"K830054236";"8/4/2020";"340:110-3-295(c)";"Parent permission. Parent permission is obtained prior to administering the medication. Documentation is maintained per OAC 340:110-3-281.4(b).";"Medication (Serious)- Signed parent permission for each medication was not obtained.";"We understand over the counter diaper cream is considered medication and will have all forms by parents maintained in real time.";"Substantiated"
"K830054236";"8/4/2020";"340:110-3-295(d)(6)";"Each dose administered is immediately documented per OAC 340:110-3-281.4(b).";"Medication (Serious)- Administration of medication was not documented on a medication permission form.";"We understand diaper rash cream is considered medication and will obtain a form for each child with it.";"Substantiated"
"K830004350";"11/7/2019";"340:110-3-296(b)(2)(B)(viii)";"Bibs are not placed around the infant's neck when in rest equipment.";"Rest Time (Serious) - During the course of the investigation it was found that: Staff member placed an infant, wearing a bib, in rest equipment.";"Will walk through infant classroom each hour to observed staff are following policy, requirements, and safe sleep requirement. We take this matter very seriously; which is why the staff members were terminated immediately.";"Substantiated"
"K830004350";"11/7/2019";"340:110-3-298(f)(8)(A)";"has a designated eating and drinking location, excluding rest equipment and equipment with motion, such as swings; and";"Rest Time (Serious) - During the course of the investigation it was found that: Staff member gave a bottle to an infant in a crib.";"Will walk through infant classroom each hour to observed staff are following policy, requirements, and safe sleep requirement. We take this matter very seriously; which is why the staff members were terminated immediately.";"Substantiated"
"K830005326";"7/1/2021";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Additional Non-Compliance Found During Investigation: Personnel (Judgment)  Child was handled in a physical manner that resulted in an injury.";"pending";"Substantiated"
"K830055008";"7/1/2020";"340:110-3-288(c)(2)(C)";"yelling at a child out of anger or using harsh or profane language;";"Discipline: Inappropriate discipline";"We moved the teacher out of the classroom with her child and had her take the behavior and guidance class on CCEI. 7/2/20";"Substantiated"
"K830024730";"5/2/2019";"340:110-3-288(d)";"Inappropriate food reward. Food is not used to obtain or reward desired behaviors.";"During the course of the investigation, Licensing determined that food was used to obtain or reward desired behaviors.";"Requirement: 340:110-3-288 Discipline (d) Inappropriate food reward. Food is not used to obtain or reward desired behaviors. Non- Compliance observed: Food was used to obtain or reward desired behaviors. Plan of Correction: The following memo was sent around for all teachers to review and sign: Candy and food are not to be used for reward or punishment. We do not allow teachers to bribe children with food to get desired behavior. We will develop plans for each classroom to help with behavior management. Teachers have enrolled and taken Child development I. Licensing regulations will be discussed in the June staff meeting.";"Substantiated"
"K830024868";"9/27/2019";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Staff--judgment";"Notice to Comply--received 10/16/19--All van drivers were called in to meet with me, James Eddie Grant on 10/2/2019. We discussed the importance of safety no matter what the circumstances are. They were explained that under no circumstances should any of our vans drive through a yellow light. We will continue to include the staff judgment in all our company meetings.";"Substantiated"
"K830024868";"9/27/2019";"340:110-3-305(a)(4)";"Drivers and vehicles used to transport children are in compliance with all applicable state laws, including vehicle insurance. Documentation is maintained per Oklahoma Administrative Code (OAC) 340:110-3-281.2(c) and (d).";"Transportation--ran a red light";"Notice to Comply--received 10/16/19-- Payton Grant and Michelle Vaziepour have both completed a refresher course on Coaching the Van Driver a defensive driving course tailored for Commercial Van drivers. We will continue to discuss safety first in all meetings. We will also start doing ride along and spot checks along their driving routes to verify all rules and regulations are always being followed.";"Substantiated"
"K830003828";"2/19/2020";"340:110-3-296(b)(2)(A)";"Appropriate sleep environment. The infant safe sleep environment requirements listed in (i) through (v) of this subparagraph are met.";"Infant Safe Sleep--Serious--available sleep space";"Notice to Comply sent--due back 3/1/20 7/15/20--Managing the enrollment in the infant classroom does not exceed more than 8 infants at a time. Each infant has their own bed. Each staff member is trained on infant safe sleep.";"Substantiated"
"K830004289";"10/23/2020";"340:110-3-288(c)";"Inappropriate discipline. Personnel are prohibited from using or threatening to use inappropriate discipline.";"Discipline: Inappropriate Discipline - child received minor injuries by staff.";"We will have a training for teachers on the proper way to use positive guidance and positive redirection by January 15th, 2021.";"Substantiated"
"K830023627";"7/26/2021";"340:110-3-288(a)";"General. Discipline is developmentally appropriate, responsive to the circumstances, constructive, and provides an opportunity to learn. Personnel do not seek or accept parental permission that does not comply with these requirements per Oklahoma Administrative Code (OAC) 340:110-3-293(a).";"Discipline--humiliation, punishment, harsh and inappropriate language, arm grabbing, inappropriate time out";;"Substantiated"
"K830004322";"6/24/2021";"340:110-3-287(d)";"Kitchen. Children are restricted from the kitchen, unless part of a planned, supervised activity.";"Supervision- Children have been cooking, cleaning, and assisting in the kitchen.";"Licensing sent the Notice to Comply to the program on 7/15/2021. Program is in the process of grieving the CMP.";"Substantiated"
"K830023350";"11/14/2018";"340:110-3-288(c)(1)(A)";"actions that could cause pain, such as shaking, striking, spanking, swatting, thumping, pinching, popping, shoving, spatting, hair pulling, yanking, and slamming;";"1. Discipline - inappropriate discipline - physical - yanking.";"Will be conducting a behavior & guidance in service on 1-25-19 that has been approved by the CECPD";"Substantiated"
"K830002470";"6/21/2021";"340:110-3-287(a)";"Supervision. Supervision means the function of observing, overseeing, and guiding a child or group of children, including an awareness of, and responsibility for the ongoing activity of each child, and being near enough to intervene when needed. The program is required to maintain supervision at all times.";"Supervision: Staff are not aware of the ongoing activity of children in order to maintain supervision at all times.";"Due back 07/26/2021";"Substantiated"
"K830007410";"9/21/2020";"340:110-3-286(a)";"Ratios. Ratios mean the number of teaching personnel required to be physically present with a child or group of children per Oklahoma Administrative Code (OAC) 340 Appendix GG - Ratios and Group Sizes. Only teaching personnel count in ratios, unless the requirements specifically state otherwise. The program is required to maintain ratios at all times.";"Staff/Child ratios: Classrooms understaffed";"Notice to comply sent 10/23/2020 due back 11/06/2020 received 11/05/2020 We have hired additional team members to ensure that when staff members are out sick . We have average to ensure ratio/group size requirements are met. We regularly walk classrooms to ensure all class group sizes and ratios meet requirements at all times.";"Substantiated"
"K830021070";"8/3/2021";"340:110-3-295(d)(3)";"Prescription medications are administered according to the container instructions, including only administering when the medication is part of a prescribed therapeutic treatment.";"SERIOUS: Program is not administrating medicine correctly.";"NTC due 9/15/21";"Substantiated"
"K830021070";"8/3/2021";"340:110-3-295(d)(6)";"Each dose administered is immediately documented per OAC 340:110-3-281.4(b).";"SERIOUS: Medication documentation was inaccurate.";"NTC due 9/15/21";"Substantiated"
"K830021308";"10/7/2019";"340:110-3-284(c)(2)(C)";"demonstrate good judgment as evidenced by prudent and responsible behavior that reasonably ensures the health and safety of children;";"Staff/Personnel (Judgment) - Milk provided by a parent was fed to the wrong infant.";"Notice to comply received 11/18/19 from director Rose Jackson - In response to the substantiated finding for requirement 340:110-3-284(c)(2)(c), regarding milk being given to the wrong infant, we have taken steps to re-label and color code all bottles, refrigerator containers and milk bags of children enrolled in our infant program. We discussed over-communicating among infant staff to ensure any changes in the children's schedules are not only verbally communicated but documented on daily sheets for primary and full time staff and intermittent part time staff who give breaks in the infant classroom.";"Substantiated"
