"Name";"City";"County";"Zip";"Address";"Phone";"Email";"Type of Care";"License Effective Date";"License Expiration Date";"Facility Total Capacity";"Facility Age Range";"Hours of operation";"UrlID";"Mailing Address";"Mailing City";"Mailing State";"Mailing ZIP";"Email2";"Director";"Child Care Specialist";"ID"
"THE ADAIR COUNTY FAMILY YMCA, INC.";"KIRKSVILLE";"ADAIR";"63501-3903";"1815 E HAMILTON ST ";"(660) 665-1922";;"CHILD CARE CENTER";"08/18/2021";;100;"5 YEARS - 9 YEARS";" 3:00 PM- 5:30 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002892768";"1708 S JAMISON ST ";"KIRKSVILLE";"MO";63501;"krouner@adairymca.org";"SPARKS, JAMIE";"BETHANY CARREL DUCKWORTH";2892768
"THE ADAIR COUNTY FAMILY YMCA, INC.";"KIRKSVILLE";"ADAIR";"63501-3321";"2010 E NORMAL AVE ";"(660) 665-1922";;"CHILD CARE CENTER";"08/28/2021";;100;"8 YEARS - 12 YEARS";" 3:00 PM- 5:30 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002892777";"1708 S JAMISON ST ";"KIRKSVILLE";"MO";63501;"krouner@adairymca.org";"MEEHAN, DIANE MARQUERITE";"BETHANY CARREL DUCKWORTH";2892777
"THESE ARE THE DAYS CHILDCARE";"KIRKSVILLE";"ADAIR";"63501-3005";"301 E COTTONWOOD ST ";"(660) 341-5250";;"FAMILY HOME";"08/01/2023";;10;"24 MONTHS - 14 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001741682";;;;;;;;1741682
"TINY TOTS DAYCARE AND PRESCHOOL";"KIRKSVILLE";"ADAIR";"63501-4097";"1305 E RANDOLPH ST ";"(660) 342-6730";;"GROUP HOME";"08/28/2021";;18;"BIRTH - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002125391";" ";;;;"tdarnel4@gmail.com";"DARNEL, TIFFANY JO";"BETHANY CARREL DUCKWORTH";2125391
"BLOOM AFTER SCHOOL AT JOHN GLENN";"COUNTRY CLUB";"ANDREW";"64505-3719";"12401 COUNTY ROAD 438 ";"(816) 279-4533";;"CHILD CARE CENTER";"05/10/2023";;48;"5 YEARS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002903246";"801 STATE RTE E ";"SAVANNAH";"MO";"64485-9427";"mary@inspirationsdancecenter.com";"GIRTZ-TALLIE, ANGELIQUE";"MICHELLE RENEE TRUSSELL";2903246
"BLOOM AFTER SCHOOL AT MINNIE CLINE";"SAVANNAH";"ANDREW";"64485-1671";"808 W PRICE AVE ";"(816) 324-3976";;"CHILD CARE CENTER";"06/14/2022";;80;"5 YEARS - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002903424";"801 STATE RTE E ";"SAVANNAH";"MO";"64485-9427";"mary@inspirationsdancecenter.com";"GIRTZ-TALLIE, ANGELIQUE";"ROBYN EMBREE";2903424
"COUNTRY KIDS LEARNING CENTER, L.L.C.";"SAVANNAH";"ANDREW";"64485-2297";"12895 STATE RTE E ";"(816) 324-3484";;"CHILD CARE CENTER";"08/28/2021";;48;"BIRTH - 11 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001907986";" ";;;;"CKLC.PLAYLEARNGROW@GMAIL.COM";"BUMPHREY, BRANDY LEE";"KATIE BRUGGEMAN";1907986
"LESLIE, JANE";"SAVANNAH";"ANDREW";"64485-2299";"12521 STATE RTE E ";"(816) 646-5507";;"CHILD CARE CENTER";"08/28/2021";;40;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001186372";" ";;;;"JANE3498@GMAIL.COM";"GRISSOM, PATRICIA JO";"KATIE BRUGGEMAN";1186372
"LITTLE JAYS CHILD CARE";"ST JOSEPH";"ANDREW";"64505-3750";"13811 COUNTY ROAD 345 ";"(636) 359-5795";;"FAMILY HOME";"01/13/2023";;10;"6 WEEKS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002945488";;;;;;;;2945488
"SAVANNAH HEAD START, CAPSTJOE";"SAVANNAH";"ANDREW";64485;"304 N 4TH ST ";"(816) 324-0070";;"CHILD CARE CENTER";"04/06/2022";;40;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001785279";"817 MONTEREY ST ";"ST JOSEPH";"MO";64503;"CWESTCOTT@CAPSTJOE.ORG";"WESTCOTT, CATHY ANNE";"PENNY SNODGRASS";1785279
"WORTHWINE, RANDI LEE";"SAVANNAH";"ANDREW";"64485-1762";"201 W MAIN ST ";"(816) 324-4631";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000444166";" ";;;;" ";"WORTHWINE, RANDI LEE";"PENNY SNODGRASS";444166
"ATCHISON COUNTY HEAD START";"ROCK PORT";"ATCHISON";64482;"16635 US HIGHWAY 136 ";"(660) 744-2616";;"CHILD CARE CENTER";"08/28/2021";;40;"36 MONTHS - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000633541";" PO BOX 328";"MARYVILLE";"MO";;"LAUFFERT@CSINWMO.ORG";"CLARK, PATRICIA KAY";"JANA BARTON";633541
"ALMOST HOME DAYCARE";"MEXICO";"AUDRAIN";"65265-2768";"409 W LOVE ST ";"(573) 721-1945";;"GROUP HOME";"08/28/2021";;20;"24 MONTHS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001015976";" ";;;;"bkbenjamin57@gmail.com";"BENJAMIN, BRENDA KAY";"SUSAN MARIE DOUGLAS";1015976
"BRUCE, JAMIE ";"MEXICO ";"AUDRAIN";65265;"221 E JACKSON ST ";"(573) 529-8025";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002591235";;;;;;;;2591235
"CENTRAL MISSOURI COMMUNITY ACTION";"MEXICO";"AUDRAIN";"65265-2695";"801 E BRECKENRIDGE ST ";"(573) 581-6806";;"CHILD CARE CENTER";"10/14/2022";;49;"6 WEEKS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000725175";"807 N PROVIDENCE RD STE B ";"COLUMBIA";"MO";"65203-4359";"pattyv@cmca.us";"VOSHELL, PATRICIA SUE";"SUSAN MARIE DOUGLAS";725175
"CENTRAL MISSOURI COMMUNITY ACTION";"LADDONIA";"AUDRAIN";"63352-3017";"35063 HIGHWAY BB ";"(855) 708-7567";;"CHILD CARE CENTER";"08/28/2021";;20;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002729980";" ";;;;"toris@cmca.us";"SCHLEMMER-SIMS, TORIA BETH";"SUSAN MARIE DOUGLAS";2729980
"COUNTRYSIDE CHILDCARE";"MEXICO";"AUDRAIN";"65265-6224";"20624 AUDRAIN ROAD 928 ";"(573) 253-1736";;"FAMILY HOME";"05/12/2023";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001269381";" ";;;;"kennymexico@aol.com";"MECHLIN, TINA LOUISE";"SUSAN MARIE DOUGLAS";1269381
"FETTERHOFF, ANITA JEAN";"MEXICO";"AUDRAIN";"65265-3151";"720 WOODLAWN ST ";"(573) 581-8646";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 14 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000296648";" ";;;;"anitafetterhoff@hotmail.com";"FETTERHOFF, ANITA JEAN";"SUSAN MARIE DOUGLAS";296648
"FLOWERS, LYNN ANN";"FARBER";"AUDRAIN";63345;"111 E HESS ";"(573) 721-5994";;"FAMILY HOME";"08/28/2021";;10;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000814337";" ";;;;"lynnalen@yahoo.com";"FLOWERS, LYNN ANN";"SUSAN MARIE DOUGLAS";814337
"JACKSON, NOEMI ";"MEXICO ";"AUDRAIN";65265;"1003 WEST ST ";"(573) 721-1552";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=003004868";;;;;;;;3004868
"MEXICO AREA FAMILY YMCA INC.";"MEXICO";"AUDRAIN";"65265-2288";"1127 ADAMS ST ";"(573) 581-1540";;"CHILD CARE CENTER";"08/28/2021";;45;"5 YEARS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001379995";" ";;;;"samantha.wilson@mexicoymca.org";"JORGENSEN, JUSTINE";"SUSAN MARIE DOUGLAS";1379995
"MILLER, MELANNA GAIL";"MEXICO";"AUDRAIN";65265;"1419 PINELAWN ";"(573) 721-6838";;"FAMILY HOME";"03/30/2022";;10;"BIRTH - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002368585";" ";;;;"lildev_030405@yahoo.com";"MILLER, MELANNA GAIL";"CHRISTINA BRUCE";2368585
"MILLS, WENDY ANN";"MEXICO";"AUDRAIN";65265;"1165 N KENTUCKY ";"(573) 581-1720";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001102701";" ";;;;"WENDYANNM@YAHOO.COM";"MILLS, WENDY ANN";"SUSAN MARIE DOUGLAS";1102701
"NENE DAYCARE CENTER LIMITED LIABILITY COMPANY";"VANDALIA";"AUDRAIN";"63382-1157";"1300 W US HIGHWAY 54 ";"(573) 470-9581";;"CHILD CARE CENTER";"03/30/2023";;20;"24 MONTHS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002848342";"1300 W US HIGHWAY 54 ";"VANDALIA";"MO";"63382-1157";"wdavis331@outlook.com";"DAVIS, WHITTNEY RENEE";"CHRISTINA BRUCE";2848342
"POPS PLAYGROUND LLC";"VANDALIA";"AUDRAIN";"63382-1907";"601 S LINCOLN ST ";"(573) 591-1047";;"FAMILY HOME";"07/11/2023";;8;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002898468";" ";;;;"kendrawilliamscna@yahoo.com";"MCBRIDE, KENDRA SUE";"SUSAN MARIE DOUGLAS";2898468
"SMILEY DAYS CHILDCARE CENTER, LLC";"MEXICO";"AUDRAIN";"65265-2838";"408 N JEFFERSON ST ";"(573) 567-5190";;"CHILD CARE CENTER";"06/27/2022";;60;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002932189";"408 N JEFFERSON ST ";"MEXICO";"MO";"65265-2838";"SMILEYDAYS22@GMAIL.COM";"HARTGROVE, JODY ELIZABETH";"SUSAN MARIE DOUGLAS";2932189
"SONLIGHT CHRISTIAN DAYCARE";"VANDALIA";"AUDRAIN";"63382-1511";"213 N FORREST ST ";"(573) 594-2141";;"LICENSE EXEMPT PROGRAM";"08/01/2023";;44;"6 WEEKS - 10 YEARS";" 6:00 AM- 5:30 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001491238";" ";;;;"SONLIGHTCHRISTIANDAYCARE@WINDSTREAM.NET";"WILKES, KAREN";"SUSAN MARIE DOUGLAS";1491238
"SONLIGHT CHRISTIAN DAYCARE";"VANDALIA";"AUDRAIN";"63382-1511";"213 N FORREST ST ";"(573) 594-2141";;"LICENSE EXEMPT PROGRAM";"08/01/2023";;44;"6 WEEKS - 10 YEARS";" 6:00 AM- 5:30 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001491238";" ";;;;"SONLIGHTCHRISTIANDAYCARE@WINDSTREAM.NET";"WILKES, KAREN";"SUSAN MARIE DOUGLAS";1491238
"THE LITTLE GREENHOUSE LEARNING CENTER";"MEXICO";"AUDRAIN";65265;"633 W LOVE ST ";"(573) 581-4989";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000533533";" ";;;;"carfhar1@gmail.com";"HARRISON, FRAN";"SUSAN MARIE DOUGLAS";533533
"TINA'S DAYCARE, LLC";"MEXICO";"AUDRAIN";"65265-1630";"2716 RANDY ST ";"(573) 721-5091";;"FAMILY HOME";"08/28/2021";;10;"12 MONTHS - 10 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002113073";" ";;;;"TEENA_10@HOTMAIL.COM";"JOINER, TINA";"SUSAN MARIE DOUGLAS";2113073
"WHITE, LINDA LOUISE";"MEXICO";"AUDRAIN";65265;"1823 CHRISTOPHER DR ";"(573) 253-1577";;"FAMILY HOME";"08/28/2021";;10;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001840333";" ";;;;"lindaruss4@yahoo.com";"WHITE, LINDA LOUISE";"SUSAN MARIE DOUGLAS";1840333
"CASSVILLE UNITED METHODIST CHURCH SONBEAMS";"CASSVILLE";"BARRY";"65625-1407";"601 GRAVEL ST ";"(417) 847-6427";;"LICENSE EXEMPT PROGRAM";"06/01/2023";;15;"36 MONTHS - 5 YEARS";" 8:00 AM-11:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001984778";"PO BOX B ";"CASSVILLE";"MO";"65625-0902";"cassvillemethodist@gmail.com";"GIBSON, LINDY LOU";"ANGEL DONSON";1984778
"EDWARDS, SAUNDRA";"CASSVILLE";"BARRY";"65625-8727";"12401 FARM ROAD 2180 ";"(417) 847-5390";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 5:59 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001465043";" ";;;;"douglasredwards@hotmail.com";"EDWARDS, SAUNDRA";"ANGEL DONSON";1465043
"GIGGLES-N-GRACE DAYCARE LLC";"MONETT";"BARRY";"65708-1750";"527 E CLEVELAND AVE ";"(417) 342-9129";;"GROUP HOME";"11/11/2022";;17;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002781100";" ";;;;"mrs.aprilthomas@yahoo.com";"THOMAS, APRIL";"ANGEL DONSON";2781100
"GODS LITTLE KINGDOM";"CASSVILLE";"BARRY";"65625-1707";"905 OLD EXETER RD ";"(417) 847-2660";;"LICENSE EXEMPT PROGRAM";"11/01/2022";;49;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000561511";"PO BOX 456 ";"CASSVILLE";"MO";"65625-0456";"ms.glk65625@gmail.com";"BRATTIN, GLENDA";"ANGEL DONSON";561511
"GODS LITTLE KINGDOM";"CASSVILLE";"BARRY";"65625-1707";"905 OLD EXETER RD ";"(417) 847-2660";;"LICENSE EXEMPT PROGRAM";"11/01/2022";;49;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000561511";"PO BOX 456 ";"CASSVILLE";"MO";"65625-0456";"ms.glk65625@gmail.com";"BRATTIN, GLENDA";"ANGEL DONSON";561511
"HAYFORD, JANNETTE ";"CASSVILLE ";"BARRY";65625;"1108 FOREST CIRCLE DR ";"(479) 640-0534";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002963226";;;;;;;;2963226
"LIFE360 COMMUNITY SERVICES";"MONETT";"BARRY";"65708-1641";"815 N LINCOLN AVE ";"(417) 772-3801";;"CHILD CARE CENTER";"01/06/2023";;104;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002909535";;;;;;;;2909535
"LITTLE GIGGLES-N-GRACE DAYCARE LLC";"MONETT";"BARRY";"65708-1750";"531 E CLEVELAND AVE ";"(417) 342-9129";;"CHILD CARE CENTER";"01/06/2023";;20;"24 MONTHS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002955057";" ";;;;"mrs.aprilthomas@yahoo.com";;"ANGEL DONSON";2955057
"MCCRACKEN, SHALA";"EXETER";"BARRY";"65647-8133";"2060 FARM ROAD 2130 ";"(417) 489-4654";;"FAMILY HOME";"06/15/2022";;10;"BIRTH - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002935882";" ";;;;"Shala.harris1993@gmail.com";"MCCRACKEN, SHALA";"ANGEL DONSON";2935882
"MONETT R-1 DAY CARE ";"MONETT ";"BARRY";65708;"400 LINDEN AVE ";"(417) 354-2182";;"Sch";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002631870";;;;;;;;2631870
"NOAH'S ARK DAYCARE";"SHELL KNOB";"BARRY";65747;"25682 STATE HWY YY ";"(417) 737-9417";;"LICENSE EXEMPT PROGRAM";"07/19/2023";;83;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001069838";"25682 STATE HIGHWAY YY ";"SHELL KNOB";"MO";"65747-7151";"director.noahsarkdaycare@gmail.com";"FERGUSON, DEAN JOSEPH";"ANGEL DONSON";1069838
"NOAH'S ARK DAYCARE";"SHELL KNOB";"BARRY";65747;"25682 STATE HWY YY ";"(417) 737-9417";;"LICENSE EXEMPT PROGRAM";"07/19/2023";;83;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001069838";"25682 STATE HIGHWAY YY ";"SHELL KNOB";"MO";"65747-7151";"director.noahsarkdaycare@gmail.com";"FERGUSON, DEAN JOSEPH";"ANGEL DONSON";1069838
"OZARKS AREA COMMUNITY ACTION CORPORATION";"MONETT";"BARRY";65708;"307 15TH ST ";"(417) 864-3430";;"CHILD CARE CENTER";"04/13/2022";;8;"BIRTH - 35 MONTHS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000682266";" ";;;;"kshinnbrown@oac.ac";"COUSINS, ANDREA LYNN";"ANGEL DONSON";682266
"OZARKS AREA COMMUNITY ACTION CORPORATION";"MONETT";"BARRY";"65708-1826";"309 15TH ST ";"(417) 235-8779";;"CHILD CARE CENTER";"08/28/2021";;20;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001073314";"215 S BARNES AVE ";"SPRINGFIELD";"MO";"65802-2204";"kshinnbrown@oac.ac";"WALTRIP, IDA AUGUSTA";"ANGEL DONSON";1073314
"ABOUT OUR KIDS, INC.";"LAMAR";"BARTON";"64759-2141";"801 E 12TH ST ";"(417) 681-0559";;"CHILD CARE CENTER";"08/28/2021";;35;"5 YEARS - 10 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002166203";"PO BOX 375 ";"LAMAR";"MO";"64759-0375";"jerod@aokyouth.org";"MOREY, ZACHARY SETH";"PENNY KREITZER";2166203
"EAVES, BRITNI MARIE";"LAMAR";"BARTON";"64759-1512";"802 GRAND ST ";"(417) 682-3494";;"FAMILY HOME";"08/28/2021";;10;"3 MONTHS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002815252";" ";;;;"bumblebacdemy@gmail.com";"EAVES, BRITNI MARIE";"PENNY KREITZER";2815252
"ECONOMIC SECURITY CORPORATION OF SOUTHWEST AREA";"LAMAR";"BARTON";"64759-2410";"1806 HAGNY ST ";"(417) 682-5744";;"CHILD CARE CENTER";"07/27/2022";;24;"BIRTH - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000635825";" ";;;;"lharnar@escswa.org";"FAST, LYNNETTE MARIE";"PENNY KREITZER";635825
"FBC'S & 123'S CHRISTIAN PRESCHOOL";"LAMAR";"BARTON";"64759-2615";"1301 E 6TH ST ";"(417) 682-3538";;"LICENSE EXEMPT PROGRAM";"05/01/2023";;32;"36 MONTHS - 5 YEARS";" 7:45 AM-11:45 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002831341";"PO BOX 426 ";"LAMAR";"MO";"64759-0426";"preschool@fbclamar.org";"WAGGONER, VALERIE ANN";"HEATHER E RADNEY";2831341
"LAMAR DAY CARE CENTER";"LAMAR";"BARTON";64759;"903 MILL ";"(417) 682-3000";;"LICENSE EXEMPT PROGRAM";"07/01/2023";;49;"24 MONTHS - 6 YEARS";" 6:30 AM- 5:30 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002153360";"900 POPLAR ST ";"LAMAR";"MO";64759;"lamardaycare@gmail.com";"KEITHLY-COATS, ERIN";"HEATHER E RADNEY";2153360
"MOONEY, LIZABETH ELLEN";"LAMAR";"BARTON";"64759-9272";"243 SE 15TH RD ";"(417) 214-3801";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 10 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002611061";" ";;;;"lizabeth_mooney@hotmail.com";"MOONEY, LIZABETH ELLEN";"PENNY KREITZER";2611061
"OVERSTREET, MELISSA";"LAMAR";"BARTON";"64759-1061";"503 W 3RD ST ";"(417) 262-1068";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002384192";" ";;;;"melissaoverstreet@msn.com";"OVERSTREET, MELISSA";"PENNY KREITZER";2384192
