"ID";"Facility_Name";"Address_Street";"Address_City";"Address_County";"Address_State";"Address_zip";"Phone";"Facility_Type";"Capacity";"Status";"Expiration";"License_Number";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday";"Additional_Services";"Gold_Seal_Last_Accreditation_Agency";"Gold_Seal_Last_Accreditation_Effective_Date";"Gold_Seal_Last_Accreditation_Expiration_Date";"VPK_Program";"Faith_Based";"Head_Start";"School_Readiness"
425941;"Tiny Tykes Preschool";"120 Avenue E";"Winter Haven";"Polk";"FL";33880;8638755251;"Child Care Facility";63;"Operational";"02/22/2023";"C10PO0357 ";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";;;"After School;Before School;Drop In;Food Served;Full Day;Half Day;Infant Care;Transportation";;;;;"No";"No";"Yes"
275300;"Cypress Preschool Learning Center";"124 Avenue G";"Winter Haven";"Polk";"FL";33880;8632943233;"Child Care Facility";45;"Operational";"09/05/2022";"C10PO0274 ";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";;;"After School;Before School;Drop In;Full Day";;;;"Yes";"No";"No";"Yes"
35239;"Kids Nation LLC";"229 Avenue K";"Winter Haven";"Polk";"FL";33880;8638754880;"Child Care Facility";40;"Operational";"05/02/2023";"C10PO0810 ";" 6:30AM - 11:59PM";" 6:30AM - 11:59PM";" 6:30AM - 11:59PM";" 6:30AM - 11:59PM";" 6:30AM - 11:59PM";;;"After School;Before School;Drop In;Food Served;Full Day;Half Day;Infant Care;Night Care;Transportation";;;;"Yes";"No";"No";"Yes"
489930;"It Takes A Village Early Learning Center LLC";"130 Avenue G";"Winter Haven";"Polk";"FL";33880;8638756555;"Child Care Facility";104;"Operational";"03/28/2023";"C10PO0392 ";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";;;"After School;Before School;Food Served;Full Day;Infant Care;Transportation";;;;;"No";"No";"Yes"
33214;"Sonshine Preschool Inc";"133 Avenue C";"Winter Haven";"Polk";"FL";33880;8632931652;"Child Care Facility";50;"Operational";"01/30/2023";"C10PO0163 ";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";;;"After School;Food Served;Full Day;Half Day;Transportation";;;;"Yes";"No";"No";"Yes"
256583;"Xtreme Kids Lite";"5001 State Road 540";"Winter Haven";"Polk";"FL";33880;8635572669;"Child Care Facility";31;"Operational";"10/29/2022";"C10PO0012 ";" 3:15PM - 6:00PM";" 3:15PM - 6:00PM";" 3:15PM - 6:00PM";" 3:15PM - 6:00PM";" 3:15PM - 6:00PM";;;"After School";;;;;"No";"No";"No"
439979;"All Saints Academy";"5001 State Road 540";"Winter Haven";"Polk";"FL";33880;8632935980;"Child Care Facility";95;"Operational";"03/10/2023";"X10PO0047 ";" 8:15AM - 3:00PM";" 8:15AM - 3:00PM";" 8:15AM - 3:00PM";" 8:15AM - 3:00PM";" 8:15AM - 3:00PM";" 8:15AM - 3:00PM";" 8:15AM - 3:00PM";"Food Served;Full Day;Half Day";;;;;"Yes";"No";"No"
36080;"Grace Lutheran School";"320 Bates Ave";"Winter Haven";"Polk";"FL";33880;8632999186;"Child Care Facility";100;"Operational";"10/22/2022";"C10PO0835 ";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";;;"After School;Before School;Full Day;Half Day";;;;;"No";"No";"No"
32927;"Ereen's Little Learners PreSchool";"595 Avenue L";"Winter Haven";"Polk";"FL";33880;8632935269;"Child Care Facility";37;"Operational";"01/14/2023";"C10PO0666 ";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";;;"After School;Food Served;Full Day;Half Day";;;;"Yes";"No";"No";"Yes"
36629;"Kiddie Korner";"400 Avenue C";"Winter Haven";"Polk";"FL";33880;8632943375;"Child Care Facility";105;"Operational";"06/30/2023";"C10PO0133 ";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";;;"After School;Before School;Full Day;Half Day";"Accredited Professional Preschool Learning Environment";"06/30/2022";"06/30/2027";"Yes";"No";"No";"Yes"
471864;"Cypress Academy Preschool";"701 Cypress Gardens Blvd";"Winter Haven";"Polk";"FL";33880;8638455099;"Child Care Facility";101;"Operational";"08/08/2022";"C10PO0368 ";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";;;"Food Served;Full Day;Infant Care";;;;;"No";"No";"Yes"
412603;"2 Students Making Educated Decisions - Winter Haven High School";"600 6th St";"Winter Haven";"Polk";"FL";33880;4044211915;"Child Care Facility";100;"Operational";;"E10PO0103 ";" 2:30PM - 4:30PM";" 2:30PM - 4:30PM";" 2:30PM - 4:30PM";" 2:30PM - 4:30PM";" 2:30PM - 4:30PM";;;"After School";;;;;"No";"No";"No"
32675;"SACCA Brigham Academy Campus Kid Care";"601 Avenue C";"Winter Haven";"Polk";"FL";33880;8632915310;"Child Care Facility";50;"Operational";"12/31/2022";"C10PO0157 ";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";;;"After School;Before School;Full Day;Half Day";;;;;"No";"No";"Yes"
289827;"Polk County Schools - Brigham Academy ";"601 Avenue C";"Winter Haven";"Polk";"FL";33880;8636483047;"Child Care Facility";0;"Operational";;"E10PO0060 ";;;;;;;;;;;;"Yes";"No";"No";"No"
32155;"Parkland Baptist Child Care Center";"1800 8th St";"Winter Haven";"Polk";"FL";33880;8632931207;"Child Care Facility";145;"Operational";"09/30/2022";"C10PO0143 ";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";;;"After School;Full Day;Half Day;Transportation";;;;;"No";"No";"No"
19999;"Polk County Schools Head Start - Wahneta Elementary";"205 4th Wahneta St";"Winter Haven";"Polk";"FL";33880;8632915392;"Child Care Facility";0;"Operational";;"E10PO0048 ";;;;;;;;;;;;;"No";"Yes";"No"
33757;"Fuller Family Day Care Home";"236 24th St";"Winter Haven";"Polk";"FL";33880;8636625026;"Family Day Care Home";10;"Operational";"02/28/2023";"F10PO0190 ";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";;;"Food Served;Full Day;Infant Care";;;;;"No";"No";"No"
477851;"Taylor'd to Learning Home Daycare";"1037 Normandy Heights Cir";"Winter Haven";"Polk";"FL";33880;9548702707;"Family Day Care Home";10;"Operational";"12/19/2022";"F10PO0364 ";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";;;"After School;Before School;Food Served;Full Day;Infant Care";;;;;"No";"No";"Yes"
295090;"BOCA RATON ELEMENTARY ASP";"103 1st Ave";"Boca Raton";"Palm Beach";"FL";33432;5615441701;"Child Care Facility";105;"Operational";;"E15PB0706 ";;;;;;;;"After School";"Cognia (FKA AdvanceED)";"06/30/2018";"06/30/2023";;"No";"No";"Yes"
294468;"St. Joan of Arc Pre-School";"501 3rd Ave";"Boca Raton";"Palm Beach";"FL";33432;5613927974;"Child Care Facility";96;"Operational";"12/31/2022";"C15PB0374 ";;;;;;;;;;;;;"No";"No";"No"
294430;"Sea Star";"251 4th Ave";"Boca Raton";"Palm Beach";"FL";33432;5613947674;"Child Care Facility";49;"Operational";"12/31/2022";"C15PB0339 ";" 7:30AM - 5:30PM";" 7:30AM - 5:30PM";" 7:30AM - 5:30PM";" 7:30AM - 5:30PM";" 7:30AM - 5:30PM";;;"After School;Before School;Full Day";;;;;"No";"No";"No"
294317;"Children's House Montessori School East Boca";"100 Pine Cir";"Boca Raton";"Palm Beach";"FL";33432;5613910074;"Child Care Facility";69;"Operational";"12/31/2022";"C15PB0268 ";;;;;;;;;"Cognia (FKA AdvanceED)";"08/09/2021";"06/30/2026";"Yes";"No";"No";"Yes"
294104;"Miss Fran's Early Learning Center";"401 2nd Ave";"Boca Raton";"Palm Beach";"FL";33432;5613387649;"Child Care Facility";90;"Operational";"12/31/2022";"C15PB0150 ";;;;;;;;;;;;"Yes";"No";"No";"No"
294087;"MECE, Inc.";"625 Mizner Blvd";"Boca Raton";"Palm Beach";"FL";33432;5613681215;"Child Care Facility";88;"Operational";"12/31/2022";"C15PB0133 ";" 9:00AM - 2:00PM";" 9:00AM - 2:00PM";" 9:00AM - 2:00PM";" 9:00AM - 2:00PM";" 9:00AM - 2:00PM";;;"Half Day";"United Methodist Association of Preschools, Inc.";"04/08/2021";"04/08/2024";;"No";"No";"No"
294103;"Boca Raton Christian School  Inc.";"601 4th Ave";"Boca Raton";"Palm Beach";"FL";33432;5613912727;"Child Care Facility";101;"Operational";"12/31/2022";"C15PB0149 ";;;;;;;;;;;;"Yes";"No";"No";"No"
294542;"Florence Fuller Child Development Centers, Inc.";"200 14th St";"Boca Raton";"Palm Beach";"FL";33432;5613917274;"Child Care Facility";282;"Operational";"12/31/2022";"C15PB0435 ";;;;;;;;"Night Care";"National Association for the Education of Young Children";"08/20/2018";"11/01/2023";"Yes";"No";"Yes";"Yes"
294105;"Boca Raton Housing Authority";"1350 Dixie Hwy";"Boca Raton";"Palm Beach";"FL";33432;5612891241;"Child Care Facility";60;"Operational";"12/31/2022";"C15PB0151 ";;;;;;;;"After School;Transportation";;;;;"No";"No";"Yes"
294590;"The Appleseed";"1300 4th Ave";"Boca Raton";"Palm Beach";"FL";33432;5613912171;"Child Care Facility";119;"Operational";"12/31/2022";"C15PB0477 ";;;;;;;;;"Accredited Professional Preschool Learning Environment";"03/10/2018";"03/10/2023";"Yes";"Yes";"No";"Yes"
294634;"The Learning Center, LLC";"258 - 264 NW 15th Street";"Boca Raton";"Palm Beach";"FL";33432;5613911140;"Child Care Facility";113;"Operational";"12/31/2022";"C15PB0687 ";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";;;"Full Day;Half Day;Infant Care";"Accredited Professional Preschool Learning Environment";"10/30/2021";"10/30/2026";"Yes";"No";"No";"Yes"
476887;"Sunville Academy, Inc.";"273 15th St";"Boca Raton";"Palm Beach";"FL";33432;5613955044;"Child Care Facility";73;"Operational";"12/31/2022";"C15PB0277 ";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";;"After School;Before School;Food Served;Full Day;Half Day;Infant Care;Transportation";;;;;"No";"No";"Yes"
293966;"A Boca Raton Montessori School Inc.";"1540 15th Vis";"Boca Raton";"Palm Beach";"FL";33432;5613685253;"Child Care Facility";50;"Operational";"12/31/2022";"C15PB0055 ";;;;;;;;;;;;"Yes";"No";"No";"No"
294562;"Global Learning of Boca Raton";"1683 15th Vis";"Boca Raton";"Palm Beach";"FL";33432;5613685255;"Child Care Facility";64;"Operational";"12/31/2022";"C15PB0452 ";" 7:00AM - 5:00PM";" 7:00AM - 5:00PM";" 7:00AM - 5:00PM";" 7:00AM - 5:00PM";" 7:00AM - 5:00PM";;;"Food Served;Full Day";"Accredited Professional Preschool Learning Environment";"01/23/2021";"01/23/2026";"Yes";"No";"No";"Yes"
369574;"Wonder Kidz Academy LLC";"557 Clearwater Largo Rd";"Largo";"Pinellas";"FL";33770;7275811195;"Child Care Facility";90;"Operational";"04/22/2023";"C06PI0414 ";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";;;"After School;Before School;Food Served;Full Day;Half Day;Infant Care;Transportation";"National Early Childhood Program Accreditation";"09/18/2020";"08/31/2023";"Yes";"No";"No";"Yes"
340019;"Mildred Helms Elementary - R'Club Child Care Inc.";"561 Clearwater Largo Rd";"Largo";"Pinellas";"FL";33770;7272388962;"Child Care Facility";150;"Operational";"05/22/2023";"C06PI0388 ";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";;;"After School;Before School;Drop In;Food Served;Full Day;Half Day";;;;;"No";"No";"Yes"
365475;"AMA After School Enrichment Program - Largo";"780 Missouri Ave";"Largo";"Pinellas";"FL";33770;7275858988;"Child Care Facility";100;"Operational";"04/22/2023";"C06PI0410 ";" 2:00PM - 6:00PM";" 2:00PM - 6:00PM";" 2:00PM - 6:00PM";" 2:00PM - 6:00PM";" 2:00PM - 6:00PM";;;"After School;Full Day;Half Day;Transportation";;;;;"No";"No";"Yes"
290451;"Largo Country School";"1351 Clearwater Largo Rd";"Largo";"Pinellas";"FL";33770;7275865180;"Child Care Facility";71;"Operational";"08/03/2022";"C06PI0147 ";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";" 6:30AM - 5:30PM";;;"Food Served;Full Day";"Accredited Professional Preschool Learning Environment";"09/06/2019";"09/06/2024";"Yes";"No";"No";"Yes"
290584;"Prince of Peace Preschool";"455 Missouri Ave";"Largo";"Pinellas";"FL";33770;7275859790;"Child Care Facility";64;"Operational";"02/07/2023";"C06PI0200 ";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";;;"Full Day;Half Day";;;;"Yes";"No";"No";"Yes"
290386;"Highland Recreation Center";"400 Highland Ave";"Largo";"Pinellas";"FL";33770;7275183016;"Child Care Facility";216;"Operational";"05/20/2023";"C06PI0106 ";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";" 6:30AM - 6:00PM";;;"After School;Before School;Full Day;Transportation";;;;;"No";"No";"Yes"
290508;"Little Pals Preschool";"400 Highland Ave";"Largo";"Pinellas";"FL";33770;7275183016;"Child Care Facility";15;"Operational";"06/11/2023";"C06PI0156 ";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";;;"Full Day";;;;"Yes";"No";"No";"No"
369540;"Naci, Mimoza";"96 Mineola Dr";"Largo";"Pinellas";"FL";33770;7274588768;"Family Day Care Home";5;"Operational";"02/26/2023";"F06PI0063 ";" 6:00AM - 6:00PM";" 6:00AM - 6:00PM";" 6:00AM - 6:00PM";" 6:00AM - 6:00PM";" 6:00AM - 6:00PM";;;"Full Day;Half Day";;;;;"No";"No";"No"
356719;"St. Patrick Catholic School";"1501 Trotter Rd";"Largo";"Pinellas";"FL";33770;7275814865;"Child Care Facility";35;"Operational";"09/11/2022";"C06PI0395 ";" 7:50AM - 4:00PM";" 7:50AM - 4:00PM";" 7:50AM - 4:00PM";" 7:50AM - 4:00PM";" 7:50AM - 4:00PM";;;"After School;Full Day;Half Day";;;;"Yes";"Yes";"No";"No"
291843;"Chinkan, Kay";"509 15th Ave";"Largo";"Pinellas";"FL";33770;7275863736;"Family Day Care Home";8;"Operational";"09/04/2022";"F06PI0581 ";" 6:00AM - 11:59PM";" 6:00AM - 11:59PM";" 6:00AM - 11:59PM";" 6:00AM - 11:59PM";" 6:00AM - 11:59PM";;;"After School;Before School;Drop In;Food Served;Full Day;Infant Care;Night Care;Weekend Care";;;;;"No";"No";"Yes"
292151;"Precourt, Anna Denise";"1109 18th St";"Largo";"Pinellas";"FL";33770;7275860150;"Family Day Care Home";8;"Operational";"08/03/2022";"F06PI0691 ";" 7:30AM - 5:30PM";" 7:30AM - 5:30PM";" 7:30AM - 5:30PM";" 7:30AM - 5:30PM";" 7:30AM - 5:30PM";;;"Food Served;Full Day;Infant Care";;;;;"No";"No";"No"
376707;"Miranda-Vazquez, Grisel";"2650 8th Ave";"Largo";"Pinellas";"FL";33770;7275811671;"Family Day Care Home";8;"Operational";"04/22/2023";"F06PI0069 ";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";" 7:00AM - 6:00PM";;;"Food Served;Full Day;Infant Care";;;;;"No";"No";"Yes"
403414;"Williams, Terri (DBA) Next Generation Day Care LLC";"3127 Vernon Ter";"Largo";"Pinellas";"FL";33770;7277546293;"Family Day Care Home";8;"Operational";"06/23/2023";"F06PI0087 ";" 8:00AM - 7:00PM";" 8:00AM - 7:00PM";" 8:00AM - 7:00PM";" 8:00AM - 7:00PM";" 8:00AM - 7:00PM";;;"Full Day";;;;;"No";"No";"No"
408375;"Webb, Mitzi (LFCCH)";"3405 Avocado Rd";"Largo";"Pinellas";"FL";33770;7275867524;"Large Family Child Care Home";12;"Operational";"11/17/2022";"L06PI0010 ";" 7:00AM - 5:00PM";" 7:00AM - 5:00PM";" 7:00AM - 5:00PM";" 7:00AM - 5:00PM";" 7:00AM - 5:00PM";;;"After School;Before School;Drop In;Food Served;Full Day;Half Day;Infant Care";;;;;"No";"No";"No"
291739;"Riverside Montessori";"320 Florida St";"Stuart";"Martin";"FL";34994;7722477547;"Child Care Facility";100;"Operational";"01/22/2023";"C19MA0081 ";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";;;"After School;Before School;Full Day;Half Day;Infant Care";;;;"Yes";"No";"No";"Yes"
478920;"Pace Learning Academy";"915 East Ave";"Stuart";"Martin";"FL";34994;7726342317;"Child Care Facility";8;"Operational";"11/11/2022";"C19MA0098 ";" 7:30AM - 5:00PM";" 7:30AM - 5:00PM";" 7:30AM - 5:00PM";" 7:30AM - 5:00PM";" 7:30AM - 5:00PM";;;"Food Served;Full Day;Infant Care";;;;;"No";"No";"Yes"
407206;"Boys and Girls Club of Martin County - Stuart Middle School";"575 Georgia Ave";"Stuart";"Martin";"FL";34994;7725451255;"Child Care Facility";;"Operational";"07/25/2021";"E19MA0052 ";" 2:30PM - 7:00PM";" 2:30PM - 7:00PM";" 2:30PM - 7:00PM";" 2:30PM - 7:00PM";" 2:30PM - 7:00PM";;;"After School";;;;;"No";"No";"No"
269121;"All About ABC's Learning Center II";"510 Lake St";"Stuart";"Martin";"FL";34994;7728883611;"Child Care Facility";15;"Operational";"05/15/2023";"C19MA0079 ";" 6:30AM - 11:59PM";" 6:30AM - 11:59PM";" 6:30AM - 11:59PM";" 6:30AM - 11:59PM";" 6:30AM - 11:59PM";" 6:30AM - 11:59PM";" 6:30AM - 7:00PM";"After School;Before School;Drop In;Food Served;Full Day;Half Day;Infant Care;Night Care;Weekend Care";;;;;"No";"No";"Yes"
36479;"Gertrude Walden Child Care Center, Inc.";"601 Lake St";"Stuart";"Martin";"FL";34994;7722836321;"Child Care Facility";183;"Operational";"02/26/2023";"C19MA0015 ";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";" 7:00AM - 5:30PM";;;"Food Served;Full Day;Half Day";"National Association for the Education of Young Children";"05/23/2019";"04/01/2024";"Yes";"No";"No";"Yes"
