"id";"provider_id";"compliance type";"inspection/investigation date";"findings";"violation date";"compliance date";"action taken";"statute/regulation";"section"
12352;10000163;"INSPECTION UNANNOUNCED";"04/11/2018";"IN-COMPLIANCE";;"04/11/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17884;10003537;"INSPECTION UNANNOUNCED";"10/01/2020";"IN-COMPLIANCE";;"10/01/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17356;10003537;"INSPECTION ANNOUNCED";"03/11/2020";"IN-COMPLIANCE";;"03/11/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17144;10003537;"INSPECTION UNANNOUNCED";"11/06/2019";"NON-COMPLIANCE";"11/06/2019";"01/24/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1060 ADDITIONAL PROVISIONS"
17143;10003537;"INSPECTION UNANNOUNCED";"11/06/2019";"NON-COMPLIANCE";"11/06/2019";"01/24/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15941;10003537;"INSPECTION ANNOUNCED";"06/20/2019";"NON-COMPLIANCE";"06/20/2019";"08/15/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1070 MEDICATIONS"
15940;10003537;"INSPECTION ANNOUNCED";"06/20/2019";"NON-COMPLIANCE";"06/20/2019";"08/15/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15939;10003537;"INSPECTION ANNOUNCED";"06/20/2019";"NON-COMPLIANCE";"06/20/2019";"08/15/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.400 - ADMIS AND PLANNING FOR CARE"
14735;10003537;"INSPECTION UNANNOUNCED";"12/06/2018";"NON-COMPLIANCE";"12/06/2018";"01/24/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.500 - SUPERVISION OF CHILDREN"
14734;10003537;"INSPECTION UNANNOUNCED";"12/06/2018";"NON-COMPLIANCE";"12/06/2018";"01/24/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
13109;10003537;"INSPECTION ANNOUNCED";"05/02/2018";"NON-COMPLIANCE";"05/02/2018";"06/01/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
18345;10011064;"INSPECTION UNANNOUNCED";"03/09/2021";"IN-COMPLIANCE";;"03/09/2021";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
18061;10011064;"INVESTIGATION/PRIORITY 2";"12/07/2020";"IN-COMPLIANCE";;"12/07/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17976;10011064;"INSPECTION ANNOUNCED";"08/18/2020";"IN-COMPLIANCE";;"08/18/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17926;10011064;"INSPECTION ANNOUNCED";"08/13/2020";"NON-COMPLIANCE";"08/13/2020";"10/21/2020";"PLAN OF CORRECTION";"CHILDCARE ASSISTANCE REGULATIONS";"41.255 RECORDS"
15814;10011064;"INSPECTION ANNOUNCED";"06/05/2019";"IN-COMPLIANCE";;"06/05/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
14852;10011064;"INVESTIGATION/PRIORITY 2";"10/01/2018";"NON-COMPLIANCE";"10/01/2018";"02/19/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
14431;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";;"ENFORCEMENT";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
14416;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";;"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.410 - INFO FOR PARENTS"
14413;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";;"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
14412;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";;"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
14409;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";;"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.220 - OPERATION AND MANAGEMENT"
14432;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 10";"10.1060 ADDITIONAL PROVISIONS"
14430;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
14429;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
14428;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
14427;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 10";"10.1022 WASTEWATER DISPOSAL"
14426;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 10";"10.925 MONITORING & NOTIFICATION REQ"
14425;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.620 - SPACE"
14424;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.535 - BEHAVIOR GUIDANCE"
14423;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.535 - BEHAVIOR GUIDANCE"
14422;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.535 - BEHAVIOR GUIDANCE"
14421;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.520 - PROGRAM"
14420;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.505 - CHILD-CAREGIVER RATIOS"
14419;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.500 - SUPERVISION OF CHILDREN"
14418;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.500 - SUPERVISION OF CHILDREN"
14417;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.500 - SUPERVISION OF CHILDREN"
14415;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.400 - ADMIS AND PLANNING FOR CARE"
14414;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.400 - ADMIS AND PLANNING FOR CARE"
14411;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
14410;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
14408;10011064;"INVESTIGATION/PRIORITY 2";"05/22/2018";"NON-COMPLIANCE";"05/22/2018";"04/24/2019";"ENFORCEMENT";"LICENSING REGS 7AAC 57";"57.220 - OPERATION AND MANAGEMENT"
18250;10000330;"INSPECTION ANNOUNCED";"02/08/2021";"IN-COMPLIANCE";;"02/08/2021";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17779;10000330;"INSPECTION ANNOUNCED";"08/25/2020";"IN-COMPLIANCE";;"08/25/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
16921;10000330;"INSPECTION ANNOUNCED";"12/10/2019";"IN-COMPLIANCE";;"12/10/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
15205;10000330;"INSPECTION UNANNOUNCED";"04/04/2019";"IN-COMPLIANCE";;"04/04/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
14346;10000330;"INVESTIGATION/PRIORITY 2";"10/24/2018";"IN-COMPLIANCE";;"10/24/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
12387;10000330;"INSPECTION UNANNOUNCED";"04/11/2018";"IN-COMPLIANCE";;"04/11/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
18033;10000327;"INSPECTION ANNOUNCED";"11/04/2020";"IN-COMPLIANCE";;"11/04/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17554;10000327;"INSPECTION ANNOUNCED";"06/24/2020";"IN-COMPLIANCE";;"06/24/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
16659;10000327;"INSPECTION ANNOUNCED";"11/06/2019";"IN-COMPLIANCE";;"11/06/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
14972;10000327;"INSPECTION UNANNOUNCED";"03/07/2019";"IN-COMPLIANCE";;"03/07/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
14037;10000327;"INSPECTION ANNOUNCED";"10/09/2018";"IN-COMPLIANCE";;"10/09/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
18244;10016608;"INSPECTION UNANNOUNCED";"02/16/2021";"IN-COMPLIANCE";;"02/16/2021";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17645;10016608;"INSPECTION ANNOUNCED";"08/05/2020";"IN-COMPLIANCE";;"08/05/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
16864;10016608;"INSPECTION UNANNOUNCED";"12/10/2019";"IN-COMPLIANCE";;"12/10/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
16245;10016608;"INSPECTION ANNOUNCED";"08/06/2019";"IN-COMPLIANCE";;"08/06/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
15177;10016608;"INSPECTION UNANNOUNCED";"03/11/2019";"NON-COMPLIANCE";"03/11/2019";"04/08/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1030 TOILET/SINK/SHOW/BATH FAC"
15176;10016608;"INSPECTION UNANNOUNCED";"03/11/2019";"NON-COMPLIANCE";"03/11/2019";"04/08/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1060 ADDITIONAL PROVISIONS"
13166;10016608;"INSPECTION ANNOUNCED";"06/25/2018";"IN-COMPLIANCE";;"06/25/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
18334;10016489;"INSPECTION ANNOUNCED";"02/19/2021";"IN-COMPLIANCE";;"02/19/2021";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17984;10016489;"INSPECTION UNANNOUNCED";"11/04/2020";"IN-COMPLIANCE";;"11/04/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17204;10016489;"INSPECTION ANNOUNCED";"01/21/2020";"NON-COMPLIANCE";"01/21/2020";"02/13/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1070 MEDICATIONS"
17203;10016489;"INSPECTION ANNOUNCED";"01/21/2020";"NON-COMPLIANCE";"01/21/2020";"02/13/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1070 MEDICATIONS"
17202;10016489;"INSPECTION ANNOUNCED";"01/21/2020";"NON-COMPLIANCE";"01/21/2020";"02/13/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1070 MEDICATIONS"
17201;10016489;"INSPECTION ANNOUNCED";"01/21/2020";"NON-COMPLIANCE";"01/21/2020";"02/13/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
17200;10016489;"INSPECTION ANNOUNCED";"01/21/2020";"NON-COMPLIANCE";"01/21/2020";"02/13/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.400 - ADMIS AND PLANNING FOR CARE"
17199;10016489;"INSPECTION ANNOUNCED";"01/21/2020";"NON-COMPLIANCE";"01/21/2020";"02/13/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.310 - QUAL AND RESPNSE OF EMPLY & IND"
16403;10016489;"INSPECTION UNANNOUNCED";"09/17/2019";"IN-COMPLIANCE";;"09/17/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
15064;10016489;"INSPECTION ANNOUNCED";"03/21/2019";"IN-COMPLIANCE";;"03/21/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
13961;10016489;"INSPECTION UNANNOUNCED";"09/19/2018";"IN-COMPLIANCE";;"09/19/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17677;10004578;"INSPECTION UNANNOUNCED";"08/13/2020";"IN-COMPLIANCE";;"08/13/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17330;10004578;"INSPECTION ANNOUNCED";"02/20/2020";"NON-COMPLIANCE";"02/20/2020";"03/04/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.550 - HEALTH"
17329;10004578;"INSPECTION ANNOUNCED";"02/20/2020";"NON-COMPLIANCE";"02/20/2020";"03/04/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.400 - ADMIS AND PLANNING FOR CARE"
17328;10004578;"INSPECTION ANNOUNCED";"02/20/2020";"NON-COMPLIANCE";"02/20/2020";"03/04/2020";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.400 - ADMIS AND PLANNING FOR CARE"
16574;10004578;"INSPECTION UNANNOUNCED";"10/09/2019";"NON-COMPLIANCE";"10/09/2019";"10/18/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1040 GEN CLNING/SANITATION"
15704;10004578;"INSPECTION ANNOUNCED";"05/10/2019";"NON-COMPLIANCE";"05/10/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
15703;10004578;"INSPECTION ANNOUNCED";"05/10/2019";"NON-COMPLIANCE";"05/10/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.350 - ORIENT AND TRAINING"
15702;10004578;"INSPECTION ANNOUNCED";"05/10/2019";"NON-COMPLIANCE";"05/10/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.350 - ORIENT AND TRAINING"
15701;10004578;"INSPECTION ANNOUNCED";"05/10/2019";"NON-COMPLIANCE";"05/10/2019";"05/17/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.230 - RECORDS"
14948;10004578;"INSPECTION UNANNOUNCED";"02/08/2019";"NON-COMPLIANCE";"02/08/2019";"03/06/2019";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 57";"57.500 - SUPERVISION OF CHILDREN"
14077;10004578;"INVESTIGATION/PRIORITY 3";"05/09/2018";"IN-COMPLIANCE";;"05/09/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17777;10016366;"INSPECTION ANNOUNCED";"08/25/2020";"IN-COMPLIANCE";;"08/25/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17268;10016366;"INSPECTION UNANNOUNCED";"02/12/2020";"IN-COMPLIANCE";;"02/12/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
16441;10016366;"INSPECTION ANNOUNCED";"09/26/2019";"IN-COMPLIANCE";;"09/26/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
15183;10016366;"INSPECTION UNANNOUNCED";"04/03/2019";"IN-COMPLIANCE";;"04/03/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
13466;10016366;"INSPECTION ANNOUNCED";"07/17/2018";"IN-COMPLIANCE";;"07/17/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
12407;10016366;"INSPECTION UNANNOUNCED";"04/12/2018";"IN-COMPLIANCE";;"04/12/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
18353;10001101;"INSPECTION ANNOUNCED";"03/04/2021";"IN-COMPLIANCE";;"03/04/2021";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
18164;10001101;"INSPECTION UNANNOUNCED";"01/21/2021";"IN-COMPLIANCE";;"01/21/2021";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17804;10001101;"INSPECTION ANNOUNCED";"08/14/2020";"IN-COMPLIANCE";;"08/14/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
15094;10001101;"INSPECTION ANNOUNCED";"03/28/2019";"IN-COMPLIANCE";;"03/28/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
14107;10001101;"INSPECTION ANNOUNCED";"10/17/2018";"IN-COMPLIANCE";;"10/17/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
12724;10001101;"INSPECTION ANNOUNCED";"05/15/2018";"IN-COMPLIANCE";;"05/15/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
18097;10000557;"INSPECTION ANNOUNCED";"01/15/2021";"IN-COMPLIANCE";;"01/15/2021";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17833;10000557;"INSPECTION ANNOUNCED";"09/17/2020";"IN-COMPLIANCE";;"09/17/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17226;10000557;"INSPECTION ANNOUNCED";"02/11/2020";"IN-COMPLIANCE";;"02/11/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
14457;10000557;"INSPECTION ANNOUNCED";"12/05/2018";"IN-COMPLIANCE";;"12/05/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
13687;10000557;"INSPECTION UNANNOUNCED";"08/21/2018";"IN-COMPLIANCE";;"08/21/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17596;10011236;"INSPECTION ANNOUNCED";"07/23/2020";"IN-COMPLIANCE";;"07/23/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
16629;10011236;"INVESTIGATION/PRIORITY 2";"10/21/2019";"IN-COMPLIANCE";;"10/24/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
15181;10011236;"INSPECTION ANNOUNCED";"04/04/2019";"IN-COMPLIANCE";;"04/04/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
14396;10011236;"INSPECTION UNANNOUNCED";"10/23/2018";"IN-COMPLIANCE";;"10/23/2018";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
12544;10011236;"INSPECTION ANNOUNCED";"04/12/2018";"NON-COMPLIANCE";"04/12/2018";"05/04/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
17705;10015771;"INSPECTION ANNOUNCED";"08/20/2020";"IN-COMPLIANCE";;"08/20/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
17136;10015771;"INSPECTION ANNOUNCED";"02/05/2020";"IN-COMPLIANCE";;"02/05/2020";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
16800;10015771;"INSPECTION UNANNOUNCED";"12/02/2019";"IN-COMPLIANCE";;"12/02/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
15215;10015771;"INSPECTION ANNOUNCED";"04/10/2019";"IN-COMPLIANCE";;"04/10/2019";"NONE NEEDED";"ALL LICENSING STATUTE AND REGULATIONS";"IN REGULATORY COMPLIANCE/NO VIOLATIONS"
14078;10015771;"INSPECTION UNANNOUNCED";"10/10/2018";"NON-COMPLIANCE";"10/10/2018";"11/09/2018";"PLAN OF CORRECTION";"LICENSING REGS 7AAC 10";"10.1035 PREMISES"
