"title";"street_address";"city";"state";"zip";"QRIS_step";"phone";"category";"ages_served";"id";"DBA";"RR";"C_O";"licensing_specialist";"licensing_specialist_email";"status";"status_date";"capacity";"approval_date";"license_type";"licensed_from";"licensed_to";"accepts_ccps"
"PENNEY, SHEILA";"107 MARTIN RD.";"KITTERY";"ME";3904;2;"(207) 451-7529";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";469359;"JUST IN TIME CHILDCARE";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"1/27/21";12;"10/28/2020";"Full";"1/09/2021";"1/09/2023";"No"
"SHOOP, ZEHRA NUR";"4 SPARHAWK LANE";"KITTERY";"ME";3904;2;"(207) 439-2515";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 1<br />Open Toddler Slots, 1-2 years old: 1<br />Open Preschool Slots, 3-5 years old: 1<br />Open School Age Slots, 5 years or older: 0<br />";470597;"MISS NUR'S SCHOOL";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Renewal in process";"7/10/22";12;"7/29/2020";"Full";"7/29/2020";"7/09/2022";"Yes"
"SEEDS OF WONDER";"120 ROGERS ROAD";"KITTERY";"ME";3904;1;"(207) 703-6921";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";761963;"ALICA JOHNSON";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"9/26/22";45;"5/25/2022";"Provisional";"8/16/2022";"8/16/2023";"No"
"ADVENTURE LEARNING NURSERY SCHOOL";"29 WALKER STREET";"KITTERY";"ME";3904;1;"(207) 439-7131";"Child Care-Nursery School";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";217584;"JILL MAGINNIS";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Renewal in process";"9/19/22";12;"7/12/2021";"Full";"9/18/2021";"9/18/2022";"No"
"OUR SCHOOL NURSERY SCHOOL";"518 US ROUTE ONE";"KITTERY";"ME";3904;1;"(207) 439-1111";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";216070;"JILL LARSON";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Renewal in process";"2/09/22";40;"12/09/2019";"Full";"2/08/2020";"2/08/2022";"No"
"GREAT BEGINNINGS 3";"76 ROUTE 236";"KITTERY";"ME";3904;1;"(207) 703-2487";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 1<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";419938;"JESSICA REGIS";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"8/03/21";31;"10/14/2020";"Full";"12/14/2020";"12/14/2022";"Yes"
"DURGIN PINES PRESCHOOL";"9 LEWIS ROAD";"KITTERY";"ME";3904;1;"(207) 439-9800";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";571716;"Abigail Wheeler";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"9/20/21";16;"7/07/2021";"Full";"7/14/2021";"7/14/2023";"Yes"
"BURBANK, KAREN";"122 MARTIN RD";"KITTERY";"ME";3904;;"(207) 439-6672";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";213709;"CARE & SCHOOL";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"6/23/22";8;"5/02/2022";"Full";"5/09/2022";"5/09/2024";"No"
"RENDELL, ANGELA R.";"179 LITTLE RIVER ROAD";"NORTH BERWICK";"ME";3906;1;"(207) 457-1454";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";568816;"LITTLE FARM FAMILY DAYCARE";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"5/11/21";12;"4/06/2021";"Full";"5/06/2021";"5/06/2023";"No"
"MATHEWS, KERRIE";"170 NORTH MAPLE STREET";"NORTH BERWICK";"ME";3906;1;"(207) 216-0386";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";751091;;;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"5/07/21";12;"4/08/2020";"Full";"5/04/2021";"5/04/2023";"No"
"SANFORD SPRINGVALE YMCA - NORTH BERWICK PRIMARY SCHOOL";"25 VARNEY STREET";"NORTH BERWICK";"ME";3906;1;"(207) 324-4942";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";531866;"Andy Orazio CEO, Matthew Ouellette Dir";;;"JENNIFER L MARTEL-PETTIT";"jennifer.martel-pettit@maine.gov";"Active";"5/18/21";49;"4/29/2021";"Full";"4/26/2021";"4/26/2023";"Yes"
"EASTMAN, PENNY";"31 SIDHALL DRIVE";"NORTH BERWICK";"ME";3906;1;"(207) 676-9491";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 1<br />Open Preschool Slots, 3-5 years old: 2<br />Open School Age Slots, 5 years or older: 2<br />";209816;"PENNY'S DAYCARE";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"4/16/21";12;"4/16/2021";"Full";"12/29/2020";"12/29/2022";"No"
"BIG BUDDIES 2";"54 WATERSIDE LANE";"SOUTH BERWICK";"ME";3908;3;"(207) 451-8425";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";753420;"BETH GLIDDEN";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"8/23/21";12;"7/29/2021";"Full";"9/04/2021";"9/04/2023";"No"
"LITTLE BUDDIES CHILDCARE CTR";"25 WITCHTROT RD";"SOUTH BERWICK";"ME";3908;3;"(207) 704-0233";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 1<br />Open School Age Slots, 5 years or older: 5<br />";595070;"BETH ANN GLIDDEN";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"8/23/21";40;"5/21/2021";"Full";"9/01/2021";"9/01/2023";"Yes"
"CLUBHOUSE KIDS";"197 MAIN STREET";"SOUTH BERWICK";"ME";3908;2;"(207) 384-2533";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";445777;"SHELLY EATON";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"6/16/21";70;"4/30/2021";"Full";"6/16/2021";"6/16/2023";"Yes"
"GLIDDEN, BETH";"212 OLD FIELDS RD";"SOUTH BERWICK";"ME";3908;2;"(207) 451-8425";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";427436;"BIG BUDDIES";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"4/28/22";12;"3/04/2022";"Provisional";"4/27/2022";"4/27/2023";"No"
"MARTELL, MARIE";"1 PARENT STREET";"SOUTH BERWICK";"ME";3908;2;"(207) 704-0016";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 1<br />";605602;"MISS MARIE'S CHILDCARE";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"7/21/22";8;"7/21/2022";"Full";"6/21/2022";"6/21/2024";"No"
"MEGZ KIDZ 2";"175 AGAMENTICUS ROAD";"SOUTH BERWICK";"ME";3908;1;"(207) 251-1794";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";755553;"MEGAN BALLOU";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Renewal in process";"12/18/21";12;"11/19/2020";"Provisional";"12/17/2020";"12/17/2021";"Yes"
"THE CRAYON BOX LEARNING CENTER";"147 HAROLD L. DOW HIGHWAY";"S. BERWICK";"ME";3908;1;"(603) 969-4731";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";686832;"Laura Fernald";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"9/01/22";20;"5/25/2022";"Full";"7/24/2022";"7/24/2024";"Yes"
"MY COUNTRY NURSERY SCHOOL";"22 EARLS ROAD";"SOUTH BERWICK";"ME";3908;1;"(207) 384-5610";"Child Care-Nursery School";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";213823;"MAUREEN DEMARIS";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"9/07/22";12;"6/17/2022";"Full";"6/21/2022";"6/21/2024";"No"
"MEGZ KIDZ";"472 MAIN STREET";"SOUTH BERWICK";"ME";3908;1;"(207) 251-1794";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";750106;"MEGAN BALLOU";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"5/07/21";12;"11/30/2020";"Full";"2/04/2021";"2/04/2023";"Yes"
"FOOTHILL FARM DAYCARE";"46 1/2 AGAMENTICUS ROAD";"SOUTH BERWICK";"ME";3908;1;"(207) 384-4889";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 8<br />Open School Age Slots, 5 years or older: 8<br />";342041;"MARY HUSSEY";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"6/08/22";30;"10/20/2021";"Full";"11/24/2021";"11/24/2023";"No"
"TRUSTEES OF BERWICK ACADEMY";"31 ACADEMY STREET";"SOUTH BERWICK";"ME";3908;;"(207) 384-6113";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";745173;"JAMES HAMILTON";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Renewal in process";"7/18/22";24;"6/29/2020";"Full";"7/17/2020";"7/17/2022";"No"
"ACADEMY OF LITTLE LEARNERS";"117 WOODBRIDGE ROAD";"YORK";"ME";3909;4;"(207) 363-2287";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";571844;"Jaimee Hanscom";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"10/01/21";70;"5/18/2021";"Full";"8/04/2021";"8/04/2023";"Yes"
"BRIXHAM MONTESSORI FRIENDS SCHOOL";"18 BRICKYARD COURT";"YORK";"ME";3909;2;"(207) 351-2700";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 2<br />Open Preschool Slots, 3-5 years old: 3<br />Open School Age Slots, 5 years or older: 0<br />";391595;"ALICA B. JOHNSON-GRAFE";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"11/03/21";90;"9/15/2021";"Full";"10/04/2021";"10/04/2023";"No"
"GAZEBO SCHOOL";"908 U.S. RT 1 SUITE A";"YORK";"ME";3909;1;"(207) 363-4927";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";570592;"Sarah Onion-Alford";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"10/15/21";40;"7/29/2021";"Full";"9/26/2021";"9/26/2023";"No"
"GREAT BEGINNINGS NURSERY SCHOOL";"24A AXHOLME ROAD";"YORK";"ME";3909;1;"(207) 363-1313";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 5<br />Open School Age Slots, 5 years or older: 0<br />";431297;"JESSICA REGIS";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"5/26/21";12;"3/22/2021";"Full";"5/08/2021";"5/08/2023";"Yes"
"TREE FROG LEARNING CENTER";"3 GORDON COURT";"YORK";"ME";3909;1;"(401) 663-8271";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 8<br />Open Toddler Slots, 1-2 years old: 12<br />Open Preschool Slots, 3-5 years old: 20<br />Open School Age Slots, 5 years or older: 0<br />";761319;"ASHLEY HANNON";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"2/16/22";48;"12/14/2021";"Provisional";"2/16/2022";"2/16/2023";"Yes"
"LITTLE TIMBERS CHILD CARE CENTER";"97 RAYDON ROAD";"YORK";"ME";3909;1;"(207) 363-5000";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";681415;"Jenna Eldredge";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"9/02/21";49;"6/24/2021";"Full";"9/02/2021";"9/02/2023";"No"
"PARENTS ALTERNATIVE TO LATCH-KEY (P.A.L.)";"124 YORK STREET";"YORK";"ME";3909;1;"(207) 363-3148";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 10<br />";682448;"Laura Gilchrest & Nancy Conrad";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"9/01/22";75;"6/17/2022";"Full";"8/27/2022";"8/27/2024";"Yes"
"ANDREWS, CAROLE E.";"197 CHASES POND ROAD";"YORK";"ME";3909;1;;"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";518521;"KID JUNCTION";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"7/26/22";12;"2/11/2022";"Full";"3/16/2022";"3/16/2024";"No"
"SMARTI PANTS PRESCHOOL & CHILDCARE INC.";"1 WINTERBERRY LANE";"YORK";"ME";3909;1;"(207) 363-4207";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 0<br />Open School Age Slots, 5 years or older: 0<br />";218802;"KAREN CRIBBY";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"9/26/22";49;"6/17/2022";"Full";"8/23/2022";"8/23/2024";"No"
"LEARNING TREE PRESCHOOL";"8 NEW BOSTON ROAD";"YORK";"ME";3909;;"(207) 351-3274";"Child Care-Nursery School";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 6<br />Open School Age Slots, 5 years or older: 0<br />";407954;"JANET M. SCHOFF";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Active";"11/04/21";20;"9/28/2021";"Full";"10/25/2021";"10/25/2023";"No"
"ST. GEORGE\'S CHILD CARE CENTER DBA-TIME OF WONDER EARLY LEARNING CENTER";"407 YORK STREET";"YORK HARBOR";"ME";3911;2;"(207) 606-0738";"Child Care Facility";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 0<br />Open Preschool Slots, 3-5 years old: 1<br />Open School Age Slots, 5 years or older: 0<br />";736156;"SHARON TALBOT";;;"MARLA D CRAFT";"Marla.D.Craft@Maine.gov";"Renewal in process";"9/15/22";35;"7/24/2020";"Full";"9/14/2020";"9/14/2022";"Yes"
"WATERHOUSE, MARY E.";"1351 MILTON MILLS RD";"ACTON";"ME";4001;2;"(207) 636-2973";"Family Child Care Provider";"Open Infant Slots, 6 weeks to 1 year old: 0<br />Open Toddler Slots, 1-2 years old: 1<br />Open Preschool Slots, 3-5 years old: 1<br />Open School Age Slots, 5 years or older: 1<br />";217489;"BARNYARD FAMILY DAYCARE";;;"JENNIFER L MARTEL-PETTIT";"jennifer.martel-pettit@maine.gov";"Active";"5/03/21";12;"11/24/2020";"Full";"1/09/2021";"1/09/2023";"Yes"
