"Facility Type";"Facility Name";"Address";"City";"Zip Code";"County";"Phone";"Provides Transportation";"Infants Accepted";"Full Day Service";"Half Day Service";"Drop In Accepted";"Weekend Service";"Night Service"
"Child Care Center";"All The King's Children Preschool and Childcare";"203 Flying Circle Drive";"Gillette";"82716-";"Campbell";"307-685-8155";;;;;;;
"Child Care Center";"BRIGHT BEGINNINGS DAY CARE";"4005 TEEPEE ST.";"Gillette";"82718-";"Campbell";"307-686-2495";;;;;;;
"Child Care Center";"BRIGHT BEGINNINGS II";"1012 4-J Road";"Gillette";"82716-";"Campbell";"307-686-6331";;;"Y";;;;
"Child Care Center";"Campbell County Head Start";"601 Running W Drive";"Gillette";"82718-";"Campbell";"307-682-4214";"Y";;;;;;
"Child Care Center";"CCMH Early Childhood Center";"402 Stocktrail";"Gillette";"82716-";"Campbell";"307-688-6300";"Y";"Y";"Y";;;;
"Child Care Center";"CHILDRENS DEVELOPMENTAL SERVICES OF CAMPBELL CO.";"1801 S. 4 - J ROAD";"Gillette";"82718-";"Campbell";"307-682-2392";;;;;;;
"Child Care Center";"Footsteps Learning Center";"804 E. 2nd Street";"Gillette";"82716-";"Campbell";"307-682-3950";;;;;;"Y";"Y"
"Child Care Center";"Great Futures Preschool";"707 Bridger St";"Gillette";"82718-";"Campbell";"307-685-1050";;;;;;;
"Child Care Center";"Heritage Christian School";"510 Wall St. Ct.";"Gillette";82718;"Campbell";"307-686-1392";;;;;;;
"Child Care Center";"John Paul II Catholic Preschool";"1000 Butler Spaeth Road";"Gillette";82716;"Campbell";"307-686-4114";"Y";;;;;;
"Child Care Center";"JUST 4 KIDS";"1001 N Hwy 14-16";"Gillette";82716;"Campbell";"307-686-7558";"Y";"Y";;;;;
"Child Care Center";"Just 4 Kids 2";"2808 Elder";"Gillette";"82718-";"Campbell";"307-685-7210";"Y";;"Y";;;;
"Child Care Center";"Little Learners Preschool";"718 N. Hwy 14-16 Suite 6-B";"Gillette";"82716-";"Campbell";"307-660-5554";;;;;;;
"Child Care Center";"Teddy Bear Day Care";"718 N. Hwy 14-16, Unit A-2";"Gillette";82716;"Campbell";"307-682-2727";"Y";"Y";;;;;
"Child Care Center";"The Preschool Academy";"308 W. Juniper";"Gillette";"82718-0000";"Campbell";"307-686-5145";;;;;;;
"Child Care Center";"TRINITY LUTHERAN PRESCHOOL";"1001 E. 9th";"Gillette";82717;"Campbell";"307-682-5126";;;;;;;
"Child Care Center";"WEE KARE DAY CARE";"610 S MILLER";"Gillette";82718;"Campbell";"307-682-3803";;;;;;;
"Child Care Center";"WRIGHT CHILD CARE CENTER";"1201 EAST ELKHORN";"Wright";"82732-";"Campbell";"307-464-1217";;"Y";;;;;
"Child Care Center";"Wyoming Family Literacy";"800 Butler Spaeth";"Gillette";"82716-";"Campbell";"307-686-5096";"Y";;;;;;
"Child Care Center";"CARBON COUNTY CHILD DEVELOPMENT CENTER 2";"1705 EDINBURGH";"Rawlins";"82301-";"Carbon";"307-324-4951";"Y";;;;;;
"Child Care Center";"CARBON COUNTY CHILD DEVELOPMENT PROGRAM";"1801 EDINBURGH";"Rawlins";82301;"Carbon";"307-324-9571";;;;;;;
"Child Care Center";"CCHEC Kid's Campus Pre-School";"815 W. Spruce Street";"Rawlins";"82301-";"Carbon";"307-324-5555";"Y";;"Y";"Y";;;
"Child Care Center";"CCHEC Kids Campus";"507 9th Street";"Rawlins";"82301-";"Carbon";"307-324-2334";"Y";"Y";"Y";"Y";;;
"Child Care Center";"ENCAMPMENT PRESCHOOL";"514 RANKIN";"Encampment";82325;"Carbon";"307-327-5442";;;;;;;
"Child Care Center";"EXCEL PRESCHOOL";"204 W. SPRING AVE.";"Saratoga";82331;"Carbon";"307-326-5839";;;;;;;
"Child Care Center";"FIRST UNITED METHODIST PRESCHOOL";"N 23RD";"Rawlins";82301;"Carbon";"307-324-8434";;;;;;;
"Child Care Center";"Little Rascals Preschool and Day Care";"350 Whipporwill";"Baggs";"82321-";"Carbon";"307-383-7300";"Y";;;"Y";;"Y";"Y"
"Child Care Center";"PALMERS PLAYHOUSE";"1425 EAST MURRAY LOT 69";"Rawlins";"82301-";"Carbon";"307-328-2915";"Y";"Y";"Y";"Y";"Y";;
"Child Care Center";"PROJECT REACH";"1801 EDINBURGH";"Rawlins";82301;"Carbon";"307-324-9656";"Y";;;;;;
"Child Care Center";"SARATOGA HEAD START, CARBON CO. CHILD DEVELOPMENT";"1114 SARATOGA";"Saratoga";82331;"Carbon";"307-326-5056";;;;;;;
"Child Care Center";"Smart Start Preschool &amp";" Child Care Center";"204 5th St.";"Rawlins";"82301-";"Carbon";"307-324-3999";;;;;;
"Child Care Center";"WEE FOLKS PLACE";"MINER'S SHOPPING PLAZA";"Hanna";"82327-";"Carbon";"307-325-6579";"Y";;;;;;
"Child Care Center";"DOUGLAS CHILD &amp";" FAMILY DEV. CENTER";"630 ERWIN";"Douglas";82633;"Converse";"307-358-3901";"Y";"Y";;;;
"Child Care Center";"Glenrock Early Childhood Center";"929 West Birch";"Glenrock";82637;"Converse";"307-436-5357";"Y";"Y";;;;;
"Child Care Center";"SMALL WORLD PRESCHOOL";"435 E. Birch";"Glenrock";82637;"Converse";"307-436-5770";;;;;;;
"Child Care Center";"Hulett Preschool";"429 Sager";"Hulett";"82720-";"Crook";"307-467-5727";;;;"Y";;;
"Child Care Center";"Kid Prints, Inc";"104 N. 10th Street";"Sundance";"82729-";"Crook";"307-283-2682";;"Y";"Y";"Y";"Y";;
"Child Care Center";"Little Ones Preschool";"108 N. 4th Street";"Sundance";"82729-";"Crook";"307-290-2046";;;;"Y";;;
"Child Care Center";"Moorcroft Preschool";"100 N.  Belle Fourche";"Moorcroft";"82721-";"Crook";"307-746-8733";;;;"Y";;;
"Child Care Center";"Sundance Kids Children's Center, Inc.";"210 South 5th St.";"Sundance";82729;"Crook";"307-283-2526";;"Y";"Y";"Y";"Y";;
"Child Care Center";"ABSAROKA  HEADSTART LANDER";"420 MEADOW VIEW";"Lander";82520;"Fremont";"307-332-5559";;;;;;;
"Child Care Center";"ABSAROKA HEADSTART RIVERTON";"2420 ROSE LANE";"Riverton";82501;"Fremont";"307-856-5078";;;"Y";;;;
"Child Care Center";"CHILD DEVELOPMENT PRESCHOOL";"700 NORTH FIRST";"Dubois";82513;"Fremont";"307-455-3341";;;"Y";;;;
"Child Care Center";"CHILD DEVELOPMENT SERVICES OF FREMONT COUNTY";"100 PUSHROOT CT.";"Lander";82520;"Fremont";"307-332-5508";"Y";;"Y";;;;
"Child Care Center";"CHILD DEVELOPMENT SERVICES OF FREMONT COUNTY";"1205 E Lincoln";"Riverton";82501;"Fremont";"307-856-4337";"Y";;"Y";"Y";;;
"Child Care Center";"Donna's";"795 Garfield";"Lander";"82520-";"Fremont";"307-332-2119";;"Y";;;;;
"Child Care Center";"Happy Kids Daycare";"213 W Main Suite G";"Riverton";"82501-";"Fremont";"307-856-5111";;"Y";;"Y";;"Y";
"Child Care Center";"KidzInc";"120 Valley View Drive";"Lander";"82520-";"Fremont";"307-332-8697";;"Y";;;;;
"Child Care Center";"Little Buckaroos";"2285 Riverivew Road";"Riverton";"82501-";"Fremont";"307-840-3512";;;;;;;
"Child Care Center";"Little Scholars Preschool";"445 Lincoln Suite #2";"Lander";"82520-";"Fremont";"307-460-8296";;;;"Y";;;
"Child Care Center";"Renew Fitness Studio and Youth Program";"307 E Main Street";"Riverton";"82501-";"Fremont";"307-463-0855";;;;;"Y";;
"Child Care Center";"SMALL WORLD CHILDREN'S CENTER";"1008 COLLEGE VIEW DR";"Riverton";82501;"Fremont";"307-856-4275";;"Y";"Y";"Y";;;"Y"
"Child Care Center";"SMART START ACADEMY";"1014 NORTH 8TH WEST";"Riverton";82501;"Fremont";"307-856-7633";;;"Y";;;;
"Child Care Center";"Smart-Start Quality Child Care";"1022 North 8th West";"Riverton";"82501-";"Fremont";"307-856-1120";;"Y";"Y";"Y";"Y";;
"Child Care Center";"ST. MARGARETS PRESCHOOL";"220 N. 7TH EAST ST.";"Riverton";82501;"Fremont";"307-856-8239";;;;;;;
"Child Care Center";"Tears, Laughs &amp; Cuddles (TLC) Child Care";"190 Custer Street";"Lander";"82520-";"Fremont";"307-438-4014";;"Y";;;;;
"Child Care Center";"UNITED METHODIST CO-OP PRESCHOOL";"1116 W. PARK AVE";"Riverton";82501;"Fremont";"307-856-4324";;;;;;;
"Child Care Center";"Lil' Bits N' Spurs";"2841 West C St.";"Torrington";"82240-";"Goshen";"307-575-2548";;"Y";"Y";"Y";"Y";;
"Child Care Center";"Lincoln Infant Toddler Center";"436 East 22nd St.";"Torrington";"82240-";"Goshen";"307-534-4720";;"Y";"Y";"Y";;;
"Child Care Center";"TORRINGTON LEARNING CENTER";"3110 WEST ""C""";"Torrington";82240;"Goshen";"307-532-7068";"Y";"Y";"Y";"Y";;;
"Child Care Center";"VALLEY CHRISTIAN SCHOOL";"2441 East E St.";"Torrington";82240;"Goshen";"307-532-3133";;;"Y";;;;
"Child Care Center";"WEE CARE / COMMUNITY HOSPITAL";"2000 CAMPBELL DRIVE";"Torrington";82240;"Goshen";"307-534-7026";;"Y";"Y";;;;
"Child Care Center";"WEE PALS PRESCHOOL";"2972 MAIN STREET";"Torrington";82240;"Goshen";"307-532-4377";;;"Y";"Y";;;
"Child Care Center";"Absaroka Head Start Thermopolis";"326 WARREN STREET";"Thermopolis";82443;"Hot Springs";"307-864-5481";;;;;;;
"Child Care Center";"CHILDRENS RESOURCE CENTER";"130 HWY 20 South";"Thermopolis";82443;"Hot Springs";"307-864-9227";;;;;;;
"Child Care Center";"Kiddie Kollege";"444 Broadway";"Thermopolis";"82443-";"Hot Springs";"307-250-2900";;;;"Y";;;
"Child Care Center";"ABSAROKA HEAD START BUFFALO";"201 Aspen Drive";"Buffalo";82834;"Johnson";"307-684-2873";;;;;;;
"Child Care Center";"BUFFALO CHILDREN'S CENTER, INC";"151 S. KLONDIKE";"Buffalo";82834;"Johnson";"307-684-5802";"Y";"Y";;;;;"Y"
"Child Care Center";"Kaycee Kountry Preschool";"210 Center Street";"Kaycee";"82639-";"Johnson";"307-738-2218";;;;;;;
"Child Care Center";"Noahs Ark Christian Daycare, LLC";"620 S Main";"Buffalo";"82834-";"Johnson";"307-684-7744";;"Y";;;"Y";;"Y"
"Child Care Center";"The Learning Tree Christian School";"820 W Fetterman";"Buffalo";82834;"Johnson";"307-684-7509";;;;;;;
"Child Care Center";"YMCA Child Care Center";"101 S. KLONDIKE DR.";"Buffalo";82834;"Johnson";"307-684-9558";;"Y";;;;;
"Child Care Center";"A+  Preschool Academy";"2115 Morrie Ave.";"Cheyenne";"82001-";"Laramie";"307-286-6823";;;"Y";;;;
"Child Care Center";"All About Me Childcare";"611 E Carlson # 107";"Cheyenne";"82009-";"Laramie";"307-421-8363";;"Y";"Y";;;;
"Child Care Center";"ASK";"615 9th Street";"Cheyenne";"82007-";"Laramie";"307-640-0460";"Y";;"Y";;;;
"Child Care Center";"BUILDING BLOCKS CHILD CARE CENTER";"2600 E. 18TH ST.";"Cheyenne";82001;"Laramie";"307-633-7369";"Y";"Y";;;;;
"Child Care Center";"CHILDREN'S DISCOVERY CENTER";"1400 EAST COLLEGE DR.";"Cheyenne";82007;"Laramie";"307-778-1171";"Y";"Y";;;;;
"Child Care Center";"Christ Lutheran Christian AKIDemy";"3260 Nationway";"Cheyenne";"82001-";"Laramie";"307-632-8429";;"Y";"Y";"Y";"Y";;
"Child Care Center";"Colleen's Country Kiddy Care";"1823 EAST 17TH ST.";"Cheyenne";82001;"Laramie";"307-221-0687";"Y";"Y";"Y";"Y";;;
"Child Care Center";"COLLEEN'S KIDDY CARE, INC.";"1816 E. 17TH ST.";"Cheyenne";82001;"Laramie";"307-778-7835";"Y";"Y";;;;;
"Child Care Center";"DIAMONDS IN THE ROUGH";"3151 NATIONWAY";"Cheyenne";82001;"Laramie";"307-637-0699";"Y";"Y";"Y";"Y";"Y";;
"Child Care Center";"DISCOVERY UNLIMITED";"515 EAST 25TH ST.";"Cheyenne";82001;"Laramie";"307-632-1306";;;;;;;
"Child Care Center";"First Steps Childcare and Preschool";"5801 Osage Avenue Unit A";"Cheyenne";"82009-";"Laramie";"307-778-7860";;"Y";"Y";"Y";;;
"Child Care Center";"GOOD SHEPHERD LITTLE LAMBS CHILD DEVELOPMENT CTR.";"4776 MOUNTAIN ROAD";"Cheyenne";"82009-";"Laramie";"307-635-2257";;;;;;;"Y"
"Child Care Center";"Happy Time Preschool LLC";"2390 Pattison Avenue";"Cheyenne";82009;"Laramie";"307-637-5901";;;;"Y";;;
"Child Care Center";"HARVEST TIME DAY CARE";"708 EAST PROSSER";"Cheyenne";82007;"Laramie";"307-632-4265";"Y";;"Y";"Y";;;
"Child Care Center";"HEAVEN'S LITTLE HALF-ACRE";"110 CENTRAL AVE.";"Cheyenne";"82007-";"Laramie";"307-637-4630";"Y";;"Y";"Y";"Y";;
"Child Care Center";"I AM A PROMISE";"139 STOREY";"Cheyenne";82009;"Laramie";"307-634-8932";"Y";"Y";"Y";;;;
"Child Care Center";"Imagination Destination";"515 E. Carlson Suite 99";"Cheyenne";"82009-";"Laramie";"307-286-9260";;"Y";"Y";;;;
"Child Care Center";"It Takes A Village Child Care Center  LLC";"2612 E. Lincolnway";"Cheyenne";"82001-";"Laramie";"307-635-3090";"Y";"Y";"Y";"Y";"Y";;
"Child Care Center";"IYAH Learning Center";"3201 East Pershing Boulevard";"Cheyenne";"82001-";"Laramie";"307-634-9255";"Y";;"Y";;;;
"Child Care Center";"IYAH Learning Center II";"317 E. 7th St.";"Cheyenne";"82001-";"Laramie";"307-426-4058";;"Y";"Y";;;;
"Child Care Center";"Kerry's Playschool";"2422 Seymour Ave.";"Cheyenne";"82001-0000";"Laramie";"307-635-9405";;"Y";;"Y";;;
"Child Care Center";"KIDDIE KOLLEGE";"600 EAST CARLSON SUITE #401";"Cheyenne";82009;"Laramie";"307-634-2797";"Y";;"Y";;"Y";;
"Child Care Center";"Kiddie Korral Early Care &amp";" Learning";"914 E. Lincolnway";"Cheyenne";"82001-";"Laramie";"307-426-4139";;"Y";"Y";"Y";"Y";
"Child Care Center";"KidSTEP Learning Center";"1600 E. 19th St.";"Cheyenne";"82001-";"Laramie";"307-778-1886";;;"Y";;"Y";;
"Child Care Center";"LARAMIE COUNTY HEAD START";"711 Warren Ave.";"Cheyenne";82007;"Laramie";"307-634-5829";"Y";;;"Y";;;
"Child Care Center";"LARAMIE COUNTY HEAD START EAST CENTER";"3238 Sheridan St.";"Cheyenne";"82009-";"Laramie";"307-634-3051";"Y";;;;;;
"Child Care Center";"LARAMIE COUNTY HEADSTART FAMILY RESOURCE CENTER";"704 Bent Ave.";"Cheyenne";"82007-";"Laramie";"307-635-4109";"Y";;;;;;
"Child Care Center";"Little Peaches";"1805 E 19th St";"Cheyenne";"82001-0000";"Laramie";"307-220-3051";;"Y";"Y";"Y";"Y";;
"Child Care Center";"MONTESSORI SCHOOL OF CHEYENNE";"5401 YELLOWSTONE";"Cheyenne";82009;"Laramie";"307-635-2012";"Y";;"Y";"Y";;;
"Child Care Center";"Our Great Kid's Inc.";"400 W  Wallick Rd.";"Cheyenne";"82007-";"Laramie";"307-771-2300";;;;;;;
"Child Care Center";"OUR SAVIOR LUTHERAN SCHOOL";"5101 DEL RANGE BLVD";"Cheyenne";82009;"Laramie";"307-632-2580";;;;;;;
"Child Care Center";"Peas in a Pod  Child Care";"1212 Ridge Rd. Ste.  #2 and 3";"Cheyenne";"82001-";"Laramie";"307-426-4769";"Y";"Y";"Y";"Y";"Y";"Y";"Y"
"Child Care Center";"PINE BLUFFS DAY CARE CENTER";"309 Main St.";"Pine Bluffs";82082;"Laramie";"307-245-9206";;;"Y";;;;
"Child Care Center";"Promise Patch Incorporated";"4510 Charles St.";"Cheyenne";"82001-";"Laramie";"307-432-0497";"Y";"Y";"Y";"Y";;;
"Child Care Center";"SAINT MARYS SCHOOL";"2200 O'Neil Ave.";"Cheyenne";82001;"Laramie";"307-638-9268";;;"Y";;;;
"Child Care Center";"STRIDE LEARNING CENTER";"326 PARSLEY BLVD.";"Cheyenne";"82007-";"Laramie";"307-632-2991";"Y";"Y";;"Y";;;
"Child Care Center";"Stride Learning Center Burns";"327 South Main St.  Suite D";"Burns";"82053-";"Laramie";"307-547-2225";;;;"Y";;;
"Child Care Center";"Stride Learning Center North";"5801 Yellowstone Road";"Cheyenne";"82009-";"Laramie";"307-638-6100";"Y";;;"Y";;;
"Child Care Center";"THE VILLAGE SCHOOL";"214 WEST 22ND ST.";"Cheyenne";82001;"Laramie";"307-638-6884";"Y";;"Y";;;;
"Child Care Center";"TRINITY LUTHERAN SCHOOL";"1111 EAST 22ND ST.";"Cheyenne";82001;"Laramie";"307-635-2802";"Y";;;;;;
"Child Care Center";"Triumph Early Learning Center";"1250 W. College Dr.";"Cheyenne";"82007-";"Laramie";"307-771-2500";;"Y";"Y";"Y";;;
"Child Care Center";"UNDER THE SYCAMORE TREE PRESCHOOL";"712 STOREY BLVD";"Cheyenne";82009;"Laramie";"307-634-3734";;;;"Y";;;
"Child Care Center";"World of Wonder";"3406 Holmes Street";"Cheyenne";82001;"Laramie";"307-632-8299";"Y";"Y";"Y";"Y";;;
"Child Care Center";"World of Wonder Too";"1100 Dillon Ave.";"Cheyenne";"82007-";"Laramie";"307-632-5855";"Y";"Y";;"Y";;"Y";
"Child Care Center";"YMCA Baggs Elementary Afterschool Program";"3705 Cheyenne St.";"Cheyenne";"82001-";"Laramie";"307-421-7186";"Y";;;;;;
"Child Care Center";"YMCA Bain Elementary After School Program";"903 Adams Avenue";"Cheyenne";"82001-";"Laramie";"307-640-3264";"Y";;;"Y";;;
"Child Care Center";"YMCA Learning Center";"1426 E.  Lincolnway";"Cheyenne";82001;"Laramie";"307-634-9622";"Y";"Y";"Y";"Y";"Y";;
"Child Care Center";"YMCA Saddle Ridge Elementary After School Program";"6315 Wilderness Trail";"Cheyenne";"82001-";"Laramie";"307-640-3264";"Y";;;"Y";;;
"Child Care Center";"Alpine Child Development Center";"247 Snake River";"Alpine";"83128-";"Lincoln";"307-654-4116";"Y";;;;;;
"Child Care Center";"Kemmerer Child Dev Center";"1208 Elk Street";"Kemmerer";83101;"Lincoln";"307-877-6480";;;;"Y";;;
"Child Care Center";"Once Upon a Childhood";"639 Washington";"Afton";"83110-";"Lincoln";"307-885-6060";;"Y";"Y";"Y";"Y";;
"Child Care Center";"Star Valley Child Development Center";"675 S Washington";"Afton";83110;"Lincoln";"307-885-9286";;;;;;;
"Child Care Center";"Star Valley Child Development Center/Thayne";"265 N Vannoy";"Thayne";83127;"Lincoln";"307-883-4116";"Y";;"Y";;;"Y";"Y"
"Child Care Center";"Star Valley Kid's Club";"260 River Circle";"Alpine";"83128-";"Lincoln";"307-654-5437";;;;"Y";;;
"Child Care Center";"Sunny Sprouts Child Care Center";"92 CMB Lane";"Etna";"83118-";"Lincoln";"307-413-8690";;"Y";;"Y";"Y";;
"Child Care Center";"All God's Children by Grace Preschool &amp";" Childcare";"315 CY Ave.";"Casper";"82601-";"Natrona";"307-235-6329";;;"Y";"Y";;
"Child Care Center";"APPLETREE LEARNING CENTER";"60 1/2 MAGNOLIA";"Casper";82604;"Natrona";"307-237-1952";;"Y";;;;;
"Child Care Center";"Bright Beginnings Learning Center";"332 S Washington St";"Casper";"82601-";"Natrona";"307-473-5695";;;"Y";;;;
"Child Care Center";"CASPER FAMILY YMCA";"315 E. 15TH";"Casper";82601;"Natrona";"307-234-9187";"Y";"Y";;;;"Y";
"Child Care Center";"CDC (Summit Elementary)";"2230  Waterford St.";"Casper";"82609-";"Natrona";"307-253-3098";;;;"Y";;;
"Child Care Center";"CHILD DEVELOPMENT CENTER OF NATRONA COUNTY #1";"2020 EAST 12TH";"Casper";82601;"Natrona";"307-235-5097";"Y";;;;;;
"Child Care Center";"Discovery Depot Preschool";"411 S. Walsh Dr.";"Casper";"82609-";"Natrona";"307-277-0535";"Y";;;"Y";;;
"Child Care Center";"FIRST CHRISTIAN EARLY CHILDHOOD SCHOOL";"520 CY AVE.";"Casper";"82601-";"Natrona";"307-472-0649";;;;;;;
"Child Care Center";"First United Methodist Church Preschool";"112 S. Beech";"Casper";"82601-";"Natrona";"307-234-9385";;;"Y";"Y";;;
"Child Care Center";"Foundations Early Care &amp";" Education";"4200 Legion Ln.";"Casper";"82609-";"Natrona";"307-277-0140";;"Y";"Y";"Y";;
"Child Care Center";"Giggles and Wiggles";"4100 s. Poplar";"Casper";"82601-";"Natrona";"307-266-1379";"Y";;"Y";"Y";;;
"Child Care Center";"KIDS WORKS";"2500 CY Ave.";"Casper";"82604-";"Natrona";"307-234-4386";;;"Y";"Y";"Y";"Y";"Y"
"Child Care Center";"LEAPS AND BOUNDS LEARNING CENTER";"145 West 9th Street";"Casper";"82601-";"Natrona";"307-577-1953";;;;;;;
"Child Care Center";"LEARNING JUNCTION";"1709 BOXELDER AVENUE";"Casper";82601;"Natrona";"307-237-6870";;;;;;;
"Child Care Center";"Lil Wonders";"3030 South Poplar";"Casper";"82604-0000";"Natrona";"307-265-6311";;"Y";;;;;"Y"
"Child Care Center";"Little Footprints Day Care and Preschool";"1927 South Walnut";"Casper";"82601-";"Natrona";"307-224-4116";;;;;;;
"Child Care Center";"MONTESSORI SCHOOL OF CASPER";"1147 S. WALNUT";"Casper";82602;"Natrona";"307-265-0249";;;;;;;
"Child Care Center";"MT HOPE LUTHERAN PRESCHOOL";"2300 S. HICKORY";"Casper";82604;"Natrona";"307-234-8428";;;;;;"Y";
"Child Care Center";"NATRONA COUNTY EARLY HEAD START I";"1514 East 12TH BUILDING E Suite 304";"Casper";"82609-";"Natrona";"307-473-5831";;"Y";;;;;
"Child Care Center";"NATRONA COUNTY EARLY HEAD START II";"4981 BUICK STREET";"Mills";"82644-";"Natrona";"307-265-9562";"Y";"Y";;;;;
"Child Care Center";"NATRONA COUNTY HEAD START";"301 W. ""B"" ST.";"Casper";82601;"Natrona";"307-577-1864";"Y";;;;;;
"Child Care Center";"NEIGHBORHOOD CHILD CARING CENTER";"2200 Richard Street";"Casper";"82601-0000";"Natrona";"307-265-2333";"Y";"Y";;;;;
"Child Care Center";"NEIGHBORHOOD CHILD LEARNING CENTER";"3036 E. 8TH ST.";"Casper";82609;"Natrona";"307-265-5578";"Y";"Y";;;;;
"Child Care Center";"Nowcap Casper Family Literacy";"1514 E. 12th Ste # B2,bldg E";"Casper";"82601-";"Natrona";"307-472-5640";;"Y";;"Y";"Y";;
"Child Care Center";"OUR SAVIOR'S LUTHERAN PRESCHOOL/CHILDCARE";"531 SOUTH DURBIN";"Casper";82601;"Natrona";"307-577-4006";;;;;;"Y";
"Child Care Center";"Paradise Valley Christian School";"3041 Paradise Drive";"Casper";"82604-";"Natrona";"307-234-2450";;;;;;;
"Child Care Center";"PRINCE OF PEACE PRESCHOOL";"2300 E. 15th Street";"Casper";"82601-";"Natrona";"307-265-7016";;;;"Y";;;
"Child Care Center";"QUALITY CHILD CARING CENTER I";"12 S. CURTIS ST.";"Evansville";82636;"Natrona";"307-237-4182";"Y";"Y";;;"Y";"Y";
"Child Care Center";"QUALITY CHILD CARING CENTER II";"2000 Fairgrounds Rd";"Casper";82604;"Natrona";"307-577-7056";"Y";"Y";;;;;
"Child Care Center";"SHEPHERD OF THE HILLS CHILD DEVELOPMENT CENTER";"4600 SOUTH POPLAR";"Casper";82604;"Natrona";"307-234-8522";;;"Y";;;;
"Child Care Center";"ST. ANTHONYS PRESCHOOL";"1145 West 20th street";"Casper";82601;"Natrona";"307-234-2873";;;"Y";"Y";;;
"Child Care Center";"ST. MARKS DAY SCHOOL";"701 SOUTH WOLCOTT";"Casper";82601;"Natrona";"307-234-0831";;;;;;;
"Child Care Center";"Stay and Play Learning Center";"440 Lierd Ln.";"Evansville";"82636-";"Natrona";"307-258-5203";;"Y";"Y";"Y";;;
"Child Care Center";"Stepping Stones Learning Center";"1720 S Poplar";"Casper";"82601-";"Natrona";"307-337-2016";"Y";"Y";"Y";"Y";"Y";;
"Child Care Center";"SUNSHINE CORNER";"2303 EAST 15TH";"Casper";82609;"Natrona";"307-266-5605";"Y";;;;;;
"Child Care Center";"Tiny Tots Preschool and Child Care";"1015 East C Street";"Casper";"82601-";"Natrona";"307-234-8687";"Y";"Y";;;;;
"Child Care Center";"YOUR FIRST STEPS- A CHILD'S LEARNING CENTER";"195 B PRONGHORN RD.";"Casper";"82601-";"Natrona";"307-265-9554";"Y";"Y";;;;;
"Child Care Center";"LUSK EARLY CHILDHOOD CENTER";"801 S MAPLE";"Lusk";82225;"Niobrara";"307-334-2252";"Y";;;"Y";;;
"Child Care Center";"A LITTLE PARADISE C.C.C. &amp";" PRESCHOOL";"2001 MOUNTAIN VIEW DRIVE";"Cody";82414;"Park";"307-587-4732";"Y";;"Y";;"Y";
"Child Care Center";"ABSAROKA HEAD START POWELL";"883 E 7th Street";"Powell";82435;"Park";"307-754-2013";"Y";;;"Y";;;
"Child Care Center";"ABSAROKA HEADSTART  CODY";"308 16th Street";"Cody";82414;"Park";"307-527-6454";;;;"Y";;;
"Child Care Center";"APPLE ACADEMY";"576 N INGALLS";"Powell";82435;"Park";"307-754-9372";;;"Y";;;;
