"Id";"Date";"Violations";"Link to Notices";"violations";"ViolationsDescription"
16862;"11/03/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16862/signed300PDF.20221103.122339.pdf";"No";
16862;"06/29/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16862/signed300PDF.20220629.100957.pdf";"No";
16862;"11/17/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16862/signed209PDF.20211117.094006.pdf";"No";
16862;"06/28/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16862/signed300PDF.20210628.094630.pdf";"No";
16862;"11/10/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16862/signed209PDF.20201110.132617.pdf";"No";
16862;"07/17/2020";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16862/signed300PDF.20200717.101352.pdf";"No";
16862;"01/22/2020";"Facility Visit";;"No";
16862;"11/13/2019";"Renewal / Validation Visit";;"No";
16862;"05/29/2019";"Facility Visit";;"No";
16862;"01/30/2019";"Facility Visit";;"No";
16862;"01/07/2019";"Facility Visit";;"No";
14890;"08/12/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14890/signed209PDF.20220812.140554.pdf";"No";
14890;"02/10/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14890/signed300PDF.20220210.112008.pdf";"No";
14890;"06/16/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14890/signed209PDF.20210616.134508.pdf";"No";
14890;"01/29/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14890/signed300PDF.20210129.153440.pdf";"No";
14890;"08/04/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14890/signed209PDF.20200804.134805.pdf";"No";
14890;"01/16/2020";"Facility Visit";;"No";
14890;"07/01/2019";"Renewal / Validation Visit";;"No";
14890;"01/02/2019";"Facility Visit";;"No";
1916;"10/27/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1916/signed209PDF.20221027.104005.pdf";"No";
1916;"05/12/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1916/signed300PDF.20220512.104700.pdf";"No";
1916;"10/26/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1916/signed209PDF.20211026.154213.pdf";"No";
1916;"09/07/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1916/signed300PDF.20210907.115652.pdf";"No";
1916;"05/25/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1916/signed300PDF.20210525.123534.pdf";"No";
1916;"10/27/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1916/signed209PDF.20201027.142326.pdf";"No";
1916;"03/05/2020";"Facility Visit";;"No";
1916;"10/02/2019";"Renewal / Validation Visit";;"No";
1916;"05/30/2019";"Facility Visit";;"No";
1916;"03/05/2019";"Facility Visit";;"No";
1884;"08/04/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1884/signed209PDF.20220804.130043.pdf";"No";
1884;"03/24/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1884/signed300PDF.20220324.090112.pdf";"No";
1884;"02/04/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1884/signed300PDF.20220204.152404.pdf";"No";
1884;"08/03/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1884/signed209PDF.20210803.111542.pdf";"No";
1884;"04/09/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1884/signed300PDF.20210409.114545.pdf";"No";
1884;"07/16/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1884/signed209PDF.20200716.104302.pdf";"No";
1884;"03/16/2020";"Facility Visit";;"No";
1884;"07/30/2019";"Renewal / Validation Visit";;"No";
1884;"01/31/2019";"Facility Visit";;"No";
1786;"05/04/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1786/signed209PDF.20220504.114557.pdf";"No";
1786;"04/13/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1786/signed300PDF.20220413.090113.pdf";"No";
1786;"10/26/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1786/signed209PDF.20211026.115611.pdf";"No";
1786;"04/22/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1786/signed300PDF.20210422.111826.pdf";"No";
1786;"10/21/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1786/signed209PDF.20201021.103053.pdf";"No";
1786;"09/16/2020";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1786/signed300PDF.20200916.095524.pdf";"No";
1786;"11/05/2019";"Renewal / Validation Visit";;"No";
1786;"04/18/2019";"Facility Visit";;"No";
16916;"10/13/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16916/signed300PDF.20221013.113930.pdf";"No";
16916;"06/15/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16916/signed300PDF.20220615.141324.pdf";"No";
16916;"03/15/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16916/signed209PDF.20220315.132217.pdf";"No";
16916;"09/22/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16916/signed300PDF.20210922.113148.pdf";"No";
16916;"02/10/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16916/signed209PDF.20210210.163437.pdf";"No";
16916;"07/20/2020";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16916/signed300PDF.20200722.153408.pdf";"No";
16916;"04/09/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/16916/signed209PDF.20200409.095413.pdf";"No";
16916;"10/25/2019";"Facility Visit";;"No";
16916;"03/07/2019";"Renewal / Validation Visit";;"No";
78;"10/25/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/78/signed209PDF.20221025.103732.pdf";"No";
78;"05/10/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/78/signed300PDF.20220510.150838.pdf";"No";
78;"10/28/2021";"Renewal / Validation Visit";;"No";
78;"04/27/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/78/signed300PDF.20210427.140729.pdf";"No";
78;"10/29/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/78/signed209PDF.20201029.102824.pdf";"No";
78;"09/25/2020";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/78/signed300PDF.20200925.094942.pdf";"No";
78;"09/16/2020";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/78/signed300PDF.20200916.104606.pdf";"No";
78;"10/22/2019";"Renewal / Validation Visit";;"No";
78;"09/23/2019";"Facility Visit";;"No";
78;"04/25/2019";"Facility Visit";;"No";
1506;"10/04/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1506/signed209PDF.20221005.140100.pdf";"No";
1506;"05/18/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1506/signed300PDF.20220518.113927.pdf";"No";
1506;"11/03/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1506/signed209PDF.20211103.095401.pdf";"No";
1506;"05/05/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1506/signed300PDF.20210505.104012.pdf";"No";
1506;"10/07/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1506/signed209PDF.20201007.103433.pdf";"No";
1506;"09/11/2020";"Facility Visit";;"No";
1506;"03/25/2019";"Facility Visit";;"No";
1689;"10/14/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1689/signed300PDF.20221014.110435.pdf";"No";
1689;"10/05/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1689/signed209PDF.20221005.114833.pdf";"No";
1689;"03/03/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1689/signed300PDF.20220303.104334.pdf";"No";
1689;"10/26/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1689/signed209PDF.20211026.124505.pdf";"No";
1689;"10/19/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1689/signed300PDF.20211019.132210.pdf";"No";
1689;"05/11/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1689/signed300PDF.20210511.102550.pdf";"No";
1689;"10/06/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1689/signed209PDF.20201006.120340.pdf";"No";
1689;"09/11/2020";"Facility Visit";;"No";
1689;"10/21/2019";"Renewal / Validation Visit";;"No";
1689;"05/16/2019";"Facility Visit";;"No";
1689;"01/30/2019";"Facility Visit";;"No";
1885;"10/19/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1885/signed209PDF.20221019.145226.pdf";"No";
1885;"04/14/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1885/signed300PDF.20220414.143353.pdf";"No";
1885;"10/14/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1885/signed209PDF.20211014.145537.pdf";"No";
1885;"02/22/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1885/signed300PDF.20210222.152654.pdf";"No";
1885;"10/21/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1885/signed209PDF.20201021.153623.pdf";"No";
1885;"09/03/2020";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1885/signed300PDF.20200903.111331.pdf";"No";
1885;"10/22/2019";"Renewal / Validation Visit";;"No";
1885;"08/12/2019";"Renewal / Validation Visit";;"No";
1885;"05/21/2019";"Facility Visit";;"No";
76;"10/27/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/76/signed209PDF.20221027.122131.pdf";"No";
76;"05/19/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/76/signed300PDF.20220519.110740.pdf";"No";
76;"11/02/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/76/signed209PDF.20211102.104828.pdf";"No";
76;"04/27/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/76/signed300PDF.20210427.104901.pdf";"No";
76;"09/21/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/76/signed209PDF.20200921.114312.pdf";"No";
76;"09/11/2020";"Facility Visit";;"No";
76;"03/10/2020";"Facility Visit";;"No";
76;"10/01/2019";"Renewal / Validation Visit";;"No";
76;"03/21/2019";"Facility Visit";;"No";
2461;"10/05/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/2461/signed209PDF.20221005.100134.pdf";"No";
2461;"05/25/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/2461/signed300PDF.20220525.103643.pdf";"No";
2461;"11/05/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/2461/signed209PDF.20211105.102519.pdf";"No";
2461;"05/10/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/2461/signed300PDF.20210510.113215.pdf";"No";
2461;"10/08/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/2461/signed209PDF.20201008.144826.pdf";"No";
2461;"03/04/2020";"Facility Visit";;"No";
2461;"10/10/2019";"Facility Visit";;"No";
2461;"10/04/2019";"Renewal / Validation Visit";;"No";
2461;"03/06/2019";"Facility Visit";;"No";
1993;"09/27/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1993/signed300PDF.20220927.121124.pdf";"No";
1993;"09/14/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1993/signed209PDF.20220914.114112.pdf";"No";
1993;"04/07/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1993/signed300PDF.20220407.102555.pdf";"No";
1993;"08/25/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1993/signed209PDF.20210825.132012.pdf";"No";
1993;"05/11/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1993/signed300PDF.20210511.101058.pdf";"No";
1993;"01/25/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1993/signed300PDF.20210125.155715.pdf";"No";
1993;"09/23/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1993/signed209PDF.20200923.122855.pdf";"No";
1993;"08/31/2020";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1993/signed300PDF.20200831.103228.pdf";"No";
1993;"09/10/2019";"Renewal / Validation Visit";;"No";
1993;"04/18/2019";"Facility Visit";;"No";
79;"10/26/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/79/signed209PDF.20221026.103544.pdf";"No";
79;"09/06/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/79/signed300PDF.20220906.110439.pdf";"No";
79;"04/26/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/79/signed300PDF.20220426.100654.pdf";"No";
79;"10/26/2021";"Renewal / Validation Visit";;"No";
79;"10/14/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/79/signed300PDF.20211014.104549.pdf";"No";
79;"04/20/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/79/signed300PDF.20210420.160101.pdf";"No";
79;"11/04/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/79/signed209PDF.20201104.133337.pdf";"No";
79;"09/15/2020";"Facility Visit";;"No";
79;"10/11/2019";"Renewal / Validation Visit";;"No";
79;"04/08/2019";"Facility Visit";;"No";
1681;"03/14/2019";"1 Non-Compliant Violations";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1681/Reported Violations and Complaints.Signed 305.20190314.000000.pdf";"Yes";"Regulation: Chapter 7. Rules for Certification Of A Child Care Center (CCC) Compliance Action Plan Due Date:Compliance Action Plan Completed Date:Compliance Due Date: 04/11/2019 Compliance Achieved Date: 03/21/2019"
1681;"09/13/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1681/signed300PDF.20220913.123839.pdf";"No";
1681;"06/02/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1681/signed300PDF.20220602.111503.pdf";"No";
1681;"11/04/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1681/signed209PDF.20211104.114240.pdf";"No";
1681;"05/05/2021";"Facility Visit";;"No";
1681;"11/12/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1681/signed209PDF.20201112.121613.pdf";"No";
1681;"09/17/2020";"Facility Visit";;"No";
1681;"10/02/2019";"Renewal / Validation Visit";;"No";
1681;"05/02/2019";"Facility Visit";;"No";
1681;"03/15/2019";"Facility Visit";;"No";
1097;"10/27/2020";"1 Non-Compliant Violations";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1097/Reported Violations and Complaints.Signed 305.20201027.000000.pdf";"Yes";"Regulation: Chapter 4. General Requirements Compliance Action Plan Due Date: 11/03/2020 Compliance Action Plan Completed Date: 10/28/2020 Compliance Due Date: 11/10/2020 Compliance Achieved Date: 10/28/2020"
1097;"10/25/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1097/signed209PDF.20221025.150820.pdf";"No";
1097;"05/24/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1097/signed300PDF.20220524.142938.pdf";"No";
1097;"10/27/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1097/signed209PDF.20211027.102235.pdf";"No";
1097;"05/04/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1097/signed300PDF.20210504.104803.pdf";"No";
1097;"10/27/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1097/signed209PDF.20201027.145132.pdf";"No";
1097;"09/23/2020";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/1097/signed300PDF.20200923.143538.pdf";"No";
1097;"09/26/2019";"Renewal / Validation Visit";;"No";
1097;"08/13/2019";"Facility Visit";;"No";
1097;"04/30/2019";"Facility Visit";;"No";
14754;"08/10/2022";"1 Non-Compliant Violations";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/305RPVPDF.CPL5328.20220929.102408.pdf";"Yes";"Regulation: Chapter 15. General Requirements Compliance Action Plan Due Date: 10/09/2022 Compliance Action Plan Completed Date: 10/25/2022 Compliance Due Date: 10/09/2022 Compliance Achieved Date: 10/07/2022"
14754;"03/26/2021";"1 Non-Compliant Violations";"https://findchildcarewy.orghttps://www.wylicensing.org//SignedForms/Programs/14754/Visits/46955/CCL305/305PDF.CPL46955.20210326.122744.pdf";"Yes";"Regulation: Chapter 4. General Requirements Compliance Action Plan Due Date: 04/16/2021 Compliance Action Plan Completed Date: 04/28/2021 Compliance Due Date: 03/29/2021 Compliance Achieved Date: 03/31/2021"
14754;"01/23/2020";"1 Non-Compliant Violations";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/unsigned305PDF.20200127.131546.pdf";"Yes";"Regulation: Chapter 4. General Requirements Compliance Action Plan Due Date: 02/17/2020 Compliance Action Plan Completed Date: 02/20/2020 Compliance Due Date: 02/17/2020 Compliance Achieved Date:"
14754;"09/27/2019";"1 Non-Compliant Violations";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/Reported Violations and Complaints.Signed 305.20190927.000000.pdf";"Yes";"Regulation: Chapter 4. General Requirements Compliance Action Plan Due Date:Compliance Action Plan Completed Date:Compliance Due Date: 10/28/2019 Compliance Achieved Date: 10/31/2019"
14754;"04/05/2019";"1 Non-Compliant Violations";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/Reported Violations and Complaints.Signed 305.20190405.000000.pdf";"Yes";"Regulation: Chapter 4. General Requirements Compliance Action Plan Due Date:Compliance Action Plan Completed Date:Compliance Due Date: 05/10/2019 Compliance Achieved Date: 05/13/2019"
14754;"08/17/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/unsigned300PDF.20220817.150222.pdf";"No";
14754;"07/28/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/signed300PDF.20220728.153856.pdf";"No";
14754;"07/07/2022";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/signed209PDF.20220707.122305.pdf";"No";
14754;"02/08/2022";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/signed300PDF.20220208.120703.pdf";"No";
14754;"08/10/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/signed209PDF.20210810.122850.pdf";"No";
14754;"07/30/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/signed300PDF.20210730.115548.pdf";"No";
14754;"07/20/2021";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/signed209PDF.20210720.124905.pdf";"No";
14754;"06/29/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/signed300PDF.20210629.124104.pdf";"No";
14754;"04/28/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/signed300PDF.20210428.121945.pdf";"No";
14754;"03/26/2021";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/signed300PDF.20210326.123200.pdf";"No";
14754;"08/12/2020";"Facility Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/signed300PDF.20200812.135251.pdf";"No";
14754;"08/06/2020";"Renewal / Validation Visit";"https://findchildcarewy.orghttps://www.wylicensing.org/documents/Programs/14754/signed209PDF.20200806.134035.pdf";"No";
14754;"02/20/2020";"Facility Visit";;"No";
14754;"01/23/2020";"Facility Visit";;"No";
14754;"12/11/2019";"Facility Visit";;"No";
