"ID";"Type";"Name";"Address";"City";"State";"Zip";"County";"Phone";"Email";"Website";"Capacity";"Operational Information";"Sunday";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Infants (0-12 months)";"Toddler (12-24 months)";"Toddler (24-36 months)";"Pre-School (3-5 years old)";"School-Age (6-12 years old)";"Full Day Care";"Half Day Care";"Weekend Care";"Drop-In Care";"Night Care";"Provides Transportation";"Child and Adult Food Program";"Accepts Subsidies";"Certified Nature Explore Classroom";"Implementing WY ELG/ELF";"Accepts Special Needs";"Pet Free Environment";"Has Cat(s)";"Has Dog(s)";"Has Other Pet(s)"
1506;"CCC";"ABSAROKA HEAD START BASIN-GREYBULL";"609 RUE AVE.";"Basin";"WY";82410;"Big Horn";"307-568-2032";"mhammer@abshs.org";;20;"Closed Summer : September to May";"Closed";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"Closed";;;;"Yes";;"Yes";"Yes";;;;;"Yes";;;;;;;;
1689;"CCC";"ABSAROKA HEAD START CODY";"1701 29th Street";"Cody";"WY";82414;"Park";"307-527-6454";"djohnston@abshs.org";;37;"Closed Summer : September to May";"Closed";"08:30 AM - 12:30 PM";"08:30 AM - 12:30 PM";"08:30 AM - 12:30 PM";"08:30 AM - 12:30 PM";"08:30 AM - 12:30 PM";"Closed";;;;"Yes";;;"Yes";;;;;"Yes";;;;;;;;
1885;"CCC";"ABSAROKA HEAD START BUFFALO";"621 Fetterman";"Buffalo";"WY";82834;"Johnson";"307-684-2873";"jkaufman@abshs.org";;87;"Closed Summer : August to May";"Closed";"08:15 AM - 03:15 PM";"08:15 AM - 03:15 PM";"08:15 AM - 03:15 PM";"08:15 AM - 03:15 PM";"Closed";"Closed";;;;"Yes";;"Yes";"Yes";;;;;"Yes";;;;;;;;
76;"CCC";"ABSAROKA HEAD START LOVELL";"384 East Main Street";"Lovell";"WY";82431;"Big Horn";"307-548-7071";"sdannar@abshs.org";;42;"Regular/Year Round : September to September";"Closed";"08:00 AM - 12:00 PM";"08:00 AM - 12:00 PM";"08:00 AM - 12:00 PM";"08:00 AM - 12:00 PM";"08:00 AM - 12:00 PM";"Closed";;;;"Yes";;"Yes";"Yes";;;;;"Yes";;;;;;;;
2461;"CCC";"ABSAROKA HEAD START POWELL";"883 E 7th Street";"Powell";"WY";82435;"Park";"307-754-2013";"mnorman@abshs.org";;51;"Closed Summer : September to August";"Closed";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"Closed";;;;;;"Yes";"Yes";;;;;"Yes";;;;"Yes";;;;
1993;"CCC";"ABSAROKA HEAD START SHERIDAN";"2092 S. Sheridan";"Sheridan";"WY";82801;"Sheridan";"307-673-2637";"mgranger@abshs.org";;81;"Closed Summer : September to May";"Closed";"08:00 AM - 12:00 PM";"08:00 AM - 12:00 PM";"08:00 AM - 12:00 PM";"08:00 AM - 12:00 PM";"Closed";"Closed";;;;"Yes";;;"Yes";;;;;"Yes";;;;;;;;
79;"CCC";"Absaroka Head Start Thermopolis";"326 WARREN STREET";"Thermopolis";"WY";82443;"Hot Springs";"307-864-5481";"jvanheule@abshs.org";;24;"Seasonal : August to May";"Closed";"08:15 AM - 12:45 PM";"08:15 AM - 12:45 PM";"08:15 AM - 12:45 PM";"08:15 AM - 12:45 PM";"Closed";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;"Yes";;;
1681;"CCC";"Absaroka Head Start WORLAND";"1313 Big Horn";"Worland";"WY";82401;"Washakie";"307-347-3164";"vysebaert@abshs.org";;47;"Seasonal";"Closed";"07:50 AM - 03:00 PM";"07:50 AM - 03:00 PM";"07:50 AM - 03:00 PM";"07:50 AM - 03:00 PM";"07:50 AM - 03:00 PM";"Closed";;;;"Yes";;"Yes";"Yes";;;;;"Yes";;;;;"Yes";;;
1097;"CCC";"ABSAROKA HEADSTART RIVERTON";"2420 ROSE LANE";"Riverton";"WY";82501;"Fremont";"307-856-5078";"jsmith@abhs.org";;38;"Closed Summer : September to May";"Closed";"08:05 AM - 03:30 PM";"08:05 AM - 03:30 PM";"08:05 AM - 03:30 PM";"08:05 AM - 03:30 PM";"Closed";"Closed";;;;"Yes";;"Yes";;;;;;;;;;;;;;
14754;"CCC";"Abundance Creative Arts";"710 Garfield, #136";"Laramie";"WY";82070;"Albany";"307-460-3218";"abundancecreativearts@gmail.com";"https://abundancecreativearts.com";167;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";;;;;;;
17034;"CCC";"Academy of the Winds";"780 Von Bieker";"Lander";"WY";82520;"Fremont";"(307)";"info@academyofthewinds.org";;20;"Closed Summer : September to May";"Closed";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"08:00 AM - 03:00 PM";"Closed";;;;"Yes";;"Yes";"Yes";;;;;;;;;;"Yes";;;
16960;"CCC";"Act Two Studios/Kaleidoscope Preschool";"1212 Spirit Lane";"Cheyenne";"WY";82009;"Laramie";"307-637-5112";"acttwostudios@yahoo.com";;149;"Regular/Year Round";"Closed";"08:00 AM - 12:00 PM";"08:00 PM - 12:00 PM";"08:00 PM - 12:00 PM";"08:00 PM - 12:00 PM";"08:00 PM - 12:00 PM";"Closed";;;;"Yes";;;"Yes";;;;;;"Yes";;;;;;;
16835;"CCC";"Adventure Is Out There Daycare!";"802 East 3rd St., Suite A";"Gillette";"WY";82716;"Campbell";"307-257-2570";"andreavanvlerah@gmail.com";;66;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";;"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";;;;"Yes";;;
2430;"CCC";"Adventure Kids";"799 County Road 137";"Afton";"WY";83110;"Lincoln";"307-389-0388";"adventurekdc@gmail.com";;57;"Regular/Year Round";"Closed";"05:00 AM - 06:00 PM";"05:00 AM - 06:00 PM";"05:00 AM - 06:00 PM";"05:00 AM - 06:00 PM";"05:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";"Yes";;;;;;;
17192;"CCC";"Adventure Kids Alpine";"260 River Circle";"Alpine";"WY";83128;"Lincoln";"307-389-0388";"adventurekdc@gmail.com";;52;"Regular/Year Round";"Closed";"06:00 AM - 07:00 PM";"06:00 AM - 07:00 PM";"06:00 AM - 07:00 PM";"06:00 AM - 07:00 PM";"06:00 AM - 07:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;;;;;
2446;"CCC";"Adventure Kids Daycare";"107736 HWY 89 Rm# 12";"Etna";"WY";83118;"Lincoln";"(307)";"adventurekdc@gmail.com";;27;"Closed Summer : September to May";"Closed";"03:00 PM - 07:00 PM";"03:00 PM - 07:00 PM";"03:00 PM - 07:00 PM";"03:00 PM - 07:00 PM";"03:00 PM - 07:00 PM";"Closed";;;;;"Yes";;"Yes";;"Yes";;;;"Yes";;;;;;;
17254;"CCC";"Adventure Kids Thayne";"2335 Muddy String";"Thayne";"WY";83127;"Lincoln";"307-389-0388";"adventurekdc@gmail.com";;52;"Regular/Year Round";"Closed";"05:00 AM - 07:00 PM";"05:00 AM - 07:00 PM";"05:00 AM - 07:00 PM";"05:00 AM - 07:00 PM";"05:00 AM - 07:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;;;;;;;;;
16940;"FCCH";"Adventure Time Daycare";"106 Kenwood Drive";"Newcastle";"WY";82701;"Weston";"307-746-5366";"kwashburn425@gmail.com";;10;"Regular/Year Round";"Closed";"06:30 AM - 05:00 PM";"06:30 AM - 05:00 PM";"06:30 AM - 05:00 PM";"06:30 AM - 05:00 PM";"06:30 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";"Yes";;;;;"Yes";"Yes";
17381;"CCC";"Adventures In Learning Preschool";"419 4th Steet";"Evanston";"WY";82930;"Uinta";"(307)";"cprows@ecdcwyo.org";"https://http://www.evanstonchilddevelopmentcenter.org/preschool.html";118;"Regular/Year Round";"Closed";"06:00 AM - 07:00 PM";"06:00 AM - 07:00 PM";"06:00 AM - 07:00 PM";"06:00 AM - 07:00 PM";"06:00 AM - 07:00 PM";"Closed";;;;"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";;;;;;;
1616;"FCCH";"Alicias Day Care";"304 N Huber";"Casper";"WY";82601;"Natrona";"307-267-4804";"aliciabrimmer@hotmail.com";;8;"Regular/Year Round";"Closed";"05:30 AM - 06:30 PM";"05:30 AM - 06:30 PM";"05:30 AM - 06:30 PM";"05:30 AM - 06:30 PM";"05:30 AM - 06:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;"Yes";;"Yes";"Yes";;;;;;;
1982;"CCC";"All God's Children by Grace Preschool & Childcare";"315 CY Ave.";"Casper";"WY";82601;"Natrona";"307-235-4551";"agcbygrace@gmail.com";;96;"Regular/Year Round";"Closed";"06:45 AM - 05:30 PM";"06:45 AM - 05:30 PM";"06:45 AM - 05:30 PM";"06:45 AM - 05:30 PM";"06:45 AM - 05:30 PM";"Closed";;;"Yes";"Yes";;"Yes";"Yes";;;;;;"Yes";;;;;;;
17290;"FCCH";"All Things Bright";"609 South 5th St.";"Worland";"WY";82401;"Washakie";"307-388-9728";"krystalrekrystalskids@gmail.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 AM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 AM";"Closed";"Yes";"Yes";"Yes";;"Yes";"Yes";"Yes";;;;;;;;;;;;;
2399;"CCC";"Alphabet Academy I, LLC";"102 E.First St.";"Burns";"WY";82053;"Laramie";"(307)";"jami.kennah@gmail.com";"https://alphabetacademyllc.com";25;"Regular/Year Round";"Closed";"07:00 - 05:30";"07:00 - 05:30";"07:00 - 05:30";"07:00 - 05:30";"07:00 - 05:30";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";;;;"Yes";"Yes";;;
14858;"CCC";"Alphabet Academy II, LLC";"309 Main St.";"Pine Bluffs";"WY";82082;"Laramie";"307-245-9206";"jami.kennah@gmail.com";"https://alphabetacademyllc.com";72;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";"Yes";;;"Yes";"Yes";;;
17065;"CCC";"Alphabet Academy III, LLC";"1823 E. 17th St";"Cheyenne";"WY";82001;"Laramie";"307-514-0199";"jloyd77@gmail.com";"https://alphabetacademyllc.com";29;"Regular/Year Round";"Closed";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;"Yes";;;;;;;
17264;"CCC";"Alphabet Academy IV, LLC";"1600 E. 19th";"Cheyenne";"WY";82001;"Laramie";"(307)";"jloyd77@gmail.com";"https://alphabetacademyllc.com";23;"Regular/Year Round";"Closed";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 AM - 06:00 PM";"07:00 - 06:00 PM";"Closed";"Yes";"Yes";;;;"Yes";"Yes";;;;;;;;;;;;;
1848;"FCCH";"Alphabet Soup Child Care";"1003 East 2nd St.";"Big Piney";"WY";83113;"Sublette";"307-260-5005";"lesleydwenz@msn.com";;10;"Regular/Year Round";"Closed";"07:30 AM - 06:00 PM";"07:30 AM - 06:00 PM";"07:30 AM - 06:00 PM";"07:30 AM - 06:00 PM";"07:30 AM - 06:00 PM";"Closed";;;;"Yes";;"Yes";"Yes";;"Yes";;;;;;;;;"Yes";"Yes";
2283;"CCC";"Alpine Child Development Center";"247 Snake River";"Alpine";"WY";83128;"Lincoln";"(307)";"alpine@lucda.org";"https://lucda.org";21;"Seasonal : September to May";"Closed";"08:30 AM - 03:00 PM";"08:30 AM - 11:00 PM";"08:30 AM - 03:00 PM";"08:30 AM - 11:00 PM";"Closed";"Closed";;;;"Yes";;;"Yes";;;;"Yes";"Yes";;;;"Yes";"Yes";;;
14853;"FCCC";"Amanda's Kid-Cave";"1728 N. Cannon";"Casper";"WY";82601;"Natrona";"307-922-3788";"amandaskidcave18@gmail.com";;15;"Regular/Year Round";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"12:00 AM - 11:59 PM";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";"Yes"
2134;"FCCH";"Angela Armijo";"1701 Hackney";"Laramie";"WY";82070;"Albany";"307-760-6110";"ang3511@aol.com";;10;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;"Yes";"Yes";;;;;;;
14856;"FCCC";"Angelica Salas";"4024 Independence Dr.";"Cheyenne";"WY";82001;"Laramie";"(307)";"andre519luv@yahoo.com";;14;"Regular/Year Round";"Closed";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"07:00 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;;;;;;;;;
2476;"FCCH";"Angels Among Us Childcare";"2605 E 12th Street";"Cheyenne";"WY";82001;"Laramie";"307-221-0436";"shanel0225@gmail.com";;9;"Regular/Year Round";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;"Yes";"Yes";;;;;;;
17259;"CCC";"Angels Child Care Center, LLC";"837 East C Street";"Casper";"WY";82601;"Natrona";"307-267-4948";"gailfilkins1958@gmail.com";;41;"Regular/Year Round";"Closed";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";;;;;;;
2175;"FCCH";"Anna's Home Care";"1272 West 7th St";"Powell";"WY";82435;"Park";"307-754-0226";"annam_owens@hotmail.com";;10;"Regular/Year Round";"Closed";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"06:00 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;"Yes";"Yes";;;"Yes";;;"Yes";
17099;"CCC";"Apple Valley School";"130 Eugene St.";"Lander";"WY";82520;"Fremont";"(970)";"maureen@applevalleyschool.org";;54;"Regular/Year Round";"Closed";"07:45 AM - 05:15 PM";"07:45 - 05:15";"07:45 - 05:15";"07:45 - 05:15";"07:45 - 05:15";"Closed";;"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;;;;;;;;;"Yes"
2243;"CCC";"APPLETREE LEARNING CENTER";"1147 S. Walnut";"Casper";"WY";82601;"Natrona";"307-237-1952";"iammisswendee@gmail.com";;44;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;"Yes";;;;"Yes";;;"Yes";;;;"Yes"
17058;"FCCH";"Aunt Carrie's Kiddie Care";"213 East 3rd Ave";"Afton";"WY";83110;"Lincoln";"307-885-1573";"carrie@silverstar.com";;10;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;;;;;;;;
1124;"FCCH";"Aunt Steph's Home Daycare";"824 E. 16th Street";"Casper";"WY";82601;"Natrona";"(307)";"skindrick1010@yahoo.com";;8;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";;;;;;;;
1886;"FCCH";"Auntie Em's Day Care";"207 Longs Peak Dr.";"Cheyenne";"WY";82009;"Laramie";"307-638-0633";"emilyt511@bresnan.net";;10;"Regular/Year Round";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;"Yes";"Yes";;;;;;;
17177;"FCCH";"Avery Adventure Academy";"303 Midway Street";"Rock Springs";"WY";82901;"Sweetwater";"(307)";"kylaha14@gmail.com";;10;"Regular/Year Round";"Closed";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"07:00 AM - 05:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";;"Yes";"Yes";;;;;;;;;;;;;
17339;"FCCC";"Axis Gymnastics & Sports Academy";"980 W Broadway";"Jackson";"WY";83001;"Teton";"307-732-2947";"jess@axisgymnastics.com";;10;"Regular/Year Round";"Closed";"Closed";"09:00 AM - 12:15 PM";"Closed";"09:00 AM - 12:15 PM";"Closed";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;;;;
1508;"FCCH";"Azalia Blossoms";"2624 War Admiral";"Rock Springs";"WY";82901;"Sweetwater";"307-871-9011";"azaliablossoms@yahoo.com";;10;"Regular/Year Round";"Closed";"07:15 AM - 04:30 PM";"07:15 AM - 04:30 PM";"07:15 AM - 04:30 PM";"07:15 AM - 04:30 PM";"07:15 AM - 04:30 PM";"Closed";;"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;"Yes";"Yes";;;;;;;;
16871;"CCC";"B.E.A.S.T. Foundation";"2900 Sunflower";"Cheyenne";"WY";82009;"Laramie";"(307)";"johnblack@beastfoundation.org";;55;"Regular/Year Round";"Closed";"03:30 PM - 06:00 PM";"03:30 PM - 06:00 PM";"03:30 PM - 06:00 PM";"03:30 PM - 06:00 PM";"03:30 PM - 06:00 PM";"Closed";;;;;"Yes";;;;;"Yes";;;"Yes";;;;;;;
17139;"FCCC";"Barney and Graham, LLC";"247 Coffeen Ave";"Sheridan";"WY";82801;"Sheridan";"307-763-4483";"waterdaisylulu@yahoo.com";;8;"Regular/Year Round";"Closed";"08:00 AM - 05:00 PM";"08:00 AM - 05:00 PM";"08:00 AM - 05:00 PM";"08:00 AM - 05:00 PM";"08:00 AM - 05:00 PM";"Closed";;;;;;"Yes";;;;;;;;;;;;;;
2458;"CCC";"BASIC BEGINNINGS";"1474 NORTH 19TH ST";"Laramie";"WY";82072;"Albany";"307-745-5755";"jalawren@wyoming.com";;164;"Regular/Year Round";"Closed";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;"Yes";"Yes";"Yes";;;"Yes";"Yes";;;
2380;"CCC";"Basic Beginnings South";"3520 Garfield";"Laramie";"WY";82070;"Albany";"307-742-9332";"jalawren@wyoming.com";;156;"Regular/Year Round";"Closed";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"06:30 AM - 06:00 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;"Yes";"Yes";"Yes";;;"Yes";"Yes";;;
17163;"FCCC";"Bayley's Preschool";"302 S. 5th St.";"Douglas";"WY";82633;"Converse";"307-359-3508";"bball_bratt00@hotmail.com";;12;"Seasonal : September to May";"Closed";"Closed";"Closed";"08:00 AM - 12:00 PM";"08:00 AM - 12:00 PM";"Closed";"Closed";;;;"Yes";;;"Yes";;;;;;;;;;;;;
1510;"FCCH";"Bear's Kiddo Care";"407 South Road 11";"Worland";"WY";82401;"Washakie";"307-431-5184";"amberberk@hotmail.com";;10;"Regular/Year Round";"Closed";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"07:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;"Yes";;;"Yes";"Yes";;;;;"Yes";"Yes";
1422;"FCCC";"Beautiful Dreams Learning Center II";"3930 Farthing Rd";"Cheyenne";"WY";82001;"Laramie";"307-514-0633";"Hbruce53@gmail.com";;15;"Regular/Year Round";"Closed";"06:30 AM - 05:30 PM";"06:30 AM - 05:30 PM";"06:30 AM - 05:30 PM";"06:30 AM - 05:30 PM";"06:30 AM - 05:30 PM";"Closed";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";;;;;;"Yes";;;;;;;
