"id";"name";"street";"city";"state";"zip";"phone";"county";"email";"website";"rating";"ages_served";"schedule";"environment";"special_needs";"languages";"license_id";"care_type";"meals";"financial_assistance";"animals_pets";"transportation";"elementary_schools";"hours_of_operation_monday";"hours_of_operation_tuesday";"hours_of_operation_wednesday";"hours_of_operation_thursday";"hours_of_operation_friday";"hours_of_operation_saturday";"hours_of_operation_sunday";"latitude";"longitude";"alternate_phone"
2180;"Sandia View Christian Preschool (EMERG OPEN)";"024 Academy Dr";"Corrales";"NM";87048;"505-897-4805";"Sandoval";"svcsinfo@sandiaview.org";;"3-STAR";"2, 3, 4 years old";"Full-Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English";124590;"Child Care Center";"Parents must send meals/snacks";"Sibling Discount; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"Fish or Amphibian";"Transportation Not Provided";;"7:30 AM - 05:30 PM";"7:30 AM - 05:30 PM";"7:30 AM - 05:30 PM";"7:30 AM - 05:30 PM";"7:30 AM - 05:30 PM";;;35.2463262;-106.6030741;
3477;"Children's Choice at North Star (EMERG OPEN)";"9301 Ventura St. NE";"Albuquerque";"NM";87122;"505-296-2880";"Bernalillo";"ashcraft@childrens-choice.org-choice.org";"wwww.childrens";"5-STAR";"5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English";160527;"School Age Program";"Morning Snack; Lunch; Afternoon Snack";"Sibling Discount; Scholarships; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Walking Distance to School; Transportation Not Provided";"North Star Elem. - Albuquerque";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";;;35.192362;-106.544247;"505-504-4557"
1982;"Sandia Presbyterian Preschool (EMERG OPEN)";"10704 Paseo Del Norte NE";"Albuquerque";"NM";87122;"505-856-5040 EXT 126";"Bernalillo";"clutz@sandiaprs.org";"www.spcpreschool.com";"5-STAR";"2, 3, 4, 5 years old";"Part-Time, School Year";"No Swimming Pool; Wheelchair Accessible; Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English";127450;"Child Care Center";"Morning Snack; Parents must send meals/snacks";"Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Not Provided";;"9:00 AM - 01:30 PM";"9:00 AM - 01:30 PM";"9:00 AM - 01:30 PM";"9:00 AM - 01:30 PM";"9:00 AM - 01:30 PM";;;35.1737562;-106.5202917;
2913;"Cibola House School (EMERG OPEN)";"12234 NM-14 N";"Cedar Crest";"NM";87008;"505-453-6500";"Bernalillo";"a22webster@earthlink.net";"www.cibolahousepreschool.com";"2-STAR Basic Licensure";"2, 3, 4, 5 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English";148020;"Child Care Center";"Parents must send meals/snacks";"Sibling Discount; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Not Provided";;"8:00 AM - 05:30 PM";"8:00 AM - 05:30 PM";"8:00 AM - 05:30 PM";"8:00 AM - 05:30 PM";"8:00 AM - 05:30 PM";;;35.1320888;-106.3670074;"505-385-1142"
4259;"Discovery Jungle Preschool (EMERG OPEN)";"841 Saratoga Dr NE";"Rio Rancho";"NM";87144;"505-620-5174";"Sandoval";"discoveryjunglepreschool@gmail.com";"wwwdiscoveryjunglepreschool.com";"2-STAR Basic Licensure";"1, 2, 3, 4, 5 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Experience with Inclusion";"English";168235;"Child Care Center";"Morning Snack; Afternoon Snack; Parents must send meals/snacks";"Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Not Provided; School bus stop is close to Provider";"Shining Stars Preschool - Rio Rancho";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";;;35.2728666;-106.6343261;
791;"Memorable Moments Inc (EMERG OPEN)";"4848 Huron Road NE";"Rio Rancho";"NM";87144;"505-891-1456";"Sandoval";"memorablemoments2016@gmail.com";;"4-STAR";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";100407;"Child Care Center";"Morning Snack; Afternoon Snack; Parents must send meals/snacks";"Sibling Discount; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Not Provided; School bus stop is close to Provider";"Enchanted Hills Elem. - Rio Rancho; Shining Stars Preschool - Rio Rancho";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";;;35.2738102;-106.6357282;
1839;"PMS Little Steps Early Head Start (TEMP CLOSED)";"421 Quantum Rd NE";"Rio Rancho";"NM";87124;"505-820-3472";"Sandoval";"marie.martinez@pmsnm.org";"www.pmsnm.org";"5-STAR";"Infant, 1, 2, 3 years old";"Full-Time, School Year";;;"English; Spanish; Bilingual";145688;"(CCC) Head Start";;"Head Start; FREE-CALL FOR SESSION START/END TIMES";;"Transportation Not Provided";;;;;;;;;35.2647971;-106.6330908;
2375;"Montessori One Preschool Academy (EMERG OPEN)";"9360 Holly Ave NE";"Albuquerque";"NM";87122;"505-822-5150";"Bernalillo";"director@montessorione.net";"www.montessorione.net";"2-STAR Basic Licensure";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";135746;"Child Care Center";"Parents must send meals/snacks";"No Child Care Assistance Accepted";"No Pets or Animals";"Transportation Not Provided";;"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";"7:00 AM - 05:30 PM";;;35.175166;-106.5369117;
510;"La Petite Academy Inc 7291 (EMERG OPEN)";"501 Quantum Rd NE";"Rio Rancho";"NM";87124;"505-892-3660";"Sandoval";"7291@lapetite.com";"www.lapetiteacademy.com";"5-STAR";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";81451;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"Fish or Amphibian";"Transportation Provided; School bus stop is close to Provider";"Cielo Azul Elem. - Rio Rancho; Colinas Del Norte Elem. - Rio Rancho; Enchanted Hills Elem. - Rio Rancho; Ernest S. Stapleton Elem. - Rio Rancho";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";"6:00 AM - 06:30 PM";;;35.2658485;-106.6359921;"505-892-3085"
2376;"Lambs of Grace Preschool (TEMP CLOSED)";"7550 Eubank Blvd NE";"Albuquerque";"NM";87122;"505-823-9100";"Bernalillo";"logpreschool@gmail.com-nm.org";"www.gracelutheran";"2-STAR Basic Licensure";"3, 4, 5 years old";"Part-Time, School Year";"No Swimming Pool; Wheelchair Accessible; Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English";134911;"Child Care Center";"Parents must send meals/snacks";"Sibling Discount; No Child Care Assistance Accepted";"No Pets or Animals";"Transportation Not Provided";;"9:00 AM - 12:00 PM";"9:00 AM - 12:00 PM";"9:00 AM - 12:00 PM";"9:00 AM - 12:00 PM";"9:00 AM - 12:00 PM";;;35.166455;-106.5237446;
3871;"NMPreK-C The Learning Curve (EMERG OPEN)";"48 Horton Rd";"Edgewood";"NM";87015;"505-286-4077";"Santa Fe";"ruthiemoffett1951@gmail.com";;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.1521978;-106.2090769;
3436;"The Learning Curve (EMERG OPEN)";"48 Horton Rd";"Edgewood";"NM";87015;"505-286-4077";"Santa Fe";"ruthmoffett1951@gmail.com";"www.tlcdevelopmentcenters.com";"3-STAR";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Experience with Inclusion";"English";159129;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"Hamsters/Guinea Pigs/Mice; Fish or Amphibian";"Transportation Not Provided; School bus stop is close to Provider";"Route 66 Elem. - Edgewood";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";;;35.1521978;-106.2090769;"505-373-4159"
1631;"Covenant United Methodist Church (TEMP CLOSED)";"8510 Wyoming Blvd NE";"Albuquerque";"NM";87113;"505-822-8828";"Bernalillo";"covenantumc8510@msn.com";"www.abqcumc.org";"2-STAR Basic Licensure";"2, 3, 4, 5 years old";"Part-Time, School Year";"No Swimming Pool; Wheelchair Accessible; Faith-based; Outdoor play area fenced";"Experience with Inclusion";"English";124037;"Child Care Center";"Parents must send meals/snacks";"Sibling Discount; No Child Care Assistance Accepted";"No Pets or Animals";"Near Public Transportation; Transportation Not Provided";;"9:00 AM - 01:00 PM";"9:00 AM - 01:00 PM";"9:00 AM - 01:00 PM";"9:00 AM - 01:00 PM";;;;35.181114;-106.558415;
3936;"NMPreK-C La Petite Academy Inc 7279 (EMERG OPEN)";"7615 Anaheim Ave NE";"Albuquerque";"NM";87122;"505-828-1888";"Bernalillo";"7279@lapetite.com";;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.1790533;-106.5590862;
128;"La Petite Academy Inc 7279 (EMERG OPEN)";"7615 Anaheim Ave NE";"Albuquerque";"NM";87122;"505-828-1888";"Bernalillo";"7279@lapetite.com";"www.lapetite.com";"5-STAR";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual";81440;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Sibling Discount; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"No Pets or Animals";"Transportation Provided";"Dennis Chavez Elem. - Albuquerque; Edmund G. Ross Elem. - Albuquerque; North Star Elem. - Albuquerque";"6:30 AM - 06:30 PM";"6:30 AM - 06:30 PM";"6:30 AM - 06:30 PM";"6:30 AM - 06:30 PM";"6:30 AM - 06:30 PM";;;35.1790533;-106.5590862;
1624;"SpringStone Montessori School - Carmel (EMERG OPEN)";"7940 Carmel Ave NE";"Albuquerque";"NM";87122;"505-821-8181";"Bernalillo";"carmel@springstonekids.com";"www.springstonekids.com";"5-STAR";"1, 2, 3, 4, 5, 6-12 years old";"Full-Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English; Spanish; Bilingual; Other";128860;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Sibling Discount; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"Hamsters/Guinea Pigs/Mice; Fish or Amphibian";"Transportation Not Provided";;"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";"6:30 AM - 06:00 PM";;;35.176738;-106.5569;
4191;"Kiddie Academy of North Albuquerque (EMERG OPEN)";"7010 Alameda Blvd NE";"Albuquerque";"NM";87113;"505-359-0000";"Bernalillo";"northalbuquerque@kiddieacademy.net";;"5-STAR";"Infant, 1, 2, 3, 4, 5 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Experience with Inclusion";"English; Spanish; Bilingual";167775;"Child Care Center";"Breakfast; Lunch; Afternoon Snack";"Sibling Discount; Accepts Full Time Child Care Assistance";"Fish or Amphibian";"Transportation Not Provided";;"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";"6:00 AM - 06:00 PM";;;35.1842933;-106.5686211;
3757;"NMPreK-P Shining Stars Preschool";"4477 9th Ave Ne";"Rio Rancho";"NM";87124;"505-892-7735 EXT 16";"Sandoval";;;" ";"4 years old";"Part-Time, School Year";;;;;"(CCC) NM PreK";;"FREE-CALL FOR SESSION START/END TIMES";;;;;;;;;;;35.2736774;-106.6531299;
3476;"Children's Choice at Georgia O'Keeffe (EMERG OPEN)";"11701 San Victorio Ave. NE";"Albuquerque";"NM";87111;"505-296-2880";"Bernalillo";"ashcraft@childrens-choice.org-choice.org";"www.childrens";"5-STAR";"5, 6-12 years old";"Full & Part Time, School Year";"No Swimming Pool; Wheelchair Accessible; Non Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Specific training on inclusive practices; Experience with Inclusion";"English";160528;"School Age Program";"Afternoon Snack; Parents must send meals/snacks";"Sibling Discount";"No Pets or Animals";"Walking Distance to School; Transportation Not Provided";"Georgia O'Keeffe Elem. - Albuquerque";"7:00 PM - 06:00 PM";"7:00 PM - 06:00 PM";"7:00 PM - 06:00 PM";"7:00 PM - 06:00 PM";"7:00 PM - 06:00 PM";;;35.1493271;-106.5096686;"505-504-4943"
532;"Prince of Peace Lutheran School (EMERG OPEN)";"12121 N Highway 14";"Cedar Crest";"NM";87008;"505-281-6833";"Bernalillo";"popschool14@gmail.com";"www.pop14.com";"2-STAR Basic Licensure";"Infant, 1, 2, 3, 4, 5, 6-12 years old";"Full & Part Time, Full Year";"No Swimming Pool; Wheelchair Accessible; Faith-based; Outdoor play area fenced";"Program has strong commitment to inclusion; Experience with Inclusion";"English; Spanish; Sign Language";94695;"Child Care Center";"Parents must send meals/snacks";"Sibling Discount; Scholarships; Accepts Full Time Child Care Assistance; Accepts Part Time Child Care Assistance";"Hamsters/Guinea Pigs/Mice";"Transportation Not Provided";;"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";"7:00 AM - 06:00 PM";;;35.1173484;-106.3724399;
4036;"(FCCH) See-Saw Child Care";"Hwy 528 & Leon Grande";"Rio Rancho";"NM";87124;"505-610-3431";"Sandoval";"sanoguetmaria1976@gmail.com";;"2-STAR Basic Licensure";"Infant, 1, 2, 3, 4, 5 years old";"Full & Part Time, Full Year";"No Smoking; No Swimming Pool; No Guns (FCCH Only); Non Faith-based; Outdoor play area fenced";"Experience or Training in Special Needs; Experience with Inclusion";"English; Spanish; Bilingual";166204;"Family Child Care";"Breakfast; Lunch; Afternoon Snack";"Rates Negotiable; Accepts Full Time Child Care Assistance";"Outdoor Only; Dog(s)";"Transportation Not Provided";;"7:00 AM - 05:00 PM";"7:00 AM - 05:00 PM";"7:00 AM - 05:00 PM";"7:00 AM - 05:00 PM";"7:00 AM - 05:00 PM";;;35.2475822;-106.6369822;
