"id";"name";"address";"city";"state";"zip";"phone";"tollfree";"fax";"email";"website";"contact_name";"Details";"Services offer";"County/Area served";"Logo url";"operation hours";
13013;"Project CHILD: Care Resource & Referral";"327 Potomac Blvd, Suite C";"Mount Vernon";"IL";62864;(618) 244-2210;(800) 362-7257;(618) 244-5209;"prochild@rlc.edu";"https://www.rlc.edu/projectchild-home/";;"Project Child is a child care resource and referral agency based in Mt. Vernon, IL and serving the Southern Illinois counties of Clay, Crawford, Edwards, Effingham, Fayette, Jasper, Jefferson, Lawrence, Marion, Richland, Wabash and Wayne. We are a part of the Illinois Network of Child Care Resource and Referral Agencies. We are a grant funded program administered through Rend Lake College by the Illinois Department of Human Services. Project CHILD administers the Illinois Child Care Assistance Program for parents in the counties we serve.  In addition, we provide a wide range of support services for child care professionals, parents and public agencies involved in early childhood education. ";"Assistance for parents searching for quality childcare; Professional development training opportunities for child care providers; Grants for program and facility improvement; Scholarship and educational assistance programs; Data and statistical information about child care in our service delivery area";"Clay, Crawford, Edwards, Effingham, Fayette, Jasper, Jefferson, Lawrence, Marion, Richland, Wabash and Wayne Counties";;"Mon - Thurs: 8:00am - 4:30pm; Fri: 8:00am - 4:00pm ";
13026;"Illinois Action For Children";"4753 N. Broadway, 1st Floor";"Chicago";"IL";60640;(312) 823-1100;;(312) 823-1200;"referrals@actforchildren.org";"http://www.actforchildren.org/";;"Our work is to ensure that every child in Illinois - particularly those in need - have access to the resources to succeed in school and in life. Since our founding in 1969, Illinois Action for Children has worked to create systems of early care and education that help strengthen families and communities.";"For Families: Finding Child Care, Paying for Child Care, Family Support Services, Early Learning Programs; For Providers: Child Care Assistance ProgramOpening a Child Care Program, Resource and Referral Database, Child Care Program Supports, Nutrition and Wellness Programs, License-Exempt Provider Services, Innovation Zones";"Cook";"http://www.actforchildren.org/wp-content/themes/orbit-media/images/logo.png";"Mon, Tues, Thurs, Fri: 8:30 am - 4:00pm";
13039;"ChildCare Network of Evanston";"1335 Dodge Avenue";"Evanston";"IL";60201;(847) 475-2661;;(847) 475-2699;"cne@childcarenetworkofevanston.org";"http://www.childcarenetworkofevanston.org";;"Since 1967, CNE has served the community of Evanston by creating awareness about the importance of early childhood education and by advocating for the youngest members of our communities. And like the families we serve, CNE continues to grow. ";;;"http://www.childcarenetworkofevanston.org/site/template/assets/spacer.gif";;"This is not childcare referral agency"
13052;"Child Care Resource & Referral Network";"207 W. Jefferson, Ste. 301";"Bloomington";"IL";61701;(309) 828-1892;(800) 437-8256;(309) 828-0526;"info@ccrrn.com";"http://www.ccrrn.com/";;"The CCRRN is committed to supporting families, child care providers, and employers in their pursuit of quality child care and family support services that are both available and affordable. To this end, the CCRRN strives to assure access to education, assistance and support to families, child care providers, employers, and other community agencies.";"For Providers: Attend trainings and conferences, Receive financial help through professional development scholarships to enhance program quality, Program Accreditation information, Receive health information from our Child Care Nurse Consultant; For Parent: Learn about child care options and learn about referrals to child care programs, Receive information about selecting quality child care programs for free online, by phone, in person, by email or fax, CCRRN now offers a free online child care search, Learn about eligibility requirements for financial assistance, Learn how you can become a child care provider";"McLean, Livingston, Ford and DeWitt Counties";"http://www.ccrrn.com/templates/jabellatrix/images/logo-bellatrix.png";"Mon - Fri: 8:00am - 4:30pm";
13065;"YWCA Child Care Referrals & Parent Services";"2055 West Army Trail Road, Suite 140";"Addison";"IL";60101;(630) 790-6600;;;"childcare@ywcachicago.org";"http://www.ywcachicago.org";;"Finding quality, convenient and affordable child care is not an easy job. The YWCA assists parents and caretakers in their search for child care through referrals, individual counseling and provider workshops. Parent Services provides information and referrals to help you find the right child care solution for your family. We serve Kane and DuPage counties.";"Referrals; Individual Counseling; Provider Workshops";"DuPage and Kane Counties";;"Mon - Fri: 9:00am - 4:00pm";
13078;"Child Care Resource & Referral";"801 N. Larkin Ave, Ste. 202";"Joliet";"IL";60435;(815) 741-1163;(800) 552-5526;(815) 741-1170;"cbzdon@childcarehelp.com";"http://www.childcarehelp.com/";"Christine Bzdon ";"Child Care Resource & Referral is the most comprehensive child care and early childhood education resource in Will, Grundy, Kendall and Kankakee Counties. Child Care Resource & Referral is a trustworthy partner for families, educators and employers with an experienced and dedicated staff helping match needs with the appropriate services, and facilitating access to any available financial assistance. The result is greater peace of mind and confidence that families are receiving the best possible early childhood resources. ";"Family Services: Child Care for Families, Referral Services, Community Resources; Provider Services: Getting into Business, Training, Funding for Providers, Consultants";"Will, Grundy, Kendall and Kankakee Counties";"http://www.childcarehelp.com/Portals/_default/Skins/ccr/images/ccrrSmLogo.jpg";"Mon - Fri: 9:00am - 3:00pm ";
13091;"YWCA - Lake County Child Care Resource & Referral";"1425 Tri-State Parkway, Suite 180";"Gurnee";"IL";60031;(847) 662-4247;;(847) 855-0329;"information@ywcalakecountyil.org";"http://www.ywcalakecounty.org/";;"YWCA Child Care Resource & Referral (CCR&R) is a national, state and local system to increase access to quality and affordable child care for working parents. YWCA Lake County CCR&R works in partnership with parents, business leaders, government officials and child care providers to bring high quality child care to Lake County families.";"Training and Technical Assistance for Providers; Child Care Subsidy; Child Care Provider Professional Development; Quality Ratings; Literacy Programs; Consumer Education and Referrals; Parent Workshops; Provider Recruitment; Spanish Language Services";"Lake County";;"Mon - Fri: 9:00am - 4:00pm";
13104;"Community Coordinated Child Care (4-C) - McHenry County";"667 Ridgeview Rd.";"McHenry";"IL";60050;"(815) 344-5510 ext.10";(866) 347-2277;(815) 344-5520;"tinal@four-c.org";"http://www.four-c.org/";;"4-C is a private not-for-profit social service agency that for more than 40 years has helped families and child care providers by offering services and resources that include child care financial assistance, parent and provider education, nursing, nutrition, social work, mental health, and advocacy.";"For Parents: Help Paying For Child Care, Parenting & Child Development Information, Child Care Health Consultants; For Providers: Help Starting or Improving Your Service, Referrals To Your Child Care Service, Classes And Training, Grants For Child Care Improvements, Funding To Attend Classes & Conferences, Parenting & Child Development Information, Access To Health Consultants, Child Care Food Program, Child Learning Resources, Infant Toddler Services, Payment Information";"McHenry County";"http://www.four-c.org/images/4c_corner_logo.jpg";"Mon - Fri: 8:30am - 4:30pm ";
13117;"Bona Vista Programs, Inc. Child Care Solutions";"123 North Buckeye";"Kokomo";"IN";46901;"(765) 452-8870";"(800) 493-3231 (For In-State Use Only)";"(765) 868-4699";;"http://www.bonavista.org";;"Child Care Solutions is a Child Care Resource and Referral service for Adams, Blackford, Fulton, Grant, Howard, Huntington, Jay, Miami, Tipton, Wabash, and Wells counties in Indiana. We offer an extensive collection of resources to child care providers, families and communities so that all children can have a quality early learning and care experience";"Training and Technical Assistance for Providers; Child Care Provider Professional Development; Quality Ratings; State and Federal Advocacy; Consumer Education and Referrals; Parent Workshops; Provider Recruitment; Spanish Language Services";"Adams, Blackford, Fulton, Grant, Howard, Huntington, Jay, Miami, Tipton, Wabash, and Wells Counties";;"Mon - Fri: 8:00am - 4:30pm";
13130;"Early Childhood Alliance";"3320 Fairfield Ave.";"Fort Wayne";"IN";46807;"(260) 745-2501";"(800) 423-1498";"(260) 744-3473";"info@ecalliance.org; mmadden@ecalliance.org";"https://www.ecalliance.org/";"Maricela Madden";"For more than half a century, Early Childhood Alliance has been providing programs and services to meet the needs of families and children, first in Fort Wayne/Allen County, and now across northern Indiana. Today, Early Childhood Alliance is recognized as a leader in the early care and education field. We are proud of our heritage and are positioned to continue in our leadership role in northern Indiana. Early Childhood Alliance is committed to helping educate children to help them develop and become outstanding members of society.";"For Families: Assistance in finding quality child care, Early care and education in state-licensed and nationally accredited learning centers in Fort Wayne, Family support programs to assist parents in enhancing their parenting skills, focusing on the developmental needs of children; For Providers: Professional Development, Our Professional Programs, Resources for Professionals";"Allen, De Kalb, Elkhart, Kosciusko, La Grange, Marshall, Noble, St. Joseph, Steuben and Whitley Counties";"https://www.ecalliance.org/wp-content/themes/earlychild/img/eca_logo.png";"Mon - Thurs: 7:30am - 5:30pm; Fri: 7:30am - 11:30am";
13143;"Childhood Connections";"1531 13th St., Ste 1130";"Columbus";"IN";47201;"(812) 375-2208";"(866) 693-0672";"(812) 373-3616";"ccinfo@childhoodconnections.org";;;;;;;;"Closed"
13156;"The Child Care Resource Network";"817 Woodmere Drive";"Lafayette";"IN";47905;"(765) 742-7105";"(800) 932-3302";"(765) 423-7416";"khitchcock@thechildcareresourcenetwork.org";"http://www.thechildcareresourcenetwork.org/";"Krystal Hitchcock";"Our primary objectives are to help families find quality child care, recruit and train child care providers, and to develop unique child care resource and referral programs for employers of working parents.";"Training and Technical Assistance for Providers; Child Care Provider Professional Development; Quality Ratings; State and Federal Advocacy; Consumer Education and Referrals; Parent Workshops; Provider Recruitment; Spanish Language Services";"Benton, Boone, Carroll, Cass, Clinton, Fountain, Jasper, Newton, Pulaski, Tippecanoe, Warren, and White Counties";"http://www.thechildcareresourcenetwork.org/themes/tccrn/assets/images/logo-min.svg";"Mon - Thurs: 8:00am - 5:00pm; Fri: 8:00am - 4:30pm; Sat, Sun: By appointment";
13169;"Community Action of Southern Indiana";"1613 E. 8th St.";"Jeffersonville";"IN";47130;"(812) 288-6451";"(812) 877-5400";"(812) 284-5252";"joyshanks@hotmail.com";;;;;;;;"This is not childcare referral agency"
13182;"Southeastern Indiana Economic Opportunity Corporation";"110 Importing Street";"Aurora";"IN";47001;"(812) 926-1585";"(800) 755-8558";;"ccrr@sieoc.org";"http://www.sieoc.org";"Amy Matzet";"CCR&R is a program that serves Clark, Jefferson, Dearborn, Ohio, Decatur, Ripley, Floyd, Scott, Franklin, Harrison, Jackson, Jennings, Washington, and Switzerland counties that helps all families and child care providers.  The program helps parents understand the differences in child care by giving them a list of child care providers to choose from.  The program offers child care providers ongoing training and resources to improve the quality of their services.";"Training and Technical Assistance for Providers; Child Care Provider Professional Development; Quality Ratings; State and Federal Advocacy; Consumer Education and Referrals; Parent Workshops; Provider Recruitment";"Clark, Jefferson, Dearborn, Ohio, Decatur, Ripley, Floyd, Scott, Franklin, Harrison, Jackson, Jennings, Washington, and Switzerland Counties ";"http://www.sieoc.org/images/ccrr-logo.jpg";"Mon, Tues, Thurs, Fri:  8:00am - 5:00pm; Wed: 8:00am - 9:00pm";
13195;"Chances and Services for Youth (CASY)";"1101 S 13th St";"Terre Haute";"IN";47802;"(812) 232-3952";"(800) 886-3952 (For In-State Use Only)";"(812) 232-1731";"npugh@casyonline.org";"http://www.casyonline.org";"Natalie Pugh";"Child Care Resource & Referral (CCR&R) meets a need that no one else does - providing the bridge between parents, providers, community leaders, and policy makers.";"Free referral services that are personalized to meet the specific needs of the family; A checklist to assist families in finding quality care; Education Materials to help parents select quality programs; Workshops designed for parents, families & child care providers; Specific information about the developmental needs of children; Assistance for families of infants and toddlers; Assistance for families of children with special needs";"Clay, Greene, Monroe, Montgomery, Morgan, Owen, Parke, Putnam, Sullivan, Vermillion and Vigo Counties";"http://casyonline.org/wp-content/uploads/2013/04/logo-300x139.png";"Mon - Fri: 9:00am - 5:00pm";
13208;"4C of Southern Indiana Inc.";"600 SE 6th St.";"Evansville";"IN";47713;"(812) 423-4008";"(866) 200-5909";"(866) 503-5970";"info@child-care.org";"http://www.child-care.org";;"4C of Southern Indiana stands for Community Coordinated Child Care. We believe every child deserves the opportunity to grow into a healthy and contributing citizen. We realize these beliefs by improving access, affordability and quality child care by being a leading voice for children and families in Southwestern Indiana, including Evansville, Newburgh and Vincennes.";"Child Care Referrals; Child Development Information";"Crawford, Daviess, Dubois, Gibson, Knox, Lawrence, Martin, Orange, Perry, Pike, Posey, Spencer, Vanderburgh and Warrick Counties";"http://cdn.firespring.com/images/737aef15-8188-4ae0-8a83-ef789af2b18b.jpg";"Mon, Thurs: 8:00am - 7:00pm; Tues, Wed, Fri: 8:00am - 5:00pm; 2nd Sat: 8:00am - 12:00pm";
13221;"Huffer Child Care Resource & Referral";"3413 Fox Ridge Ln";"Muncie";"IN";47304;"(765) 284-0887";"(800) 554-9331 (For In-State Use Only)";"(765) 289-7330";"lnickey@huffermcc.org";"http://www.huffermcc.org/";"Liane Nickey";"Huffer Child Care Resource and Referral (CCR&R) is a project of the Indiana Association of Child Care Resource and Referral and the Office of Early Childhood and Out-of-School Learning. Huffer CCR&R promotes quality child care by providing support services for families, providers and the community. Huffer CCR&R proudly serves a ten county Service Delivery Area in east central Indiana, including: Delaware, Fayette, Hancock, Henry, Madison, Randolph, Rush, Shelby, Union and Wayne counties. We are committed to providing consumer education services to families to help them understand the importance of seeing that their children are in quality environments and helping child care providers build their own personal skills and programs that reflect a positive child development knowledge base.";"Training and Technical Assistance for Providers; Child Care Provider Professional Development; Quality Ratings; Consumer Education and Referrals; Parent Workshops; Provider Recruitment";"Delaware, Fayette, Hancock, Henry, Madison, Randolph, Rush, Shelby, Union and Wayne Counties";"http://www.huffermcc.org/wp-content/themes/huffer/images/logo.png";"Mon - Fri: 8:00am - 5:00pm; Sat: 8:00am - 12:00pm";
13234;"Community Coordinated Child Care";"224 W. Jefferson Blvd., Suite 102";"South Bend";"IN";46601;"(574) 289-7815";;"(574) 289-1922";;"http://www.4csindiana.org";;"We connect families and their children with quality early childhood opportunites";"CACFP; Educating Care Providers; Benefiting Our Community";;"http://www.4csindiana.org/sites/all/themes/fourcs/logo.png";"Mon - Thurs: 8:00am - 4:30pm; Fri: 8:00am - 12:00pm ";"This is not childcare referral agency"
13247;"Child Care Answers";"1776 N. Meridian St., Suite A";"Indianapolis";"IN";46202;"(317) 636-5727";"(800) 272-2937";"(317) 687-6248";;"http://www.childcareanswers.com";"Crystal Givens";"Child Care Answers is a child care training and referral program operated by Early Learning Indiana. We serve families, child care providers, and the community as we work to enhance access to, and the quality of, child care services in Central Indiana. ";"Training and Technical Assistance for Providers; Child Care Provider Professional Development; Child Care Program Licensing and Registration; State and Federal Advocacy; Consumer Education and Referrals; Parent Workshops; Provider Recruitment; Spanish Language Services";"Bartholomew, Hamilton, Johnson, Brown, Hendricks and Marion Counties";"http://childcareanswers.com/cca_wp/wp-content/uploads/2017/02/child-care-anwsers.png";"Mon - Fri: 8:00am - 5:00pm";
13260;"Workforce Development Services, Inc.";"839 Broadway, Ste N-208";"Gary";"IN";46402;"(219) 882-0033";;"(219) 293-8579";;"http://www.wdsgroup.org/";;;;;;;"This is not childcare referral agency"
13273;"The Family Conservancy";"444 Minnesota Avenue, Ste. 200";"Kansas City";"KS";66101;"(913) 342-1110";;"(913) 342-3632";"familykc@tfckc.org";"http://www.thefamilyconservancy.org/services/family-resources/looking-for-child-care";;"Child Care Resource and Referral: To promote and ensure access to quality early learning programs.";"Training and Technical Assistance for Providers; Head Start/Early Head Start; Child Care Provider Professional Development; Quality Ratings; Literacy Programs; State and Federal Advocacy; Consumer Education and Referrals; Parent Workshops; Provider Recruitment; Spanish Language Services";"Atchison, Johnson, Leavenworth and Wyandotte Counties ";"http://www.thefamilyconservancy.org/templates/shape5_vertex/images/s5_logo.png";"Mon - Fri: 8:00am - 5:00pm";
13286;"Child Start Inc.";"1002 S Oliver";"Wichita";"KS";67218;"(316) 682-1853";;"(316) 689-8713";"cdunn@childstart.org";"https://childstart.org/";"Cheryl Dunn";"Child Start provides early childhood development services that prepare young children for lifelong success.";"Training and Technical Assistance for Providers; Head Start/Early Head Start; Child Care Provider Professional Development; Quality Ratings; Literacy Programs; State and Federal Advocacy; Consumer Education and Referrals; Consumer Education and Referrals; Provider Recruitment; Spanish Language Services";"Butler, Cowley, Harvey, Sedgwick and Sumner Counties ";"https://childstart.org/wp-content/uploads/2015/07/child-start-logo.png";"Mon - Fri: 8:00am - 5:00pm";
13299;"ERC Resource & Referral dba Child Care Aware of Eastern Kansas";"1100 SW Wanamaker Road, Suite 201";"Topeka";"KS";66604;"(785) 357-5171";"(877) 678-2548";"(785) 357-1813";"info@east.ks.childcareaware.org";"http://www.ercrefer.org";;"Every day ERC Resource & Referral, doing business as Child Care Aware® of Eastern Kansas, helps people find solutions for their child care needs, shares information about community resources, and assists early learning programs with their services to children and families. Anyone can take advantage of the many services available through us. The agency has no eligibility requirements, and with few exceptions, our services are at no cost.";"Training and Technical Assistance for Providers; Child Care Provider Professional Development; Quality Ratings; Literacy Programs; State and Federal Advocacy; Consumer Education and Referrals; Parent Workshops; Provider Recruitment; Spanish Language Services";"Allen, Anderson, Bourbon, Brown, Chase, Chautauqua, Cherokee, Coffey, Crawford, Doniphan, Douglas, Elk, Franklin, Geary, Greenwood, Jackson, Jefferson, Labette, Linn, Lyon, Marshall, Miami, Montgomery, Morris, Nemaha, Neosho, Osage, Pottawatomie, Riley, Shawnee, Wabaunsee, Wilson and Woodson Counties";;"Mon - Fri: 8:00am - 5:00pm";
13312;"Eastern Kentucky Child Care Coalition R&R-Lake Cumberland";"2387 Monticello Rd";"Somerset";"KY";42501;"(606) 679-0167";"(800) 354-3703";"(606) 678-4836";;;;;;;;;"This is not childcare referral agency"
13325;"Western Kentucky University Child Care Resource and Referral";"1906 College Heights Blvd #11098";"Bowling Green";"KY";42101;"(270) 745-2216";"(800) 621-5908";;"ccrr.expert@wku.edu";"http://www.wku.edu/ccrr/";;"The Western Kentucky University Child Care Resource and Referral is a community based organization that is dedicated to increasing the quality and accessibility of early care and education services for children. We work with families, early care and education programs, businesses and industry, and the community. ";"Training and Technical Assistance for Providers; Consumer Education and Referrals";"Allen, Barren, Butler, Edmonson, Hart, Logan, Metcalfe, Monroe, Simpson and Warren Counties";;"Mon - Fri: 8:00am - 4:30pm ";
13338;"Child Care Council of Kentucky";"1390 Olivia Lane";"Lexington";"KY";40511;"(859) 254-9176";"(800) 809-7076";"(859) 225-5435";"bradley.stevenson@cccofky.com, brandonp@cccofky.com";"http://childcarecouncilofky.com/";;"The Child Care Council of Kentucky, Inc. (CCC) was incorporated in 1984 in Lexington, KY.  The CCC has long been referred to as the local hub for child care in Central Kentucky.  The CCC’s mission is to serve as a visible community resource committed to offering access to affordable, quality care and education. We pledge to promote, expand, and enhance services that improve the quality of life for all children, families, and early care professionals in the Bluegrass.";"Child Care Program Licensing and Registration; Literacy Programs; Parent Workshops";"Anderson, Bourbon, Boyd, Boyle, Carter, Clark, Elliott, Estill, Fayette, Franklin, Garrard, Greenup, Harrison, Jessamine, Lawrence, Lincoln, Madison, Mercer, Nicholas, Powell, Scott and Woodford Counties";"http://childcarecouncilofky.com/wp-content/themes/babysitter/images/logo.png";"Mon - Fri: 8:00am - 4:30pm ";
13351;"Child Care Aware of Purchase";"1002 Medical Drive";"Mayfield";"KY";42066;"(270) 247-7171";"(877) 352-5183";"(270) 251-6110";;"http://www.purchaseadd.org/";"Lisa Marshall";"The CCA of KY has the following goals and outcomes: Support families in having access to information and resources to increase their knowledge of high quality care and choose child care options to meet their needs; Increase knowledge of and demand for high quality early care and education services; Assist child care providers in accessing professional development opportunities and resources; and assist community stakeholders in accessing information and resources to increase knowledge of high quality care.";"Training and Technical Assistance for Providers; Child Care Provider Professional Development; State and Federal Advocacy; Consumer Education and Referrals";"Ballard, Calloway, Carlisle, Fulton, Graves, Hickman, Marshall, and McCracken Counties";"http://www.purchaseadd.org/files/Images/ChildCare/childcare_aware_logo_purchase.png";"Mon - Fri: 8:00am - 4:30pm ";
13364;"Buffalo Trace Child Care Resource & Referral/Licking Valley C.A.P, Inc";"203 High St.";"Flemingsburg";"KY";41041;"(606) 845-0081";"(800) 327-5196";"(606) 845-0418";"mkane@lvcap.com";"http://www.lvcap.com";;;;;;;"This is not childcare referral agency"
