"Name";"LegalEntityName";"Type";"StarRating";"Street";"City";"State";"Zip";"Latitude";"Longitude";"Phone";"Fax";"Email";"Website";"Program";"OtherProgramOffered";"ReferralStatus";"MaximumCapacity";"ProvisionalLicense";"RevokedLicense";"CountiesServed";"SchoolDistrict";"Curriculum";"LeadOrganization";"HoursSunday";"HoursMonday";"HoursTuesday";"HoursWednesday";"HoursThursday";"HoursFriday";"HoursSaturday";"CallerLanguage";"HeadStart";"Languages";"GeneralSchedule";"ServiceSchedule";"SpecialAccomodations";"SubsidyStatus";"PaymentOption";"AdditionalFee";"MealOptions";"Discounts";"CertificateNumber";"UID"
"Gettysburg Middle School";;;0;"37 Lefever St";"Gettysburg";"PA";17325;39.826426;-77.229292;7173371337;;;;"HDS";"HDS";"INA";;"N";"N";"Adams";"Fairfield Area , Gettysburg Area";;"Access, Inc";;;;;;;;;;;;;;;;;;;;"c48b5b99a71a2a455e37dd765c8a5b11"
"Ywca Child Child Care At Adams Commerce Center";"Ywca Gettysburg And Adams County";"CTR";4;"50 Expedition Trl";"Gettysburg";"PA";17325;39.845901;-77.185636;7173347150;;;;"CCP";"CCP";"ACT";161;"N";"N";;;;;;"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";;;"No";;;;;"Eligible Subsidy Provider";;;;;"CER-00164633";"e2f8fde67a7f97d4b855a2f7130e56df"
"Gettysburgs Growing Place";"Child Care Corporation";"CTR";4;"142 Constitution Ave";"Gettysburg";"PA";17325;0;0;7173378211;;;;"CCP";"CCP";"ACT";138;"N";"N";;"Gettysburg Area - Pick-Up service to/from school";;;;"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, After School, Summer Only, Full Year, Weekdays";"School District Holidays, Early Dismissal School Days, After School, Summer Only, Full Year, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Activity, Bounced Check, Field Trip, Late Payment, Late Pick-up, Registration, Tuition";"Breakfast, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Multi-Child (10% - APPLY TO OLDEST-DOESN'T APPLY TO INFANT & TODDLER )";"CER-00162230";"eea5245f50b679d65d50a6a6bbb01757"
"St James Lutheran Church Child Care Center";"St James Lutheran Church Child Care Cent";"CTR";4;"109 York St";"Gettysburg";"PA";17325;39.830862;-77.228638;7173347171;;;"stjamesgettysburg.org";"CCP";"CCP";"ACT";245;"N";"N";;"Gettysburg Area - Serviced by school bus, Gettysburg Area - Walking distance to school";;;;"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";;"Eligible Subsidy Provider";"CAO, CIS, Child Care Works/Subsidy Participation, Scholarships/United Way/Sliding Fee Scales";"Late Pick-up, Registration";"Breakfast, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Multi-Child (10% - APPLY TO YOUNGEST)";"CER-00162353";"71247afcf04e90c2bdcbbeeba9f2c756"
"Gettysburg Ywca Day Care";"Ywca Gettysburg And Adams County";"CTR";4;"909 Fairfield Rd";"Gettysburg";"PA";17325;39.82862;-77.24743;7173349171;;;;"CCP";"CCP";"ACT";165;"N";"N";;;;;;"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";"6:30 AM - 6:00 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Early School Dismissal, Field Trip, Late Payment, Late Pick-up, Parent Association, Registration";"Breakfast, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Employee (50%)";"CER-00162095";"d3c11f0b6c550a05d3be4e4494bd233b"
"Babes In Arms Llc";"Babes In Arms Llc";"CTR";1;"150 Hunterstown-Hampton Rd";"Gettysburg";"PA";17325;39.880915;-77.155398;7173372619;;;;"CCP";"CCP";"ACT";37;"N";"N";;;;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Bounced Check, Cot, Field Trip, Late Payment, Late Pick-up, Registration, Tuition";"Breakfast, AM Snack, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Multi-Child (10% - APPLY TO OLDEST)";"CER-00162134";"166074456a7e32e3ce743c3d486923cb"
"Littlestown";;;4;"75 Maple Ave";"Littlestown";"PA";17340;39.747217;-77.087107;7173371337;;;;"HDS";"HDS";"INA";;"N";"N";"Adams";"Littlestown Area";;"Access, Inc";;;;;;;;;;;;;;;;;;;;"d3f80eb698e37d6fca6b360190e3e683"
"Adams County Head Start Littlestown";;;0;"150 E Myrtle St";"Littlestown";"PA";17340;39.749328;-77.086509;0;;;;"HDS";"HDS";"INA";;"N";"N";"Adams";"Littlestown Area";;"Access, Inc";;;;;;;;;;;;;;;;;;;;"aa8201efd5f110b0ac8b43ccd7462d7e"
"Pa Elite All Star Gym Inc";"Pa Elite All Star Gym Inc";"CTR";1;"105 S Queen St";"Littlestown";"PA";17340;39.743191;-77.086765;7173594087;;;;"CCP";"CCP";"ACT";54;"N";"N";;;;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";;"AM Snack, Lunch, PM Snack";;"CER-00162212";"2381b05b84353ce462b66a610b81b350"
"Childcare Unlimited Inc";"Childcare Unlimited Inc";"CTR";0;"565 S Queen St";"Littlestown";"PA";17340;39.739186;-77.081737;7173590153;;;;"CCP";"CCP";"ACT";84;"N";"N";;"Littlestown Area - Pick-Up service to/from school";;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Drop-In Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"CIS, Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Bounced Check, Late Payment, Late Pick-up, Meal, Registration, Supplies, Tuition";"Breakfast, AM Snack, Lunch, PM Snack";"Multi-Child (5%), Employee (10%)";"CER-00164465";"f57094a397ed6ac49c0c4b976b0fe68c"
"Kay F Mummert";"Kay Mummert";"FMY";1;"446 Line Rd";"Littlestown";"PA";17340;39.722608;-77.038412;7173599220;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Littlestown Area - Serviced by school bus";;;;"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Weekend Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Weekend Care, Flexible Schedule";;"Eligible Subsidy Provider";"CIS, Child Care Works/Subsidy Participation";"Bounced Check, Early School Dismissal, Field Trip, Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack, Special Dietary Needs";;"CER-00157671";"c11ade9a241e50da387ed1d0e1150eb5"
"Wanda Stonesifer";"Wanda Stonesifer";"FMY";1;"2082 Fish And Game Rd";"Littlestown";"PA";17340;39.739642;-77.105843;7173595547;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Littlestown Area - Serviced by school bus";;;;"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year";;"Eligible Subsidy Provider";;"Bounced Check, Late Payment, Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack";;"CER-00165335";"86e4c199dac7e099434747f4ea12ca42"
"New Oxford";;;4;"116 Berlin Rd";"New Oxford";"PA";17350;39.86779;-77.054693;7173371337;;;;"HDS";"HDS";"INA";;"N";"N";"Adams";"Conewago Valley";;"Access, Inc";;;;;;;;;;;;;;;;;;;;"2c149d467e3b0c434e13cafde827d6b7"
"Adams County Head Start New Oxford";;;0;"130 Berlin Rd";"New Oxford";"PA";17350;39.869087;-77.053074;0;;;;"HDS";"HDS";"INA";;"N";"N";"Adams";"Conewago Valley";;"Access, Inc";;;;;;;;;;;;;;;;;;;;"69ece70584e7ef6d5a940ee392f77a77"
"As We Grow Child Care";"Carol Few";"FMY";2;"15 W Locust Ln";"New Oxford";"PA";17350;39.854057;-77.047891;7175866797;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Conewago Valley - Serviced by school bus";;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, 24 Hour Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, 24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Bounced Check, Field Trip, Late Payment, Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack, Dinner";;"CER-00162031";"f1b41262b7d00338076bfa0ac17c20ba"
"Children In Bloom Child Care Center";"Alan W Harbaugh";"CTR";2;"2902 Carlisle Pike";"New Oxford";"PA";17350;39.866014;-77.023607;7176243282;;;;"CCP";"CCP";"ACT";48;"N";"N";;;;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";"American Sign Language, Cambodian, Cantonese, Mandarin, Korean, Russian, Spanish, Vietnamese";"Full Year, Weekdays, Flexible Schedule";"Full Year, Weekdays, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Bounced Check, Late Payment, Late Pick-up, Tuition";"Breakfast, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Employee (25% - each child enrolled)";"CER-00161852";"190ed8331bec96b5b9cc5d02e0f57ef5"
"Children In Bloom Child Care Center";"Alan W Harbaugh";"CTR";2;"6360 York Rd";"New Oxford";"PA";17350;39.873175;-77.021756;7176243282;;;;"CCP";"CCP";"ACT";39;"N";"N";;;;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Late Payment, Late Pick-up, Registration, Tuition";"Breakfast, Lunch, PM Snack, Special Dietary Needs";"Employee (25% - off 1st child), Employee (50% - off 2nd child)";"CER-00158660";"91ea3d6fc69402c18b8c9b7202eb8aac"
"Jo Ann Sanders";"Jo Ann Sanders";"FMY";1;"5705 York Rd";"New Oxford";"PA";17350;39.86731;-77.041117;7176244312;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Conewago Valley - Serviced by school bus";;;;"4:30 AM - 5:00 PM";"4:30 AM - 5:00 PM";"4:30 AM - 5:00 PM";"4:30 AM - 5:00 PM";"4:30 AM - 5:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";;"Breakfast, AM Snack, Lunch, PM Snack";"Multi-Child ($5.00)";"CER-00161733";"0a1a7c32a29be56546dc94c6a2bff464"
"Little Life Enrichment Center";"Clark Agapakis";;4;"125 Dogwood Ct";"New Oxford";"PA";17350;39.885885;-77.038898;7176241296;;;;"PKC";"CCP,PKC";"ACT";192;"N";"N";"Adams";"Conewago Valley";"Creative Curriculum, OWL";"Clark Agapakis";;;;;;;;;;"Spanish";"After School, Before School, Full Year, School District Holidays, School Year";"After School, Before School, Full Year, School District Holidays, School Year";;;;;;;"CER-00161798";"2bbf4e2b10e82a71b268eda0cdf6c9f8"
"Crystal Arter";"Crystal Arter";"FMY";1;"110 Mountain Rd";"Orrtanna";"PA";17353;39.931476;-77.402563;7176779653;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Gettysburg Area - Serviced by school bus";;;"12:00 AM - 12:00 AM";"12:00 AM - 12:00 AM";"12:00 AM - 12:00 AM";"12:00 AM - 12:00 AM";"12:00 AM - 12:00 AM";"12:00 AM - 12:00 AM";"12:00 AM - 12:00 AM";;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Sick Care, Drop-In Care, Flexible Schedule, 24 Hour Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Sick Care, Drop-In Care, Flexible Schedule, 24 Hour Care";;"Eligible Subsidy Provider";"CIS, Child Care Works/Subsidy Participation, Scholarships/United Way/Sliding Fee Scales";"Bounced Check, Late Payment, Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack, Dinner";;"CER-00160858";"3b2f5c637997c6190482908fead9394b"
"Franklin Township";;;4;"870 Old Route 30";"Orrtanna";"PA";17353;39.879892;-77.349089;7173371337;;;;"HDS";"HDS";"INA";;"N";"N";"Adams";"Gettysburg Area , Upper Adams";;"Access, Inc";;;;;;;;;;;;;;;;;;;;"4dff925eedc38236eec69ac4855c4128"
"Adams County Head Start York Springs";;;4;"840 Trolley Rd";"York Springs";"PA";17372;40.00576;-77.122894;7173371337;;;;"HDS";"HDS";"INA";;"N";"N";"Adams";"Bermudian Springs";;"Access, Inc";;;;;;;;;;;;;;;;;;;;"02f8d797e1d9e92f6af735acc2a755c0"
"Highlands Early Childhood Center";;;0;"1060 Atlantic Ave";"Brackenridge";"PA";15014;40.611759;-79.739808;7242240300;;;"www.goldenrams.com";"PKC";"PKC";"INA";;"N";"N";"Allegheny";;"Let's Begin With the Letter People";"Highlands School District";;;;;;;;;;;;;;;;;;;;"6131c03d58dd4c7dd2bc321c31af764d"
"Kaleidoscope Child Care Center";"Kaleidoscope Child Care Center Llc";"CTR";1;"70 Abele Rd";"Bridgeville";"PA";15017;40.348954;-80.123337;4122211903;;;;"CCP";"CCP";"ACT";67;"N";"N";;;;;;"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";"7:00 AM - 6:00 PM";;;"No";"American Sign Language, Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Weekdays";;"Eligible Subsidy Provider";"CIS, Child Care Works/Subsidy Participation";"Activity, Late Payment, Late Pick-up, Registration";"Breakfast, AM Snack, PM Snack";"Multi-Child (20% - Apply to oldest child)";"CER-00166250";"21fdd7eed02c77a15b83b7792b1cfdab"
"Catherine M Cormack Family Child Care Home";"Catherine M Cormack";"FMY";1;"300 Liberty St";"Bridgeville";"PA";15017;40.361089;-80.103069;4122219217;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Chartiers Valley - Serviced by school bus";;;;"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";;;"No";;"Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";"Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";;"Eligible Subsidy Provider";"CIS, Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Late Payment, Late Pick-up";"Breakfast, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";;"CER-00162314";"bafc2482912bd28ccd67d000a5ca9368"
"Kingdom Care Learning Center";"Calvary Full Gospel Church Of Bridgevill";"CTR";1;"538 Hickory Grade Rd";"Bridgeville";"PA";15017;40.348707;-80.143551;4122207197;;;"http://www.kingdomcarelearning.com";"CCP";"CCP";"ACT";214;"N";"N";;"South Fayette Township - Pick-Up service to/from school, South Fayette Township - Serviced by school bus, Canon-McMillan - Pick-Up service to/from school";;;;"6:00 AM - 6:30 PM";"6:00 AM - 6:30 PM";"6:00 AM - 6:30 PM";"6:00 AM - 6:30 PM";"6:00 AM - 6:30 PM";;;"No";"American Sign Language, ";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Field Trip, Late Pick-up, Registration";"Breakfast, AM Snack, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Multi-Child (15% - APPLY TO THE OLDEST), Employee (50% - 1ST CHILD 50% REST FREE), Affiliation (10% - Active U.S. Military)";"CER-00164154";"d021a996ff213b554938af27a78cadde"
"Chartiers Valley Primary School";;;0;"125 Thoms Run Rd";"Bridgeville";"PA";15017;40.380247;-80.106248;4123945798;;;"www.aiu3.net";"HDS";"HDS";"INA";;"N";"N";"Allegheny";"Chartiers Valley";"Creative Curriculum";"Allegheny Intermediate Unit";;;;;;;;;;;;;;;;;;;;"a8298d7f4b05bb0291470665cd4aa7f9"
"Cheswick Day Care Center";;;0;"1216 Pittsburgh St";"Cheswick";"PA";15024;40.540985;-79.803241;7242748760;;;"http://vcsearlylearning.weebly.com/";"LNS";"LNS";"INN";;"N";"N";"Allegheny";;;"Valley Community Services Inc";;;;;;;;;;;"After School, Before School, Full Year";"After School, Before School, Full Year";;;;;;;"CER-00117222";"c22663b3e32793b994f8df0bb45265d8"
"Clairton Family Center";;;0;"734 Miller Ave";"Clairton";"PA";15025;40.288868;-79.884478;4122338325;;;;"NFP";"NFP";"INA";;"N";"N";"Allegheny";;;"County Of Allegheny";;;;;;;;;;;;;;;;;;;;"4a9af31b445c26889f250458fcf1ec64"
"Bertha Murray Group Day Care Home";"Bertha G Murray";"GRP";2;"504 Ivy St";"Clairton";"PA";15025;40.293899;-79.879046;4122335557;;;;"CCP";"CCP";"ACT";12;"N";"N";;"Clairton City - Walking distance to school";;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Weekdays, Drop-In Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Weekdays, Drop-In Care";;"Eligible Subsidy Provider";"CAO, CIS, Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";;"Breakfast, AM Snack, Lunch, PM Snack, Dinner";;"CER-00163999";"2bde5cc989591c380bcf801ba80378fb"
"Georgia Ford Daycare";"Georgia Ford";"GRP";0;"333 HALCOMB AVENUE";"CLAIRTON";"PA";15025;40.291533;-79.881789;4122333566;;;;"CCP";"CCP";"ACT";12;"N";"N";;;;;"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";"6:00 AM - 11:59 PM";;"Yes";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Evening Care, Drop-In Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Evening Care, Drop-In Care";;"Eligible Subsidy Provider";"CAO, CIS, Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Field Trip, Late Pick-up";"Breakfast, Lunch, PM Snack";;"CER-00160191";"d915b76a5dd3e8494cccba59cacfcbbc"
