"id";"name";"address";"city";"state";"zip";"county";"phone";"main url";"email";"details";"location website";"facebook page";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url";"monday hour";"tuesday hour";"wednesday hour";"thursday hour";"friday hours";"saturday hour";"sunday hour";"notes"
1176177;"A Step Above Learning Center";"4220 Jimmy Carter Boulevard";"Norcross";"GA";30093;"GWINNETT";"(770)674-1285";"http://www.astepabovelearningcenter.com/";" astepabove2017@gmail.com";"A Step Above Learning Center firmly believes in providing a safe environment that promotes a respectful and warm relationship with the children and families involved with our facility. Located in Norcross, Georgia, we are proud to say that we have consistently met the needs of the children and families who have acquired our services.";"http://www.astepabovelearningcenter.com/";;;"http://www.astepabovelearningcenter.com/child-care-registration";;"x";"x";"x";"x";"x";"x";"http://www.astepabovelearningcenter.com/wp-content/themes/astepabove/images/comp-logo.png";"7AM - 7PM";"7AM - 7PM";"7AM - 7PM";"7AM - 7PM";"7AM - 7PM";"Closed";"Closed";
1176178;"A Step of Faith Christian Academy II";"4810 Flat Shoals Road";"Union City";"GA";30291;"FULTON";"(678) 654-8104";;;"We offer 24hr 7 days a week service. We have 3 shifts, day, evening and nights. The centers are monitored and code entry. We have 2 centers one ages 6 weeks - 4 years old. The second center offers 4 years - 14 years old. Pre-k and after school care. That center hours are 6:30am- 6:30 pm, Monday-Friday. ";;"https://www.facebook.com/A-Step-of-Faith-Learning-Center-73455914547/";;;;"x";"x";"x";"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/c33.0.200.200/p200x200/3107_73459519547_1930939_n.jpg?_nc_cat=0&oh=d63f02e808901537e44de0661c785da9&oe=5B7B45D4";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";"Open 24/7";
1176174;"A Gift From Heaven Academy";"4195 Welcome All Road";"Atlanta";"GA";30349;"FULTON";"(404) 205-5015";"http://agfha.com/";;"The purpose of A Gift from Heaven is to provide safe, high-quality childcare to families with children between the ages of 12 months through 12 years.";"http://agfha.com/";"https://www.facebook.com/agiftfromheavenacademy/";"http://agfha.com/wp-content/uploads/2016/05/AGFHA_Employee_Application.pdf";"http://agfha.com/forms/";"http://agfha.com/wp-content/uploads/2018/04/AGFHA-Parents-Handbook-April-2018.pdf";;"x";"x";"x";;;"http://agfha.com/wp-content/uploads/2016/05/GIFT-FROM-HEAVEN-new.png";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"Closed";"Closed";
1176175;"A Mother's Love Learning Center";"4484 Covington Highway  Suite A107";"Decatur";"GA";30035;"DEKALB";"(404) 709-2101";;"A Mother's Love Learning Center strives to provide quality childcare,";;;"https://www.facebook.com/amotherslovelearningcenter/";;;;"x";"x";"x";"x";;"x";"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p200x200/16864596_1363917656964101_7610495733564865154_n.jpg?_nc_cat=0&oh=14f39b7c05326d7432afb7bd28ccff46&oe=5B783848";;;;;;;;
1176176;"A New Generation Academy";"2119 Dothan Road";"Bainbridge";"GA";39817;"DECATUR";"(229) 246-0113";"http://bainbridgechamber.chambermaster.com/list/member/a-new-generation-academy-2511.htm";;;;;;;;;;;;;;;;;;;;;;
1176173;"A Child's World Afterschool Academy";"407 W 9th St ";"Waynesboro";"GA";30830;"BURKE";"(706) 554-0945";;"acwwaynesboro@gmail.com";"We are committed to providing the highest quality of early childhood education.We maintain a safe & nurturing environment that caters to the whole child.";;"https://www.facebook.com/A-Childs-World-Daycare-Academy-Waynesboro-160934430594941/";;;;;;;;"x";;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p200x200/16508247_1374402209248151_7092902858995812498_n.jpg?_nc_cat=0&oh=4d9f4f3fbd08e7f4f9afb5c9555976e4&oe=5B7AB157";"4AM - 8PM";"4AM - 8PM";"4AM - 8PM";"4AM - 8PM";"4AM - 8PM";"Closed";"Closed";
1176189;"Akim Academy";"4065 Hwy. 441 South";"Douglas";"GA";31535;"COFFEE";"(912) 393-4669";"https://douglasnow.com/index.php/community/item/4436-akim-academy-holds-ribbon-cutting";;"Akim Academy staff teach strong moral principles in a faith-based environment, provide bilingual language development, prepare on site meals";;;;;;"x";"x";"x";"x";"x";;;"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"Closed";"Closed";
1176190;"Albany Area YMCA/Easter Seals Afterschool";"1906 Palmyra Road";"Albany";"GA";31701;"DOUGHERTY";"(229) 435-2926";"http://www.albanyareaymca.org";"smitchell@albanyareaymca.org";"Combining the caring and expertise of the YMCA and Easter Seals, Y.E.S. Inclusivve Afterschool is an innovative afterschool program nurturing the spirit, mind, and body of children of all abilities from ages 5 to 17.";"http://www.albanyareaymca.org/cms-view-page.php?page=yes-inclusive-afterschool";"https://www.facebook.com/albanyareaymca";;;"http://www.albanyareaymca.org/albanyareaymca/site_files/editor_files/image/file/2017-2018%20YES%20Flyer(4).pdf";;;;"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p200x200/13263803_1574173626209619_553151035568766819_n.jpg?_nc_cat=0&oh=93c9839885b44f94c55a3ec67807dfb3&oe=5BBAE521";"2:30PM - 6PM";"2:30PM - 6PM";"2:30PM - 6PM";"2:30PM - 6PM";"2:30PM - 6PM";"Closed";"Closed";
1176186;"Agape Academy";"2704 Centerville Highway";"Snellville";"GA";30078;"GWINNETT";"(678) 691-3882";"http://snellville-ga.formula-usa.com/agape-academy/";;;;;;;;;;;;;;;"6AM - 7:30PM";"6AM - 7:30PM";"6AM - 7:30PM";"6AM - 7:30PM";"6AM - 7:30PM";"Closed";"Closed";
1176187;"Ahava Early Learning Center";"600 Peachtree Battle Avenue";"Atlanta";"GA";30327;"FULTON";"(404) 900-9411";"http://www.ahavalearning.org/";"shalom@ahavalearning.org";"At Ahava, we are inspired by the Reggio Emilia philosophy, devoted to providing children with a multi-sensory, child-centered experience for learning and play, which seamlessly combines real-world exploration with Jewish values to help them develop to their highest potential in a diverse and caring community of lifelong learners. Ahava’s foundation and future are woven intrinsically into the fabric of the Ahavath Achim Synagogue community.";"http://www.ahavalearning.org/";"https://www.facebook.com/ahavaearlylearning/";;"https://interland3.donorperfect.net/weblink/weblink.aspx?name=ahavathap&id=1";"http://www.ahavalearning.org/admissions/hours-tuition/";"x";"x";"x";"x";;;"http://www.ahavalearning.org/wp-content/uploads/2017/04/ahava-logo-2.png";"7:30AM - 6PM";"7:30AM - 6PM";"7:30AM - 6PM";"7:30AM - 6PM";"7:30AM - 6PM";"Closed";"Closed";
1176188;"Akeba Academy and Day Care Inc";"2606 Altama Ave";"Brunswick";"GA";31520;"GLYNN";"(912) 289-2725";"http://www.akebaacademy1.com/";"director@akebaacademy1.com";"At Akeba Academy, our promise to our parents and children is to Educate. Develop. and provide Quality-from every aspect of our program.";"http://www.akebaacademy1.com/";"https://www.facebook.com/AkebaAcademy/";"http://www.akebaacademy1.com/Employment-Opportunities.html";"http://www.akebaacademy1.com/Register-Online-.html";;"x";"x";"x";"x";;;"http://www.akebaacademy1.com/bg-1-141469.jpeg?u=285801959";"6:30AM - 12PM";"6:30AM - 12PM";"6:30AM - 12PM";"6:30AM - 12PM";"6:30AM - 12PM";"7:30AM - 5:30PM";"Closed";
1176185;"Advanced Kids Academy 2";"1050 Linwood Boulvard";"Columbus";"GA";31904;"MUSCOGEE";"(706) 780-1238";;;;;;;;;;;;;;;;;;;;;;;
1176179;"A1-Supreme Academy";"725 King Road";"Riverdale";"GA";30274;"CLAYTON";"(770) 996-9977";;;;;;;;;;;;;;;;;;;;;;;
1176180;"ABC Learning Tree";"6 Amberwood Trail";"Rome";"GA";30165;"FLOYD";"(706) 232-7422";;;"At ABC Learning Tree we love and care about our children. All of our teachers are certified degreed professionals. Come see why we are different!";;"https://www.facebook.com/ABC-Learning-Tree-Preschool-274626893021896/";;;;;"x";"x";"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p200x200/20800090_274627756355143_1522205601894152045_n.png?_nc_cat=0&oh=9a05eb18ba030f898f82f4a898633948&oe=5B7A0BE5";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"Closed";"Closed";
1176199;"APEC After School Enrichment @ Wolf Creek";"4440 Derrick Road";"Atlanta";"GA";30349;"FULTON";"(404) 721-6414";"https://www.apecprep.com/after-school-enrichment/";;"Constructive programing for children including homework assistance and recreational activities.";"https://www.apecprep.com/wolf-creek-elementary/";;;"https://app.jackrabbitclass.com/regv2.asp?id=518309&Loc=WolfCreek";"https://www.apecprep.com/forms/";;;;;"x";;"https://www.apecprep.com/wp-content/uploads/2012/06/apeclogosmall1.png";"2PM - 7PM";"2PM - 7PM";"2PM - 7PM";"2PM - 7PM";"2PM - 7PM";"Closed";"Closed";
1176200;"Appling County Head Start";"389 East Allen Street";"Baxley";"GA";31513;"APPLING";"(912) 285-6290";;;;;;;;;;;"x";"x";;;;;;;;;;;
1176197;"Angels Creative Learning Academy";"90 Hunters Chase";"McDonough";"GA";30253;"HENRY";"(770) 957-1119";"http://www.myacla.com/";;"Angels Creative Learning Academy's mission is to provide a developmentally high-quality stimulating, safe and nurturing environment where children can explore, discover, create, develop, learn, observe, and grow into their highest potential. ";"http://www.myacla.com/";"https://www.facebook.com/angelscreativelearningacademy/";;;;"x";"x";"x";"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p200x200/22228187_2045284679033949_4026112300794857625_n.jpg?_nc_cat=0&oh=a681fb934ff043cf7081723f4c384ba6&oe=5BB87C67";"6:15AM - 6:15PM";"6:15AM - 6:15PM";"6:15AM - 6:15PM";"6:15AM - 6:15PM";"6:15AM - 6:15PM";"Closed";"Closed";
1176198;"Anointed Hands Childcare";"1631 Gordon Highway  Suite 18-A";"Augusta";"GA";30906;"RICHMOND";"(706) 790-1411";;"anointedhandscdlc@yahoo.com";"Anointed Hands Childcare Development & Learning Center is joining hands to care for children. We are committed to providing a safe, nurturing and positive learning enviorment!";;"https://www.facebook.com/Anointed-Hands-Childcare-Development-Learning-Center-367290407165/";;;;"x";"x";"x";"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/c237.20.245.245/s200x200/200191_10150201507422166_7510581_n.jpg?_nc_cat=0&oh=1b9b62d3e5a702e34c7fadbdaea7ff49&oe=5B78B0C2";"6AM - 7PM";"6AM - 7PM";"6AM - 7PM";"6AM - 7PM";"6AM - 7PM";"Closed";"Closed";
1176195;"Anderson Preparatory Academy";"3072 Evans Mill Road";"Lithonia";"GA";30038;"DEKALB";"(770) 482-6118";"http://www.areteprepschool.org/";"info@areteprepschoool.org";"Our vision is to become a community of learners that fosters an environment of mutual respect, trust, integrity, academic excellence, and continued growth.";"http://www.areteprepschool.org/";"https://www.facebook.com/Arete-Preparatory-School-1541243649442529/";;"http://www.areteprepschool.org/apply-now/";"http://www.areteprepschool.org/scholarships/";;;;;;;"http://www.areteprepschool.org/wp-content/uploads/2018/03/logo.svg";;;;;;;;
1176196;"Angel Learning Center";"178 Basswood Drive";"Savannah";"GA";31407;"CHATHAM";"(912) 228-8228";"http://angellearningsavannah.com/";"info@angellearningsavannah.com";"We are committed to bringing high standards of early childhood education to our community.";"http://angellearningsavannah.com/";"https://www.facebook.com/angellearningsavannah/";;;"http://angellearningsavannah.com/parent-tools/";"x";"x";"x";"x";;;"http://angellearningsavannah.com/wp-content/uploads/2018/03/site_logo2.png";"8AM - 5PM";"8AM - 5PM";"8AM - 5PM";"8AM - 5PM";"8AM - 5PM";"Closed";"Closed";
1176193;"Amazing Hearts Child Development Center";"6467 Nature's Way";"Appling";"GA";30802;"COLUMBIA";"(706) 857-6924";"http://www.amazingheartscdc.com/";"director@amazingheartscdc.com";"At Amazing Hearts Child Development Center, we care about your children’s welfare and development. In addition to providing child care services, we offer a Pre-K program that aims to give them a head start in their education. Call or email us in Appling, Georgia for enrollment information.";"http://www.amazingheartscdc.com/";"https://www.facebook.com/Amazingheartscdc";;"http://www.amazingheartscdc.com/pre-k";"http://www.amazingheartscdc.com/parents";"x";"x";"x";"x";;;"http://mediaprocessor.websimages.com/fit/1920x1920/www.amazingheartscdc.com/logo.png";"6AM - 7PM";"6AM - 7PM";"6AM - 7PM";"6AM - 7PM";"6AM - 7PM";"Closed";"Closed";
1176191;"All About Me Learning CEnter";"101 Elm Street";"Summerville";"GA";30747;"CHATTOOGA";"(706) 857-4386";;"allaboutme11@windstream.net";"All about Me Learning Center Nursery and Preschool serves infants to age 4 years. We offer after school & summer care in a positive learning atmosphere.";;"https://www.facebook.com/AamlcI101/";;;;"x";"x";"x";"x";;;;"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"Closed";"Closed";
1176203;"Artportunity Knocks ASP @ Atlanta Heights Charter School";"3712 Martin Luther King Jr. Drive  SW";"Atlanta";"GA";30331;"FULTON";"(678) 355-8734";"http://www.artportunityknocks.org/";"info@artportunityknocks.org";"We believe that music and arts should be kept ""clean"" and positive by omitting lyrics that uses profane words, violence, drug/sex promotion, and degradation to women. We believe the arts should be inspiring, uplifting, and used to provoke positive behaviors.";"http://www.artportunityknocks.org/atlanta-heights-asp.html";"https://www.facebook.com/artportunityknocks/";;"https://app3.jackrabbitclass.com/regv2.asp?id=524052";;;;;"x";"x";"x";"http://www.artportunityknocks.org/uploads/6/6/7/6/6676363/published/artportunity-logo-small_1.png?1513273367";"3:15PM - 6:30PM";"3:15PM - 6:30PM";"3:15PM - 6:30PM";"3:15PM - 6:30PM";"3:15PM - 6:30PM";"Closed";"Closed";
1176204;"Artportunity Knocks ASP @ Perkerson Elementary School";"2040 Brewer Boulevard  SW";"Atlanta";"GA";30310;"FULTON";"(678) 355-8734";"http://www.artportunityknocks.org/";"info@artportunityknocks.org";"We believe that music and arts should be kept ""clean"" and positive by omitting lyrics that uses profane words, violence, drug/sex promotion, and degradation to women. We believe the arts should be inspiring, uplifting, and used to provoke positive behaviors.";"http://www.artportunityknocks.org/perkerson-elementary-asp.html";"https://www.facebook.com/artportunityknocks/";;"https://app3.jackrabbitclass.com/regv2.asp?id=524052";;;;;"x";"x";"x";"http://www.artportunityknocks.org/uploads/6/6/7/6/6676363/published/artportunity-logo-small_1.png?1513273367";"2:30PM - 6PM";"2:30PM - 6PM";"2:30PM - 6PM";"2:30PM - 6PM";"2:30PM - 6PM";"Closed";"Closed";
1176205;"Atlanta International Nursery";"1911 Cliff Valley Way  NE";"Atlanta";"GA";30329;"FULTON";"(404) 834-2326";"https://www.atlantainternationalnursery.com/";"info@atlantainternationalnursery.com";"AIN welcomes all individuals, our school is open and affirming for all ethnicities, faiths, orientations, and expression. To maximize inclusion, we build year around seasonal celebrations that brings our school community together.  We strive to create an environment where each family and child can thrive, while leading and educating with love.";"https://www.atlantainternationalnursery.com/";"https://www.facebook.com/atlantainternationalnursery/";;"https://www.atlantainternationalnursery.com/enrollment";;;"x";"x";"x";;;"https://static.wixstatic.com/media/f720f5_9ae9bcf8341744ef8cb0b806c5926d7b~mv2_d_2000_2000_s_2.jpg/v1/fill/w_113,h_102,al_c,q_80,usm_0.66_1.00_0.01/f720f5_9ae9bcf8341744ef8cb0b806c5926d7b~mv2_d_2000_2000_s_2.webp";;;;;;;;
1176206;"Ava's Place Child Care Learning Center";"1230 Ga Hwy 19 S";"Dublin";"GA";31021;"LAURENS";"(478) 488-0034";;;"Child care";;"https://www.facebook.com/Avas-Place-Child-Care-Learning-Center-1855900647990849/";;;;"x";"x";"x";"x";;;;"7AM - 6PM";"7AM - 6PM";"7AM - 6PM";"7AM - 6PM";"7AM - 6PM";"Closed";"Closed";
1176201;"Arbor Montessori School-Scott Campus";"1434 Scott Boulevard";"Decatur";"GA";30030;"DEKALB";"(404) 343-2317";"http://www.arbormontessori.org/";" info@arbormontessori.org";"Arbor Montessori School admits students of any race, color, national or ethnic origin, religion, family structure or sexual orientation to all the rights, privileges, programs, and activities of the school. It does not discriminate on the basis of race, color, national or ethnic origin, religion, family structure or sexual orientation in the administration of its educational policies, admissions policies, scholarship and loan programs, and athletic and other school-administered programs.";"http://www.arbormontessori.org/contact-us/";"https://www.facebook.com/arbormontessorischool/";;"http://www.arbormontessori.org/admissions/";"http://www.arbormontessori.org/parents/";;"x";"x";"x";;;"http://www.arbormontessori.org/wp-content/uploads/2013/08/arbor-logoh2.png";"8AM - 3:45PM";"8AM - 3:45PM";"8AM - 3:45PM";"8AM - 3:45PM";"8AM - 3:45PM";"Closed";"Closed";
1176214;"Beyond Blessed Learning Center";"2414 S. Lumpkin Road";"Columbus";"GA";31903;"MUSCOGEE";"(762) 821-3673";"http://beyondblessedlc.wixsite.com/mysite";"beyondblessedlc@gmail.com";"We will strive to provide the Highest Quality Childcare and Educational Service that promotes and enhances each child’s development; while assuring our parent’s peace of mind in the care and service we render.";"http://beyondblessedlc.wixsite.com/mysite";"https://mobile.facebook.com/beblessed706/";;;;"x";"x";"x";;;;"https://static.wixstatic.com/media/4be59f_95b76358d40e4f018b7ad5e0c9f8359c.jpg/v1/fill/w_903,h_541,al_c,q_85,usm_0.66_1.00_0.01/4be59f_95b76358d40e4f018b7ad5e0c9f8359c.webp";;;;;;;;
1176215;"Big Hugs Daycare and Learning Center";"243 Merchants Drive  Suite B";"Dallas";"GA";30132;"PAULDING";"(770) 942-0560";;;;;;;;;;;;;;;;;;;;;;;"Closed"
1176213;"Bertha's Learning Academy";"569 Irwin Street";"Cedartown";"GA";30125;"POLK";"(678) 901-1444";"http://www.berthasacademy.com/";"info@berthasacademy.com";"We're a child care center providing care and education to young children ages 6 weeks to 12 years.";"http://www.berthasacademy.com/";"https://www.facebook.com/berthasacademy/";;"http://www.berthasacademy.com/register.html";;"x";"x";"x";"x";;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-9/20480021_115894182394450_4494977719343824648_n.jpg?_nc_cat=0&oh=9c7846939999c4a9d48502afcba49c44&oe=5BC18407";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"6:30AM - 6PM";"Closed";"Closed";
1176211;"Bellevue Head Start";"4090 Napier Avenue";"Macon";"GA";31204;"BIBB";"(478) 471-1486";"http://www.maconbibbeoc.com/about-us/offices/";;;;"https://www.facebook.com/pages/Bellevue-HeadStart/166945420024441";;;;;;;;;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p160x160/20264657_10210475017933528_4647017359346601563_n.jpg?_nc_cat=0&oh=f50fa1eb9e593e747e944f88186dae54&oe=5BBC6075";;;;;;;;
1176212;"Bemiss Academy Preschool";"5111 Bemiss Road";"Valdosta";"GA";31605;"LOWNDES";"(229) 474-4004";"https://www.wearebemiss.com/";"bemissacademy@hotmail.com";"Our mission is to provide children with the highest quality education, to serve as a supportive resource for families and strengthen our community. Whether your child is beginning to walk, starting to talk or getting ready for kindergarten, our school will prepare your child for their next developmental milestone.";"https://www.wearebemiss.com/";"https://www.facebook.com/bemissacademy/";;"https://www.wearebemiss.com/enrollment-form/";;"x";"x";"x";"x";;"x";"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/p200x200/547071_412218775485160_1792657236_n.jpg?_nc_cat=0&oh=7f47fe0c0293f6f09e631a5908df82e6&oe=5BB9B9A4";"6AM - 5:30PM";"6AM - 5:30PM";"6AM - 5:30PM";"6AM - 5:30PM";"6AM - 5:30PM";"Closed";"Closed";
1176218;"Bright Lil Minds Academy";"137 North Oakley Drive";"Columbus";"GA";31906;"MUSCOGEE";"(706) 940-0528";;"brightlitlminds@gmail.com";"Bright Lil Minds Academy exists to provide a caring environment for all children served. We want this to be your child's first step to higher learning...!!";;"https://www.facebook.com/Bright-Lil-Minds-Academy-1055808004530844/";;;;;;;;;;"https://scontent.fskp2-1.fna.fbcdn.net/v/t1.0-1/c0.0.200.200/p200x200/15977689_1056765037768474_7690028500546285814_n.jpg?_nc_cat=0&oh=7770a07831e707357f82350fb527f6e7&oe=5B86A04D";"5:30AM - 11:59PM";"5:30AM - 11:59PM";"5:30AM - 11:59PM";"5:30AM - 11:59PM";"5:30AM - 11:59PM";"5:30AM - 11:59PM";"Closed";
