"Facility Name";"License Number";"Owner";"Program Type";"Address";"County";"City";"Zip";"License Effective Date";"License Expiration Date";"Facility Status";"Telephone Number";"Maximum Capacity";"recUrl";"ID"
"Fruit Of The Spirit Early Learning";"0042971-017";"Heather Bridgwater";"Group Day Care Home";"119th & Central";"Sedgwick";"Wichita";67212;"06/01/2018";"05/31/2019";"Open";"(316) 721-0677";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=83283";83283
"Shirleys Daycare";"0012368-013";"Shirley Henry";"Group Day Care Home";"12211 Leavenworth Rd";"Wyandotte";"Kansas City";66109;"11/01/2017";"10/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=24005";24005
"Mary L Goyette Day Care Home";"0022341-013";"Mary Goyette";"Group Day Care Home";"12557 Grandview St";"Johnson";"Overland Park";66213;"06/01/2018";"05/31/2019";"Open";"(913) 897-0201";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=43361";43361
"Horton Latchkey";"0041455-010";"Horton First United Methodist Church";"School Age Program";"130 East 10th Street,";"Brown";"Horton";66439;"04/01/2018";"03/31/2019";"Open";"(785) 486-6234";20;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=80541";80541
"Kidz Clubhouse";"0076443-002";"Kidz Clubhouse LLC";"Child Care Center";"1312 & 1320 N West St";"Sedgwick";"Wichita";67203;"02/16/2018";"02/28/2019";"Open";"(316) 779-1270";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=148709";148709
"Breaktime For Colts";"0019943-009";"Post Rock Family Services Inc";"School Age Program";"1323 N Main";"Russell";"Russell";67665;"02/01/2018";"01/31/2019";"Open";"(785) 483-3824";28;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=38683";38683
"Lil Lulus Group Daycare Home";"0065285-010";"Louise Moore Williams";"Group Day Care Home";"1328 Washington Avenue";"Wyandotte";"Kansas City";66102;"02/01/2018";"01/31/2019";"Open";"(913) 499-7925 ";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=126393";126393
"Xavier Catholic School Extended Care";"0076146-002";"Leavenworth Regional Catholic School System";"Child Care Center";"1409 2nd Ave.";"Leavenworth";"Leavenworth";66048;"11/17/2017";"11/30/2018";"Open";"(920) 427-0787";75;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=148115";148115
"Kims Little Rug Bugs Daycare";"0046153-016";"Kimberly Marsch";"Group Day Care Home";"1423 S Sheridan Bridge place";"Johnson";"Olathe";66062;"08/01/2017";"07/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=89193";89193
"The Little Green Schoolhouse";"0500530-005";"Kellista Keaton";"Group Day Care Home";"145th and Mur-Len";"Johnson";"Olathe";66062;"04/01/2018";"03/31/2019";"Open";"(913) 706-1276";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000001063";5E+018
"Good Beginnings Daycare";"0055470-011";"Jessica Normandin";"Group Day Care Home";"1605 Copper Creek Ct";"Ellis";"Hays";67601;"07/01/2018";"06/30/2019";"Open";"(785) 650-7072";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=106765";106765
"Jitter Bug Child Care";"0501316-002";"Candace Heilig";"Group Day Care Home";"1620 W Bullard Dr";"Cowley";"Arkansas City";67005;"06/01/2017";"06/30/2018";"Open";"(620) 441-8158";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002635";5E+018
"Kingdom Kids Academy";"0501078-005";"Antonio Lopez";"Group Day Care Home";"16611 W 141st St";"Johnson";"Olathe";66062;"03/16/2018";"03/31/2019";"Open";"(832) 784-4327";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002159";5E+018
"Trinity Family Learning Center School Age";"0072603-005";"Trinity Family of Faith Lutheran Church";"School Age Program";"16928 Evans Rd";"Leavenworth";"Linwood";66052;"12/01/2017";"11/30/2018";"Open";"(913) 724-4441";30;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=141029";141029
"My Little Sunshines Daycare";"0501674-001";"Cheyenne Magsam";"Group Day Care Home";"1753 Rd E #260 ";"Lyon";"Emporia";66801;"05/01/2018";"07/30/2018";"Open";"(620) 344-2653";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003351";5E+018
"Aprils Angels";"0064191-010";"April Atkins";"Group Day Care Home";"1813 Nw Lincoln St";"Shawnee";"Topeka";66608;"11/01/2017";"10/31/2018";"Open";"(785) 422-3968";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=124205";124205
"Boys and Girls Club at North Fairview";"0066008-002";"Boys and Girls Club of Topeka";"Drop In Program";"1941 NE 39th St.";"Shawnee";"Topeka";66617;"09/22/2017";"09/30/2018";"Open";"(785) 571-2041";80;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=127839";127839
"Dream Big Daycare";"0067165-013";"Megan Weir";"Group Day Care Home";"201 W Prairie Ave";"Crawford";"Girard";66743;"02/01/2018";"01/31/2019";"Open";"(620) 238-2249";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=130153";130153
"The Cradle At Creche";"0073641-004";"Creche LLC";"Child Care Center";"2024 Vanesta Place";"Riley";"Manhattan";66503;"08/01/2017";"07/31/2018";"Open";"(785) 539-7000";18;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=143105";143105
"Cindys Little Darlings";"0034554-011";"Cindy Hershey";"Group Day Care Home";"205 W 5th Street";"Marshall";"Frankfort";66427;"02/12/2018";"01/31/2019";"Open";"(785) 292-4952";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=67349";67349
"Tiny Trojans Daycare Home";"0062333-010";"Melissa Wray";"Group Day Care Home";"211 N Leonard St";"Crawford";"Girard";66743;"03/01/2018";"02/28/2019";"Open";"(620) 724-2053";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=120489";120489
"Toot Toot Child Care";"0010119-022";"Tamela Nelson";"Group Day Care Home";"212 E 32nd St";"Ellis";"Hays";67601;"01/01/2018";"12/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=19619";19619
"Cool Care Club";"0029396-012";"Christopher Payne";"Group Day Care Home";"2121 Bluehills Rd ";"Riley";"Manhattan";66502;"10/01/2017";"09/30/2018";"Open";"(785) 341-5290";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=57177";57177
"Ashleys Tiny Tots";"0500710-004";"Ashley Snyder";"Licensed Day Care Home";"213 Main st";"Wabaunsee";"Alta Vista";66834;"10/01/2017";"09/30/2018";"Open";"(620) 767-2569";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000001423";5E+018
"Boys and Girls Club of Manhattan Northview Elementary";"0059917-004";"Boys and Girls Club of Manhattan Inc";"Drop In Program";"220 S. Fifth Street";"Riley";"Manhattan";66502;"09/29/2017";"09/30/2018";"Open";"(785) 539-1947";150;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=115657";115657
"St Bridgets Little Kingdom";"0067256-011";"Catholic Diocese of Wichita";"Group Day Care Home";"222 W. Swensson";"Mcpherson";"Lindsborg";67456;"11/01/2017";"10/31/2018";"Open";"(785) 212-1052";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=130335";130335
"Wea Angel House Too";"0062125-006";"Queen of the Holy Rosary Catholic Church Wea";"Group Day Care Home";"22705 Metcalf Ave";"Miami";"Bucyrus";66013;"05/01/2018";"04/30/2019";"Open";"(913) 533-2462";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=120073";120073
"Lyndas Daycare";"0501627-002";"Amber Wyatt";"Group Day Care Home";"2331 Cheryl Terrace";"Riley";"Manhattan";66502;"05/16/2018";"05/31/2019";"Open";"(785) 215-7680";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003257";5E+018
"Futures Unlimited Head Start 2414";"0074182-004";"Futures Unlimited Inc";"Head Start Child Care Center";"2410 North A Street";"Sumner";"Wellington";67152;"12/01/2017";"11/30/2018";"Open";"(620) 326-8906";15;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=144187";144187
"Prairie Patch Kids";"0066983-011";"Margo Murphy";"Group Day Care Home";"2537 SW Prairie Rd";"Shawnee";"Topeka";66614;"06/01/2018";"05/31/2019";"Open";"(785) 817-6648";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=129789";129789
"Babes in the Woods Day Care Home";"0006050-013";"Sandra Ramsey";"Group Day Care Home";"26190 Metcalf Rd";"Miami";"Louisburg";66053;"02/01/2018";"01/31/2019";"Open";"(913) 206-3956";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=11561";11561
"Vadas Little Lambs Childcare";"0501617-003";"Stephanie Brown";"Group Day Care Home";"2801 S 65th St";"Wyandotte";"Kansas City";66106;"04/30/2018";"04/30/2019";"Open";"(913) 558-6259";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003237";5E+018
"Jackie Ann Mcgann Daycare";"0029025-011";"Jackie Mcgann";"Group Day Care Home";"2904 Barclay Dr";"Ellis";"Hays";67601;"08/01/2017";"07/31/2018";"Open";"(785) 628-3345";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=56441";56441
"Caterpillar Clubhouse";"0501209-004";"Caterpillar Clubhouse Pratt Inc";"Group Day Care Home";"305 Gardner St";"Pratt";"Pratt";67124;"03/01/2018";"02/28/2019";"Open";"(620) 271-8566";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002421";5E+018
"Walnut Summer Scape";"0054489-008";"Emporia Recreation Commission";"School Age Program";"313 W. 4th Avenue";"Lyon";"Emporia";66801;"05/25/2018";"08/23/2018";"Open";"(620) 340-6300";60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=104841";104841
"Little Sprouts Farmhouse";"0076015-003";"Katie Hadel";"Group Day Care Home";"315 Hunt st";"Franklin";"Wellsville";66092;"08/25/2017";"08/31/2018";"Open";"(913) 709-7342";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=147853";147853
"Lenora Browns Tinker Stinkers Group Daycare Home";"0049136-014";"Lenora Brown";"Group Day Care Home";"322 3rd St";"Labette";"Oswego";67356;"11/01/2017";"10/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=94733";94733
"Little Rascals";"0501655-001";"Shelby Taulman";"Group Day Care Home";"325 N Main";"Gray";"Cimarron";67835;"04/04/2018";"07/03/2018";"Open";"(620) 855-7135";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003313";5E+018
"Riverside Elementary";"0058670-010";"Emporia Recreation Commission";"School Age Program";"327 S West St ";"Lyon";"Emporia";66801;"07/06/2017";"07/31/2018";"Open";"(620) 341-2276";60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=113163";113163
"Bright Minds Playgroup";"0501573-002";"Amanda Davis Taylor";"Group Day Care Home";"360 S Peach Cir";"Sedgwick";"Haysville";67060;"01/25/2018";"01/31/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003149";5E+018
"Margaret Ann Koelsch Day Care Home";"0015707-009";"Margaret Koelsch";"Group Day Care Home";"370 8 St";"Phillips";"Phillipsburg";67661;"02/01/2018";"01/31/2019";"Open";"(785) 543-2491";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=30391";30391
"Cynthia Marie Rollo Day Care Home";"0053600-010";"Cynthia Rollo";"Licensed Day Care Home";"3728 N 155th St";"Leavenworth";"Basehor";66007;"08/01/2017";"07/31/2018";"Open";"(913) 724-2518 ";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=103125";103125
"ABC Daycare";"0073260-006";"Amber Barrett";"Group Day Care Home";"400 N Poplar St";"Coffey";"Lebo";66856;"01/01/2018";"12/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=142343";142343
"Marthas Daycare";"0004762-012";"Martha Hess";"Licensed Day Care Home";"416 Kansas Ave";"Harper";"Anthony";67003;"12/01/2017";"11/30/2018";"Open";"(620) 842-3281";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=9007";9007
"Boys & Girls Club at West Indianola";"0066007-002";"Boys and Girls Club of Topeka";"Drop In Program";"4201 NW Brickyard Rd.";"Shawnee";"Topeka";66618;"09/28/2017";"09/30/2018";"Open";"(785) 571-2032";80;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=127837";127837
"Little Learners Daycare";"0501451-002";"Little Learners Daycare LLC";"Group Day Care Home";"421 N Westview ";"Sedgwick";"Derby";67037;"10/04/2017";"10/31/2018";"Open";"(316) 295-4210";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002905";5E+018
"Hesston Child Care II";"0000227-005";"Hesston Community Child Care Association";"Child Care Center";"441 Neufeld";"Harvey";"Hesston";67062;"07/01/2018";"06/30/2019";"Open";"(620) 327-3775";19;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=303";303
"Ys Kids Club at Piper Middle School";"0501659-002";"YMCA of Greater Kansas City";"School Age Program";"4420 N 107th St";"Wyandotte";"Kansas City";66109;"06/04/2018";"06/30/2019";"Open";"(913) 721-1144 ";120;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003321";5E+018
"Monicas House Day Care Home";"0026907-016";"Monica Blair";"Group Day Care Home";"475 2nd Street";"Phillips";"Phillipsburg";67661;"09/01/2017";"08/31/2018";"Open";"(785) 543-5215";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=52257";52257
"Oaklawn Activity Center";"0074629-003";"USD 260";"Drop In Program";"4904 S. Clifton";"Sedgwick";"Wichita";67216;"04/01/2018";"03/31/2019";"Open";"(316) 529-2677";280;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=145081";145081
"Jacqueline Bianchi Day Care Home";"0039023-009";"Jacqueline Bianchi";"Group Day Care Home";"502 Cheyenne Ave";"Brown";"Hiawatha";66434;"11/01/2017";"10/31/2018";"Open";"(785) 742-2350";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=76075";76075
"Main Street Day Care";"0501646-001";"Sarah Klinge";"Group Day Care Home";"518 North Main";"Wallace";"Sharon Springs";67758;"04/20/2018";"07/19/2018";"Open";"(785) 852-4005";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003295";5E+018
"Boys & Girls Club at Northern Hills";"0076200-004";"Boys and Girls Club of Topeka";"Drop In Program";"5620 NW Topeka Blvd";"Shawnee";"Topeka";66617;"06/05/2018";"09/30/2018";"Open";"(785) 571-2035";275;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=148223";148223
"Topeka Rescue Mission Childrens Palace";"0501266-005";"The Topeka Rescue Mission";"Child Care Center";"601 NW Harrison St.";"Shawnee";"Topeka";66608;"02/07/2018";"09/30/2018";"Open";"(785) 354-1744-x325";60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002535";5E+018
"Savannah Smile";"0051867-003";"Savannah Nelson";"Group Day Care Home";"604 Santa Fe St,";"Leavenworth";"Leavenworth";66048;"02/23/2018";"02/28/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=99817";99817
"Pray Woodman YMCA SAP";"0076294-002";"Young Mens Christian Association of Wichita Kansas";"School Age Program";"605 W. Academy Ave.";"Sedgwick";"Maize";67101;"08/31/2017";"08/31/2018";"Open";"(316) 721-0902";60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=148411";148411
"Little Fishers Child Care";"0055534-011";"Jerilyn Agee";"Group Day Care Home";"620 N Garfield Ave";"Harvey";"Sedgwick";67135;"12/01/2017";"11/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=106891";106891
"Boys & Girls Club at Elmont";"0066009-002";"Boys and Girls Club of Topeka";"Drop In Program";"6432 NW Elmont Rd";"Shawnee";"Topeka";66618;"09/20/2017";"09/30/2018";"Open";"(785) 571-2043";80;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=127841";127841
"Marlas Day Care Home";"0032039-015";"Marla Bankes";"Group Day Care Home";"702 N. Stever";"Grant";"Ulysses";67880;"05/01/2018";"04/30/2019";"Open";"(620) 952-1359";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=62381";62381
"Wichita Mini Daycare";"0021436-020";"Gina Page";"Group Day Care Home";"703 S Hillside St";"Sedgwick";"Wichita";67211;"10/01/2017";"09/30/2018";"Open";"(316) 409-9202";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=41601";41601
"Roots And Wings";"0075488-003";"Lisa Routh";"Group Day Care Home";"711 A Street ";"Labette";"Oswego";67356;"04/01/2018";"03/31/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=146799";146799
"Imagination Station Child Care";"0065912-009";"Delisa Fryar";"Group Day Care Home";"722 E 8th St";"Crawford";"Pittsburg";66762;"12/01/2017";"11/30/2018";"Open";"(620) 704-2208";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=127647";127647
"Little Bridges Learning Center";"0073552-005";"Wichita Childrens Home";"Child Care Center";"7271 E. 37th St. N.";"Sedgwick";"Wichita";67226;"10/01/2017";"09/30/2018";"Open";"(316) 684-6581";15;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=142927";142927
"Scribbles and Giggles Rockhill";"0501319-004";"Scribbles and Giggles Inc";"Child Care Center";"7915 E. Rockhill";"Sedgwick";"Wichita";67206;"08/01/2018";"07/31/2019";"Open";"(316) 425-0258";81;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002641";5E+018
"Shelleys Tender Lovin Care";"0013883-012";"Shelley Pearce";"Group Day Care Home";"802 26000 Rd";"Labette";"Parsons";67357;"09/01/2017";"08/31/2018";"Open";"(620) 421-0323";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=26883";26883
"Caterpillar Clubhouse";"0501281-003";"Dusti Chadwick";"Group Day Care Home";"808 Eastridge";"Sherman";"Goodland";67735;"09/08/2017";"09/30/2018";"Open";"(785) 890-2525";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002565";5E+018
"Bright Futures Child Care & Education Day Care Home";"0044224-011";"Linda Babbitt";"Group Day Care Home";"8123 Lichtenauer Dr";"Johnson";"Lenexa";66219;"12/01/2017";"11/30/2018";"Open";"(913) 638-5850 ";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=85615";85615
"Primrose of Blue Valley";"0076667-003";"Kalvi Inc";"Child Care Center";"8300 W 165TH STREET";"Johnson";"Stilwell";66085;"03/21/2018";"03/31/2019";"Open";"(913) 370-9000";206;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=149157";149157
"Jamboree Drop In Daycare";"0076417-002";"Jamboree Enterprises, LP";"Child Care Center";"8385 US-24";"Riley";"Manhattan";66502;"12/13/2017";"12/31/2018";"Open";"(785) 370-3966";54;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=148657";148657
"Mary S Anderson Daycare Home";"0058288-014";"Mary Anderson";"Group Day Care Home";"9161 Baldwin Creek Rd";"Riley";"Leonardville";66449;"09/01/2017";"08/31/2018";"Open";"(785) 293-5824";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=112399";112399
"Bean Babies Daycare";"0069811-009";"Andrea Powell";"Group Day Care Home";"9248 Noland Rd";"Johnson";"Lenexa";66215;"02/01/2018";"01/31/2019";"Open";"(913) 744-7591";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=135445";135445
"Robins Nest Family Daycare";"0064412-011";"Robin Norris";"Group Day Care Home";"E 17th St";"Sumner";"Wellington";67152;"10/01/2017";"09/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=124647";124647
"The Tot Spot";"0501432-002";"Shannon Volz";"Group Day Care Home";"Kickapoo Road";"Cowley";"Winfield";67156;"08/21/2017";"08/31/2018";"Open";"(620) 218-8388";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002867";5E+018
"Little Bears Daycare";"0060024-010";"Billie Aaron";"Group Day Care Home";"MacArthur road";"Sedgwick";"Wichita";67216;"05/21/2018";"05/31/2019";"Open";"(316) 519-0601";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=115871";115871
"Pipes Pipsqueaks";"0067033-011";"Sally Pipes";"Group Day Care Home";"Millington St";"Cowley";"Winfield";67156;"11/01/2017";"10/31/2018";"Open";"(620) 402-6406";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=129889";129889
"Retana Care";"0501306-003";"Courtney Retana";"Group Day Care Home";"N 23rd St";"Cowley";"Arkansas City";67005;"07/01/2018";"06/30/2019";"Open";"(620) 506-8726";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002615";5E+018
"Heathers Daycare";"0036802-015";"Heather Meek";"Licensed Day Care Home";"N 3rd Street";"Cowley";"Arkansas City";67005;"12/01/2017";"11/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=71737";71737
"Leah Myers Day Care Home";"0055014-012";"Leah Myers";"Group Day Care Home";"N Washington St";"Bourbon";"Fort Scott";66701;"06/01/2018";"05/31/2019";"Open";"(620) 223-1545";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=105853";105853
"Tinytots Daycare";"0500847-004";"Carissa Fennell";"Group Day Care Home";"North Dellrose Circle";"Sedgwick";"Wichita";67220;"03/01/2018";"02/28/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000001697";5E+018
"Breaktime For Mustangs";"0019944-010";"Post Rock Family Services Inc";"School Age Program";"North Maple Street";"Russell";"Russell";67665;"02/01/2018";"01/31/2019";"Open";"(785) 483-3824";32;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=38685";38685
"Allysons Wonderland";"0501300-003";"Allyson Youngers";"Group Day Care Home";"Oxberry St";"Sedgwick";"Wichita";67217;"05/01/2018";"04/30/2019";"Open";"(316) 871-5811";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002603";5E+018
"Little Learners Daycare";"0076576-002";"Heather Stoneburner";"Group Day Care Home";"Ridgeview Ct";"Sedgwick";"Clearwater";67026;"12/11/2017";"12/31/2018";"Open";"(620) 794-3185";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=148975";148975
"Sing Sign And Praise";"0031143-019";"Amie Eaves";"Group Day Care Home";"S Clarence Ave ";"Sedgwick";"Wichita";67217;"04/01/2018";"03/31/2019";"Open";"(316) 247-5016";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=60629";60629
"Weerock Daycare";"0500484-005";"Liberty Hazelton";"Group Day Care Home";"Shrine Park Rd";"Leavenworth";"Leavenworth";66048;"12/01/2017";"11/30/2018";"Open";"(913) 250-5598";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000000971";5E+018
"Ozzy Bear Care";"0500459-006";"Rebecca Miller";"Group Day Care Home";"Southwest 31st";"Shawnee";"Topeka";66614;"12/01/2017";"11/30/2018";"Open";"(785) 431-3801";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000000921";5E+018
