"Facility ID";"Survey Number";"Date of Survey";"Survey Reason";"Findings"
105809;"16-008819";"10/05/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=177890&noid=45728"
105809;"15-009109";"10/07/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=163831&noid=34790"
138277;"17-013104";"02/15/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=196164&noid=61435"
138277;"16-013524";"02/17/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=182595&noid=50175"
138277;"15-014026";"01/07/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=168748&noid=37863"
138277;"15-014026";"01/07/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=168748&noid=37242"
92741;"17-009802";"11/28/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=192862&noid=58758"
92741;"16-010217";"12/08/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=179288&noid=47975"
92741;"15-010509";"11/02/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=165231&noid=36147"
92741;"15-010509";"11/02/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=165231&noid=35529"
5E+018;"17-005683";"07/13/2017";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=188743&noid=55083"
5E+018;"17-005683";"07/13/2017";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=188743&noid=54315"
138691;"17-008690";"10/27/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=191750&noid=57826"
138691;"16-010524";"11/04/2016";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=179595&noid=46860"
138691;"16-002980";"05/03/2016";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=172051&noid=40626"
138691;"15-007156";"07/17/2015";"Compliance Check";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=161878&noid=32413"
138691;"15-000831";"06/17/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=155553&noid=32030"
138691;"15-000831";"06/17/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=155553&noid=31724"
142369;"17-013117";"02/15/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=196177&noid=61421"
142369;"16-013538";"02/17/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=182609&noid=50172"
142369;"16-000272";"03/01/2016";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=169343&noid=38897"
142369;"15-009364";"10/07/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=164086&noid=34800"
142369;"15-007371";"08/11/2015";"Compliance Check";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=162093&noid=33071"
142369;"15-007097";"07/17/2015";"Compliance Check";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=161819&noid=32414"
142037;"17-007414";"10/11/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=190474&noid=57237"
142037;"16-011529";"11/09/2016";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=180600&noid=47008"
142037;"16-007697";"09/08/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=176768&noid=44738"
142037;"15-007949";"09/16/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=162671&noid=34778"
142037;"15-007949";"09/16/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=162671&noid=34079"
98527;"17-010819";"12/15/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=193879&noid=59419"
98527;"16-011309";"01/12/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=180380&noid=48979"
98527;"15-011826";"12/16/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=166548&noid=36812"
97115;"17-008478";"10/11/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=191538&noid=57250"
97115;"16-008803";"10/05/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=177874&noid=45733"
97115;"15-009095";"09/16/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=163817&noid=34071"
135203;"17-013091";"02/15/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=196151&noid=61450"
135203;"16-013505";"03/15/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=182576&noid=50931"
135203;"15-014006";"01/07/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=168728&noid=37232"
119535;"17-012044";"01/17/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=195104&noid=60248"
119535;"16-013931";"01/12/2017";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=183002&noid=49627"
119535;"16-013931";"01/12/2017";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=183002&noid=48952"
119535;"15-012889";"01/20/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=167611&noid=37625"
133231;"17-009929";"11/28/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=192989&noid=58743"
133231;"16-011012";"11/09/2016";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=180083&noid=47809"
133231;"16-011012";"11/09/2016";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=180083&noid=46976"
133231;"15-007862";"09/16/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=162584&noid=34067"
129765;"17-009913";"12/13/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=192973&noid=59293"
129765;"16-010337";"11/28/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=179408&noid=47532"
129765;"15-010656";"12/10/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=165378&noid=36593"
128015;"18-000634";"03/28/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=197095&noid=62984"
128015;"17-000457";"04/11/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=183517&noid=51771"
128015;"16-003241";"04/13/2016";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=172312&noid=40100"
70763;"17-005894";"09/14/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=188954&noid=56315"
70763;"16-006168";"09/02/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=175239&noid=45268"
70763;"16-006168";"09/02/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=175239&noid=44607"
70763;"15-006319";"09/14/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=161041&noid=33982"
99617;"17-003635";"07/05/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=186695&noid=54039"
99617;"16-003715";"06/21/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=172786&noid=42118"
99617;"15-004040";"06/22/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=158762&noid=31713"
35027;"17-012907";"03/08/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=195967&noid=62213"
35027;"15-013796";"02/23/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=168518&noid=38661"
35027;"16-013312";"02/16/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=182383&noid=50168"
5E+018;"18-001891";"03/22/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=198352&noid=62789"
5E+018;"17-001628";"03/16/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=184688&noid=50966"
5E+018;"16-005759";"08/31/2016";"Compliance Check";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=174830&noid=44521"
5E+018;"16-001728";"04/13/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=170799&noid=41141"
5E+018;"16-001728";"04/13/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=170799&noid=40645"
15931;"17-007022";"10/17/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=190082&noid=57418"
15931;"16-007265";"10/19/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=176336&noid=46246"
15931;"15-007463";"09/30/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=162185&noid=34558"
5E+018;"17-006192";"09/07/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=189252&noid=56074"
5E+018;"17-001118";"03/16/2017";"Compliance Check";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=184178&noid=50978"
5E+018;"16-006474";"09/21/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=175545&noid=45196"
5E+018;"15-006638";"08/12/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=161360&noid=33101"
5E+018;"16-013608";"12/19/2016";"To investigate a complaint";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=182679&noid=48615"
5E+018;"16-013608";"12/19/2016";"To investigate a complaint";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=182679&noid=48319"
133783;"18-003502";"04/19/2018";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=199963&noid=63877"
133783;"17-004868";"07/28/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=187928&noid=54799"
133783;"16-005051";"07/19/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=174122&noid=42981"
133783;"15-005324";"07/22/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=160046&noid=32607"
72821;"18-001674";"05/03/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=198135&noid=64429"
72821;"17-001393";"04/20/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=184453&noid=51954"
72821;"16-001482";"03/22/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=170553&noid=39411"
134901;"17-011754";"11/15/2017";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=194814&noid=58372"
134901;"16-009003";"11/08/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=178074&noid=46937"
134901;"15-009297";"11/13/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=164019&noid=35870"
111761;"17-009846";"12/15/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=192906&noid=59421"
111761;"16-010261";"12/05/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=179332&noid=47806"
111761;"15-010564";"12/15/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=165286&noid=36747"
5E+018;"18-003471";"04/19/2018";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=199932&noid=63841"
5E+018;"17-003111";"03/28/2017";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=186171&noid=51676"
5E+018;"17-003111";"03/28/2017";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=186171&noid=51248"
9501;"18-000417";"04/10/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=196878&noid=63504"
9501;"17-000221";"04/19/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=183281&noid=51889"
9501;"16-000308";"03/07/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=169379&noid=39030"
9501;"16-008536";"09/07/2016";"To investigate a complaint";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=177607&noid=49744"
9501;"16-008536";"09/07/2016";"To investigate a complaint";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=177607&noid=45877"
14145;"17-005795";"09/19/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=188855&noid=56439"
14145;"16-006066";"09/09/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=175137&noid=45214"
14145;"16-006066";"09/09/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=175137&noid=44781"
5E+018;"17-006195";"09/07/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=189255&noid=56744"
5E+018;"17-006195";"09/07/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=189255&noid=56065"
5E+018;"16-006478";"09/19/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=175549&noid=45493"
5E+018;"16-006478";"09/19/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=175549&noid=45100"
5E+018;"15-006643";"08/31/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=161365&noid=33862"
5E+018;"15-006643";"08/31/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=161365&noid=33663"
103125;"17-003646";"06/14/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=186706&noid=53457"
103125;"16-003727";"07/18/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=172798&noid=43333"
103125;"16-003727";"07/18/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=172798&noid=42917"
103125;"15-004062";"07/17/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=158784&noid=32673"
103125;"15-004062";"07/17/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=158784&noid=32398"
148451;"17-008939";"09/12/2017";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=191999&noid=57619"
148451;"17-008939";"09/12/2017";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=191999&noid=56185"
14009;"17-009629";"11/13/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=192689&noid=58260"
14009;"16-010036";"10/28/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=179107&noid=46641"
14009;"15-010318";"11/12/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=165040&noid=35816"
143477;"17-006171";"09/06/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=189231&noid=56046"
143477;"16-006459";"09/21/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=175530&noid=45182"
143477;"15-008658";"09/09/2015";"Compliance Check";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=163380&noid=33891"
143477;"15-005881";"07/07/2015";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=160603&noid=32109"
143477;"17-005202";"05/25/2017";"To investigate a complaint";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=188262&noid=52993"
143477;"17-005202";"05/25/2017";"To investigate a complaint";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=188262&noid=52991"
143475;"17-006170";"09/11/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=189230&noid=56136"
143475;"16-006458";"09/19/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=175529&noid=45114"
143475;"15-008659";"08/31/2015";"Compliance Check";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=163381&noid=33708"
143475;"15-005880";"07/07/2015";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=160602&noid=32106"
5E+018;"17-009983";"11/13/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=193043&noid=58224"
5E+018;"16-010418";"11/03/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=179489&noid=46796"
5E+018;"15-010739";"10/19/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=165461&noid=35055"
145367;"17-002668";"06/15/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=185728&noid=53861"
145367;"17-002668";"06/15/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=185728&noid=53523"
145367;"16-002948";"04/13/2016";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=172019&noid=40526"
145367;"16-002948";"04/13/2016";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=172019&noid=40108"
145367;"16-010542";"09/27/2016";"To investigate a complaint";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=179613&noid=45487"
145367;"16-010542";"09/27/2016";"To investigate a complaint";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=179613&noid=45383"
7027;"17-002327";"06/07/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=185387&noid=53268"
7027;"16-002275";"05/26/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=171346&noid=41329"
7027;"15-002640";"07/17/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=157362&noid=32376"
119639;"17-006038";"09/20/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=189098&noid=56515"
119639;"16-006311";"08/23/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=175382&noid=44151"
119639;"15-006478";"10/02/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=161200&noid=34748"
119639;"15-006478";"10/02/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=161200&noid=34627"
77023;"17-005905";"09/21/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=188965&noid=56536"
77023;"16-006181";"09/01/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=175252&noid=44552"
77023;"15-006332";"10/09/2015";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=161054&noid=34827"
99033;"17-011993";"02/02/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=195053&noid=60980"
99033;"16-012686";"02/10/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=181757&noid=49950"
99033;"15-012837";"02/19/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=167559&noid=38572"
145587;"18-000686";"04/17/2018";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=197147&noid=63714"
145587;"17-000515";"04/13/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=183575&noid=51734"
145587;"16-003302";"04/20/2016";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=172373&noid=40279"
137043;"18-000972";"03/27/2018";"Initial Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=197433&noid=62925"
137043;"16-012798";"02/07/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=181869&noid=50114"
137043;"16-012798";"02/07/2017";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=181869&noid=49808"
137043;"15-012952";"02/23/2016";"Annual Survey";"https://kscapportalp.dcf.ks.gov/OIDS/Comp_Findings.aspx?soid=167674&noid=38658"
