"Facility Name";"License Number";"Owner";"Program Type";"Address";"County";"City";"Zip";"License Effective Date";"License Expiration Date";"Facility Status";"Telephone Number";"Maximum Capacity";"recUrl";"ID"
"Miss Jennies Day Care";"0073107-005";"Jennifer DuLac";"Group Day Care Home";;"Atchison";"Atchison";66002;"11/01/2017";"10/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=142037";142037
"Ms As Lil Angels Daycare";"0501719-001";"Adria Simecek";"Group Day Care Home";"922 S 5th St";"Atchison";"Atchison";66002;"05/24/2018";"08/22/2018";"Open";"512-750-1198";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003441";5E+018
"Patricia Miller Day Care Home";"0051175-018";"Patricia Miller";"Licensed Day Care Home";;"Atchison";"Atchison";66002;"02/01/2018";"01/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=98527";98527
"Rees House";"0050401-009";"Marie Mullins";"Licensed Day Care Home";;"Atchison";"Atchison";66002;"12/01/2017";"11/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=97115";97115
"Reginas Royal Treatment Daycare";"0069690-008";"Regina Smith";"Group Day Care Home";;"Atchison";"Atchison";66002;"04/01/2018";"03/31/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=135203";135203
"Strawberry Hill Child Care";"0061856-019";"Strawberry Hill Child Care LLC";"Licensed Day Care Home";"1340 N 2nd St";"Atchison";"Atchison";66002;"03/01/2018";"02/28/2019";"Open";"913-426-2198";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=119535";119535
"Sunshine Kids Daycare";"0068704-012";"Kayla Liggett";"Group Day Care Home";;"Atchison";"Atchison";66002;"01/01/2018";"12/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=133231";133231
"The Guidance Center Preschool";"0066971-010";"The Guidance Center Inc";"Preschool";;"Atchison";"Atchison";66002;"01/01/2018";"12/31/2018";"Open";;24;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=129765";129765
"Tracie D Feek Day Care Home";"0066096-013";"Tracie Feek";"Licensed Day Care Home";;"Atchison";"Atchison";66002;"05/01/2018";"04/30/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=128015";128015
"Vicky L Felton Day Care Home";"0036305-008";"Vicky Felton";"Group Day Care Home";;"Atchison";"Atchison";66002;"10/01/2017";"09/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=70763";70763
"Baldwin Rec Summer Discovery Day Camps";"0051757-013";"Baldwin City Recreation Commission";"School Age Program";;"Douglas";"Baldwin City";66006;"08/01/2018";"07/31/2019";"Open";;60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=99617";99617
"Creative Corner Family Child Care";"0018073-012";"Jennifer Brewster";"Group Day Care Home";"1613 Elkhorn St";"Douglas";"Baldwin City";66006;"04/01/2018";"03/31/2019";"Open";"785-760-3553";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=35027";35027
"Dianes Daycare";"0500521-006";"Diane Peterson";"Group Day Care Home";"1109 Signal Lake Ct";"Douglas";"Baldwin City";66006;"06/01/2018";"05/31/2019";"Open";"785-312-4778";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000001045";5E+018
"Donna Curran Day Care Home";"0008258-015";"Donna Curran";"Licensed Day Care Home";"110 Elm";"Douglas";"Baldwin City";66006;"11/01/2017";"10/31/2018";"Open";"785-594-2381";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=15931";15931
"Jens Daycare";"0500101-006";"Jennifer Burton";"Group Day Care Home";;"Douglas";"Baldwin City";66006;"10/01/2017";"09/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000000205";5E+018
"Kelli Chappelle Day Care Home";"0068980-009";"Kelli Chappelle";"Group Day Care Home";"222 Dearborn St";"Douglas";"Baldwin City";66006;"04/25/2018";"04/30/2019";"Open";"785-840-5999";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=133783";133783
"Kims Day Care Home";"0037352-019";"Kimberly Lisher";"Group Day Care Home";"924 Bluestem Dr";"Douglas";"Baldwin City";66006;"06/01/2018";"05/31/2019";"Open";"785-760-0081";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=72821";72821
"Kountry Kids Daycare";"0069539-008";"Lori Montney";"Group Day Care Home";;"Douglas";"Baldwin City";66006;"11/29/2017";"11/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=134901";134901
"Open Hands Montessori";"0501704-001";"Heidi Ming";"Group Day Care Home";"713 Jersey St";"Douglas";"Baldwin City";66006;"05/18/2018";"08/16/2018";"Open";"785-979-6319";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003411";5E+018
"Peachtree Day Care";"0057969-013";"June Roush";"Group Day Care Home";;"Douglas";"Baldwin City";66006;"01/01/2018";"12/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=111761";111761
"Pickle Dillys";"0501279-003";"Alicia Bayless";"Group Day Care Home";;"Douglas";"Baldwin City";66006;"04/25/2018";"04/30/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002561";5E+018
"Tammys Tots Daycare LLC";"0005012-016";"Tammys Tots Daycare LLC";"Group Day Care Home";"4834 Nevada Rd";"Douglas";"Baldwin City";66006;"05/01/2018";"04/30/2019";"Open";"785-594-2363";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=9501";9501
"The Rainbow Experience Inc";"0007353-014";"The Rainbow Experience Inc";"Child Care Center";;"Douglas";"Baldwin City";66006;"10/01/2017";"09/30/2018";"Open";;45;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=14145";14145
"Bright Start Early Learning Academy";"0500307-005";"Bright Start Early Learning Academy LLC";"Preschool";"14500 Parallel Pkwy Suite I";"Leavenworth";"Basehor";66007;"10/01/2017";"09/30/2018";"Open";"913-728-2800";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000000617";5E+018
"Cynthia Marie Rollo Day Care Home";"0053600-010";"Cynthia Rollo";"Licensed Day Care Home";;"Leavenworth";"Basehor";66007;"08/01/2017";"07/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=103125";103125
"Jillybeans";"0076314-002";"Jillian McClain";"Licensed Day Care Home";;"Leavenworth";"Basehor";66007;"11/17/2017";"11/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=148451";148451
"Little Friends Preschool of the First Baptist Church";"0007285-008";"The First Baptist Church of Basehor Inc";"Preschool";;"Leavenworth";"Basehor";66007;"01/01/2018";"12/31/2018";"Open";;24;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=14009";14009
"Trinity Family Learning Center BES";"0073827-004";"Trinity Family of Faith Lutheran Church";"School Age Program";;"Leavenworth";"Basehor";66007;"10/01/2017";"09/30/2018";"Open";;60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=143477";143477
"Trinity Family Learning Center GRE";"0073826-004";"Trinity Family of Faith Lutheran Church";"School Age Program";;"Leavenworth";"Basehor";66007;"10/01/2017";"09/30/2018";"Open";;60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=143475";143475
"Trinity Family Learning Center Preschool";"0500172-006";"Trinity Family of Faith Lutheran Church";"Preschool";"215 Park St";"Leavenworth";"Basehor";66007;"01/01/2018";"12/31/2018";"Open";"913-724-4441";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000000347";5E+018
"Sweet Retreat Daycare";"0068454-007";"Krystal Stonbrough";"Group Day Care Home";"6504 Botkin Rd";"Linn";"Blue Mound";66010;;"04/12/2014";"License Expired";"620-224-8758";;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=132731";132731
"A Step Above Academy";"0074772-004";"Little Learners Childcare LLC";"Child Care Center";"600 N 118 St";"Wyandotte";"Bonner Springs";66012;"07/01/2017";"06/30/2018";"Open";"913-721-3770";100;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=145367";145367
"Arlines Day Care";"0003767-011";"Arline Gabauer";"Licensed Day Care Home";;"Wyandotte";"Bonner Springs";66012;"09/01/2017";"08/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=7027";7027
"Bright Beginnings";"0061908-011";"Patty Brigham";"Licensed Day Care Home";;"Wyandotte";"Bonner Springs";66012;"10/01/2017";"09/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=119639";119639
"Good Beginnings Day Care Home";"0039507-009";"Shannon Zaring";"Group Day Care Home";;"Wyandotte";"Bonner Springs";66012;"10/01/2017";"09/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=77023";77023
"Good Beginnings Daycare Home";"0051448-010";"Pamela Adkins";"Group Day Care Home";;"Wyandotte";"Bonner Springs";66012;"03/01/2018";"02/28/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=99033";99033
"Graces Angels LLC";"0074882-004";"Graces Angels LLC";"Licensed Day Care Home";;"Wyandotte";"Bonner Springs";66012;"05/01/2018";"04/30/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=145587";145587
"Joyful Moments Home Daycare";"0070610-009";"Amber Herrera";"Group Day Care Home";"13317 Davis Ave";"Wyandotte";"Bonner Springs";66012;"03/27/2018";"03/31/2019";"Open";"785-969-0276";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=137043";137043
"Laughter and Lullabies";"0067089-006";"Devon Conrad";"Group Day Care Home";;"Wyandotte";"Bonner Springs";66012;"10/01/2017";"09/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=130001";130001
"Little Blessings Daycare";"0056945-010";"Kyra Jarrett";"Group Day Care Home";"433 Jamison";"Wyandotte";"Bonner Springs";66012;"10/01/2017";"09/30/2018";"Open";"913-441-6998";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=109713";109713
"Mary Ks Daycare";"0029483-009";"Mary Gregory";"Licensed Day Care Home";;"Wyandotte";"Bonner Springs";66012;"10/01/2017";"09/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=57349";57349
"McDanield Early Childhood Center";"0039261-009";"USD 204";"Child Care Center";"110 S Nettleton";"Wyandotte";"Bonner Springs";66012;"12/01/2017";"11/30/2018";"Open";"913-422-9126";59;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=76539";76539
"Ms Angies Group Day Care";"0041073-021";"Angela Broome";"Group Day Care Home";;"Wyandotte";"Bonner Springs";66012;"11/01/2017";"10/31/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=79869";79869
"Patricia Lofton Day Care Home";"0005328-015";"Patricia Lofton";"Licensed Day Care Home";"13721 Elmwood";"Wyandotte";"Bonner Springs";66012;"08/01/2017";"07/31/2018";"Open";"913-957-7832";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=10125";10125
"Sonshine Preschool Child Care Center";"0059113-009";"Sonshine Pre-School Inc";"Child Care Center";"16530 Covey Lane";"Wyandotte";"Bonner Springs";66012;"01/01/2018";"12/31/2018";"Open";"913-206-5807";14;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=114049";114049
"Sowing Seeds";"0501347-002";"Ashley Meyer";"Licensed Day Care Home";"15126 Meadow Ln";"Wyandotte";"Bonner Springs";66012;"07/28/2017";"07/31/2018";"Open";"785-317-2510";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002697";5E+018
"Stacey L Hurla Day Care Home";"0044998-016";"Stacey Hurla";"Licensed Day Care Home";"13401 Riverview";"Wyandotte";"Bonner Springs";66012;"05/01/2018";"04/30/2019";"Open";"913-721-2788";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=87021";87021
"Teresa Fern Holter Day Care Home";"0021373-016";"Teresa Holter";"Licensed Day Care Home";"924 S 134th St";"Wyandotte";"Bonner Springs";66012;"06/01/2018";"05/31/2019";"Open";"913-441-2371";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=41485";41485
"Terris Home Day Care";"0053682-009";"Terri Green";"Licensed Day Care Home";"11841 Riverview Ave";"Wyandotte";"Bonner Springs";66012;"01/01/2018";"12/31/2018";"Open";"913-439-0398";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=103281";103281
"Tiny Arrows Home Daycare";"0501635-002";"Sharynna Herrera";"Group Day Care Home";"2049 S 137th St";"Wyandotte";"Bonner Springs";66012;"05/14/2018";"05/31/2019";"Open";"785-431-3379";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003273";5E+018
"Tot Spot";"0074077-004";"Angelina Boyd";"Group Day Care Home";;"Wyandotte";"Bonner Springs";66012;"10/01/2017";"09/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=143977";143977
"Ys Kids Club at Bonner Springs Elementary";"0039814-011";"YMCA of Greater Kansas City";"School Age Program";"212 S Neconi";"Wyandotte";"Bonner Springs";66012;"12/01/2017";"11/30/2018";"Open";"913-345-9622";60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=77633";77633
"Nadines Day Care Home";"0013653-008";"Nadine Wise";"Licensed Day Care Home";;"Miami";"Bucyrus";66013;"08/01/2017";"07/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=26461";26461
"Stacey H McVey Day Care Home";"0017153-010";"Stacey McVey";"Licensed Day Care Home";"20110 Travis Lane";"Miami";"Bucyrus";66013;"10/01/2017";"09/30/2018";"Open";"913-897-3585";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=33227";33227
"Wea Angel House Too";"0062125-006";"Queen of the Holy Rosary Catholic Church Wea";"Group Day Care Home";;"Miami";"Bucyrus";66013;"05/01/2018";"04/30/2019";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=120073";120073
"Weas Angel House Queen Of The Holy Rosary Catholic Church Day Care Home";"0059581-009";"Queen of the Holy Rosary Catholic Church Wea";"Group Day Care Home";"7021 W 227Th";"Miami";"Bucyrus";66013;"10/01/2017";"09/30/2018";"Open";"913-879-1014";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=114985";114985
"Bonita K Hobson Day Care Home";"0004804-011";"Bonita Hobson";"Licensed Day Care Home";"332 Beech St";"Anderson";"Colony";66015;"02/01/2018";"01/31/2019";"Open";"620-852-3198";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=9091";9091
"Brookes Bright Beginnings";"0500417-006";"Brooke Brownell";"Group Day Care Home";"8705 Penner";"Johnson";"De Soto";66018;"08/01/2017";"07/31/2018";"Open";"785-562-8532";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000000837";5E+018
"Donna M Flinn Day Care Home";"0004310-011";"Donna Flinn";"Licensed Day Care Home";"8555 Penner Ave";"Johnson";"De Soto";66018;"06/01/2018";"05/31/2019";"Open";"913-271-6081";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=8109";8109
"Heidi Renea Cronin Day Care Home";"0003980-010";"Heidi Cronin";"Licensed Day Care Home";;"Johnson";"De Soto";66018;"02/01/2018";"01/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=7453";7453
"Jody Klamm Day Care Home";"0004587-012";"Jody Klamm";"Licensed Day Care Home";;"Johnson";"De Soto";66018;"02/01/2018";"01/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=8661";8661
"Mindys Munchkins";"0022957-014";"Melinda McCarthy";"Licensed Day Care Home";"8475 Peoria";"Johnson";"De Soto";66018;"10/01/2017";"09/30/2018";"Open";"913-713-8248";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=44561";44561
"Starside Elementary School Age Care Program";"0067416-009";"Johnson County Park and Recreation District";"School Age Program";"35400 W 91 Ter";"Johnson";"De Soto";66018;"12/01/2017";"11/30/2018";"Open";"913-583-1116";60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=130655";130655
"Kiddy Daycare";"0072319-005";"Audrey McKiddy";"Group Day Care Home";"23274 Limit Rd";"Leavenworth";"Easton";66020;"11/02/2017";"09/30/2018";"Open";"913-773-5515";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=140461";140461
"Kims Day Care";"0046295-016";"Kimberly Hart";"Licensed Day Care Home";;"Leavenworth";"Easton";66020;"02/01/2018";"01/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=89457";89457
"Country Munchkins";"0069492-005";"Cindy Thomas";"Licensed Day Care Home";;"Johnson";"Edgerton";66021;"05/18/2018";"05/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=134807";134807
"Crist Daycare";"0018016-014";"Ginger Crist";"Licensed Day Care Home";;"Johnson";"Edgerton";66021;"07/01/2017";"06/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=34913";34913
"Edgerton Elementary OST Program";"0500596-004";"Johnson County Park and Recreation District";"School Age Program";"400 W Nelson";"Johnson";"Edgerton";66021;"10/01/2017";"09/30/2018";"Open";"913-893-9601";60;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000001195";5E+018
"Sharon Marie Sprague Day Care Home";"0032845-015";"Sharon Sprague";"Licensed Day Care Home";;"Johnson";"Edgerton";66021;"07/01/2017";"06/30/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=63985";63985
"Wee Care Day Care";"0002902-017";"Marie Headrick";"Licensed Day Care Home";"104 E 3rd St";"Johnson";"Edgerton";66021;"06/27/2017";"06/30/2018";"Open";"913-263-2564";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5319";5319
"Ashlees Day Care";"0071199-007";"Ashlee Noll Hockemeier";"Licensed Day Care Home";;"Atchison";"Effingham";66023;"04/01/2018";"03/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=138221";138221
"Effingham Childcare";"0501454-002";"Kelsey Fultz";"Group Day Care Home";"408 Main St";"Atchison";"Effingham";66023;"09/15/2017";"09/30/2018";"Open";"913-674-7080";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002911";5E+018
"Little Britches";"0074830-003";"Cindy Throckmorton";"Licensed Day Care Home";;"Doniphan";"Elwood";66024;"01/01/2018";"12/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=145483";145483
"Barbara A Kruger Day Care Home";"0029767-015";"Barbara Kruger";"Licensed Day Care Home";"826 E 12 St";"Douglas";"Eudora";66025;"10/01/2017";"09/30/2018";"Open";"785-542-5256";10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=57915";57915
"Brandis Child Care";"0052822-011";"Brandi Johnson";"Licensed Day Care Home";;"Douglas";"Eudora";66025;"04/01/2018";"03/31/2019";"Open";;8;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=101619";101619
"Bright Beginnings";"0008441-013";"Monica Durkin";"Group Day Care Home";"722 Ash Street";"Douglas";"Eudora";66025;"12/01/2017";"11/30/2018";"Open";"785-550-3240";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=16291";16291
"Bryants Little Critters Daycare Home";"0063644-010";"Danetta Bryant";"Group Day Care Home";;"Douglas";"Eudora";66025;"10/01/2017";"09/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=123111";123111
"Busy Bee Montessori";"0501399-003";"Katherine Helm";"Group Day Care Home";"918 Peach Ct";"Douglas";"Eudora";66025;"10/31/2017";"10/31/2018";"Open";"785-550-8099";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000002801";5E+018
"Carma Listers Day Care";"0005316-008";"Carma Lister";"Licensed Day Care Home";;"Douglas";"Eudora";66025;"01/01/2018";"12/31/2018";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=10101";10101
"Cherris Caterpillar Clubhouse Group Day Care Home";"0059697-011";"Cherri Walrod";"Group Day Care Home";;"Douglas";"Eudora";66025;"06/21/2017";"06/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=115217";115217
"Country Willow Academy";"0501643-003";"Brandy Whitten";"Licensed Day Care Home";;"Douglas";"Eudora";66025;"05/10/2018";"05/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000003289";5E+018
"Erikas Little Angels";"0072773-008";"Erika Grant";"Group Day Care Home";;"Douglas";"Eudora";66025;"11/09/2017";"11/30/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=141369";141369
"Erins Little Angels";"0500097-008";"Erin Eichler";"Licensed Day Care Home";;"Douglas";"Eudora";66025;"06/01/2018";"05/31/2019";"Open";;10;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000000197";5E+018
"Eudora Parks and Recreation";"0062426-010";"City of Eudora";"School Age Program";"1638 Elm St";"Douglas";"Eudora";66025;"06/01/2018";"05/31/2019";"Open";"785-542-3434";85;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=120675";120675
"Happy Hearts";"0500992-005";"Lindsey Bouse";"Group Day Care Home";;"Douglas";"Eudora";66025;"06/18/2018";"09/16/2018";"Open";;12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=5000000000000001987";5E+018
"JJs Daycare";"0035572-010";"Jennifer Dolina";"Group Day Care Home";"707 E 12th St";"Douglas";"Eudora";66025;"05/10/2018";"05/31/2019";"Open";"785-218-5262";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=69327";69327
"Just Kidding Day Care Home";"0061754-010";"Rebecca Vickers";"Group Day Care Home";"1127 W 13th Ln";"Douglas";"Eudora";66025;"08/01/2017";"07/31/2018";"Open";"785-764-2031";12;"https://kscapportalp.dcf.ks.gov/OIDS/Comp_details.aspx?fid=119331";119331
