"id";"name";"address";"city";"state";"zip";"county";"phone";"main website";"email";"details";"location url";"facebook page";"business hours";"career/employment url";"application/registration url";"parent handbook url";"infant (under 12 months)";"toddler (1-2yrs)";"preschools (2-3yrs)";"pre-kindergarden(4yr)";"before/afterschools";"camps";"logo url (only small logo if available)";"pictures url 1";"picture url 2";"picture url 3";"picture url 4";"bad url?";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"s"
1104214;"KIDS CARE AT RIVERFIELD";"1625 MILL PLAIN ROAD";"FAIRFIELD";"CT";6824;"FAIRFIELD";"203-767-1550";"http://www.riverfieldschoolpta.com/kidscare/";"kidscareriv@sbcglobal.net";"Kids’ Care is state licensed, before and after school childcare program located at Riverfield School. Our staff includes several paraprofessionals from RFLD as well as several experienced teachers who have been at Kids Care for the past 13 years. Morning session begins at 7:30 am in the art room.  Afternoon session begins at 3:25 pm in the APR.  Kids’ Care closes at 6 PM.

Daily tuition is $13.00 for the AM session, $19.00 for the afternoon.   Important note to Kindergarten parents: There will be coverage for the first week of early dismissals at 1:10 pm.

There are no minimum usage requirements.  Just register and pay $50 for one and $75 for family, to use the program as little or as much as you need.  Payment is due at the end of each week for days used.  Enrollment forms are available by contacting me at the email above or online on PTA website.  Registration which is due by August 19th, may be mailed to RFLD or dropped off in the main office.  Kids’ Care will be available on the first day of school, 8/29 at 7:30 am and again at 1:10 and 3:25 pm.";"http://www.riverfieldschoolpta.com/kidscare/";;"7:30am-6pm";;;;"n";"n";"n";"n";"y";"y";"http://www.riverfieldschoolpta.com/wp-content/uploads/2013/08/Brown-Rocky-head-123x150.jpg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104213;"KIDS CARE AT DWIGHT SCHOOL";"1600 REDDING RD";"FAIRFIELD";"CT";6824;"FAIRFIELD";"(203) 255-8312";"http://fairfieldschools.org/schools/dwt/";;"Nestled in the heart of Greenfield Hill, Timothy Dwight is a nationally recognized Blue Ribbon School in Fairfield, Connecticut.  Dwight offers a small school setting in which staff members work to ensure a rigorous and nurturing experience for all students from pre-K – grade 5.  Our Fairfield Public Schools’ curriculum encourages differentiated teaching that fosters higher level thinking and promotes interdisciplinary learning opportunities. Dwight has an enthusiastic PTA and strong tradition of parent involvement that enables on-going student enrichment and programming.";"http://fairfieldschools.org/schools/dwt/";;;;;;"n";"n";"y";"y";"y";"y";"http://schcdn.fairfieldschools.org/schools/dwt/content/uploads/2013/08/DWT.png";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104212;"KID'S TIME BY THE SEA";"250 FERN STREET";"FAIRFIELD";"CT";6824;"FAIRFIELD";"203-209-4920";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104210;"CAROUSEL EDUCATIONAL LLC";"1073 N BENSON RD";"FAIRFIELD";"CT";6824;"FAIRFIELD";"203-254-4028";"http://www.fairfield.edu/academics/schoolscollegescenters/graduateschoolofeducationalliedprofessions/earlylearningcenter/";"ccurtin@fairfield.edu";"The Fairfield University Early Learning Center is designed to provide quality daycare services at a reasonable cost. The Center also serves as a resource for the study of early childhood development in the Graduate School of Education and Allied Professions and the School of Nursing.

The Early Learning Center provides the following:

    An early care and education program based on accepted and researched theories of child development
    Individualized programs designed to meet the needs of each child
    Curriculum that is child-oriented and emergent by the children
    Teaching staff who have specialized educational training in child development and developmentally appropriate practice with young children, including health, safety, and nutritional guidelines
    A healthy, safe, physical environment in an attractive 3,000 sq. ft. facility designed in New England colonial style featuring separate indoor and outdoor areas for pre-school children, toddlers, and infants
    Respect for family's culture and encouragement of family participation
    Staff who show respect and affection for children and families interacting with them in caring ways
    Staff who are knowledgeable about illness prevention, nutrition education, and safety concerns

Fairfield University is pleased to collaborate with Carousel Educational Services, Norwalk, Conn., in offering an Early Learning Center on campus (Coughlin Road) that will provide your child with a safe and attractive daycare environment that features programming responsive to your child's individual needs and challenges each child's development potential.

This program will empower the children in it with high self-esteem that will enable them to be productive within their families, their relationships with peers, and eventually within their communities.

The Fairfield University Educational Advisor to the Early Learning Center is Dr. Ryan Colwell, assistant professor of Childhood Education in the Graduate School of Education and Allied Professions (GSEAP).

For more information on registration and openings, please contact Colleen Curtin, Program Director of the Early Learning Center at (203) 254-4028 or via e-mail at ccurtin@fairfield.edu.";"http://www.fairfield.edu/academics/schoolscollegescenters/graduateschoolofeducationalliedprofessions/earlylearningcenter/";;;;"http://www.fairfield.edu/academics/schoolscollegescenters/graduateschoolofeducationalliedprofessions/earlylearningcenter/registrationopenings/";;"y";"y";"y";"y";"n";"n";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104211;"ECC HOLLAND CHILDCARE";"105 MEADOWCROFT RD";"FAIRFIELD";"CT";6824;"FAIRFIELD";"203-459-9700";"http://www.eastoncc.info/contact/";"j.silkoff@eastoncc.com";"The Easton Community Center, Inc. (ECC) is committed to providing cultural, educational, recreational and social opportunities and to designing creative and high quality programs which will enhance the mental and physical well-being of children, teens and adults within the greater Easton community.";"http://www.eastoncc.info/contact/";"https://www.facebook.com/Easton.Community.Center";;;"https://webtrac.eastoncc.com/wbwsc/webtrac.wsc/wbsplash.html?wbp=1";;"y";"y";"y";"y";"y";"y";"http://www.eastoncc.info/images/logo.gif";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104204;"FIRST STEP PRESCHOOL, INC.";"28 HERITAGE PLAZA - RTE 39";"NEW FAIRFIELD";"CT";6812;"FAIRFIELD";"203-746-5197";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104190;"ST. PETER'S EARLY LEARNING CENTER";"98 MAIN ST";"DANBURY";"CT";6810;"FAIRFIELD";"203-792-6194";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104191;"THE GODDARD SCHOOL - DANBURY";"39 OLD RIDGEBURY RD";"DANBURY";"CT";6810;"FAIRFIELD";"203-628-2000";"http://www.goddardschool.com/nj-ny/danbury-old-ridgebury-road-ct";"AskGoddardSchool@goddardsystems.com";"Welcome to The Goddard School! Our goal is to be a resource for families and a community where parents can share information and learn from each other.  The Goddard School uses the most current, academically endorsed methods to ensure that children have fun while learning the skills they need for long-term success in school and in life. Our talented teachers also collaborate with parents to nurture children into respectful, confident and joyful learners.";"http://www.goddardschool.com/nj-ny/danbury-old-ridgebury-road-ct";"https://www.facebook.com/goddardschool";;"http://www.goddardschool.com/nj-ny/danbury-old-ridgebury-road-ct/careers";;;"y";"y";"y";"y";"y";"y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104189;"DANBURY PUBLIC SCHOOL READINESS PROGRAM";"17 COTTAGE ST";"DANBURY";"CT";6810;"FAIRFIELD";"203-830-6537";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104178;"JUDSON SCHOOL AFTER SCHOOL PROGRAM";"124 HAMILTON LANE- JUDSON SCHOOL";"WATERTOWN";"CT";6795;"LITCHFIELD";"860-945-4850";"http://jes.watertownps.org/";"jesoffice@watertownps.org";"Judson School provides a safe haven for all children in a positive learning atmosphere. We support the needs of the whole child: physical, social, emotional, ethical, academic, and artistic. The staff, students, parents, and community members work together so that each student is successful. High expectations are set so that every child reaches his or her full potential and has the motivation to achieve life-long learning. Together we achieve the extraordinary!";"http://jes.watertownps.org/";;"8:50 a.m.-3:20 p.m.";;;"javascript:var%20w=window.open('/about_us/StudentHandbook','','width=700,height=500,toolbar=1,location=1,directories=0,status=1,menubar=1,scrollbars=1,resizable=1');";"n";"n";"y";"y";"y";"y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104176;"HARWINTON SCHOOL AGE PROGRAM";"115 LITCHFIELD RD";"HARWINTON";"CT";6791;"LITCHFIELD";;;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103148;"ESPN KIDS CENTER";"205 ENTERPRISE DRIVE";"BRISTOL";"CT";6010;"HARTFORD";"860-582-4300";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104158;"TERRYVILLE-PLYMOUTH DAY CARE- THE LEARNING CENTER";"9 N RIVERSIDE AVE";"TERRYVILLE";"CT";6786;"LITCHFIELD";"860-583-0143";"http://thelearningcenterct.com/";;"Mission Statement
To provide high quality childcare and early education and to strengthen families as primary nurturers of their children. TPDCC will provide full and part day care and education to children ages six weeks to twelve years, including those with special needs, in a safe, secure, caring and nurturing environment. As a partially state-funded center, we will offer opportunities for tuition subsidies with consideration to availability and eligibility.
";"http://thelearningcenterct.com/";"https://www.facebook.com/thelearningcenterct";"Mon - Fri: 
6:30 am - 5:30 pm";;;;"y";"y";"y";"y";"y";"y";"http://thelearningcenterct.com/wp-content/uploads/2013/03/copy-copy-tlc_naeyc1.png";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104154;"KINDERCARE LEARNING CENTER #301857";"204 DANBURY ROAD";"NEW MILFORD";"CT";6776;"NEW HAVEN";"860-350-2445";"http://www.kindercare.com/our-centers/danbury/ct/300755/";"care@kindercare.com";"KinderCare Learning Centers is committed to your child's future. With our experienced staff and innovative programs unlike any other, we provide your child with an unsurpassed learning experience. Your child will discover that learning is fun, while making new friends and building strong relationships with teachers who partner with you in your child's education. ";"http://www.kindercare.com/our-centers/danbury/ct/300755/";"https://www.facebook.com/kindercare";"6:30 AM to 6:00 PM, M-F";"http://www.kindercare.com/careers/";;;"y";"y";"y";"y";"y";"y";"http://www.kindercare.com/images/redesign/shell/logo.png";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104153;"KIDS IN ACTION";"15 EXECUTIVE CENTER DR";"NEW MILFORD";"CT";6776;"NEW HAVEN";"860.350.3311";"http://www.kidsinactionllc.com/";" jen@kidsinactionllc.com";"We strive to develop happy, healthy and responsible kids. Our childcare services include full time day-care, preschool, before and after school and on-demand care as needed. We invite you to call or email for a tour of our facility, or to ask about our Summer Camp and other special offerings, events and services.";"http://www.kidsinactionllc.com/";"https://www.facebook.com/KidsInActionLLC";"7:00 am and 6:00 pm";;"http://www.kidsinactionllc.com/ParentInformation_Documents.html";"http://www.kidsinactionllc.com/ParentInformation/Student_Handbook.pdf";"y";"y";"y";"y";"y";"y";"http://www.kidsinactionllc.com/SiteGraphics/KidsInAction2_logo.png";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104152;"CSA AFTER SCHOOL ZONE";"32 STILL RIVER DR";"NEW MILFORD";"CT";6776;"NEW HAVEN";"860-799-6000";"http://www.ctsportsarena.com/kids/after_school_program.php";"ctsportsarena@yahoo.com";"The CSA After-School Zone is predicated on the principles of Fun, Respect, Education & Discipline. Our primary concern in establishing the best after-school program possible is the safety and enjoyment of your children. Our structure and planning is of paramount importance in keeping the enjoyment and educational values fresh. It is with this in mind that we keep the policies tight, reasonable and consistent.

We strive to enrich the physical education and well-being of your child, keeping them active in our diverse weekly programming, while bonding with other children and providing a forum for their school homework to be completed daily!";"http://www.ctsportsarena.com/kids/after_school_program.php";"https://www.facebook.com/CTSportsArena";"Mon - Sun: 
7:00 am - 1:00 am";;"http://www.ctsportsarena.com/pdf/2010-11_Registration_FormCSA.pdf";;"n";"n";"n";"n";"y";"y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104039;"ELLE EM IN OH PRE";"1944 BOSTON AVE";"BRIDGEPORT";"CT";6610;"FAIRFIELD";"203-333-9740";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104038;"CHILD-PORT DAY CARE CENTER";"110 CLERMONT AVENUE";"BRIDGEPORT";"CT";6610;"FAIRFIELD";"203-336-2258";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104037;"BRIGHT STARS ACADEMY DAYCARE";"2004-2010 EAST MAIN ST";"BRIDGEPORT";"CT";6610;"FAIRFIELD";"203-685-7974";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103986;"AFFORDABLE AND LOVING CHILDCARE II";"1006 RESERVOIR AVE";"BRIDGEPORT";"CT";6606;"FAIRFIELD";"203-378-8012";;;;;;;;;;;;;;;;;;;;;"Y";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103968;"SMALL TO TALL TOO";"4070 PARK AVE";"BRIDGEPORT";"CT";6604;"FAIRFIELD";"203-319-8276";"http://smalltotallscholars.com/";"smalltotall@optimum.net";"Small to Tall is a family owned preschool that provides excellent care and education for children ages 2-5. Our incredible staff create a warm & nurturing atmosphere for learning. Their experience and creativity allow children to grow and develop at their own pace. We believe cognitive work is important, but without joy, security and acceptance in the environment, it is of little value. Our mission is to provide a balanced and exciting experience for your child.";"http://smalltotallscholars.com/";"https://www.facebook.com/smalltotallpreschools?ref=ts&fref=ts";"9:15 - 12:30 ";;;;"n";"y";"y";"y";"n";"n";"http://smalltotallscholars.com/preschool/wp-content/uploads/2013/03/Small-To-Tall-Scholars8.png";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103967;"MERCY LEARNING CENTER EARLY CHILDHOOD EDUCATION PROGRAM";"637 PARK AVE";"BRIDGEPORT";"CT";6604;"FAIRFIELD";"203-334-6699";"http://www.mercylearningcenter.org/";"info@mercylearningcenter.org";"Mercy Learning Center of Bridgeport, Inc. provides basic literacy and life skills training to low-income women using a holistic approach within a compassionate, supportive environment. All women are welcome without regard for race, religion, color, creed, sexual orientation or national origin. ";"http://www.mercylearningcenter.org/";"https://www.facebook.com/mercylearningcenter?sk=wall";"Mon - Fri: 
8:30 am - 5:30 pm";"http://www.mercylearningcenter.org/employment.html";;;"n";"y";"y";"y";"n";"n";"http://www.mercylearningcenter.org/images/MLCMain09_02.jpg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103943;"PHYLLIS BODEL CHILDCARE CTR AT YALE SCH OF MEDICINE SOUTH";"100 CHURCH ST S";"NEW HAVEN";"CT";6519;"New Haven";"203-785-3829";"http://bodelchildcare.org/";"Cynthia.Olson@yale.edu";"The Phyllis Bodel Center is based on the belief that while human development progresses in a predictable sequence, each individual is developmentally unique. The curriculum and teaching are adapted to each child's individual abilities and interests, and activities are introduced when children are best able to master them. The activities enhance and challenge all areas of development -- physical, social, emotional, and intellectual. Parents are welcome throughout the day to feed and visit with the children. For infants, developing basic secure and trusting relationships is a primary task. Teachers foster this trust through frequent physical contact, sensitive responses to infants' signals, and mutual delight in interactions. For toddlers, daily experiences include simple art projects, dramatic play, and free play that encourages manipulation, imitation, and exploration. For all children through pre-school, social skills such as empathy, caring, and sharing are also emphasized through interactions with warm, responsible, and encouraging caregivers.  ";"http://bodelchildcare.org/";;"7:30 am to 5:30 pm ";;"http://bodelchildcare.org/downloads/2014%20applicationform.pdf";;"y";"y";"y";"y";"y";"y";"http://bodelchildcare.org/original%20pictures/banner.jpg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103933;"YOUNG HEARTS DAY CARE CENTER";"143 LEEDER HILL DRIVE";"HAMDEN";"CT";6517;"NEW HAVEN";"203-230-9260";"http://www.yhdaycare.com/";"info@yhdaycare.com";"Located in Hamden, CT, (only minutes away from New Haven) Young Heart's Day Care Center is one of the areas most trusted childcare centers. We help your children take those baby steps a notch higher as they complete all the developmental milestones during childhood. At Young Heart's Day Care Center, our dedicated teachers, staff, and administrators nurture your children's abilities and bring out their true potential. At Young Heart's Day Care Center, quality early childhood education and child- parent- teacher involvement is our mission.  The goal of the Young Heart's Day Care Center is to provide quality childcare for children. Our objective is to offer a comfortable, yet stimulating environment for the development of their mental, emotional, physical, social, and spiritual needs.";"http://www.yhdaycare.com/";;"7:30 AM to 5:30 PM";"http://www.yhdaycare.com/parents-corner.html";;;"y";"y";"y";"y";"n";"n";"http://www.yhdaycare.com/images/11.jpg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103147;"CHIPPENS HILL CLUBHOUSE";"551 PEACEDALE ST";"BRISTOL";"CT";6010;"HARTFORD";;"http://www.bbgc.org/visit-the-club";"info@bbgc.org";"The Boys & Girls Club of Bristol Family Center plays a pivotal role in the healthy growth and development of our city's youth. Our organization's motto, ""Great Futures Start Here"" reflects its commitment to assuring that all children have the opportunity to create dreams and that they develop the skills to achieve those dreams. ";"http://www.bbgc.org/visit-the-club";"https://www.facebook.com/pages/Boys-Girls-Club-of-Bristol-Family-Center/152444298172";;;;;"n";"n";"n";"n";"y";"y";"https://irp-cdn.multiscreensite.com/01dbe132/dms3rep/multi/desktop/Horz%20All%20White-1000x163.gif";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103887;"KIDDIE TECH UNIVERSITY";"1120 BOSTON POST RD";"WEST HAVEN";"CT";6516;"New Haven";"203-809-8152";"http://www.kiddietechuniversity.com/";"info@kiddietechuniversity.com";"Kiddie Tech University is a school readiness program, for ages 3-5 specifically designed to introduce your child to the world in a unique way.  Kiddie Tech University began in 2007 as a home daycare run by an experienced provider and qualified elementary school teacher that due to demand has grown into KTU learning center. What is different about Kiddie Tech University is that we utilize technology to teach your child various subjects as well as social skills appropriate to and above the developmental level of each child. The goal of Kiddie Tech University is to provide an exceptional and high quality learning experience for children, preparing them to excel academically in the future. At KTU we provide a safe, fun, and loving educational environment, while giving each child the opportunity to explore the world at their own pace, incorporating the daily curriculum of reading, writing, math, music, science, and technology. KTU’s low staff to child ratios guarantee that each child will get the daily attention that they need. At Kiddie Tech University we know how difficult it can be for parents to find adequate care for their child and it is our mission to make parents feel completely comfortable that their child is in good hands at all times.";"http://www.kiddietechuniversity.com/";;;;"http://www.kiddietechuniversity.com/wp-content/uploads/2013/11/kiddie-tech-APPLICATION-FOR-ADMISSION.pdf";;"n";"n";"y";"y";"n";"n";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103874;"CREATIVE M.E.";"410 BLAKE ST";"NEW HAVEN";"CT";6515;"New Haven";"(475) 227-3569";"https://www.facebook.com/pages/Creative-ME/339885416147184?sk=info&tab=page_info";;"Creative M.E. has placed education and fun together. Children and taught basic skill of reading and writing along with the instinctive knowledge of understanding the importance of be a community. By using tools like music and dance, we make learning fun";"https://www.facebook.com/pages/Creative-ME/339885416147184?sk=info&tab=page_info";"https://www.facebook.com/pages/Creative-ME/339885416147184?sk=info&tab=page_info";;;;;"y";"y";"y";"y";"n";"n";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103856;"WHITNEYVILLE INNOVATIVE LEARNING CENTER";"60 CONNOLLY PKWY BLDG 18";"HAMDEN";"CT";6514;"NEW HAVEN";"203-530-8997";"http://www.whitneyvilleinnovative.org/";"whitneyvilleinnovative@aol.com";"We provide a nurturing and creative environment focusing on the social, emotional, physical and intellectual needs of each child.  Our Student to teacher ratio in our preschool is 5-1.";"http://www.whitneyvilleinnovative.org/";;"9am-2pm";;;;"n";"n";"y";"y";"n";"n";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103855;"HARMONY KIDS CONNECTICUT";"1315 DIXWELL AVE";"HAMDEN";"CT";6514;"NEW HAVEN";"203-230-9191";"http://www.harmony-kids.com/hours-locations/hamden/";"childcare@harmony-group.com";"We believe each child is special and holds the future in their hands. Children are active learners; creating knowledge and learning through their daily experiences with materials and people. Every child is an individual, with unique strengths, interests, personality, and approach to learning.";"http://www.harmony-kids.com/hours-locations/hamden/";;"6:30am to 6:00pm
Monday through Friday";;"http://www.harmony-kids.com/registration/";;"y";"y";"y";"y";"n";"n";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
