"Program Type";"Number";"Program Name";"Address";"City";"State";"Zip";"Program Status";"Administrator(s)";"County";"License Begin Date";"License Expiration Date";"SUTQ Rating";"Phone";"Type";"Accreditations";"Meals";"Before School Care";"Evening Care";"Special Needs";"Transportation";"After School Care";"Overnight Care";"Field Trips";"Early Childhood Education Grant";"Head Start";"Private Kindergarten";"Publicly Funded Child Care";"Liability Insurance";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday"
"Ohio Department of Education Licensed Preschool";1000018578;"WEST UNION ELEMENTARY SCHOOL";"555 LLOYD RD";"WEST UNION";"OH";45693;"CONTINUOUS LICENSE";;"ADAMS";"September 24, 2011";"Continuous";4;"937-544-2951";"P";;"+";;;;"+";;;"+";"+";;;;;"08:30 AM to 03:45 PM";"08:30 AM to 03:45 PM";"08:30 AM to 03:45 PM";"08:30 AM to 03:45 PM";"08:30 AM to 03:45 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";503885;"ABC 123 ENRICHMENT CENTER";"600 N. WEST ST";"LIMA";"OH";45804;"CONTINUOUS LICENSE";;"ALLEN";"April 7, 2009";"Continuous";2;"419-228-5439";"C";;;;;;;;;;;;;"+";;"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED"
"Licensed Type A Family Child Care Home";2210025464;"ALL MY ANGELS";"657 PROSPECT AVE";"LIMA";"OH";45804;"PROVISIONAL LICENSE";;"ALLEN";"February 14, 2022";"February 13, 2023";;"785-761-6140";"A";;"+";;"+";;;;"+";;;;;"+";"+";"06:00 AM to 07:00 PM";"06:00 AM to 07:00 PM";"06:00 AM to 07:00 PM";"06:00 AM to 07:00 PM";"06:00 AM to 07:00 PM";"06:00 AM to 07:00 PM";"06:00 AM to 07:00 PM"
"Ohio Department of Education Licensed Preschool";1000019105;"ALLEN COUNTY ESC PRESCHOOL";"600 SCHOOL ST";"SPENCERVILLE";"OH";45887;"CONTINUOUS LICENSE";;"ALLEN";"September 24, 2011";"Continuous";4;"419-647-4111";"P";;;;;;;;;"+";;;;;;"09:00 AM to 11:45 PM";"09:00 AM to 11:45 PM";"09:00 AM to 11:45 PM";"09:00 AM to 11:45 PM";"CLOSED";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1180017819;"ALLEN EAST ELEMENTARY SCHOOL";"9105 HARDING HWY";"HARROD";"OH";45850;"CONTINUOUS LICENSE";;"ALLEN";"August 14, 2018";"Continuous";4;;"P";;;;;;"+";;;;;;;;;"08:00 AM to 03:00 PM";"08:00 AM to 03:00 PM";"08:00 AM to 03:00 PM";"08:00 AM to 03:00 PM";"08:00 AM to 03:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";500022;"ALLEN EAST HEAD START";"9520 HARROD RD";"HARROD";"OH";45850;"CONTINUOUS LICENSE";"Kristen Jordan";"ALLEN";"September 30, 2010";"Continuous";4;"419-227-7118";"C";;"+";;;;"+";;;"+";;"+";;;;"09:00 AM to 03:00 PM";"09:00 AM to 03:00 PM";"09:00 AM to 03:00 PM";"09:00 AM to 03:00 PM";"09:00 AM to 03:00 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";2220026753;"BLING INTERNATIONAL CHILD CARE";"1170 ADAMLEE G";"LIMA";"OH";45801;"PROVISIONAL LICENSE";;"ALLEN";"November 10, 2022";"November 9, 2023";;"415-314-4699";"B";;"+";"+";;;"+";;"+";;;;;;;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";500147;"BLUFFTON COMMUNITY PRESCHOOL";"112 MAIN STREET";"BLUFFTON";"OH";45817;"CONTINUOUS LICENSE";"AMBER BINGLEY";"ALLEN";"September 19, 2012";"Continuous";;"419-358-0268";"C";;;;;;;;;;;;;;;"08:15 AM to 02:45 PM";"08:15 AM to 02:45 PM";"08:15 AM to 02:45 PM";"08:15 AM to 02:45 PM";"08:15 AM to 02:45 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";503131;"BROADWAY KIDS PLACE";"213 NORTH BROADWAY";"SPENCERVILLE";"OH";45887;"CONTINUOUS LICENSE";"DANIELLE WIEGING";"ALLEN";"October 29, 2003";"Continuous";;"419-647-6609";"C";;;"+";;;;"+";;;;;;;;"07:00 AM to 05:00 PM";"07:00 AM to 05:00 PM";"07:00 AM to 05:00 PM";"07:00 AM to 05:00 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";503231;"CENTRAL HEAD START";"540 S. CENTRAL";"LIMA";"OH";45804;"CONTINUOUS LICENSE";"JANET BUCHANAN";"ALLEN";"January 30, 2003";"Continuous";4;"419-227-9953";"C";;"+";"+";;;;"+";;"+";;"+";;"+";;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";500250;"CHILDREN'S DEVELOPMENTAL CENTER";"1001 BELLEFONTAINE AVE";"LIMA";"OH";45804;"CONTINUOUS LICENSE";"Elisha Reineke";"ALLEN";"January 23, 1973";"Continuous";;"419-226-5046";"C";;"+";;;;;;;;;;;;;"07:45 AM to 02:45 PM";"07:45 AM to 02:45 PM";"07:45 AM to 02:45 PM";"07:45 AM to 02:45 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";502840;"CORNERSTONE EARLY LEARNING CENTER";"2000 N COLE";"LIMA";"OH";45801;"CONTINUOUS LICENSE";"Shekeree Washington";"ALLEN";"October 17, 2001";"Continuous";2;"419-228-9157";"C";;"+";"+";;;;"+";;"+";;;;"+";;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";982843635;"CURTIS, JOYCE";"1412 PLAINFIELD DR";"LIMA";"OH";45805;"CONTINUOUS LICENSE";;"ALLEN";"January 1, 2014";"Continuous";;"419-228-1584";"B";;"+";"+";"+";;"+";"+";"+";;;;;"+";"+";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM"
"Ohio Department of Education Licensed Preschool";1000019825;"ELIDA SCHOOL";"300 PIONEER RD";"LIMA";"OH";45807;"CONTINUOUS LICENSE";;"ALLEN";"August 17, 2012";"Continuous";4;;"P";;"+";;;;"+";;;"+";"+";;;;;"08:30 AM to 03:45 PM";"08:30 AM to 03:45 PM";"08:30 AM to 03:45 PM";"08:30 AM to 03:45 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";402581;"FIRST BAPTIST DAY CARE";"451 N CABLE RD";"LIMA";"OH";45805;"CONTINUOUS LICENSE";"Kassaundra Bergdall, MICHELLE BAUMGARDNER";"ALLEN";"September 5, 1986";"Continuous";2;"419-224-4189";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Type A Family Child Care Home";500033;"FLORA'S LIL FLOWERS";"2245 N. GLENWOOD AVE";"LIMA";"OH";45805;"CONTINUOUS LICENSE";"FLORA WHITE";"ALLEN";"December 22, 2010";"Continuous";;"419-224-6408";"A";;"+";"+";"+";;;"+";"+";;;;;"+";;"05:00 AM to 11:45 PM";"05:00 AM to 11:45 PM";"05:00 AM to 11:45 PM";"05:00 AM to 11:45 PM";"05:00 AM to 11:45 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000017708;"FREEDOM ELEMENTARY SCHOOL";"575 CALUMET AVE";"LIMA";"OH";45804;"CONTINUOUS LICENSE";;"ALLEN";"September 24, 2011";"Continuous";4;"419-996-3380";"P";;;;;;;;;;;;;;;"09:00 AM to 02:00 PM";"09:00 AM to 02:00 PM";"09:00 AM to 02:00 PM";"09:00 AM to 02:00 PM";"09:00 AM to 02:00 PM";"CLOSED";"CLOSED"
"Licensed Type A Family Child Care Home";2220026744;"HEAVEN'S KIDDI CARE";"1544 OAKLAND PARKWAY";"LIMA";"OH";45805;"PROVISIONAL LICENSE";;"ALLEN";"October 12, 2022";"October 11, 2023";;"419-371-8603";"A";;"+";"+";"+";;"+";"+";"+";"+";;;;"+";"+";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM"
"Ohio Department of Education Licensed Preschool";1000018364;"HERITAGE ELEMENTARY SCHOOL";"816 COLLEGE AVE";"LIMA";"OH";45805;"CONTINUOUS LICENSE";;"ALLEN";"September 24, 2011";"Continuous";4;"419-996-3390";"P";;;;;;;;;;;;;;;"08:30 AM to 03:30 PM";"08:30 AM to 03:30 PM";"08:30 AM to 03:30 PM";"08:30 AM to 03:30 PM";"08:30 AM to 03:30 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000020691;"INDEPENDENCE ELEMENTARY SCHOOL";"615 TREMONT AVE";"LIMA";"OH";45801;"CONTINUOUS LICENSE";;"ALLEN";"August 17, 2015";"Continuous";4;"419-996-3330";"P";;;;;;;;;;;;;;;"09:00 AM to 02:00 PM";"09:00 AM to 02:00 PM";"09:00 AM to 02:00 PM";"09:00 AM to 02:00 PM";"09:00 AM to 02:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";502588;"JAMES A. RHODES STATE COLLEGE EARLY LEARNING CENTER";"345 S ELIZABETH ST";"LIMA";"OH";45801;"CONTINUOUS LICENSE";"Brandy Theis";"ALLEN";"January 22, 1999";"Continuous";;"419-223-1044";"C";;"+";;;;;;;;;;;"+";;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Type A Family Child Care Home";500283;"KIDS CLUB HOUSE";"801 BRICE AVE";"LIMA";"OH";45801;"CONTINUOUS LICENSE";"DONDRA MILLS";"ALLEN";"June 4, 2015";"Continuous";2;"419-371-6046";"A";;"+";"+";"+";;;"+";;"+";;;;"+";"+";"06:00 AM to 12:30 AM";"06:00 AM to 12:30 AM";"06:00 AM to 12:30 AM";"06:00 AM to 12:30 AM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";500196;"KINGDOM DAYCARE";"1575 E. HIGH ST";"LIMA";"OH";45804;"CONTINUOUS LICENSE";"Kiara Moore";"ALLEN";"August 28, 2013";"Continuous";;"419-225-8888";"C";;"+";"+";;;;"+";;;;"+";;"+";;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2200022154;"LANGUAGES AND TUTORING ACADEMY";"406 S CABLE RD";"LIMA";"OH";45805;"CONTINUOUS LICENSE";"Lilia Jmiai";"ALLEN";"April 20, 2021";"Continuous";2;"419-575-7500";"C";;;"+";;;;"+";;;;;;"+";;"07:30 AM to 07:00 PM";"07:30 AM to 07:00 PM";"07:30 AM to 07:00 PM";"07:30 AM to 07:00 PM";"07:30 AM to 07:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";500130;"LEARNING CASTLE CHILD CARE CENTER-WEST";"1251 NORTH COLE STREET";"LIMA";"OH";45801;"CONTINUOUS LICENSE";"Amy Strait";"ALLEN";"August 15, 2012";"Continuous";2;"567-712-6295";"C";;;;;;;;;;;;;"+";;"05:00 AM to 11:45 PM";"05:00 AM to 11:45 PM";"05:00 AM to 11:45 PM";"05:00 AM to 11:45 PM";"05:00 AM to 11:45 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";502731;"LEARNING TREE CHILD CARE CENTER";"775 S THAYER ROAD";"LIMA";"OH";45806;"CONTINUOUS LICENSE";"ANDREA STOUT, SHANDA COX";"ALLEN";"March 16, 2001";"Continuous";;"419-229-5484";"C";;"+";"+";;;"+";"+";;"+";;;;;;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 05:30 PM";"CLOSED";"CLOSED"
"Registered Day Camp";2210024337;"LIMA FAMILY YMCA";"345 SOUTH ELIZABETH ST.";"LIMA";"OH";45801;;;"ALLEN";;;;"419-223-6045";"D";;;;;;;;;;;;;;;"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED"
"Licensed Child Care Center";2220025924;"LIMA SR. EARLY HEAD START";"1 SPARTAN WAY";"LIMA";"OH";45804;"PROVISIONAL LICENSE";"Lakeisha White-Sigman";"ALLEN";"May 31, 2022";"May 30, 2023";4;"419-227-2586";"C";;"+";;;;"+";;;;"+";"+";;;;"08:00 AM to 03:00 PM";"08:00 AM to 03:00 PM";"08:00 AM to 03:00 PM";"08:00 AM to 03:00 PM";"08:00 AM to 03:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";500244;"LITTL RASCALS CHILD DEVELOPMENT CENTER";"1401 S SUGAR STREET";"LIMA";"OH";45804;"CONTINUOUS LICENSE";"Leslie Jenkins, KENDRA JOHNSON";"ALLEN";"April 30, 2014";"Continuous";2;"419-991-2273";"C";;"+";;;;;;;;;"+";;"+";;"05:00 AM to 05:00 PM";"05:00 AM to 05:00 PM";"05:00 AM to 05:00 PM";"05:00 AM to 05:00 PM";"05:00 AM to 05:00 PM";"CLOSED";"CLOSED"
"Licensed Type A Family Child Care Home";2170016489;"LITTLE MINDS LEARN HOME DAYCARE";"815 CATALPA AVE.";"LIMA";"OH";45804;"CONTINUOUS LICENSE";;"ALLEN";"April 18, 2018";"Continuous";;"567-289-5583";"A";;;;;;;;;;;;;"+";;"08:00 AM to 04:30 PM";"08:00 AM to 04:30 PM";"08:00 AM to 04:30 PM";"08:00 AM to 04:30 PM";"08:00 AM to 03:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2200021756;"LITTLE ROCKIES LEARNING CENTER";"1932 CHARLEDON AVE";"LIMA";"OH";45804;"CONTINUOUS LICENSE";"Matthew Wilder";"ALLEN";"July 17, 2020";"Continuous";2;"567-289-9003";"C";;"+";"+";"+";;;"+";;;;;;"+";;"05:30 AM to 07:30 PM";"05:30 AM to 07:30 PM";"05:30 AM to 07:30 PM";"05:30 AM to 07:30 PM";"05:30 AM to 07:30 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000020697;"MARIMOR SCHOOL";"2550 ADA RD";"LIMA";"OH";45801;"CONTINUOUS LICENSE";;"ALLEN";"August 28, 2015";"Continuous";4;"419-222-1836";"P";;;;;;;;;"+";;;;;;"08:00 AM to 02:30 PM";"08:00 AM to 02:30 PM";"08:00 AM to 02:30 PM";"08:00 AM to 02:30 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";503232;"MARKET STREET HEAD START";"1100 W. MARKET STREET";"LIMA";"OH";45805;"CONTINUOUS LICENSE";"Kim Crawford";"ALLEN";"September 25, 2003";"Continuous";4;"419-227-9980";"C";;"+";;;;"+";;;"+";;"+";;;;"08:30 AM to 03:30 PM";"08:30 AM to 03:30 PM";"08:30 AM to 03:30 PM";"08:30 AM to 03:30 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";502909;"NEW CREATION CHILDCARE CENTER";"109 W MAIN STREET";"ELIDA";"OH";45807;"CONTINUOUS LICENSE";"CYNTHIA METZNER";"ALLEN";"January 3, 2002";"Continuous";;"419-339-8191";"C";;"+";"+";;;;"+";;"+";;;;"+";;"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED"
"Licensed Child Care Center";500034;"NORTHSIDE MENNONITE CHILD CARE CENTER";"1318 N MAIN ST";"LIMA";"OH";45801;"CONTINUOUS LICENSE";"Dawn Wills";"ALLEN";"August 15, 1970";"Continuous";;"419-222-1222";"C";;"+";"+";;;;"+";;"+";;;;"+";;"06:15 AM to 05:30 PM";"06:15 AM to 05:30 PM";"06:15 AM to 05:30 PM";"06:15 AM to 05:30 PM";"06:15 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";503196;"O'NEAL AND HOWARD HEAD START";"1825 REESE AVE.";"LIMA";"OH";45804;"CONTINUOUS LICENSE";"Kim Schultheis, Elisabeth Parker";"ALLEN";"October 1, 2003";"Continuous";4;"419-227-2586";"C";;"+";;;;"+";;;"+";;"+";;;;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2170015503;"PHILLIPPIAN HEAD START";"190 E. 8TH ST.";"LIMA";"OH";45804;"CONTINUOUS LICENSE";"Marissa Wicker, Beth VonDeylen";"ALLEN";"August 21, 2017";"Continuous";4;"419-227-2586";"C";;"+";;;;;;;"+";;"+";;;;"09:00 AM to 03:00 PM";"09:00 AM to 03:00 PM";"09:00 AM to 03:00 PM";"09:00 AM to 03:00 PM";"09:00 AM to 03:00 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";2200021984;"PRECIOUS MOMENTS DAYCARE";"315 E 4TH ST";"LIMA";"OH";45804;"CONTINUOUS LICENSE";;"ALLEN";"March 1, 2021";"Continuous";;"419-890-1850";"B";;"+";"+";"+";;;"+";;"+";;;;"+";;"05:00 AM to 06:00 PM";"05:00 AM to 06:00 PM";"05:00 AM to 06:00 PM";"05:00 AM to 06:00 PM";"05:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2220026447;"REGTEST6.12UPDATELIC";"COL TEST";"LIMA";"OH";45804;"PROVISIONAL LICENSE";;"ALLEN";"June 12, 2022";"June 11, 2023";;"111-111-1111";"C";;;;;;;;;;;;;"+";;"CLOSED";"MIDNIGHT to 04:15 AM";"CLOSED";"CLOSED";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";502440;"ROBIN ROGERS DAY SERVICE";"546 S COLLETT ST";"LIMA";"OH";45805;"CONTINUOUS LICENSE";"BRAD PERROTT";"ALLEN";"July 5, 2000";"Continuous";;"419-225-6285";"C";;;;;;;;;;;;;;;"07:30 AM to 05:30 PM";"07:30 AM to 05:30 PM";"07:30 AM to 05:30 PM";"07:30 AM to 05:30 PM";"07:30 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Type A Family Child Care Home";2170015510;"SAFE HAVEN FAMILY CHILDCARE";"1180 W. HIGH ST.";"LIMA";"OH";45805;"CONTINUOUS LICENSE";"Domanica Ede";"ALLEN";"September 11, 2017";"Continuous";2;"419-303-0601";"A";;"+";"+";"+";;"+";"+";"+";"+";;;;"+";;"05:00 AM to 05:00 PM";"05:00 AM to 05:00 PM";"05:00 AM to 05:00 PM";"05:00 AM to 05:00 PM";"05:00 AM to 05:00 PM";"05:00 AM to 05:00 PM";"05:00 AM to 05:00 PM"
"Licensed Child Care Center";401678;"SHAWNEE CHILDREN'S PROGRAM";"2223 SHAWNEE RD";"LIMA";"OH";45805;"CONTINUOUS LICENSE";"JOANNE URISH";"ALLEN";"December 16, 1983";"Continuous";2;"419-224-3742";"C";;;;;;;;;;;;;"+";;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";500543;"SHAWNEE WEEKDAY EARLY LEARNING CENTER";"2600 ZURMEHLY RD";"LIMA";"OH";45806;"CONTINUOUS LICENSE";"Cheryl Munson";"ALLEN";"September 30, 1974";"Continuous";4;"419-991-4806";"C";;;;;;;;;;;;;"+";;"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"06:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";504348;"SHAWNEE WEEKDAY EARLY LEARNING CENTER";"2875 BLUE JACKET CT";"LIMA";"OH";45806;"CONTINUOUS LICENSE";"Amber Collier";"ALLEN";"April 14, 2010";"Continuous";4;"419-221-0094";"C";;"+";;;;;;;;;"+";;"+";;"06:00 AM to 05:30 PM";"06:00 AM to 05:30 PM";"06:00 AM to 05:30 PM";"06:00 AM to 05:30 PM";"06:00 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";504226;"SMART START DEVELOPMENT AND LEARNING CENTER";"797 W ROBB AVE";"LIMA";"OH";45804;"CONTINUOUS LICENSE";"THERESA HENRY";"ALLEN";"June 11, 2009";"Continuous";2;"419-227-5437";"C";;"+";"+";"+";;;"+";;;;"+";;"+";;"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED"
"Ohio Department of Education Licensed Preschool";1000018309;"ST CHARLES";"2175 W ELM ST";"LIMA";"OH";45805;"CONTINUOUS LICENSE";;"ALLEN";"September 24, 2011";"Continuous";;"419-222-2536";"P";;;;;;;;;;;;;;;"07:30 AM to 03:00 PM";"07:30 AM to 03:00 PM";"07:30 AM to 03:00 PM";"07:30 AM to 03:00 PM";"07:30 AM to 03:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018330;"ST GERARD";"1311 N MAIN ST";"LIMA";"OH";45801;"CONTINUOUS LICENSE";;"ALLEN";"September 24, 2011";"Continuous";4;"419-222-0431";"P";;"+";;;;;;;"+";"+";;;;;"07:45 AM to 02:45 PM";"07:45 AM to 02:45 PM";"07:45 AM to 02:45 PM";"07:45 AM to 02:45 PM";"07:45 AM to 02:45 PM";"CLOSED";"CLOSED"
