"FacilityID";"InspectionID";"Inspection Date";"Inspection Result"
"BronxDC36646";"eefad003debe8c0107165b2563119ea0";" 12/16/21";
"BronxDC36648";"ef4e94a5fe655d2fd1ebce0e75372dfb";" 8/27/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC36650";"fddc7510564e9185ac59270e795875ce";" 11/19/21";" Monitoring Inspection Non-Routine - Passed inspection; Violations corrected at time of inspection"
"BronxDC20320";"01981656c2881abe3d5607346d83a1cb";" 9/1/21";
"BronxDC19580";"5aeb23656684665227823760b45d4aa8";" 9/1/21";
"BronxDC14301";"59233c5a610a4850ab04c31c6570abc2";" 11/5/21";
"BronxDC34597";"9783606aa299c3120571d5059d2863ca";" 12/3/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC2000";"c6b1cb1cbf3c7e424a0388a7969eba53";" 12/21/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC35954";"fea1de8080a9e575e041c7c12166a41f";" 11/23/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC2029";"99cbd7bd76ef69ec7d34326361ca4f03";" 1/25/22";" Initial Annual Inspection - Reinspection Required; Fines pending"
"BronxDC39098";"73c9cd71d4927f353ff13a5add5948b5";" 11/4/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC25256";"32aa91cda8980c3e15bd808e3ca5a187";" 10/29/21";" Monitoring Inspection Non-Routine - Reinspection Required; Fines pending"
"BronxDC40133";"ac13322c51d807afde5b210a27790c22";" 5/12/21";
"BronxDC35286";"4f80ef24d4eafa7bf1bb6b67936e2b8c";" 8/18/21";
"BronxDC35558";"fb89fa4daee1de081570f2322afc9be8";" 12/21/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC26083";"e880e2ced52792747dd26cd3092b2157";" 1/5/22";
"BronxDC17640";"9c68395a156867daf4d4bace405068ae";" 10/13/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC2090";"1a45b2c87b82df3165c6d6a2f95bfd9a";" 7/15/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC40374";"35136e2a3c4bb0e8d57b69bbcb531411";" 12/1/21";" Initial Annual Inspection - Reinspection Required"
"BronxDC1826";"316eee8b745001d9f2f3a16c1ed7d4bc";" 7/2/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC19116";"137e20a3a02b1539f1d3edbeb849aa89";" 8/18/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC19406";"d6e07888698eb601e5642208320644a7";" 10/13/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC608";"5992d42becb59149bef7e026fdf75280";" 9/14/21";
"BronxDC1577";"d405df0abedf70e075f0010098df8655";" 10/28/21";" Compliance Inspection of Open Violations - Reinspection Not Required"
"BronxDC1623";"d5a7c213479127d2910a141ede082709";" 10/20/21";
"BronxDC25181";"577aba946abd3350ae9e760496cf4aba";" 10/6/21";
"BronxDC33680";"30c05a1e0baca2f7dc126eb80801513f";" 10/7/21";" Compliance Inspection of Open Violations - Reinspection Not Required"
"BronxDC36360";"fd89a547cc930a6294cfa4ea8d7c8f9d";" 1/27/22";
"BronxDC22849";"704bdd05aa5468e4330f936c9c094cfb";" 11/17/21";
"BronxDC1624";"92c41cdc76fa42296976e471b3b1b6c8";" 5/25/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC12272";"4068652b325f1c7085791e7879766846";" 8/12/21";
"BronxDC37690";"e7f7b418d21796917e728d7a88f70c97";" 10/14/21";" Compliance Inspection of Open Violations - Reinspection Required; Fines pending"
"BronxDC1628";"d13de97cbb3fa23a207405be9b39669e";" 10/13/21";
"BronxDC25860";"e4cb2b88bd4cde79d330d59109f845ea";" 1/26/22";
"BronxDC25861";"65f4e9185a6747bcc07d8e8c202e9bae";" 12/1/21";
"BronxDC25851";"e4cac7e106b254937edc3253649c3d47";" 10/15/21";
"BronxDC25857";"4affde048f06ea4c02c0df33f5be28dd";" 11/16/21";
"BronxDC38562";"5e49ae577aa30ae99d0b0acb8de2813d";" 3/12/20";
"BronxDC31925";"a139ccb595d66bf89dd796bd03ae4bce";" 9/15/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC15570";"46cb9b58d6b26945608f64584cf8daaa";" 10/6/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC25355";"ecacc7f0c89a00c98f5d21d2cc77a693";" 11/16/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC36182";"8aba8cf6b92fa359bc472737478c72c0";" 1/26/22";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC11969";"9259a972eb45af064b60ba2ef0ed3f9c";" 11/16/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC36579";"eeb503b875610fcc0b1c44f322cc11b8";" 9/14/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC19521";"179f91d56c56268f03e5eed85c9f60f0";" 12/7/21";" Initial Annual Inspection - Reinspection Required"
"BronxDC31876";"08c96aeea8fc7ea4e585cc8033d0f2bf";" 9/23/21";
"BronxDC809";"703c7ee048b01984310d56dfd1715f29";" 7/8/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC17107";"5ace376de1b25dd462879d935b61c92e";" 10/13/21";
"BronxDC36736";"363ce8f639b5c2930b00a8adc3f46ba9";" 9/21/21";
"BronxDC34819";"fa5c204049af97a12af13b8d6d4bacc0";" 12/13/21";" Monitoring Inspection Non-Routine - Passed inspection with no violations"
"BronxDC17811";"ec1b6f8d02a9d42b87dd5c012fe365c4";" 12/15/21";
"BronxDC36827";"b51ce7c430ef1176451cb0aae08dbde1";" 11/30/21";
"BronxDC36829";"e628bc2e6f132b1b11ea1aeb1e665728";" 11/30/21";
"BronxDC34932";"c3400fd1a7566c9715b92a9ceb31a038";" 11/3/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC33510";"cdc094e05168c69868d9ae9f850bea43";" 10/14/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC18943";"1030cf84da0524a18b1e03c9f123b40b";" 3/3/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC181";"f47fcfc9428b476c0d3ab2975f8753bc";" 12/28/21";" Compliance Inspection of Open Violations - Previously cited violations corrected"
"BronxDC182";"796fcb73251800e04b8fd0e364089ecb";" 7/8/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC14111";"557147cfcc67003f1ff5d32f9c87d2e7";" 12/3/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC1643";"78d7dbf54a4c127616b01adfe21b87f1";" 10/27/21";
"BronxDC17787";"2c5e82a819d3ed2ae691f5f3256416a1";" 8/26/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC37279";"b43cc8e084ebb6b13c008eb4ccca57bc";" 1/14/22";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC24845";"d078d57b2ba68b606a0d1b383363c23d";" 2/1/22";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC1814";"62891461cd06fbe3935d152dce448760";" 9/25/20";" Compliance Inspection of Open Violations - Previously cited violations corrected"
"BronxDC32173";"31e6fc77342d0d026c220aab546ed6b4";" 12/1/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC32160";"d293e9a498282e59f365394305fbf7e3";" 10/5/21";
"BronxDC1648";"cbca3d86b1bfd144da13781798920873";" 5/14/21";
"BronxDC32212";"ed7818c720277862baf97811cd8dc7a1";" 1/13/22";" Initial Annual Inspection - Reinspection Required; Fines pending"
"BronxDC1588";"649f1bac7c9c3ce7dc183eeeb5c8c38e";" 7/29/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC14269";"29d96491483f115981f1fd2f55519f21";" 9/13/21";
"BronxDC2001";"e6548482b567e721ed8942c7849b8e43";" 7/12/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC21622";"21ceceaa1eda9831c4c47f0bacef713e";" 11/22/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC21623";"b0e1e98ec690b41eb475c136628d34cd";" 11/22/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC32837";"4f97ad2f5b8b49d0069d107a42d18dd1";" 9/28/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC1616";"2f5c88330d2db01760c4b7193e32c628";" 5/5/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC1842";"7125dc37d4c91e0c6c97000bc1a0cfa4";" 9/22/21";" Compliance Inspection of Open Violations - Previously cited violations corrected"
"BronxDC1463";"c7add007ab6cfa72202ac969b7d11eac";" 2/1/22";
"BronxDC844";"6f0f392e91e4db3356c9a81f03845809";" 1/25/22";" Compliance Inspection of Open Violations - Reinspection Not Required"
"BronxDC965";"922914a04532528f284ed632239024a2";" 12/3/20";" Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection"
"BronxDC11540";"1f6c4e7f4a9772cae31e6f940cfc00e8";" 9/9/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC2034";"f80d0c3958d5fd296701fe1a92dd79da";" 12/8/21";" Monitoring Inspection Non-Routine - Passed inspection with no violations"
"BronxDC1748";"a71fe9dbd4c21ce0f4dd2bbde0051678";" 12/22/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC1749";"525da17fa578e1dff3e122e2f57b7785";" 1/19/22";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC1750";"7f89e335db36150691e2d4b4e7fb5180";" 12/2/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC1618";"90768846863123dc1e471181eb4279e5";" 1/12/22";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC16735";"dfb1df5a702dc57231ff14c28e8bccad";" 1/12/22";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC1619";"a78eb3df933ef53eabaf9df88f887e6e";" 1/27/22";
"BronxDC1837";"4345b8aa3aab3f477ef6ffb5c5a7b8bc";" 11/15/21";" Initial Annual Inspection - Reinspection Required; Fines pending"
"BronxDC19532";"49155bddd978564acb8d262d7e0676d0";" 12/21/21";" Compliance Inspection of Open Violations - Reinspection Required"
"BronxDC37811";"f02211908e8e903fdb3616973f33008e";" 12/10/21";" Compliance Inspection of Open Violations - Reinspection Required; Fines pending"
"BronxDC14236";"62b38e3531e3a5183bc5003f731eabe0";" 1/5/22";
"BronxDC16961";"9ba0a42b6c36ffc4271aebfc523ce138";" 3/23/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC32498";"8136005d07d71c873e095414902fef30";" 4/19/21";" Initial Annual Inspection - Reinspection Required"
"BronxDC10529";"3a2662be83b868dfad0758affc8fb39c";" 1/19/22";
"BronxDC1983";"95920bf7e13fa5ad229040980df4fa49";" 1/27/22";
"BronxDC22832";"7fcb64c1438e2f48254785a9fe98dc5a";" 12/6/21";
"BronxDC15136";"6e5f8c086756f4d8583affef9cc5ffa2";" 1/27/22";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC32877";"d8a99d83c7feb7aaa821b5d720678b17";" 1/27/22";" Initial Annual Inspection - Reinspection Required; Fines pending"
"BronxDC981";"72c8dec120544e3695d342e12e0e30eb";" 3/24/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC817";"fa88fadb27dda91947d9f467be76f734";" 11/8/21";
"BronxDC188";"aa047a191f46a588723607bb0d4f32c1";" 7/12/21";" Monitoring Inspection Non-Routine - Passed inspection with no violations"
"BronxDC336";"2cbd2ae1f1f69f6a9e19a52e93014242";" 5/21/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC21654";"1c90148729cd99206a3cce73460b2478";" 9/15/20";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC20108";"814266f1d2d28020f6aae55325bfc24e";" 11/17/21";
"BronxDC2087";"b9398895632a565ec321144285677f32";" 1/26/22";
"BronxDC33401";"175080f4e6639b2a042792c039956037";" 10/7/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC39903";"f26e3ab2641cd93fa015687b43fd1668";" 12/17/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC14770";"058448caac360d091b45967610544147";" 10/13/21";
"BronxDC32403";"a8382b5fe5d620769118989dd0a66038";" 11/23/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC32511";"981697d67eda28c48be8f6d87b79b4b0";" 5/26/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC37627";"5b65c5e91e1e96d268a66c6e8d517e5f";" 2/24/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC35209";"20ac1758932cead8a1e9624eaa49fe09";" 12/2/21";" Monitoring Inspection Non-Routine - Reinspection Required; Fines pending"
"BronxDC38640";"ba87572bc848dcf1a9e39615acde833d";" 1/13/22";" Monitoring Inspection Non-Routine - Passed inspection with no violations"
"BronxDC1835";"9a37365d05e08dbb4bdc1c2a47bb35f3";" 1/24/22";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC32876";"eec4c8bcaf0474e4964157052a9984b4";" 2/24/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC21141";"bc692b8356675369ae53560b8170f97e";" 10/28/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC35627";"f9de8aa33b7df361a821715ca52bb04e";" 8/4/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC32641";"090c111a0e6c00aff6aaaa007e74ad84";" 4/6/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC35632";"54f900de4cf670a4024aa4fcdc995d3f";" 11/10/21";" Monitoring Inspection Non-Routine - Reinspection Not Required"
"BronxDC36070";"9767874422032ec3e18c00c2f78f41bb";" 12/23/21";" Compliance Inspection of Open Violations - Reinspection Not Required"
"BronxDC36069";"4043f79a97f86d12a488e6fffc38c80b";" 1/26/22";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC22683";"d2175f011c5b4ee0476c2b21ba09c8db";" 9/21/21";
"BronxDC1977";"81e36be3af070a0627159739a85a0fbc";" 9/28/21";
"BronxDC37208";"91acd06e04ca276a06372e315fcbed9f";" 9/28/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC37979";"d26559b10b21e2bfd3605df7018a2f33";" 9/28/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC339";"68ae038b030529eda5fa812aed126cf8";" 11/10/21";
"BronxDC20469";"0b270777aadcb480014b2975f07b2a56";" 1/26/22";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC20618";"2bc60f13482d2f45fef16aa5a297d6e1";" 10/8/21";
"BronxDC35294";"32a3d7ddfee5f88340a25a5a1c070673";" 12/22/21";
"BronxDC35291";"6fbca7f1e6362c86c1b239f97f85f3d2";" 12/20/21";" Monitoring Inspection Non-Routine - Reinspection Required; Violations corrected at time of inspection"
"BronxDC40663";"0100ee6bb47088e96bc590199f88a6a0";" 12/21/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC40505";"6b178a7353b27c19d2aa56b3c284434a";" 10/13/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC22393";"963567b5a89177cd4a77aef117f63db8";" 11/30/21";
"BronxDC24606";"04c8cc0c3ffcb0177e96e14779165774";" 5/12/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC24608";"f22269a0c4d1e22f342e056d62772be9";" 9/29/21";
"BronxDC189";"29a5339d8a764256bfbe62ead8b71f16";" 11/10/21";" Compliance Inspection of Open Violations - Previously cited violations corrected"
"BronxDC33590";"2a209a99730618769a6c96bdf52313b1";" 8/20/21";
"BronxDC36265";"a8fdee5b64946af50c1468c1ee3c0749";" 9/23/21";
"BronxDC37464";"a0156e6e1c272c08a209e4941ef7a80c";" 11/3/21";
"BronxDC24597";"c9d2fbd3024bb75b5b66aaf8629aee6b";" 12/1/21";
"BronxDC23087";"218ccf3c27401f6ae15a476d58477bda";" 2/1/22";
"BronxDC37737";"70f336738b7ce42eabea43a0bb544d67";" 11/17/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC316";"32d2fb9e9f675ec0e6a3c2d7cc7d70f5";" 12/14/21";
"BronxDC32737";"7667a1308a0c8108c375fe8e1eb03824";" 9/15/21";" Initial Annual Inspection - Reinspection Required"
"BronxDC38758";"c4f17a1ae98db0c4145917e9bbfd0470";" 11/9/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC20983";"43623d1681bc65feefa57300b0988152";" 12/22/21";" Compliance Inspection of Open Violations - Reinspection Required; Fines pending"
"BronxDC1956";"3787d3252a6eb3baf9b6d99fd240d0f4";" 1/25/22";" Compliance Inspection of Open Violations - Reinspection Required"
"BronxDC33962";"1df386cc05b563d9d720c721510b72aa";" 3/10/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC35229";"278f76bc30ef8fe9d4709a9227c8ea13";" 4/30/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC346";"6e7737e9ea21464f096759e7b7183473";" 12/23/21";
"BronxDC37633";"9a4c63c7ac687b814a827aae2b10cf81";" 12/3/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC374";"140fd37b268f2846e5fb407d2a4dea42";" 12/9/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC23175";"4833db33e9edc6092cc03ce7016f0685";" 12/14/21";
"BronxDC11641";"d387946460fa052c74a847f184c01bf6";" 8/4/21";
"BronxDC1829";"7cb9f045e374c116631269e05a6736c8";" 5/11/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC19160";"5361466b20b9537ed0453a402efdbc73";" 1/21/22";
"BronxDC22947";"ad22192d791b91e7930b190e9a4ea815";" 6/9/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC22873";"d429e09dec2fbfcb989412509e727058";" 6/9/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC22791";"1752063e41df03d441b763fc1fc4fb77";" 1/27/22";
"BronxDC36659";"c406487cbd4b441d3e03f948add83a25";" 9/15/20";" Initial Annual Inspection - Reinspection Required"
"BronxDC36657";"d351d87dc1aca7d50ee819a868cbb253";" 8/9/21";" Compliance Inspection of Open Violations - Previously cited violations corrected"
"BronxDC36662";"3b673d7b0bef75f7fd3eda233522c3c8";" 9/15/20";" Initial Annual Inspection - Reinspection Required; Fines pending"
"BronxDC36649";"6d28dc773625e60032528050cc78c49b";" 12/9/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC36655";"50df5aba096b4d8fe07b74bee43876bb";" 8/9/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC36653";"22a036240922f7d721d31baea373a889";" 12/9/21";" Initial Annual Inspection - Reinspection Required; Fines pending"
"BronxDC32531";"7ff8a9e560026d01443f5e647a7f01ce";" 12/1/21";" Compliance Inspection of Open Violations - Reinspection Required; Fines pending"
"BronxDC1980";"56b1a0d660bd26ff4531121b0d82f76a";" 8/11/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC37765";"791d2b9182cab815ec93042a8aff70a8";" 5/21/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC1754";"2357f38fe483becb70787881a897e3b4";" 12/3/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC19535";"af71fc6e393da38ee3eb793654cafb15";" 12/7/21";" Initial Annual Inspection - Reinspection Required"
"BronxDC1757";"aad8d68ddfe823f5c55f7a106c3df73c";" 9/24/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC32750";"b3861378e905f5658a30f48a3a7b8a26";" 8/5/21";" Initial Annual Inspection - Reinspection Required; Fines pending"
"BronxDC1030";"244aa520b97334f61c9be1a27de4ab6f";" 1/14/22";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC35750";"6d72351fef61e4352f36af005ec7c9af";" 11/23/21";
"BronxDC37619";"c92a9881330fdf4b16db74bde9d2f238";" 12/10/21";" Initial Annual Inspection - Reinspection Required"
"BronxDC34865";"a43f360cb09e7334d093eff3cc427adc";" 12/3/21";" Initial Annual Inspection - Reinspection Required; Fines pending"
"BronxDC21811";"4b324345225434741fe6744155bae171";" 12/16/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC12081";"d455d1c2f0fbc242023fd9ae8320acd2";" 7/9/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC36324";"3182d37744e01fce36b53b43c99309e8";" 12/17/21";
"BronxDC246";"440128a2d49ab9aa9ac804856e0deaea";" 5/27/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC32836";"6785e25f431903ceafccaec8e42c0330";" 1/10/22";" Compliance Inspection of Open Violations - Reinspection Required; Fines pending"
"BronxDC26164";"26237a679c88493a760b2116ae5d1799";" 11/15/21";" Monitoring Inspection Non-Routine - Reinspection Not Required"
"BronxDC14237";"bfa1bc9cb68d05230f2f1adee07b9cea";" 10/13/21";
"BronxDC16679";"8668af5689fd056e50724996c229710d";" 11/18/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC38296";"b6237bb147a8d43ac8b80e26a1156882";" 9/30/21";" Compliance Inspection of Open Violations - Previously cited violations corrected"
"BronxDC1603";"fda3e77ad1a974519dcb743bd211a29e";" 1/12/22";" Initial Annual Inspection - Reinspection Required"
"BronxDC873";"6fbe38809866f946f9a972dde468adcf";" 9/30/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC1811";"e6fb3096afc4a94855fe4405c434b400";" 6/2/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection"
"BronxDC1792";"7bc7dd9a423b570136558979bd4c5194";" 8/25/21";
"BronxDC322";"4b58c38e0e34cd93b02f92dd73b14970";" 5/19/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC248";"9ecc10f67762f7f5236fa81df1c8d568";" 5/25/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC1836";"4cf1eeda40ffdf7c765ecc1446adc595";" 5/5/21";" Initial Annual Inspection - Reinspection Required; Fines pending"
"BronxDC20633";"c88b46b834a967c79848e4b80178a11b";" 9/22/21";
"BronxDC284";"61692277320249696ab756c0b6eac418";" 12/14/21";" Initial Annual Inspection - Reinspection Required"
"BronxDC35311";"ea4d039d1f5a2995468db146a483f523";" 11/24/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC17547";"26848be0c2125d42c6ee82d1c72508f5";" 11/30/21";" Initial Annual Inspection - Reinspection Required"
"BronxDC14931";"cbbf9c6414dc54bcd185e7790f1cf47d";" 12/15/21";" Compliance Inspection of Open Violations - Reinspection Required; Fines pending"
"BronxDC37409";"faf0c6bab62a2de0ee7171683fccd07d";" 11/23/21";" Initial Annual Inspection - Reinspection Not Required"
"BronxDC1763";"79b6971344b97b7b767ae9727d9ba770";" 12/9/21";" Initial Annual Inspection - Reinspection Required; Fines pending"
"BronxDC1760";"ff8d241a81ebf03110663d6f53800410";" 12/9/21";" Initial Annual Inspection - Passed inspection with no violations"
"BronxDC39812";"76ae06f3aa1b5e0c51436defbbf5f61f";" 7/13/21";
"BronxDC32065";"28523a90837cbcc1f68a536188250b58";" 1/27/22";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection"
"BronxDC1884";"33aacb606db473e78e7f202cc7ae26bd";" 10/15/21";" Initial Annual Inspection - Reinspection Required; Fines pending"
