"FacilityID";"InspectionID";"Inspection Date";"Violation Summary";"Code Sub Section";"Violation Category";"Violation Status"
"BronxDC36629";"8f4fe213123a179ef927c3d1da38ea9c";" 9/1/21";"At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.";"47.45(b)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC36637";"4b7a56d9740ba84d0c2a42d86121fc9d";" 1/12/22";"At time of inspection it was determined that child care service failed to maintain children's daily attendance records.";"47.27(a)";"Minor violations (General Violations)";"OPEN"
"BronxDC36637";"4b7a56d9740ba84d0c2a42d86121fc9d";" 1/12/22";"Child care service fails to conduct and document daily health assessment of incoming children. Individual Not trained to identify disease.";"47.27(b)";"Minor violations (General Violations)";"OPEN"
"BronxDC36637";"4b7a56d9740ba84d0c2a42d86121fc9d";" 1/12/22";"Cots or other sleep equipment Not placed two feet apart or separated by a partition";"47.55(b)(3)";"Minor violations (General Violations)";"OPEN"
"BronxDC36630";"909d0a4246d806c5206d43ecb38b17ee";" 9/1/21";"Exits and other egress Not provided with required signage at time of inspection.";"47.59(a)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC36647";"2f3db73c1906f84f9799d97b84ae562e";" 11/19/21";"At time of inspection it was observed that children and staff failed to wash hands after using lavatory, after diaper changing, prior to preparation of food or when else required.";"47.35(a)";"Violations requiring immediate correction (Public Health Hazards)";"CORRECTED"
"BronxDC36648";"ef4e94a5fe655d2fd1ebce0e75372dfb";" 8/27/21";"Child care service staff identified/acting as group teachers do Not meet the required qualifications of the position.";"47.13(d)";"Minor violations (General Violations)";"OPEN"
"BronxDC35954";"fea1de8080a9e575e041c7c12166a41f";" 11/23/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC2029";"99cbd7bd76ef69ec7d34326361ca4f03";" 1/25/22";"Exits and other egress Not provided with required signage at time of inspection.";"47.59(a)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC2029";"99cbd7bd76ef69ec7d34326361ca4f03";" 1/25/22";"At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.";"47.59(d)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC25256";"32aa91cda8980c3e15bd808e3ca5a187";" 10/29/21";"Permittee failed to prohibit unsupervised contact with children by any individual for whom screening results have Not been received";"47.19(h)(3)";"Violations requiring immediate correction (Public Health Hazards)";"CORRECTED"
"BronxDC25256";"32aa91cda8980c3e15bd808e3ca5a187";" 10/29/21";"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff";"47.37(b)(4)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC25256";"32aa91cda8980c3e15bd808e3ca5a187";" 10/29/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC35286";"4f80ef24d4eafa7bf1bb6b67936e2b8c";" 8/18/21";"Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved";"47.19(c)(1)";"Violations requiring immediate correction (Public Health Hazards)";"CORRECTED"
"BronxDC35286";"4f80ef24d4eafa7bf1bb6b67936e2b8c";" 8/18/21";"Uncleared staff observed having unsupervised contact with children. Current SCR clearance is over 2 years old. Documents Not available at time of inspection";"47.19(c)(2)";"Violations requiring immediate correction (Public Health Hazards)";"CORRECTED"
"BronxDC35286";"4f80ef24d4eafa7bf1bb6b67936e2b8c";" 8/18/21";"At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.";"47.25(a)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC35286";"4f80ef24d4eafa7bf1bb6b67936e2b8c";" 8/18/21";"At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.";"47.25(a)(1)";"Minor violations (General Violations)";"OPEN"
"BronxDC26083";"e880e2ced52792747dd26cd3092b2157";" 1/5/22";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC26083";"e880e2ced52792747dd26cd3092b2157";" 1/5/22";"At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.";"47.45(b)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC2090";"1a45b2c87b82df3165c6d6a2f95bfd9a";" 7/15/21";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC40374";"35136e2a3c4bb0e8d57b69bbcb531411";" 12/1/21";"School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.";"43.11(b)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC40374";"35136e2a3c4bb0e8d57b69bbcb531411";" 12/1/21";"Each staff member has documentation showing they received 2 doses measles/mumps vaccine, 1 dose rubella vaccine, 2 doses varicella vaccine and 1 dose Tdap";"43.11(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC40374";"35136e2a3c4bb0e8d57b69bbcb531411";" 12/1/21";"Teaching and supervisory staff trained in abuse/maltreatment identification and reporting. 2 hours of training received every 24 months. Training provided by OCFS approved trainer. New staff trained within 3 months of hire";"43.14(a)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC608";"5992d42becb59149bef7e026fdf75280";" 9/14/21";"At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.";"47.41(j)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC1577";"d405df0abedf70e075f0010098df8655";" 10/28/21";"At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.";"47.41(j)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC1623";"d5a7c213479127d2910a141ede082709";" 10/20/21";"At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.";"47.25(a)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC25181";"577aba946abd3350ae9e760496cf4aba";" 10/6/21";"Education Director observed having teaching duties when program enrollment exceeds 40; or 60 if program is part of a school and has a permit or Education Director oversees two co-located programs";"47.13(c)(2)";"Minor violations (General Violations)";"OPEN"
"BronxDC33680";"30c05a1e0baca2f7dc126eb80801513f";" 10/7/21";"At time of inspection hand wash sinks are Not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.";"47.43(e)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC33680";"30c05a1e0baca2f7dc126eb80801513f";" 10/7/21";"Education Director observed having teaching duties when program enrollment exceeds 40; or 60 if program is part of a school and has a permit or Education Director oversees two co-located programs";"47.13(c)(2)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC37690";"e7f7b418d21796917e728d7a88f70c97";" 10/14/21";"Staff submitted immunization record. File maintained confidential. File including electronic available for inspection on site";"43.11(c)(2)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC1628";"d13de97cbb3fa23a207405be9b39669e";" 10/13/21";"Dedicated land line telephone and emergency contact information Not provided or maintained at the time of inspection.";"47.57(a)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC25860";"e4cb2b88bd4cde79d330d59109f845ea";" 1/26/22";"Uncleared staff observed having unsupervised contact with children. Current SCR clearance is over 2 years old. Documents Not available at time of inspection";"47.19(c)(2)";"Violations requiring immediate correction (Public Health Hazards)";"CORRECTED"
"BronxDC25860";"e4cb2b88bd4cde79d330d59109f845ea";" 1/26/22";"At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.";"47.37(b)(1)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC25860";"e4cb2b88bd4cde79d330d59109f845ea";" 1/26/22";"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff";"47.37(b)(4)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC25860";"e4cb2b88bd4cde79d330d59109f845ea";" 1/26/22";"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff";"47.37(b)(4)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC25861";"65f4e9185a6747bcc07d8e8c202e9bae";" 12/1/21";"All staff with potential for unsupervised contact with children including volunteers have Not been cleared";"47.19(a)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC25861";"65f4e9185a6747bcc07d8e8c202e9bae";" 12/1/21";"Adequate space/arrangement to provide separate storage areas for children's outer garments Not provided or maintained at time of inspection.";"47.55(c)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC25851";"e4cac7e106b254937edc3253649c3d47";" 10/15/21";"At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.";"47.49(a)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC25851";"e4cac7e106b254937edc3253649c3d47";" 10/15/21";"Dedicated land line telephone and emergency contact information Not provided or maintained at the time of inspection.";"47.57(a)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC31925";"a139ccb595d66bf89dd796bd03ae4bce";" 9/15/21";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC31925";"a139ccb595d66bf89dd796bd03ae4bce";" 9/15/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC15570";"46cb9b58d6b26945608f64584cf8daaa";" 10/6/21";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC19521";"179f91d56c56268f03e5eed85c9f60f0";" 12/7/21";"Fire drills conducted monthly and logged. Drill log on site and available for inspection upon request of DOHMH and FDNY";"43.22(c)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC31876";"08c96aeea8fc7ea4e585cc8033d0f2bf";" 9/23/21";"At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.";"47.25(a)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC36736";"363ce8f639b5c2930b00a8adc3f46ba9";" 9/21/21";"At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.";"47.37(b)(1)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC17811";"ec1b6f8d02a9d42b87dd5c012fe365c4";" 12/15/21";"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff";"47.37(b)(4)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC17811";"ec1b6f8d02a9d42b87dd5c012fe365c4";" 12/15/21";"At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.";"47.57(b)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC17811";"ec1b6f8d02a9d42b87dd5c012fe365c4";" 12/15/21";"At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate the potential for exposure to choking hazards by children.";"47.57(c)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC1643";"78d7dbf54a4c127616b01adfe21b87f1";" 10/27/21";"At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.";"47.25(a)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC1643";"78d7dbf54a4c127616b01adfe21b87f1";" 10/27/21";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC1643";"78d7dbf54a4c127616b01adfe21b87f1";" 10/27/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC32212";"ed7818c720277862baf97811cd8dc7a1";" 1/13/22";"Required food protection procedures were Not implemented at time of inspection. Holder of food protection certificate was Not on site during hours of food preparation activity.";"47.61(a)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC32212";"ed7818c720277862baf97811cd8dc7a1";" 1/13/22";"At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.";"47.41(j)";"Minor violations (General Violations)";"OPEN"
"BronxDC14269";"29d96491483f115981f1fd2f55519f21";" 9/13/21";"Teacher to child ratios and group size maintained in Group Child Care program";"47.23(f)(1)";"Violations requiring immediate correction (Public Health Hazards)";"CORRECTED"
"BronxDC14269";"29d96491483f115981f1fd2f55519f21";" 9/13/21";"Sufficient trained staff Not provided; staff Not on site; training unsatisfactory.";"47.29(c)(2)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC1750";"7f89e335db36150691e2d4b4e7fb5180";" 12/2/21";"Walls and ceiling in commercial building Not properly constructed; Not maintained in good repair; unclean";"131.09(f)";"Minor violations (General Violations)";"OPEN"
"BronxDC1618";"90768846863123dc1e471181eb4279e5";" 1/12/22";"Teaching and supervisory staff trained in abuse/maltreatment identification and reporting. 2 hours of training received every 24 months. Training provided by OCFS approved trainer. New staff trained within 3 months of hire";"43.14(a)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC16735";"dfb1df5a702dc57231ff14c28e8bccad";" 1/12/22";"Teaching and supervisory staff trained in abuse/maltreatment identification and reporting. 2 hours of training received every 24 months. Training provided by OCFS approved trainer. New staff trained within 3 months of hire";"43.14(a)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC1619";"a78eb3df933ef53eabaf9df88f887e6e";" 1/27/22";"At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.";"47.41(j)";"Minor violations (General Violations)";"OPEN"
"BronxDC1837";"4345b8aa3aab3f477ef6ffb5c5a7b8bc";" 11/15/21";"School operator arranges for fingerprinting";"43.13(c)(1)";"Violations requiring immediate correction (Public Health Hazards)";"CORRECTED"
"BronxDC1837";"4345b8aa3aab3f477ef6ffb5c5a7b8bc";" 11/15/21";"Children enrolled in school-based child care program have Not received periodic medical examination.";"43.17(c)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC1837";"4345b8aa3aab3f477ef6ffb5c5a7b8bc";" 11/15/21";"Water Not tested for lead as required. Elevated lead levels Not remediated. School fails to use approved water source when indicated";"43.24(a)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC1837";"4345b8aa3aab3f477ef6ffb5c5a7b8bc";" 11/15/21";"School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.";"43.11(b)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC19532";"49155bddd978564acb8d262d7e0676d0";" 12/21/21";"All exits have clear legible and illuminated exit signs where required by DOB";"43.22(a)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC37811";"f02211908e8e903fdb3616973f33008e";" 12/10/21";"At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.";"47.41(j)";"Minor violations (General Violations)";"OPEN"
"BronxDC32498";"8136005d07d71c873e095414902fef30";" 4/19/21";"Epi auto injector Not provided, Not maintained or expired.";"47.29(c)(1)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC32498";"8136005d07d71c873e095414902fef30";" 4/19/21";"Sufficient trained staff Not provided; staff Not on site; training unsatisfactory.";"47.29(c)(2)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC32877";"d8a99d83c7feb7aaa821b5d720678b17";" 1/27/22";"At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.";"47.37(b)(1)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC32877";"d8a99d83c7feb7aaa821b5d720678b17";" 1/27/22";"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff";"47.37(b)(4)";"Violations requiring correction within two weeks (Critical Violations)";"OPEN"
"BronxDC32877";"d8a99d83c7feb7aaa821b5d720678b17";" 1/27/22";"Child care service failed to conduct business and employment reference checks of staff/volunteers.";"47.19(i)";"Minor violations (General Violations)";"OPEN"
"BronxDC32877";"d8a99d83c7feb7aaa821b5d720678b17";" 1/27/22";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"OPEN"
"BronxDC20108";"814266f1d2d28020f6aae55325bfc24e";" 11/17/21";"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff";"47.37(b)(4)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC20108";"814266f1d2d28020f6aae55325bfc24e";" 11/17/21";"Child care service staff identified/acting as group teachers do Not meet the required qualifications of the position.";"47.13(d)";"Minor violations (General Violations)";"OPEN"
"BronxDC20108";"814266f1d2d28020f6aae55325bfc24e";" 11/17/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC20108";"814266f1d2d28020f6aae55325bfc24e";" 11/17/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"OPEN"
"BronxDC33401";"175080f4e6639b2a042792c039956037";" 10/7/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC32403";"a8382b5fe5d620769118989dd0a66038";" 11/23/21";"At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.";"47.41(j)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC21141";"bc692b8356675369ae53560b8170f97e";" 10/28/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"OPEN"
"BronxDC35632";"54f900de4cf670a4024aa4fcdc995d3f";" 11/10/21";"Written Safety Plan does Not include provisions for staff training";"47.11(b)(8)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC22683";"d2175f011c5b4ee0476c2b21ba09c8db";" 9/21/21";"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff";"47.37(b)(4)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC22683";"d2175f011c5b4ee0476c2b21ba09c8db";" 9/21/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC22683";"d2175f011c5b4ee0476c2b21ba09c8db";" 9/21/21";"At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.";"47.41(j)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC1977";"81e36be3af070a0627159739a85a0fbc";" 9/28/21";"Uncleared staff observed having unsupervised contact with children. Current SCR clearance is over 2 years old. Documents Not available at time of inspection";"47.19(c)(2)";"Violations requiring immediate correction (Public Health Hazards)";"CORRECTED"
"BronxDC1977";"81e36be3af070a0627159739a85a0fbc";" 9/28/21";"At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.";"47.37(b)(1)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC1977";"81e36be3af070a0627159739a85a0fbc";" 9/28/21";"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff";"47.37(b)(4)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC339";"68ae038b030529eda5fa812aed126cf8";" 11/10/21";"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff";"47.37(b)(4)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC339";"68ae038b030529eda5fa812aed126cf8";" 11/10/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC35294";"32a3d7ddfee5f88340a25a5a1c070673";" 12/22/21";"Child care service Not free of pests or maintains pest harborage conditions at time of inspection.";"47.51(a)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC40663";"0100ee6bb47088e96bc590199f88a6a0";" 12/21/21";"Appropriate child activity Not provided by child care service; unacceptable forms of discipline utilized by staff of child care service.";"47.67(a)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC24606";"04c8cc0c3ffcb0177e96e14779165774";" 5/12/21";"At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.";"47.41(j)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC23087";"218ccf3c27401f6ae15a476d58477bda";" 2/1/22";"At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.";"47.41(j)";"Minor violations (General Violations)";"OPEN"
"BronxDC37737";"70f336738b7ce42eabea43a0bb544d67";" 11/17/21";"Child care service teaching staff acting as assistant teachers do Not meet age and educational requirements.";"47.13(f)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC37737";"70f336738b7ce42eabea43a0bb544d67";" 11/17/21";"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.";"47.33(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC316";"32d2fb9e9f675ec0e6a3c2d7cc7d70f5";" 12/14/21";"Constant and competent supervision provided by adequate staff for children and groups of children";"47.23(a)";"Violations requiring immediate correction (Public Health Hazards)";"CORRECTED"
"BronxDC316";"32d2fb9e9f675ec0e6a3c2d7cc7d70f5";" 12/14/21";"At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.";"47.57(b)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC32737";"7667a1308a0c8108c375fe8e1eb03824";" 9/15/21";"At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.";"47.37(b)(1)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC32737";"7667a1308a0c8108c375fe8e1eb03824";" 9/15/21";"Training in SIDS, Shaken Baby Syndrome and Safe Sleep practices Not provided to staff";"47.37(b)(4)";"Violations requiring correction within two weeks (Critical Violations)";"CORRECTED"
"BronxDC32737";"7667a1308a0c8108c375fe8e1eb03824";" 9/15/21";"At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.";"47.33(b)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC20983";"43623d1681bc65feefa57300b0988152";" 12/22/21";"Each staff member has documentation showing they received 2 doses measles/mumps vaccine, 1 dose rubella vaccine, 2 doses varicella vaccine and 1 dose Tdap";"43.11(c)(1)";"Minor violations (General Violations)";"CORRECTED"
"BronxDC1956";"3787d3252a6eb3baf9b6d99fd240d0f4";" 1/25/22";"School-based child care staff observed caring for children while unhealthy. Staff medical certificate of fitness Not provided.";"43.11(b)";"Minor violations (General Violations)";"OPEN"
