"ID";"Program Name";"Permit Holder";"Address";"Borough";"Zip Code";"Phone";"Permit Number";"Permit Expiration Date";"Permit Status";"Age Range";"Maximum Capacity";"Certified to Administer Medication";"Site Type";"Program Type";"Years in Operation";"Last Inspection Date";"Last Inspection Result";"% of Annual Inspections w/Violations";"Number of Educational Staff";"Educational Staff Turnove"
"BronxDC36629";"BEANSTALK CHILD CARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC";"1362 JEROME AVENUE";"Bronx";10452;"718-590-4615";104984;"08/01/2023";"Permitted";"2 - 5";109;"No";"Corporate";"Child Care - Pre School";3;" 9/1/21";" Initial Annual Inspection - Reinspection Required; Fines pending";"50 %";8;
"BronxDC36637";"BEANSTALK CHILD CARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC";"1465 WEBSTER AVENUE";"Bronx";10456;"718-681-7040";104883;"06/21/2023";"Permitted";"2 - 5";105;"Yes";"Corporate";"Child Care - Pre School";3;" 1/12/22";" Initial Annual Inspection - Reinspection Not Required";"50 %";12;
"BronxDC36656";"BEANSTALK CHILD CARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC";"950 Westchester Avenue";"Bronx";10459;"718-991-5465";104872;"06/13/2023";"Permitted";"2 - 5";91;"No";"Corporate";"Child Care - Pre School";3;" 8/17/21";;"75 %";8;
"BronxDC36636";"BEANSTALK CHILDCARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC";"1093 Southern Boulevard";"Bronx";10459;"718-842-2252";105046;"09/17/2021";"In-Renewal";"0 - 2";26;"No";"Corporate";"Child Care - Infants/Toddlers";3;" 7/23/21";;"66 %";13;
"BronxDC36634";"Beanstalk Childcare Academy";"NYC Early Learning Company, Inc";"1334 LOUIS NINE BOULEVARD";"Bronx";10459;"718-991-2119";104823;"05/15/2023";"Permitted";;61;"No";"Corporate";"Child Care - Infants/Toddlers";3;" 6/16/21";" Initial Annual Inspection - Passed inspection with no violations";"20 %";14;
"BronxDC36630";"BEANSTALK CHILDCARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC";"1362 JEROME AVENUE";"Bronx";10452;"718-590-4615";104983;"08/01/2023";"Permitted";"0 - 2";28;"No";"Corporate";"Child Care - Infants/Toddlers";3;" 9/1/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection";"100 %";8;
"BronxDC36645";"BEANSTALK CHILDCARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC.";"2901 WHITE PLAINS ROAD";"Bronx";10467;"718-653-3714";105015;"08/26/2023";"Permitted";"0 - 2";38;"Yes";"Corporate";"Child Care - Infants/Toddlers";3;" 4/13/21";" Initial Annual Inspection - Passed inspection with no violations";"50 %";8;
"BronxDC36647";"BEANSTALK CHILDCARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC";"3942 White Plains Road";"Bronx";10466;"718-589-6101";104999;"08/12/2023";"Permitted";"0 - 2";39;"No";"Corporate";"Child Care - Infants/Toddlers";3;" 11/19/21";" Monitoring Inspection Non-Routine - Reinspection Required; Fines pending";"0 %";9;
"BronxDC36633";"BEANSTALK CHILDCARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC";"1093 SOUTHERN BOULEVARD";"Bronx";10459;"718-842-2252";105047;"09/17/2021";"In-Renewal";"2 - 5";92;"No";"Corporate";"Child Care - Pre School";3;" 7/23/21";;"50 %";12;
"BronxDC36646";"BEANSTALK CHILDCARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC";"1334 Louis Nine Boulevard";"Bronx";10459;"718-991-2119";105048;"09/19/2023";"Permitted";;174;"No";"Corporate";"Child Care - Pre School";3;" 12/16/21";;"33 %";26;
"BronxDC36648";"BEANSTALK CHILDCARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC";"2901 White Plains Road";"Bronx";10467;"718-653-3714";105042;"09/13/2023";"Permitted";"2 - 5";100;"Yes";"Corporate";"Child Care - Pre School";3;" 8/27/21";" Initial Annual Inspection - Reinspection Not Required";"33 %";29;
"BronxDC36650";"BEANSTALK CHILDCARE ACADEMY";"NYC EARLY LEARNING COMPANY, INC";"3942 White Plains Road";"Bronx";10466;"718-589-6101";104994;"08/07/2023";"Permitted";;132;"No";"Corporate";"Child Care - Pre School";3;" 11/19/21";" Monitoring Inspection Non-Routine - Passed inspection; Violations corrected at time of inspection";"66 %";18;
"BronxDC20320";"BEDROCK PRESCHOOL";"BEDROCK AT COBBLE HILL INC.";"3220 ARLINGTON AVENUE";"Bronx";10463;"718-884-0020";8383;"08/31/2023";"Permitted";;28;"No";"Private";"Child Care - Infants/Toddlers";11;" 9/1/21";;"0 %";10;
"BronxDC19580";"BEDROCK PRESCHOOL (P/S)";"BEDROCK AT COBBLE HILL INC.";"3220 ARLINGTON AVENUE";"Bronx";10463;"718-884-0020";8384;"08/31/2023";"Permitted";;120;"No";"Private";"Child Care - Pre School";11;" 9/1/21";;"50 %";17;
"BronxDC14301";"BELMONT COMMUNITY DAY CARE CENTER INC";"BELMONT COMMUNITY DAY CARE CENTER INC.";"2340 CAMBRELENG AVENUE";"Bronx";10458;"718-584-1576";4042;"07/20/2023";"Permitted";"2 - 5";134;"No";"ACS Contracted Preschools";"Child Care - Pre School";"19 or more";" 11/5/21";;"50 %";11;
"BronxDC34597";"BIRCH FAMILY SERVICES";"Birch Family Services, Inc.";"2885 SAINT THERESA AVENUE";"Bronx";10461;"646-975-2700";103802;"09/08/2022";"Permitted";"2 - 5";92;"No";"Private";"Child Care - Pre School";6;" 12/3/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection";"66 %";21;
"BronxDC2000";"BIRCH FAMILY SERVICES,INC.";"BIRCH FAMILY SERVICES,INC.";"1880 WATSON AVENUE";"Bronx";10472;"718-828-9400";6497;"03/03/2022";"Permitted";"2 - 5";180;"No";"DOE CBO";"Child Care - Pre School";"19 or more";" 12/21/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection";"33 %";21;
"BronxDC35954";"BLENDED FAMILY";"BLENDED FAMILY, LLC";"810 EAST 152 STREET";"Bronx";10455;"646-856-4890";104477;"07/02/2022";"Permitted";"2 - 5";51;"No";"Private";"Child Care - Pre School";4;" 11/23/21";" Initial Annual Inspection - Reinspection Not Required";"66 %";6;
"BronxDC2029";"BLONDELL JOYNER DAY CARE CENTER";"SOUTH EAST BRONX NEIGHBORHOOD CENTER, INC.";"901-909 TINTON AVENUE";"Bronx";10456;"718-665-7791";1843;"09/05/2023";"Permitted";"2 - 5";60;"No";"DOE CBO";"Child Care - Pre School";"19 or more";" 1/25/22";" Initial Annual Inspection - Reinspection Required; Fines pending";"50 %";8;
"BronxDC39098";"BRAINIAC BABIES";"BRAINIAC BABIES LLC";"2260 CROTONA AVENUE";"Bronx";10457;"646-303-0305";105143;"02/14/2022";"Permitted";"2 - 5";59;"No";"Private";"Child Care - Pre School";2;" 11/4/21";" Initial Annual Inspection - Passed inspection with no violations";"50 %";2;
"BronxDC25256";"BRIGHT BEGINNINGS EARLY LEARNING CENTER";"SIDI INC.";"2160 EAST TREMONT AVENUE";"Bronx";10462;"718-822-2586";98297;"10/08/2021";"In-Renewal";"2 - 5";40;"No";"Corporate";"Child Care - Pre School";7;" 10/29/21";" Monitoring Inspection Non-Routine - Reinspection Required; Fines pending";"60 %";4;
"BronxDC40131";"BRIGHT FUTURE BILINGUAL ACADEMY";"DAJACE PROPERTIES, INC.";"1363 GILLESPIE AVE";"Bronx";10461;"718-684-7887";105536;"10/27/2023";"Permitted";;8;"No";"Corporate";"Child Care - Infants/Toddlers";1;;;"N/A";2;
"BronxDC40133";"BRIGHT FUTURE BILINGUAL ACADEMY";"DAJACE PROPERTIES, INC.";"1363 GILLESPIE AVENUE";"Bronx";10461;"718-684-7887";105534;"10/27/2023";"Permitted";;26;"No";"Private";"Child Care - Pre School";1;" 5/12/21";;"N/A";4;
"BronxDC35286";"BRIGHT HORIZONS AT RIVERDALE";"BRIGHT HORIZONS CHILDREN'S CENTERS LLC";"3223 INDEPENDENCE AVENUE";"Bronx";10463;"718-514-6974";104057;"06/13/2021";"In-Renewal";;70;"Yes";"Private";"Child Care - Infants/Toddlers";5;" 8/18/21";;"0 %";9;
"BronxDC35558";"BRIGHT HORIZONS AT RIVERDALE";"BRIGHT HORIZONS CHILDREN CENTER LLC";"3223 INDEPENDENCE AVENUE";"Bronx";10463;"718-514-6974";104058;"06/13/2021";"In-Renewal";"2 - 5";63;"No";"Private";"Child Care - Pre School";5;" 12/21/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection";"40 %";9;
"BronxDC37243";"BRIGHT SPARKS CENTER INC.";"BRIGHT SPARKS CENTER INC.";"2028 CRESTON AVENUE";"Bronx";10453;"347-862-6009";105263;"11/06/2022";"Permitted";"0 - 2";16;"No";"Corporate";"Child Care - Infants/Toddlers";1;;;"N/A";0;
"BronxDC26083";"BRIGHTSTAR DAYCARE AT ROCHAMBEAU INC.";"BRIGHTSTAR DAYCARE AT ROCHAMBEAU INC";"3130 ROCHAMBEAU AVENUE";"Bronx";10467;"718-881-2000";61497;"04/17/2022";"Permitted";"2 - 5";84;"No";"Private";"Child Care - Pre School";8;" 1/5/22";;"100 %";10;
"BronxDC17640";"BRONX DAY CARE CENTER, INC.";"BRONX DAY CARE CENTER, INC.";"559 EAST TREMONT AVE";"Bronx";10457;"718-299-2275";7951;"11/18/2021";"In-Renewal";"2 - 5";50;"No";"Private";"Child Care - Pre School";14;" 10/13/21";" Initial Annual Inspection - Passed inspection with no violations";"50 %";7;
"BronxDC2090";"BRONX EARLY CHILDHOOD CENTER";"THE CHILDREN'S AID SOCIETY";"1515 SOUTHERN BOULEVARD";"Bronx";10460;"718-764-2409";7444;"09/05/2023";"Permitted";"2 - 5";102;"Yes";"ACS Dual";"Child Care - Pre School";17;" 7/15/21";" Initial Annual Inspection - Reinspection Not Required";"0 %";12;
"BronxDC40374";"BRONX ARTS AND SCIENCE CHARTER SCHOOL";"BABY BEAVERS PRE K BRONX ASCS";"941 HUTCHINSON RIVER PARKWAY";"Bronx";10465;"814-777-2460";105345;"01/01/1900";"Active";;;"No";"Private";"School Based Child Care";;" 12/1/21";" Initial Annual Inspection - Reinspection Required";"N/A";3;
"BronxDC1826";"BRONX BAPTIST DAY CARE & LEARNING CENTER";"BRONX BAPTIST CHURCH";"331 EAST 187 STREET";"Bronx";10458;"718-933-4201";2894;"04/30/2022";"Permitted";"2 - 5";55;"No";"Private";"Child Care - Pre School";"18 or more";" 7/2/21";" Initial Annual Inspection - Passed inspection with no violations";"20 %";3;
"BronxDC19116";"BRONX COMMUNITY COLLEGE EARLY CHILDHOOD CENTER";"BRONX COMMUNITY COLLEGE ASSOCIATION, INC.";"2010 SEDGWICK AVENUE";"Bronx";10453;"718-289-5461";8278;"04/07/2023";"Permitted";"2 - 5";115;"No";"ACS Contracted Preschools";"Child Care - Pre School";11;" 8/18/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection";"40 %";12;
"BronxDC19406";"BRONX DAY CARE CENTER";"BRONX DAY CARE CENTER, INC.";"559 EAST TREMONT AVE";"Bronx";10457;"718-299-2275";8143;"03/25/2022";"Permitted";"0 - 2";18;"No";"Private";"Child Care - Infants/Toddlers";12;" 10/13/21";" Initial Annual Inspection - Passed inspection with no violations";"33 %";4;
"BronxDC608";"BRONX HOUSE, INC.";"BRONX HOUSE, INC.";"2222 WALLACE AVENUE";"Bronx";10467;"718-653-1044";1356;"10/23/2022";"Permitted";"2 - 5";72;"No";"DOE CBO";"Child Care - Pre School";"18 or more";" 9/14/21";;"100 %";5;
"BronxDC1577";"BRONX HOUSE, INC.";"BRONX HOUSE, INC.";"990 PELHAM PARKWAY SOUTH";"Bronx";10461;"718-792-1800";6697;"12/05/2023";"Permitted";"2 - 5";102;"No";"DOE CBO";"Child Care - Pre School";"17 or more";" 10/28/21";" Compliance Inspection of Open Violations - Reinspection Not Required";"75 %";13;
"BronxDC1623";"BRONX RIVER EARLY LEARN CENTER";"TREMONT CROTONA DAY CARE CENTER,INC.";"1555 EAST 174 STREET";"Bronx";10472;"718-842-6582";6464;"02/27/2023";"Permitted";"2 - 5";54;"No";"ACS Contracted Preschools";"Child Care - Pre School";"18 or more";" 10/20/21";;"100 %";4;
"BronxDC25181";"BRONX SKY CHILD CARE CENTER, INC.";"BRONX SKY CHILD CARE CENTER, INC.";"495 EAST 158TH STREET";"Bronx";10451;"718-401-0100";97762;"09/28/2023";"Permitted";"0 - 2";10;"No";"Private";"Child Care - Infants/Toddlers";7;" 10/6/21";;"N/A";7;
"BronxDC33680";"BRONX SKY CHILD CARE INC";"BRONX SKY CHILD CARE CENTER INC";"495 EAST 158TH STREET";"Bronx";10451;"718-401-0100";103593;"03/16/2022";"Permitted";"2 - 5";10;"No";"Private";"Child Care - Pre School";6;" 10/7/21";" Compliance Inspection of Open Violations - Reinspection Not Required";"33 %";3;
"BronxDC36360";"BRONX STARBRIGHT DAYCARE";"BRONX STARBRIGHT INC.";"2940 East 194 Street";"Bronx";10461;"718-673-6371";105586;"01/21/2024";"Permitted";"0 - 2";10;"No";"Private";"Child Care - Infants/Toddlers";1;" 1/27/22";;"N/A";2;
"BronxDC22849";"BRONX WORKS, INC.";"BRONX WORKS, INC.";"1472 MONTGOMERY AVENUE";"Bronx";10453;"347-590-8955";51998;"09/16/2023";"Permitted";"2 - 5";55;"No";"Private";"Child Care - Pre School";9;" 11/17/21";;"0 %";7;
"BronxDC1624";"BRONXDALE NURSERY AND KINDERGARTEN";"BRONXDALE TENANTS LEAGUE DAY CARE CENTER INC.";"1065 -1085 BEACH AVENUE";"Bronx";10472;"718-991-8315";1137;"06/26/2023";"Permitted";"2 - 5";60;"No";"ACS Contracted Preschools";"Child Care - Pre School";"19 or more";" 5/25/21";" Initial Annual Inspection - Passed inspection with no violations";"50 %";6;
"BronxDC12272";"BRONXWORKS EARLY CHILDHOOD CENTER";"BRONXWORK";"1130 GRAND CONCOURSE";"Bronx";10456;"718-508-3056";7302;"01/05/2023";"Permitted";"2 - 5";55;"No";"ACS Dual";"Child Care - Pre School";"18 or more";" 8/12/21";;"100 %";6;
"BronxDC37690";"CANARSIE CHILDREN FIRST ACADEMY";"Faith Children First Academy";"3231 STEUBEN AVENUE";"Bronx";10467;"718-676-6260";"N/A";"01/01/1900";"Active";;;"No";"Private";"School Based Child Care";;" 10/14/21";" Compliance Inspection of Open Violations - Reinspection Required; Fines pending";"N/A";4;
"BronxDC1628";"CARDINAL MC CLOSKEY DAY CARE CENTER SITE 2";"CARDINAL MC CLOSKEY SCHOOL & HOME FOR CHILDREN";"899 EAST 180 STREET";"Bronx";10460;"718-220-3355";4856;"11/04/2022";"Permitted";"2 - 5";94;"No";"Head Start (Direct Fed. Funding)";"Child Care - Pre School";"18 or more";" 10/13/21";;"100 %";10;
"BronxDC39493";"CARDINAL MCCLOSKEY COMMUNITY SERVICES";"CARDINAL MCCLOSKEY COMMUNITY SERVICES";"1926 LONGFELLOW AVENUE";"Bronx";10460;"718-893-5184";105506;"09/10/2023";"Permitted";"0 - 2";72;"No";"Private";"Child Care - Infants/Toddlers";1;;;"N/A";3;
"BronxDC25860";"CARDINAL MCCLOSKEY COMMUNITY SERVICES";"CARDINAL MCCLOSKEY SCHOOL AND HOME FOR CHILDREN";"3044 HULL AVENUE";"Bronx";10467;"718-405-7824";67797;"06/24/2022";"Permitted";"2 - 5";231;"No";"Corporate";"Child Care - Pre School";8;" 1/26/22";;"N/A";25;
"BronxDC25861";"CARDINAL MCCLOSKEY COMMUNITY SERVICES";"CARDINAL MCCLOSKEY SCHOOL AND HOME FOR CHILDREN";"560 CONCORD AVENUE";"Bronx";10455;"718-292-8564";56137;"01/23/2022";"In-Renewal";"2 - 5";120;"No";"Private";"Child Care - Pre School";8;" 12/1/21";;"100 %";11;
"BronxDC25851";"CARDINAL MCCLOSKEY COMMUNITY SERVICES";"CARDINAL MCCLOSKEY SCHOOL AND HOME FOR CHILDREN";"95 WEST 168TH STREET";"Bronx";10452;"718-293-2006";65978;"06/05/2022";"Permitted";"2 - 5";195;"No";"Private";"Child Care - Pre School";8;" 10/15/21";;"0 %";10;
"BronxDC25857";"CARDINAL MCCLOSKEY COMMUNITY SERVICES";"CARDINAL MCCLOSKEY SCHOOL AND HOME FOR CHILDREN";"2331 UNIVERSITY AVENUE";"Bronx";10468;"718-364-7608";54737;"12/04/2021";"In-Renewal";"2 - 5";197;"No";"Private";"Universal Pre-K Half Day";9;" 11/16/21";;"N/A";23;
"BronxDC38562";"CARDINAL MCCLOSKEY COMMUNITY SERVICES - MANSION STREET";"CARDINAL MCCLOSKEY SCHOOL AND HOME FOR CHILDREN";"1750 MANSION STREET";"Bronx";10460;"718-823-7202";105109;"12/11/2021";"In-Renewal";"2 - 5";160;"No";"Head Start (Direct Fed. Funding)";"Child Care - Pre School";3;" 3/12/20";;"N/A";12;
"BronxDC31925";"CHEER-AND-GROW LEARNING ACADEMY CORP.";"CHEER-AND-GROW LEARNING ACADEMY CORP.";"1926 CROSS BRONX EXPRESSWAY";"Bronx";10472;"718-684-3100";98957;"10/26/2023";"Permitted";"2 - 5";76;"No";"Corporate";"Child Care - Pre School";7;" 9/15/21";" Initial Annual Inspection - Reinspection Not Required";"33 %";10;
"BronxDC15570";"CHILD DEVELOPMENT CENTER OF THE MOSHOLU MONTEFIORE COMMUNITY CENTER, INC";"INC";"3512 DEKALB AVENUE";"Bronx";10467;"718-405-0020";7492;"11/28/2023";"Permitted";"2 - 5";83;"No";"Head Start (Direct Fed. Funding)";"Child Care - Pre School";"17 or more";" 10/6/21";" Initial Annual Inspection - Reinspection Not Required";"40 %";17;
"BronxDC25355";"CHILD DEVELOPMENT CENTER OF THE MOSHOLU MONTEFIORE COMMUNITY CENTER, INC.";"INC.";"3880 SEDGWICK AVENUE";"Bronx";10463;"718-543-0231";51457;"09/03/2023";"Permitted";"2 - 5";117;"No";"Corporate";"Child Care - Pre School";9;" 11/16/21";" Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection";"75 %";9;
"BronxDC36182";"CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMUNITY CENTER, INC.";"INC.";"3450 DEKALB AVENUE";"Bronx";10467;"718-654-0563";104385;"04/24/2020";"In-Renewal";"2 - 5";162;"No";"DOE CBO";"Child Care - Pre School";4;" 1/26/22";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection";"20 %";23;
"BronxDC11969";"CHILDREN'S LEARNING COMPANY, INC.";"CHILDREN'S LEARNING COMPANY, INC.";"210 WEST 233 STREET";"Bronx";10463;"718-432-1170";7643;"09/26/2022";"Permitted";"2 - 5";30;"No";"Private";"Child Care - Pre School";16;" 11/16/21";" Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection";"66 %";4;
"BronxDC36579";"CHILDRENS AID";"Childrens Aid";"1232 SOUTHERN BOULEVARD";"Bronx";10460;"718-764-2405";105039;"09/13/2023";"Permitted";"2 - 5";74;"Yes";"Private";"Child Care - Pre School";3;" 9/14/21";" Initial Annual Inspection - Passed inspection with no violations";"0 %";7;
"BronxDC19521";"CHURCH OF CHRIST THE KING, Bronx, N.Y.";"CHURCH OF CHRIST THE KING, BRONX NY";"1345 GRAND CONCOURSE";"Bronx";10452;"718-538-5959";"N/A";"05/25/2117";"Active";;;"No";"Corporate";"School Based Child Care";;" 12/7/21";" Initial Annual Inspection - Reinspection Required";"50 %";12;
