"Facility Name";"Site Address";"Zip";"City";"County";"State";"Phone";"Facility Type";"License Type";"Expiration Date";"Administrator";"Business Hours";"Business Days";"Capacity";"Ages";"Inspector";"Provider ID";"Subsidy";"Address 2";"Quality Level";"Qualification";"License/Facility ID#";"Registration Duration"
"Ms. Jamie Pettit";"21276 Bayside Road";23417;"Onancock";"Accomack";"VA";"(757) 787-1972";"Voluntary Registration";;"Aug. 5, 2022";;"6:00am - 6:00pm";"Monday - Friday";4;"1 month - 12 years 11 months";"Chris Robinson: (757) 404-2322";44586;"No";;;;5431;"Two Year"
"Ms. Tamekia Veney";"13163 Bethel Church";23359;"Hallwood";"Accomack";"VA";;"Voluntary Registration";;"May 23, 2021";;"6:00 a.m. - 11:45 p.m.";"Monday - Saturday";4;;"Jackie Ware: (757) 404-3063";36152;"Yes";;;;3398;"Two Year"
"St. Paul On-The-Shore Lutheran Church";"28281 Main Street";23359;"Hallwood";"Accomack";"VA";"(757) 824-3500";"Religious Exempt Child Day Center";"Exempt";"April 7, 2021";"Ms. Marie Fetterman";"7:00 am - 6:00 pm";"Monday - Friday";48;"1 month - 8 years";"Jackie Ware: (757) 404-3063";9015;"No";;;;212480;
"ACAC Adventure Central Kidzclub";"200 Four Seasons Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 978-7529";"Child Day Center";"Two Year";"Oct. 7, 2022";"Ms. Tina Thompson";"7:30 a.m. - 6:00 p.m.";"Monday - Friday";330;"3 years - 12 years 11 months";"Michelle W. Argenbright: (540) 848-4123";25255;"No";;;;1087529;
"Albemarle Montessori Children's Community";"1550-1554 Insurance Lane";22911;"Charlottesville";"Albemarle";"VA";"(434) 244-2471";"Child Day Center";"Two Year";"Aug. 3, 2021";"Mr. Frederic F. Catlin";"7:15 a.m. - 5:45 p.m.";"Monday - Friday";82;"2 years - 12 years 11 months";"Beth Orebaugh: (540) 847-9173";40461;"No";;;;1107536;
"Alison Trimpe";"3157 Earlysville Road";22936;"Earlysville";"Albemarle";"VA";"(434) 973-8736";"Family Day Home";"Three Year";"Sept. 20, 2023";;"8:45 AM - 6:30 PM";"Monday - Friday";12;"2 years - 12 years 11 months";"Beth Orebaugh: (540) 847-9173";41699;"No";;3;;1109017;
"Atlantic Coast Athletic Club @ Crozet Park";"1075 Claudius Crozet Park";22932;"Crozet";"Albemarle";"VA";"(434) 817-2063";"Child Day Center";"Conditional";"Dec. 7, 2020";"Mr. Stephen Fitzgerald";"7:30 AM - 6:00 PM";"Monday - Friday";35;"5 years - 12 years 11 months";"Michelle W. Argenbright: (540) 848-4123";46084;"No";;;;1108771;
"Boar's Head Child Care";"200 Wellington Drive";22903;"Charlottesville";"Albemarle";"VA";"(434) 972-6072";"Child Day Center";"Two Year";"Aug. 12, 2022";"Ms. Carol Rollins";"8:30 a.m. - 7:30 p.m.";"Monday - Saturday";40;"1 month - 12 years 11 months";"Maureen Gallagher-McLeod: (540) 430-9259";24577;"No";;;;1078601;
"Bright Beginnings - Crozet";"1645 Park Ridge Drive";22932;"Crozet";"Albemarle";"VA";"(434) 823-7129";"Child Day Center";"Two Year";"Aug. 28, 2021";"Ms. Crystal Bussiere";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";139;"1 month - 8 years 11 months";"Chrystal King: (804) 297-4469";24081;"Yes";;;;1072441;
"Bright Beginnings Preschool - Forest Lakes";"1610 Regent Street";22911;"Charlottesville";"Albemarle";"VA";"(434) 973-8414";"Child Day Center";"Two Year";"Sept. 19, 2021";"Mrs. Maggie . Hume";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";120;"1 month - 8 years 11 months";"Chrystal King: (804) 297-4469";21474;"Yes";;;;1018179;
"Bright Beginnings Preschool - Mill Creek";"1221 Stoney Ridge Road";22902;"Charlottesville";"Albemarle";"VA";"(434) 979-8585";"Child Day Center";"Two Year";"Aug. 25, 2021";"Ms. Kathe Petchel";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";142;"1 month - 12 years 11 months";"Chrystal King: (804) 297-4469";19398;"Yes";;;;952331;
"Bright Eyes Community Child Care Center, LLC";"2320 Hunters Way";22911;"Charlottesville";"Albemarle";"VA";"(434) 984-4150";"Child Day Center";"Two Year";"Oct. 2, 2020";"Ms. Reagan Ralston";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";61;"1 month - 10 years 11 months";"Beth Orebaugh: (540) 847-9173";40338;"Yes";;1;;1107512;
"Chancellor Street Pre-school";"1901 Thomson Road";22903;"Charlottesville";"Albemarle";"VA";"(434) 296-6444";"Child Day Center";"Two Year";"May 5, 2022";"Ms. Pamela Evans";"8:55 a.m. - 11:55 a.m.";"Monday - Friday";26;"2 years 8 months - 5 years 11 months";"Chrystal King: (804) 297-4469";15742;"No";;;;828687;
"Charlottesville Waldorf School";"120 Waldorf School Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 973-4946";"Child Day Center";"Two Year";"May 12, 2022";"Ms. Amanda Tipton";"7:00 a.m. - 5:30 p.m.";"Monday - Friday";55;"2 years - 12 years 11 months";"Michelle W. Argenbright: (540) 848-4123";34538;"No";;;;1106188;
"Covesville Child Development Center";"5527 Covesville Lane";22931;"Covesville";"Albemarle";"VA";"(434) 245-9133";"Child Day Center";"Two Year";"April 4, 2021";"Ms. Katherine Cashatt";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";25;"1 year 4 months - 12 years 11 months";"Chrystal King: (804) 297-4469";25231;"Yes";;1;;1087235;
"Daylily Preschool, LLC";"4283 Old Three Notched Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 996-8397";"Child Day Center";"Two Year";"Nov. 16, 2020";"Ms. Elizabeth Claman";"8:30 a.m. - 12:30 p.m.";"Monday - Friday";17;"1 year 4 months - 12 years 11 months";"Chrystal King: (804) 297-4469";36528;"No";;;;1106585;
"Elizabeth Gruss";"1141 Fox Ridge Drive";22936;"Earlysville";"Albemarle";"VA";"(434) 242-1404";"Family Day Home";"One Year";"June 6, 2021";;"8:00 AM - 5:30 PM";"Monday - Sunday";10;"1 year - 12 years 11 months";"Diann S. Reed: (540) 280-0742";44837;"No";;;;1109725;
"Farmington Country Club Summer Camp";"1625 Country Club Circle";22901;"Charlottesville";"Albemarle";"VA";"(434) 245-0692";"Short Term Child Day Center";"Two Year";"July 14, 2021";"Mr. Ben Nyquist";"8:30 a.m. - 3:00 p.m.";"Monday - Friday";50;"4 years - 12 years";"Diann S. Reed: (540) 280-0742";36163;"No";;;;1097934;
"Foundations Child Development Center, Inc.";"3375 Berkmar Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 973-9218";"Child Day Center";"Two Year";"Nov. 4, 2021";"Mrs. Margaret Leckrone";"7:00 a.m. - 6:30 p.m.";"Monday - Friday";110;"1 month - 12 years 11 months";"Chrystal King: (804) 297-4469";31233;"Yes";;2;;1105590;
"Four Seasons Learning Center";"254 Lakeview Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 975-4455";"Child Day Center";"Two Year";"Dec. 29, 2020";"Laurie Harris";"7:00 AM - 6:00 PM";"Monday - Friday";60;"Birth - 12 years 11 months";"Maureen Gallagher-McLeod: (540) 430-9259";44458;"Yes";;;;1108368;
"Free Union Country School";"4220 Free Union Road";22940;"Free union";"Albemarle";"VA";"(434) 978-1700";"Child Day Center";"Two Year";"Sept. 12, 2021";"Eric Anderson";"8:30 a.m. - 5:30 p.m.";"Monday - Friday";25;"2 years 6 months - 12 years 11 months";"Chrystal King: (804) 297-4469";9096;"No";;;;236265;
"Generations Montessori School of Charlottesville";"1525 Stony Point Road";22911;"Charlottesville";"Albemarle";"VA";"(434) 422-8161";"Child Day Center";"Two Year";"Jan. 10, 2021";"Ms. Rita C Pace";"8:45 a.m. - 5:00 p.m.";"Monday - Friday";42;"2 months - 12 years 11 months";"Beth Orebaugh: (540) 847-9173";41871;"No";;;;1107940;
"Hillsdale KinderCare Learning Center";"601 Hillsdale Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 973-2777";"Child Day Center";"Two Year";"April 23, 2022";"Pamela Carter-Barmore";"6:30 AM - 6:30 PM";"Monday - Friday";120;"1 month - 6 years 11 months";"Maureen Gallagher-McLeod: (540) 430-9259";45774;"Yes";;;;1108702;
"Ivy School House LLC";"1005 Heathercroft Circle";22932;"Crozet";"Albemarle";"VA";"(434) 205-4399";"Child Day Center";"Two Year";"June 19, 2022";"Mr. Nicholas Clark";"7:30 AM - 6:00 PM";"Monday - Friday";23;"1 month - 12 years 11 months";"Diann S. Reed: (540) 280-0742";45795;"No";" Suite 400";;;1108707;
"Ivy School House Preschool";"5674 Three Notch'd Road";22932;"Crozet";"Albemarle";"VA";"(434) 823-4060";"Child Day Center";"Two Year";"March 31, 2021";"Mr. Megan Snyder";"7:30 AM - 6:00 PM";"Monday - Friday";23;"2 years - 12 years 11 months";"Diann S. Reed: (540) 280-0742";40302;"No";;;;1107504;
"JABA Shining Star Preschool";"674 Hillsdale Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 817-5266";"Child Day Center";"Two Year";"March 5, 2022";"Ms. Crystal Bland";"8:00 a.m. - 5:00 p.m.";"Monday - Friday";40;"2 years - 8 years 11 months";"Barbara Workman";38406;"Yes";" Suite 9";2;;1107012;
"Karita Burrill";"600 Rio Road West";22901;"Charlottesville";"Albemarle";"VA";"(540) 271-0730";"Family Day Home";"One Year";"Aug. 3, 2021";;"6:30 am - 5:30 pm";"Monday - Friday";12;"1 month - 12 years 11 months";"Barbara Workman";45989;"No";;;;1109974;
"Katy Jones";"554 Clarks Tract";22947;"Keswick";"Albemarle";"VA";"(434) 244-6457";"Family Day Home";"Three Year";"Jan. 27, 2023";;"7:45 AM - 5:30 PM";"Monday - Friday";6;"1 year - 12 years 11 months";"Julie R. Kunowsky: (540) 430-9256";44388;"No";;;;1109603;
"Little Explorers Discovery School, LLC";"5804 Saint George Avenue";22932;"Crozet";"Albemarle";"VA";"(434) 205-4177";"Child Day Center";"Two Year";"July 8, 2021";"Christi Gillette";"7:30 a.m. - 6:00 p.m.";"Monday - Friday";50;"1 year 6 months - 12 years 11 months";"Barbara Workman";45007;"No";;;;1108522;
"Little Learners Tricounty Child Development Center";"900 Glendower Road";24590;"Scottsville";"Albemarle";"VA";"(434) 286-8888";"Child Day Center";"Two Year";"Feb. 22, 2021";"Ms. Taryn Evans";"6:30 a.m. - 6:00 p.m.";"Monday - Friday";34;"1 month - 10 years 11 months";"Beth Orebaugh: (540) 847-9173";42014;"Yes";;1;;1107965;
"Millstone of Ivy";"3275 Morgantown Road";22903;"Charlottesville";"Albemarle";"VA";"(434) 979-2111";"Child Day Center";"Two Year";"March 2, 2022";"Ms. Robin Willis Myers";"7:30 a.m. - 5:30 p.m.";"Monday - Friday";93;"2 years - 6 years 11 months";"Barbara Workman";14086;"No";;;;730381;
"Monticello Area Community Action Agency - Agnor Hurt Head Start";"3201 Berkmar Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 974-4783";"Child Day Center";"Two Year";"Feb. 23, 2021";"Ms. Barbara J. Smith";"7:30 a.m. - 2:45 p.m.";"Monday - Friday";20;"3 years - 5 years 11 months";"Diann S. Reed: (540) 280-0742";16128;"No";;3;;845662;
"Monticello Area Community Action Agency - Crozet Head Start";"1407 Crozet Avenue";22932;"Crozet";"Albemarle";"VA";"(434) 823-4800";"Child Day Center";"Two Year";"Oct. 27, 2021";"Ms. Barbara Smith";"7:00 A.M. - 3:30 P.M.";"Monday - Friday";20;"3 years - 5 years 11 months";"Diann S. Reed: (540) 280-0742";27736;"No";;3;;1105135;
"Monticello Area Community Action Agency - Greer Head Start";"190 Lambs Lane";22901;"Charlottesville";"Albemarle";"VA";"(434) 978-3469";"Child Day Center";"Two Year";"Feb. 28, 2021";"Barbara Smith";"7:30a.m. - 2:45p.m.";"Monday - Friday";20;"3 years - 5 years 11 months";"Diann S. Reed: (540) 280-0742";44752;"No";;3;;1108452;
"Monticello Area Community Action Agency - Hollymead Head Start";"2775 Powell Creek Drive";22911;"Charlottesville";"Albemarle";"VA";"(434) 973-8301";"Child Day Center";"Two Year";"March 1, 2022";"Ms. Barbara J. Smith";"7:45 a.m. - 2:00 p.m.";"Monday - Friday";20;"3 years - 5 years 11 months";"Chrystal King: (804) 297-4469";39988;"No";;3;;1107426;
"Mountaintop Montessori";"440 Pinnacle Place";22911;"Charlottesville";"Albemarle";"VA";"(434) 979-8886";"Child Day Center";"Two Year";"Oct. 13, 2020";"Mrs. Janice Chapman";"7:30 a.m. - 5:30 p.m.";"Monday - Friday";140;"2 months - 12 years 11 months";"Chrystal King: (804) 297-4469";13992;"No";;;;723890;
"Ms. Delois Grady";"64 Woodlake Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 973-7517";"Family Day Home";"Two Year";"June 8, 2022";;"6:00 a.m. - 7:00 p.m.";"Monday - Friday";12;"1 month - 12 years 11 months";"Chrystal King: (804) 297-4469";8817;"Yes";;;;130714;
"Ms. Janet Ballard";"2893 Scottsville Road";22902;"Charlottesville";"Albemarle";"VA";"(434) 326-3251";"Family Day Home";"Two Year";"Feb. 1, 2021";;"3:00 p.m. - 6:00 p.m.";"Monday - Friday";12;"4 years - 11 years 11 months";"Chrystal King: (804) 297-4469";43711;"Yes";;;;1109410;
"Ms. Linda Shaw";"5705 Louisa Road";22947;"Keswick";"Albemarle";"VA";"(434) 295-9221";"Family Day Home";"One Year";"Feb. 20, 2021";;"6:30 a.m. - 6:00 p.m.";"Monday - Friday";12;"1 month - 12 years 11 months";"Diann S. Reed: (540) 280-0742";22005;"Yes";;;;1030799;
"Ms. Martha McCarthy";"2411 Berkshire Place #35";22901;"Charlottesville";"Albemarle";"VA";"(434) 227-9022";"Family Day Home";"One Year";"April 5, 2021";;"7:00am - 5:30pm";"Monday - Friday";5;"Birth - 12 years 11 months";"Maureen Gallagher-McLeod: (540) 430-9259";42301;"No";;1;;1109240;
"Ms. Mozhdeh Monjezi";"1658 Old Brook Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 409-6465";"Family Day Home";"Two Year";"July 16, 2021";;"7:30 a.m. - 5:30 p.m.";"Monday - Friday";12;"Birth - 12 years 11 months";"Diann S. Reed: (540) 280-0742";31963;"No";;;;1106399;
"Ms. Rebecca Garson";"7342 Plank Road";22920;"Afton";"Albemarle";"VA";"(434) 996-7022";"Family Day Home";"Two Year";"Feb. 28, 2022";;"8:30 a.m. - 3:00 p.m.";"Monday - Friday";12;"2 years - 12 years 11 months";"Barbara Workman";42080;"No";;;;1109185;
"Ms. Rebekah Rogers";"3060 Watts Farm Road";22911;"Charlottesville";"Albemarle";"VA";"(434) 422-0172";"Family Day Home";"One Year";"April 27, 2021";;"7:00 a.m. - 7:00 p.m.";"Monday - Friday";12;"2 months - 6 years 11 months";"Beth Orebaugh: (540) 847-9173";41672;"No";;;;1109004;
"Ms. Sabrina Wilson";"1808-B Solomon Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 382-7971";"Family Day Home";"Two Year";"Nov. 18, 2020";;"24 hour care - N/A";"Sunday - Saturday";12;"1 month - 8 years 11 months";"Michelle W. Argenbright: (540) 848-4123";41556;"Yes";;1;;1108974;
"Old Dominion Day School";"74 Barclay Place Court";22901;"Charlottesville";"Albemarle";"VA";"(434) 984-1070";"Child Day Center";"Two Year";"Nov. 15, 2021";"Ms. Theresa Zick";"7:30 a.m. - 5:30 p.m.";"Monday - Friday";75;"1 month - 6 years 11 months";"Diann S. Reed: (540) 280-0742";7998;"No";;;;965;
"Peabody School";"1232 Stoney Ridge Road";22902;"Charlottesville";"Albemarle";"VA";"(434) 296-6901";"Child Day Center";"Two Year";"March 27, 2021";"Mr. Robert Orlando";"12:00 p.m. - 5:30 p.m.";"Monday - Friday";50;"3 years - 12 years 11 months";"Maureen Gallagher-McLeod: (540) 430-9259";20454;"No";;;;985662;
"Playful Learners Preschool";"325 Rivanna Plaza Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 956-4312";"Child Day Center";"Two Year";"March 15, 2022";"Tassia Araujo-Roper";"7:00 AM - 6:00 PM";"Monday - Friday";180;"Birth - 12 years 11 months";"Julie R. Kunowsky: (540) 430-9256";45670;"No";" Suite 101";;;1108684;
"Preschool at ACAC Adventure Central";"200 Four Seasons Drive";22901;"Charlottesville";"Albemarle";"VA";"(434) 978-7529";"Child Day Center";"Two Year";"March 5, 2022";"Ms. Tina Thompson";"7:00 a.m. - 5:30 p.m.";"Monday - Friday";130;"2 years - 6 years 11 months";"Michelle W. Argenbright: (540) 848-4123";38328;"No";;;;1106988;
"Riverbend KinderCare Learning Center";"201 Riverbend Drive";22911;"Charlottesville";"Albemarle";"VA";"(434) 295-8569";"Child Day Center";"Two Year";"April 23, 2022";"Ms. Kristin Weiss";"7:00 AM - 6:00 PM";"Monday - Friday";120;"1 month - 6 years 11 months";"Maureen Gallagher-McLeod: (540) 430-9259";45773;"Yes";;;;1108701;
"Sharon L. Hostler Child Development Center";"107 Whitewood Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 951-2060";"Child Day Center";"Two Year";"May 17, 2022";"Ms. Susan Flemmons";"6:00 AM - 6:00 PM";"Monday - Friday";152;"1 month - 12 years 11 months";"Chrystal King: (804) 297-4469";39996;"No";;;;1107429;
"St. Anne's - Belfield School - PS";"745 Faulconer Drive";22903;"Charlottesville";"Albemarle";"VA";"(434) 963-4858";"Child Day Center";"Two Year";"Oct. 26, 2020";"Ms. Katherine Carpenter";"7:30 a.m. - 5:30 p.m.";"Monday - Friday";95;"2 years - 6 years 11 months";"Beth Orebaugh: (540) 847-9173";8201;"No";;;;7030;
"St. Anne's-Belfield Afterschool Enrichment Program";"735 Faulconer Drive";22903;"Charlottesville";"Albemarle";"VA";"(434) 981-1369";"Child Day Center";"Two Year";"June 5, 2021";"Ms. Jill Mozee";"3:15 p.m. - 5:30 p.m.";"Monday - Friday";75;"5 years - 12 years 11 months";"Beth Orebaugh: (540) 847-9173";14056;"No";;;;728638;
"The Frost Montessori School of Albemarle, Inc.";"1553 Delphi Drive";22911;"Charlottesville";"Albemarle";"VA";"(434) 979-5223";"Child Day Center";"Two Year";"Feb. 24, 2021";"Ms. Kedra Hauser";"8:00 a.m. - 5:30 p.m.";"Monday - Friday";99;"1 year 10 months - 6 years 11 months";"Barbara Workman";32631;"No";;;;1105810;
"Wee Care Day Care 4 Kids, LLC";"1550 Seminole Trail";22901;"Charlottesville";"Albemarle";"VA";"(434) 972-0001";"Child Day Center";"Two Year";"Aug. 28, 2020";"Ms. Theresa Michie";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";65;"1 month - 12 years 11 months";"Chrystal King: (804) 297-4469";36411;"Yes";;;;1106541;
"Charlottesville Catholic School";"1205 Pen Park Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 964-0400";"Religious Exempt Child Day Center";"Exempt";"March 19, 2021";"Ms. Vada Fallica";"7:45 a.m. - 5:30 p.m.";"Monday - Friday";75;"4 years - 12 years 11 months";"Michelle W. Argenbright: (540) 848-4123";35994;"No";;;;1105285;
"Chestnut Grove Baptist Church";"550 Buck Mountain Road";22936;"Earlysville";"Albemarle";"VA";"(434) 978-3819";"Religious Exempt Child Day Center";"Exempt";"Oct. 30, 2021";"Ms. Barbara Edwards";"8:00 AM - 2:00 PM";"Monday - Friday";50;"3 years - 5 years 11 months";"Michelle W. Argenbright: (540) 848-4123";17041;"No";;;;872813;
"Commonwealth Christian Community";"1447 McAllister Street";22932;"Crozet";"Albemarle";"VA";"(434) 823-6500";"Religious Exempt Child Day Center";"Exempt";"June 29, 2021";"Ms. Annie Hollifield";"7:00am - 6:00pm";"Monday - Friday";33;"5 years - 12 years 11 months";"Michelle W. Argenbright: (540) 848-4123";32918;"No";;;;1105056;
"Crosslife Community Church";"1410 Old Brook Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 973-9162";"Religious Exempt Child Day Center";"Exempt";"July 23, 2021";"Ms. Connie Owuor";"2:30 PM - 5:30 PM";"Monday - Friday";85;"4 years - 12 years 11 months";"Michelle W. Argenbright: (540) 848-4123";44667;"Yes";;;;1105907;
"Crozet United Methodist Church";"1156 Crozet Avenue";22932;"Crozet";"Albemarle";"VA";"(434) 823-1258";"Religious Exempt Child Day Center";"Exempt";"Aug. 26, 2021";"Ms. Amy David";"9:00 AM - 12:00 PM";"Monday - Friday";50;"2 years 6 months - 5 years 11 months";"Michelle W. Argenbright: (540) 848-4123";34357;"No";;;;1105155;
"Danesha Gulley";"40 Wilton Pasture Lane #304";22911;"Charlottesville";"Albemarle";"VA";"(434) 806-5372";"Voluntary Registration";;"May 8, 2021";;"6:00 a.m. - 6:00 p.m.";"Monday - Saturday";4;;"Cynthia Carneal: (804) 726-7140";45244;"No";;;;5501;"Two Year"
"Faith Christian Center International";"2186 Richmond Road";22911;"Charlottesville";"Albemarle";"VA";"(434) 979-1704";"Religious Exempt Child Day Center";"Exempt";"Aug. 11, 2021";"Ms. Dawn Dawson";"06:30 a.m. - 06:00 p.m.";"Monday - Friday";120;"Birth - 12 years 11 months";"Michelle W. Argenbright: (540) 848-4123";31614;"Yes";;2;;1104970;
"Hillsboro Baptist Church";"6356 Hillsboro Lane";22932;"Crozet";"Albemarle";"VA";"(434) 823-5342";"Religious Exempt Child Day Center";"Exempt";"Sept. 4, 2021";"Ms. Katheryn Gilliland";"9:00 AM - 2:00 PM";"Monday - Friday";60;"2 years 6 months - 5 years 11 months";"Michelle W. Argenbright: (540) 848-4123";28148;"No";;;;1104843;
"Illuminee Nzeyimana";"2738 White Pine Way";22911;"Charlottesville";"Albemarle";"VA";"(434) 260-2106";"Voluntary Registration";;"Aug. 19, 2022";;"all shifts";"Monday - Saturday";4;;"Cynthia Carneal: (804) 726-7140";46514;"No";;;;5586;"Two Year"
"Lighthouse Worship Center, Inc.";"3464 Worth Crossing";22911;"Charlottesville";"Albemarle";"VA";"(434) 973-7557";"Religious Exempt Child Day Center";"Exempt";"Feb. 10, 2021";"Ms. Kathy Davis";"7:00 a.m. - 6:00 p.m.";"Monday - Friday";70;"1 month - 9 years 11 months";"Michelle W. Argenbright: (540) 848-4123";29057;"No";;;;1104877;
"Ms. Gemisha Williams";"201 Whitewood Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 284-2717";"Voluntary Registration";;"Jan. 17, 2021";;"7:00 a.m. - 11:00 p.m.";"Monday - Friday";4;;"Julie R. Kunowsky: (540) 430-9256";45108;"Yes";" Apt. 3";;;5481;"Two Year"
"Ms. Hannah Anokye-Gyambrah";"89 Court Place";22901;"Charlottesville";"Albemarle";"VA";"(434) 327-7205";"Voluntary Registration";;"Oct. 20, 2021";;"7:30 a.m. - 8:00 p.m. (Mon - Thurs 8:00 p.m. - 6:30 a.m.)";"Monday - Friday";4;;"Cynthia Carneal: (804) 726-7140";41576;"No";;;;5091;"Two Year"
"Northridge Community Church";"5100 Dickerson Road";22911;"Charlottesville";"Albemarle";"VA";"(434) 964-1560";"Religious Exempt Child Day Center";"Exempt";"Aug. 21, 2021";"Ms. Debbie Swanson";"9:00 AM - 12:30 PM";"Monday - Friday";80;"3 years - 5 years 11 months";"Michelle W. Argenbright: (540) 848-4123";34361;"No";;;;1105157;
"Olivet Presbyterian Church";"2575 Garth Road";22901;"Charlottesville";"Albemarle";"VA";"(434) 295-1367";"Religious Exempt Child Day Center";"Exempt";"Sept. 7, 2021";"Ms. Elizabeth Killian";"8:00 AM - 1:00 PM";"Monday - Friday";24;"2 years 6 months - 5 years 11 months";"Michelle W. Argenbright: (540) 848-4123";44060;"No";;;;1105878;
